GOOG,Alphabet Inc,20141001,Cyberark listing puts Israeli venture capital fund in the spotlight ,* Firm has invested around $1 billion in scores of start-ups,normal
F,Ford Motor Company,20141001,BRIEF-Ford loses bid to recoup interest in tax dispute ,Oct 1 Ford Motor Co :  * U.S. appeals court says rejects Ford Motor Co bid to recoup about $450,normal
F,Ford Motor Company,20141001,GM to make profit in Europe  hit N. American margin target in 2016 ,MILFORD  Mich  Oct 1 General Motors Co on Wednesday said that in 2016 it would ring up its first profits in Europe in more than a decade and hit targeted North American operating margins.,normal
FCX,Freeport-McMoran Inc,20141001,Freeport Indonesia workers blockade mine after deadly accident ,JAKARTA  Oct 1 Workers at Freeport-McMoRan Inc's  Indonesian unit are blocking access to the mine site  union and company officials said on Wednesday  to protest against the number of fatal accidents at one of the world's biggest copper mines.,topStory
GEH,General Electric Capital Corporation,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,topStory
GEH,General Electric Capital Corporation,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,Oct 1 General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,normal
GEK,General Electric Capital Corporation,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,topStory
GEK,General Electric Capital Corporation,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,Oct 1 General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,normal
GE,General Electric Company,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,topStory
GE,General Electric Company,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,Oct 1 General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,normal
GEB,General Electric Company,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,topStory
GEB,General Electric Company,20141001,GE to study shore in latest clean-up step for NY's Hudson River ,Oct 1 General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River  the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago.,normal
GM,General Motors Company,20141001,UPDATE 3-Canadian vehicle sales drive toward record year ,TORONTO  Oct 1 Auto sales in Canada looked headed toward a record year on Wednesday after a number of automakers broke September sales records.,topStory
GM,General Motors Company,20141001,UPDATE 4-GM sees first European profit in 2016 after years of losses ,MILFORD  Mich.  Oct 1 General Motors Co  said on Wednesday it expects in 2016 to ring up its first profit in Europe in more than a decade and that it will also hit targeted North American operating margins that year.,normal
GM,General Motors Company,20141001,GM sees first European profit in 2016 after years of losses ,MILFORD Mich. General Motors Co  said on Wednesday it expects in 2016 to ring up its first profit in Europe in more than a decade and that it will also hit targeted North American operating margins that year.,normal
GM,General Motors Company,20141001,BRIEF-GM CFO says does not anticipate a share buyback over next 12 months ,DETROIT  Oct 1 General Motors Co CFO Chuck Stevens at company's investor meeting:  * CFO says does not anticipate a share buyback by company over next 12 months,normal
GM,General Motors Company,20141001,CORRECTED-UPDATE 2-GM sees first European profit in 2016 after years of losses ,(Corrects number of planned new and refreshed vehicle launches to show a percentage instead of a number  paragraph 7),normal
GM,General Motors Company,20141001,BRIEF-GM says to achieve 10 percent oper margins in N.America in 2016 ,* General Motors Co says to achieve 10 percent operating margins in north america in 2016,normal
GM,General Motors Company,20141001,GM to make profit in Europe  hit N. American margin target in 2016 ,MILFORD  Mich  Oct 1 General Motors Co on Wednesday said that in 2016 it would ring up its first profits in Europe in more than a decade and hit targeted North American operating margins.,normal
GSK,GlaxoSmithKline PLC,20141001,GlaxoSmithKline  NewLink working to bring Ebola vaccines online: WHO ,GENEVA Both GlaxoSmithKline and NewLink Genetics are working to boost their capacity to make Ebola vaccines  with a goal of a "very significant increase in scale during the first half of 2015"  the World Health Organization said on Wednesday.,topStory
GSK,GlaxoSmithKline PLC,20141001,UPDATE 1-GSK  NewLink working to bring Ebola vaccines online - WHO ,GENEVA  Oct 1 Both GlaxoSmithKline and NewLink Genetics are working to boost their capacity to make Ebola vaccines  with a goal of a "very significant increase in scale during the first half of 2015"  the World Health Organization said on Wednesday.,normal
GSK,GlaxoSmithKline PLC,20141001,GSK  NewLink working to bring Ebola vaccines online - WHO ,GENEVA  Oct 1 Both GlaxoSmithKline and NewLink are working to boost their capacity to make Ebola vaccines  with a goal of a "very significant increase in scale during the first half of 2015"  the World Health Organization (WHO) said on Wednesday.,normal
GG,Goldcorp Inc,20141001,UPDATE 1-Goldcorp eyes 1 mln ounces gold output in Mexican region in 2014 ,MEXICO CITY  Oct 1 Goldcorp said on Wednesday it expects to produce around 1 million ounces of gold in the Mexican region this year  or around a third of the gold giant's total estimated output for 2014.,topStory
GG,Goldcorp Inc,20141001,Goldcorp eyes 1 mln ounces gold output in Mexican region in 2014 ,MEXICO CITY  Oct 1 Goldcorp said on Wednesday it expects to produce around 1 million ounces of gold in the Mexican region this year  or around a third of the gold giant's total estimated output for 2014.,normal
GS,Goldman Sachs Group Inc (The),20141001,Goldman's Petershill II fund takes stake in hedge fund Caxton ,LONDON/BOSTON Goldman Sachs Group Inc has bought a 10 percent stake in hedge fund Caxton Associates  its third investment for its recently launched Petershill II fund  two sources familiar with the move said on Wednesday.,topStory
GS,Goldman Sachs Group Inc (The),20141001,UPDATE 1-Goldman's Petershill II fund takes stake in hedge fund Caxton ,LONDON/BOSTON  Oct 1 Goldman Sachs Group Inc  has bought a 10 percent stake in hedge fund Caxton Associates  its third investment for its recently launched Petershill II fund  two sources familiar with the move said on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20141001,Goldman's Petershill II fund takes stake in hedge fund Caxton ,LONDON/BOSTON  Oct 1 Goldman Sachs Group Inc  has bought a 10 percent stake in hedge fund Caxton Associates  its third investment for its recently launched Petershill II fund  two sources familiar with the move said on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20141001,Exclusive: Goldman leads investment by Wall Street in new communications platform ,NEW YORK After spending two years developing a wide-ranging communications tool for Wall Street  Goldman Sachs Group Inc says it has reached the perfect pitch.,normal
GS,Goldman Sachs Group Inc (The),20141001,Goldman Sachs lowers CBOT soy  corn  wheat price forecasts ,Oct 1 Goldman Sachs lowered its three- and six-month price forecasts for Chicago Board of Trade soybeans to $8 a bushel  below the current spot price near $9  the investment bank said in a note to clients dated Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20141001,US STOCKS-Options market is underpricing earnings moves -Goldman ,NEW YORK  Oct 1 U.S. stock market volatility has been higher of late - the CBOE Volatility index spiked 36 percent in September - but the options market is "nearly missing the potential" for stocks to move following their earnings  Goldman Sachs wrote on Wednesday.,normal
GHL,Greenhill & Co Inc,20141001,U.S. FCC plans roadshow to convince TV stations to sell airwaves ,WASHINGTON Television stations around the country will be hearing from the U.S. Federal Communications Commission in coming months as the regulator on Wednesday launches a push to sway reluctant broadcasters to sell their airwaves in an upcoming auction.,normal
GHL,Greenhill & Co Inc,20141001,U.S. FCC plans roadshow to convince TV stations to sell airwaves ,WASHINGTON  Oct 1 Television stations around the country will be hearing from the U.S. Federal Communications Commission in coming months as the regulator on Wednesday launches a push to sway reluctant broadcasters to sell their airwaves in an upcoming auction.,normal
GHL,Greenhill & Co Inc,20141001,U.S. FCC plans roadshow to convince TV stations to sell airwaves ,WASHINGTON  Oct 1 Television stations around the country will be hearing from the U.S. Federal Communications Commission in coming months as the regulator on Wednesday launches a push to sway reluctant broadcasters to sell their airwaves in an upcoming auction.,normal
HMC,Honda Motor Company Ltd,20141001,Japan auto sales fall for third month in a row in September ,TOKYO  Oct 1 Auto sales in Japan fell for the third month in a row in September in the latest sign that an April tax increase is still weighing on consumer spending.,normal
HON,Honeywell International Inc,20141001,UPDATE 1-U.S. orders airlines to replace cockpit displays on 1 300 Boeing airplanes ,Sept 30 The U.S. Federal Aviation Administration is requiring airlines to replace cockpit displays on more than 1 300 Boeing Co airplanes to avoid interference from Wi-Fi and cellular devices.,topStory
HON,Honeywell International Inc,20141001,U.S. orders airlines to replace cockpit displays on 1 300 Boeing airplanes ,Sept 30 The U.S. Federal Aviation Administration is requiring airlines to replace cockpit displays on more than 1 300 Boeing Co airplanes to avoid interference from Wi-Fi and cellular devices.,normal
HPQ,HP Inc,20141001,HP sees low-power servers making inroads in niche data centers ,SAN JOSE California Hewlett-Packard Co's vice president of server engineering expects new lower-power servers made with technology from ARM Holdings to make inroads in niche data centers over the next year in a market dominated by Intel Corp.,topStory
HPQ,HP Inc,20141001,HP sees low-power servers making inroads in niche data centers ,SAN JOSE  California  Oct 1 Hewlett-Packard Co's  vice president of server engineering expects new lower-power servers made with technology from ARM Holdings  to make inroads in niche data centers over the next year in a market dominated by Intel Corp.,normal
ITUB,Itau Unibanco Banco Holding SA,20141001,UPDATE 1-Itaú exec sees sluggish Brazil credit market  stable defaults ,SAO PAULO  Oct 1 Brazil's credit markets will continue to sag as economic growth stagnates  with weak loan book growth trends extending well into next year  a senior executive at Itaú Unibanco Holding SA  the nation's largest bank by market value  said on Wednesday.,topStory
ITUB,Itau Unibanco Banco Holding SA,20141001,Itaú exec sees sluggish Brazil credit market  stable defaults ,SAO PAULO  Oct 1 Brazil's credit markets will continue to sag as economic growth stagnates  with weak loan book growth trends extending well into next year  a senior executive at Itaú Unibanco Holding SA  the nation's largest bank by market value  said on Wednesday.,normal
JPM,J P Morgan Chase & Co,20141001,Nomura  JP Morgan among Japan Post IPO underwriters: government ,TOKYO The Japanese government has selected Nomura Securities and JP Morgan among the 11 underwriters for a planned initial public offering of state-owned Japan Post  the finance ministry said on Wednesday.,topStory
JPM,J P Morgan Chase & Co,20141001,Nomura  JP Morgan among Japan Post IPO underwriters - govt ,TOKYO  Oct 1 The Japanese government has selected Nomura Securities and JP Morgan among the 11 underwriters for a planned initial public offering of state-owned Japan Post   the finance ministry said on Wednesday.,normal
PHG,Koninklijke Philips NV,20141001,Philips Electronics loses $467 million patent verdict to Masimo ,A federal jury on Wednesday said Philips Electronics NA should pay $466.8 million to Masimo Corp  for having infringed two patents for technology used to help measure blood oxygen and track pulse rates.,topStory
PHG,Koninklijke Philips NV,20141001,UPDATE 1-Philips Electronics loses $467 mln patent verdict to Masimo ,Oct 1 A federal jury on Wednesday said Philips Electronics NA should pay $466.8 million to Masimo Corp  for having infringed two patents for technology used to help measure blood oxygen and track pulse rates.,normal
PHG,Koninklijke Philips NV,20141001,Philips Electronics loses $467 mln verdict in Masimo patent case ,Oct 1 A federal jury on Wednesday said Philips Electronics NA should pay $466.8 million to Masimo Corp  for having infringed two patents for technology used to help measure blood oxygen and track pulse rates.,normal
PHG,Koninklijke Philips NV,20141001,BRIEF-Masimo wins $466.8 million jury verdict in patent lawsuit against Philips Electronics ,Oct 1 Masimo Corp :  * Wins $466.8 million jury verdict in patent lawsuit against philips,normal
LMT,Lockheed Martin Corporation,20141001,US Air Force 'close' to contract award for next-gen radar ,WASHINGTON  Oct 1 The U.S. Air Force is close to announcing the winner of a three-way competition between Lockheed Martin Corp  Raytheon Co and Northrop Grumman Corp to build the next generation of long-range radars  senior military officials said.,topStory
LMT,Lockheed Martin Corporation,20141001,U.S. OKs $1.75 billion sale of Patriot PAC-3 missiles to Saudi Arabia ,WASHINGTON The U.S. State Department has approved a $1.75 billion sale to Saudi Arabia to upgrade its Patriot air defense system with PAC-3 missiles  a deal that would benefit Lockheed Martin Corp  and Raytheon Co   the Pentagon said Wednesday.,normal
LMT,Lockheed Martin Corporation,20141001,UPDATE 1-U.S. OKs $1.75 bln sale of Patriot PAC-3 missiles to Saudi Arabia ,WASHINGTON  Oct 1 The U.S. State Department has approved a $1.75 billion sale to Saudi Arabia to upgrade its Patriot air defense system with PAC-3 missiles  a deal that would benefit Lockheed Martin Corp and Raytheon Co   the Pentagon said Wednesday.,normal
LMT,Lockheed Martin Corporation,20141001,U.S. OKs $1.75 bln sale of Patriot PAC-3 missiles to Saudi Arabia ,WASHINGTON  Oct 1 The U.S. State Department has approved a $1.75 billion sale to Saudi Arabia of a Patriot air defense system and PAC-3 missiles  with Lockheed Martin Corp  and Raytheon Co to serve as the prime contractors  the Pentagon said Wednesday.,normal
MFC,Manulife Financial Corp,20141001,MOVES-Manulife Asset Management names Megan Greene chief economist ,Oct 1 Manulife Asset Management  the global asset management arm of Manulife Financial Corp  said it appointed Megan E. Greene managing director and chief economist.,topStory
MTL,Mechel PAO,20141001,UPDATE 2-Russia's Sberbank files lawsuit against indebted Mechel ,* VTB says it will drop lawsuit if payment agreement reached,topStory
MTL,Mechel PAO,20141001,Russia's Gazprombank does not rule out lawsuit against Mechel - Interfax ,MOSCOW  Oct 1 Russia's Gazprombank  does not rule out filing a lawsuit against debt-laden coal and steel producer Mechel  Interfax news agency quoted the lender's head  Andrei Akimov  as saying on Wednesday.,normal
MTL,Mechel PAO,20141001,Moscow exchange restricts trading in Mechel preferred shares ,MOSCOW  Oct 1 The Moscow Exchange  restricted trading in preferred shares of coal and steel producer Mechel after they rose more than 30 percent in trading on Wednesday.,normal
MTL,Mechel PAO,20141001,Russian bank VTB says "not afraid" to invest in Mechel ,MOSCOW  Oct 1 Andrei Kostin  the head of VTB Bank  one of Russia's largest  said on Wednesday the lender was "not afraid" of investing into debt-laden coal and steel producer Mechel.,normal
MRK,Merck & Company Inc,20141001,UPDATE 1-Esperion drug succeeds in lowering LDL cholesterol -study ,Oct 1 An experimental cholesterol-fighting drug being developed by Esperion Therapeutics Inc lowered LDL levels significantly more than Merck & Co Inc's  Zetia in a midstage clinical trial  Esperion said on Wednesday.,topStory
MRK,Merck & Company Inc,20141001,Esperion drug succeeds in lowering LDL cholesterol -study ,Oct 1 A new type of experimental cholesterol fighter being developed by Esperion Therapeutics Inc  lowered LDL levels significantly more than Merck & Co Inc's Zetia in a midstage clinical trial  the company said on Wednesday.,normal
MRK,Merck & Company Inc,20141001,Bayer launches US$7bn six-tranche acquisition bond ,NEW YORK  Oct 1 (IFR) - Bayer launched a US$7bn six-tranche acquisition bond financing for Merck's consumer care business Wednesday at levels 10bp-25bp inside of initial price thoughts  leads on the trade said.,normal
MRK,Merck & Company Inc,20141001,BRIEF-Bayer completes takeover of Merck & Co OTC drug unit ,* Completes takeover of merck & co otc drug unit  Further company coverage:,normal
MRK,Merck & Company Inc,20141001,BRIEF-Bayer closes buy of Merck & Co consumer care business ,* Says bayer closes acquisition of consumer care business of merck & co.  inc.  united states  for usd 14.2 billion,normal
MON,Monsanto Company,20141001,CORRECTED-RPT-Monsanto launches Mexico center for developing improved corn seeds ,(Corrects headline and first paragraph to show that new center will be developing conventional hybrid strains on corn; it will not be developing GMO corn seeds.),topStory
MON,Monsanto Company,20141001,Monsanto to spend $90 mln on corn seed research center in Mexico ,MEXICO CITY  Sept 30 Global seed technology giant Monsanto expects to invest $90 million over the next five years in a new corn seed research center in Mexico  the company said on Tuesday.,normal
MS,Morgan Stanley,20141001,ON THE MOVE-Morgan Stanley hires 5 brokers who managed $660 mln in assets ,NEW YORK  Oct 1 Morgan Stanley  the world's largest securities brokerage     by sales force  said on Wednesday that it hired five veteran financial advisers in September who collectively managed more than $660 million in client assets at their previous brokerages.,topStory
NYT,New York Times Company (The),20141001,New York Times to cut jobs as new products disappoint ,The New York Times Co said it would cut jobs  including about 7.5 percent of its newsroom positions  as advertising revenue dwindles and new digital products fail to live up to expectations.,topStory
NYT,New York Times Company (The),20141001,UPDATE 4-New York Times to cut jobs as new products disappoint ,Oct 1 The New York Times Co said it would cut jobs  including about 7.5 percent of its newsroom positions  as advertising revenue dwindles and new digital products fail to live up to expectations.,normal
NKE,Nike Inc,20141001,UPDATE 2-Adidas seeks to placate investors with share buyback ,* Shares down a third this year as Nike gains ground   (Adds spokesman  shareholder comment  background),topStory
NMR,Nomura Holdings Inc ADR,20141001,Nomura  JP Morgan among Japan Post IPO underwriters: government ,TOKYO The Japanese government has selected Nomura Securities and JP Morgan among the 11 underwriters for a planned initial public offering of state-owned Japan Post  the finance ministry said on Wednesday.,topStory
NMR,Nomura Holdings Inc ADR,20141001,Nomura  JP Morgan among Japan Post IPO underwriters - govt ,TOKYO  Oct 1 The Japanese government has selected Nomura Securities and JP Morgan among the 11 underwriters for a planned initial public offering of state-owned Japan Post   the finance ministry said on Wednesday.,normal
NOC,Northrop Grumman Corporation,20141001,US Air Force 'close' to contract award for next-gen radar ,WASHINGTON  Oct 1 The U.S. Air Force is close to announcing the winner of a three-way competition between Lockheed Martin Corp  Raytheon Co and Northrop Grumman Corp to build the next generation of long-range radars  senior military officials said.,topStory
NVO,Novo Nordisk A/S,20141001,Novo Nordisk's next big idea: a once-weekly insulin shot ,COPENHAGEN Denmark's Novo Nordisk  the world's largest insulin maker  is betting on a new way to stay ahead in the $40 billion-plus diabetes market by trying to develop the world's first once-weekly insulin injection.,topStory
ORAN,Orange,20141001,France's Orange to market Netflix in November - CEO ,PARIS  Oct 1 France's biggest telecom operator Orange has reached an agreement with Netflix  to offer the video streaming service on its set-top boxes from November  its chief executive Stephane Richard told Le Monde newspaper on Wednesday.,topStory
IX,Orix Corp Ads,20141001,China's CIC  AVIC end talks to acquire Avolon-sources ,Oct 1 China Investment Corp (CIC) and AVIC Capital Co Ltd have ended talks to acquire Avolon Holdings Ltd  making it likely that the aircraft leasing company will pursue an initial public offering  according to people familiar with the matter.,normal
RDN,Radian Group Inc,20141001,UPDATE 1-Investment Corp of Dubai eyes more business with Africa's Dangote ,DUBAI  Oct 1 Investment Corporation of Dubai (ICD) is exploring further investment opportunities with African conglomerate Dangote Group  the chief executive of the emirate's fund said on Wednesday.,topStory
RDN,Radian Group Inc,20141001,Dubai sovereign fund ICD exploring investment opps with Dangote Group ,DUBAI  Oct 1 Investment Corporation of Dubai is exploring further investment opportunities with African conglomerate Dangote Group  the chief executive of the emirate's fund said on Wednesday.,normal
RTN,Raytheon Company,20141001,US Air Force 'close' to contract award for next-gen radar ,WASHINGTON  Oct 1 The U.S. Air Force is close to announcing the winner of a three-way competition between Lockheed Martin Corp  Raytheon Co and Northrop Grumman Corp to build the next generation of long-range radars  senior military officials said.,topStory
RTN,Raytheon Company,20141001,U.S. OKs $1.75 billion sale of Patriot PAC-3 missiles to Saudi Arabia ,WASHINGTON The U.S. State Department has approved a $1.75 billion sale to Saudi Arabia to upgrade its Patriot air defense system with PAC-3 missiles  a deal that would benefit Lockheed Martin Corp  and Raytheon Co   the Pentagon said Wednesday.,normal
RTN,Raytheon Company,20141001,UPDATE 1-U.S. OKs $1.75 bln sale of Patriot PAC-3 missiles to Saudi Arabia ,WASHINGTON  Oct 1 The U.S. State Department has approved a $1.75 billion sale to Saudi Arabia to upgrade its Patriot air defense system with PAC-3 missiles  a deal that would benefit Lockheed Martin Corp and Raytheon Co   the Pentagon said Wednesday.,normal
RTN,Raytheon Company,20141001,U.S. OKs $1.75 bln sale of Patriot PAC-3 missiles to Saudi Arabia ,WASHINGTON  Oct 1 The U.S. State Department has approved a $1.75 billion sale to Saudi Arabia of a Patriot air defense system and PAC-3 missiles  with Lockheed Martin Corp  and Raytheon Co to serve as the prime contractors  the Pentagon said Wednesday.,normal
RGC,Regal Entertainment Group,20141001,Netflix 'Crouching Tiger' deal incurs wrath of theater chains ,U.S. theater chain Regal Entertainment Group said it would not show the sequel to "Crouching Tiger  Hidden Dragon" in any of its IMAX theaters  objecting to a move by IMAX and Netflix to side step a normal theater release.,topStory
RGC,Regal Entertainment Group,20141001,UPDATE 2-Netflix 'Crouching Tiger' deal incurs wrath of theater chains ,Sept 30 U.S. theater chain Regal Entertainment Group said it would not show the sequel to "Crouching Tiger  Hidden Dragon" in any of its IMAX theaters  objecting to a move by IMAX and Netflix to side step a normal theater release.,normal
RY,Royal Bank Of Canada,20141001,Canada's Royal Bank says will not spin off U.S. proprietary trading ,TORONTO  Oct 1 Royal Bank of Canada has decided not to divest its U.S. proprietary trading arm in its current form but will work to  comply with new regulations there  the lender said on Wednesday.,topStory
RBS,Royal Bank Scotland plc (The),20141001,MOVES - Walsh departs in RBS debt reshuffle ,LONDON  Oct 1 (IFR) - Jeremy Walsh  head of covered bond syndicate at RBS  is leaving the bank after 15 years of service as the UK lender reshuffles its syndicate business  according to market sources.,topStory
SLB,Schlumberger NV,20141001,Oil exploration makes a tentative return to Alsace region ,* Very small volumes produced today  but highly profitable,topStory
TTM,Tata Motors Ltd,20141001,TABLE-India's Tata Motors Sept vehicle sales down 8 pct y/y ,Oct 1 India's Tata Motors Ltd's  vehicle sales in September:                           Sept 2014      Sept 2013    Pct change   TOTAL SALES             46 118         50 387         -8   DOMESTIC SALES          40 874         45 958         -11   COMMERCIAL VEHICLES     28 943         33 119         -13   PASSENGER VEHICLES      11 931         12 839         -7   EXPORTS                  5 244          4 429          18  NOTE: Tata Motors makes commercial vehicles and passenger cars ,topStory
TI,Telecom Italia SPA,20141001,Deals of the day- Mergers and acquisitions ,(Adds Hochtief  Celulosa Arauco y Constitucion  Schneider Electric  Burton's Biscuits  Adama  CIC  Telecom Italia and Enterprise Products),topStory
TI,Telecom Italia SPA,20141001,Telecom Italia chairman says "there is no alliance" with Oi ,BRUSSELS  Oct 1 Telecom Italia  Chairman Gisueppe Recchi rejected on Wednesday speculation about a possible alliance between the Italian phone group and Brazilian telecoms group Oi.,normal
TI,Telecom Italia SPA,20141001,Telecom Italia chairman says no contact with Trujillo ,BRUSSELS Telecom Italia Chairman Giuseppe Recchi said on Wednesday there has been no contact with Sol Trujillo following reports that the U.S. businessman is interested in bidding for a stake in the Italian telecoms group.,normal
TI,Telecom Italia SPA,20141001,Telecom Italia chairman says no contact with Trujillo ,BRUSSELS   Oct 1 Telecom Italia  Chairman Giuseppe Recchi said on Wednesday there has been no contact with Sol Trujillo following reports that the U.S. businessman is interested in bidding for a stake in the Italian telecoms group.,normal
TM,Toyota Motor Corp Ltd Ord,20141001,Toyota sees flat 2014 sales in Russia despite market slump ,PARIS Toyota Motor Corp  expects to keep its sales in Russia at last year's levels despite a market slump there  helped by its focus on more downturn-resistant higher-end vehicles  a senior official said on Wednesday.,topStory
TM,Toyota Motor Corp Ltd Ord,20141001,UPDATE 1-Toyota sees flat 2014 sales in Russia despite market slump ,PARIS  Oct 1 Toyota Motor Corp expects to keep its sales in Russia at last year's levels despite a market slump there  helped by its focus on more downturn-resistant higher-end vehicles  a senior official said on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20141001,Toyota sees 2014 Europe sales at more than 865 000 units -exec ,PARIS  Oct 1 Toyota Motor Corp expects to sell "slightly more" than 865 000 vehicles in Europe this year  up from 847 530 in 2013  the head of its European operations said on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20141001,Japan auto sales fall for third month in a row in September ,TOKYO  Oct 1 Auto sales in Japan fell for the third month in a row in September in the latest sign that an April tax increase is still weighing on consumer spending.,normal
TRP,TransCanada Corporation,20141001,TransCanada sells stake in Bison  hints at accelerating drop downs ,TORONTO  Oct 1 Canadian pipeline operator TransCanada Corp sold its  30 percent interest in Bison Pipeline LLC to its master limited partnership on Wednesday  and hinted it may speed up such drop-down transactions in the months ahead.,topStory
TRN,Trinity Industries Inc,20141001,US STOCKS-Railcar shares fall; Dow transportation average down 1.7 pct ,NEW YORK  Oct 1 Railcar stocks including Trinity Industries were falling while the Dow Jones Transportation Average was down 1.7 percent with all 20 of its components in the red.,topStory
TWTR,Twitter Inc,20141001,Twitter grants $10 million to MIT for social data analysis  new tools ,SAN FRANCISCO Twitter Inc on Wednesday gave $10 million to the Massachusetts Institute of Technology for research that would explore how people use and achieve shared goals using social networks.,topStory
TWTR,Twitter Inc,20141001,Twitter grants $10 million to MIT for social data analysis  new tools ,SAN FRANCISCO  Oct 1 Twitter Inc on Wednesday gave $10 million to the Massachusetts Institute of Technology for research that would explore how people use and achieve shared goals using social networks.,normal
UNH,UnitedHealth Group Incorporated,20141001,Mexico's Angeles withdraws bid for Espirito Santo health unit ,LISBON  Oct 1 Mexico's Grupo Angeles has withdrawn its 430-million-euro ($541  million) bid for Portugal's Espirito Santo Saude  saying it was unable to go above China's Fosun offer for the hospital business of the indebted Espirito Santo family.,topStory
VZ,Verizon Communications Inc,20141001,U.S. delays plans to replace Healthcare.gov site host -WSJ ,Oct 1 The U.S. government has shelved plans to move the HealthCare.gov insurance website to a new host  the Wall Street Journal reported on Wednesday.,normal
VZA,Verizon Communications Inc,20141001,U.S. delays plans to replace Healthcare.gov site host -WSJ ,Oct 1 The U.S. government has shelved plans to move the HealthCare.gov insurance website to a new host  the Wall Street Journal reported on Wednesday.,normal
VSLR,Vivint Solar Inc,20141001,Panel installer Vivint Solar shares light up in debut ,Shares of Vivint Solar Inc rose as much as 9 percent in their market debut  as investors bet on growing demand for residential solar panel installations in the United States.,topStory
VSLR,Vivint Solar Inc,20141001,UPDATE 2-Panel installer Vivint Solar shares light up in debut ,Oct 1 Shares of Vivint Solar Inc rose as much as 9 percent in their market debut  as investors bet on growing demand for residential solar panel installations in the United States.,normal
VSLR,Vivint Solar Inc,20141001,Vivint Solar shares rise as much as 9 pct in debut ,Oct 1 Shares of Vivint Solar Inc  the second-largest installer of residential solar panels in the United States  rose as much as 9 percent in their market debut on the New York Stock Exchange  valuing the company at about $1.84 billion.,normal
VSLR,Vivint Solar Inc,20141001,Vivint Solar prices IPO ,Sept 30 Residential solar panel installer Vivint Solar Inc priced its initial public offering at $16 per share  valuing the Blackstone Group LP -backed company at $1.68 billion.,normal
DIS,Walt Disney Company (The),20141001,Amazon  Disney appear close to settling dispute over movies: WSJ ,Amazon.com Inc  appears to be close to settling a nearly two-month dispute with Walt Disney Co during which Amazon stopped offering Disney DVDs for preorder  the Wall Street Journal reported on Tuesday.,topStory
DIS,Walt Disney Company (The),20141001,Amazon  Disney appear close to settling dispute over movies -WSJ ,Sept 30 Amazon.com Inc appears to be close to settling a nearly two-month dispute with Walt Disney Co  during which Amazon stopped offering Disney DVDs for preorder  the Wall Street Journal reported on Tuesday.,normal
WHR,Whirlpool Corporation,20141001,U.S. factories lose steam but private sector steps up hiring ,WASHINGTON Growth in U.S. factory activity slowed more than expected in September even as hiring in the private sector accelerated  signs of an uneven expansion in the U.S. economy.,topStory
ZBK,Zions Bancorporation,20141001,Republicans craft 2015 plan to force Obama's hand on Keystone ,WASHINGTON Republicans plan to put approval of the long-delayed Keystone XL oil pipeline on a fast track early next year if they win a U.S. Senate majority in November  finally forcing President Barack Obama to make a tough call on the controversial plan.,topStory
ZBK,Zions Bancorporation,20141001,Republicans craft 2015 plan to force Obama's hand on Keystone ,* $10 bln cross-border pipeline project proposed 6 years ago,normal
APT,Alpha Pro Tech Ltd,20141001,US STOCKS-Ebola concerns lift Lakeland and Alpha in heavy trading ,NEW YORK  Oct 1 Shares of Lakeland Industries  and Alpha Pro Tech rallied on Wednesday in heavy trading  following news a day earlier of the first diagnosis of a patient in the United States with Ebola.,topStory
