ALKS,Alkermes plc,20140624,Even with Irish address  Alkermes prefers independence ,SAN DIEGO Dublin  Ireland-based Alkermes Plc has the low-tax domicile currently in vogue among multinational pharmaceutical companies but is not interested in being bought out as it nears the launch of new drugs  its chief executive said on Monday.,topStory
HSEA,HSBC Holdings plc,20140624,UPDATE 1-HSBC to halve countries served by private bank  sells assets ,LONDON  June 24 HSBC is halving the number of countries its private bank serves after selling a portfolio of Swiss banking assets  the latest bank to narrow its wealth management focus in a bid to improve profitability and cut compliance risk.,normal
HSEA,HSBC Holdings plc,20140624,Exclusive: Iran seeks to resolve HSBC freeze on some trade financing - sources ,LONDON/ANKARA Iran is lobbying to get HSBC  to process humanitarian trade transactions that Europe's biggest bank has frozen because of concerns about potential breaches of international sanctions  sources familiar with the trades told Reuters.,normal
HSEA,HSBC Holdings plc,20140624,HSBC sells $12 bln of Swiss private bank assets to LGT ,LONDON/ZURICH  June 24 HSBC Holdings  said it is selling $12.5 billion of private banking assets in Switzerland to Liechtenstein's biggest bank LGT Group Foundation .,normal
HSEA,HSBC Holdings plc,20140624,BRIEF-HSBC to some private banking assets to LGT Bank ,* HSBC private bank (Suisse) SA agrees sale of portfolio of private banking assets,normal
HSEB,HSBC Holdings plc,20140624,HSBC to halve countries served by private bank  sells assets ,LONDON HSBC  is halving the number of countries its private bank serves after selling a portfolio of Swiss banking assets  the latest bank to narrow its wealth management focus in a bid to improve profitability and cut compliance risk.,topStory
HSEB,HSBC Holdings plc,20140624,UPDATE 1-HSBC to halve countries served by private bank  sells assets ,LONDON  June 24 HSBC is halving the number of countries its private bank serves after selling a portfolio of Swiss banking assets  the latest bank to narrow its wealth management focus in a bid to improve profitability and cut compliance risk.,normal
HSEB,HSBC Holdings plc,20140624,Exclusive: Iran seeks to resolve HSBC freeze on some trade financing - sources ,LONDON/ANKARA Iran is lobbying to get HSBC  to process humanitarian trade transactions that Europe's biggest bank has frozen because of concerns about potential breaches of international sanctions  sources familiar with the trades told Reuters.,normal
HSEB,HSBC Holdings plc,20140624,HSBC sells $12 bln of Swiss private bank assets to LGT ,LONDON/ZURICH  June 24 HSBC Holdings  said it is selling $12.5 billion of private banking assets in Switzerland to Liechtenstein's biggest bank LGT Group Foundation .,normal
HSEB,HSBC Holdings plc,20140624,BRIEF-HSBC to some private banking assets to LGT Bank ,* HSBC private bank (Suisse) SA agrees sale of portfolio of private banking assets,normal
IBM,International Business Machines Corporation,20140624,Ebay hires ex-IBM exec to head enterprise division ,SAN FRANCISCO  June 24 Ebay Inc has hired 15-year IBM Corp veteran Craig Hayman to steer its enterprise business  which helps clients with shipping  marketing and customer management.,topStory
KKR,KKR & Co LP,20140624,KKR buys stake in Spain's Acciona energy arm for $567 mln ,LONDON  June 24 Private equity firm KKR  is to purchase a one-third stake in the energy arm of Spain's Acciona for 417 million euros ($567 million)  the companies said on Tuesday  as they move to develop one of the world's largest renewable energy portfolios.,topStory
PHG,Koninklijke Philips NV,20140624,Philips  Infineon  Samsung face EU antitrust fines soon ,BRUSSELS  June 24 EU regulators are poised to fine Philips  Samsung Electronics and Infineon Technologies in the coming weeks for fixing prices of chips used in mobile SIM cards  two people familiar with the case said on Tuesday.,topStory
LYV,Live Nation Entertainment Inc,20140624,UPDATE 1-Townsquare Media files for IPO of up to $144 mln ,June 24 Radio station operator Townsquare Media LLC filed with U.S. regulators on Tuesday to raise up to about $143.8 million in an initial public offering.,normal
LYG,Lloyds Banking Group Plc,20140624,Lloyds hopes to help Britain with ESG bond ,June 24 (IFR) - Lloyds Bank is hoping to raise its first Environmental  Social & Governance (ESG) bond  the latest institution to use the bond market to fund good causes.,topStory
LMT,Lockheed Martin Corporation,20140624,Lockheed wins $1.9 bln deal for U.S. missile-warning satellites ,WASHINGTON The U.S. Air Force said on Tuesday it had awarded Lockheed Martin Corp  a contract valued at $1.9 billion to complete work on two more missile-warning satellites as part of the Space-Based Infrared Systems (SBIRS) system.,topStory
LMT,Lockheed Martin Corporation,20140624,Lockheed wins $1.9 bln deal for U.S. missile-warning satellites ,WASHINGTON  June 24 The U.S. Air Force said on Tuesday it had awarded Lockheed Martin Corp a contract valued at $1.9 billion to complete work on two more missile-warning satellites as part of the Space-Based Infrared Systems (SBIRS) system.,normal
LMT,Lockheed Martin Corporation,20140624,U.S. Air Force to resume F-35A fighter jet flights Wednesday ,WASHINGTON The U.S. Air Force said it will resume flights of Lockheed Martin Corp's F-35 A-model fighter jets at a Florida air base on Wednesday  two days after one of the jets caught fire while preparing for takeoff.,normal
LMT,Lockheed Martin Corporation,20140624,U.S. Air Force to resume F-35A fighter jet flights Wednesday ,WASHINGTON  June 24 The U.S. Air Force said it will resume flights of Lockheed Martin Corp's F-35 A-model fighter jets at a Florida air base on Wednesday  two days after one of the jets caught fire while preparing for takeoff.,normal
MCD,McDonald&#39;s Corporation,20140624,MALAYSIA PRESS-Cuscapi wins point-of-sale contracts from Old Town  Starbucks  McDonald's ,Employees Provident Fund to take part in the $2.2 bln redevelopment of former Pudu jail site-The Star,topStory
MON,Monsanto Company,20140624,Deals of the day- Mergers and acquisitions ,(Adds Opera Software  GDF Suez  Endo International; updates KKR  San Miguel Corp),topStory
MON,Monsanto Company,20140624,Syngenta shares jump on report of Monsanto takeover talks ,ZURICH Syngenta's SYNN.VX shares jumped on Tuesday after a media report that the Swiss crop chemical maker had been in talks about a $40 billion takeover by U.S. rival Monsanto Co MON.N to create the world's largest agrochemical company. | Video ,normal
MON,Monsanto Company,20140624,UPDATE 4-Syngenta shares jump on report of Monsanto takeover talks ,* Syngenta declines to comment on report of Monsanto talks,normal
MON,Monsanto Company,20140624,European shares drift lower  Belgium's Colruyt knocked ,* FTSEurofirst 300 off 0.1 pct  retreats from 6-1/2 yr high,normal
MON,Monsanto Company,20140624,European shares drift lower  Colruyt knocked ,* FTSEurofirst 300 off 0.1 pct  retreats from 6-1/2 yr high,normal
MON,Monsanto Company,20140624,European shares drift lower  Colruyt knocked ,* FTSEurofirst 300 off 0.2 pct  retreats from 6-1/2 yr high,normal
MON,Monsanto Company,20140624,Subdued Ifo takes M&A shine off European stocks ,LONDON European stocks and major currency and bond markets struggled for direction on Tuesday  underpinned by manufacturing data from China  Japan and the United States the previous day but unnerved by growing signs of economic weakness in Europe.,normal
MON,Monsanto Company,20140624,Syngenta surge lifts European shares ,LONDON  June 24 European shares rose on Tuesday  buoyed by new signs of corporate takeover activity  with agrochemicals company Syngenta surging on a media report that peer Monsanto had considered buying it.,normal
MON,Monsanto Company,20140624,Shares in Syngenta surge 6.5 pct after takeover report ,ZURICH  June 24 Shares in Syngenta  rose 6.5 percent in early trade on Tuesday  following a Bloomberg report that agriculture company Monsanto had been considering a takeover of the Swiss agrochemicals firm.,normal
NLS,Nautilus Group Inc (The),20140624,Shipping company Nautilus files for U.S. bankruptcy ,June 24 Nautilus Holdings Ltd  a Bermuda-chartered company that leases container ships  has filed for Chapter 11 bankruptcy protection in New York  becoming the latest victim of a depressed shipping industry.,topStory
NAV,Navistar International Corporation,20140624,UPDATE 1-Navistar adopts tax asset protection plan ,June 24 Truck and engine maker Navistar International Corp said it adopted a tax asset protection plan to guard against any ownership changes that could hurt its ability to use net operating losses for tax relief.,topStory
NAV,Navistar International Corporation,20140624,Navistar adopts tax asset protection plan ,June 24 Truck and engine maker Navistar International Corp said it would turn its existing poison pill takeover defense into a tax asset protection plan.,normal
NYT,New York Times Company (The),20140624,INDIA PRESS-Germany's TUI acquires travel company Le Passage-The Times of India ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore),topStory
NEE,NextEra Energy Inc,20140624,UPDATE 1-Energy Future unit rejects NextEra's $2.3 bln bankruptcy plan ,June 24 Energy Future Holdings rejected an unsolicited $2.3 billion restructuring plan by NextEra Energy Inc that would have given the alternative energy group a large stake in Energy Future's power lines unit  according to court filings.,topStory
NEE,NextEra Energy Inc,20140624,CORRECTED-Energy Future unit rejects NextEra's $2.3 bln bankruptcy plan ,(Corrects fifth paragraph to show NextEra is based in Juno Beach  Florida  and not Diller  Nebraska),normal
PTR,PetroChina Company Limited,20140624,Hong Kong  China shares regain a little ground  state energy firms down ,* PetroChina down again after state auditor's report   (Updates to midday),topStory
PBR,Petroleo Brasileiro SA- Petrobras,20140624,EMERGING MARKETS-Bovespa erases gains as Petrobras  Copel disappoint ,(Updates with Brazil's Bovespa closing little changed as Petrobras  Copel erased gains),topStory
PBR,Petroleo Brasileiro SA- Petrobras,20140624,UPDATE 1-Brazil gives Petrobras subsalt production rights  shares fall ,(Adds statement from Petrobras and Itau BBA analysts on the rights extension),normal
PKX,POSCO,20140624,POSCO decides against buying Dongbu's steel  power units ,SEOUL  June 24 South Korean steelmaker POSCO  said on Tuesday that it will not buy two of the units of the cash-strapped Dongbu Group conglomerate  citing financial burdens and price differences.,topStory
SVU,SuperValu Inc,20140624,Delhaize appoints SUPERVALU retail head as U.S. chief ,BRUSSELS  June 24 Belgian supermarkets group Delhaize has appointed the former president of retail operations of U.S. grocery group SUPERVALU as the head of Delhaize America after a nine-month search.,topStory
TGT,Target Corporation,20140624,California's top court says Target not required to carry in-store defibrillators ,SACRAMENTO California's top court on Monday unanimously ruled that large retailers are not required to provide automated external defibrillators (AEDs) inside their stores  deciding in favor of Target Corp in a wrongful death lawsuit brought after a shopper's sudden death.,topStory
TGT,Target Corporation,20140624,California's top court says Target not required to carry in-store defibrillators ,SACRAMENTO  June 23 California's top court on Monday unanimously ruled that large retailers are not required to provide automated external defibrillators (AEDs) inside their stores  deciding in favor of Target Corp in a wrongful death lawsuit brought after a shopper's sudden death.,normal
TI,Telecom Italia SPA,20140624,Italy proposes new cut to wholesale telecom fees ,ROME  June 24 Italian regulator AGCOM has proposed a new to wholesale telecom fees  an official said on Tuesday  a move that may erode earnings at Telecom Italia  which owns the bulk of Italy's phone network.,topStory
TMO,Thermo Fisher Scientific Inc,20140624,UPDATE 1-Laboratory supplies provider VWR Corp files for IPO ,June 24 VWR Corp  a provider of laboratory supplies and services  filed with U.S. regulators on Tuesday to raise up to $100 million in an initial public offering.,normal
TWX,Time Warner Inc,20140624,UPDATE 3-AT&T tells lawmakers DirecTV deal won't guarantee lower prices ,(Adds comments on reduction of prices  Comcast/Time Warner competition  rewrites throughout),topStory
TWX,Time Warner Inc,20140624,Amazon close to resolving pricing dispute with Warner Bros: WSJ ,Amazon.com Inc has resumed preorders of movie discs from Time Warner Inc's Warner Bros Studio as the companies are close to resolving a pricing dispute  the Wall Street Journal reported citing people familiar with the matter.,normal
TWX,Time Warner Inc,20140624,Amazon close to resolving pricing dispute with Warner Bros -WSJ ,June 23 Amazon.com Inc has resumed preorders of movie discs from Time Warner Inc's Warner Bros Studio as the companies are close to resolving a pricing dispute  the Wall Street Journal reported citing people familiar with the matter.,normal
TM,Toyota Motor Corp Ltd Ord,20140624,Japan bets big on making fuel-cell cars a near-future reality ,TOKYO  June 25 Japan's government and top carmakers  including Toyota Motor Corp  are joining forces to bet big that they can speed up the arrival of the fuel cell era: a still costly and complex technology that uses hydrogen as fuel and could virtually end the problem of automotive pollution.,topStory
TM,Toyota Motor Corp Ltd Ord,20140624,UPDATE 1-Nissan CEO Ghosn was paid $9.8 million in fiscal 2013/14 ,* Adds Toyota President's salary  Renault background   (Adds Toyota President Akio Toyoda's salary and Ghosn's compensation from Renault),normal
VR,Validus Holdings Ltd,20140624,Fitch: Validus' Acquisition of Western World Provides U.S. Platform ,(The following statement was released by the rating agency) NEW YORK  June 24 (Fitch) Fitch Ratings today said that the ratings of Validus  Holdings  Ltd. (Validus) were unaffected by the company's announced plans to  acquire Western World Insurance Group (Western World).  Validus has reached agreement to acquire Western World for $690 million in cash  in a transaction that is expected to close in the fourth quarter of 2014.  Western World is a New Jersey-based privately held property/casualty i,topStory
WMT,Wal-Mart Stores Inc,20140624,Inspection tensions add to Bangladesh garment industry's woes ,DHAKA It took Western safety inspectors only about an hour to tour a factory the size of three football fields before ordering a partial shutdown of Sonia & Sweaters Ltd  a Bangladesh clothing supplier to Wal-Mart Stores Inc  and Debenhams .,topStory
