AAL,American Airlines Group Inc,20140513,Smoke at Chicago-area radar center cancels hundreds of flights ,CHICAGO Smoke at an Illinois flight control center halted air traffic at Chicago airports for about three hours on Tuesday and forced hundreds of flights to be canceled  officials said.,topStory
KO,Coca-Cola Company (The),20140513,Coca-Cola to boost stake in Keurig to become biggest shareholder ,Coca-Cola Co  will raise its stake in Keurig Green Mountain Inc  to 16 percent from 10 percent  which will make it the largest shareholder of the maker of the popular Keurig one-cup coffee brewer.,normal
KO,Coca-Cola Company (The),20140513,CORRECTED-Coca-Cola to raise stake in Keurig Green Mountain ,(Corrects throughout to say Coke is yet to increase its stake),normal
KO,Coca-Cola Company (The),20140513,CORRECTED-UPDATE 1-Coca-Cola to boost stake in Keurig to become biggest shareholder ,(Corrects throughout to say Coke is yet to increase its stake  removes reference to value of stake),normal
COP,ConocoPhillips,20140513,UPDATE 1-Conoco to soon argue damages in Venezuela dispute -CEO ,HOUSTON  May 13 ConocoPhillips Chief Executive Ryan Lance on Tuesday said his company and Venezuela are due to argue damages before the World Bank's arbitration panel as their dispute over oil assets in the South American country moves forward.,topStory
DEO,Diageo plc,20140513,BRIEF-Diageo launches 1.7 billion euros fixed rate bonds ,* Launches and prices 1.125 pct 5 year and 2.375 pct 12 year fixed rate euro denominated bonds,topStory
DEO,Diageo plc,20140513,New Issue- Diageo prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 64.2bp,normal
EC,Ecopetrol SA,20140513,Colombia's Ecopetrol to sell half stake in Capachos block to Parex ,BOGOTA  May 12 Colombia's state-run oil company Ecopetrol said on Monday it had reached a deal to sell a 50 percent stake in its Capachos oil block to Canadian-listed Parex Resources Inc  which would be the operator.,topStory
ECA,Encana Corporation,20140513,CANADA STOCKS-TSX climbs with Encana  energy shares ,* TSX rises 24.87 points  or 0.17 percent  to 14 679.81     * Seven of the 10 main index sectors advance     * Encana jumps 2 percent after reporting results     * Valeant slips after plans to raise Allergan bid      By John Tilak     TORONTO  May 13 Canada's main stock index advanced on Tuesday as higher oil prices boosted energy producers and strong quarterly results fueled a jump in shares of Encana Corp.      Encana climbed 2 percent after the natural gas producer said its first-,topStory
ECA,Encana Corporation,20140513,UPDATE 2-Encana profit beats estmates; cold weather boosts gas prices ,(Adds detail and comments; updates share movement. In U.S. dollars unless noted.),normal
ECA,Encana Corporation,20140513,CANADA STOCKS-Encana  other energy shares push TSX higher ,* TSX rises 20.06 points  or 0.14 percent  to 14 675     * Seven of the 10 main index sectors advance     * Encana jumps 2.8 percent after reporting results     * Valeant climbs; says it will "improve" Allergan bid      By John Tilak     TORONTO  May 13 Canada's main stock index rose on Tuesday as strong quarterly results fueled a jump in shares of Encana Corp and higher oil prices boosted other energy producers.     Encana climbed 2.8 percent after the natural gas producer's first-q,normal
ECA,Encana Corporation,20140513,Encana operating profit doubles on higher gas prices ,May 13 Encana Corp   Canada's largest natural-gas producer  said its first-quarter operating profit more than doubled  helped by higher gas prices and liquids production.,normal
ETR,Entergy Corporation,20140513,Entergy to keep Arkansas 2 nuclear power reactor shut for refuel ,May 13 Entergy Corp will keep its 989-megawatt Unit 2 at the Arkansas nuclear power plant shut for refueling  the company said in an email late Monday.,topStory
GSK,GlaxoSmithKline PLC,20140513,UPDATE 2-Chinese police to brief media on GlaxoSmithKline on Wednesday amid probe ,BEIJING  May 13 Chinese police will brief the media on Wednesday about British drug maker GlaxoSmithKline PLC   which has been under investigation for allegedly funneling up to 3 billion yuan to travel agencies to facilitate bribes to doctors and officials.,topStory
GSK,GlaxoSmithKline PLC,20140513,Chinese police to brief media on GlaxoSmithKline amid probe ,BEIJING Chinese police will brief the media on Wednesday about British drug maker GlaxoSmithKline PLC  which has been under investigation for allegedly funneling up to 3 billion yuan to travel agencies to facilitate bribes to doctors and officials.,normal
GSK,GlaxoSmithKline PLC,20140513,Chinese police to brief media on GlaxoSmithKline on Wednesday amid probe ,BEIJING  May 13 China's Ministry of Public Security will brief the media on Wednesday about UK drug maker GlaxoSmithKline PLC  which has been under investigation for allegedly funneling up to 3 billion yuan to travel agencies to facilitate bribes to doctors and officials.,normal
GSK,GlaxoSmithKline PLC,20140513,GSK says heart drug darapladib fails in second late-stage trial ,LONDON GlaxoSmithKline said its drug darapladib had not reduced heart attacks or other major events in patients with acute coronary syndrome  marking another disappointment for the innovative heart medicine.,normal
GSK,GlaxoSmithKline PLC,20140513,GSK says heart drug darapladib fails in second late-stage trial ,LONDON  May 13 GlaxoSmithKline said its drug darapladib had not reduced heart attacks or other major events in patients with acute coronary syndrome  marking another disappointment for the innovative heart medicine.,normal
GS,Goldman Sachs Group Inc (The),20140513,UPDATE 1-UK Stocks-Factors to watch on May 13 ,LONDON  May 13 Britain's FTSE 100 June futures contract  rose 0.3 percent by 0625 GMT  with the cash market indicated up by 0.4 percent  on Tuesday. For more on the factors affecting European stocks  please click on,normal
GS,Goldman Sachs Group Inc (The),20140513,UK Stocks-Factors to watch on May 13 ,LONDON  May 13 Britain's FTSE 100 index is seen opening up by 24 to 25 points  or 0.4 percent higher  on Tuesday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
HMC,Honda Motor Company Ltd,20140513,Honda targets 21 pct rise in India two-wheeler sales in FY15 ,MUMBAI  May 13 Honda Motor Co's Indian two-wheeler unit aims to increase sales by 21 percent in the current fiscal year that started in April  helped by booming sales of its scooters and planned launches.,topStory
JNJ,Johnson & Johnson,20140513,UK body blocks earlier use of J&J prostate cancer drug ,LONDON Britain's healthcare cost-effectiveness agency NICE said on Wednesday that a Johnson & Johnson prostate cancer drug  originally invented in Britain  was not worth giving to patients who have yet to receive chemotherapy.,topStory
JNJ,Johnson & Johnson,20140513,UK body blocks earlier use of J&J prostate cancer drug ,LONDON  May 14 Britain's healthcare cost-effectiveness agency NICE said on Wednesday that a Johnson & Johnson prostate cancer drug  originally invented in Britain  was not worth giving to patients who have yet to receive chemotherapy.,normal
KMI,Kinder Morgan Inc,20140513,Gasoline spilled at Kinder Morgan station in S. Carolina -WSJ ,May 12 Gasoline was spilled at a pipeline pumping station in western South Carolina owned by Kinder Morgan Energy Partners LP  the Wall Street Journal reported on Monday.,topStory
LYG,Lloyds Banking Group Plc,20140513,EU approves Lloyds' plan for TSB IPO ,LONDON The European Commission has approved plans by Lloyds Banking Group  to list hundreds of branches renamed TSB on the London Stock Exchange  paving the way for a flotation before the end of June.,topStory
LYG,Lloyds Banking Group Plc,20140513,UPDATE 1-EU approves Lloyds' plan for TSB IPO ,* Lloyds expected to launch IPO at end-May -sources   (Adds further details),normal
LYG,Lloyds Banking Group Plc,20140513,European regulators approve Lloyds' plans for TSB IPO ,LONDON  May 13 The European Commission said on Tuesday it had approved plans by Lloyds Banking Group  to float hundreds of branches re-named TSB on the London Stock Exchange  paving the way for a flotation before the end of June.,normal
MS,Morgan Stanley,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
MS,Morgan Stanley,20140513,Deals of the day- Mergers and acquisitions ,May 13 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,normal
MS,Morgan Stanley,20140513,Morgan Stanley 'committed' to selling oil trading unit to Rosneft ,PURCHASE  N.Y. May 13 Morgan Stanley said on Tuesday it plans to proceed with the sale of its global physical oil trading divisions to Russian state-run oil company Rosneft despite the ongoing crisis in Ukraine.,normal
NBR,Nabors Industries Ltd,20140513,UPDATE 1-Turbulence hits batch of U.S. stocks near the close ,NEW YORK  May 13 A cluster of stocks suffered from a bout of volatility near the closing bell on Tuesday in what may have been a mini-"flash crash" event  with the shares of over a dozen companies experiencing a sudden jump or fall in price and a spike in volume.,normal
ORCL,Oracle Corporation,20140513,Oracle faces scrutiny over $1.3 billion verdict against SAP ,SAN FRANCISCO A U.S. appeals court appeared skeptical on Tuesday about reinstating a $1.3 billion jury verdict won by Oracle Corp against SAP  in a case where the European software company admitted massive copyright infringement.,topStory
ORCL,Oracle Corporation,20140513,UPDATE 1-Oracle faces scrutiny over $1.3 bln verdict against SAP ,SAN FRANCISCO  May 13 A U.S. appeals court appeared skeptical on Tuesday about reinstating a $1.3 billion jury verdict won by Oracle Corp against SAP  in a case where the European software company admitted massive copyright infringement.,normal
ORCL,Oracle Corporation,20140513,Oracle faces scrutiny over $1.3-bln damages verdict against SAP ,SAN FRANCISCO  May 13 A U.S. appeals court appeared skeptical on Tuesday about reinstating a $1.3-billion-dollar verdict won by Oracle against SAP  in a case where the European software company admitted massive copyright infringement by one of its business units.,normal
P,Pandora Media Inc,20140513,UPDATE 2-Jeweller Pandora's shares hit record high as it ups revenue forecast ,* Shares hit all-time high   (Adds details  shares  quotes),topStory
P,Pandora Media Inc,20140513,NORDIC STOCKS - Factors to watch on May 13 ,HELSINKI  May 13 The following stocks may be affected by newspaper reports and other factors on Tuesday:,normal
P,Pandora Media Inc,20140513,Pandora Q1 earnings beat forecasts  raises 2014 revenue outlook ,COPENHAGEN  May 13 Danish jewellery maker and retailer Pandora raised its full-year revenue outlook after first-quarter operating profit and revenue beat analysts' estimates.,normal
PTR,PetroChina Company Limited,20140513,China shares down on coal  losses limited by property  PetroChina ,BEIJING  May 13 China shares closed down slightly on Tuesday  as investors locked in some of the previous day's strong gains following news of deepening capital reforms  though property continued to perform strongly.,topStory
PTR,PetroChina Company Limited,20140513,Hong Kong extends gains on tech  property; mainland stocks down ,* Sinopec  PetroChina shares up on industry consolidation,normal
PFE,Pfizer Inc,20140513,Call for 10-year Pfizer pledge as CEO faces new grilling ,LONDON  May 14 Pfizer faces calls to extend its commitment to UK jobs and research to least 10 years as the U.S. drugmaker's boss prepares for a second day of questioning from lawmakers over its plan to buy AstraZeneca .,topStory
PFE,Pfizer Inc,20140513,UK lawmakers give Pfizer stick as it waves carrot at AstraZeneca ,LONDON U.S. drugmaker Pfizer hinted it could raise its proposed $106 billion offer if AstraZeneca would only engage in talks  as its boss was grilled by UK lawmakers on his commitment to British research spending and jobs. | Video ,normal
PFE,Pfizer Inc,20140513,Housebuilders push Britain's FTSE to highest close this century ,LONDON  May 13 Britain's top share index hit its highest closing level since December 1999 on Tuesday  led by housebuilding stocks  with technical analysts betting the broader market could push on further still.,normal
PFE,Pfizer Inc,20140513,Pfizer pursuit of Astra 'tax-driven'  says Swedish finance minister ,COPENHAGEN Sweden's finance minister labeled U.S. drugmaker Pfizer's proposed $106 billion offer for drugs firm AstraZeneca as "tax-driven" on Tuesday and warned that jobs would be lost if it went through.,normal
PFE,Pfizer Inc,20140513,Pfizer pursuit of Astra "tax-driven"  says Swedish finance minister ,COPENHAGEN  May 13 Sweden's finance minister labelled U.S. drugmaker Pfizer's proposed $106 billion offer for drugs firm AstraZeneca as "tax-driven" on Tuesday and warned that jobs would be lost if it went through.,normal
PFE,Pfizer Inc,20140513,FTSE's gains held back by weaker easyJet ,LONDON  May 13 Britain's top share index lost ground after touching its highest level in more than 14 years on Tuesday  with easyJet among the biggest decliners as investors took profits on the airline after a powerful rally.,normal
PFE,Pfizer Inc,20140513,UPDATE 6-UK lawmakers give Pfizer stick as it waves carrot at AstraZeneca ,* AstraZeneca says "opportunistic" bid risks R&D disruption,normal
PFE,Pfizer Inc,20140513,UK minister says intervention on AstraZeneca  Pfizer 'tricky' ,LONDON Intervening in Pfizer's proposed acquisition of AstraZeneca using public interest rules is "quite tricky" and could be a lengthy process  British business minister Vince Cable said on Tuesday.,normal
PFE,Pfizer Inc,20140513,UK minister says intervention on AstraZeneca  Pfizer "tricky" ,LONDON  May 13 Intervening in Pfizer's  proposed acquisition of AstraZeneca using public interest rules is "quite tricky" and could be a lengthy process  British business minister Vince Cable said on Tuesday.,normal
PFE,Pfizer Inc,20140513,Slightly firmer FTSE bruised by weaker easyJet ,LONDON  May 13 Britain's top share index lost ground after touching its highest in more than 14 years on Tuesday  with easyJet among the biggest decliners as investors took profits on the airline after a powerful rally.,normal
PF,Pinnacle Foods Inc,20140513,Hillshire bondholders shrug off "junk" downgrade ,NEW YORK  May 13 (IFR) - Hillshire Brands bonds held steady on Tuesday even though the company was hit with a three-notch downgrade to junk credit status over its US$6.6bn acquisition of Pinnacle Foods.,topStory
PEG,Public Service Enterprise Group Incorporated,20140513,PSEG extends N.J. Salem 2 nuclear power reactor outage ,May 13 Public Service Enterprise Group Inc  said on Tuesday it will extend the ongoing refuelling outage at its 1 160-megawatt Unit 2 at the Salem nuclear power plant in New Jersey.,topStory
RBS,Royal Bank Scotland plc (The),20140513,RBS's former U.S. boss paid $7.5 million last year ,LONDON The former boss of state-backed Royal Bank of Scotland's  U.S. arm Citizens was paid $7.5 million last year  including $500 000 in consultancy fees for three months after she left.,topStory
RBS,Royal Bank Scotland plc (The),20140513,UPDATE 1-RBS's former U.S. boss paid $7.5 mln last year ,LONDON  May 13 The former boss of state-backed Royal Bank of Scotland's U.S. arm Citizens was paid $7.5 million last year  including $500 000 in consultancy fees for three months after she left.,normal
RBS,Royal Bank Scotland plc (The),20140513,RBS's former U.S. boss paid $7.5 million last year ,LONDON The boss of state-backed Royal Bank of Scotland's  U.S. arm Citizens was paid $7.5 million last year  including $500 000 in consultancy fees for three months after she left.,normal
RBS,Royal Bank Scotland plc (The),20140513,RBS's former U.S. boss paid $7.5 mln last year ,LONDON  May 13 The boss of state-backed Royal Bank of Scotland's U.S. arm Citizens was paid $7.5 million last year  including $500 000 in consultancy fees for three months after she left.,normal
CRM,Salesforcecom Inc,20140513,Salesforce-backed Anaplan raises $100 million ,SAN FRANCISCO  May 13 Performance-management company Anaplan has raised $100 million in fresh capital  it said Tuesday  joining a growing roster of enterprise companies winning private funding even as that sector wilts in the public markets.,topStory
SNY,Sanofi,20140513,L'Oreal's Sanofi stake a 'reserve' for takeovers  CEO says ,FRANKFURT  May 13 French cosmetics group L'Oreal  is ready to cash in on its stake in drugmaker Sanofi  should it need the money to fund a larger takeover  L'Oreal's Chief Executive Jean-Paul Agon told a German newspaper.,topStory
SAP,SAP SE,20140513,UPDATE 1-Oracle faces scrutiny over $1.3 bln verdict against SAP ,SAN FRANCISCO  May 13 A U.S. appeals court appeared skeptical on Tuesday about reinstating a $1.3 billion jury verdict won by Oracle Corp against SAP  in a case where the European software company admitted massive copyright infringement.,topStory
SAP,SAP SE,20140513,Oracle faces scrutiny over $1.3-bln damages verdict against SAP ,SAN FRANCISCO  May 13 A U.S. appeals court appeared skeptical on Tuesday about reinstating a $1.3-billion-dollar verdict won by Oracle against SAP  in a case where the European software company admitted massive copyright infringement by one of its business units.,normal
LUV,Southwest Airlines Company,20140513,Seattle airport jetway falls as passengers exit plane; no injuries ,A jetway collapsed on Tuesday at Seattle-Tacoma International Airport as passengers were exiting a Southwest Airlines flight from Phoenix  but no one was injured in the incident  an airport spokeswoman said.,topStory
LUV,Southwest Airlines Company,20140513,Seattle airport jetway falls as passengers exit plane; no injuries ,May 13 A jetway collapsed on Tuesday at Seattle-Tacoma International Airport as passengers were exiting a Southwest Airlines flight from Phoenix  but no one was injured in the incident  an airport spokeswoman said.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140513,BRIEF-TSMC orders machinery equipment worth T$760.2 million from Tokyo Electron ,May 13 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TI,Telecom Italia SPA,20140513,Telecom Italia sees offers for Brazil towers by end-May ,MILAN  May 13 Italian telecoms group Telecom Italia expects non-binding offers for its mobile communications towers in Brazil by the end of May  according to slides for an analyst presentation of its quarterly results.,topStory
TI,Telecom Italia SPA,20140513,Telecom Italia Q1 core profit drops 8.4 pct  in line with consensus ,MILAN  May 13 Telecom Italia said on Tuesday first-quarter core profit (EBITDA) fell 8.4 percent to 2.20 billion euros ($3.03 billion)  matching a Thomson Reuters I/B/E/S consensus of 2.21 billion euros.,normal
TEF,Telefonica SA,20140513,UPDATE 2-Spain raises billions through new sovereign  corporate bonds ,* Bankia  Telefonica also in market for cash   (Adds details of inflation-linked bond sale),topStory
TEF,Telefonica SA,20140513,New Issue- Telefonica prices 1.25 bln euro 2022 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 121.6bp,normal
TRI,Thomson Reuters Corp,20140513,Valeant to sweeten Allergan bid  Ackman turns up heat ,Valeant Pharmaceuticals International Inc  said on Tuesday it will sweeten its unsolicited $47 billion offer for drugmaker Allergan Inc   and activist shareholder Pershing Square Capital Management said it would ask for a non-binding vote to pressure Allergan to the negotiating table.,topStory
TRQ,Turquoise Hill Resources Ltd,20140513,RPT-UPDATE 2-Banks to keep backing expansion of Mongolia's Oyu Tolgoi mine ,(Repeats story published early Wednesday; no changes to text),topStory
TRQ,Turquoise Hill Resources Ltd,20140513,UPDATE 2-Banks to keep backing expansion of Mongolia's Oyu Tolgoi mine ,VANCOUVER  May 13 A group of banks has agreed to a six-month extension of a commitment to fund the underground expansion of the Oyu Tolgoi copper-gold mine in Mongolia  the chief executive of mine owner Turquoise Hill Resources Ltd  said on Tuesday.,normal
TRQ,Turquoise Hill Resources Ltd,20140513,Turquoise Hill says considering selling SouthGobi stake ,May 13 Mining company Turquoise Hill Resources Ltd is considering selling its stake in Mongolian coal miner SouthGobi Resources Ltd  the chief executive of Turquoise Hill said on Tuesday.,normal
TWTR,Twitter Inc,20140513,UPDATE 1-Goldman's top tech banker jumps ship for Coatue -source ,(Adds appointment of Goldman lieutenants  comment from memo),topStory
TWTR,Twitter Inc,20140513,Goldman's top tech banker jumps ship for Coatue -source ,NEW YORK/SAN FRANCISCO  May 13 Goldman Sachs Group Inc technology investment banker Anthony Noto  who helped orchestrate Twitter Inc's successful IPO in November  is leaving to join private equity firm Coatue Management  according to a Goldman memo and a source familiar with the matter.,normal
UN,Unilever NV,20140513,Fitch Affirms Unilever at 'A+'; Outlook Stable ,(The following statement was released by the rating agency) MILAN/LONDON  May 13 (Fitch) Fitch Ratings has affirmed Unilever NV's and  Unilever PLC's (together Unilever) Long-term Issuer Default Ratings (IDR) and  senior unsecured ratings at 'A+' and their Short-term IDRs at 'F1'. The Outlook  on the Long-term IDRs is Stable.  Fitch has also affirmed at 'A+' the senior unsecured ratings of debt issued by  Unilever Capital Corporation (UCC) and Alberto Culver as well as the 'F1' rating  of the co,topStory
UL,Unilever PLC,20140513,Fitch Affirms Unilever at 'A+'; Outlook Stable ,(The following statement was released by the rating agency) MILAN/LONDON  May 13 (Fitch) Fitch Ratings has affirmed Unilever NV's and  Unilever PLC's (together Unilever) Long-term Issuer Default Ratings (IDR) and  senior unsecured ratings at 'A+' and their Short-term IDRs at 'F1'. The Outlook  on the Long-term IDRs is Stable.  Fitch has also affirmed at 'A+' the senior unsecured ratings of debt issued by  Unilever Capital Corporation (UCC) and Alberto Culver as well as the 'F1' rating  of the co,topStory
VRX,Valeant Pharmaceuticals International Inc,20140513,CANADA STOCKS-TSX climbs with Encana  energy shares ,* TSX rises 24.87 points  or 0.17 percent  to 14 679.81     * Seven of the 10 main index sectors advance     * Encana jumps 2 percent after reporting results     * Valeant slips after plans to raise Allergan bid      By John Tilak     TORONTO  May 13 Canada's main stock index advanced on Tuesday as higher oil prices boosted energy producers and strong quarterly results fueled a jump in shares of Encana Corp.      Encana climbed 2 percent after the natural gas producer said its first-,topStory
VRX,Valeant Pharmaceuticals International Inc,20140513,Deals of the day- Mergers and acquisitions ,May 13 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,normal
VRX,Valeant Pharmaceuticals International Inc,20140513,UPDATE 3-Valeant to sweeten Allergan bid  Ackman turns up heat ,(Recasts with Pershing Square calling non-binding shareholder vote),normal
VRX,Valeant Pharmaceuticals International Inc,20140513,Ackman calls Allergan shareholders to meeting on Valeant talks ,Pershing Square Capital Management  led by investor William Ackman  went directly to Allergan Inc  shareholders on Tuesday and asked them to vote on its joint $47 billion bid with Valeant Pharmaceuticals International  for the company.,normal
VRX,Valeant Pharmaceuticals International Inc,20140513,Ackman calls Allergan shareholders to meeting on Valeant talks ,May 13 Pershing Square Capital Management  led by investor William Ackman  went directly to Allergan Inc  shareholders on Tuesday and asked them to vote on its joint $47 billion bid with Valeant Pharmaceuticals International  for the company.,normal
VRX,Valeant Pharmaceuticals International Inc,20140513,CANADA STOCKS-Encana  other energy shares push TSX higher ,* TSX rises 20.06 points  or 0.14 percent  to 14 675     * Seven of the 10 main index sectors advance     * Encana jumps 2.8 percent after reporting results     * Valeant climbs; says it will "improve" Allergan bid      By John Tilak     TORONTO  May 13 Canada's main stock index rose on Tuesday as strong quarterly results fueled a jump in shares of Encana Corp and higher oil prices boosted other energy producers.     Encana climbed 2.8 percent after the natural gas producer's first-q,normal
VRX,Valeant Pharmaceuticals International Inc,20140513,Valeant says plans to "improve" offer for Allergan ,Valeant Pharmaceuticals International Inc VRX.TO said on Tuesday it will "improve" its $47 billion takeover offer for drugmaker Allergan Inc AGN.N  a day after the U.S. company rejected the bid.,normal
VRX,Valeant Pharmaceuticals International Inc,20140513,Valeant says plans to "improve" offer for Allergan ,May 13 Valeant Pharmaceuticals International Inc  said it planned to "improve" its $47 billion takeover offer for drugmaker Allergan Inc  a day after the U.S. company rejected the bid.,normal
DIS,Walt Disney Company (The),20140513,Disney's ABC network adds shows from Spielberg  Rhimes  Marvel ,ABC  the third-ranked U.S. television network  said on Tuesday it would add shows produced by Steven Spielberg and Sondra Rhimes  the producer of "Grey's Anatomy" and "Scandal " to its prime-time lineup this fall.,topStory
DIS,Walt Disney Company (The),20140513,Disney's ABC network adds shows from Spielberg  Rhimes  Marvel ,May 12 ABC  the third-ranked U.S. television network  said on Tuesday it would add shows produced by Steven Spielberg and Sondra Rhimes  the producer of "Grey's Anatomy" and "Scandal " to its prime-time lineup this fall.,normal
DIS,Walt Disney Company (The),20140513,Disney throws another feel-good pitch with 'Million Dollar Arm' ,LOS ANGELES In the new Disney film "Million Dollar Arm " Jon Hamm is soaked in perspiration  not the alcohol-induced sweat of his "Mad Men" character Don Draper  but the kind that comes from filming a modest production in India in the hottest part of the year.,normal
DIS,Walt Disney Company (The),20140513,Disney throws another feel-good pitch with 'Million Dollar Arm' ,LOS ANGELES  May 13 In the new Disney film "Million Dollar Arm " Jon Hamm is soaked in perspiration  not the alcohol-induced sweat of his "Mad Men" character Don Draper  but the kind that comes from filming a modest production in India in the hottest part of the year.,normal
AUY,Yamana Gold Inc,20140513,Yamana hires Canadian mining executive ahead of Osisko acquisition ,TORONTO  May 13 Yamana Gold Inc said on Tuesday that former Agnico Eagle Mines Ltd executive Daniel Racine would head its Canadian mining and development operations  a key hire for the Latin America-focused company as it increases its presence in its home base of Canada.,topStory
