AAPL,Apple Inc,20140520,CORRECTED-UPDATE 3-Microsoft's new Surface tablet takes aim at Apple's MacBook ,(Corrects 5th paragraph; starting price of MacBook Air is $899  not $629),topStory
CCU,Compania Cervecerias Unidas SA,20140520,Chile environmental authorities reject $300 mln CCU brewery ,SANTIAGO  May 20 Chilean authorities On Tuesday rejected plans by the nation's largest beer brewer Compania Cervecerias Unidas to build a $300 million plant on the outskirts of capital Santiago due to concerns about its impact on the environment and local community.,topStory
CAG,ConAgra Brands Inc,20140520,U.S. approves deal that makes biggest flour miller even bigger ,WASHINGTON ConAgra Foods Inc   Cargill Inc  and CHS Inc  won U.S. antitrust approval on Tuesday to merge their North American flour mill operations after agreeing to sell four mills to a Japanese company.,topStory
CAG,ConAgra Brands Inc,20140520,UPDATE 2-U.S. approves deal that makes biggest flour miller even bigger ,(Adds comment from a critic of the approval  details on flour market  paragraphs 9-11),normal
DB,Deutsche Bank AG,20140520,UPDATE 2-Deutsche Bank's $4.8 bln CoCo success sets scene for share sale ,* Successful bond raise to give equity market comfort   (Rewrites throughout  adds investor and banker quotes),topStory
DB,Deutsche Bank AG,20140520,Deutsche Bank fixes terms on AT1 bond as demand tops 25bn ,LONDON  May 20 (IFR) - Deutsche Bank has fixed the final terms on its triple-tranche Additional Tier 1 bond having attracted orders in excess of 25bn-equivalent  according to a lead manager.,normal
DB,Deutsche Bank AG,20140520,Deutsche Bank attracts demand of over 20bn-equivalent for debut AT1 bond ,LONDON  May 20 (IFR) - Deutsche Bank has been deluged with over 20bn-equivalent of demand for its triple-tranche inaugural Additional Tier 1 transaction  according to a market source.,normal
DB,Deutsche Bank AG,20140520,RPT-Deutsche Bank chairman leads battle for the bulge bracket ,* Deutsche aims to remain a global investment bank player,normal
DKS,Dick&#39;s Sporting Goods Inc,20140520,US STOCKS-Wall St to open flat after two-day gain; Home Depot down ,* Futures off: Dow 9 pts  S&P 1.3 pts  Nasdaq 1 pt   (Adds Dick's earnings  Morning Call link  updates prices),topStory
DPZ,Domino&#39;s Pizza Inc,20140520,S.Africa's Taste falls on legal challenge against Domino's Pizza deal ,JOHANNESBURG  May 20 Shares in Taste Holdings fell more than 3 percent on Tuesday after the restaurant group said it had received a legal challenge against the validity of its recently secured rights to set up Domino's Pizza stores.,topStory
EV,Eaton Vance Corporation,20140520,MOVES- Citi  Eaton Vance  Hypo Alpe Adria  Auerbach Grayson ,May 20 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
EW,Edwards Lifesciences Corporation,20140520,Medtronic settles heart valve patent fight with rival Edwards ,Medtronic Inc agreed to pay more than $1 billion to rival Edwards Lifesciences Corp to settle patent litigation and keep its CoreValve artificial heart valve on the U.S. market.,topStory
EW,Edwards Lifesciences Corporation,20140520,UPDATE 3-Medtronic settles heart valve patent fight with rival Edwards ,May 20 Medtronic Inc agreed to pay more than $1 billion to rival Edwards Lifesciences Corp to settle patent litigation and keep its CoreValve artificial heart valve on the U.S. market.,normal
EW,Edwards Lifesciences Corporation,20140520,Medtronic settles heart valve patent dispute with Edwards ,May 20 Medtronic Inc on Tuesday said it has agreed to pay royalties to rival medical device maker Edwards Lifesciences Corp in a settlement agreement that allows Medtronic to continue to sell its CoreValve replacement heart valves.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20140520,UPDATE 1-Embraer gets $3.26 bln cargo plane order from Brazil Air Force ,(Adds details from statement  background on KC-390  share reaction),topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20140520,Embraer signs $3.26 bln KC-390 order with Brazil Air Force ,SAO PAULO  May 20 Brazil's Embraer SA   the world's biggest maker of regional jets  signed a contract to supply 28 KC-390 cargo aircraft to Brazil's Air Force  according to a statement on Tuesday.,normal
XOM,Exxon Mobil Corporation,20140520,As gas flows  Exxon's $19 bln PNG plant still faces risks ,SYDNEY May 21 ExxonMobil's $19 billion liquefied natural gas (LNG) project in Papua New Guinea  which is shipping its first cargo  is set to dramatically transform one of Asia-Pacific's most unstable countries  for better or for worse.,topStory
XOM,Exxon Mobil Corporation,20140520,Exxon's Papua New Guinea LNG plant to export 20 cargoes by Sept ,MILAN  May 20 ExxonMobil's Papua New Guinea gas liquefaction plant is expected to export around 20 cargoes during the project's start-up phase lasting until September  traders said.,normal
FIS,Fidelity National Information Services Inc,20140520,UPDATE 4-Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,* Schroders urges AstraZeneca to restart talks with Pfizer,topStory
FIS,Fidelity National Information Services Inc,20140520,REFILE-UPDATE 3-Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,(Inserts full name of London-based Fidelity Worldwide Investment in lead paragraph),normal
F,Ford Motor Company,20140520,Obama discusses U.S. investment with corporate executives ,WASHINGTON President Barack Obama gathered executives from several major international companies on Tuesday  including Ford Motor Co  and Deutshe Lufthansa AG   to discuss a White House initiative to encourage investment in the United States.,topStory
F,Ford Motor Company,20140520,UPDATE 1-Obama discusses U.S. investment with corporate executives ,WASHINGTON  May 20 President Barack Obama gathered executives from several major international companies on Tuesday  including Ford Motor Co and Deutshe Lufthansa AG  to discuss a White House initiative to encourage investment in the United States.,normal
F,Ford Motor Company,20140520,Obama to discuss U.S. investment with corporate executives ,WASHINGTON President Barack Obama will gather executives from several major international companies including Ford Motor Co and Deutshe Lufthansa AG on Tuesday to discuss a White House initiative to encourage investment in the United States.,normal
F,Ford Motor Company,20140520,Obama to discuss U.S. investment with corporate executives ,WASHINGTON  May 20 President Barack Obama will gather executives from several major international companies including Ford Motor Co and Deutshe Lufthansa AG  on Tuesday to discuss a White House initiative to encourage investment in the United States.,normal
GEK,General Electric Capital Corporation,20140520,Siemens asks Alstom for more info ahead of likely offer: minister ,PARIS Germany's Siemens  wrote to Alstom  on Tuesday asking for more information ahead of a likely offer for the French company's power business  French Economy Minister Arnaud Montebourg said.,normal
GE,General Electric Company,20140520,Siemens asks Alstom for more info ahead of likely offer: minister ,PARIS Germany's Siemens  wrote to Alstom  on Tuesday asking for more information ahead of a likely offer for the French company's power business  French Economy Minister Arnaud Montebourg said.,normal
GM,General Motors Company,20140520,General Motors recalls 2.4 million more vehicles in U.S. ,General Motors Co said on Tuesday it is recalling another 2.42 million vehicles in the United States  raising the number of vehicles it has recalled so far this year to more than 15 million.,topStory
GM,General Motors Company,20140520,GM recalls another 2.42 mln vehicles  doubles 2nd quarter charge ,DETROIT  May 20 General Motors Co said on Tuesday it is recalling another 2.42 million vehicles in the United States  raising the number of vehicles it has recalled so far this year to more than 15 million.,normal
GM,General Motors Company,20140520,BRIEF-GM recalls another 2.42 million vehicles in four U.S. recalls ,DETROIT  May 20 General Motors Co :  * Says recalling about 2.42 million vehicles in four U.S. recalls  * Says no fatalities associated with any of the recalls  * Says largest recall covers 1.3 million full-size crossover vehicles for,normal
GSK,GlaxoSmithKline PLC,20140520,UPDATE 1-Vaccines group seeks $7.5 bln to protect 300 million children ,* GAVI works with drugmakers to cut vaccine costs for poor,topStory
GS,Goldman Sachs Group Inc (The),20140520,Exclusive: Goldman puts Metro metals warehousing unit up for sale ,NEW YORK Goldman Sachs  has begun a formal process to sell the metals warehousing business it purchased four years ago  a spokesman said on Tuesday  disclosing the first definitive effort to shed the operation amid regulatory and political pressure.,topStory
GS,Goldman Sachs Group Inc (The),20140520,CD&R in advanced talks to buy Healogics for about $1 bln -sources ,NEW YORK  May 20 Clayton  Dubilier & Rice LLC is in advanced talks to acquire wound care company Healogics Inc from private equity peer Metalmark Capital Holdings LLC for around $1 billion  according to people familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20140520,Goldman confirms formal sale of Metro metals warehousing unit ,NEW YORK  May 20 Goldman Sachs has begun a formal process to sell the metals warehousing business it purchased four years ago  a spokesman said on Tuesday  confirming an earlier Reuters report.,normal
GS,Goldman Sachs Group Inc (The),20140520,RPT-Deutsche Bank chairman leads battle for the bulge bracket ,* Deutsche aims to remain a global investment bank player,normal
HD,Home Depot Inc (The),20140520,UPDATE 3-Home Depot says May sales "robust" on post-winter demand ,* Says most sales lost in 1st qtr to be realized in 2nd qtr,topStory
HD,Home Depot Inc (The),20140520,US STOCKS-Wall St to open flat after two-day gain; Home Depot down ,* Futures off: Dow 9 pts  S&P 1.3 pts  Nasdaq 1 pt   (Adds Dick's earnings  Morning Call link  updates prices),normal
HD,Home Depot Inc (The),20140520,CORRECTED-UPDATE 2-Slow start to spring selling season hurts Home Depot sales ,(Corrects first bullet point and adds paragraph 17 to reflect that the company's profit  excluding a benefit from a share sale  is comparable with average analyst estimate),normal
HD,Home Depot Inc (The),20140520,US STOCKS-Futures flat after two-day gain; Staples  Home Depot fall ,* More AstraZeneca investors disprove of Pfizer rejection,normal
HD,Home Depot Inc (The),20140520,Home Depot's first-quarter sales rise 2.9 pct ,May 20 Home Depot Inc  the world's largest home improvement chain  reported a 2.9 percent rise in quarterly sales as its spring selling season got off to a slow start.,normal
HSBC,HSBC Holdings plc,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,topStory
HSBC,HSBC Holdings plc,20140520,UPDATE 3-EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,normal
HSBC,HSBC Holdings plc,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged on Tuesday HSBC  JPMorgan  and Credit Agricole with rigging financial benchmarks linked to the euro.,normal
HSEA,HSBC Holdings plc,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,topStory
HSEA,HSBC Holdings plc,20140520,UPDATE 3-EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,normal
HSEA,HSBC Holdings plc,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged on Tuesday HSBC  JPMorgan  and Credit Agricole with rigging financial benchmarks linked to the euro.,normal
HSEB,HSBC Holdings plc,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,topStory
HSEB,HSBC Holdings plc,20140520,UPDATE 3-EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,normal
HSEB,HSBC Holdings plc,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged on Tuesday HSBC  JPMorgan  and Credit Agricole with rigging financial benchmarks linked to the euro.,normal
JPM,J P Morgan Chase & Co,20140520,JPMorgan Chase shareholders back directors  executive pay ,TAMPA  Florida JPMorgan Chase & Co  shareholders voted overwhelmingly on Tuesday to elect all of the company's directors and also endorsed its compensation to executives in 2013.,topStory
JPM,J P Morgan Chase & Co,20140520,REFILE-Pfizer-AstraZeneca bankers set to miss up to $340 mln in fees ,(Adds context in paragraph 3 to clarify fees are unlikely in event deal is not consummated),normal
JPM,J P Morgan Chase & Co,20140520,UPDATE 1-JPMorgan Chase shareholders back directors  executive pay ,TAMPA  Florida  May 20 JPMorgan Chase & Co  shareholders voted overwhelmingly on Tuesday to elect all of the company's directors and also endorsed its compensation to executives in 2013.,normal
JPM,J P Morgan Chase & Co,20140520,JPMorgan Chase shareholders back directors  executive pay ,TAMPA  Florida  May 20 Shareholders of JPMorgan Chase & Co voted overwhelmingly on Tuesday to elect all of the company's directors and also endorsed the company's payments to executives in 2013.,normal
JPM,J P Morgan Chase & Co,20140520,JP Morgan exec killed himself leaping from UK building  inquest rules ,LONDON A JP Morgan technology expert who fell to his death from the bank's tower in London's Canary Wharf financial district  killed himself  an inquest concluded on Tuesday.,normal
JPM,J P Morgan Chase & Co,20140520,UPDATE 2-JP Morgan exec killed himself leaping from UK building  inquest rules ,* Notes saying "jump" were found on his computer   (Adds ruling  JP Morgan evidence to inquest),normal
JPM,J P Morgan Chase & Co,20140520,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  May 20 2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,normal
JPM,J P Morgan Chase & Co,20140520,EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,normal
JPM,J P Morgan Chase & Co,20140520,UPDATE 3-EU Commission charges HSBC  JPMorgan  Credit Agricole with rigging ,BRUSSELS  May 20 European Union antitrust regulators charged Europe's biggest bank HSBC  U.S. peer JPMorgan and France's Credit Agricole on Tuesday with rigging financial benchmarks linked to the euro  exposing them to potential fines.,normal
KKR,KKR & Co LP,20140520,Australia's Treasury Wine rejects $2.9 billion KKR bid ,SYDNEY Australia's Treasury Wine Estates  is betting its Penfolds brand and a cost-cutting new CEO will boost earnings and justify its decision to reject a $2.90 billion takeover offer from private equity giant Kohlberg Kravis Roberts & Co LP.,topStory
KKR,KKR & Co LP,20140520,UPDATE 3-Australia's Treasury Wine rejects $2.9 bln KKR bid ,* Treasury counting on Penfolds to boost value   (Adds Breakingviews link),normal
KKR,KKR & Co LP,20140520,Singapore's Goodpack confirms takeover discussions with KKR ,SINGAPORE Singapore's Goodpack Ltd  confirmed on Tuesday it is in discussions with KKR & Co  about a possible buyout by the U.S. private equity firm  the company said in a statement.,normal
KKR,KKR & Co LP,20140520,Singapore's Goodpack confirms takeover discussions with KKR ,SINGAPORE  May 20 Singapore's Goodpack Ltd  confirmed on Tuesday it is in discussions with KKR & Co about a possible buyout by the U.S. private equity firm  the company said in a statement.,normal
KKR,KKR & Co LP,20140520,Australia's Treasury Wine rejects $2.9 billion KKR bid ,SYDNEY Australia's Treasury Wine Estates  is betting its Penfolds brand and a cost-cutting new CEO will boost earnings and justify its decision to reject a $2.90 billion takeover offer from private equity giant Kohlberg Kravis Roberts & Co LP.,normal
KKR,KKR & Co LP,20140520,KKR seeks investment opportunities with Japan's state-backed funds ,TOKYO KKR & Co LP  may team up with a Japanese state-backed fund to find buyout targets for its $6 billion Asian fund  a year after the U.S. private equity firm and some rivals complained that state funds could impinge on their investment opportunities.,normal
KKR,KKR & Co LP,20140520,Australia's Treasury Wine jumps on KKR bid ,SYDNEY  May 20 Shares in Australia's Treasury Wine Estates jumped as much as 20 percent on Tuesday after the world's second-largest winemaker by sales rejected a $2.9 billion bid by KKR and Co LP as too low.,normal
KKR,KKR & Co LP,20140520,Australia's Treasury Wine rebuffs $2.9 bln bid from KKR ,SYDNEY  May 20 Australia's Treasury Wine Estates  said on Tuesday it rejected a A$3.1 billion ($2.90 billion) takeover offer from private equity giant Kohlberg Kravis Roberts & Co LP on the grounds that the bid was too low.,normal
LMT,Lockheed Martin Corporation,20140520,Lockheed machinists at Mississippi space center vote to end strike ,WASHINGTON Lockheed Martin Corp  said on Tuesday that more than 100 union members who had been on strike at a Mississippi space center since late last week voted to accept the company's contract offer and would return to work on Wednesday.,topStory
LMT,Lockheed Martin Corporation,20140520,Lockheed machinists at Mississippi space center vote to end strike ,WASHINGTON  May 20 Lockheed Martin Corp  said on Tuesday that more than 100 union members who had been on strike at a Mississippi space center since late last week voted to accept the company's contract offer and would return to work on Wednesday.,normal
LMT,Lockheed Martin Corporation,20140520,Lockheed-Boeing venture says rocket launch costs lower than claimed by rival ,COLORADO SPRINGS Colo. A joint venture of Lockheed Martin Corp and Boeing Co on Monday said its rocket launch costs were far lower than claimed by its rival  privately-held Space Exploration Technologies  or SpaceX  which is suing the U.S. government for shutting it out of the lucrative rocket launch business.,normal
LMT,Lockheed Martin Corporation,20140520,Lockheed-Boeing venture says rocket launch costs lower than claimed by rival ,COLORADO SPRINGS  Colo. A joint venture of Lockheed Martin Corp  and Boeing Co  on Monday said its rocket launch costs were far lower than claimed by its rival  privately-held Space Exploration Technologies  or SpaceX  which is suing the U.S. government for shutting it out of the lucrative rocket launch business.,normal
LMT,Lockheed Martin Corporation,20140520,Lockheed-Boeing venture says rocket launch costs lower than claimed by rival ,COLORADO SPRINGS  Colo.  May 19 A joint venture of Lockheed Martin Corp and Boeing Co on Monday said its rocket launch costs were far lower than claimed by its rival  privately-held Space Exploration Technologies  or SpaceX  which is suing the U.S. government for shutting it out of the lucrative rocket launch business.,normal
MCD,McDonald&#39;s Corporation,20140520,McDonald's new 'Happy' mascot dubbed McScary in social media ,CHICAGO McDonald's restaurant chain says its new "Happy" mascot will bring "fun and excitement" to its children's meals  but social media contend the toothy  red box-shaped character will have the opposite effect.,topStory
MCD,McDonald&#39;s Corporation,20140520,REFILE-McDonald's new 'Happy' mascot dubbed McScary in social media ,CHICAGO  May 20 McDonald's restaurant chain says its new "Happy" mascot will bring "fun and excitement" to its children's meals  but social media contend the toothy  red box-shaped character will have the opposite effect.,normal
MDT,Medtronic plc,20140520,Medtronic settles heart valve patent fight with rival Edwards ,Medtronic Inc agreed to pay more than $1 billion to rival Edwards Lifesciences Corp to settle patent litigation and keep its CoreValve artificial heart valve on the U.S. market.,topStory
MDT,Medtronic plc,20140520,UPDATE 3-Medtronic settles heart valve patent fight with rival Edwards ,May 20 Medtronic Inc agreed to pay more than $1 billion to rival Edwards Lifesciences Corp to settle patent litigation and keep its CoreValve artificial heart valve on the U.S. market.,normal
MDT,Medtronic plc,20140520,Medtronic settles heart valve patent dispute with Edwards ,May 20 Medtronic Inc on Tuesday said it has agreed to pay royalties to rival medical device maker Edwards Lifesciences Corp in a settlement agreement that allows Medtronic to continue to sell its CoreValve replacement heart valves.,normal
NYT,New York Times Company (The),20140520,New York Times publisher tried for 'amicable' split with editor ,New York Times Co Chairman and Publisher Arthur Sulzberger Jr. said he tried to part ways peacefully with the top leader of the newsroom  Jill Abramson  whom he ousted last week.,topStory
NYT,New York Times Company (The),20140520,N.Y. Times publisher tried for 'amicable' split with editor ,May 20 New York Times Co Chairman and Publisher Arthur Sulzberger Jr. said he tried to part ways peacefully with the top leader of the newsroom  Jill Abramson  whom he ousted last week.,normal
PSO,Pearson Plc,20140520,UPDATE 2-UK's LSE enters exclusive talks to acquire Russell Investments ,(Recasts  adds detail  background  Northwestern Mutual comment  analyst comment),normal
PBR,Petroleo Brasileiro SA- Petrobras,20140520,EMERGING MARKETS-Chilean stocks down on foreign sales; Petrobras reverses gains ,(Updates prices  explains Petrobras reversal)     By Asher Levine and Anthony Esposito     SAO PAULO/SANTIAGO  May 20 Chilean stocks dropped on Tuesday as weak earnings spurred  foreigners to sell shares in a low-volume session  while Brazil's stock index fell as Petrobras shares reversed early gains.     The broader MSCI Latin American stock index  posted its biggest loss in over a month.     Chile's blue-chip IPSA index slid 1.2 percent  with commodities-linked companies falling ha,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20140520,EMERGING MARKETS-Chilean stocks down on foreign sales; Petrobras supports Bovespa ,By Asher Levine and Anthony Esposito     SAO PAULO/SANTIAGO  May 20 Chilean stocks dropped on Tuesday as weak earnings spurred  foreigners to sell shares in a low-volume session  while the nation's currency weakened nearly 1 percent  driven by lower copper prices and higher demand for dollars ahead of a market holiday.     Brazilian and Mexican stocks both posted modest gains  though not enough to keep the broader MSCI Latin American stock index in positive territory.     Chile's blu,normal
PFE,Pfizer Inc,20140520,Deals of the day- Mergers and acquisitions ,(Adds Braemar Shipping Services  Wesizwe  MOL  Banco Sabadell; Updates AstraZeneca  London Stock Exchange),topStory
PFE,Pfizer Inc,20140520,Pfizer-AstraZeneca bankers set to miss up to $340 million in fees ,LONDON Bankers advising pharmaceuticals companies Pfizer  and Britain's AstraZeneca  are likely to miss out on $260-340 million in fees after the U.S. company's final takeover bid was rejected on Monday.,normal
PFE,Pfizer Inc,20140520,REFILE-Pfizer-AstraZeneca bankers set to miss up to $340 mln in fees ,(Adds context in paragraph 3 to clarify fees are unlikely in event deal is not consummated),normal
PFE,Pfizer Inc,20140520,UPDATE 4-Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,* Schroders urges AstraZeneca to restart talks with Pfizer,normal
PFE,Pfizer Inc,20140520,REFILE-UPDATE 3-Schroders  Fidelity reveal investor split as Astra rejects Pfizer ,(Inserts full name of London-based Fidelity Worldwide Investment in lead paragraph),normal
PFE,Pfizer Inc,20140520,AstraZeneca says no negotiation with suitor Pfizer allowed under UK rules ,LONDON British drugmaker AstraZeneca  said that there could be no further negotiation with U.S. suitor Pfizer  on the value of a takeover proposal  in a statement which it said it issued to clarify the situation under UK takeover rules.,normal
PFE,Pfizer Inc,20140520,AstraZeneca says no negotiation with suitor Pfizer allowed under UK rules ,LONDON  May 20 British drugmaker AstraZeneca  said that there could be no further negotiation with U.S. suitor Pfizer on the value of a takeover proposal  in a statement which it said it issued to clarify the situation under UK takeover rules.,normal
PFE,Pfizer Inc,20140520,CORRECTED-US STOCKS-Wall Street dips as retailer earnings disappoint ,(Corrects name of chain store in second line of second paragraph to TJ Maxx from TJX Maxx.),normal
PFE,Pfizer Inc,20140520,AstraZeneca 'did the right thing' rejecting Pfizer: Fidelity ,LONDON Fidelity Worldwide Investment  which holds around 1.2 percent of AstraZeneca  has come out in support of the drugs giant's rejection of a $118 takeover bid by Pfizer .,normal
PFE,Pfizer Inc,20140520,AstraZeneca "did the right thing" rejecting Pfizer - Fidelity ,LONDON  May 20 Fidelity Worldwide Investment  which holds around 1.2 percent of AstraZeneca has come out in support of the drugs giant's rejection of a $118 takeover bid by Pfizer.,normal
CRM,Salesforcecom Inc,20140520,UPDATE 1-Salesforce.com raises forecast after revenue beats Street ,May 20 Salesforce.com Inc raised its full-year forecast after reporting a better-than-expected 37 percent rise in quarterly revenue  helped by higher demand for its sales and marketing software.,topStory
CRM,Salesforcecom Inc,20140520,Salesforce.com revenue beats estimates ,May 20 Salesforce.com Inc reported a better-than-expected 37 percent rise in quarterly revenue  helped by higher demand for its sales and marketing software.,normal
SCCO,Southern Copper Corporation,20140520,CORRECTED-OFFICIAL-UPDATE 1-Southern Copper sees output at 800 000 tonnes in 2015 ,(Company corrects headline and paragraph 1 to 2015 instead of 2014  paragraph 7 deleted for references to wrong time period; corrects paragraph 6 to show 670 000 tonnes likely in 2014  not 2013  adds 2013 production figure),topStory
SCCO,Southern Copper Corporation,20140520,CORRECTED-OFFICIAL-Southern Copper sees output rising to 800 000 tonnes in 2015 ,(Company corrects headline and paragraph 1 to 2015 instead of 2014; corrects paragraph 1 to show 670 000 tonnes in 2014  not 2013),normal
SCCO,Southern Copper Corporation,20140520,Peru's Southern Copper sees production up to 800 000 tons in 2014 ,LIMA  May 20 Peru's Southern Copper  expects to produce around 800 000 tons of copper in 2014  up from 670 000 tons last year  the company's executive president said on Tuesday.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140520,BRIEF-Tsmc orders machinery equipment worth T$733.5 million ,May 20 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TGT,Target Corporation,20140520,Target replaces president of money-losing Canadian unit ,TORONTO Target Corp  has fired the president of its money-losing Canadian operation and named a long-time U.S. executive with operational experience to try to repair its supply chain woes and win back customers.,topStory
TGT,Target Corporation,20140520,UPDATE 3-Target replaces president of money-losing Canadian unit ,* Target replaces Canadian president with 15-year U.S. veteran,normal
TGT,Target Corporation,20140520,Target names new head of troubled Canadian operations ,May 20 Target Corp replaced the head of its troubled Canadian operations  two weeks after the ousting of Chief Executive and Chairman Gregg Steinhafel.,normal
TK,Teekay Corporation,20140520,RPT-UPDATE 1-Australian miners aim to avert iron ore port strike ,MELBOURNE  May 20 Teekay Shipping took part in Australian government-sponsored mediation talks on Tuesday to avert industrial action by tugboat operators that could halt a quarter of global seaborne iron ore exports.,topStory
TK,Teekay Corporation,20140520,UPDATE 1-Australian miners aim to avert iron ore port strike ,MELBOURNE  May 20 Teekay Shipping took part in Australian government-sponsored mediation talks on Tuesday to avert industrial action by tugboat operators that could halt a quarter of global seaborne iron ore exports.,normal
TK,Teekay Corporation,20140520,CORRECTED-Australian miners aim to avert iron ore port strike ,(Corrects first and fifth paragraphs to Teekay Shipping in mediation talks  not BHP and Fortescue),normal
TEVA,Teva Pharmaceutical Industries Limited,20140520,Teva launching 3 drugs in 2014 with combined peak sales of $1 bln ,TEL AVIV Teva Pharmaceutical Industries is launching three new products in 2014 with combined estimated peak sales of $1 billion  the chief executive of the world's biggest generic drugmaker said on Tuesday.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20140520,Teva launching 3 drugs in 2014 with combined peak sales of $1 bln ,TEL AVIV  May 20 Teva Pharmaceutical Industries  is launching three new products in 2014 with combined estimated peak sales of $1 billion  the chief executive of the world's biggest generic drugmaker said on Tuesday.,normal
TRI,Thomson Reuters Corp,20140520,Valeant says improved bid for Allergan won't be all-cash ,LAVAL  QUEBEC Canada's Valeant Pharmaceuticals International  said on Tuesday it will not make an all-cash bid for drugmaker Allergan Inc  as many had expected last week when the company said it would improve its cash and stock offer for the Botox maker.,topStory
TJX,TJX Companies Inc (The),20140520,US STOCKS-Wall St falls as retailers  Caterpillar weigh ,* Dow off 0.9 pct; S&P 500 down 0.7 pct; Nasdaq off 0.8 pct   (Updates to midday trading  adds GM recall),topStory
TJX,TJX Companies Inc (The),20140520,UPDATE 1-Retailer TJX cuts full-year earnings forecast; shares fall ,* Lowers top-end of profit outlook to $3.17/share from $3.19,normal
TJX,TJX Companies Inc (The),20140520,CORRECTED-US STOCKS-Wall Street dips as retailer earnings disappoint ,(Corrects name of chain store in second line of second paragraph to TJ Maxx from TJX Maxx.),normal
TJX,TJX Companies Inc (The),20140520,CORRECTED-Retailer TJX posts lower-than-expected quarterly sales ,(Corrects name of chain in paragraph 1 to TJ Maxx from TJX Maxx),normal
TM,Toyota Motor Corp Ltd Ord,20140520,Toyota develops chips for hybrid cars to boost fuel efficiency ,TOKYO Toyota Motor Corp  has developed a computer chip for its gas-electric hybrid cars that could boost fuel efficiency by 10 percent and allow the automaker to install the hybrid system on more of its vehicles.,topStory
TM,Toyota Motor Corp Ltd Ord,20140520,Toyota develops chips for hybrid cars to boost fuel efficiency ,TOKYO  May 20 Toyota Motor Corp has developed a computer chip for its gas-electric hybrid cars that could boost fuel efficiency by 10 percent and allow the automaker to install the hybrid system on more of its vehicles.,normal
TRQ,Turquoise Hill Resources Ltd,20140520,UPDATE 1-Ivanhoe to raise C$150 mln in equity for Congo mines ,May 20 Ivanhoe Mines Ltd said on Tuesday it has entered into agreements to raise C$150 million ($137.65 million) in a share and warrants offering. The funds would be used to develop its mining projects in the Democratic Republic of Congo.,topStory
