ADBE,Adobe Systems Incorporated,20141103,Former Adobe exec's start-up seeks to improve the mammogram experience ,SAN FRANCISCO Former Adobe Chief Marketing Officer Melissa Dyrdahl hopes to bring a spa-like feel to the experience of breast cancer screenings.,topStory
HSEA,HSBC Holdings plc,20141103,Weak utility stocks and HSBC peg back UK's FTSE 100 ,LONDON  Nov 3 Britain's top equity index fell on Monday  breaking a four-day winning streak  led by drops in major utility stocks and in global banking group HSBC.,normal
HSEA,HSBC Holdings plc,20141103,BRIEF-HSBC CEO says looks set to miss 2016 cost efficiency target ,LONDON  Nov 3 Hsbc Holdings Plc Chief Executive Stuart Gulliver told analysts on a conference call:,normal
HSEA,HSBC Holdings plc,20141103,HSBC sets aside $378 mln for FX probe settlement ,LONDON  Nov 3 HSBC Holdings set aside $378 million to pay a potential fine from the UK regulator for alleged manipulation of currency markets  as Europe's biggest bank reported a 12 percent fall in underlying earnings after costs rose.,normal
HSEB,HSBC Holdings plc,20141103,HSBC sets aside $1.8 billion for forex probe  misconduct ,LONDON HSBC's  profits fell short of expectations in the third quarter after the bank set aside $1.8 billion for misconduct settlements and compensation for customers  including a potential fine for rigging currency markets. | Video ,topStory
HSEB,HSBC Holdings plc,20141103,Weak utility stocks and HSBC peg back UK's FTSE 100 ,LONDON  Nov 3 Britain's top equity index broke a four-day rise on Monday as a drop in major utility stocks and in global banking group HSBC dragged the UK stock market lower.,normal
HSEB,HSBC Holdings plc,20141103,CORRECTED-UPDATE 3-HSBC sets aside $1.8 bln for forex probe  misconduct ,(Corrects provision for payment protection insurance to $589 million from $701 million in paragraph 7),normal
HSEB,HSBC Holdings plc,20141103,Weak utility stocks and HSBC peg back UK's FTSE 100 ,LONDON  Nov 3 Britain's top equity index fell on Monday  breaking a four-day winning streak  led by drops in major utility stocks and in global banking group HSBC.,normal
HSEB,HSBC Holdings plc,20141103,BRIEF-HSBC CEO says looks set to miss 2016 cost efficiency target ,LONDON  Nov 3 Hsbc Holdings Plc Chief Executive Stuart Gulliver told analysts on a conference call:,normal
HSEB,HSBC Holdings plc,20141103,HSBC sets aside $378 mln for FX probe settlement ,LONDON  Nov 3 HSBC Holdings set aside $378 million to pay a potential fine from the UK regulator for alleged manipulation of currency markets  as Europe's biggest bank reported a 12 percent fall in underlying earnings after costs rose.,normal
IBM,International Business Machines Corporation,20141103,Tencent teams up with IBM to offer business software over the cloud ,BEIJING Tencent Holdings Ltd said on Friday it would collaborate with International Business Machines Corp (IBM) on a new cloud software business for corporate customers  a marked departure for one of the dominant forces in China's consumer Internet industry.,topStory
IPG,Interpublic Group of Companies Inc (The),20141103,UPDATE 4-Publicis to buy U.S. digital ad firm Sapient for $3.7 bln ,* Publicis aims to boost growth after failed Omnicom merger,normal
JPM,J P Morgan Chase & Co,20141103,SEC fines 13 firms over sale of Puerto Rico junk bonds ,WASHINGTON Units of 13 major Wall Street firms  including JPMorgan and UBS  improperly sold bonds from Puerto Rico's landmark March junk deal to retail investors who may not have understood the debt's riskiness  the U.S. Securities and Exchange Commission said on Monday.,topStory
JPM,J P Morgan Chase & Co,20141103,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Nov 3  2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                  -,normal
K,Kellogg Company,20141103,Turkey's Yildiz Holding says buys United Biscuits ,ISTANBUL  Nov 3 Turkey's Yildiz Holding said on Monday it had acquired UK-based cookies and snacks maker United Biscuits  in a move it said made it the world's third-biggest biscuit maker and would help it expand to new markets.,normal
KMB,Kimberly-Clark Corporation,20141103,Former Kimberly-Clark healthcare unit makes muted market debut ,Shares of Halyard Health Inc   the spun-off healthcare unit of Kimberly-Clark Corp   rose marginally in their market debut on Monday after many of the investors who expect the company to benefit from the Ebola crisis apparently bought the stock during its near two-week period of unofficial trading.,topStory
KMB,Kimberly-Clark Corporation,20141103,UPDATE 1-Former Kimberly-Clark healthcare unit makes muted market debut ,Nov 3 Shares of Halyard Health Inc  the spun-off healthcare unit of Kimberly-Clark Corp  rose marginally in their market debut on Monday after many of the investors who expect the company to benefit from the Ebola crisis apparently bought the stock during its near two-week period of unofficial trading.,normal
KMB,Kimberly-Clark Corporation,20141103,REFILE-Former Kimberly-Clark healthcare unit makes muted market debut ,Nov 3 Shares of Halyard Health Inc  the spun-off healthcare unit of Kimberly-Clark Corp  rose marginally in their market debut on Monday after many of the investors who expect the company to benefit from the Ebola crisis apparently bought the stock during its near two-week period of unofficial trading.,normal
KMB,Kimberly-Clark Corporation,20141103,Halyard Health poised to shine in debut on back of Ebola scare ,(This October 31st story corrects paragraph 4 to say "Existing Kimberly-Clark shareholders received one share of Halyard for every eight Kimberly-Clark shares held" from "...will be able to exchange eight shares of Kimberly-Clark for one share of Halyard".),normal
KMB,Kimberly-Clark Corporation,20141103,CORRECTED-RPT-Halyard Health poised to shine in debut on back of Ebola scare ,(Corrects paragraph 4 to say "Existing Kimberly-Clark shareholders received one share of Halyard for every eight Kimberly-Clark shares held" from "...will be able to exchange eight shares of Kimberly-Clark for one share of Halyard". The error also appeared in the original story.),normal
LH,Laboratory Corporation of America Holdings,20141103,LabCorp to pay $6.1 billion for drug trial company Covance ,Laboratory Corp of America Holdings  said it would pay $6.1 billion for Covance Inc   which carries out trials for drugmakers  as its diagnostic services business faces pressure from reimbursement cuts.,topStory
LH,Laboratory Corporation of America Holdings,20141103,UPDATE 3-LabCorp to pay $6.1 bln for drug trial company Covance ,* Offer represents premium of 32 pct to Covance's Friday closing,normal
LH,Laboratory Corporation of America Holdings,20141103,LabCorp to buy Covance for $6.l bln ,Nov 3 Laboratory Corp of America Holdings   a provider of healthcare diagnostic services  said it would buy contract research company Covance Inc for about $6.1 billion in cash and stock.,normal
LMT,Lockheed Martin Corporation,20141103,Lockheed F-35 fighter jet lands on U.S. aircraft carrier: spokesman ,WASHINGTON The first of two Lockheed Martin Corp F-35C fighter jets landed successfully on the USS Nimitz off the coast of San Diego on Monday  marking the new warplane's first landing on an aircraft carrier using its tailhook system  the Pentagon said.,topStory
LMT,Lockheed Martin Corporation,20141103,UPDATE 1-Lockheed F-35 fighter jet lands on U.S. aircraft carrier - spokesman ,WASHINGTON  Nov 3 The first of two Lockheed Martin Corp F-35C fighter jets landed successfully on the USS Nimitz off the coast of San Diego on Monday  marking the new warplane's first landing on an aircraft carrier using its tailhook system  the Pentagon said.,normal
LMT,Lockheed Martin Corporation,20141103,Lockheed F-35 fighter jet lands on US aircraft carrier-spokesman ,WASHINGTON  Nov 3 The first of two Lockheed Martin Corp F-35C fighter jets  landed successfully on the USS Nimitz off the coast of San Diego on Monday  marking the first time the new warplane has landed on an aircraft carrier using its tailhook system  a spokesman said.,normal
L,Loews Corporation,20141103,UPDATE 1-Loews profit falls on lower income from subsidiaries ,Nov 3 Hotel  energy and financial services conglomerate Loews Corp reported a 26 percent drop in quarterly profit due to lower investment income and weaker earnings from its oil rig and insurance subsidiaries.,topStory
L,Loews Corporation,20141103,Loews profit drops 26 pct on lower investment income ,Nov 3 Hotel  energy and financial services conglomerate Loews Corp reported a 26 percent drop in quarterly profit  partly due to lower investment income.,normal
MRO,Marathon Oil Corporation,20141103,Marathon Oil quarterly profit down  hit by lower oil prices ,U.S. oil producer Marathon Oil Corp  on Monday said quarterly profit fell 24 percent  as a slide in the price of crude offset higher oil and natural gas production from shale wells.,topStory
MRO,Marathon Oil Corporation,20141103,UPDATE 1-Marathon Oil quarterly profit down  hit by lower oil prices ,Nov 3 U.S. oil producer Marathon Oil Corp  on Monday said quarterly profit fell 24 percent  as a slide in the price of crude offset higher oil and natural gas production from shale wells.,normal
MRO,Marathon Oil Corporation,20141103,Marathon Oil quarterly profit down  hit by lower oil prices ,Nov 3 Oil and gas producer Marathon Oil Corp  on Monday said quarterly profit fell 24 percent  as the price of crude oil slid.,normal
MA,Mastercard Incorporated,20141103,MasterCard  RBC to test if the heart is always true  for payments at least ,TORONTO Canadian startup Bionym  maker of a wearable security device dubbed Nymi  is teaming up with credit card giant MasterCard Inc  and Royal Bank of Canada  to test whether the beat of your heart is true enough to verify payments.,topStory
MA,Mastercard Incorporated,20141103,MasterCard  RBC to test if the heart is always true  for payments at least ,TORONTO  Nov 3 Canadian startup Bionym  maker of a wearable security device dubbed Nymi  is teaming up with credit card giant MasterCard Inc and Royal Bank of Canada  to test whether the beat of your heart is true enough to verify payments.,normal
MET,MetLife Inc,20141103,Exclusive: MetLife retains top Washington lawyer in regulator fight ,WASHINGTON Insurer MetLife has retained top Washington lawyer Eugene Scalia  a company spokesman said on Monday  a sign it could be preparing a legal challenge to a decision by regulators to subject it to tougher rules.,topStory
MET,MetLife Inc,20141103,RPT-MetLife to meet skeptical regulators in bid to escape rules ,WASHINGTON  Nov 3 MetLife  the largest U.S. insurer  will make a final plea on Monday to a group of U.S. regulators determined to subject it to tougher oversight as they probe which firms could pose a risk to the larger financial system.,normal
MET,MetLife Inc,20141103,MetLife to meet skeptical regulators in bid to escape rules ,WASHINGTON MetLife  the largest U.S. insurer  will make a final plea on Monday to a group of U.S. regulators determined to subject it to tougher oversight as they probe which firms could pose a risk to the larger financial system.,normal
MET,MetLife Inc,20141103,MetLife to meet skeptical regulators in bid to escape rules ,WASHINGTON  Nov 3 MetLife  the largest U.S. insurer  will make a final plea on Monday to a group of U.S. regulators determined to subject it to tougher oversight as they probe which firms could pose a risk to the larger financial system.,normal
MS,Morgan Stanley,20141103,ON THE MOVE-Veteran Merrill Lynch brokers move to Wells Fargo  Morgan Stanley ,NEW YORK  Nov 3 Bank of America Corp's  Merrill Lynch unit lost two teams of veteran advisers in late September and October  even as the firm announced it was hiring.,topStory
MSCI,MSCI Inc,20141103,MIDEAST STOCKS-Region outperforms as MSCI hopes aid Qatar  IPO boosts Saudi ,DUBAI  Nov 3 Most Middle Eastern stock markets rose on Monday  outperforming weak Asian and European bourses  as hopes for a bigger weighting in MSCI's indexes buoyed Qatar and a successful initial public offer supported Saudi Arabia.,topStory
OMC,Omnicom Group Inc,20141103,UPDATE 4-Publicis to buy U.S. digital ad firm Sapient for $3.7 bln ,* Publicis aims to boost growth after failed Omnicom merger,topStory
OMC,Omnicom Group Inc,20141103,PRESS DIGEST- Financial Times - Nov 3 ,Nov 2 The following are the top stories in the Financial Times. Reuters has not verified these stories and does not vouch for their accuracy.,normal
PG,Procter & Gamble Company (The),20141103,Argentina accuses Procter & Gamble of tax fraud  says suspends operations ,Argentina has accused Procter & Gamble  the world's No. 1 household products maker  of tax fraud and said it suspended its operations in the South American country  according to a statement issued on Sunday by the country's AFIP tax authority.,topStory
PG,Procter & Gamble Company (The),20141103,UPDATE 1-Argentina accuses Procter & Gamble of tax fraud  says suspends operations ,(Adds company comment  background on company operations in Argentina),normal
PG,Procter & Gamble Company (The),20141103,Argentina accuses Procter & Gamble of tax fraud  halts operations ,Nov 2 Argentina has accused the world's No. 1 household products maker  Procter & Gamble  of tax fraud and suspended its operations in the South American country  according to a statement issued on Sunday by the AFIP tax authority.,normal
KWR,Quaker Chemical Corporation,20141103,BRIEF-AAK sells its biolubricants business ,* AAK has decided to sell its biolubricants business Binol to Quaker Chemical  a leading global provider of process fluids and chemical specialties,topStory
RGC,Regal Entertainment Group,20141103,UPDATE 2-U.S. files lawsuit to stop merger of large movie ad companies ,WASHINGTON  Nov 3 The U.S. Justice Department on Monday filed a lawsuit to block National CineMedia Inc's  proposed $375 million acquisition of smaller rival Screenvision LLC  a deal that would significantly concentrate a niche advertising market.,normal
RY,Royal Bank Of Canada,20141103,MasterCard  RBC to test if the heart is always true  for payments at least ,TORONTO Canadian startup Bionym  maker of a wearable security device dubbed Nymi  is teaming up with credit card giant MasterCard Inc  and Royal Bank of Canada  to test whether the beat of your heart is true enough to verify payments.,topStory
RY,Royal Bank Of Canada,20141103,MasterCard  RBC to test if the heart is always true  for payments at least ,TORONTO  Nov 3 Canadian startup Bionym  maker of a wearable security device dubbed Nymi  is teaming up with credit card giant MasterCard Inc and Royal Bank of Canada  to test whether the beat of your heart is true enough to verify payments.,normal
RBS,Royal Bank Scotland plc (The),20141103,Britain's RBS changes auditor to EY from 2016 ,LONDON  Nov 3 State-backed British lender Royal Bank of Scotland said on Monday that it had appointed Ernst & Young LLP as its external auditor from 2016.,topStory
RBS,Royal Bank Scotland plc (The),20141103,RBS to aid City of London police with training on financial crime: FT ,State-backed Royal Bank of Scotland Plc  has signed an agreement with the City of London Police to help them with free training and advice on financial crime in a deal to be announced on Monday  the Financial Times reported.,normal
RBS,Royal Bank Scotland plc (The),20141103,RBS to aid City of London police with training on financial crime - FT ,Nov 3 State-backed Royal Bank of Scotland Plc  has signed an agreement with the City of London Police to help them with free training and advice on financial crime in a deal to be announced on Monday  the Financial Times reported.(http://on.ft.com/1wW4yZ7),normal
SNY,Sanofi,20141103,Sanofi says first dengue vaccine may be available in second half of 2015 ,PARIS Sanofi said on Monday that a late-stage clinical study showed that its dengue vaccine candidate met its main goal and was highly effective against severe cases of the disease.,topStory
SNY,Sanofi,20141103,Sanofi says first dengue vaccine may be available in H2 2015 ,PARIS  Nov 3 Sanofi said on Monday that a late-stage clinical study showed that its dengue vaccine candidate met its main goal and was highly effective against severe cases of the disease.,normal
SNY,Sanofi,20141103,How the wheels came off for Sanofi's CEO ,PARIS/LONDON Chris Viehbacher speaks plainly. "We had somewhat of a mess in Brazil " he told financial analysts in August 2013  "so that's why I decided to change management.",normal
SNY,Sanofi,20141103,INSIGHT-How the wheels came off for Sanofi's CEO ,PARIS/LONDON  Nov 2 Chris Viehbacher speaks plainly. "We had somewhat of a mess in Brazil " he told financial analysts in August 2013  "so that's why I decided to change management.",normal
S,Sprint Corporation,20141103,Sprint cuts 2000 jobs  more leadership changes to come ,WASHINGTON Sprint Corp  announced on Monday it will fire 2 000 employees and it cut its 2014 adjusted earnings forecast as the company attempts to reduce costs and turn around several quarters of losses.,topStory
S,Sprint Corporation,20141103,UPDATE 3-Sprint cuts 2000 jobs  more leadership changes to come ,(Adds CEO quote  analyst quote  background and details throughout),normal
S,Sprint Corporation,20141103,Sprint 3rd-qtr revenue rises slightly less than expected ,WASHINGTON  Nov 3 Sprint Corp  the No. 3 U.S. mobile provider  on Monday reported an increase in quarterly revenue that was slightly below analysts' expectations.,normal
S,Sprint Corporation,20141103,Johnson wins at Texas; Keselowski and Gordon brawl on pit road ,Johnson wins at Texas; Keselowski and Gordon brawl on pit road,normal
STO,Statoil ASA,20141103,UPDATE 3-Statoil puts $32.5 bln price tag on giant Sverdrup oil field ,* Peak production seen at 550 000-650 000 barrels/day after 2022   (Adds global comparison of investment cost),topStory
STO,Statoil ASA,20141103,RPT-European oil firms suffer decade of disruptions to succession plans ,LONDON/PARIS  Nov 2 The change of command just seen at Total  Statoil and BG has shown another upset in the continuity of management at Europe's oil majors  a fault line that has now been running for the last decade.,normal
SYK,Stryker Corporation,20141103,Stryker settles hip implants lawsuit ,Nov 3 Orthopedics company Stryker Corp  said its settled a compensation lawsuit related to its hip implant  and said it did not expect the settlement to hurt its profit.,topStory
SYY,Sysco Corporation,20141103,Deals of the day- Mergers and acquisitions ,(Adds Allergan  Kharafi National  Inditex  RCS Capital  PGE  Energy Future  Istrabenz  Aetna  National CineMedia  Danone  Cosumar  Sysco Corp  updates Altice SA  RTL Group  Yildiz Holding),topStory
TTM,Tata Motors Ltd,20141103,Indian shares end flat after hitting record high ,MUMBAI  Nov 3 Indian shares hit a third consecutive record high on Monday but the gains fizzled out later in the session  with both indexes ending flat as automakers such as Tata Motors declined after monthly sales fell.,topStory
THC,Tenet Healthcare Corporation,20141103,Tenet posts lower net profit on interest expense ,Hospital operator Tenet Healthcare Corp  posted a lower third-quarter net profit on Monday due to higher interest expenses for its acquisition of Vanguard Health Systems.,topStory
THC,Tenet Healthcare Corporation,20141103,Tenet posts lower net profit on interest expense ,Nov 3 Hospital operator Tenet Healthcare Corp  posted a lower third-quarter net profit on Monday due to higher interest expenses for its acquisition of Vanguard Health Systems.,normal
BX,The Blackstone Group LP,20141103,Hilton says Blackstone to cut stake in company by 14 percent ,Hilton Worldwide Holdings Inc   the world's largest hotel operator  said Blackstone Group LP  would reduce its stake in the company by 14 percent to about 57 percent.,topStory
BX,The Blackstone Group LP,20141103,CORRECTED-Hilton says Blackstone to cut stake in co by 14 pct ,(Corrects headline and 1st paragraph to say Blackstone will cut stake in Hilton by 14 percent  not 9 percent),normal
BX,The Blackstone Group LP,20141103,United Biscuits close to being sold to Turkey's Yildiz Holding-source ,Nov 3 United Biscuits' private equity owners are close to sealing a deal to sell the UK-based cookies and snacks maker to Turkey's Yildiz Holding for about over 2 billion pounds ($3 billion)  including debt  a source familiar with the matter told Reuters.,normal
GDL,The GDL Fund,20141103,UPDATE 1-More rail strikes loom in Germany after pay talks break down ,* Rail operator calls union an "unreliable negotiating partner",topStory
TMO,Thermo Fisher Scientific Inc,20141103,Late-summer 2015 too late for rate hike: Fed's Fisher ,NEW YORK Raising the U.S. Federal Reserve's key interest rate in late-summer of 2015  as financial markets generally expect  would be waiting too long  Dallas Fed President Richard Fisher said on Monday.,topStory
TMO,Thermo Fisher Scientific Inc,20141103,Late-summer 2015 too late for rate hike -Fed's Fisher ,NEW YORK  Nov 3 Raising the U.S. Federal Reserve's key interest rate in late-summer of 2015  as financial markets generally expect  would be waiting too long  Dallas Fed President Richard Fisher said on Monday.,normal
TMO,Thermo Fisher Scientific Inc,20141103,Thermo Fisher pledges to fix glitch in drug analysis software ,LONDON Thermo Fisher Scientific has pledged to correct a glitch in software used to analyze data from clinical drug trials within "four to eight weeks"  after independent experts highlighted a potential for errors.,normal
TMO,Thermo Fisher Scientific Inc,20141103,Thermo Fisher pledges to fix glitch in drug analysis software ,LONDON  Nov 3 Thermo Fisher Scientific  has pledged to correct a glitch in software used to analyse data from clinical drug trials within "four to eight weeks"  after independent experts highlighted a potential for errors.,normal
TWX,Time Warner Inc,20141103,RPT-Dish far apart on contract as deadline nears-source ,(Repeats story issued on Nov 2 for wider distribution  no changes to text),normal
TM,Toyota Motor Corp Ltd Ord,20141103,UPDATE 2-Canada sets more auto sales records in October ,(Recast with sales totals  and results from Ford  Toyota  Honda),topStory
TM,Toyota Motor Corp Ltd Ord,20141103,UPDATE 5-Best October in a decade for U.S. auto sales; GM misses ,(Adds final industry figures  adds comments by GM and Nissan executives  industry details),normal
TM,Toyota Motor Corp Ltd Ord,20141103,Toyota says Oct China auto sales up 27.1 percent year/year ,BEIJING Toyota Motor Corp  and its two Chinese joint ventures sold about 104 700 vehicles in China in October  up 27.1 percent from a year earlier  the Japanese automaker said on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20141103,CORRECTED-Toyota says Oct China auto sales up 27.1 pct y/y ,(Corrects percentage increase of Jan-Oct sales in second paragraph),normal
TM,Toyota Motor Corp Ltd Ord,20141103,Toyota says Oct China auto sales up 27.1 pct y/y ,BEIJING  Nov 3 Toyota Motor Corp and its two Chinese joint ventures sold about 104 700 vehicles in China in October  up 27.1 percent from a year earlier  the Japanese automaker said on Monday.,normal
VRX,Valeant Pharmaceuticals International Inc,20141103,Deals of the day- Mergers and acquisitions ,(Adds Allergan  Kharafi National  Inditex  RCS Capital  PGE  Energy Future  Istrabenz  Aetna  National CineMedia  Danone  Cosumar  Sysco Corp  updates Altice SA  RTL Group  Yildiz Holding),topStory
VRX,Valeant Pharmaceuticals International Inc,20141103,Allergan says has been approached by another party about a deal ,Botox maker Allergan Inc   fighting a hostile takeover bid by Valeant Pharmaceuticals Inc   said on Monday it was approached about a potential transaction by another party  identified as Actavis Plc  by a source familiar with the situation.,normal
VRX,Valeant Pharmaceuticals International Inc,20141103,UPDATE 3-Allergan says has been approached by another party about a deal ,Nov 3 Botox maker Allergan Inc  fighting a hostile takeover bid by Valeant Pharmaceuticals Inc  said on Monday it was approached about a potential transaction by another party  identified as Actavis Plc by a source familiar with the situation.,normal
VRX,Valeant Pharmaceuticals International Inc,20141103,Allergan says has been approached by another party about a deal ,Nov 3 Allergan Inc  which is fending off an acquisition by Valeant Pharmaceuticals Inc  said on Monday that it had been approached by another party regarding a potential transaction.,normal
VZ,Verizon Communications Inc,20141103,Wireless calls between Verizon and AT&T to be carried on data network by 2015 ,WASHINGTON  Nov 3 Verizon Communications  and AT&T Inc expect to be able to transmit wireless voice calls between the two carriers over high-speed data networks by 2015  the companies said on Monday.,topStory
VZA,Verizon Communications Inc,20141103,Wireless calls between Verizon and AT&T to be carried on data network by 2015 ,WASHINGTON  Nov 3 Verizon Communications  and AT&T Inc expect to be able to transmit wireless voice calls between the two carriers over high-speed data networks by 2015  the companies said on Monday.,topStory
WFC,Wells Fargo & Company,20141103,ON THE MOVE-Veteran Merrill Lynch brokers move to Wells Fargo  Morgan Stanley ,NEW YORK  Nov 3 Bank of America Corp's  Merrill Lynch unit lost two teams of veteran advisers in late September and October  even as the firm announced it was hiring.,topStory
WBK,Westpac Banking Corporation,20141103,Westpac in record profit  says debate needed on any new capital rules ,SYDNEY Australia's Westpac Banking Corp  booked a fifth straight year of record profit on robust loan growth and declines in bad debt  while joining fellow lender ANZ in voicing concern about the potential for increased capital requirements.,topStory
WBK,Westpac Banking Corporation,20141103,UPDATE 2-Westpac in record profit  says debate needed on any new capital rules ,* Shares up 6.4 pct so far this yr  outperforming benchmark   (Adds CEO comment  details on financial system inquiry),normal
