AGRX,Agile Therapeutics Inc,20140623,BUZZ-U.S. Stocks on the Move-American Apparel  Willdan  Agile Therapeutics ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
GEK,General Electric Capital Corporation,20140623,Alstom workers relieved as GE wins takeover bid ,BELFORT France For Alstom  workers in eastern France  news that General Electric  has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know". | Video ,normal
GEK,General Electric Capital Corporation,20140623,Alstom workers relieved as GE wins takeover bid ,BELFORT France For Alstom  workers in eastern France  news that General Electric  has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know".,normal
GEK,General Electric Capital Corporation,20140623,Alstom workers relieved as GE wins takeover bid ,BELFORT  France  June 23 For Alstom  workers in eastern France  news that General Electric has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know".,normal
GEK,General Electric Capital Corporation,20140623,INSIGHT-Alstom loss is PR win for new Siemens chief ,* Siemens CEO earns praise for shrewd moves in Alstom battle,normal
GEK,General Electric Capital Corporation,20140623,BUSINESS-NEWS-SCHEDULE AT 1230 GMT / 8.30 AM ET ,China  Japan manufacturing grows again  euro zone falters,normal
GEK,General Electric Capital Corporation,20140623,France secures Alstom stake option ahead of GE tie-up ,PARIS France won an option to buy 20 percent of Alstom from construction group Bouygues on Sunday  in an eleventh-hour deal clearing the way for the agreed sale of Alstom's energy business to General Electric.,normal
GEK,General Electric Capital Corporation,20140623,INSIGHT-Alstom loss is PR win for new Siemens chief ,* Siemens CEO earns praise for shrewd moves in Alstom battle,normal
GEK,General Electric Capital Corporation,20140623,Abe's 'drill bit' hits resistance on Japan labor reform ,TOKYO When Prime Minister Shinzo Abe vowed at the World Economic Forum in Davos to take a "drill bit" to the "solid rock" of vested interests in reforming Japan's economy  executives at companies such as General Electric  and IBM  paid attention.,normal
GEK,General Electric Capital Corporation,20140623,Abe's 'drill bit' hits resistance on Japan labor reform ,TOKYO When Prime Minister Shinzo Abe vowed at the World Economic Forum in Davos to take a "drill bit" to the "solid rock" of vested interests in reforming Japan's economy  executives at companies such as General Electric and IBM paid attention.,normal
GE,General Electric Company,20140623,RPT-INSIGHT-Abe's 'drill bit' hits resistance on Japan labour reform ,(Repeats item first published on Monday with no changes to text),topStory
GE,General Electric Company,20140623,Alstom workers relieved as GE wins takeover bid ,BELFORT France For Alstom  workers in eastern France  news that General Electric  has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know". | Video ,normal
GE,General Electric Company,20140623,Alstom workers relieved as GE wins takeover bid ,BELFORT France For Alstom  workers in eastern France  news that General Electric  has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know".,normal
GE,General Electric Company,20140623,Alstom workers relieved as GE wins takeover bid ,BELFORT  France  June 23 For Alstom  workers in eastern France  news that General Electric has beaten rival bidder Siemens to a tie-up with their firm has brought relief and a response perhaps best summed up by the saying "better the devil you know".,normal
GE,General Electric Company,20140623,INSIGHT-Alstom loss is PR win for new Siemens chief ,* Siemens CEO earns praise for shrewd moves in Alstom battle,normal
GE,General Electric Company,20140623,BUSINESS-NEWS-SCHEDULE AT 1230 GMT / 8.30 AM ET ,China  Japan manufacturing grows again  euro zone falters,normal
GE,General Electric Company,20140623,France secures Alstom stake option ahead of GE tie-up ,PARIS France won an option to buy 20 percent of Alstom from construction group Bouygues on Sunday  in an eleventh-hour deal clearing the way for the agreed sale of Alstom's energy business to General Electric.,normal
GE,General Electric Company,20140623,INSIGHT-Alstom loss is PR win for new Siemens chief ,* Siemens CEO earns praise for shrewd moves in Alstom battle,normal
GE,General Electric Company,20140623,Abe's 'drill bit' hits resistance on Japan labor reform ,TOKYO When Prime Minister Shinzo Abe vowed at the World Economic Forum in Davos to take a "drill bit" to the "solid rock" of vested interests in reforming Japan's economy  executives at companies such as General Electric  and IBM  paid attention.,normal
GE,General Electric Company,20140623,Abe's 'drill bit' hits resistance on Japan labor reform ,TOKYO When Prime Minister Shinzo Abe vowed at the World Economic Forum in Davos to take a "drill bit" to the "solid rock" of vested interests in reforming Japan's economy  executives at companies such as General Electric and IBM paid attention.,normal
GM,General Motors Company,20140623,General Motors names new VP for North America manufacturing ,June 23 General Motors Co said Cathy Clegg would take over as vice president of manufacturing for North America  effective July 1.,topStory
GS,Goldman Sachs Group Inc (The),20140623,Obama meets with CEOs of Goldman Sachs  others  on family issues ,WASHINGTON President Barack Obama met with Goldman Sachs Chief Executive Lloyd Blankfein  Johnson & Johnson chief Alex Gorsky and other business leaders on Monday to discuss ways to encourage companies to make their work places more family friendly.,topStory
GS,Goldman Sachs Group Inc (The),20140623,Obama meets with CEOs of Goldman Sachs  others  on family issues ,WASHINGTON  June 23 President Barack Obama met with Goldman Sachs Chief Executive Lloyd Blankfein  Johnson & Johnson chief Alex Gorsky and other business leaders on Monday to discuss ways to encourage companies to make their work places more family friendly.,normal
GS,Goldman Sachs Group Inc (The),20140623,Goldman to test appetite for new structured product ,LONDON  June 23 (IFR) - Goldman Sachs will start marketing a new type of bond transaction this Wednesday that straddles asset categories and features an unusual triple-recourse structure  as it seeks to take advantage of investors' demand for Triple A rated assets.,normal
GS,Goldman Sachs Group Inc (The),20140623,Lululemon shares rise as founder turns to Goldman for shake-up ,TORONTO Shares of Lululemon Athletica Inc  rose on Monday after reports that founder Dennis "Chip" Wilson was considering options and pushing for changes at the yogawear retailer following an extended share slump.,normal
GS,Goldman Sachs Group Inc (The),20140623,Lululemon shares rise as founder turns to Goldman for shake-up ,TORONTO  June 23 Shares of Lululemon Athletica Inc rose on Monday after reports that founder Dennis "Chip" Wilson was considering options and pushing for changes at the yogawear retailer following an extended share slump.,normal
GS,Goldman Sachs Group Inc (The),20140623,UPDATE 1-Market Chatter-Corporate finance press digest ,June 23 The following corporate finance-related stories were reported by media:,normal
GS,Goldman Sachs Group Inc (The),20140623,Market Chatter- Corporate finance press digest ,June 23 The following corporate finance-related stories were reported by media:,normal
HAL,Halliburton Company,20140623,COLUMN-Halliburton ruling could backfire for defendants: Frankel ,(The opinions expressed here are those of Alison Frankel  a columnist for Reuters.),topStory
HMC,Honda Motor Company Ltd,20140623,Honda and others recall nearly 3 million vehicles over air bag flaw ,TOKYO/DETROIT Honda Motor Co 7267.T and other Japanese automakers on Monday recalled almost 3 million cars with potentially explosive air bags supplied by Takata Corp 7312.T  bringing the total recall so far to about 10.5 million vehicles over the past five years.,topStory
HMC,Honda Motor Company Ltd,20140623,UPDATE 4-Honda and others recall nearly 3 mln vehicles over air bag flaw ,* Honda  Nissan  Mazda recall vehicles for potential Takata air bag issue,normal
HMC,Honda Motor Company Ltd,20140623,Honda  Mazda expand recalls over Takata airbag problem ,TOKYO Honda Motor Co and Mazda Motor Corp said they are expanding last year's massive recalls involving potentially explosive air bags supplied by Takata Corp  after a similar move by Toyota Motor Corp this month.,normal
HMC,Honda Motor Company Ltd,20140623,Honda  Mazda expand recalls over Takata airbag problem ,TOKYO  June 23 Honda Motor Co and Mazda Motor Corp said they are expanding last year's massive recalls involving potentially explosive air bags supplied by Takata Corp  after a similar move by Toyota Motor Corp  this month.,normal
HMC,Honda Motor Company Ltd,20140623,Takata says willing to support certain air bag inflator replacements , ,normal
HRG,HRG Group Inc,20140623,UPDATE 1-Harbinger offers $10/shr for Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,topStory
HRG,HRG Group Inc,20140623,Harbinger offers to buy Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,normal
HRG,HRG Group Inc,20140623,UPDATE 1-Central Garden & Pet Co may see $10 per share offer - source ,(Adds sourcing  clarifies name of buyer  describes deal structure),normal
HBM,Hudbay Minerals Inc,20140623,UPDATE 1-Augusta agrees to revised HudBay takeover offer ,June 23 Augusta Resource Corp said it agreed to be bought by HudBay Minerals Inc   after the company raised its offer to buy Augusta shares it does not already own.,topStory
HBM,Hudbay Minerals Inc,20140623,CORRECTED-BRIEF-Augusta agrees to revised offer from Hudbay ,June 23 Augusta Resource Corp :  * HudBay and Augusta agree to friendly acquisition  * Says HudBay has agreed to increase the consideration that will be received by Augusta shareholders  * Revised offer represents a total equity value of C$555 million based on 100% of the fully-diluted  * Under revised offer  Augusta shareholders will also receive 0.17 of warrant to acquire common share of HudBay for each Augusta common share  * Board of Augusta unanimously determined that considerat,normal
HBM,Hudbay Minerals Inc,20140623,Augusta agrees to revised HudBay takeover offer ,June 23 Augusta Resource Corp said it agreed to be bought by HudBay Minerals Inc   after the company raised its offer to buy Augusta shares it does not already own.,normal
JNJ,Johnson & Johnson,20140623,Obama meets with CEOs of Goldman Sachs  others  on family issues ,WASHINGTON President Barack Obama met with Goldman Sachs Chief Executive Lloyd Blankfein  Johnson & Johnson chief Alex Gorsky and other business leaders on Monday to discuss ways to encourage companies to make their work places more family friendly.,topStory
JNJ,Johnson & Johnson,20140623,Obama meets with CEOs of Goldman Sachs  others  on family issues ,WASHINGTON  June 23 President Barack Obama met with Goldman Sachs Chief Executive Lloyd Blankfein  Johnson & Johnson chief Alex Gorsky and other business leaders on Monday to discuss ways to encourage companies to make their work places more family friendly.,normal
KKR,KKR & Co LP,20140623,RPT-Fitch: KKR's First Data Injection Links Deleveraging with Value ,June 23 (The following statement was released by the rating agency),topStory
LMT,Lockheed Martin Corporation,20140623,F-35A fighter jet flights suspended after fire at U.S. air base ,WASHINGTON The U.S. Air Force on Monday temporarily halted flights at a Florida air base of 26 F-35A fighter jets built by Lockheed Martin Corp after a jet caught fire as it was preparing to take off for a training flight  a Pentagon spokesman said.,topStory
LMT,Lockheed Martin Corporation,20140623,UPDATE 1-F-35A fighter jet flights suspended after fire at U.S. air base ,WASHINGTON  June 23 The U.S. Air Force on Monday temporarily halted flights at a Florida air base of 26 F-35A fighter jets built by Lockheed Martin Corp after a jet caught fire as it was preparing to take off for a training flight  a Pentagon spokesman said.,normal
LMT,Lockheed Martin Corporation,20140623,F-35A fighter jet flights suspended after fire at U.S. air base ,WASHINGTON  June 23 The U.S. Air Force on Monday temporarily halted flights at a Florida air base of 26 F-35A fighter jets built by Lockheed Martin Corp after a jet caught fire as it was preparing to take off for a training flight  a Pentagon spokesman said.,normal
MMC,Marsh & McLennan Companies Inc,20140623,UPDATE 1-S.Africa's Alex Forbes to list  sell stake to Marsh & McLennan ,JOHANNESBURG  June 23 South African pension fund administrator Alexander Forbes will return to the Johannesburg bourse next month  it said on Monday  six years after a $1.2 billion buyout by a group of private equity firms.,topStory
MMC,Marsh & McLennan Companies Inc,20140623,S.Africa's Alexander Forbes says Marsh & McLennan to take stake at listing ,JOHANNESBURG  June 23 South Africa's Alexander Forbes confirmed on Monday it intended to float unlisted shares on the Johannesburg bourse and that a unit of Marsh & McLennan  would become a strategic investor with 34 percent stake after the listing.,normal
MBI,MBIA Inc,20140623,MBIA says Credit Suisse hid crucial documents in U.S. mortgage case ,NEW YORK Credit Suisse Group AG  has withheld many key documents from MBIA Inc  in a lawsuit accusing the Swiss bank of lying about how it processed loans used in mortgage-backed securities  and it should be ordered to review whether it has more evidence suggesting misconduct  the bond insurer said.,topStory
MBI,MBIA Inc,20140623,MBIA says Credit Suisse hid crucial documents in US mortgage case ,NEW YORK  June 23 Credit Suisse Group AG  has withheld many key documents from MBIA Inc  in a lawsuit accusing the Swiss bank of lying about how it processed loans used in mortgage-backed securities  and it should be ordered to review whether it has more evidence suggesting misconduct  the bond insurer said.,normal
MTOR,Meritor Inc,20140623,BUZZ-U.S. Stocks on the Move-Arotech  Rockwell  Meritor ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
ORCL,Oracle Corporation,20140623,Oracle looks to boost growth with biggest deal in five years ,Oracle Corp  said it would buy Micros Systems  in a $5.3 billion deal as the world's No.2 business software maker looks to boost flagging growth through acquisitions.,topStory
ORCL,Oracle Corporation,20140623,UPDATE 3-Oracle looks to boost growth with biggest deal in 5 years ,* Acquisition could be first of several deals for Oracle: analyst,normal
ORCL,Oracle Corporation,20140623,US STOCKS-Wall St flat after six-day run amid mixed global data ,* Dow off 0.14 pct  S&P off 0.02 pct  Nasdaq off 0.05 pct   (Updates to open  adds U.S. PMI  housing data  comments),normal
ORCL,Oracle Corporation,20140623,CORRECTED-US STOCKS-Wall St to open flat after six-day run  mixed overseas data ,(Corrects fifth paragraph to show that Markit flash U.S. PMI data is due out at 9:45 a.m. EDT  not 9:00 a.m.),normal
ORCL,Oracle Corporation,20140623,Europe Factors to Watch-Shares set to rise; eyes on euro zone data ,PARIS  June 23 European stocks were set to inch higher on Monday  tracking a rally in Asian shares after upbeat Chinese factory figures  although gains could be limited ahead of similar data for the euro zone.     French lender BNP Paribas will be in the spotlight after sources said the bank is likely to pay $8 billion to $9 billion as part of a potential settlement with U.S. authorities over violations of sanctions.      Alstom will also be in focus after the French government secur,normal
ORCL,Oracle Corporation,20140623,UPDATE 1-Market Chatter-Corporate finance press digest ,June 23 The following corporate finance-related stories were reported by media:,normal
ORCL,Oracle Corporation,20140623,Oracle nears $5 bln deal for Micros Systems - WSJ ,June 23 Oracle Corp is likely to buy Micros Systems in a $5 billion deal  expected to be announced as early as Monday morning  the Wall Street Journal reported  citing a person familiar with the matter.,normal
ORAN,Orange,20140623,Orange tops French mobile quality review  Free lags ,PARIS France's largest carrier Orange topped an annual quality review of mobile services carried out by the country's telecoms regulator  while Iliad's Free Mobile lagged competitors.,topStory
ORAN,Orange,20140623,Orange tops French mobile quality review  Free lags ,PARIS  June 23 France's largest carrier Orange  topped an annual quality review of mobile services carried out by the country's telecoms regulator  while Iliad's  Free Mobile lagged competitors.,normal
IX,Orix Corp Ads,20140623,Japan's Orix to buy majority stake in auto prototype maker ,TOKYO Japanese financial company Orix Corp said it plans to buy a majority stake in automobile prototype maker Arrk Corp from a government-sponsored fund  its latest in a string of acquisitions.,topStory
IX,Orix Corp Ads,20140623,UPDATE 1-Japan's Orix to buy majority stake in auto prototype maker ,TOKYO  June 23 Japanese financial company Orix Corp said it plans to buy a majority stake in automobile prototype maker Arrk Corp from a government-sponsored fund  its latest in a string of acquisitions.,normal
IX,Orix Corp Ads,20140623,Japan's Orix says to buy majority stake in auto prototype maker ,TOKYO  June 23 Japanese financial company Orix Corp said it plans to buy a majority stake in automobile prototype maker Arrk Corp from a government-sponsored fund  its latest in a string of acquisitions.,normal
RTN,Raytheon Company,20140623,Raytheon to resume production of warhead after successful test ,WASHINGTON Raytheon Co on Monday said it expects to soon resume production of an updated warhead  or "kill vehicle " used for U.S. homeland missile defense after the system successfully intercepted a dummy target over the Pacific.,topStory
RTN,Raytheon Company,20140623,Raytheon to resume production of warhead after successful test ,WASHINGTON  June 23 Raytheon Co on Monday said it expects to soon resume production of an updated warhead  or "kill vehicle " used for U.S. homeland missile defense after the system successfully intercepted a dummy target over the Pacific.,normal
RIO,Rio Tinto Plc,20140623,Top miners deepen iron ore discounts to China as supply grows ,SHANGHAI/SINGAPORE Global miners Rio Tinto and Fortescue Metals Group are making deeper cuts in prices of low-grade iron ore cargoes to China  as competition heats up in the world's top buyer amid rising supply.,topStory
RIO,Rio Tinto Plc,20140623,UPDATE 1-Mongolian govt says Oyu Tolgoi owes taxes  penalties ,June 23 Mongolian tax authorities have sent a report to officials at the Oyu Tolgoi copper and gold mine  claiming unpaid taxes and penalties related to the development of the mine  which is operated by Rio Tinto  Turquoise Hill Resources Ltd said on Monday.,normal
RIO,Rio Tinto Plc,20140623,Top miners deepen iron ore discounts to China as supply grows ,SHANGHAI/SINGAPORE  June 23 Global miners Rio Tinto and Fortescue Metals Group are making deeper cuts in prices of low-grade iron ore cargoes to China  as competition heats up in the world's top buyer amid rising supply.,normal
SC,Santander Consumer USA Holdings Inc,20140623,Santander to buy GE consumer finance business in Northern Europe ,MADRID Spain's Santander is buying GE Money Bank  GE Capital's consumer finance business in Sweden  Norway and Denmark  for 700 million euros ($950 million) in its latest move to diversify away from its struggling domestic market.,topStory
SC,Santander Consumer USA Holdings Inc,20140623,UPDATE 1-Santander to buy GE consumer finance business in Northern Europe ,* GE reducing exposure to volatile banking   (Adds analyst  details  background  shares),normal
SLB,Schlumberger NV,20140623,COLUMN-Energy scare good for oil stocks in the short term ,(The writer is a Reuters columnist. The opinions expressed are his own.),normal
BID,Sotheby&#39;s,20140623,Monet 'Water Lilies' fetches 32 million pounds in London auction ,LONDON A Claude Monet painting of water lilies sold for almost 32 million pounds (US$55 million) at auction in London on Monday  the second highest price ever paid for the artist at auction and confirming the global hunt is still on for "trophy paintings"  Sotheby's said.,topStory
BID,Sotheby&#39;s,20140623,Monet "Water Lilies" fetches 32 mln pounds in London auction ,* Water Lilies hits second highest auction price for Monet,normal
SPB           ,Spectrum Brands Holdings Inc,20140623,UPDATE 1-Harbinger offers $10/shr for Central Garden & Pet Co ,June 23 Harbinger Group Inc  the holding company for Spectrum Brands  said it had offered to buy retailer Central Garden & Pet Co for $10 per share  or acquire its pet business for $750 million.,topStory
SF,Stifel Financial Corporation,20140623,ON THE MOVE-Stifel hires two UBS advisers to expand Texas presence ,NEW YORK  June 23 Brokerage firm Stifel  Nicolaus & Co Inc expanded its footprint in Texas by hiring two financial advisers away from UBS Securities  the company announced on Monday.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140623,BRIEF-Taiwan's TSMC orders equipment from Japan's Tokyo Electron worth T$1.1 bln ,June 23 Taiwan Semiconductor Manufacturing Co Ltd,topStory
SCHW,The Charles Schwab Corporation,20140623,Few clients seek Schwab 'accountability' rebate ,New York The "accountability guarantee" that Charles Schwab Corp  unveiled with fanfare in December has to date cost the San Francisco-based financial company pocket money only.,topStory
TYG,Tortoise Energy Infrastructure Corporation,20140623,Fitch Takes Rating Action on Tortoise Fund Notes and Pfd Following Merger ,(The following statement was released by the rating agency) NEW YORK  June 23 (Fitch) Fitch Ratings assigns 'AAA' and 'AA' ratings to $179.4  million of new senior unsecured notes (senior notes) and $50 million of new  mandatory redeemable preferred shares (MRPS)  respectively  issued by Tortoise  Energy Infrastructure Corp (NYSE: TYG) in connection with a fund reorganization  completed today.  Fitch concurrently affirms the 'AAA' and 'AA' ratings assigned to $350 million  of existing senior not,topStory
TM,Toyota Motor Corp Ltd Ord,20140623,Takata says willing to support certain air bag inflator replacements , ,topStory
TRQ,Turquoise Hill Resources Ltd,20140623,UPDATE 1-Mongolian govt says Oyu Tolgoi owes taxes  penalties ,June 23 Mongolian tax authorities have sent a report to officials at the Oyu Tolgoi copper and gold mine  claiming unpaid taxes and penalties related to the development of the mine  which is operated by Rio Tinto  Turquoise Hill Resources Ltd said on Monday.,topStory
TWTR,Twitter Inc,20140623,Russia asks Twitter to block a dozen accounts ,MOSCOW Russia asked Twitter on Monday to block access to a dozen accounts it deems "extremist"  the head of the country's telecoms watchdog said  as Moscow seeks greater control over Internet sites based beyond its borders.,topStory
TWTR,Twitter Inc,20140623,Russia asks Twitter to block a dozen accounts ,MOSCOW  June 23 Russia asked Twitter on Monday to block access to a dozen accounts it deems "extremist"  the head of the country's telecoms watchdog said  as Moscow seeks greater control over Internet sites based beyond its borders.,normal
VRX,Valeant Pharmaceuticals International Inc,20140623,CANADA STOCKS-TSX steady as positive data offsets Iraq concerns ,* TSX down 3.34 points  or 0.02 percent  at 15 105.63     * Six of the 10 main index sectors decline     * Valeant slips after Allergan advises against deal     * SNC climbs after acquisition move      By John Tilak     TORONTO  June 23 Canada's main stock index was little changed on Monday as worries about political instability in Iraq were balanced by upbeat economic data from China and the United States.     U.S. Secretary of State John Kerry met Iraqi Prime Minister Nuri al-Malik,topStory
VRX,Valeant Pharmaceuticals International Inc,20140623,CANADA STOCKS-TSX slips as Iraq  valuation concerns weigh ,* TSX down 20.27 points  or 0.13 percent  at 15 088.70     * Six of 10 main index sectors decline     * Valeant slips after Allergan advises against deal     * SNC climbs after acquisition move      By John Tilak     TORONTO  June 23 Canada's main stock index slipped on Monday as worries about political instability in Iraq and concerns about high valuations dragged on market sentiment  offsetting gains in the index's mining-heavy materials group.     In Iraq  U.S. Secretary of State ,normal
VRX,Valeant Pharmaceuticals International Inc,20140623,Allergan advises shareholders against Valeant tender offer ,Allergan Inc  on Monday advised investors not to sell their shares to Valeant Pharmaceuticals International   which launched a hostile takeover offer for the California-based Botox maker last week  saying it was "grossly inadequate.",normal
VRX,Valeant Pharmaceuticals International Inc,20140623,UPDATE 1-Allergan advises shareholders against Valeant tender offer ,June 23 Allergan Inc on Monday advised investors not to sell their shares to Valeant Pharmaceuticals International  which launched a hostile takeover offer for the California-based Botox maker last week  saying it was "grossly inadequate.",normal
VRX,Valeant Pharmaceuticals International Inc,20140623,Allergan advises shareholders against Valeant tender offer ,June 23 Allergan Inc on Monday advised investors not to sell their shares to Valeant Pharmaceuticals International  which launched a hostile takeover offer for the California-based Botox maker last week  saying it was "grossly inadequate.",normal
VR,Validus Holdings Ltd,20140623,Reinsurer Validus to buy Western World Insurance for $690 million ,Reinsurer Validus Holdings Ltd  said it would buy specialty insurer Western World Insurance Group Inc for about $690 million in cash to strengthen its presence in the United States.,topStory
VR,Validus Holdings Ltd,20140623,UPDATE 1-Reinsurer Validus to buy Western World Insurance for $690 mln ,June 23 Reinsurer Validus Holdings Ltd  said it would buy specialty insurer Western World Insurance Group Inc for about $690 million in cash to strengthen its presence in the United States.,normal
VR,Validus Holdings Ltd,20140623,Reinsurer Validus Holdings to buy Western World Insurance for $690 mln ,June 23 Reinsurer Validus Holdings Ltd  said it would buy specialty insurer Western World Insurance Group Inc for about $690 million in cash.,normal
DIS,Walt Disney Company (The),20140623,U.S.-Portugal soccer match sets U.S. viewing records on ESPN  Univision ,More than 18.2 million U.S. viewers watched the United States tie Portugal during a World Cup soccer match on Sunday night  making it the most-viewed soccer match by a U.S. audience.,topStory
WAT,Waters Corporation,20140623,Nestle takes step toward customizable vitamins ,LONDON Nestle said on Monday it was working on a new research project that could one day lead to the development of made-to-measure vitamin combinations tailored to an individual's needs.,topStory
WEC,WEC Energy Group Inc,20140623,US STOCKS-Wall St ends flat after six-day rally  energy rises ,* Indexes: Dow down 0.2 pct  S&P down 0.1 pct  Nasdaq flat   (Updates to close),topStory
WEC,WEC Energy Group Inc,20140623,Wisconsin Energy to buy Integrys to expand in U.S. Midwest ,Wisconsin Energy Corp  said it would buy Integrys Energy Group Inc  for $5.71 billion to create a larger  more diverse Midwest electric and natural gas delivery company.,normal
WEC,WEC Energy Group Inc,20140623,UPDATE 3-Wisconsin Energy to buy Integrys to expand in U.S. Midwest ,* Deal valued at $9.1 bln  including debt   (Adds analysts'  executives' comments),normal
WEC,WEC Energy Group Inc,20140623,US STOCKS-Wall St flat after six-day run amid mixed global data ,* Dow off 0.14 pct  S&P off 0.02 pct  Nasdaq off 0.05 pct   (Updates to open  adds U.S. PMI  housing data  comments),normal
WEC,WEC Energy Group Inc,20140623,CORRECTED-US STOCKS-Wall St to open flat after six-day run  mixed overseas data ,(Corrects fifth paragraph to show that Markit flash U.S. PMI data is due out at 9:45 a.m. EDT  not 9:00 a.m.),normal
WEC,WEC Energy Group Inc,20140623,CORRECTED-US STOCKS-Futures flat after mixed data overseas ,(Corrects to show Markit flash U.S. PMI to be released at 9:45 a.m. EDT  not 9:00 a.m.),normal
WEC,WEC Energy Group Inc,20140623,Wisconsin Energy to buy Integrys in $9.1 bln deal ,June 23 Wisconsin Energy Corp said it would buy Integrys Energy Group Inc in a deal valued at $9.1 billion to create a larger  more diverse Midwest electric and natural gas delivery company.,normal
SGA,Saga Communications Inc,20140623,UPDATE 2-UK motor firm AA Group makes weak stock market debut ,LONDON  June 23 Shares in AA Group fell on Monday after the UK motoring organisation joined the London stock market  just a month after its sister company Saga  failed to impress investors in its own debut.,topStory
