ADXS,Advaxis Inc,20140722,AstraZeneca widens cancer immunotherapy net with Advaxis trial ,LONDON  July 22 AstraZeneca is casting its net wider in the hot cancer immunotherapy field through a clinical trial collaboration with U.S. biotech firm Advaxis  that will test drugs from both companies in combination.,topStory
AZN,Astrazeneca PLC,20140722,European shares up as Ukraine rebels allow improved access ,* Ukraine rebels hand over black boxes from Malaysian plane,normal
AZN,Astrazeneca PLC,20140722,European shares rebound as Ukraine rebels hand over black boxes ,* Ukraine rebels hand over black boxes from Malaysian plane,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20140722,RPT-UPDATE 1-BBVA eyes Spanish profit boost from Catalunya Banc buy ,(Repeats to add link to Breakingviews comment; also repeats to additional Reuters clients),topStory
BCS,Barclays PLC,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
BCS,Barclays PLC,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
ABX,Barrick Gold Corporation,20140722,UPDATE 1-Wary investors slow to warm to Barrick Gold's latest shakeup ,TORONTO  July 21 Worried they may be given the cold shoulder by an imperious leadership  shareholders of Barrick Gold Corp  the world's biggest gold miner  are taking a "show me" approach to the company's latest management shakeup.,topStory
BBY,Best Buy Co Inc,20140722,EU antitrust regulators likely to step up Google probes: WSJ ,SAN FRANCISCO/FRANKFURT European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,topStory
BBL,BHP Billiton plc,20140722,UPDATE 1-BHP beats full-yr iron ore output guidance by 4 pct ,* Says FY2015 iron ore output to rise further 20 mln/t to 245 million,topStory
BBL,BHP Billiton plc,20140722,BHP beats full-yr iron ore output guidance by 4 pct ,SYDNEY  July 23 BHP Billiton beat its own guidance for full-year iron ore output  saying it mined a record 225 million tonnes  4 percent ahead of its forecast.,normal
BA,Boeing Company (The),20140722,UPDATE 1-Rockwell Collins gets boost from higher deliveries to planemakers ,* Profit of $1.19/share from continuing operations vs estimate $1.17,topStory
CNI,Canadian National Railway Company,20140722,CANADA STOCKS-Canadian National  energy shares spur TSX to record high ,(Adds comment from portfolio manager  details on market activity  updates prices)     By Alastair Sharp     TORONTO  July 22 Canadian National Railway and energy shares pushed Canada's main stock index higher on Tuesday  topping the record high it hit last week  as tensions eased in Ukraine.     CN Rail was the index's biggest positive force  up 1.6 percent at C$74.14  after the country's biggest railway reported record volumes and lifted forecasts after the bell on Monday.       Amo,topStory
CNC,Centene Corporation,20140722,Health insurer Centene's profit surges as memberships jump ,Health insurer Centene Corp reported a 24 percent jump in quarterly profit  beating market estimates for the sixth straight quarter  as member signups surged 23 percent.,topStory
CNC,Centene Corporation,20140722,UPDATE 2-Health insurer Centene's profit surges as memberships jump ,* Shares rise as much as 8.5 pct to life high   (Adds analysts' comments  share movement and details),normal
CNC,Centene Corporation,20140722,CORRECTED-Centene's profit jumps 24 percent ,July 22 Health insurer Centene Corp  posted a 24 percent jump in quarterly profit  driven by a nearly 50 percent jump in premium and services revenue.,normal
SNP,China Petroleum & Chemical Corporation,20140722,Update-Moody's : CNPC and Sinopec can withstand overcapacity challenges ,China National Petroleum Corporation (CNPC) and China Petroleum and Chemical Corporation  (Sinopec),topStory
CMG,Chipotle Mexican Grill Inc,20140722,US STOCKS-Wall St gains on earnings  data; conflicts still eyed ,* Dow up 0.4 pct; S&P 500 up 0.5 pct; Nasdaq up 0.7 pct   (Updates to close),topStory
CMG,Chipotle Mexican Grill Inc,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  Yingli Green Energy ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
CMG,Chipotle Mexican Grill Inc,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  Polaris ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
CMG,Chipotle Mexican Grill Inc,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  HealthStream ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
CMG,Chipotle Mexican Grill Inc,20140722,UPDATE 2-McDonald's profit falls on weak U.S.  European sales ,(Adds details on results  China meat scandal  Chipotle results),normal
CMG,Chipotle Mexican Grill Inc,20140722,UPDATE 2-Chipotle customers shrug off price hike  flock to burrito chain ,(Adds industry context  analyst and company comment  byline),normal
CIT,CIT Group Inc (DEL),20140722,CIT to buy OneWest Bank for more reliable funding source ,U.S. small-business lender CIT Group Inc said it would buy California bank OneWest Bank NA for $3.4 billion in cash and stock  a deal that will give CIT a more reliable source of funding.,topStory
CIT,CIT Group Inc (DEL),20140722,UPDATE 3-CIT to buy OneWest Bank for more reliable funding source ,* No significant likelihood of another bank deal - CEO John Thain,normal
CIT,CIT Group Inc (DEL),20140722,CIT to buy regional lender OneWest for $3.4 billion ,July 22 Small-business lender CIT Group Inc  said it would buy regional lender OneWest Bank NA for $3.4 billion in cash and stock.,normal
C,Citigroup Inc,20140722,MOVES-Citigroup  Deutsche Bank  Saxo Bank  MN Investment ,(Adds Marinus Capital Advisors  BATS Global Markets  Alvarez & Marsal),topStory
KO,Coca-Cola Company (The),20140722,Coca-Cola sales miss estimates on flat North America growth ,Coca-Cola Co is still grappling with a problem even as sales of traditional Coke rise in North America: U.S. consumers are drinking less diet soda.,topStory
KO,Coca-Cola Company (The),20140722,UPDATE 3-Coca-Cola sales miss estimates on flat N.America growth ,* Stock falls as much as 4.2 pct in early trading   (Adds CEO's and analyst's comments),normal
KO,Coca-Cola Company (The),20140722,CORRECTED-UPDATE 2-Coca-Cola sales miss estimates as N.America growth stalls ,(Corrects paragraph 1 to "... failed to show growth" from "declined"),normal
KO,Coca-Cola Company (The),20140722,Coca-Cola quarterly profit falls 3 percent ,July 22 Coca-Cola Co reported a 3 percent fall in quarterly net profit due to restructuring of its juice operations in Russia and the separation of its Brazilian bottling operations last year.,normal
DB,Deutsche Bank AG,20140722,NY Fed found serious problems at Deutsche Bank's U.S. arms: WSJ ,The Federal Reserve Bank of New York has found serious problems in Deutsche Bank AG's U.S. operations  including shoddy financial reporting  inadequate auditing and oversight and weak technology  the Wall Street Journal reported.,topStory
DB,Deutsche Bank AG,20140722,NY Fed found serious problems at Deutsche Bank's U.S. arms - WSJ ,July 22 The Federal Reserve Bank of New York has found serious problems in Deutsche Bank AG's U.S. operations  including shoddy financial reporting  inadequate auditing and oversight and weak technology  the Wall Street Journal reported.,normal
DB,Deutsche Bank AG,20140722,MOVES-Citigroup  Deutsche Bank  Saxo Bank  MN Investment ,(Adds Marinus Capital Advisors  BATS Global Markets  Alvarez & Marsal),normal
DB,Deutsche Bank AG,20140722,BES says appoints Deutsche Bank to advise on bank structure ,LISBON  July 22 Banco Espirito Santo  Portugal's largest listed bank  said on Tuesday it has hired Deutsche Bank to advise it on improving its balance sheet structure.,normal
DB,Deutsche Bank AG,20140722,Credit Suisse posts big loss after U.S. tax settlement ,ZURICH Credit Suisse Group AG will quit commodities trading after chalking up its biggest loss since the financial crisis in 2008  the result of a 1.6 billion Swiss franc ($1.78 billion) fine from U.S. authorities for helping its clients evade taxes. | Video ,normal
DB,Deutsche Bank AG,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DB,Deutsche Bank AG,20140722,MOVES-Deutsche expands U.S. exchange-traded products team ,NEW YORK  July 22 Deutsche Bank AG  has hired three new regional vice presidents to join its U.S. distribution team focused on exchange-traded products  the company said on Tuesday.,normal
DB,Deutsche Bank AG,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,normal
DG,Dollar General Corporation,20140722,Georgia Republicans to vote on U.S. Senate nominee after long fight ,ATLANTA A drawn-out fight between an 11-term congressman and a former Fortune 500 chief executive in a key U.S. Senate race is due to be decided by Georgia's Republican voters on Tuesday.,topStory
DPZ,Domino&#39;s Pizza Inc,20140722,Domino's Pizza profit rises  U.S. shows strength ,July 22 Domino's Pizza Inc on Tuesday reported quarterly profit that topped Wall Street's view  boosted by strong results from overseas and its home market of the United States  where rival Pizza Hut is struggling.,topStory
ENB,Enbridge Inc,20140722,Enbridge mulls Midwest rail terminal to ease pipeline congestion ,CALGARY  Alberta  July 22 Canada's largest pipeline company Enbridge Inc may  build a 140 000 barrel per day unit train unloading terminal in Pontiac  Illinois  to relieve congestion on its crude oil export network.,topStory
F,Ford Motor Company,20140722,Galhotra succeeds Farley at Ford as head of Lincoln brand ,DETROIT Ford Motor Co has named engineer Kumar Galhotra to succeed Jim Farley as head of the company's Lincoln brand  the automaker said Tuesday.,topStory
F,Ford Motor Company,20140722,Galhotra succeeds Farley at Ford as head of Lincoln brand ,DETROIT  July 22 Ford Motor Co has named engineer Kumar Galhotra to succeed Jim Farley as head of the company's Lincoln brand  the automaker said Tuesday.,normal
GSK,GlaxoSmithKline PLC,20140722,Exclusive - India's Lupin  U.S. firms weigh bids for GSK's mature drugs: sources ,LONDON/MUMBAI Indian generics firm Lupin   some U.S. drugmakers looking for a tax-saving deal in Europe and private equity funds are planning to bid for a range of older drugs being auctioned by GlaxoSmithKline (GSK)   five sources familiar with the matter said.,topStory
GS,Goldman Sachs Group Inc (The),20140722,Espirito Santo family woes mount as Rioforte seeks creditor protection ,LISBON The woes of Portugal's only banking dynasty  the Espirito Santo family  mounted on Tuesday as another of their holding companies asked a court for protection from creditors.,topStory
GS,Goldman Sachs Group Inc (The),20140722,BES says Goldman Sachs taken 2.27 pct interest in bank ,LISBON  July 22 Banco Espirito Santo (BES)  Portugal's largest listed bank  said on Tuesday that U.S. investment bank Goldman Sachs has acquired a 2.27 percent interest in the bank.,normal
GS,Goldman Sachs Group Inc (The),20140722,Goldman  Warburg among investors nearing $2 billion Huarong deal: sources ,HONG KONG Goldman Sachs and private equity firm Warburg Pincus are among the investors nearing a deal to buy an up to 20 percent stake in China Huarong Asset Management Ltd for about $2 billion  seeking a share in the profitable business of bad loan management in China.,normal
GS,Goldman Sachs Group Inc (The),20140722,UPDATE 2-Goldman  Warburg among investors nearing $2 bln Huarong deal -sources ,* Goldman  Warburg Pincus  Khazanah among seven investors in Huarong,normal
GS,Goldman Sachs Group Inc (The),20140722,Goldman  Warburg Pincus and others nearing $2bln Huarong deal-sources ,HONG KONG  July 22 Goldman Sachs and private equity firm Warburg Pincus are among the investors nearing a deal to buy an up to 20 percent stake in China Huarong Asset Management Ltd for about $2 billion  people familiar with the matter told Reuters.,normal
HOG,Harley-Davidson Inc,20140722,Harley-Davidson cuts outlook on weak U.S. sales ,Harley-Davidson Inc cut its full-year forecast for motorcycle shipments on Tuesday  citing weaker-than-expected U.S. retail sales and a delay in getting its newest bike into dealer showrooms.,topStory
HOG,Harley-Davidson Inc,20140722,Harley-Davidson  a U.S. icon  highlights offshoring's perils ,July 22 U.S. motorcycle maker Harley Davidson Inc came late to the offshoring game.,normal
HOG,Harley-Davidson Inc,20140722,UPDATE 3-Harley-Davidson cuts outlook on weak U.S. sales ,(Adds analyst and executive comments; updates share movement),normal
HOG,Harley-Davidson Inc,20140722,Harley-Davidson posts higher profit  but cuts shipment forecast ,July 22 Harley-Davidson Inc reported a higher-than-expected quarterly profit on Tuesday but cut its full-year forecast for motorcycle shipments  citing weaker-than-expected retail sales.,normal
HLF,Herbalife LTD,20140722,Wall Street rejects Ackman's Herbalife 'death blow' ,NEW YORK Billionaire investor William Ackman's latest volley of accusations against Herbalife Ltd on Tuesday missed its mark on Wall Street  with investors sending the stock price soaring 25 percent.,topStory
HLF,Herbalife LTD,20140722,UPDATE 5-Wall Street rejects Ackman's Herbalife 'death blow' ,(Adds details on trading activity  comments by traders  links to presentation webcast and Breakingviews),normal
HLF,Herbalife LTD,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  Yingli Green Energy ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
HLF,Herbalife LTD,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  Polaris ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
HLF,Herbalife LTD,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  HealthStream ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
HLF,Herbalife LTD,20140722,Herbalife rallies during Ackman presentation ,NEW YORK  July 22 Shares of Herbalife Ltd  rallied on Tuesday in heavy volume  although they only recovered about half of Monday's steep decline.,normal
HON,Honeywell International Inc,20140722,Web-connected cabins offer flight path for aerospace investors ,LONDON  July 22 The web-connected aircraft cabins of the future  powered by technology on show at last week's Farnborough Airshow  are offering a path to investor returns through suppliers like Cobham Plc and Thales SA .,topStory
IDT,IDT Corporation,20140722,Timing "tough" for $4.5 bln Thai-Mozambique coal rail-port project ,* Moatize-Macuse railway plan developed by Bangkok-based IDT,topStory
INFY,Infosys Limited,20140722,INDIA PRESS-Infosys to strengthen sales teams in US  Europe -Business Standard ,Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore),topStory
JPM,J P Morgan Chase & Co,20140722,JPMorgan begins to provide consumer help under $13 bln settlement ,WASHINGTON  July 22 JPMorgan Chase & Co  has begun to provide the debt forgiveness and other help to struggling homeowners under last year's $13 billion accord with federal and state authorities  though it has only turned over a handful of details  a monitor of the deal said in a report released on Tuesday.,topStory
JPM,J P Morgan Chase & Co,20140722,UK regulator confirms $770 000 fine on ex JPMorgan banker Hannam ,LONDON  July 22 Britain's financial watchdog on Tuesday confirmed a 450 000 pound ($768 000) fine on high-profile former JPMorgan banker Ian Hannam for market abuse after a long and complex court battle.,normal
JNPR,Juniper Networks Inc,20140722,Juniper says network gear sales delays to hit revenue ,Juniper Networks Inc forecast current-quarter revenue and profit below analysts' expectations  citing delays in closing the sale of its routing devices to some customers in North America.,topStory
JNPR,Juniper Networks Inc,20140722,UPDATE 2-Juniper says network gear sales delays to hit revenue ,* Shares down 5 pct in extended trading   (Adds company executive comments  details),normal
JNPR,Juniper Networks Inc,20140722,CORRECTED-UPDATE 1-Juniper forecasts third-qtr results below market estimates ,(Corrects paragraph 7 to say revenue rose 7 percent  not adjusted profit),normal
JNPR,Juniper Networks Inc,20140722,CORRECTED-Juniper revenue rises on higher telecom spend ,(Corrects paragraph 2 to say $190.3 million is adjusted net income  not net income),normal
KND,Kindred Healthcare Inc,20140722,CORRECTED-UPDATE 2-Gentiva gets $634 mln bid  rejects Kindred's stake offer (July 17) ,(Corrects first paragraph of July 17 story to say Gentiva received a buyout offer  not favoured the offer. An earlier version of the story had the same error),topStory
KND,Kindred Healthcare Inc,20140722,CORRECTED-Gentiva gets buyout offer  rejects Kindred's proposal (July 17) ,(Corrects first paragraph of July 17 story to say Gentiva received a buyout offer  not favoured the offer),normal
LNC,Lincoln National Corporation,20140722,Galhotra succeeds Farley at Ford as head of Lincoln brand ,DETROIT Ford Motor Co has named engineer Kumar Galhotra to succeed Jim Farley as head of the company's Lincoln brand  the automaker said Tuesday.,topStory
LNC,Lincoln National Corporation,20140722,Galhotra succeeds Farley at Ford as head of Lincoln brand ,DETROIT  July 22 Ford Motor Co has named engineer Kumar Galhotra to succeed Jim Farley as head of the company's Lincoln brand  the automaker said Tuesday.,normal
LMT,Lockheed Martin Corporation,20140722,Lockheed Martin profit tops estimates  shares jump ,Lockheed Martin Corp  the Pentagon's largest defense supplier  reported a 3.5 percent rise in quarterly profit on Tuesday and raised its full-year earnings forecast  sending its shares up more than 2 percent.,topStory
LMT,Lockheed Martin Corporation,20140722,UPDATE 2-Lockheed Martin profit tops estimates  shares jump ,* Records pension income of $85 mln   (Adds revised 2014 profit forecast  share price),normal
LMT,Lockheed Martin Corporation,20140722,CORRECTED-UPDATE 1-Lockheed Martin profit rises on lower pension liability ,(Corrects headline and paragraph 1 to say profit rose due to lower pension liability  not because of a change in pension plans),normal
LMT,Lockheed Martin Corporation,20140722,Lockheed Martin CFO optimistic F-35 investigation to finish soon ,July 22 Lockheed Martin Corp said on Tuesday an investigation into the engine failure that has grounded its F-35 fighter jet for nearly a month was ongoing but was optimistic it would get resolved soon.,normal
LMT,Lockheed Martin Corporation,20140722,BRIEF-Lockheed Martin updates on status of F-35 ,July 22 Lockheed Martin Corp :  * On conference call with reporters  Lockheed Martin  finance chief Bruce Tanner says analysis of F-35 engine failure is,normal
LMT,Lockheed Martin Corporation,20140722,Lockheed Martin raises 2014 profit forecast ,July 22    Lockheed Martin Corp  the Pentagon's largest defense supplier  reported a 3.5 percent rise in quarterly profit and raised its 2014 earnings forecast.,normal
MCD,McDonald&#39;s Corporation,20140722,McDonald's profit falls on weak U.S.  European sales ,Quarterly profit at McDonald's Corp fell more than expected after established restaurants in its struggling U.S. division turned in a third straight quarterly sales decline and results from Europe also logged a surprise drop.,topStory
MCD,McDonald&#39;s Corporation,20140722,China food scandal spreads  drags in Starbucks  Burger King and McNuggets in Japan ,SHANGHAI The latest food scandal in China is spreading fast  dragging in U.S. coffee chain Starbucks  Burger King Worldwide Inc and others  as well as McDonald's products as far away as Japan. | Video ,normal
MCD,McDonald&#39;s Corporation,20140722,UPDATE 2-McDonald's profit falls on weak U.S.  European sales ,(Adds details on results  China meat scandal  Chipotle results),normal
MCD,McDonald&#39;s Corporation,20140722,BUSINESS-NEWS-SCHEDULE AT 1230 GMT / 8.30 AM ET ,Editor: Malcolm Davidson                  +44 20 7542 6958,normal
MCD,McDonald&#39;s Corporation,20140722,BRIEF-Beijing Sanyuan monitoring food quality issues affecting McDonald's in China ,* Says sees food quality issues affecting McDonald's in China as an important matter,normal
MCD,McDonald&#39;s Corporation,20140722,McDonald's profit falls on weak U.S. sales ,July 22 McDonald's Corp's quarterly profit slipped about 1 percent as comparable sales in its struggling U.S. business fell  hurt by lower consumer traffic.,normal
MCD,McDonald&#39;s Corporation,20140722,UPDATE 3-China food scandal spreads  drags in Starbucks  Burger King and McNuggets in Japan ,* Starbucks  Burger King  Dicos pull products from Shanghai Husi,normal
MCD,McDonald&#39;s Corporation,20140722,UPDATE 2-Chipotle customers shrug off price hike  flock to burrito chain ,(Adds industry context  analyst and company comment  byline),normal
MET,MetLife Inc,20140722,Metlife could be labeled systemically important: Bloomberg ,U.S. regulators are set to label Metlife Inc systemically important  subjecting it to stricter oversight by the U.S. Federal Reserve  Bloomberg reported  citing two people familiar with the matter.,topStory
MET,MetLife Inc,20140722,UPDATE 1-Metlife could be labelled systemically important - Bloomberg ,July 22 U.S. regulators are set to label Metlife Inc systemically important  subjecting it to stricter oversight by the U.S. Federal Reserve  Bloomberg reported  citing two people familiar with the matter.,normal
MET,MetLife Inc,20140722,REFILE-Metlife could be labelled systemically important - Bloomberg ,July 22 U.S. regulators are set to label Metlife Inc systemically important  subjecting it to stricter Fed oversight  Bloomberg said  citing two people familiar with the matter.,normal
MS,Morgan Stanley,20140722,Morgan Stanley chief marketing officer leaves after nine months ,NEW YORK Susan Smith Ellis has left Morgan Stanley nine months after becoming the chief marketing officer of the Wall Street bank  a spokeswoman confirmed on Tuesday.,topStory
MS,Morgan Stanley,20140722,Morgan Stanley chief marketing officer leaves after 9 months ,NEW YORK  July 22 Susan Smith Ellis has left Morgan Stanley nine months after becoming the chief marketing officer of the Wall Street bank  a spokeswoman confirmed on Tuesday.,normal
MSCI,MSCI Inc,20140722,UPDATE 4-Saudi Arabia to open $530 bln bourse to foreigners in early 2015 ,* Regulator says to publish draft rules  hold 90-day consultation,topStory
DCM,NTT DOCOMO Inc,20140722,Apple asks suppliers to produce up to 80 million large-screen iPhones: WSJ ,Apple Inc has asked suppliers to manufacture between 70 million and 80 million of its two forthcoming large-screen iPhones by the end of the year  its largest initial production run of iPhones  the Wall Street Journal reported  citing people familiar with the matter. | Video ,topStory
OMC,Omnicom Group Inc,20140722,UPDATE 3-Publicis warns annual growth target will be hard to meet ,* Publicis shares fall 4.7 pct to lowest since August   (Adds detail of Omnicom forecasts  updates Publicis shares),topStory
OMC,Omnicom Group Inc,20140722,Omnicom sticks to revenue target after aborted merger ,Omnicom Group Inc  the No.1 U.S. advertising company  said it was sticking with its annual organic revenue growth target  showing little effect from its aborted $35 billion merger with France's Publicis Groupe.,normal
OMC,Omnicom Group Inc,20140722,UPDATE 3-Omnicom sticks to revenue target after aborted merger ,* U.S. revenue rises 7.8 pct   (Adds CEO and analyst comments  details; updates share movement),normal
OMC,Omnicom Group Inc,20140722,Omnicom's revenue rises as North America clients spend more ,July 22 Omnicom Group Inc  the largest U.S. advertising company  reported a 6.4 percent rise in quarterly revenue  led by increased spending on advertising by clients in North America.,normal
OMC,Omnicom Group Inc,20140722,Publicis says annual growth target will be hard to meet ,PARIS French advertising agency Publicis warned it would be "very difficult" to meet its annual target of 4 percent organic sales growth after a second-quarter slowdown caused in part by the failure of its planned merger with Omnicom in May.,normal
OMC,Omnicom Group Inc,20140722,Publicis says annual growth target will be hard to meet ,PARIS Advertising agency Publicis warned that it would be "very difficult" to meet its annual target of 4 percent organic sales growth after a second-quarter slowdown that stemmed in part from the failure of its merger with Omnicom in May.,normal
OMC,Omnicom Group Inc,20140722,Publicis says annual growth target will be hard to meet ,PARIS  July 22 Advertising agency Publicis  warned that it would be "very difficult" to meet its annual target of 4 percent organic sales growth after a second-quarter slowdown that stemmed in part from the failure of its merger with Omnicom in May.,normal
BTU,Peabody Energy Corporation,20140722,Peabody loss smaller than expected as Australia volumes improve ,Coal miner Peabody Energy Corp reported a smaller-than-expected quarterly loss  helped by stronger price realizations in the United States and higher sales volumes in Australia.,topStory
BTU,Peabody Energy Corporation,20140722,UPDATE 1-Peabody loss smaller than expected as Australia volumes improve ,* Shares rise as much as 3.7 pct   (Adds forecast  background  analyst comment  shares),normal
BTU,Peabody Energy Corporation,20140722,Peabody quarterly revenue rises 2 pct ,July 22 Coal miner Peabody Energy Corp  reported a 2 percent rise in quarterly revenue  helped by an increase in shipments and prices at its mining operations in western U.S. states such as Wyoming  Colorado and Montana.,normal
PII,Polaris Industries Inc,20140722,BUZZ-U.S. Stocks on the Move-Chipotle  Herbalife  Polaris ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
COL,Rockwell Collins Inc,20140722,Rockwell Collins gets boost from higher deliveries to planemakers ,Rockwell Collins Inc  a maker of avionics and other electronics systems for aircraft  on Tuesday reported a better-than-expected quarterly profit  aided by higher deliveries of equipment for planes such as the Boeing 787.,topStory
COL,Rockwell Collins Inc,20140722,UPDATE 1-Rockwell Collins gets boost from higher deliveries to planemakers ,* Profit of $1.19/share from continuing operations vs estimate $1.17,normal
COL,Rockwell Collins Inc,20140722,Rockwell Collins gets boost from higher deliveries to planemakers ,July 22 Rockwell Collins Inc  a maker of avionics and other electronics systems for aircraft  reported a better-than-expected quarterly profit  helped by higher deliveries.,normal
RBS,Royal Bank Scotland plc (The),20140722,RBS 'wilfully obtuse' in turnaround unit evidence: UK lawmaker ,LONDON Royal Bank of Scotland  was "wilfully obtuse" when giving evidence to lawmakers examining whether its corporate turnaround division had been used to make money out of small businesses  the chairman of a British parliamentary committee said.,topStory
RBS,Royal Bank Scotland plc (The),20140722,RBS "wilfully obtuse" in turnaround unit evidence - UK lawmaker ,* Bank "wilfully obtuse" in evidence to parliamentary committee,normal
STT,State Street Corporation,20140722,Fitch:  More of the Same in State Street's 2Q'14 Earnings ,(The following statement was released by the rating agency) CHICAGO  July 22 (Fitch) State Street Corporation's (STT) second quarter 2014  (2Q'14) earnings were more of the same  according to the review by Fitch  Ratings   as growth in core asset servicing and asset management revenue was  offset by continued expense growth and weakness in market-based revenue amid the  protracted low interest rates and low volatility. Overall  STT's return on equity (ROE) in 2Q'14 was 11.9%  which was up from t,topStory
STO,Statoil ASA,20140722,Statoil makes uncommercial gas find in Norwegian Arctic ,OSLO  July 22 Norwegian oil and gas firm Statoil  made a small  uncommercial natural gas find in the Norwegian Arctic  the Norwegian Petroleum Directorate said on Tuesday.,topStory
SLF,Sun Life Financial Inc,20140722,Fitch Affirms Sun Life Financial Inc.'s Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  July 22 (Fitch) Fitch Ratings has affirmed the ratings of Sun Life  Financial Inc. (TSE  NYSE: SLF) including all outstanding issues  as well as the  Insurer Financial Strength (IFS) ratings of SLF's primary Canadian insurance  subsidiary  Sun Life Assurance Co. of Canada (SLAC)  at 'AA-'. A full list of  ratings follows at the end of this release. The Rating Outlook is Stable.  KEY RATING DRIVERS Fitch's rationale for the rati,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140722,BRIEF-TSMC orders equipment for T$692.2 mln from Tokyo Electron ,July 22 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140722,UPDATE 2-Design licensing rescues ARM earnings as smartphone chip royalties droop ,* Processor licensing revenue up 42 pct  royalty revenue up 2 pct,normal
GCI,TEGNA Inc,20140722,Gannett profit and revenue led by TV stations ,Newspaper and broadcast company Gannett Co reported higher revenue and earnings on Tuesday  benefiting from its acquisition of Belo's TV stations.,topStory
GCI,TEGNA Inc,20140722,UPDATE 1-Gannett profit and revenue led by TV stations ,July 22 Newspaper and broadcast company Gannett Co reported higher revenue and earnings on Tuesday  benefiting from its acquisition of Belo's TV stations.,normal
GCI,TEGNA Inc,20140722,Gannett profit and revenue rise on TV stations ,July 22 Gannett Co  the largest newspaper chain in the United States and publisher of USA Today  reported higher revenue and earnings on Tuesday  benefiting from its acquisition of Belo's TV stations.,normal
TU,TELUS Corporation,20140722,UPDATE 2-Canada launches plan to improve Internet in remote areas ,TORONTO  July 22 The Canadian government on Tuesday invited remote communities across the country that lack high-speed Internet access to make a claim on some of the C$305 million ($284 million) it plans to spend over the next three years to upgrade access.,topStory
TRV,The Travelers Companies Inc,20140722,UPDATE 2-Travelers ordered to pay over $500 mln in asbestos case ,NEW YORK  July 22 A federal appeals court ordered Travelers Cos Inc to pay more than $500 million to thousands of asbestos victims in a case stemming from the insurer's coverage of Johns-Manville Corp  an insulation maker that spent six years in bankruptcy during the 1980s.,topStory
TRV,The Travelers Companies Inc,20140722,Travelers' profit drop reflects slowdown in rate increase ,Property and casualty insurer Travelers Cos Inc reported a steeper-than-expected fall in quarterly operating profit  hurt by bigger catastrophe losses and a slowing pace of premium rate increases.,normal
