AMZN,Amazoncom Inc,20140609,Amazon expands middleman role in latest online payments push ,SAN FRANCISCO Amazon.com Inc will start managing subscription payments for start-ups and other companies - the latest in a series of quiet moves the e-commerce giant has made into PayPal's turf over the past year.,topStory
LMT,Lockheed Martin Corporation,20140609,Lockheed sees next U.S. F-35 fighter contract early this summer ,WASHINGTON Lockheed Martin Corp expects to sign a contract with the U.S. government early this summer for an eighth batch of F-35 fighter jets  but the deal is unlikely to match price reductions seen on the last few contracts  the company's top financial officer said Monday.,topStory
LMT,Lockheed Martin Corporation,20140609,Lockheed sees next U.S. F-35 fighter contract early this summer ,WASHINGTON  June 9 Lockheed Martin Corp  expects to sign a contract with the U.S. government early this summer for an eighth batch of F-35 fighter jets  but the deal is unlikely to match price reductions seen on the last few contracts  the company's top financial officer said Monday.,normal
MCD,McDonald&#39;s Corporation,20140609,McDonald's May global comparable sales rise  but U.S. falls again ,McDonald's Corp MCD.N on Monday reported a small rise in global sales at established restaurants for May  after a rebound in China helped offset another month of disappointing results from the fast-food chain's home market of the United States.,topStory
MCD,McDonald&#39;s Corporation,20140609,UPDATE 2-McDonald's May restaurant sales up  despite still-weak U.S. ,June 9 McDonald's Corp on Monday reported a small rise in global sales at established restaurants for May  after a rebound in China helped offset another month of disappointing results from the fast-food chain's home market of the United States.,normal
MCD,McDonald&#39;s Corporation,20140609,McDonald's May global comparable sales rise 0.9 pct ,June 9 McDonald's Corp reported better-than-expected global sales at established restaurants in May  helped by strong demand in China.,normal
MRK,Merck & Company Inc,20140609,US STOCKS-Dow  S&P 500 extend string of record closes; VIX up ,* International Game Technology shares fly after Reuters report,topStory
MRK,Merck & Company Inc,20140609,US STOCKS-Wall St near flat after hitting new highs; VIX gains ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
MRK,Merck & Company Inc,20140609,US STOCKS-Wall St slightly extends gains  lifted by deals ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
MRK,Merck & Company Inc,20140609,Merck & Co to buy Idenix to boost hepatitis C drugs portfolio ,Merck & Co Inc MRK.N said Monday it would buy Idenix Pharmaceuticals Inc IDIX.O for $3.85 billion and plans to combine the two companies' most promising drugs to produce a faster  more effective cure for hepatitis C.,normal
MRK,Merck & Company Inc,20140609,UPDATE 3-Merck to buy Idenix to boost hepatitis C drugs portfolio ,(Adds comments from Merck research chief  analysts  details on drugs),normal
MRK,Merck & Company Inc,20140609,US STOCKS-Wall St edges up  lifted by mergers  acquisitions ,* Dow  S&P 500 and Nasdaq all up 0.1 pct   (Updates to open),normal
MRK,Merck & Company Inc,20140609,US STOCKS-Futures point to dip at the open despite deals ,* Futures down: Dow 10 pts  S&P 2.4 pts  Nasdaq 4 pts   (Adds Family Dollar news),normal
MRK,Merck & Company Inc,20140609,Merck to buy Idenix for about $3.85 billion ,June 9 Merck & Co Inc said it would buy Idenix Pharmaceuticals Inc in a deal valued at about $3.85 billion to complement its hepatitis C portfolio.,normal
MS,Morgan Stanley,20140609,Morgan Stanley sells TransMontaigne to NGL as physical oil role shrinks ,Morgan Stanley MS.N is selling its controlling stake in oil storage and transport company TransMontaigne Inc TMG.UL to NGL Energy Partners LP NGL.N for $200 million  essentially ending its long run as the biggest physical oil trader on Wall Street.,topStory
MS,Morgan Stanley,20140609,CORRECTED-UPDATE 2-Morgan Stanley sells TransMontaigne to NGL as physical oil role shrinks ,(Corrects headline to reflect that Morgan Stanley will continue to trade physical oil on a case-by-case basis; corrects description of TransMontaigne in first paragraph to "oil storage and transport company" from "pipeline company"),normal
MS,Morgan Stanley,20140609,Morgan Stanley to sell stake in TransMontaigne ,June 9 Morgan Stanley is selling its stake in oil pipeline company TransMontaigne Inc to NGL Energy Partners LP for $200 million  as the bank slims down its commodities business.,normal
NGL,NGL ENERGY PARTNERS LP,20140609,CORRECTED-UPDATE 2-Morgan Stanley sells TransMontaigne to NGL as physical oil role shrinks ,(Corrects headline to reflect that Morgan Stanley will continue to trade physical oil on a case-by-case basis; corrects description of TransMontaigne in first paragraph to "oil storage and transport company" from "pipeline company"),topStory
ORAN,Orange,20140609,Orange shares rise on Deutsche Telekom bid talk -traders ,LONDON Shares in French telecoms company Orange rose to a 2-1/2 year high on Monday  with traders citing talk of a possible bid from German rival Deutsche Telekom.,topStory
ORAN,Orange,20140609,UPDATE 1-Orange shares rise on Deutsche Telekom bid talk -traders ,LONDON  June 9 Shares in French telecoms company Orange rose to a 2-1/2 year high on Monday  with traders citing talk of a possible bid from German rival Deutsche Telekom.,normal
PTR,PetroChina Company Limited,20140609,PetroChina plant revamp delay slows Saudi oil imports -sources ,BEIJING  June 9 Revamping a PetroChina  subsidiary refinery to process sour crude is taking months longer than expected  cutting the firm's crude oil purchases from Saudi Arabia  two industry sources said.,topStory
PPL,PPL Corporation,20140609,PPL Pennsylvania Susquehanna 1 nuclear power reactor up to 82 pct ,June 9 PPL Corp's 1 260-megawatt Unit 1 at the Susquehanna nuclear power plant in Pennsylvania ramped up to 82 percent power by early Monday from 15 percent power early Thursday  the U.S. Nuclear Regulatory Commission said in a report.,topStory
SSL,Sasol Ltd,20140609,BRIEF-Sasol  Ineos reach final investment decision on polyethylene JV ,* Sasol and Ineos reach final investment decision on high density polyethylene joint venture,topStory
SNE,Sony Corp Ord,20140609,Soccer sponsors raise pressure on FIFA over Qatar claims ,LONDON/RIO DEIRO Sponsors Adidas  Sony  Visa and Coca-Cola on Sunday called on soccer's rulers to deal thoroughly with allegations of bribery to secure the 2022 World Cup for Qatar  an issue overshadowing this week's kickoff in Brazil.,topStory
SNE,Sony Corp Ord,20140609,UPDATE 6-Soccer sponsors raise pressure on FIFA over Qatar claims ,* Allegations cloud build-up to Brazil tournament this week,normal
S,Sprint Corporation,20140609,If Sprint buys T-Mobile  it may have to slash prices -analysts ,WASHINGTON  June 9 If Sprint Corp acquires T-Mobile US Inc  it  could save up to $6.6 billion on network  equipment and operating costs  but it will have to slash its prices to match the target company's steep discounts  analysts said on Monday.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140609,BRIEF-Taiwan's TSMC orders equipment worth T$1.7 bln from KLA-Tencor  Lam Research  Applied Materials ,June 9 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TGT,Target Corporation,20140609,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  June 09 2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Res,normal
TEF,Telefonica SA,20140609,Telefonica prepares movie  TV series streaming service: source ,MADRID Spanish telecommunications company Telefonica is preparing to launch a video streaming service for movies and television series  a source close to the matter said on Monday.,topStory
TEF,Telefonica SA,20140609,Telefonica prepares movie  TV series streaming service - source ,MADRID  June 9 Spanish telecommunications company Telefonica is preparing to launch a video streaming service for movies and television series  a source close to the matter said on Monday.,normal
TEF,Telefonica SA,20140609,Budnik to become CEO at Czech Telefonica from July -paper ,PRAGUE  June 9 Tomas Budnik will become chief executive officer at Czech Telefonica on July 1  replacing Luis Malvido  business daily Hospodarske Noviny reported on Monday.,normal
TWX,Time Warner Inc,20140609,Time Warner in talks to buy stake in Vice Media: Sky News ,Time Warner Inc  is in talks to buy a major stake in Vice Media  valuing the media company at about $2.2 billion  Sky News reported  citing sources.,topStory
TWX,Time Warner Inc,20140609,Time Warner in talks to buy stake in Vice Media - Sky News ,June 9 Time Warner Inc is in talks to buy a major stake in Vice Media  valuing the media company at about $2.2 billion  Sky News reported  citing sources.,normal
TWX,Time Warner Inc,20140609,Time Inc shares dip even as new CEO sees growth ,Shares of Time Inc ebbed on Monday in the magazine publisher's first trading session since its spinoff from Time Warner Inc  even as CEO Joe Ripp vowed to expand a business he said had been starved of capital for years.,normal
TWX,Time Warner Inc,20140609,UPDATE 3-Time Inc shares dip even as new CEO sees growth ,June 9 Shares of Time Inc ebbed on Monday in the magazine publisher's first trading session since its spinoff from Time Warner Inc  even as CEO Joe Ripp vowed to expand a business he said had been starved of capital for years.,normal
TWX,Time Warner Inc,20140609,As challenges for magazines persist  Time Inc begins anew ,June 9 Time Inc  the magazine company that is home to People  Sports Illustrated and Time  will begin trading on the New York Stock Exchange on Monday as print based companies face serious hurdles.,normal
TSN,Tyson Foods Inc,20140609,Deals of the day- Mergers and acquisitions ,(Updates Tyson Foods  Lloyds Banking  Family Dollar; adds all items below Family Dollar),topStory
TSN,Tyson Foods Inc,20140609,US STOCKS-Wall St near flat after hitting new highs; VIX gains ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
TSN,Tyson Foods Inc,20140609,Deals of the day- Mergers and acquisitions ,June 9 The following bids  mergers  acquisitions and disposals were reported by 1830 GMT on Monday:,normal
TSN,Tyson Foods Inc,20140609,US STOCKS-Wall St slightly extends gains  lifted by deals ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
TSN,Tyson Foods Inc,20140609,Tyson wins bid for Hillshire in battle of meat titans ,Tyson Foods Inc  won the bidding war for Hillshire Brands Co  with an all-cash offer that values the maker of Jimmy Dean sausages at $8.55 billion and would be the biggest deal yet for the global meat business. | Video ,normal
TSN,Tyson Foods Inc,20140609,UPDATE 4-Tyson wins bid for Hillshire in battle of meat titans ,June 9 Tyson Foods Inc won the bidding war for Hillshire Brands Co with an all-cash offer that values the maker of Jimmy Dean sausages at $8.55 billion and would be the biggest deal yet for the global meat business.,normal
TSN,Tyson Foods Inc,20140609,US STOCKS-Wall St edges up  lifted by mergers  acquisitions ,* Dow  S&P 500 and Nasdaq all up 0.1 pct   (Updates to open),normal
TSN,Tyson Foods Inc,20140609,Tyson Foods says wins bidding war for Hillshire Brands ,June 9 Tyson Foods Inc said it reached a "unilaterally binding offer" to buy Hillshire Brands Co  for $8.55 billion  including debt  beating out Pilgrim's Pride Corp for the maker of Jimmy Dean sausages.,normal
TSN,Tyson Foods Inc,20140609,US STOCKS-Futures flat with indexes at records ,NEW YORK  June 9 U.S. stock index futures were little changed on Monday  as investors sought fresh incentives to keep buying following a rally that has taken major indexes to repeated record highs.,normal
UN,Unilever NV,20140609,Unilever CEO says Russia still land of opportunities ,MOSCOW Consumer goods maker Unilever   is keeping faith in Russia as an important growth market and is ready to plow money into factories and acquisitions there despite a slowing economy.,topStory
UMC,United Microelectronics Corporation,20140609,BRIEF-Taiwan's UMC posts revenue of T$11.9 bln in May  up 9.8 pct ,* Says may revenue at T$11.9 billion ($396.77 million)  up 9.8 percent y/y,topStory
V,Visa Inc,20140609,UPDATE 6-Soccer sponsors raise pressure on FIFA over Qatar claims ,* Allegations cloud build-up to Brazil tournament this week,topStory
WMT,Wal-Mart Stores Inc,20140609,UPDATE 4-Trucker in Tracy Morgan crash hadn't slept in 24 hours -court papers ,NEW YORK/NEW BRUNSWICK  N.J.  June 9 A Wal-Mart truck driver charged in the fatal New Jersey traffic accident that left comedian Tracy Morgan critically injured had not slept in more than 24 hours  according to a criminal complaint filed on Monday.,topStory
WMT,Wal-Mart Stores Inc,20140609,Wal-Mart.com CEO Joel Anderson to step down ,Wal-Mart Stores Inc said Joel Anderson  chief executive of its United States website  Walmart.com  would step down  at a time the company plans to speed up investments in technology to boost sales at its fast-growing e-commerce business.,normal
WMT,Wal-Mart Stores Inc,20140609,Wal-Mart.com CEO Joel Anderson to step down ,June 9 Wal-Mart Stores Inc said Joel Anderson  chief executive of its United States website  Walmart.com  would step down  at a time the company plans to speed up investments in technology to boost sales at its fast-growing e-commerce business.,normal
WMT,Wal-Mart Stores Inc,20140609,Killers of Las Vegas cops harbored anti-government ideology ,LAS VEGAS A married couple who shot dead two Las Vegas police officers in a weekend pizza parlor ambush harbored anti-government and white supremacist ideology and threw a swastika on the body of one of the officers they gunned down  police said on Monday.,normal
WMT,Wal-Mart Stores Inc,20140609,Las Vegas cop killers may have white supremacy links: report ,LAS VEGAS Law enforcement officials are looking into whether a man and woman who killed two Las Vegas police officers and a third person before killing themselves Sunday had links to the white supremacy movement  according to a report on Monday.,normal
WFC,Wells Fargo & Company,20140609,U.S. Supreme Court declines to hear Wells Fargo-IRS tax squabble ,WASHINGTON The U.S. Supreme Court declined on Monday to hear an appeal from Wells Fargo & Co in a case involving a complex financial deal implemented by the banking group that the government said was set up solely to avoid millions of dollars in taxes.,topStory
WFC,Wells Fargo & Company,20140609,U.S. Supreme Court declines to hear Wells Fargo-IRS tax squabble ,WASHINGTON  June 9 The U.S. Supreme Court declined on Monday to hear an appeal from Wells Fargo & Co  in a case involving a complex financial deal implemented by the banking group that the government said was set up solely to avoid millions of dollars in taxes.,normal
WFC,Wells Fargo & Company,20140609,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  June 09 2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Res,normal
