VNET,21Vianet Group Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  21Vianet  Crocs ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
T,AT&T Inc,20140911,Sprint seeks wireless partnerships to expand scale -CEO ,NEW YORK  Sept 11 Sprint Corp is seeking partners to expand its scale in the wireless market after the collapse of its long sought-after takeover of T-Mobile US Inc   Chief Executive Officer Marcelo Claure said on Thursday.,normal
SAN,Banco Santander SA,20140911,Banking skills  not name  key to Ana Botin's success at Santander ,MADRID  Sept 11 Ana Botin's appointment at the head of Santander signals a continuity in strategy at the bank that has pleased analysts and investors  with banking sources expecting her to prove herself by growing the lender through acquisitions and modernising it.,topStory
BAC,Bank of America Corporation,20140911,UPDATE 1-Market Chatter-Corporate finance press digest ,Sept 11 The following corporate finance-related stories were reported by media:,topStory
BA,Boeing Company (The),20140911,Boeing  Airbus seriously studying speeding factories ,WASHINGTON Boeing Co  and European rival Airbus  said on Thursday they are both considering seriously whether to make their best-selling narrow-body jetliners at faster rates  news that may cheer investors in the short term but could raise longer-term market concerns.,topStory
BA,Boeing Company (The),20140911,UPDATE 1-REUTERS SUMMIT-Boeing  Airbus seriously studying speeding factories ,(Recasts and adds Airbus production outlook (For other news from the Reuters Aerospace and Defense Summit  click on http://www.reuters.com/summit/Aero14),normal
BA,Boeing Company (The),20140911,Alcoa signs Boeing deal worth more than $1 billion ,Alcoa Inc  has signed a long-term contract to supply planemaker Boeing Co  with aluminum sheet and plate that is worth more than $1 billion  the metals company said on Thursday.,normal
BA,Boeing Company (The),20140911,UPDATE 1-Alcoa signs Boeing deal worth more than $1 billion ,Sept 11 Alcoa Inc has signed a long-term contract to supply planemaker Boeing Co with aluminum sheet and plate that is worth more than $1 billion  the metals company said on Thursday.,normal
BA,Boeing Company (The),20140911,REUTERS SUMMIT-Boeing says has looked seriously at 737 output above 47 a month ,WASHINGTON  Sept 11 Boeing Co has seriously considered increasing production of its 737 narrow-body airplanes to more than 47 a month  President and Chief Operating Officer Dennis Muilenburg said on Thursday.,normal
BA,Boeing Company (The),20140911,Boeing sees no production cut in move from 777 to 777X ,WASHINGTON Boeing Co  President and Chief Operating Officer Dennis Muilenburg said on Thursday the aircraft maker will not need to cut production as it makes the transition from its 777 jetliner to its new 777X model coming out in 2020.,normal
BA,Boeing Company (The),20140911,REUTERS SUMMIT-Boeing sees no production cut in move from 777 to 777X ,WASHINGTON  Sept 11    Boeing Co  President and Chief Operating Officer Dennis Muilenburg said on Thursday the aircraft maker will not need to cut production as it makes the transition from its 777 jetliner to its new 777X model coming out in 2020.,normal
BA,Boeing Company (The),20140911,Airbus executive says U.S. Ex-Im Bank is aggressive on lending ,NEW YORK The president of Airbus Americas Inc  said on Thursday that the U.S. Export-Import Bank is more aggressive in offering good credit terms to help finance foreign sales of Boeing Co  aircraft than European export credit agencies.,normal
BA,Boeing Company (The),20140911,BRIEF-Alcoa signs multiyear supply contract with Boeing valued at more than $1 bln ,* Signs multiyear supply contract with Boeing valued at more than $1 billion,normal
BA,Boeing Company (The),20140911,Alcoa signs Boeing deal worth more than $1 bln ,Sept 11 Alcoa Inc has signed a long-term contract to supply planemaker Boeing Co with aluminum sheet and plate that is worth more than $1 billion  the metals company said on Thursday.,normal
BP,BP plc,20140911,U.S.  EU ready new sanctions to stop oil exploration in Russia ,WASHINGTON The United States and European Union plan to stop billions of dollars in oil exploration in Russia by the world's largest energy companies including Exxon Mobil Corp and BP Plc  U.S. government sources said.,topStory
CBS,CBS Corporation,20140911,CBS  Time Warner CEOs warm to stand-alone Showtime  HBO ,NEW YORK/LOS ANGELES Time Warner Inc and CBS Corp signaled on Wednesday that they were increasingly open to one day making HBO and Showtime available directly to consumers over the Internet without a subscription to a cable television service.,topStory
CHL,China Mobile (Hong Kong) Ltd,20140911,THAILAND PRESS-China Mobile plans to increase Thai investment - The Nation ,China Mobile Ltd  the foreign strategic partner now owning 18 percent of True Corp Pcl  is interested in expanding its investment in Thailand  said Takorn Tantasith  secretary-general of the National Broadcasting and Telecommunications Commission. (http://bit.ly/1uJdjmn),topStory
CHL,China Mobile (Hong Kong) Ltd,20140911,Thailand's True Corp sees net profit in Q4 ,BANGKOK  Sept 11 Thai telecoms operator True Corporation Pcl  controlled by billionaire Dhanin Chearavanont  expects to make a net profit in the fourth quarter of this year after years of losses  Chief executive Supachai Chearavanont said on Thursday.,normal
CHL,China Mobile (Hong Kong) Ltd,20140911,China misses out on first wave of new iPhone releases ,BEIJING  Sept 11 Consumers in China  who represent an increasingly critical pillar of Apple Inc's  business  will not be able to buy the new iPhone 6 as part of the first wave of buyers around the world this month.,normal
CEO,CNOOC Limited,20140911,China gives cautious response to Obama's Islamic State call ,BEIJING  Sept 11 China responded cautiously on Thursday to a call by U.S. President Barack Obama for a broad coalition to root out Islamic State militants in Iraq and Syria  saying the world should fight terror but that the sovereignty of countries must be respected.,normal
CLR,Continental Resources Inc,20140911,UPDATE 2-Continental Resources president quits  leaves leadership gap ,Sept 11 Continental Resources Inc  the largest oil producer in North Dakota's Bakken shale formation  said on Thursday that Rick Bott  its president and chief operating officer  had resigned.,topStory
CLR,Continental Resources Inc,20140911,Continental Resources president resigns for 'other opportunities' ,Sept 11 Continental Resources Inc  the largest oil producer in North Dakota's Bakken shale formation  said on Thursday that W.F. "Rick" Bott  its president and chief operating officer  has resigned to pursue other opportunities.,normal
EMN,Eastman Chemical Company,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),topStory
EMN,Eastman Chemical Company,20140911,Eastman Chemical to buy Taminco for $1.8 billion ,Eastman Chemical Co  said it will buy Taminco Corp  for $1.8 billion to get a key chemical used in products for the food  agricultural and water treatment markets.,normal
EMN,Eastman Chemical Company,20140911,US STOCKS-Taminco jumps after news of Eastman Chemical deal ,NEW YORK  Sept 11 Taminco Corp shares were up 11 percent on Thursday after Eastman Chemical Co  said it will acquire the specialty chemical company.,normal
E,ENI SpA,20140911,UPDATE 2-Eni chief under investigation by prosecutors over Nigerian oil deal ,* Eni says cooperating with prosecutors  denies any wrongdoing,topStory
E,ENI SpA,20140911,Eni confirms CEO being investigated in Nigeria probe ,MILAN Italian oil major Eni confirmed on Thursday its Chief Executive Claudio Descalzi was under investigation by Milan prosecutors in a case relating to the acquisition of an oil field in Nigeria.,normal
XOM,Exxon Mobil Corporation,20140911,U.S.  EU ready new sanctions to stop oil exploration in Russia ,WASHINGTON The United States and European Union plan to stop billions of dollars in oil exploration in Russia by the world's largest energy companies including Exxon Mobil Corp and BP Plc  U.S. government sources said.,topStory
GM,General Motors Company,20140911,GM revamping India operation  product portfolio to revive sales ,NEW DELHI General Motors Co  is restructuring its India operation and evaluating its product portfolio  the U.S.-carmaker said on Thursday  as it looks to revive falling sales and increase market share in Asia's third-largest economy.,topStory
GM,General Motors Company,20140911,UPDATE 1-GM revamping India operation  product portfolio to revive sales ,NEW DELHI  Sept 11 General Motors Co is restructuring its India operation and evaluating its product portfolio  the U.S.-carmaker said on Thursday  as it looks to revive falling sales and increase market share in Asia's third-largest economy.,normal
GM,General Motors Company,20140911,Opel to launch budget family car in Europe by 2015 ,FRANKFURT General Motors  will launch a budget family car under the Vauxhall and Opel brands next year in a bid to woo customers of the company's Chevrolet brand  which is set to be discontinued in Europe at the end of 2015.,normal
GM,General Motors Company,20140911,GM to launch 40 new cars in India  other international markets ,NEW DELHI  Sept 11 General Motors Co  plans to launch 40 new cars in India and in other international markets excluding China  north America and Europe  Chief Executive Mary Barra said on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  Energy Focus  Sprint ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
GS,Goldman Sachs Group Inc (The),20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  Taminco  JDS ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
GS,Goldman Sachs Group Inc (The),20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  JDS  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
GS,Goldman Sachs Group Inc (The),20140911,BUZZ-U.S. Stocks on the Move-E2open  RadioShack  Lululemon  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
TV,Grupo Televisa SA,20140911,Mexico regulator probes pay TV market for concentration ,MEXICO CITY  Sept 11 Mexico's telecoms competition watchdog on Thursday said it would probe the country's pay TV market  which could result in stiffer regulations for the largest player Grupo Televisa as it moves to buy up cable companies.,topStory
TV,Grupo Televisa SA,20140911,Televisa shares fall on plan to sell Iusca stake at a loss ,MEXICO CITY Shares in Mexico's leading broadcaster  Grupo Televisa  fell on Thursday  a day after it said it would sell its stake in Iusacell  the country's No. 3 wireless operator  at a loss.,normal
HLF,Herbalife LTD,20140911,Allergan investors owning 35 percent to demand special meeting: sources ,NEW YORK Billionaire William Ackman has signed up Allergan  investors who combined own at least 35 percent of the company to call a special shareholder meeting  according to people familiar with the matter  giving the hedge fund manager a victory in his fight to acquire the Botox maker.,topStory
HTZ,Hertz Global Holdings Inc,20140911,Icahn wins three board seats at Hertz  shares jump ,BOSTON Billionaire investor Carl Icahn  who has built his reputation on rebuilding companies  won three board seats at Hertz Global Holdings  on Thursday  sending the car rental company's stock price higher in after-hours trading.,topStory
HTZ,Hertz Global Holdings Inc,20140911,Icahn wins three board seats at Hertz  shares jump ,BOSTON  Sept 11 Billionaire investor Carl Icahn  who has built his reputation on rebuilding companies  won three board seats at Hertz Global Holdings on Thursday  sending the car rental company's stock price higher in after-hours trading.,normal
HTZ,Hertz Global Holdings Inc,20140911,Hertz to appoint three Icahn nominees to its board ,Sept 11 Car rental company Hertz Global Holdings Inc said it would add three directors nominated by billionaire investor Carl Icahn to its board.,normal
HMC,Honda Motor Company Ltd,20140911,Two years after protests  "China risk" still haunts Japan firms ,DANYANG  China  Sept 12 Amid a revival in sales of Japanese goods in China and talk of renewed investment from some big firms such as Toyota  a dusty industrial park near Nanjing offers a cold reality check on the health of ties between Asia's two biggest economies.,normal
HMC,Honda Motor Company Ltd,20140911,Indonesia's August motorbike sales rose 24.6 pct y/y ,JAKARTA  Sept 11 Indonesia's motorbike sales rebounded in August after a sharp fall on an annual basis the previous month  industry data showed on Thursday.     Sales in August were up 24.6 percent from a year earlier. In July  they fell 23.9 percent from one year earlier.     There were 609 198 motorbikes sold in Southeast Asia's biggest economy in August  or 14 percent more than the previous month  according to the Indonesian Motorbike Industry Association (AISI).      For August  ,normal
HPQ,HP Inc,20140911,HP to buy cloud software startup in rare acquisition ,SAN FRANCISCO Hewlett-Packard Co  plans to buy cloud software startup Eucalyptus Software  a rare acquisition for the company since its failed $11 billion purchase of Britain's Autonomy Plc in 2011.,topStory
HPQ,HP Inc,20140911,HP to buy cloud software startup in rare acquisition ,SAN FRANCISCO  Sept 11 Hewlett-Packard Co  plans to buy cloud software startup Eucalyptus Software  a rare acquisition for the company since its failed $11 billion purchase of Britain's Autonomy Plc in 2011.,normal
HPQ,HP Inc,20140911,EMC plans to keep stake in VMware  despite investor pressure: source ,Boston EMC Corp plans to keep its majority stake in software maker VMware Inc despite pressure from activist hedge fund Elliott Management  a person familiar with EMC's thinking told Reuters on Thursday.,normal
HUN,Huntsman Corporation,20140911,EU mergers and takeovers (Sept 11) ,BRUSSELS  Sept 11 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
HUN,Huntsman Corporation,20140911,BRIEF-Henan Billions Chemicals signs agreement to buy TR52 business from Huntsman ,* Says signs agreement to buy TR52 business from Huntsman  for $10 million,normal
IPG,Interpublic Group of Companies Inc (The),20140911,Dentsu says it's not interested in acquiring IPG ,Sept 11 A Dentsu Aegis executive said on Thursday that the advertising company was not interested in acquiring rival Interpublic Group of Cos  putting merger speculation to rest for the moment.,topStory
JPM,J P Morgan Chase & Co,20140911,JP Morgan's Dimon finishes scheduled cancer treatments: WSJ ,JPMorgan Chase & Co CEO Jamie Dimon  who was diagnosed with throat cancer this year  finished his scheduled rounds of radiation and chemotherapy treatment this week  the Wall Street Journal said  citing people familiar with the matter.,topStory
JPM,J P Morgan Chase & Co,20140911,Colombia's Santos sees peso weakening towards 2 000-2 100 range ,BOGOTA  Sept 11 Colombia's President Juan Manuel Santos said on Thursday he expects the peso to continue its recent weakening and settle in a "reasonable" range of between 2 000 and 2 100 pesos per dollar  a trend that would boost competitiveness of exports.,normal
JPM,J P Morgan Chase & Co,20140911,JP Morgan's Dimon finishes scheduled cancer treatments - WSJ ,Sept 11 JPMorgan Chase & Co CEO Jamie Dimon  who was diagnosed with throat cancer this year  finished his scheduled rounds of radiation and chemotherapy treatment this week  the Wall Street Journal said  citing people familiar with the matter.,normal
JPM,J P Morgan Chase & Co,20140911,CORRECTED-Cyber breaches rare among U.S. state-registered investment advisers -study ,(Corrects fifth paragraph to show that study was not released at the annual conference  which is next week),normal
KKR,KKR & Co LP,20140911,BRIEF-KKR and Neinver form JV to buy 2 retail centres in Spain ,* Co and neinver establish a joint venture to acquire two retail centres in Spain from a fund managed by British Land,topStory
PHG,Koninklijke Philips NV,20140911,Philips  IBA strike partnership deal for cancer centers ,BRUSSELS Philips  and Belgium's Ion Beam Applications  announced a partnership on Thursday designed to combine IBA's cancer-therapy technology with Philips' medical imaging systems.,topStory
PHG,Koninklijke Philips NV,20140911,Philips  IBA strike partnership deal for cancer centres ,BRUSSELS  Sept 11 Philips and Belgium's Ion Beam Applications announced a partnership on Thursday designed to combine IBA's cancer-therapy technology with Philips' medical imaging systems.,normal
PHG,Koninklijke Philips NV,20140911,BRIEF-IBA-Philips partner up to advance diagnosis  treatment of cancer ,* And Philips join forces to advance diagnosis and treatment of cancer,normal
KR,Kroger Company (The),20140911,Kroger boosted by acquisitions  raises profit view ,Kroger Co   the biggest U.S. supermarket operator  raised  its full-year profit forecast and reported a better-than-expected 9 percent increase in quarterly profit on Thursday  helped by the acquisition of Harris Teeter Supermarkets Inc.,topStory
KR,Kroger Company (The),20140911,UPDATE 3-Kroger boosted by acquisitions  raises profit view ,(Adds executive comment  updates share price  paragraphs 2-9),normal
KR,Kroger Company (The),20140911,Kroger's quarterly profit rises 9 pct ,Sept 11 Kroger Co  the biggest U.S. supermarket operator  reported a 9 percent rise in quarterly profit  helped by the acquisition of grocer Harris Teeter Supermarkets Inc.,normal
LYG,Lloyds Banking Group Plc,20140911,Scottish support for independence slips behind unionists a week before vote: poll ,EDINBURGH Supporters of keeping Scotland in the United Kingdom have clawed back a 4 percentage point lead over separatists  a YouGov poll showed on Friday with just a week to go before Scots vote in a referendum on independence. | Video ,topStory
LYG,Lloyds Banking Group Plc,20140911,CORRECTED-European shares rise early; RBS  Lloyds rally ,(Corrects to show Lloyds Banking Group is registered in Scotland),normal
LYG,Lloyds Banking Group Plc,20140911,RBS  Lloyds to move south if Scots vote for independence ,LONDON Scotland's two biggest banks have said they would relocate to England if Scots vote for independence next week  adding to the economic uncertainties the country faces if it decides to end its 307-year union with the rest of the UK.,normal
LYG,Lloyds Banking Group Plc,20140911,RPT-UPDATE 2-RBS  Lloyds to move south if Scots vote for independence ,* Says independence would otherwise hit ability to borrow,normal
LYG,Lloyds Banking Group Plc,20140911,Weaker FTSE gets support from Lloyds  RBS as poll shows most Scots want union ,* RBS  Lloyds rise after poll shows most Scots oppose independence,normal
LYG,Lloyds Banking Group Plc,20140911,LLoyds  RBS outpace skittish FTSE as poll shows most Scots want union ,* RBS  LLoyds rise after poll shows most Scots oppose independence,normal
LYG,Lloyds Banking Group Plc,20140911,European shares inch up; Lloyds  RBS rally ,* Air France-KLM rises after pledging to boost core earnings,normal
LYG,Lloyds Banking Group Plc,20140911,BRIEF-RBS  Lloyds shares seen opening 1-2 pct higher - traders ,LONDON  Sept 11 Lloyds Banking Group  Royal Bank of Scotland ,normal
LMT,Lockheed Martin Corporation,20140911,U.S. says still advocating for Raytheon in Turkish missile tender ,WASHINGTON The U.S. government is continuing to advocate for the Patriot missile defense system offered by Raytheon Co  and Lockheed Martin Corp  in a Turkish tender after Turkey cited disagreements with the Chinese firm that initially won the bid  a senior U.S. official said on Wednesday.,topStory
LMT,Lockheed Martin Corporation,20140911,NASA prepares Orion capsule for debut deep-space test flight ,CAPE CANAVERAL  Fla.  Sept. 11 A NASA spacecraft designed to one day fly astronauts to Mars rolled out of its processing hangar at the U.S. space agency's Kennedy Space Center in Florida on Thursday to be prepared for a debut test flight in December.,normal
LMT,Lockheed Martin Corporation,20140911,REUTERS SUMMIT-U.S. says still advocating for Raytheon in Turkish missile tender ,(For other news from the Reuters Aerospace and Defense Summit  click on http://www.reuters.com/summit/Aero14),normal
MTB,M&T Bank Corporation,20140911,M&T Bank unit to pay $18.5 million in SEC case over soured loans ,NEW YORK/WASHINGTON Wilmington Trust Co  now part of M&T Bank Corp  will pay $18.5 million to settle charges that it underreported the amount of construction loans that were not being repaid after the financial crisis  the U.S. Securities and Exchange Commission said on Thursday.,topStory
MTB,M&T Bank Corporation,20140911,UPDATE 1-M&T Bank unit to pay $18.5 mln in SEC case over soured loans ,(Adds comments  details of Wilmington Trust and pending Hudson City mergers  bylines),normal
MTB,M&T Bank Corporation,20140911,M&T Bank unit to pay $18.5 mln to settle SEC accounting violations ,WASHINGTON  Sept 11 A Delaware bank that is now owned by M&T Bank will pay $18.5 million to settle civil charges over allegations it failed to report the true volume of overdue loans during the financial crisis.,normal
MRO,Marathon Oil Corporation,20140911,EU mergers and takeovers (Sept 11) ,BRUSSELS  Sept 11 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
MA,Mastercard Incorporated,20140911,MasterCard loses EU court battle over cross-border fees ,LUXEMBOURG MasterCard lost its decade-long battle against a European Union ban on cross-border card fees as Europe's highest court on Thursday supported a broader regulatory drive to cut the cost of using payment cards.,topStory
MA,Mastercard Incorporated,20140911,UPDATE 2-MasterCard loses EU court battle over cross-border fees ,* MasterCard says caps on credit and debit card fees will continue,normal
MA,Mastercard Incorporated,20140911,UPDATE 1-Indian card payment network RuPay sees boost from government banking scheme ,MUMBAI  Sept 11 A government drive to expand banking services in India is giving a boost to home-grown card payment network RuPay  which expects to quadruple the number of users by March and make debit cards more acceptable in a nation where cash is still king.,normal
MA,Mastercard Incorporated,20140911,Indian card payment network RuPay sees boost from govt banking scheme ,MUMBAI  Sept 11 A government drive to expand banking services in India is giving a boost to home-grown card payment network RuPay  which expects to quadruple the number of users by March and make debit cards more acceptable in a nation where cash is still king.,normal
MA,Mastercard Incorporated,20140911,Mastercard loses court challenge to EU fee veto ,LUXEMBOURG  Sept 11 Europe's highest court rejected on Thursday MasterCard's appeal against an EU veto on its cross-border card fees which regulators said were anti-competitive.,normal
MS,Morgan Stanley,20140911,Tianhe says Morgan Stanley PE stands by its management ,SHANGHAI Tianhe Chemicals Group Ltd said Morgan Stanley Private Equity Asia  one of its top investors  stands by the Chinese firm's management after Anonymous Analytics published a report last week accusing Tianhe of falsifying statements.,topStory
MS,Morgan Stanley,20140911,Tianhe says Morgan Stanley PE stands by its management ,SHANGHAI  Sept 11 Tianhe Chemicals Group Ltd  said Morgan Stanley Private Equity Asia  one of its top investors  stands by the Chinese firm's management after Anonymous Analytics published a report last week accusing Tianhe of falsifying statements.,normal
NBR,Nabors Industries Ltd,20140911,US STOCKS-Nabors Industries slides after Pamplona fund sells stake ,NEW YORK  Sept 11 Nabors Industries was the biggest percentage decliner on the S&P 500 Thursday after Pamplona Capital Management LLP said its private equity fund had sold a stake of about 8.5 percent in the oilfield services provider.,topStory
NBR,Nabors Industries Ltd,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  Taminco  JDS ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
NBR,Nabors Industries Ltd,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  JDS  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
NBR,Nabors Industries Ltd,20140911,BUZZ-U.S. Stocks on the Move-E2open  RadioShack  Lululemon  Sigma ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
NBR,Nabors Industries Ltd,20140911,BRIEF-PE firm Pamplona Capital sells about 8.5 pct stake in Nabors Industries ,* Its private equity fund III has sold its about 8.5 pct shareholding in Nabors Industries Ltd  Further company coverage:,normal
NVO,Novo Nordisk A/S,20140911,U.S. FDA panel: Novo Nordisk's liraglutide safe  effective for obesity ,WASHINGTON Novo Nordisk's drug liraglutide is safe and effective enough to warrant approval for use in chronically obese patients with at least one weight-related health issue  an advisory panel to the U.S. Food and Drug Administration concluded on Thursday.,topStory
NVO,Novo Nordisk A/S,20140911,UPDATE 2-U.S. FDA panel: Novo Nordisk's liraglutide safe  effective for obesity ,WASHINGTON  Sept 11 Novo Nordisk's  drug liraglutide is safe and effective enough to warrant approval for use in chronically obese patients with at least one weight-related health issue  an advisory panel to the U.S. Food and Drug Administration concluded on Thursday.,normal
NVO,Novo Nordisk A/S,20140911,U.S. FDA panel: Novo Nordisk's liraglutide safe/effective for obesity ,WASHINGTON  Sept 11 Novo Nordisk's  drug liraglutide is safe and effective enough to warrant approval for use in chronically obese patients with at least one weight-related health issue  an advisory panel to the U.S. Food and Drug Administration concluded on Thursday.   (Reporting by David Morgan; Editing by David Gregorio),normal
OMI,Owens & Minor Inc,20140911,Fitch Rates Owens & Minor's New Debt 'BBB-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  September 11 (Fitch) Fitch Ratings has assigned a 'BBB-' rating to the  new senior unsecured bonds issued by Owens & Minor  Inc. (NYSE: OMI). Bond  proceeds are expected to be used to redeem OMI's $200 million of 2016 bonds  to  fund the $233 million purchase of Medical Action Industries Inc.  and for  general corporate purposes. A full list of current ratings follows at the end of this release. The Rating  Outlook is Stable. K,topStory
P,Pandora Media Inc,20140911,Ancient flying reptile named after 'Avatar' creature ,WASHINGTON Some of the most visually stunning sequences from director James Cameron's blockbuster movie "Avatar" involved graceful flying creatures that were ridden by blue human-like beings facing ecological destruction on a moon called Pandora.,topStory
PKX,POSCO,20140911,POSCO backs rail  port plan for Baosteel Australia iron ore project ,MELBOURNE In a world awash with iron ore  Asian steel makers are still willing to sink money into new iron ore mines - as long as they are low cost and have their own ports and rail lines - to loosen the grip of the world's giant producers.,topStory
PKX,POSCO,20140911,UPDATE 2-POSCO backs rail  port plan for Baosteel Australia iron ore project ,* Steel makers back new iron ore projects despite supply glut,normal
PKX,POSCO,20140911,POSCO backs rail  port plan for Baosteel Australia iron ore project ,MELBOURNE South Korean steel giant POSCO and a private investor have agreed to back a plan by China's Baosteel and Aurizon Holdings Ltd to build rail lines and a port for a long-delayed $6.8 billion Australian iron ore project.,normal
PLD,Prologis Inc,20140911,Fitch Revises Prologis' Rating Outlook to Positive; Affirms IDR at 'BBB' ,(The following statement was released by the rating agency) NEW YORK  September 11 (Fitch) Fitch Ratings has affirmed the credit ratings for  Prologis  Inc. (NYSE: PLD) and its rated subsidiaries as follows: Prologis  Inc. --Issuer Default Rating (IDR) at 'BBB';     --$78.2 million preferred stock at 'BB+'. Prologis  L.P. --IDR at 'BBB';     --$2.5 billion global senior credit facility at 'BBB';     --$5.6 billion senior unsecured notes at 'BBB';     --$460 million senior unsecured exchangeable ,topStory
RL,Ralph Lauren Corporation,20140911,Earthy elegance at Ralph Lauren tops off New York Fashion Week ,NEW YORK Ralph Lauren capped a week of New York fashion shows on Thursday with a collection that mixed and matched a desert-inspired palette with fluid silks and glistening beads in what one observer praised as "safari goes glam.",topStory
RL,Ralph Lauren Corporation,20140911,UPDATE 1-Earthy elegance at Ralph Lauren tops off New York Fashion Week ,NEW YORK  Sept 11 Ralph Lauren capped a week of New York fashion shows on Thursday with a collection that mixed and matched a desert-inspired palette with fluid silks and glistening beads in what one observer praised as "safari goes glam.",normal
RL,Ralph Lauren Corporation,20140911,Earthy elegance at Ralph Lauren tops off New York Fashion Week ,NEW YORK  Sept 11 Ralph Lauren capped a week of New York fashion shows on Thursday with a collection that mixed and matched a desert-inspired palette with fluid silks and glistening beads in what one observer praised as "safari goes glam.",normal
RTN,Raytheon Company,20140911,U.S. says still advocating for Raytheon in Turkish missile tender ,WASHINGTON The U.S. government is continuing to advocate for the Patriot missile defense system offered by Raytheon Co  and Lockheed Martin Corp  in a Turkish tender after Turkey cited disagreements with the Chinese firm that initially won the bid  a senior U.S. official said on Wednesday.,topStory
RTN,Raytheon Company,20140911,REUTERS SUMMIT-U.S. says still advocating for Raytheon in Turkish missile tender ,(For other news from the Reuters Aerospace and Defense Summit  click on http://www.reuters.com/summit/Aero14),normal
RH,RH,20140911,US STOCKS-Retailers fall  including Restoration Hardware; RadioShack up ,NEW YORK  Sept 11 Shares of Five Below  Men's Wearhouse and Restoration Hardware were lower on Thursday following results and forecasts.,topStory
RBS,Royal Bank Scotland plc (The),20140911,CORRECTED-European shares rise early; RBS  Lloyds rally ,(Corrects to show Lloyds Banking Group is registered in Scotland),topStory
RBS,Royal Bank Scotland plc (The),20140911,RBS  Lloyds to move south if Scots vote for independence ,LONDON Scotland's two biggest banks have said they would relocate to England if Scots vote for independence next week  adding to the economic uncertainties the country faces if it decides to end its 307-year union with the rest of the UK.,normal
RBS,Royal Bank Scotland plc (The),20140911,RPT-UPDATE 2-RBS  Lloyds to move south if Scots vote for independence ,* Says independence would otherwise hit ability to borrow,normal
RBS,Royal Bank Scotland plc (The),20140911,Weaker FTSE gets support from Lloyds  RBS as poll shows most Scots want union ,* RBS  Lloyds rise after poll shows most Scots oppose independence,normal
RBS,Royal Bank Scotland plc (The),20140911,RBS CEO says relocation wouldn't mean Scottish jobs go ,LONDON  Sept 11 Royal Bank of Scotland's  Chief Executive Ross McEwan said the bank's plan to relocate to England if Scots vote for independence doesn't mean it will move operations out of the region or cut jobs.,normal
RBS,Royal Bank Scotland plc (The),20140911,LLoyds  RBS outpace skittish FTSE as poll shows most Scots want union ,* RBS  LLoyds rise after poll shows most Scots oppose independence,normal
RBS,Royal Bank Scotland plc (The),20140911,European shares inch up; Lloyds  RBS rally ,* Air France-KLM rises after pledging to boost core earnings,normal
RBS,Royal Bank Scotland plc (The),20140911,BRIEF-RBS  Lloyds shares seen opening 1-2 pct higher - traders ,LONDON  Sept 11 Lloyds Banking Group  Royal Bank of Scotland ,normal
