ADBE,Adobe Systems Incorporated,20140516,Adobe Creative Cloud up after outage  may compensate customers ,May 16 Adobe Systems Inc said on Friday that access to its Creative Cloud was restored following an outage that disrupted the Web-based  subscription service to top-selling software programs including Photoshop  Illustrator and Flash for about a day.,topStory
LMHA,Legg Mason Inc,20140516,Legg Mason to lay off 62 from Batterymarch after QS merger ,BOSTON  May 16 Legg Mason Inc will lay off 62 professionals from its Boston-based Batterymarch Financial Management unit as it is combined with QS Investors  a spokeswoman said on Friday  following a deal announced in March.,normal
LMHB,Legg Mason Inc,20140516,Legg Mason to lay off 62 from Batterymarch after QS merger ,BOSTON Legg Mason Inc  will lay off 62 professionals from its Boston-based Batterymarch Financial Management unit as it is combined with QS Investors  a spokeswoman said on Friday  following a deal announced in March.,topStory
LMHB,Legg Mason Inc,20140516,Legg Mason to lay off 62 from Batterymarch after QS merger ,BOSTON  May 16 Legg Mason Inc will lay off 62 professionals from its Boston-based Batterymarch Financial Management unit as it is combined with QS Investors  a spokeswoman said on Friday  following a deal announced in March.,normal
MTL,Mechel PAO,20140516,Russia's Mechel says further sanctions could hit its U.S. coal business ,* Warns of potential "material adverse effect" on whole business,topStory
MS,Morgan Stanley,20140516,UPDATE 1-Morgan Stanley Latin America economist Newman retires ,SAO PAULO  May 16 Morgan Stanley  economist Gray Newman  one of the longest tenured and most respected followers of Latin America on Wall Street  is retiring  he said in a note to clients on Friday.,topStory
MS,Morgan Stanley,20140516,Longtime Morgan Stanley Latin America economist Newman retires ,SAO PAULO  May 16 Morgan Stanley  economist Gray Newman  one of the longest tenured and most respected followers of Latin America on Wall Street  is retiring  he said in a note to clients on Friday.,normal
NYT,New York Times Company (The),20140516,COLUMN-How to answer the Jill Abramson equal pay question: Brill ,May 16 With the firing of New York Times Executive Editor Jill Abramson last week  a dispute broke out over whether her ouster by publisher Arthur Sulzberger Jr. had anything to do with a complaint she reportedly made to Times executives that she had not been paid the same as Bill Keller  the man she succeeded.,topStory
NKE,Nike Inc,20140516,Riots risk ruining Vietnam's industrial zones; lynchpin of growth ,HANOI/TAIPEI  May 16 Dexter Hsu spent Tuesday night barricaded inside his workers' dormitory in Vietnam's Binh Duong province. Tables were stacked up against the doors  but he and his dorm-mates were terrified by the shouts and sounds of nearby rioting.,normal
JWN,Nordstrom Inc,20140516,US STOCKS-Wall St rebounds with small-caps; Dow  S&P 500 dip for week ,* Russell 2000 ends up after near correction territory early,topStory
JWN,Nordstrom Inc,20140516,US STOCKS-Wall St edges up as small-caps bounce back ,* Russell 2000 rebounds after approaching correction territory again,normal
JWN,Nordstrom Inc,20140516,US STOCKS-Wall St dips as small-caps underperform again ,* Dow off 0.1 pct; S&P 500 off 0.1 pct; Nasdaq down 0.3 pct   (Updates to midday  adds Pfizer and Chesapeake news),normal
JWN,Nordstrom Inc,20140516,US STOCKS-Wall St dips as small-caps again weigh ,* Indexes down: Dow 0.2 pct  S&P 0.3 pct  Nasdaq 0.5 pct   (Updates to open),normal
NVO,Novo Nordisk A/S,20140516,Novo presents liraglutide data showing 8 pct weight loss ,May 16 Danish drugmaker Novo Nordisk  said results from the largest trial of its experimental obesity treatment liraglutide showed an 8 percent weight loss compared to 2.6 percent with placebo after a year of treatment.,topStory
ORCL,Oracle Corporation,20140516,Fitch Affirms Oracle at 'A+'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  May 16 (Fitch) Fitch Ratings has affirmed the ratings of Oracle Corp.  (Oracle) at 'A+'  including the long-term Issuer Default Rating (IDR). The  Rating Outlook is Stable. A full list of ratings follows at the end of this  press release. The rating actions affect approximately $27 billion of total debt  including the  company's undrawn $3 billion unsecured revolving credit facility (RCF).  KEY RATING DRIVERS The Ratings and O,topStory
ORAN,Orange,20140516,Orange-Bouygues talks revive French telecoms merger debate ,PARIS/LONDON French telecoms market leader Orange  is in talks about a tie-up with Bouygues Telecom  France's economy minister said on Friday after two sources said the discussions could lead to Orange acquiring its smaller rival.,topStory
ORAN,Orange,20140516,UPDATE 2-Orange-Bouygues talks revive French telecoms merger debate ,(Refiled to remove extraneous text characters in headline),normal
PTR,PetroChina Company Limited,20140516,UPDATE 1-PetroChina overseas operations chief Bo Qiliang under investigation - company source ,* Probe is part of nationwide anti-corruption campaign   (Adds details  quotes and background),topStory
PTR,PetroChina Company Limited,20140516,PetroChina overseas operations chief Bo Qiliang under investigation - company source ,BEIJING  May 16 PetroChina's  overseas operations chief Bo Qiliang is under official investigation after being removed from his post  a company source with knowledge of the matter told Reuters.,normal
PFE,Pfizer Inc,20140516,UPDATE 1-Pfizer to apply for early U.S. approval of breast cancer drug ,May 16 Pfizer Inc  which is in the process of trying to acquire British rival AstraZeneca  for more than $100 billion  on Friday said it planned to file for U.S. approval for palbociclib  its experimental drug for advanced breast cancer  in the third quarter.,topStory
PFE,Pfizer Inc,20140516,US STOCKS-Wall St dips as small-caps underperform again ,* Dow off 0.1 pct; S&P 500 off 0.1 pct; Nasdaq down 0.3 pct   (Updates to midday  adds Pfizer and Chesapeake news),normal
PFE,Pfizer Inc,20140516,Pfizer to apply for early U.S. approval of breast cancer drug ,Pfizer Inc  which is in the process of trying to acquire British rival AstraZeneca for more than $100 billion  on Friday said it planned to seek U.S. approval for palbociclib  its experimental drug for advanced breast cancer  in the third quarter.,normal
PFE,Pfizer Inc,20140516,Pfizer to apply for early U.S. approval of breast cancer drug ,May 16 Pfizer Inc  which is in the process of trying to acquire British rival AstraZeneca  for more than $100 billion  on Friday said it planned to seek U.S. approval for palbociclib  its experimental drug for advanced breast cancer  in the third quarter.,normal
PFE,Pfizer Inc,20140516,Sweden fights back as Pfizer move on Astra threatens jobs ,STOCKHOLM The Swedish government launched a fightback on Friday against U.S. drugmaker Pfizer's  proposed takeover of AstraZeneca   which has half its roots and more than 5 000 staff in Sweden  highlighting the risks to jobs and science.,normal
PFE,Pfizer Inc,20140516,UPDATE 2-Sweden fights back as Pfizer move on Astra threatens jobs ,* Pfizer pledge on R&D jobs in UK increases threat to Sweden   (Adds further comments from Borg),normal
PFE,Pfizer Inc,20140516,Takeda not interested in synergy or tax-driven M&A - CFO ,TOKYO  May 16 Takeda Pharmaceutical Co Ltd   Japan's biggest drug company  has no interest in acquisitions driven by tax benefits or synergies  its chief financial officer said  dismissing the forces behind Pfizer Inc's $106 billion offer for AstraZeneca PLC.,normal
PFE,Pfizer Inc,20140516,Swedish ministers urge Astra owners to consider Pfizer rebuff ,STOCKHOLM  May 16 Owners of drugmaker AstraZeneca  which has half its roots in Sweden  should seriously consider rejecting U.S. rival Pfizer's  proposed takeover unless the consequences are mapped out more clearly  three Swedish government ministers said.,normal
RIO,Rio Tinto Plc,20140516,UPDATE 2-CEO says Rio Tinto not shopping assets but would consider offers ,WASHINGTON  May 16 Rio Tinto  is not actively seeking to divest assets this year but would consider any attractive offers  Chief Executive Sam Walsh said on Friday.,topStory
RIO,Rio Tinto Plc,20140516,Rio Tinto CEO says not actively trying to divest assets ,WASHINGTON  May 16 Mining giant Rio Tinto   is not actively trying to divest assets this year but would consider any attractive offers  Chief Executive Officer Sam Walsh said on Friday.,normal
RBS,Royal Bank Scotland plc (The),20140516,Legal claims over RBS cash call near 4 billion pounds ,LONDON Hundreds more investors have joined an unprecedented group legal action against Royal Bank of Scotland  alleging they were misled during an emergency cash call in 2008  and are claiming damages of around 4 billion pounds ($6.7 billion).,topStory
RBS,Royal Bank Scotland plc (The),20140516,UPDATE 1-Legal claims over RBS cash call near 4 bln pounds ,LONDON  May 16 Hundreds more investors have joined an unprecedented group legal action against Royal Bank of Scotland  alleging they were misled during an emergency cash call in 2008  and are claiming damages of around 4 billion pounds ($6.7 billion).,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140516,BRIEF-TSMC orders machinery equipment worth T$305.3 million ,May 16 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TRQ,Turquoise Hill Resources Ltd,20140516,CORRECTED-UPDATE 2-Ivanhoe says needs funds to advance Congo projects this year ,(Corrects spelling of analyst's name in paragraphs 6 and 9 to Terentiew from Terenview. Incorporates earlier corrections.),topStory
VRX,Valeant Pharmaceuticals International Inc,20140516,Valeant to consider breakup after mega deals: investors ,NEW YORK Valeant Pharmaceuticals International Inc  would consider splitting up if it became too large from its aggressive acquisition strategy  according to a few top 20 Allergan Inc  shareholders who were briefed by Valeant management.,topStory
VRX,Valeant Pharmaceuticals International Inc,20140516,Valeant to consider breakup after mega deals -investors ,NEW YORK  May 16 Valeant Pharmaceuticals International Inc would consider splitting up if it became too large from its aggressive acquisition strategy  according to a few top 20 Allergan Inc shareholders who were briefed by Valeant management.,normal
VZ,Verizon Communications Inc,20140516,US STOCKS-Futures point to lower open  on track for weekly drop ,* Futures down: Dow 16 pts  S&P 2.3 pts  Nasdaq 7.25   (Updates prices  adds housing data),topStory
VZ,Verizon Communications Inc,20140516,US STOCKS-Futures lower  on track for down week ,NEW YORK  May 16 U.S. stock index futures fell on Friday  indicating that the Dow and S&P 500 could extend their decline to a third day as investors continued to be wary of weakness in small-cap names.,normal
VZA,Verizon Communications Inc,20140516,US STOCKS-Futures point to lower open  on track for weekly drop ,* Futures down: Dow 16 pts  S&P 2.3 pts  Nasdaq 7.25   (Updates prices  adds housing data),topStory
VZA,Verizon Communications Inc,20140516,US STOCKS-Futures lower  on track for down week ,NEW YORK  May 16 U.S. stock index futures fell on Friday  indicating that the Dow and S&P 500 could extend their decline to a third day as investors continued to be wary of weakness in small-cap names.,normal
DIS,Walt Disney Company (The),20140516,Judge approves Disney  Intuit settlement of hiring lawsuit ,SAN FRANCISCO A U.S. judge granted final approval on Friday to a $20 million settlement involving Intuit and Walt Disney Co's Lucasfilm and Pixar units in a widely watched lawsuit over hiring in Silicon Valley.,topStory
DIS,Walt Disney Company (The),20140516,Judge approves Disney  Intuit settlement of hiring lawsuit ,SAN FRANCISCO  May 16 A U.S. judge granted final approval on Friday to a $20 million settlement involving Intuit and Walt Disney Co's Lucasfilm and Pixar units in a widely watched lawsuit over hiring in Silicon Valley.,normal
WFC,Wells Fargo & Company,20140516,Wells Fargo sets up in Aberdeen as part of UK expansion ,LONDON Wells Fargo   the world's biggest bank by market value  this week opened an office in Aberdeen to tap into oil industry business on Scotland's east coast as part of its UK expansion.,topStory
WFC,Wells Fargo & Company,20140516,Wells Fargo sets up in Aberdeen as part of UK expansion ,LONDON  May 16 Wells Fargo  the world's biggest bank by market value  this week opened an office in Aberdeen to tap into oil industry business on Scotland's east coast as part of its UK expansion.,normal
WWE,World Wrestling Entertainment Inc,20140516,WWE shares slammed as NBC Universal TV deal fails to impress ,World Wrestling Entertainment Inc  lost almost half its market value on Friday as its new cable deal with Comcast Corp's  NBCUniversal failed to convince investors it had achieved its desired revenue increase from TV deals.,topStory
WWE,World Wrestling Entertainment Inc,20140516,WWE shares take a beating as TV deal fails to impress ,World Wrestling Entertainment Inc lost almost half its market value in morning trade on Friday as its new TV deal with NBCUniversal Cable Entertainment failed to convince investors that the company was capable of winning more subscribers.,normal
