AKAM,Akamai Technologies Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
AMTD,TD Ameritrade Holding Corporation,20111004,E*Trade to boost sales force  focus on retirement ,NEW YORK Online broker E*Trade Financial plans to double its sales force over the next couple of years to 400 from 200 as it seeks to increase its share of client assets in the investment retirement sector  the firm's chief financial officer  Matthew Audette  said on Monday.,topStory
UBNT,Ubiquiti Networks Inc,20111004,Ubiquiti shrugs off weak market  sets IPO price range ,Ubiquiti Networks  a maker of wireless networking products  expects to sell 7 million common shares priced at $20-$22 apiece in a rare move to price an initial public offering in a sluggish market.,topStory
UBNT,Ubiquiti Networks Inc,20111004,CORRECTED-UPDATE 2-Ubiquiti shrugs off weak market  sets IPO price range , (Corrects headline to clarify company has set a price range and not yet priced its IPO),normal
VOD,Vodafone Group Plc,20111004,Sprint confirms plan to sell iPhone ,NEW YORK Sprint Nextel confirmed that it will sell the next version of Apple Inc's iPhone  ending months of speculation about whether it would become the third U.S. operator to sell the popular device.,topStory
VOD,Vodafone Group Plc,20111004,UPDATE 1-Sprint confirms plan to sell iPhone , * Sprint shares close up 5 pct after 10 pct drop Monday,normal
VOD,Vodafone Group Plc,20111004,UPDATE 1-Apple to showcase new iPhone after 15-month hiatus , * Apple event starts at 1 pm Eastern  (Adds share prices  details on Google rivalry),normal
VOD,Vodafone Group Plc,20111004,Apple to showcase new iPhone after 15-month hiatus , SAN FRANCISCO  Oct 4 Apple Inc  looks set to unveil a new iPhone on Tuesday after a 15-month hiatus  hoping to fend off hard-charging rivals running Google Inc's  Android and safeguard its lead with the fifth incarnation of the iconic device.,normal
WYNN,Wynn Resorts Limited,20111004,UPDATE 1-Macau gambling revenue jumps 39 pct in Sept , HONG KONG  Oct 4 Gambling revenue in Macau rose 39 percent to 21.2 billion patacas ($2.6 billion) in September compared to a year ago  signalling strength in the world's largest gambling destination despite a recent selloff in Hong Kong and U.S. listed gaming stocks over fears that credit for mainland Chinese gamblers is drying up.,topStory
WYNN,Wynn Resorts Limited,20111004,Macau gambling revenue jumps 39 pct in Sept , HONG KONG  Oct 4 Macau posted a 39  percent rise in September gaming revenue to 21.2  billion patacas ($2.6 billion) on Tuesday  signalling strength in the world's largest gambling destination  despite a colossal selloff in Hong Kong and U.S. listed gaming stocks over fears that credit available to mainland gamblers is drying up.,normal
ALK,Alaska Air Group Inc,20111004,HOW TO PLAY IT: Airline stocks on runway after AMR slide , THE ISSUE: With air traffic falling globally in recent months  all it took was whispers of a possible AMR bankruptcy filing to put the sector into a tailspin. What routes can you take with turbulence again hitting airlines?,topStory
AEP,American Electric Power Company Inc,20111004,U.S. pollution rule opposition gains traction - AEP , AUSTIN  Oct 4 Momentum is building to slow implementation of costly federal air pollution mandates that threaten the reliability of the U.S. electric grid  the president of American Electric Power  said on Tuesday.,topStory
AEP,American Electric Power Company Inc,20111004,Alstom to upgrade some AEP coal power plants in U.S. , Oct 4 French multinational conglomerate Alstom SA  said on Tuesday it won a contract worth $150 million to upgrade Ohio-based power company American Electric Power's  biggest coal-fired power plants in Ohio  Indiana and West Virginia over the next several years.,normal
AXP,American Express Company,20111004,Insight: Chase's card chief rebuilds business part by part ,NEW YORK Gordon Smith  credit card chief of JPMorgan Chase  often spends his weekends at his northern New Jersey home  rebuilding the engines of vintage cars.,topStory
AXP,American Express Company,20111004,Raise taxes on super rich  not semi-rich: poll ,WASHINGTON Less than a quarter of wealthy Americans support raising taxes on households making $250 000 or more a year  the level being targeted by President Barack Obama  though tax increases further up the income scale have broader support  said a poll released on Tuesday.,normal
AXP,American Express Company,20111004,Raise taxes on super rich  not semi-rich-U.S. poll , WASHINGTON  Oct 4 Less than a quarter of wealthy Americans support raising taxes on households making $250 000 or more a year  the level being targeted by President Barack Obama  though tax increases further up the income scale have broader support  said a poll released on Tuesday.,normal
AMP,AMERIPRISE FINANCIAL SERVICES INC,20111004,Analysis: Latest 401(k) lawsuit highlights ongoing fee concerns ,NEW YORK While workers can't do much when a stock market sell-off hits their 401(k) balances  they can speak up about poor investment choices and unreasonable plan fees. Now  more are taking those complaints to the courts as they bring lawsuits against employers they believe have allowed poorly-performing and overly-expensive funds into their retirement plans.,topStory
AU,AngloGold Ashanti Limited,20111004,UPDATE 1-Gold miners hedge again in Q2  FY net hedging seen , * Full-year net hedging expected at 1 mln oz (32 tonnes)  (Adds hyperlink to graphic  bullet points),topStory
AU,AngloGold Ashanti Limited,20111004,South African Markets - Factors to watch on Oct 4 , JOHANNESBURG  Oct 4 The following company announcements  scheduled economic indicators  debt and currency market moves and political events may affect South African markets on Tuesday.,normal
AM,Antero Midstream Partners LP,20111004,Shutterfly slumps on Apple card app announcement ,SAN FRANCISCO Shares of Shutterfly Inc and American Greetings Corp dropped on Tuesday after Apple Inc unveiled a new greeting card application.,topStory
AM,Antero Midstream Partners LP,20111004,Shutterfly slumps on Apple card app announcement , SAN FRANCISCO  Oct 4 Shares of Shutterfly Inc  and American Greetings Corp  dropped on Tuesday after Apple Inc  unveiled a new greeting card application.,normal
APO,Apollo Global Management LLC,20111004,DealTalk: Private equity deals for banks fraught with risks ,LONDON Private equity firms see only limited scope to invest in Europe's under-capitalized banks  as they could run the risk of losing their shirts and face political resistance.,topStory
AZN,Astrazeneca PLC,20111004,UPDATE 1-Germany gives preliminary OK to Astra heart drug , * German recommendation covers majority of ACS patients,topStory
AZN,Astrazeneca PLC,20111004,Europe's brain disorder bill hits 800 billion euros ,LONDON The annual cost of brain disorders in Europe has soared to 798 billion euros ($1 trillion) and the region is facing a political  social and financial "ticking bomb" as more people fall prey to mental illnesses  researchers said on Tuesday.,normal
AZN,Astrazeneca PLC,20111004,Europe's brain disorder bill hits 800 bln euros , * Europe faces "ticking bomb" in mental health  study warns,normal
T,AT&T Inc,20111004,Bill introduced to allow US suits against cell firms , WASHINGTON  Oct 4 Two senators introduced a bill on Tuesday to prohibit wireless companies from having clauses in contracts that prohibit consumers from suing the companies because of hidden fees or other contract disputes.,topStory
T,AT&T Inc,20111004,Sprint confirms plan to sell iPhone ,NEW YORK Sprint Nextel confirmed that it will sell the next version of Apple Inc's iPhone  ending months of speculation about whether it would become the third U.S. operator to sell the popular device.,normal
T,AT&T Inc,20111004,UPDATE 1-Sprint confirms plan to sell iPhone , * Sprint shares close up 5 pct after 10 pct drop Monday,normal
T,AT&T Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,normal
T,AT&T Inc,20111004,UPDATE 1-Apple to showcase new iPhone after 15-month hiatus , * Apple event starts at 1 pm Eastern  (Adds share prices  details on Google rivalry),normal
T,AT&T Inc,20111004,Apple to showcase new iPhone after 15-month hiatus , SAN FRANCISCO  Oct 4 Apple Inc  looks set to unveil a new iPhone on Tuesday after a 15-month hiatus  hoping to fend off hard-charging rivals running Google Inc's  Android and safeguard its lead with the fifth incarnation of the iconic device.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20111004,Rich run for cover as turmoil hits wealth ,GENEVA The world's wealthiest families have embarked on damage limitation rather than seeking to boost their fortunes as financial turmoil erodes their riches  with some so worried they are putting their money in 'catastrophe' portfolios.,topStory
BAC,Bank of America Corporation,20111004,Top Republican: bill on China yuan "dangerous" ,WASHINGTON A U.S. bill to pressure China into letting its currency rise in value  which has drawn warnings from Beijing of a possible trade war  ran into opposition from the top Republican in Congress on Tuesday. | Video ,topStory
BAC,Bank of America Corporation,20111004,WRAPUP 4-Top Republican: US bill on China yuan 'dangerous' , * House Democrats say support among lawmakers growing  (Adds analyst comment  industry group),normal
BAC,Bank of America Corporation,20111004,Buyers rush in as Wall Street toys with bear market ,NEW YORK Investors rushed in to buy technology and other beaten-down sectors as the S&P 500 dipped in and out of a bear market on Tuesday  and a late rally drove the index to its largest gain in more than a week. | Video ,normal
BAC,Bank of America Corporation,20111004,BofA may face fraud claim over FHA loans -Bloomberg , * Says deficiencies caused $720 000 in losses - Bloomberg,normal
BAC,Bank of America Corporation,20111004,WRAPUP-BofA shares drop  recover in rollercoaster day , * Citigroup  Morgan Stanley also close up  (Please note paragraph 11 contains language that may be offensive to some readers),normal
BAC,Bank of America Corporation,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,normal
BAC,Bank of America Corporation,20111004,US STOCKS-Buyers rush in as Wall St toys with bear market ,  * Late rally boosted by reports EU preparing bank rescues  * S&P 500 briefly trades down 20 percent from 2011 high  * Dow up 1.4 pct  S&P up 2.3 pct  Nasdaq up 3 pct  (Recasts  changes comment  updates volume),normal
BAC,Bank of America Corporation,20111004,Exclusive: Buffett not worried by BofA share fall ,LAGUNA NIGUEL  California Billionaire investor Warren Buffett is not concerned by the sharp drop in Bank of America Corp shares in the last couple of days  despite his $5 billion investment in the company last month  he told Reuters on Tuesday.,normal
BAC,Bank of America Corporation,20111004,Morgan Stanley gives subdued outlook for brokerage ,NEW YORK The head of Morgan Stanley's  wealth management business offered a tempered outlook for profits and staff levels on Tuesday and acknowledged that achieving a 20 percent pretax operating margin depends largely on market conditions. | Video ,normal
BAC,Bank of America Corporation,20111004,BofA to close correspondent mortgage lending unit ,Bank of America Corp  said Tuesday it will close its correspondent mortgage lending business by the end of the year after failing to find a buyer for the operation.,normal
BMO,Bank Of Montreal,20111004,UPDATE 1-NY Fed names two primary dealers  list grows to 22 , * NY Fed adds Bank of Nova Scotia  BMO Capital as dealers,topStory
BMO,Bank Of Montreal,20111004,NY Fed names two primary dealers  list grows to 22 , NEW YORK  Oct 4 The Federal Reserve Bank of New York on Tuesday granted primary dealer status to two large bond dealers  Bank of Nova Scotia  and BMO Capital Markets   bringing the total number of primary dealers to 22.,normal
BK,Bank Of New York Mellon Corporation (The),20111004,NY sues BNY Mellon over forex claims ,New York's attorney general said on Tuesday he filed a lawsuit against Bank of New York Mellon  for defrauding clients in foreign currency exchange transactions.,topStory
BK,Bank Of New York Mellon Corporation (The),20111004,UPDATE 1-NY sues BNY Mellon over forex claims , (Adds background  details from suit and comment from company),normal
BK,Bank Of New York Mellon Corporation (The),20111004,New York State sues BNY Mellon over forex claims , NEW YORK  Oct 4 New York's attorney general said on Tuesday he filed a lawsuit against Bank of New York Mellon  for defrauding clients in foreign currency exchange transactions.,normal
BNS,Bank of Nova Scotia (The),20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Adds traders citing talk of a euro-zone finance minister agreement),topStory
BNS,Bank of Nova Scotia (The),20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Updates to close),normal
BNS,Bank of Nova Scotia (The),20111004,UPDATE 1-NY Fed names two primary dealers  list grows to 22 , * NY Fed adds Bank of Nova Scotia  BMO Capital as dealers,normal
BNS,Bank of Nova Scotia (The),20111004,NY Fed names two primary dealers  list grows to 22 , NEW YORK  Oct 4 The Federal Reserve Bank of New York on Tuesday granted primary dealer status to two large bond dealers  Bank of Nova Scotia  and BMO Capital Markets   bringing the total number of primary dealers to 22.,normal
BNS,Bank of Nova Scotia (The),20111004,CANADA STOCKS-European fears drive TSX to 23-month low , * Index down 24 percent since 2011 highs  (Updates with details  comments),normal
BNS,Bank of Nova Scotia (The),20111004,UPDATE 1-Thai Thanachart Bank aims 2011 loan growth of 5 pct , * 2011 loan growth below industry as it focuses on merger,normal
BNS,Bank of Nova Scotia (The),20111004,BRIEF-Thai Thanachart Bank aims for 2011 loan growth of 5 pct , BANGKOK  Oct 4 Thailand's fifth-largest lender by asset  Thanachart Bank:,normal
BCS,Barclays PLC,20111004,DealTalk: Governments to let curtain fall on Dexia ,LONDON Struggling Dexia  may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalizing the rest  four sources working on the current rescue plan said.,topStory
BCS,Barclays PLC,20111004,France  Belgium pledge aid for ailing Dexia ,PARIS/LUXEMBOURG France and Belgium came to the rescue of Dexia SA  on Tuesday  the first government bail-out of a European bank in the euro sovereign debt crisis.,normal
BCS,Barclays PLC,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
BHP,BHP Billiton Limited,20111004,UPDATE 2-Hanlong captures Sundance with sweetened $1.29 bln bid , * Raises offer for rest of co by 14 pct  values Sundance at A$1.65 bln,topStory
BBL,BHP Billiton plc,20111004,UPDATE 2-Hanlong captures Sundance with sweetened $1.29 bln bid , * Raises offer for rest of co by 14 pct  values Sundance at A$1.65 bln,topStory
BLK,BlackRock Inc,20111004,UPDATE 1-Record $512 bln shortfall for big US pensions , * Plans may have to restrict payouts  freeze accruals  (Adds analyst quote  background),topStory
BA,Boeing Company (The),20111004,CORRECTED-Boeing federal drug probe took 4 years to complete , * U.S. attorney's office says it took time to infiltrate,topStory
BA,Boeing Company (The),20111004,UPDATE 1-Boeing expects North American fleet to grow , Oct 4 Boeing Co  said on Tuesday it expects the commercial aircraft fleet in North America to grow 41 percent over the next 20 years as airlines replace older planes with more fuel-efficient models.,normal
BP,BP plc,20111004,UPDATE 1-TNK-BP targets wells  electricity in cost cut drive , * Electricity costs also a target for cuts   (Adds upstream management comments),topStory
BP,BP plc,20111004,U.S. to regulate contractors of offshore oil firms , * Says can keep current pace of issues of deepwater permits,normal
BP,BP plc,20111004,TNK-BP targets wells  electricity in cost cut drive , MOSCOW  Oct 4 TNK-BP is targeting electricity costs and well construction in a drive to improve field economics  which could help Russia's No. 3 oil producer bring more oil to market.,normal
BMY,Bristol-Myers Squibb Company,20111004,UPDATE 1-Germany gives preliminary OK to Astra heart drug , * German recommendation covers majority of ACS patients,topStory
COF,Capital One Financial Corporation,20111004,Bankers strike dour note on U.S. bank M&A ,NEW YORK Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",topStory
COF,Capital One Financial Corporation,20111004,Bankers strike dour note on U.S. bank M&A , NEW YORK  Oct 4 Investment bankers  traditionally an optimistic lot  struck a dour note on bank deals in the near future  describing their outlook with words rarely heard spoken publicly in these circles -- "bleak " "skeptical " "really quiet.",normal
COF,Capital One Financial Corporation,20111004,Insight: Chase's card chief rebuilds business part by part ,NEW YORK Gordon Smith  credit card chief of JPMorgan Chase  often spends his weekends at his northern New Jersey home  rebuilding the engines of vintage cars.,normal
COF,Capital One Financial Corporation,20111004,E*Trade to boost sales force  focus on retirement ,NEW YORK Online broker E*Trade Financial plans to double its sales force over the next couple of years to 400 from 200 as it seeks to increase its share of client assets in the investment retirement sector  the firm's chief financial officer  Matthew Audette  said on Monday.,normal
CAT,Caterpillar Inc,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,topStory
CAT,Caterpillar Inc,20111004,UPDATE 1-Twin rebukes jolt US business tax holiday campaign , * Reports question jobs impact of foreign profit tax break  (Adds Heritage Foundation study  Thornell comment),normal
CAT,Caterpillar Inc,20111004,Analysis: Latest 401(k) lawsuit highlights ongoing fee concerns ,NEW YORK While workers can't do much when a stock market sell-off hits their 401(k) balances  they can speak up about poor investment choices and unreasonable plan fees. Now  more are taking those complaints to the courts as they bring lawsuits against employers they believe have allowed poorly-performing and overly-expensive funds into their retirement plans.,normal
CAT,Caterpillar Inc,20111004,Citi  BofA cut workers after US tax holiday-report , WASHINGTON  Oct 4 Ten major U.S. corporations  including big banks Citigroup Inc  and Bank of America Corp   laid off workers after enjoying a tax holiday in 2004-2005 that had been billed as a form of economic stimulus  said a report released on Tuesday.,normal
CX,Cemex SAB de CV,20111004,Mexico's Cemex hits 13-yr low  debt worries weigh ,MEXICO CITY Shares of Mexican cement maker Cemex   slumped to a 13-year low on Tuesday on concerns that slowing growth in key markets and a weaker peso will stymie its ability to meet debt obligations.,topStory
CX,Cemex SAB de CV,20111004,UPDATE 4-Mexico's Cemex hits 13-yr low  debt worries weigh , * Cemex shares plunge to 13-year low before bouncing back,normal
CX,Cemex SAB de CV,20111004,Timeline: Mexico's Cemex shares hit multi-year low ,MEXICO CITY Shares of Mexico's Cemex   have lost nearly 70 percent of their market value this year as investors fret one of the world's largest cement makers will struggle to meet debt burden targets.,normal
CX,Cemex SAB de CV,20111004,TIMELINE-Mexico's Cemex shares hit multi-year low , MEXICO CITY  Oct 4 Shares of Mexico's Cemex   have lost nearly 70 percent of their market value this year as investors fret one of the world's largest cement makers will struggle to meet debt burden targets.,normal
CX,Cemex SAB de CV,20111004,FACTBOX-Mexico's Cemex has rising sales in northern Europe ,  Oct 4 Mexico's Cemex  one of the world's biggest cement makers  has seen its shares drop more than 30 percent in two weeks  partly due to worries about its exposure to the slowing economies in Europe and the United States.,normal
CX,Cemex SAB de CV,20111004,Scenarios: Cemex has options ahead of covenant crunch ,MEXICO CITY Shares in Mexican cement maker Cemex SAB   have fallen more than 30 percent in the last two weeks on concerns about the company's financial health.,normal
CX,Cemex SAB de CV,20111004,Analysts see Cemex just missing debt target by year-end ,MEXICO CITY Mexican cement maker Cemex will just miss key performance goals as it struggles to generate enough cash to get below its targeted ratio of debt to earnings by year's end  analysts said on Tuesday.,normal
CX,Cemex SAB de CV,20111004,Analysts see Cemex just missing debt target by year-end ,MEXICO CITY Mexican cement maker Cemex will just miss key performance goals as it struggles to generate enough cash to get below its targeted ratio of debt to earnings by year's end  analysts said on Tuesday.,normal
CX,Cemex SAB de CV,20111004,Analysts see Cemex just missing debt target by yr-end , MEXICO CITY  Oct 4 Mexican cement maker Cemex will just miss key performance goals as it struggles to generate enough cash to get below its targeted ratio of debt to earnings by year's end  analysts said on Tuesday.,normal
CX,Cemex SAB de CV,20111004,Mexico's Cemex hits 12-yr low  debt worries weigh , MEXICO CITY  Oct 4 Shares of Mexican cement maker Cemex  fell to a more than 12-year low  as investors worry that slowing growth in Europe and the United States will hobble the company's ability to meet its debt obligations.,normal
CLDT,Chatham Lodging Trust (REIT),20111004,Cerberus lays out plan for Innkeepers trial-filing ,Cerberus Capital Management  and Chatham Lodging Trust  said on Tuesday that analyst downgrades for the lodging sector  weakening hotel asset sales and a 30 to 40 percent decline in the stocks of competing hotel operators were among the nine reasons it backed out of buying Innkeepers USA Trust .,topStory
CLDT,Chatham Lodging Trust (REIT),20111004,Cerberus lays out plan for Innkeepers trial-filing , Oct 4 Cerberus Capital Management [CBS.UL] and Chatham Lodging Trust  said on Tuesday that analyst downgrades for the lodging sector  weakening hotel asset sales and a 30 to 40 percent decline in the stocks of competing hotel operators were among the nine reasons it backed out of buying Innkeepers USA Trust .,normal
CVX,Chevron Corporation,20111004,UPDATE 3-Kazakhs won't drop tax claim for Karachaganak stake , * BG says expects final agreement with Kazakhstan by year-end,topStory
CVX,Chevron Corporation,20111004,UPDATE 3-Kazakhstan sees 50 pct oil export growth by 2020 , ASTANA  Oct 4 Kazakhstan  Central Asia's largest oil producer  plans to raise annual crude exports to 110 million tonnes by 2020 from the 72 million tonnes forecast for this year  the country's oil and gas minister said on Tuesday.,normal
CVX,Chevron Corporation,20111004,Kazakhs won't drop tax claims for Karachaganak stake , ASTANA  Oct 4 Kazakhstan will not drop its tax claims to the Karachaganak group in return for a stake in the promising gas field  Kazakh Oil and Gas Minister Sauat Mynbayev said on Tuesday.,normal
CVX,Chevron Corporation,20111004,Karachaganak group may reach stake deal by yr-end -BG , ASTANA  Oct 4 The consortium developing the Karachaganak project expects to reach agreement on ceding a stake to the government of Kazakhstan by the end of this year  a senior BG official said on Tuesday.,normal
C,Citigroup Inc,20111004,WRAPUP-BofA shares drop  recover in rollercoaster day , * Citigroup  Morgan Stanley also close up  (Please note paragraph 11 contains language that may be offensive to some readers),topStory
C,Citigroup Inc,20111004,Twin rebukes jolt U.S. business tax holiday campaign ,WASHINGTON A lobbying push in the Congress to give major corporations a tax break on their overseas profits suffered a setback on Tuesday when influential left- and right-wing think tanks both issued reports rejecting it.,normal
C,Citigroup Inc,20111004,Morgan Stanley gives subdued outlook for brokerage ,NEW YORK The head of Morgan Stanley's  wealth management business offered a tempered outlook for profits and staff levels on Tuesday and acknowledged that achieving a 20 percent pretax operating margin depends largely on market conditions. | Video ,normal
C,Citigroup Inc,20111004,UPDATE 1-Twin rebukes jolt US business tax holiday campaign , * Reports question jobs impact of foreign profit tax break  (Adds Heritage Foundation study  Thornell comment),normal
C,Citigroup Inc,20111004,US lawmaker: China cyber espionage 'intolerable' ,WASHINGTON The chairman of the House of Representatives intelligence committee on Tuesday accused China of widespread cyber economic espionage and said many U.S. firms were afraid to come forward for fear their computers would be the targets of even more attacks.,normal
C,Citigroup Inc,20111004,MOVES-HSBC  OMAM UK  Coutts & Co , Oct 4 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
C,Citigroup Inc,20111004,UPDATE 1-US lawmaker: China cyber espionage 'intolerable' , * Companies reluctant to point finger at China  (Adds comment from Ruppersberger  witnesses  background),normal
C,Citigroup Inc,20111004,BofA shares drop to lowest level since March 2009 ,CHARLOTTE  North Carolina Bank of America Corp  shares fell 5.2 percent Tuesday to their lowest level since March 2009 amid concerns about how a slowing world economy and the European debt crisis would affect the largest U.S. bank.,normal
C,Citigroup Inc,20111004,Banks losing ground on card security ,U.S. banks are losing ground in the battle to combat credit and debit card fraud  a new report shows  underscoring the growing threat thieves and hackers pose for the financial system.,normal
C,Citigroup Inc,20111004,U.S. banks losing ground on card security - report , * Worldwide card fraud rises 10 pct to $7.6 bln in 2010,normal
KOF,Coca Cola Femsa SAB de CV,20111004,DIARY - Mexico and Central America - to Oct 14 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. __________________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST      PREV ----------------------------------------------------------------SEOCT04 0800/1300  consumer confidence s/a   Sep            92.5 OCT04 0800/1300  consumer confidence       Sep            93.4,topStory
COP,ConocoPhillips,20111004,Conoco conducts planned work at Oklahoma refinery , NEW YORK  Oct 4 ConocoPhillips  said on Tuesday planned maintenance is under way at its 198 400-barrels-per-day refinery in Ponca City  Oklahoma.,topStory
COP,ConocoPhillips,20111004,Interior affirms disputed Alaska Chukchi lease sale , ANCHORAGE  Alaska  Oct 3 Interior Secretary Ken Salazar on Monday formally approved a disputed Bush-era oil lease sale in the Chukchi Sea off northwestern Alaska  a remote site where Royal Dutch Shell  seeks to drill exploration wells next year.,normal
DHI,DR Horton Inc,20111004,Dow Chemical CEO upbeat despite weak economy ,NEW YORK Dow Chemical Co  Chief Executive Andrew Liveris gave an upbeat outlook for the largest U.S. chemical maker on Tuesday  saying its growth would continue regardless of the global economic situation.,topStory
DAL,Delta Air Lines Inc,20111004,U.S. tests plan to speed up airport security checks ,MIAMI Frequent flyers in the United States who undergo prior government background checks are being allowed through airport security screening faster under an initiative being developed by the Transportation Security Administration (TSA)  the agency said on Tuesday.,topStory
DAL,Delta Air Lines Inc,20111004,US tests plan to speed up airport security checks , MIAMI  Oct 4 Frequent flyers in the United States who undergo prior government background checks are being allowed through airport security screening faster under an initiative being developed by the Transportation Security Administration (TSA)  the agency said on Tuesday.,normal
DAL,Delta Air Lines Inc,20111004,HOW TO PLAY IT: Airline stocks on runway after AMR slide , THE ISSUE: With air traffic falling globally in recent months  all it took was whispers of a possible AMR bankruptcy filing to put the sector into a tailspin. What routes can you take with turbulence again hitting airlines?,normal
DB,Deutsche Bank AG,20111004,BofA may face fraud claim over FHA loans -Bloomberg , * Says deficiencies caused $720 000 in losses - Bloomberg,topStory
DB,Deutsche Bank AG,20111004,Banks take defense of Greek bailout to the brink ,GENEVA Bankers are resisting political pressure to increase their contribution to a Greek bailout  as brinkmanship over revising the terms of a package agreed in July stokes fears of a default. | Video ,normal
DB,Deutsche Bank AG,20111004,France  Belgium rush to aid of ailing Dexia ,BRUSSELS/PARIS France and Belgium rushed to the aid of Dexia SA  on Tuesday  in what will be the first state rescue of a European bank in the euro zone sovereign debt crisis.,normal
DB,Deutsche Bank AG,20111004,UPDATE 5-France  Belgium rush to aid of ailing Dexia , * Healthy operations likely to be sold -source  (Updates after Belgian cabinet meeting),normal
DB,Deutsche Bank AG,20111004,ADR REPORT-Euro banks gain late; recapitalization plans cited , NEW YORK  Oct 4 European bank shares traded in New York staged a brisk rally late on Tuesday on apparent optimism over plans to recapitalize the region's banking sector  which is at risk from a Greek default.,normal
DB,Deutsche Bank AG,20111004,Dexia: a one-off or warning shot for Europe's banks? , LONDON  Oct 4 State help for ailing Belgian-French bank Dexia sparked concern it will be the first of many banks needing taxpayer support if euro zone politicians fail to get to grips with a deepening debt crisis.,normal
DB,Deutsche Bank AG,20111004,DEALTALK-Governments to let curtain fall on Dexia , LONDON  Oct 4 Struggling Dexia may resurrect 2008's abandoned break-up plan  isolating toxic assets in a bad bank and selling or nationalising the rest  four sources working on the current rescue plan said.,normal
DB,Deutsche Bank AG,20111004,Banks take defence of Greek bailout to the brink , GENEVA  Oct 4 Bankers are resisting political pressure to increase their contribution to a Greek bailout  as brinkmanship over revising the terms of a package agreed in July stokes fears of a default.,normal
DB,Deutsche Bank AG,20111004,Rich run for cover as turmoil hits wealth ,GENEVA The world's wealthiest families have embarked on damage limitation rather than seeking to boost their fortunes as financial turmoil erodes their riches  with some so worried they are putting their money in 'catastrophe' portfolios.,normal
DB,Deutsche Bank AG,20111004,Euro crisis contagion fears hit European shares , FRANKFURT  Oct 4 European shares took another hit on Tuesday on fears Franco-Belgian bank Dexia may need to be rescued due to its exposure to Greek debt in what investors see as evidence of the euro zone sovereign debt crisis spreading to the banking sector.,normal
DEO,Diageo plc,20111004,PRESS DIGEST - British business - Oct 4 , American Airlines' parent company on Monday suffered its biggest one-day share price fall since the 9/11 terror attacks  amid growing fears that it will file for bankruptcy.,topStory
DFS,Discover Financial Services,20111004,Insight: Chase's card chief rebuilds business part by part ,NEW YORK Gordon Smith  credit card chief of JPMorgan Chase  often spends his weekends at his northern New Jersey home  rebuilding the engines of vintage cars.,topStory
D,Dominion Energy Inc,20111004,RPT-UPDATE 2-US NRC: no major damage at quake-hit Dominion plant , * Critics slam NRC's handling of North Anna plant  (Adds quotes  details on meeting  byline),topStory
DCUD,Dominion Energy Inc,20111004,RPT-UPDATE 2-US NRC: no major damage at quake-hit Dominion plant , * Critics slam NRC's handling of North Anna plant  (Adds quotes  details on meeting  byline),topStory
DRUA,Dominion Energy Inc,20111004,RPT-UPDATE 2-US NRC: no major damage at quake-hit Dominion plant , * Critics slam NRC's handling of North Anna plant  (Adds quotes  details on meeting  byline),topStory
EEP,Enbridge Energy LP,20111004,UPDATE 1-Enbridge says Line 6B to restart Tuesday afternoon , CALGARY  Alberta  Oct 4 Enbridge Inc  said it expects to restart its 283 000 barrel per day Line 6B oil pipeline late on Tuesday afternoon  less than a day after a power outage at a pumping station forced the line to close.,topStory
ENB,Enbridge Inc,20111004,Enbridge says Bakken rail oil is "the Wild West" , * Company is building out its pipeline capacity in field,topStory
ENB,Enbridge Inc,20111004,CANADA STOCKS-TSX cuts losses after plunge to 23-month low , * Hits November 2009 low  falls 24 pct since 2011 highs  (Adds traders citing talk of a euro-zone finance minister agreement),normal
