ALKS,Alkermes plc,20110707,UPDATE 2-Amylin says heart trial of diabetes drug met goal ,* Alkermes shares rise 6 percent  (Adds background  updates share prices),topStory
BA,Boeing Company (The),20110707,Dubai firm axes Airbus orders in crisis fallout ,PARIS/DUBAI A troubled Dubai leasing company has canceled all its remaining Airbus orders worth $5.8 billion as the after-shocks of the financial crisis dampened celebrations of record new jet sales.,normal
BA,Boeing Company (The),20110707,Air France-KLM to decide on jet order in summer -CEO , PARIS  July 7 Air France-KLM  hopes to announce the results of a contest between Airbus  and Boeing  to supply the European airline with wide-bodied jets during the summer  its chief executive said on Thursday.,normal
BA,Boeing Company (The),20110707,UPDATE 2-Dubai firm axes Airbus orders in crisis fallout , * DAE Capital cancels remaining orders for 45 Airbus jets,normal
BA,Boeing Company (The),20110707,Dubai's DAE Capital cancels all Airbus orders , PARIS  July 7 DAE Capital has cancelled its remaining backlog of aircraft orders with Airbus  in the latest sign of disruption at the majority state-owned Dubai leasing company  Airbus data showed on Thursday.,normal
BA,Boeing Company (The),20110707,Airbus sold 777 aircraft in H1 , PARIS  July 7 Airbus sold 777 aircraft in the first half including record-breaking orders at the Paris Air Show  the European planemaker said on Thursday.,normal
BA,Boeing Company (The),20110707,UPDATE 1-Boeing exec says has India airline orders worth $15 bln , * Says to deliver first Dreamliner to Air India by year-end   (Adds details  background  quote),normal
BA,Boeing Company (The),20110707,Boeing exec says has India airline orders worth $15 bln , MUMBAI  July 7 Boeing Co has existing orders of about $15 billion with airlines in India  a top executive said on Thursday.,normal
BP,BP plc,20110707,US Cash Products-Chicago gasoline falls on unit restart , * Harbor gasoline slips on low demand for growing supply,topStory
BP,BP plc,20110707,UPDATE 2-Libya says it eyes new investors for ENI projects , * Govt official says in talks with Russian  Chinese firms,normal
BMY,Bristol-Myers Squibb Company,20110707,Innate Pharma shares jump on Bristol-Myers deal ,PARIS Shares in Innate Pharma  climbed 65 percent on Thursday after it agreed what it called the largest biotech deal ever signed in France with Bristol-Myers Squibb  for a potential cancer treatment.,topStory
BMY,Bristol-Myers Squibb Company,20110707,UPDATE 1-Innate Pharma shares jump on Bristol-Myers deal ,   * Bristol-Myers to develop and distribute new cancer antibody,normal
CNQ,Canadian Natural Resources Limited,20110707,CANADA STOCKS-TSX hangs on to tiny gain despite gold retreat , * U.S. jobs report for June to set Friday's market tone  (Adds details),topStory
CNQ,Canadian Natural Resources Limited,20110707,CANADA STOCKS-TSX clings to tiny gain  lifted by oil shares , TORONTO  July 7 Toronto's main stock market index finished flat on Thursday  erasing gains it had held through the day just moments before the session end as market players squared positions ahead of Friday's highly anticipated U.S. nonfarm payrolls report for June.,normal
CP,Canadian Pacific Railway Limited,20110707,Flooded CP Rail line shut longer than expected , * Weather woes have hit Canadian Pacific hard this year,topStory
COF,Capital One Financial Corporation,20110707,Retail  tech lead Wall Street rally before jobs data ,NEW YORK Stocks closed sharply higher and the Nasdaq notched an eighth day of gains on Thursday as improved labor market and retail sales data added to optimism a day before the critical June payrolls report.,topStory
COF,Capital One Financial Corporation,20110707,US STOCKS-Retail  tech lead Wall St rally before jobs data , * Dow up 0.7 pct  S&P up 1.1 pct  Nasdaq up 1.4 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
CAT,Caterpillar Inc,20110707,Dim sum market stirs U.S. borrowers ,BRADENTON/NEW YORK  July 7 (IFR) - One of the U.S. high-grade market's favorites  Caterpillar Financial Services  is becoming quite the regular issuer in the offshore yuan-denominated market  also called the dim sum or CNH bond market.,topStory
CAT,Caterpillar Inc,20110707,IFR-US CREDIT-Dim sum market stirs US borrowers , BRADENTON/NEW YORK  July 7 (IFR) - One of the US high-grade market's favorites  Caterpillar Financial Services  is becoming quite the regular issuer in the offshore yuan-denominated market  also called the dim sum or CNH bond market.,normal
CBS,CBS Corporation,20110707,Part of U.S. media ownership rule overturned ,WASHINGTON A federal appeals court has overturned part of a 2008 loosening of U.S. media-ownership rules that made it easier to own a newspaper and a broadcast outlet in a single market.,topStory
CBS,CBS Corporation,20110707,UPDATE 2-Part of U.S. media ownership rule overturned , * Flaw found in newspaper-broadcast cross-ownership rule,normal
CVE,Cenovus Energy Inc,20110707,CANADA STOCKS-TSX hangs on to tiny gain despite gold retreat , * U.S. jobs report for June to set Friday's market tone  (Adds details),topStory
CVE,Cenovus Energy Inc,20110707,CANADA STOCKS-TSX clings to tiny gain  lifted by oil shares , TORONTO  July 7 Toronto's main stock market index finished flat on Thursday  erasing gains it had held through the day just moments before the session end as market players squared positions ahead of Friday's highly anticipated U.S. nonfarm payrolls report for June.,normal
CNC,Centene Corporation,20110707,UPDATE 1-Centene gets Medicaid contract in Kentucky , * Centene expects contract to generate more than $700 mln in annual revenue,topStory
CHK,Chesapeake Energy Corporation,20110707,UPDATE 2-Chesapeake Energy trust files for IPO , * Chesapeake shares rise 4 pct post-market  (Adds details from filing  industry background),topStory
CHL,China Mobile (Hong Kong) Ltd,20110707,UPDATE 1-DoCoMo  Baidu to provide smartphone content in China-Nikkei , July 8 Japan's NTT DoCoMo Inc and Baidu Inc   China's largest search engine operator  have agreed to team up to distribute mobile content to Chinese users  the Nikkei business daily said.,topStory
C,Citigroup Inc,20110707,Deals of the day -- mergers and acquisitions , July 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Thursday:,topStory
C,Citigroup Inc,20110707,MOVES-Rothschild  Standard Chartered  Ignis  BNP Paribas , (Adds HSBC Global Asset Management  Citi Private Bank and others),normal
C,Citigroup Inc,20110707,Morgan Stanley private wealth arm hires Baranski ,NEW YORK Morgan Stanley's  wealth management arm for the super-rich hired a former Merrill Lynch private banking executive  Devon Baranski  to lead its U.S. Southwest region  according to an internal memo obtained by Reuters.,normal
C,Citigroup Inc,20110707,Morgan Stanley private wealth arm hires Baranski , NEW YORK  July 7 Morgan Stanley's  wealth management arm for the super-rich hired a former Merrill Lynch private banking executive  Devon Baranski  to lead its U.S. Southwest region  according to an internal memo obtained by Reuters.,normal
C,Citigroup Inc,20110707,EBay buys Zong as mobile payments gain traction ,NEW YORK/SAN FRANCISCO EBay Inc said on Thursday it agreed to buy cellphone payments provider Zong for about $240 million in cash to help its PayPal unit push further into mobile commerce.,normal
C,Citigroup Inc,20110707,UPDATE 1-Two Korean financial groups launch $1.85 bln share sales-sources , * KB Financial share sale could raise as much as $1.71 bln,normal
C,Citigroup Inc,20110707,KB Financial launches $1.71 bln sale of treasury shares - source , HONG KONG  July 7 KB Financial Group Inc  launched a sale of treasury shares worth $1.71 billion  a source with direct knowledge of the deal told Reuters on Thursday.,normal
C,Citigroup Inc,20110707,Morgan Stanley Smith Barney loses client data CDs: report ,Brokerage Morgan Stanley Smith Barney  a joint venture between Morgan Stanley and Citigroup  said personal information of 34 000 investment clients stored on two CDs was lost in transit to a government office last month  the Wall Street Journal reported citing a company spokesman.,normal
C,Citigroup Inc,20110707,Morgan Stanley Smith Barney loses client data CDs - WSJ , July 6 Brokerage Morgan Stanley Smith Barney  a joint venture between Morgan Stanley  and Citigroup   said personal information of 34 000 investment clients stored on two CDs was lost in transit to a government office last month  the Wall Street Journal reported citing a company spokesman.,normal
C,Citigroup Inc,20110707,Citi hit Moody's hurdle in OneMain sale: source ,NEW YORK Citigroup Inc  is finding its consumer finance unit  OneMain Financial  to be a tough sell.,normal
KOF,Coca Cola Femsa SAB de CV,20110707,DIARY - Mexico and Central America - to July 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. _______________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST   PREV --------------------------------------------------------------- JUL07 0900/1400  12-month inflation         Jun   3.26 pct 3.25 pct JUL08 0900/1400  cenbank overnight rate     Jul   4.5 pct  4.5 pc,topStory
KO,Coca-Cola Company (The),20110707,Main St investors cautious even as data improves ,NEW YORK A few strong data points was all Wall Street needed to rally on Thursday  but on Main Street caution is still king and dividend-paying stocks are in favor.,topStory
KO,Coca-Cola Company (The),20110707,Main St investors cautious even as US data improves , * Wall Street jumps after strong release of economic data,normal
CDE,Coeur Mining Inc,20110707,Bolivia says mining exports to top $3 bln this year , * High prices to fuel fresh record in 2011-deputy minister,topStory
CBD,Companhia Brasileira de Distribuicao,20110707,Diniz says Pao de Acucar merger has backing-report , * Investors support Pao de Acucar-Carrefour merger: Diniz,topStory
COP,ConocoPhillips,20110707,US Cash Products-Chicago gasoline falls on unit restart , * Harbor gasoline slips on low demand for growing supply,topStory
COP,ConocoPhillips,20110707,Canada crude-Heavy spreads narrow as Montana fears ease , CALGARY  Alberta  July 7 Canadian heavy crude spreads narrowed on Thursday as refinery problems following a Montana pipeline rupture proved less severe than first feared.,normal
CVI,CVR Energy Inc,20110707,US Cash Products-Chicago gasoline falls on unit restart , * Harbor gasoline slips on low demand for growing supply,topStory
DB,Deutsche Bank AG,20110707,Dealtalk: Gulf Arab M&A eyes rebound as tensions ebb  oil gains ,DUBAI Gulf Arab bankers  hit by a dearth of deal flows so far in 2011  are hoping sovereign wealth funds will drive a second-half rebound powered by a buoyant oil price and an easing in political tensions.,topStory
DB,Deutsche Bank AG,20110707,DEALTALK-Gulf Arab M&A eyes rebound as tensions ebb  oil gains , * Outbound M&A deals seen rising in second half - bankers,normal
DB,Deutsche Bank AG,20110707,Analysis: UBS review adds fuel to restructuring hopes ,LONDON/ZURICH UBS AG's admission that it may not reach profit goals and that new regulation has changed the game in investment banking is likely to fuel further doubts over its ambitions in fixed income  where it still trails rivals.,normal
DB,Deutsche Bank AG,20110707,Deutsche Bank accelerates succession talks: sources ,FRANKFURT UBS AG's  bold move to poach Axel Weber from under Deutsche Bank AG's  nose has prompted Germany's largest lender to accelerate succession talks  three people familiar with the matter said.,normal
DB,Deutsche Bank AG,20110707,Deutsche Bank accelerates succession talks-sources , FRANKFURT  July 7 UBS AG's bold move to poach Axel Weber from under Deutsche Bank AG's  nose has prompted Germany's largest lender to accelerate succession talks  three people familiar with the matter said.,normal
DB,Deutsche Bank AG,20110707,Kleinwort offering about 500 mln eur for BHF-sources , FRANKFURT  July 7 Kleinwort Benson is offering approximately 500 million euros ($715 million) for Deutsche Bank  unit BHF  two sources familiar with the transaction said.,normal
DB,Deutsche Bank AG,20110707,Deutsche Bank chairman sees dual-CEO solution-paper , FRANKFURT  July 7 Deutsche Bank  supervisory board chairman Clemens Boersig favours the team of investment banking chief Anshu Jain and Germany chief Juergen Fitschen to succeed Josef Ackermann  German daily Die Welt said.,normal
DB,Deutsche Bank AG,20110707,UPDATE 1-Deutsche Bank says aims to sell BHF to Kleinwort , FRANKFURT  July 7 Deutsche Bank  said on Thursday it is in exclusive talks to sell its BHF unit to RHJ International's  Kleinwort Benson  its second attempt at hiving off the wealth manager.,normal
DDS,Dillard&#39;s Inc,20110707,Chains' deals won over shoppers in June ,NEW YORK Top U.S. retailers reported better-than-expected June sales after luring shoppers with targeted bargains that they will now have to keep in place to satisfy shoppers through the summer.,topStory
DDS,Dillard&#39;s Inc,20110707,WRAPUP 5-U.S. chains' deals won over shoppers in June , * Penney misses  slashes forecast; shares down  (Recasts first sentence  adds comments by Macy's CEO  updates share prices),normal
RDY,Dr Reddy&#39;s Laboratories Ltd,20110707,U.S. bans drugs from Dr. Reddy's Mexico plant: report ,MUMBAI The U.S. Food and Drug Administration has imposed an import ban on products made at Dr. Reddy's Laboratories' Mexico unit for violation of manufacturing practice rules  the Press Trust of India reported  citing a notice by the regulator.,topStory
RDY,Dr Reddy&#39;s Laboratories Ltd,20110707,U.S. bans drugs from Dr. Reddy's Mexico plant-report , MUMBAI  July 7 The U.S. Food and Drug Administration has imposed an import ban on products made at Dr. Reddy's Laboratories' Mexico unit for violation of manufacturing practice rules  the Press Trust of India reported  citing a notice by the regulator.,normal
DUK,Duke Energy Corporation,20110707,EPA rule aims to cut smog  soot from coal plants ,WASHINGTON U.S. environmental regulators finalized a rule on Thursday to slash air pollution from coal-fired power plants in 27 states east of the Rocky Mountains that result in unhealthy levels of smog and soot.,topStory
DUK,Duke Energy Corporation,20110707,UPDATE 2-US rule aims to cut smog  soot from coal plants , * Rule makes Texas cut sulfur dioxide annually  (Adds power producer comments  details of rule),normal
DUKH,Duke Energy Corporation,20110707,EPA rule aims to cut smog  soot from coal plants ,WASHINGTON U.S. environmental regulators finalized a rule on Thursday to slash air pollution from coal-fired power plants in 27 states east of the Rocky Mountains that result in unhealthy levels of smog and soot.,topStory
DUKH,Duke Energy Corporation,20110707,UPDATE 2-US rule aims to cut smog  soot from coal plants , * Rule makes Texas cut sulfur dioxide annually  (Adds power producer comments  details of rule),normal
LLY,Eli Lilly and Company,20110707,UPDATE 2-Amylin says heart trial of diabetes drug met goal ,* Alkermes shares rise 6 percent  (Adds background  updates share prices),topStory
LLY,Eli Lilly and Company,20110707,Pfizer to unload units worth over $16 billion ,NEW YORK/BOSTON Pfizer Inc  might sell or spin off its animal health and nutrition units -- businesses valued at more than $16 billion -- to focus on its main pharmaceutical business and cushion the loss of its top-selling Lipitor cholesterol drug.,normal
LLY,Eli Lilly and Company,20110707,EU mergers and takeovers (July 7) , BRUSSELS  July 7 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
LLY,Eli Lilly and Company,20110707,EU clears Eli Lilly to buy J&J animal health unit , BRUSSELS  July 7 U.S. drugmaker Eli Lilly & Co  secured European Union regulatory approval on Thursday to buy Johnson & Johnson's  animal health unit Janssen to boost its presence in Europe.,normal
LLY,Eli Lilly and Company,20110707,Lower-risk women need fewer mammograms: study ,NEW YORK  - Less-frequent mammograms for women at low risk for breast cancer can be a cost-effective way of saving lives  according to a study that challenges current screening guidelines.,normal
LLY,Eli Lilly and Company,20110707,Lower-risk women need fewer mammograms: study , NEW YORK  July 7  - Less-frequent mammograms for women at low risk for breast cancer can be a cost-effective way of saving lives  according to a study that challenges current screening guidelines.,normal
EMR,Emerson Electric Company,20110707,Main St investors cautious even as data improves ,NEW YORK A few strong data points was all Wall Street needed to rally on Thursday  but on Main Street caution is still king and dividend-paying stocks are in favor.,topStory
EMR,Emerson Electric Company,20110707,Main St investors cautious even as US data improves , * Wall Street jumps after strong release of economic data,normal
E,ENI SpA,20110707,UPDATE 2-Libya says it eyes new investors for ENI projects , * Govt official says in talks with Russian  Chinese firms,topStory
E,ENI SpA,20110707,Swiss police raid cyber attack suspect's home , ZURICH  July 7 Swiss police have searched the home of an Italian citizen suspected of carrying out cyber attacks in Italy  prosecutors said on Thursday.,normal
E,ENI SpA,20110707,Libya eyes new investors for ENI projects-govt official , TRIPOLI  July 7 Libya's government has begun negotiations with Russian and Chinese energy firms on taking over ENI's projects in Libya after the Italian firm withdrew its staff  a senior Libyan government official told Reuters on Thursday.,normal
EPD,Enterprise Products Partners LP,20110707,UPDATE 2-Shippers get more time to commit to US oil pipeline , * Double E line would ship 450 000 bpd from OK to Houston,topStory
EQR,Equity Residential,20110707,Apartment rents rise  supply tight ,NEW YORK U.S. apartment rents rose and the vacancy rate fell to its lowest level in more than three years in the second quarter as economic trends and limited apartment construction kept the rental market tight  according to preliminary data from real estate research firm Reis.,topStory
EQR,Equity Residential,20110707,U.S. apartment rents rise  supply tight , NEW YORK  July 7 U.S. apartment rents rose and the vacancy rate fell to its lowest level in more than three years in the second quarter as economic trends and limited apartment construction kept the rental market tight  according to preliminary data from real estate research firm Reis.,normal
XOM,Exxon Mobil Corporation,20110707,Montana pulls out of oil spill joint command , BOZEMAN  Mont  July 7 Montana Governor Brian Schweitzer said on Thursday he has pulled the state out of the joint command team directing cleanup of oil spilled from a ruptured Exxon Mobil  pipeline over the weekend.,topStory
XOM,Exxon Mobil Corporation,20110707,UPDATE 2-Chesapeake Energy trust files for IPO , * Chesapeake shares rise 4 pct post-market  (Adds details from filing  industry background),normal
XOM,Exxon Mobil Corporation,20110707,Canada crude-Heavy spreads narrow as Montana fears ease , CALGARY  Alberta  July 7 Canadian heavy crude spreads narrowed on Thursday as refinery problems following a Montana pipeline rupture proved less severe than first feared.,normal
XOM,Exxon Mobil Corporation,20110707,Exxon says Montana pipeline repairs to take weeks ,HOUSTON Exxon Mobil Corp is working on a plan to repair and restart a ruptured Montana pipeline that spilled up to 1 000 barrels of crude into the Yellowstone River last weekend  but restoration is not expected for at least two weeks  an executive said on Wednesday.,normal
F,Ford Motor Company,20110707,US fuel efficiency in new cars falls for 3rd month , * Fuel efficiency on new US cars sold in June down 1.4 pct,topStory
FTS,Fortis Inc,20110707,DEALTALK-Vermont links may help Gaz Metro in utility bid , ,topStory
FCX,Freeport-McMoran Inc,20110707,Retail  tech lead Wall Street rally before jobs data ,NEW YORK Stocks closed sharply higher and the Nasdaq notched an eighth day of gains on Thursday as improved labor market and retail sales data added to optimism a day before the critical June payrolls report.,topStory
FCX,Freeport-McMoran Inc,20110707,US STOCKS-Retail  tech lead Wall St rally before jobs data , * Dow up 0.7 pct  S&P up 1.1 pct  Nasdaq up 1.4 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
FCX,Freeport-McMoran Inc,20110707,UPDATE 3-Freeport Indonesia union says may extend copper strike , * Union official sees more concentrate shipments unlikely,normal
FCX,Freeport-McMoran Inc,20110707,Freeport Indonesia union may extend strike another week if talks fail , JAKARTA  July 7 Workers at Freeport McMoRan Copper & Gold's mine in Indonesia  whose mining operations have been crippled for four days  may extend their strike by another seven days if negotiations failed  a union official told Reuters.,normal
FCX,Freeport-McMoran Inc,20110707,Talks over pay fail at Freeport's Grasberg mine -govt official , * Talks over pay between striking workers  Freeport breaks down,normal
FCN,FTI Consulting Inc,20110707,UPDATE 1-FTI Consulting projects Q2 rev above Street , * To take special charge in Q2 related to restructuring,topStory
GPS,Gap Inc (The),20110707,Retail  tech lead Wall Street rally before jobs data ,NEW YORK Stocks closed sharply higher and the Nasdaq notched an eighth day of gains on Thursday as improved labor market and retail sales data added to optimism a day before the critical June payrolls report.,topStory
GPS,Gap Inc (The),20110707,US STOCKS-Retail  tech lead Wall St rally before jobs data , * Dow up 0.7 pct  S&P up 1.1 pct  Nasdaq up 1.4 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
GPS,Gap Inc (The),20110707,U.S. chains' June sales likely lifted by bargains , NEW YORK  July 7 Top U.S. retailers are expected to report healthy sales gains for June  helped by bargains that lured shoppers contending with high gasoline prices and a wobbly economy.,normal
GD,General Dynamics Corporation,20110707,US  allies' share of world military spending shrinking-study , * Decline partly reflects China's growing economic weight,topStory
GEK,General Electric Capital Corporation,20110707,Iraq signs $130 mln deal for 500 MW power plant , BAGHDAD  July 7 Iraq has signed a $130 million deal with an Iraqi company to build a power plant and install four gas-powered generators in the southern province of Najaf  the electricity ministry said on Thursday.,topStory
GEK,General Electric Capital Corporation,20110707,Varney to step down as top antitrust official ,WASHINGTON Christine Varney  the top antitrust official in the U.S. Justice Department  is stepping down  the department said on Wednesday.,normal
GEK,General Electric Capital Corporation,20110707,UPDATE 2-Varney to step down as top U.S. antitrust official , * Experts do not expect sharp change in antitrust policy,normal
GE,General Electric Company,20110707,Iraq signs $130 mln deal for 500 MW power plant , BAGHDAD  July 7 Iraq has signed a $130 million deal with an Iraqi company to build a power plant and install four gas-powered generators in the southern province of Najaf  the electricity ministry said on Thursday.,topStory
GE,General Electric Company,20110707,Varney to step down as top antitrust official ,WASHINGTON Christine Varney  the top antitrust official in the U.S. Justice Department  is stepping down  the department said on Wednesday.,normal
GE,General Electric Company,20110707,UPDATE 2-Varney to step down as top U.S. antitrust official , * Experts do not expect sharp change in antitrust policy,normal
GM,General Motors Company,20110707,US fuel efficiency in new cars falls for 3rd month , * Fuel efficiency on new US cars sold in June down 1.4 pct,topStory
GM,General Motors Company,20110707,Factbox: Advertisers drop Murdoch paper over hacking claims ,LONDON Supermarket Sainsbury  cellphone operator O2 and a war veterans charity whose patron is Britain's Queen Elizabeth have joined a growing list of organizations to suspend ties with the News of the World as a scandal over hacking allegations deepens.,normal
GM,General Motors Company,20110707,Factbox: Advertisers drop Murdoch paper over hacking claims ,LONDON Supermarket Sainsbury   cellphone operator O2  and a war veterans charity whose patron is Britain's Queen Elizabeth have joined a growing list of organizations to suspend ties with the News of the World as a scandal over hacking allegations deepens.,normal
GM,General Motors Company,20110707,UPDATE 4-Saab says no car production until August , STOCKHOLM  July 7 Struggling Swedish carmaker Saab said a production stop lasting for most of the past three months would stretch into August  but it was close to a deal with suppliers who have held back parts until it pays its debts.,normal
GM,General Motors Company,20110707,SAIC says June auto sales up 10 pct y/y , BEIJING  July 7 Top Chinese automaker SAIC Motor Corp saw June vehicle sales rise 10 percent from a year ago  helped by solid demand for Buick and Volkswagen  cars at its Shanghai ventures.,normal
GS,Goldman Sachs Group Inc (The),20110707,BofA to take $13 billion more in charges: Bernstein ,Bank of America will take another $13 billion in charges related to pending settlement with private label mortgage-backed securities investors  Sanford C Bernstein said.,topStory
GS,Goldman Sachs Group Inc (The),20110707,Wells Fargo settles mortgage case for $125 million ,SAN FRANCISCO Wells Fargo & Co  has agreed to pay $125 million to settle a lawsuit over the sale of mortgage pass-through certificates  according to court documents.,normal
GS,Goldman Sachs Group Inc (The),20110707,Wells Fargo settles mortgage case for $125 mln , SAN FRANCISCO  July 7 Wells Fargo & Co  has agreed to pay $125 million to settle a lawsuit over the sale of mortgage pass-through certificates  according to court documents.,normal
GS,Goldman Sachs Group Inc (The),20110707,Dealtalk: Gulf Arab M&A eyes rebound as tensions ebb  oil gains ,DUBAI Gulf Arab bankers  hit by a dearth of deal flows so far in 2011  are hoping sovereign wealth funds will drive a second-half rebound powered by a buoyant oil price and an easing in political tensions.,normal
GS,Goldman Sachs Group Inc (The),20110707,DEALTALK-Gulf Arab M&A eyes rebound as tensions ebb  oil gains , * Outbound M&A deals seen rising in second half - bankers,normal
GS,Goldman Sachs Group Inc (The),20110707,Analysis: UBS review adds fuel to restructuring hopes ,LONDON/ZURICH UBS AG's admission that it may not reach profit goals and that new regulation has changed the game in investment banking is likely to fuel further doubts over its ambitions in fixed income  where it still trails rivals.,normal
GS,Goldman Sachs Group Inc (The),20110707,JP Morgan  Goldman among Loterias IPO co-ordinators , MADRID  July 7  Spain's state lottery LAE has hired Santander   BBVA   Goldman Sachs    UBS   JP Morgan and Credit Suisse  as global co-ordinators for its stock market listing  it said on Thursday.,normal
TV,Grupo Televisa SA,20110707,DIARY - Mexico and Central America - to July 30 , This diary is updated daily. All dates and times are provisional. The inclusion of diary items does not necessarily   mean that Reuters will file a story based on the event. _______________________________________________________________ DATE  LOCAL/GMT  MEXICO INDICATOR         PERIOD  F/CAST   PREV --------------------------------------------------------------- JUL07 0900/1400  12-month inflation         Jun   3.26 pct 3.25 pct JUL08 0900/1400  cenbank overnight rate     Jul   4.5 pct  4.5 pc,topStory
HAL,Halliburton Company,20110707,Analysis: Underdog Weatherford chases oilfield services pack ,SAN FRANCISCO As the smallest of the world's big four oilfield services players  Weatherford International  always seems to have something to prove.,topStory
HD,Home Depot Inc (The),20110707,UPDATE 1-Lumber Liquidators sees weak Q2  cuts FY11 outlook , * Shares fall 16 pct in pre-market trade   (Follows alerts),topStory
HMC,Honda Motor Company Ltd,20110707,US fuel efficiency in new cars falls for 3rd month , * Fuel efficiency on new US cars sold in June down 1.4 pct,topStory
HSBC,HSBC Holdings plc,20110707,NY Mets owners seek end to $1 billion Madoff lawsuit ,NEW YORK Owners of the New York Mets baseball team asked a federal judge on Thursday to dismiss the $1 billion lawsuit against them by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,topStory
HSBC,HSBC Holdings plc,20110707,UPDATE 2-NY Mets owners seek end to $1 bln Madoff lawsuit , * Hearing set for Aug. 19  (Adds details from filing  background on case  byline),normal
HSBC,HSBC Holdings plc,20110707,Dealtalk: Gulf Arab M&A eyes rebound as tensions ebb  oil gains ,DUBAI Gulf Arab bankers  hit by a dearth of deal flows so far in 2011  are hoping sovereign wealth funds will drive a second-half rebound powered by a buoyant oil price and an easing in political tensions.,normal
HSBC,HSBC Holdings plc,20110707,DEALTALK-Gulf Arab M&A eyes rebound as tensions ebb  oil gains , * Outbound M&A deals seen rising in second half - bankers,normal
HSBC,HSBC Holdings plc,20110707,CORRECTED-Blackstone to invest $34 mln in India's FINO , (Corrects investment amount  changes sourcing to company statament),normal
HSBC,HSBC Holdings plc,20110707,PRESS DIGEST - Hong Kong - July 7 , HONG KONG  July 7 These are some of the leading stories in Hong Kong newspapers on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSEA,HSBC Holdings plc,20110707,NY Mets owners seek end to $1 billion Madoff lawsuit ,NEW YORK Owners of the New York Mets baseball team asked a federal judge on Thursday to dismiss the $1 billion lawsuit against them by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,topStory
HSEA,HSBC Holdings plc,20110707,UPDATE 2-NY Mets owners seek end to $1 bln Madoff lawsuit , * Hearing set for Aug. 19  (Adds details from filing  background on case  byline),normal
HSEA,HSBC Holdings plc,20110707,Dealtalk: Gulf Arab M&A eyes rebound as tensions ebb  oil gains ,DUBAI Gulf Arab bankers  hit by a dearth of deal flows so far in 2011  are hoping sovereign wealth funds will drive a second-half rebound powered by a buoyant oil price and an easing in political tensions.,normal
HSEA,HSBC Holdings plc,20110707,DEALTALK-Gulf Arab M&A eyes rebound as tensions ebb  oil gains , * Outbound M&A deals seen rising in second half - bankers,normal
HSEA,HSBC Holdings plc,20110707,CORRECTED-Blackstone to invest $34 mln in India's FINO , (Corrects investment amount  changes sourcing to company statament),normal
HSEA,HSBC Holdings plc,20110707,PRESS DIGEST - Hong Kong - July 7 , HONG KONG  July 7 These are some of the leading stories in Hong Kong newspapers on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
HSEB,HSBC Holdings plc,20110707,NY Mets owners seek end to $1 billion Madoff lawsuit ,NEW YORK Owners of the New York Mets baseball team asked a federal judge on Thursday to dismiss the $1 billion lawsuit against them by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,topStory
HSEB,HSBC Holdings plc,20110707,UPDATE 2-NY Mets owners seek end to $1 bln Madoff lawsuit , * Hearing set for Aug. 19  (Adds details from filing  background on case  byline),normal
HSEB,HSBC Holdings plc,20110707,Dealtalk: Gulf Arab M&A eyes rebound as tensions ebb  oil gains ,DUBAI Gulf Arab bankers  hit by a dearth of deal flows so far in 2011  are hoping sovereign wealth funds will drive a second-half rebound powered by a buoyant oil price and an easing in political tensions.,normal
HSEB,HSBC Holdings plc,20110707,DEALTALK-Gulf Arab M&A eyes rebound as tensions ebb  oil gains , * Outbound M&A deals seen rising in second half - bankers,normal
HSEB,HSBC Holdings plc,20110707,CORRECTED-Blackstone to invest $34 mln in India's FINO , (Corrects investment amount  changes sourcing to company statament),normal
HSEB,HSBC Holdings plc,20110707,PRESS DIGEST - Hong Kong - July 7 , HONG KONG  July 7 These are some of the leading stories in Hong Kong newspapers on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
IBN,ICICI Bank Limited,20110707,CORRECTED-Blackstone to invest $34 mln in India's FINO , (Corrects investment amount  changes sourcing to company statament),topStory
ITW,Illinois Tool Works Inc,20110707,DEALTALK-Charter's welding unit to attract U.S. rivals , * Bidding for Charter could rise to $2.6 bln - analysts,topStory
ITW,Illinois Tool Works Inc,20110707,Dealtalk: Charter's welding unit to attract U.S. rivals ,LONDON/BANGALORE Charter International   a UK-based industrial tools maker which last week rejected a $2 billion approach  is likely to be targeted by U.S. rivals attracted by the prospect of its welding tools business  the world's second-largest.,normal
ICE,Intercontinental Exchange Inc,20110707,Varney to step down as top antitrust official ,WASHINGTON Christine Varney  the top antitrust official in the U.S. Justice Department  is stepping down  the department said on Wednesday.,topStory
