ATVI,Activision Blizzard Inc,20111201,Borrowing from cable  game cos. seek subscribers ,NEW YORK Video game companies want to turn gamers from one-time purchasers into subscribers who generate a steady and predictable revenue stream to boost business and protect against economic uncertainty.,topStory
CVX,Chevron Corporation,20111201,Woods make solid start at windy Sherwood  Choi leads ,THOUSAND OAKS  California Tiger Woods put himself in position to end a victory drought of more than two years by moving into a tie for second place in Thursday's wind-buffeted first round at the Chevron World Challenge.,topStory
CVX,Chevron Corporation,20111201,UPDATE 4-Brazil ups pressure on Chevron with well closure ,RIO DE JANEIRO  Dec 1 Brazil's government ordered Chevron Corp to shut a well in an offshore field where it faces intense scrutiny following an accident at another well that spilled thousands of barrels of oil.,normal
CVX,Chevron Corporation,20111201,Brazil oil agency orders Chevron close a Frade well ,RIO DE JANEIRO  Dec 1 Brazil's oil regulator ordered Chevron to shutdown one of its 10 production wells in the oil major's Frade field  director of the regulator Magda Chambriard said on Thursday.,normal
CVX,Chevron Corporation,20111201,LA gasoline up on shut El Segundo crude unit-trade ,HOUSTON  Dec 1 Wholesale gasoline differentials climbed 5.75 cents a gallon in the Los Angeles market on Thursday morning after a crude distillation unit was shut overnight at Chevron Corp's 273 000 barrel-per-day (bpd) El Segundo  California  refinery  traders said.,normal
CVX,Chevron Corporation,20111201,Chevron reports power blip  shuts unit at El Segundo ,Dec 1 Chevron reported a power outage resulting in emissions early Thursday at its 265 500-barrels-per-day refinery in El Segundo  California  in a filing with state pollution regulators.,normal
C,Citigroup Inc,20111201,MOVES-Man Group  UBS  UniCredit  Citigroup ,Dec 1 The following financial service industry appointments were announced on Thursday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20111201,Metals analyst David Thurtell leaves Citi ,LONDON  Dec 1 Metals analyst David Thurtell has left Citigroup Inc  offices in Singapore amid a swathe of global job cuts by the investment bank  a source told Reuters.,normal
DAL,Delta Air Lines Inc,20111201,DEALTALK-AMR bankruptcy could spur more airline consolidation ,* AMR bankruptcy removes one potential hurdle toward deal,topStory
DB,Deutsche Bank AG,20111201,New Issue-Petrobras prices dual tranche deal-Leads ,Borrower                Petrobras International Finance Corp,topStory
DB,Deutsche Bank AG,20111201,UPDATE 1-Khazanah hires banks for unit's $1.5 bln IPO-sources ,* Deutsche  BofA-Merrill  CIMB hired for listing - sources,normal
DB,Deutsche Bank AG,20111201,Deutsche's BHF targets 10-15 pct pretax return-paper ,FRANKFURT  Dec 1 Deutsche Bank's  unit BHF is targeting a pretax return on total capital of 10-15 percent in the medium term to boost its appeal to suitors  a German paper cited a top executive as saying on Thursday.,normal
XOM,Exxon Mobil Corporation,20111201,UPDATE 1-Atlas Pipeline to provide services to ExxonMobil unit ,Dec 1 Atlas Pipeline Partners L.P.  said it would provide natural gas gathering and processing services to an ExxonMobil unit from the Woodford Shale to Velma processing facility in Oklahoma.,topStory
XOM,Exxon Mobil Corporation,20111201,UPDATE 1-Exxon's PNG LNG project on track for 2014 sales  costs up on FX ,Dec 1 ExxonMobil's Papua New Guinea liquefied natural gas project is facing a cost increase of over 4 percent to $15.7 billion due to the impact of a stronger Australian dollar on capital costs  Exxon's project partners said on Thursday.,normal
FDX,FedEx Corporation,20111201,Strong seasonal shopping lends UPS  FedEx holiday cheer ,* Lean brick and mortar inventories may need replenishing,topStory
F,Ford Motor Company,20111201,Brazil auto sales rise 16 pct in November - source ,* Anfavea automakers to report official numbers next week,topStory
GPS,Gap Inc (The),20111201,Google in talks to take on Amazon in retail: report ,Google Inc is pondering an Internet service to help consumers shop online and take advantage of same-day delivery  hoping to stanch the loss of Web traffic to Amazon.com Inc  the Wall Street Journal reported.,topStory
GPS,Gap Inc (The),20111201,Google in talks to take on Amazon in retail -WSJ ,Dec 2 Google Inc is pondering an Internet service to help consumers shop online and take advantage of same-day delivery  hoping to stanch the loss of Web traffic to Amazon.com Inc   the Wall Street Journal reported.,normal
GM,General Motors Company,20111201,Factories growing despite global slowdown ,NEW YORK U.S. factories shrugged off weakness in the global economy in November as manufacturing activity rose to its highest level in five months  a fresh sign the domestic economy was accelerating.,topStory
GM,General Motors Company,20111201,CORRECTED-BRIEF-General Motors of Canada November sales ,Dec 1 GM :   * General Motors of Canada Ltd-Chevrolet  Buick  GMC and Cadillac dealers delivered 17 951 vehicles in November,normal
GM,General Motors Company,20111201,GM may redesign Volt battery  CEO says ,NEW YORK General Motors Co may redesign the battery for its Chevrolet Volt to address issues raised after federal officials opened a safety probe into the plug-in electric car  GM's chief executive said on Thursday. | Video ,normal
GM,General Motors Company,20111201,Brazil auto sales rise 16 pct in November - source ,* Anfavea automakers to report official numbers next week,normal
GM,General Motors Company,20111201,UPDATE 2-GM may redesign Volt battery  CEO says ,NEW YORK  Dec 1 General Motors Co may redesign the battery for its Chevrolet Volt to address issues raised after federal officials opened a safety probe into the plug-in electric car  GM's chief executive said on Thursday.,normal
GM,General Motors Company,20111201,UPDATE 2-U.S. auto sales rise as confidence gains ,* Nissan sales up 19 pct  VW up 41 pct  Chrysler up 45 pct,normal
GM,General Motors Company,20111201,UPDATE 1-French November car sales drop 7.6 pct ,* French car registrations down 0.3 pct in first 11 months,normal
GIL,Gildan Activewear Inc,20111201,UPDATE 2-Gildan Q4 profit falls  forecasts Q1 loss ,Dec 1 Clothing maker Gildan Activewear Inc's fourth-quarter profit fell 14 percent hurt mainly by higher costs and it forecast a first-quarter loss on higher inventories and discounts.,topStory
GS,Goldman Sachs Group Inc (The),20111201,Goldman defies trend and sticks to bullish gas view ,LONDON  Dec 1 Goldman Sachs is increasingly lonely in a prediction of rising European gas prices next year  with other banks  analysts and utilities forecasting a glut of gas supplies in 2012.,topStory
GS,Goldman Sachs Group Inc (The),20111201,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  December 1  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	     ,normal
GS,Goldman Sachs Group Inc (The),20111201,European shares flat after strong debt sales ,LONDON  Dec 1 European shares were flat on Thursday  retaining strong gains from the previous session  with robust demand for a Spanish debt auction helping to ease fears about the euro zone debt crisis.,normal
HRB,H&R Block Inc,20111201,UPDATE 2-H&R Block Q2 loss widens on charges ,Dec 1 H&R Block Inc posted a wider quarterly loss on increased charges as the largest U.S. tax preparer winds down some of its operations to focus on its core tax business.,topStory
HRB,H&R Block Inc,20111201,Total to invest $200 mln in Sao Tome oil block ,SAO TOME  Dec 1 French oil group Total SA  will invest $200 million in 2012 drilling an oil block in a Joint Development Zone (JDZ) between Sao Tome and Nigeria  a Total executive said on Thursday.,normal
HMY,Harmony Gold Mining Company Limited,20111201,Harmony not selling S.Africa's Joel mine -paper ,JOHANNESBURG  Dec 1 Harmony Gold  the world's fifth-largest gold producer  is not planning to sell its Joel mine in South Africa  the Business Day newspaper reported on Thursday.,topStory
HPQ,HP Inc,20111201,UPDATE 1-India's MphasiS plans to use cash pile for buys ,* Scouts for buys across banking  capital markets  emerging technologies,topStory
HPQ,HP Inc,20111201,HP chief aims for software revenue leap - report ,FRANKFURT  Dec 1 Hewlett-Packard  wants to see a jump in revenues from its software business  the company's chief executive told German newspaper Frankfurter Allgemeine Zeitung.,normal
HPQ,HP Inc,20111201,India's MphasiS sees HP non-enterprise business to cross $100 mln in FY12 ,MUMBAI  Dec 1 Software and back-office services provider MphasiS   in which Hewlett Packard Co holds a majority stake  is expecting its HP non-enterprise business to cross $100 million in FY12  a top official said on Thursday.,normal
JPM,J P Morgan Chase & Co,20111201,CORRECTED - BofA's online banking executive moving to JPMorgan ,Dec 1 Bank of America Corp's head of online banking is leaving to become chief financial officer of rival JPMorgan Chase & Co's consumer banking unit.,topStory
JPM,J P Morgan Chase & Co,20111201,TABLE-Global manufacturing PMI at 49.6 in Nov ,Dec 1 Following are details of the JPMorgan Global Purchasing Managers' Index for November.	           PMI      Output   Orders   Jobs     Deliv    Stocks   Inp      New                                                                  Prcs     export  Oct        49.9     49.8     49.5     51.1     49.1     47.8     50.1     48.3  Nov        49.6     49.7     48.6     50.6     48.8     48.4     48.5     48.9     	     The indicator  produced by JPMorgan with research and supply  manag,normal
JPM,J P Morgan Chase & Co,20111201,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  December 1  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	     ,normal
KR,Kroger Company (The),20111201,UPDATE 3-Kroger profit beats estimates  lifts 2011 forecast ,Dec 1 Kroger Co   the biggest U.S. supermarket chain  raised its forecast for 2011 earnings  helped by strong sales increases at established stores.,topStory
KR,Kroger Company (The),20111201,Kroger profit beats estimates  lifts 2011 forecast ,Kroger Co   the biggest U.S. supermarket chain  raised its forecast for 2011 earnings  helped by strong sales increases at established stores.,normal
LAZ,Lazard Ltd,20111201,AMR pilots close to hiring Lazard for negotiations - WSJ ,Nov 30 American Airlines pilots' association is close to hiring Lazard Ltd to negotiate on their behalf during the U.S. airline's bankruptcy proceedings  the Wall Street Journal said  citing people familiar with the process.,topStory
LMT,Lockheed Martin Corporation,20111201,UPDATE 1-Lockheed still in "acquisition game" - CFO ,* Looking at possible moves into adjacent commercial areas,topStory
M,Macy&#39;s Inc,20111201,Google in talks to take on Amazon in retail: report ,Google Inc is pondering an Internet service to help consumers shop online and take advantage of same-day delivery  hoping to stanch the loss of Web traffic to Amazon.com Inc  the Wall Street Journal reported.,topStory
M,Macy&#39;s Inc,20111201,Google in talks to take on Amazon in retail -WSJ ,Dec 2 Google Inc is pondering an Internet service to help consumers shop online and take advantage of same-day delivery  hoping to stanch the loss of Web traffic to Amazon.com Inc   the Wall Street Journal reported.,normal
MCD,McDonald&#39;s Corporation,20111201,McDonald's toy sale skirts Happy Meal restrictions ,McDonald's Corp is skirting a new San Francisco law that aims to curb toy giveaways in sugar- and fat-laden restaurant meals for children by selling its popular Happy Meal toys for 10 cents each.,topStory
MCD,McDonald&#39;s Corporation,20111201,McDonald's toy sale skirts Happy Meal restrictions ,* McDonald's skirts law with 10-cent Happy Meal toy sales,normal
MDT,Medtronic plc,20111201,Boston Sci stent vulnerable to deformation-study ,* Medtronic's Driver stent also vulnerable to deformation,topStory
MCO,Moody&#39;s Corporation,20111201,UPDATE 1-Moody's lowers Czech bank system outlook to negative ,PRAGUE  Dec 1 Moody's rating agency lowered its outlook on the Czech banking system to negative from stable on Thursday due to an expected economic slowdown in Europe that will raise pressure on asset quality and profitability.,topStory
MCO,Moody&#39;s Corporation,20111201,BRIEF: Moody's says Australian banking system stable  but challenges apparent ,SYDNEY  Dec 1 Moody's investor service said on Thursday it maintained its stable outlook for Australia's banking system  but said challenges will continue citing possible contagion from the European debt crisis.,normal
MOV,Movado Group Inc,20111201,UPDATE 2-Movado raises FY outlook  shares up ,* Sees FY adj EPS $0.93-$0.98  up from $0.60-$0.65 earlier,topStory
NOV,National Oilwell Varco Inc,20111201,National Oilwell sees good int'l onshore market-CEO ,HOUSTON  Dec 1 Demand for drilling rigs in onshore international markets is growing and may well be a surprise source of growth for the industry next year  the chief executive of National Oilwell Varco Inc told investors on Thursday.,topStory
PFE,Pfizer Inc,20111201,Walgreen  others sue Pfizer over depression drug ,Pfizer Inc and Teva Pharmceutical Industries Ltd were sued by Walgreen Co and four other large retailers  accused of violating U.S. antitrust law by conspiring to keep generic versions of a popular antidepressant off the shelves.,topStory
PFE,Pfizer Inc,20111201,Walgreen  others sue Pfizer over depression drug ,Dec 1 Pfizer Inc and Teva Pharmceutical Industries Ltd  were sued by Walgreen Co and four other large retailers  accused of violating U.S. antitrust law by conspiring to keep generic versions of a popular antidepressant off the shelves.,normal
PFE,Pfizer Inc,20111201,Senators seek details of Pfizer Lipitor deals ,WASHINGTON Three leading U.S. senators are inquiring into drugmaker Pfizer Inc's efforts to limit the sale of generic versions of its Lipitor cholesterol drug  which lost U.S. patent protection on Wednesday.,normal
PFE,Pfizer Inc,20111201,UPDATE 2-U.S. senators seek details of Pfizer Lipitor deals ,WASHINGTON  Dec 1 Three leading U.S. senators are inquiring into drugmaker Pfizer Inc's  efforts to limit the sale of generic versions of its Lipitor cholesterol drug  which lost U.S. patent protection this week.,normal
PFE,Pfizer Inc,20111201,Teva plans to introduce Lipitor generic in May ,Dec 1 Israeli drugmaker Teva Pharmaceutical Industries Ltd said U.S. regulators granted tentative approval to its generic form of Pfizer Inc's Lipitor cholesterol fighter and it plans to introduce it in May.,normal
PFE,Pfizer Inc,20111201,US senators seek details of Pfizer Lipitor deals ,WASHINGTON  Dec 1 Three leading U.S. senators are inquiring into drugmaker Pfizer Inc's deals with pharmacy benefits companies to limit the sale of generic rivals to cholesterol drug Lipitor  which lost U.S. patent protection this week.,normal
PFE,Pfizer Inc,20111201,Pfizer aims to keep one-third of Lipitor pie ,As cholesterol fighter Lipitor goes generic  its maker Pfizer Inc is hoping to hold onto perhaps a third of the 3 million Americans who take the biggest-selling drug of all time.,normal
PFE,Pfizer Inc,20111201,FDA confirms nod for Ranbaxy's generic Lipitor ,The U.S. Food and Drug Administration confirmed on Wednesday that it had given approval to Ranbaxy Laboratories Ltd to make the first generic version of the cholesterol-lowering drug Lipitor.,normal
PFE,Pfizer Inc,20111201,UPDATE 1-US FDA confirms nod for Ranbaxy's generic Lipitor ,* Ranbaxy generic Lipitor to be made at OHM Labs in NJ-FDA,normal
PAA,Plains All American Pipeline LP,20111201,BP sells Canadian natgas liquids unit to Plains ,BP Plc  has agreed to sell its Canadian natural gas liquids business to Plains All American Pipeline  for $1.67 billion as part of an effort to raise $45 billion to pay for its Gulf of Mexico oil spill in 2010.,topStory
PAA,Plains All American Pipeline LP,20111201,UPDATE 3-BP sells Canadian natgas liquids unit to Plains ,Dec 1 BP Plc has agreed to sell its Canadian natural gas liquids business to Plains All American Pipeline for $1.67 billion as part of an effort to raise $45 billion to pay for its Gulf of Mexico oil spill in 2010.,normal
PAA,Plains All American Pipeline LP,20111201,UPDATE 1-Western Refining to sell assets for $220 mln ,Dec 1 Western Refining Inc said it will sell two of its facilities in Virginia and a segment of its crude oil pipeline in New Mexico for $220 milion to the subsidiaries of Plains All American Pipeline.,normal
PVH,PVH Corp,20111201,UPDATE 2-PVH sees Tommy Hilfiger  Calvin Klien spurring growth ,Dec 1 PVH Corp expects the growing popularity of its Tommy Hilfiger and Calvin Klien brands in international markets to help it outperform estimates in the holiday quarter.	     Clothier PVH's third-quarter results trumped Wall Street estimates  prompting it to raise its full-year earnings outlook.	     The company expects significant growth in the United Kingdom  France  the Middle East and Russia in the fourth quarter.      	  KEY POINTS:  Q3 2011     I/B/E/S      Q3 2010  Revenue ,topStory
RIO,Rio Tinto Plc,20111201,Rio Tinto completes divestment of Colowyo mine ,SYDNEY  Dec 2 Rio Tinto said on Friday it has completed the sale of the Colowyo Mine  a thermal coal mine in Western Colorado to Western Fuels-Colorado LLC.,topStory
RIO,Rio Tinto Plc,20111201,UPDATE 1-Rio Tinto to invest $2.7 bln more in Canada smelter ,Dec 1 Global miner Rio Tinto   said it would invest an additional $2.7 billion to modernise its Kitimat aluminium smelter in Canada's British Columbia.,normal
RIO,Rio Tinto Plc,20111201,China boom turns Australia upside-down ,PERTH  Australia - The rise of a resource-hungry China to economic superpower status has stoked the greatest boom West Australia has ever seen. Two years ago  Kevin Hammer decided to pursue a piece of the action.,normal
RIO,Rio Tinto Plc,20111201,Rio Tinto bid succeeds for uranium prospector Hathor ,SYDNEY Rio Tinto   on Thursday said it had succeeded in its takeover bid for Canadian uranium prospector Hathor  and extended its offer by 10 days until December 12 to mop up remaining outstanding shares.,normal
RIO,Rio Tinto Plc,20111201,Rio Tinto bid succeeds for uranium prospector Hathor ,SYDNEY  Dec 1 Rio Tinto   on Thursday said it had succeeded in its takeover bid for Canadian uranium prospector Hathor and extended its offer by 10 days until Dec. 12 to mop up remaining outstanding shares.,normal
SEMG,Semgroup Corporation,20111201,UPDATE 1-Rose Rock Midstream sees IPO priced at $19-$21/unit ,* Intends to use proceeds to make a cash distribution to SemGroup,topStory
S,Sprint Corporation,20111201,UPDATE 5-Sprint offers Clearwire $1.6 bln "lifeline" ,NEW YORK  Dec 1 Sprint Nextel Corp   the No. 3 U.S. mobile provider  agreed to pay up to $1.6 billion to Clearwire Corp in the next four years  easing concerns about a liquidity crisis at Clearwire.,topStory
S,Sprint Corporation,20111201,Senator demands privacy info from software firm ,Senator Al Franken asked software maker Carrier IQ to respond to claims by an independent security researcher that its products collect and transmit potentially sensitive data about millions of mobile phone users.,normal
S,Sprint Corporation,20111201,US senator demands privacy info from software firm ,Dec 1 U.S. Senator Al Franken asked software maker Carrier IQ to respond to claims by an independent security researcher that its products collect and transmit potentially sensitive data about millions of mobile phone users.,normal
S,Sprint Corporation,20111201,Clearwire soars as Sprint eases liquidity concerns ,NEW YORK Sprint Nextel Corp  the No. 3 U.S. mobile provider  agreed to pay up to $1.6 billion to Clearwire Corp in the next four years  including a network pact and a potential equity infusion  easing concerns about a liquidity crisis at Clearwire.,normal
STO,Statoil ASA,20111201,UPDATE 1-Statoil looking for more Texas shale - executive ,HOUSTON  Dec 1 Norway's Statoil ASA  would like to add to its acreage position in the Eagle Ford Shale in South Texas as it looks to grow its unconventional oil and gas position in North America  an executive said on Thursday.,topStory
STO,Statoil ASA,20111201,Statoil gets nearly 88 pct of Brigham in bid ,OSLO  Dec 1 Statoil has been tendered more than 87.7 percent of the outstanding shares of Brigham Exploration  giving the Norwegian company a boost in its efforts to expand its unconventional energy resources in the United States.,normal
SU,Suncor Energy  Inc,20111201,Colorado petroleum spill is contained: U.S. EPA ,HOUSTON A petroleum spill near Suncor Energy's Denver-area refinery has been contained and does not come from the Canadian tar sands  the U.S. Environmental Protection Agency said on Thursday.,topStory
SU,Suncor Energy  Inc,20111201,UPDATE 2-Suncor says leak from Colorado oil refinery contained ,* Firm says leak has been contained  source not identified,normal
SUN,Sunoco LP,20111201,UPDATE 1-Sunoco to idle Marcus Hook refinery indefinitely ,NEW YORK  Dec 1 Sunoco Inc said on Thursday it plans to immediately shut down its 178 000 barrel per day refinery in Marcus Hook  Pennsylvania ahead of a July 2012 deadline as regional profit margins outlooks remain glum.,topStory
SUN,Sunoco LP,20111201,Sunoco reports disc failure at Markus Hook refinery ,Dec 1 Sunoco Inc reported a ruptured disc failure on an ethylene rail car on the Delaware side of its 178 000 barrel-per-day Marcus Hook  Pennsylvania  refinery on Sunday  according to a filing with state pollution regulators.,normal
TEVA,Teva Pharmaceutical Industries Limited,20111201,U.S. court rejects Teva appeal on cholesterol drug ,Dec 1 A federal appeals court refused on Thursday to revive Teva Pharmaceutical Industries Ltd's patent infringement suit against AstraZeneca Pharmaceuticals LP for the rights to Crestor  a multibillion-dollar cholesterol fighter.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20111201,Court rejects Teva appeal over cholesterol drug Crestor ,A federal appeals court on Thursday refused to revive Teva Pharmaceutical Industries Ltd's patent infringement suit against AstraZeneca Pharmaceuticals LP for the rights to Crestor  a multibillion-dollar cholesterol fighter.,normal
TEVA,Teva Pharmaceutical Industries Limited,20111201,Teva plans to introduce Lipitor generic in May ,Dec 1 Israeli drugmaker Teva Pharmaceutical Industries Ltd said U.S. regulators granted tentative approval to its generic form of Pfizer Inc's Lipitor cholesterol fighter and it plans to introduce it in May.,normal
BX,The Blackstone Group LP,20111201,Blackstone  Bain plan Yahoo bid: source ,NEW YORK Blackstone Group and Bain Capital are preparing a bid for all of Yahoo Inc with Asian partners in a deal that could value the Internet company at about $25 billion  a source familiar with the matter said on Wednesday.,topStory
BX,The Blackstone Group LP,20111201,UPDATE 3-Blackstone  Bain eye $25 billion Yahoo deal-source ,* Offer could value Yahoo at more than $20 a share-source,normal
BX,The Blackstone Group LP,20111201,Blackstone  Bain mull Yahoo bid  -- source ,NEW YORK  Nov 30 A consortium led by Blackstone Group LP and Bain Capital is working on a bid for all of Yahoo Inc that could value the U.S. Internet company at more than $20 per share  a source familiar with the matter said on Wednesday.,normal
TD,Toronto Dominion Bank (The),20111201,TD  CIBC top estimates  but outlook pressures shares ,TORONTO Quarterly results from Canadian Imperial Bank of Commerce  and Toronto-Dominion Bank  gave Canadian bank earnings season a strong start on Thursday  but the shares of the two banks fell on concerns that their healthy lending and trading revenues could soon dwindle.,topStory
TOT,Total SA,20111201,Total to invest $200 mln in Sao Tome oil block ,SAO TOME  Dec 1 French oil group Total SA  will invest $200 million in 2012 drilling an oil block in a Joint Development Zone (JDZ) between Sao Tome and Nigeria  a Total executive said on Thursday.,topStory
TM,Toyota Motor Corp Ltd Ord,20111201,Toyota shores up Europe diesel with BMW deal ,TOKYO/FRANKFURT Toyota Motor Corp is teaming up with BMW AG in green car technology in a deal also aimed at shoring up the Japanese firm's European diesel car line-up just two years after a strategic shift away from diesel.,topStory
TM,Toyota Motor Corp Ltd Ord,20111201,UPDATE 5-Toyota shores up Europe diesel with BMW deal ,* Toyota  BMW to jointly develop electric vehicle batteries,normal
TM,Toyota Motor Corp Ltd Ord,20111201,Toyota  BMW join hands on green technology ,TOKYO/FRANKFURT Toyota Motor Corp and BMW AG agreed on Thursday to join hands on a broad range of environmental technologies  forging a partnership between two engineering stalwarts in the increasingly competitive auto industry.,normal
TM,Toyota Motor Corp Ltd Ord,20111201,Toyota  BMW say to jointly develop green technology ,TOKYO  Dec 1 Toyota Motor Corp  and BMW AG said on Thursday they would work together on a broad range of advanced environmental car technologies including the joint development of lithium-ion batteries for electric vehicles.,normal
TM,Toyota Motor Corp Ltd Ord,20111201,TABLE-Japan non-mini auto sales up 24.1 pct y/y in Nov ,TOKYO  Dec 1 Automobile sales in Japan  excluding 660cc minivehicles  rose 24.1 percent in November from a year earlier to 252 236 vehicles  the Japan Automobile Dealers Association said on Thursday.	     Sales at top-ranked Toyota Motor Corp  excluding the Lexus brand  rose 24.2 percent  while Nissan Motor Co  rose 25.4 percent and Honda Motor Co  gained 1.5 percent.	      The following is a sales breakdown  with percentage changes from a year earlier  for November:	  	  TOTAL      ,normal
TKC,Turkcell Iletisim Hizmetleri AS,20111201,Turkcell to guarantee $147 mln financing for unit ,ISTANBUL  Dec 1 Turkey's biggest mobile phone company Turkcell said on Thursday it will be a guarantor for financing of up to $147.3 million for its unit Financell B.V..	 	  (Reporting by Seda Sezer),topStory
PAY,Verifone Systems Inc,20111201,Text-S&P removes Verifone BB- unsecd covert nts from watch ,SAN FRANCISCO (Standard & Poor's) Dec. 1  2011--Standard & Poor's Ratings Services said today that it removed its 'BB-' issue rating on VeriFone Systems Inc.'s existing $316 million unsecured convertible notes  of which $277 million is outstanding  from CreditWatch  where it was placed with negative implications on Nov. 15  2011. The unsecured convertible notes are expected to be repaid in June 2012 as part of the company's proposed $1.7 billion refinancing and acquisition of Point International,topStory
WMT,Wal-Mart Stores Inc,20111201,CORRECTED - REFILE-Wal-Mart launches social shopping app ,SAN FRANCISCO  Nov 30 Wal-Mart Stores Inc   the world's largest retailer  unveiled a new social-networking application late on Wednesday  in a move to latch onto one of the hottest trends in e-commerce.,topStory
DIS,Walt Disney Company (The),20111201,Disney CEO Iger buys $1 million worth of Apple stock ,Apple Inc's newest board member  Walt Disney Co Chief Executive Officer Bob Iger  bought about $1 million worth of the iPhone maker's shares earlier this week  a symbolic gesture of confidence in the prospects of the company.,topStory
DIS,Walt Disney Company (The),20111201,Disney CEO Iger buys $1 mln worth of Apple stock ,Dec 1 Apple Inc's newest board member  Walt Disney Co Chief Executive Officer Bob Iger  bought about $1 million worth of the iPhone maker's shares earlier this week  a symbolic gesture of confidence in the prospects of the company.,normal
