ALIM,Alimera Sciences Inc,20160216,DEALTALK-Market turmoil drives small biotechs to big pharma ,Feb 16 Numerous small biotechnology companies have been all but shut out of the capital markets  leaving many with no choice but to consider a sale to larger peers.,normal
GS,Goldman Sachs Group Inc (The),20160216,Expect more share buybacks at Goldman  Morgan Stanley: JP Morgan ,Goldman Sachs Group Inc  and Morgan Stanley  are expected to buy back about 15 percent of their outstanding shares over the next three years  analysts at JP Morgan Securities said  citing their strong capital positions.,topStory
HLF,Herbalife LTD,20160216,Stiritz cuts stake in Herbalife to 5.2 percent: filing ,BOSTON William Stiritz  one of the largest investors in Herbalife Ltd   cut his stake in the nutrition and weight loss company to 5.2 percent  down from 8.2 percent  according to a regulatory filing on Tuesday.,topStory
HLF,Herbalife LTD,20160216,UPDATE 1-Stiritz cuts stake in Herbalife to 5.2 pct -filing ,BOSTON  Feb 16 William Stiritz  one of the largest investors in Herbalife Ltd  cut his stake in the nutrition and weight loss company to 5.2 percent  down from 8.2 percent  according to a regulatory filing on Tuesday.,normal
HLF,Herbalife LTD,20160216,William Stiritz cuts stake in Herbalife to 5.2 pct - filing ,BOSTON  Feb 16 William Stiritz  one of the largest investors in Herbalife Ltd  cut his stake the nutrition and weight loss company to 5.2 percent of the company  down from 8.2 percent  according to a new regulatory filing made on Tuesday.,normal
HUM,Humana Inc,20160216,Aetna gets Florida insurance regulator's approval for Humana deal ,Health insurer Aetna Inc  said on Monday Florida's insurance regulator approved its acquisition of Humana Inc .,topStory
HUM,Humana Inc,20160216,Aetna gets Florida insurance regulator's approval for Humana deal ,Feb 15 Health insurer Aetna Inc said on Monday Florida's insurance regulator approved its acquisition of Humana Inc.,normal
H,Hyatt Hotels Corporation,20160216,Hyatt Hotels  Vietnam's Thai Group sign $165 mln hotel deal-govt ,HANOI  Feb 16 Hyatt Hotels Corp and Vietnam's unlisted Thai Group have agreed to build a $165-million Park Hyatt hotel project in Hanoi  the Vietnamese government said on Tuesday.,topStory
IBM,International Business Machines Corporation,20160216,N.Y. stockbrokers' trades on IBM deal tip not illegal  jurors told ,NEW YORK Lawyers for two former Wall Street stockbrokers urged jurors on Tuesday to reject a U.S. regulator's claims they illicitly traded on a tip about an IBM Corp deal  saying their conduct did not constitute illegal insider trading.,topStory
IBM,International Business Machines Corporation,20160216,N.Y. stockbrokers' trades on IBM deal tip not illegal  jurors told ,NEW YORK Lawyers for two former Wall Street stockbrokers urged jurors on Tuesday to reject a U.S. regulator's claims they illicitly traded on a tip about an IBM Corp deal  saying their conduct did not constitute illegal insider trading.,normal
IBM,International Business Machines Corporation,20160216,N.Y. stockbrokers' trades on IBM deal tip not illegal  jurors told ,NEW YORK  Feb 16 Lawyers for two former Wall Street stockbrokers urged jurors on Tuesday to reject a U.S. regulator's claims they illicitly traded on a tip about an IBM Corp deal  saying their conduct did not constitute illegal insider trading.,normal
KMI,Kinder Morgan Inc,20160216,Buffett's Berkshire raises oil bet with Kinder Morgan stake ,Warren Buffett's Berkshire Hathaway Inc  on Tuesday disclosed a new investment in pipeline operator Kinder Morgan Inc   boosting its bet on the oil industry as crude prices hover near 12-year lows.,topStory
KMI,Kinder Morgan Inc,20160216,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake ,Feb 16 Warren Buffett's Berkshire Hathaway Inc  on Tuesday disclosed a new investment in pipeline operator Kinder Morgan Inc  boosting its bet on the oil industry as crude prices hover near 12-year lows.,normal
KMI,Kinder Morgan Inc,20160216,Berkshire boosts oil bet with Kinder Morgan stake ,Feb 16 Warren Buffett's Berkshire Hathaway Inc  on Tuesday disclosed a new investment in pipeline operator Kinder Morgan Inc  boosting its bet on the oil industry as prices hover near lows not seen in more than a decade.,normal
LL,Lumber Liquidators Holdings Inc,20160216,Lumber Liquidators CEO diagnosed with leukemia ,Hardwood flooring retailer Lumber Liquidators Holdings Inc's chief executive  John Presley  said on Tuesday he had been diagnosed with leukemia.,topStory
LL,Lumber Liquidators Holdings Inc,20160216,Lumber Liquidators CEO diagnosed with leukemia ,Feb 16 Hardwood flooring retailer Lumber Liquidators Holdings Inc's chief executive  John Presley  said on Tuesday he had been diagnosed with leukemia.,normal
MBI,MBIA Inc,20160216,HIGHLIGHTS-Hedge funds pile into SunEdison shares ahead of plunge ,NEW YORK/BOSTON  Feb 16 Top U.S. hedge fund management firms  including Visium Asset Management  took stakes in embattled renewable energy company SunEdison Inc  during the fourth quarter.,normal
MCK,McKesson Corporation,20160216,EU mergers and takeovers (Feb 16) ,BRUSSELS  Feb 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
MRK,Merck & Company Inc,20160216,Merck says U.S. FDA reject its claim that Zetia and Vytorin cut heart risk ,Feb 15 Drugmaker Merck & Co Inc said the U.S. Food and Drug Administration declined to approve its claim that cholesterol-lowering drugs Zetia and Vytorin reduce the risk of heart attacks and strokes in patients with coronary heart disease.,topStory
MS,Morgan Stanley,20160216,HIGHLIGHTS-Top U.S. hedge funds bet on Morgan Stanley and AIG ,NEW YORK/BOSTON  Feb 16 Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC  took new positions in Morgan Stanley during the fourth quarter  ahead of the bank's cost-cutting measures and bond-management reshuffling.,topStory
MS,Morgan Stanley,20160216,Expect more share buybacks at Goldman  Morgan Stanley: JP Morgan ,Goldman Sachs Group Inc  and Morgan Stanley  are expected to buy back about 15 percent of their outstanding shares over the next three years  analysts at JP Morgan Securities said  citing their strong capital positions.,normal
NBR,Nabors Industries Ltd,20160216,Nabors Industries posts smaller quarterly loss ,Feb 16 Contract driller Nabors Industries Ltd  posted a smaller quarterly loss compared with a year earlier  when it had taken a $1.01 billion impairment charge.,topStory
NSC,Norfolk Souther Corporation,20160216,CP seeks order from regulator on deal structure for Norfolk buy ,Canadian Pacific Railway Ltd   said it would seek an order from the U.S. federal rail regulator confirming the viability of a complex deal structure that it intends to use in its proposed takeover of Norfolk Southern Corp .,topStory
NSC,Norfolk Souther Corporation,20160216,CP seeks order from regulator on deal structure for Norfolk buy ,Feb 16 Canadian Pacific Railway Ltd   said it would seek an order from the U.S. federal rail regulator confirming the viability of a complex deal structure that it intends to use in its proposed takeover of Norfolk Southern Corp.,normal
NOC,Northrop Grumman Corporation,20160216,U.S. agency rejects Boeing protest of Northrop bomber contract ,WASHINGTON A U.S. government agency on Tuesday rejected a protest filed by Boeing Co and Lockheed Martin Corp against a multibillion-dollar bomber contract awarded to Northrop Grumman Corp by the U.S. Air Force in October.,topStory
NOC,Northrop Grumman Corporation,20160216,U.S. GAO denies Boeing protest of Northrop's bomber contract ,WASHINGTON  Feb 16 The U.S. Government Accountability Office on Tuesday said it had denied a protest filed by Boeing Co and Lockheed Martin Corp  against an $80 billion contract for a new bomber awarded to Northrop Grumman Corp by the U.S. Air Force.,normal
ORAN,Orange,20160216,Orange CEO sees potential Bouygues' stake in 10-15 pct range ,PARIS  Feb 16 Bouygues' potential stake in French telecoms operator Orange would be around 10 to 15 percent if both groups reach an agreement on the sale of Bouygues' telecom unit  Orange Chief Executive Officer Stephane Richard said on Tuesday.,topStory
ORAN,Orange,20160216,Orange CEO says has no plans to merge with Telecom Italia ,PARIS  Feb 16 French telecoms operator Orange  has no plans to merge with Telecom Italia  Orange Chief Executive Officer Stephane Richard said on Tuesday.,normal
ORAN,Orange,20160216,BRIEF-Orange CEO says Bouygues Telecom deal wouldn't lead to market repair ,* Says potential deal with Bouygues Telecom would not lead to a market repair  Further company coverage:    (Reporting by Paris Newsroom),normal
ORAN,Orange,20160216,BRIEF-Orange CEO says needs several quarters of growth to raise dividend ,* Says Orange needs several consecutive quarters of growth of its EBITDA to be able to consider increasing its dividend,normal
ORAN,Orange,20160216,Orange forecasts return to core profit growth  pursues Bouygues talks ,PARIS France's biggest telecoms operator  Orange  said labor cost cuts and stable revenue helped it return to core profit growth a year earlier than planned in 2015  and forecast a further rise in 2016.,normal
ORAN,Orange,20160216,UPDATE 1-Orange forecasts return to core profit growth  pursues Bouygues talks ,PARIS  Feb 16 France's biggest telecoms operator  Orange  said labour cost cuts and stable revenue helped it return to core profit growth a year earlier than planned in 2015  and forecast a further rise in 2016.,normal
ORAN,Orange,20160216,European Factors to Watch-Futures rise  Vodafone and Liberty seal deal ,LONDON  Feb 16 European equity futures rose on Tuesday  tracking gains in Asian equities while telecoms stocks could again come into focus after a deal between British phone network operator Vodafone Plc and John Malone's cable company Liberty Global Plc.,normal
ORAN,Orange,20160216,European Factors to Watch-Futures rise  Vodafone and Liberty seal deal ,LONDON  Feb 16 European equity futures rose on Tuesday  tracking gains in Asian equities while telecoms stocks could again come into focus after a deal between British phone network operator Vodafone Plc and John Malone's cable company Liberty Global Plc.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160216,Brazil Senate may vote to cut Petrobras subsalt preference on Wednesday ,BRASILIA  Feb 16 Brazil's Senate may soon vote on a bill ending state-led oil company Petrobras' obligation to run all new development and pay at least 30 percent of the costs of all new offshore development in the Subsalt Polygon oil region  Renan Calheiros  the Senate's president  said on Tuesday.,topStory
PFE,Pfizer Inc,20160216,Pfizer unit to pay $784.6 mln in Medicaid rebate settlement ,Pfizer Inc said its Wyeth unit has agreed to pay $784.6 million to settle cases related to the calculation of Medicaid rebates for a gastric drug between 2001 and 2006.,topStory
PFE,Pfizer Inc,20160216,Pfizer unit to pay $784.6 mln in Medicaid rebate settlement ,Pfizer Inc said its Wyeth unit has agreed to pay $784.6 million to settle cases related to the calculation of Medicaid rebates for a gastric drug between 2001 and 2006.,normal
PFE,Pfizer Inc,20160216,UPDATE 1-Pfizer unit to pay $784.6 mln in Medicaid rebate settlement ,Feb 16 Pfizer Inc said its Wyeth unit has agreed to pay $784.6 million to settle cases related to the calculation of Medicaid rebates for a gastric drug between 2001 and 2006.,normal
PFE,Pfizer Inc,20160216,CORRECTED-Pfizer unit to pay $784.6 mln in Medicaid rebate settlement ,Feb 16 Pfizer Inc said its Wyeth unit has agreed to pay $784.6 million to settle cases related to the calculation of Medicaid rebates for a drug between 2001 and 2006.,normal
PJT,PJT Partners Inc,20160216,Kenya Airways picks PJT Partners to advise on capital-raising ,NAIROBI  Feb 16 Kenya Airways has selected U.S. investment banking firm PJT Partners to advise on long-term capital-raising and the restructuring of its balance sheet  as it seeks to secure its survival after a long period of losses.,topStory
POST,Post Holdings Inc,20160216,Stiritz cuts stake in Herbalife to 5.2 percent: filing ,BOSTON William Stiritz  one of the largest investors in Herbalife Ltd   cut his stake in the nutrition and weight loss company to 5.2 percent  down from 8.2 percent  according to a regulatory filing on Tuesday.,topStory
PG,Procter & Gamble Company (The),20160216,EU mergers and takeovers (Feb 16) ,BRUSSELS  Feb 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
PG,Procter & Gamble Company (The),20160216,EU clears Coty acquisition of P&G beauty businesses ,BRUSSELS  Feb 16 The European Commission said on Tuesday it had approved Coty Inc's planned acquisition of Procter & Gamble's beauty products businesses by Coty after concluding the market competition would remain sufficiently strong.,normal
QSR,Restaurant Brands International Inc,20160216,Burger King  Tim Hortons owner says 2016 off to a great start ,Restaurant Brands International Inc   said it was off to a "great start" this year  after new product launches at its Burger King and Tim Hortons chains in 2015 helped boost sales in a highly competitive market.,topStory
QSR,Restaurant Brands International Inc,20160216,CANADA STOCKS-Futures rise on higher oil prices ,Feb 16 Stock futures pointed to a higher opening for Canada's main stock index on Tuesday as oil prices rose after four of the world's largest producers agreed to freeze output.,normal
QSR,Restaurant Brands International Inc,20160216,Burger King/Tim Hortons owner posts fourth-quarter profit ,Restaurant Brands International Inc    the owner of Burger King and Tim Hortons  reported a fourth-quarter profit  compared with a loss a year earlier  helped by strong demand for products such as Nutella pockets  grilled wraps and chicken fries.,normal
QSR,Restaurant Brands International Inc,20160216,Burger King/Tim Hortons owner posts fourth-quarter profit ,Restaurant Brands International Inc    the owner of Burger King and Tim Hortons  reported a fourth-quarter profit  compared with a loss a year earlier  helped by strong demand for products such as Nutella pockets  grilled wraps and chicken fries.,normal
QSR,Restaurant Brands International Inc,20160216,Burger King/Tim Hortons owner posts fourth-quarter profit ,Feb 16 Restaurant Brands International Inc    the owner of Burger King and Tim Hortons  posted a fourth-quarter profit  compared with year-ago loss  on strong demand for products such as Nutella pockets  grilled wraps and chicken fries.,normal
SYK,Stryker Corporation,20160216,UPDATE 2-Stryker expands ambulance services with Physio-Control buy ,* This year to be more active in terms of deals-Stryker CEO   (Adds background about companies  shares and details from conference call),topStory
SYK,Stryker Corporation,20160216,Medical device maker Stryker to buy Physio-Control for $1.28 bln ,Feb 16 Medical device maker Stryker Corp  said it would buy Physio-Control International Inc for $1.28 billion in cash to expand its emergency medical services business.,normal
SYF,Synchrony Financial,20160216,Soros Fund Management takes stake in consumer lender Synchrony Financial: filing ,NEW YORK Soros Fund Management  the team investing billionaire George Soros' fortune  is betting big on consumer finance by taking a large position in Synchrony Financial   according to a U.S. securities filing on Tuesday.,topStory
SYF,Synchrony Financial,20160216,Soros Fund Management takes stake in consumer lender Synchrony Financial - filing ,NEW YORK  Feb 16 Soros Fund Management  the team investing billionaire George Soros' fortune  is betting big on consumer finance by taking a large position in Synchrony Financial  according to a U.S. securities filing on Tuesday.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160216,BRIEF-Taiwan's TSMC orders equipment for T$554 mln ,* Says orders equipment from Tokyo Electron Ltd for T$554 million  ($16.71 million),topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160216,Taiwan stocks extend gains; TSMC leads ,Feb 16 Taiwan stocks rose on Tuesday and headed for their second straight session of gains  with TSMC  leading other heavyweights higher even after the world's top contract chipmaker posted a fall in its January sales.,normal
TI,Telecom Italia SPA,20160216,Telecom Italia pursuing voluntary redundancy for 3 300 workers in Italy ,MILAN  Feb 16 Telecom Italia is targeting early voluntary redundancies for around 3 300 workers in Italy and aims to cut an additional 250 staff as it seeks to cut costs  it said on Tuesday in its business plan to 2018.,topStory
TI,Telecom Italia SPA,20160216,BRIEF-Conditions not right for Telecom Italia saving share conversion - CEO ,Feb 16 Telecom Italia CEO Marco Patuano tells journalists in London:,normal
TI,Telecom Italia SPA,20160216,BRIEF-Telecom Italia CEO says has Vivendi support for business plan ,Feb 16 Telecom Italia CEO Marco Patuano tells journalists in London:,normal
TI,Telecom Italia SPA,20160216,BRIEF-Telecom Italia CEO sees progress on INWIT stake sale in 4-6 weeks ,Feb 16 Telecom Italia CEO Marco Patuano tells journalists in London:,normal
TI,Telecom Italia SPA,20160216,BRIEF-Telecom Italia CEO says no talks with Oi on Brazil tie-up ,Feb 16 Telecom Italia CEO Marco Patuano tells analysts during a presentation of FY results and new business plan:,normal
TI,Telecom Italia SPA,20160216,European shares fall after oil output deal disappoints ,* Telecom Italia slumps after profit miss   (Adds closing prices  details),normal
TI,Telecom Italia SPA,20160216,BRIEF-Telecom Italia hopes to complete Argentina stake sale this year -CEO ,Feb 16 Telecom Italia CEO Marco Patuano tells analysts during a presentation of FY results and new business plan:,normal
TI,Telecom Italia SPA,20160216,UPDATE 2-Telecom Italia steps up spending at home  slows debt reduction ,* Shares fall 5 pct on weaker than expected results   (Recasts  adds analyst comments  details throughout),normal
TI,Telecom Italia SPA,20160216,Orange CEO says has no plans to merge with Telecom Italia ,PARIS  Feb 16 French telecoms operator Orange  has no plans to merge with Telecom Italia  Orange Chief Executive Officer Stephane Richard said on Tuesday.,normal
TI,Telecom Italia SPA,20160216,Telecom Italia steps up spending at home  slows debt reduction ,MILAN Telecom Italia plans to step up its spending on building out faster fixed and mobile networks in its home market over the next three years  where it sees core earnings returning to growth from 2017  the company said on Tuesday.,normal
UMC,United Microelectronics Corporation,20160216,BRIEF-UMC's Xiamen subsidiary orders machinery equipment from Tokyo Electron ,* Says Xiamen subsidiary orders machinery equipment worth T$528.2 million  ($15.95 million),topStory
V,Visa Inc,20160216,BRIEF-Nordea sees EUR 90-130 mln pretax gain from Visa deal ,* Expected capital gain for Nordea when Visa Inc acquires Visa Europe Ltd,topStory
WRK,Westrock Company,20160216,HIGHLIGHTS-Hedge funds pile into SunEdison shares ahead of plunge ,NEW YORK/BOSTON  Feb 16 Top U.S. hedge fund management firms  including Visium Asset Management  took stakes in embattled renewable energy company SunEdison Inc  during the fourth quarter.,normal
EPM,Evolution Petroleum Corporation Inc,20160216,BRIEF-Evolution Gaming Q4 revenues up at EUR 22.4 million  ,* Q4 revenues 22.4 million euros ($25.0 million) versus 13.8 million euros year ago,topStory
