AEGN,Aegion Corp,20131105,CORRECTED-BRIEF-Franchise Services of North America subsidiary Simply Wheelz to file for bankruptcy ,(Corrects headline to say Simply Wheelz to file for bankruptcy  not files),topStory
GLP,Global Partners LP,20131105,ICE sees NYSE deal closing within days; profits rise ,IntercontinentalExchange Inc  said on Tuesday it expects to close its takeover of NYSE Euronext  within days  and reported an 8 percent rise in third-quarter profit  helped by lower taxes and new clearing revenues.,normal
GS,Goldman Sachs Group Inc (The),20131105,Exclusive: EU to fine Deutsche  JPMorgan and others in rate probe - source ,BRUSSELS EU antitrust regulators are set to fine six global banks including Deutsche Bank  JPMorgan and HSBC after an investigation into the rigging of benchmark euro zone interest rates  a person familiar with the matter said on Tuesday.,normal
HRS,Harris Corporation,20131105,COMPETITIVE MUNICIPAL SALE CALENDAR ,Nov 5 - *=BANK QUALIFIED     RATING                                                BIDDING MDY/S&P/FITCH  ($MIL)          ISSUER                   DEADLINE (EST)                              [Nov. 05] Aa1           100.00 Bellevue SD #405  WA  GO               11:30 AM      AA        55.87 Topeka Pub Bldg Comm  KS  RE           10:30 AM Aaa            86.00 Williamson County  TN  GO              10:30 AM                *3.50 Fayetteville SD #1  AR  GO             11:00 AM Aa1            95.00 Fr,topStory
HCA,HCA Healthcare Inc,20131105,HCA posts higher profit as hospital admissions rise ,HCA Holdings Inc   the largest publicly owned U.S. hospital operator  on Tuesday reported higher third-quarter earnings and increased admissions to its facilities.,topStory
HCA,HCA Healthcare Inc,20131105,Hospital operator HCA says profit  admissions rise ,HCA Holdings Inc   the largest publicly owned U.S. hospital operator  on Tuesday said its third-quarter earnings rose as it admitted more patients to its facilities.,normal
HCA,HCA Healthcare Inc,20131105,Hospital operator HCA says profit  admissions rise ,Nov 5 HCA Holdings Inc  the largest publicly owned U.S. hospital operator  on Tuesday said its third-quarter earnings rose as it admitted more patients to its facilities.,normal
HTZ,Hertz Global Holdings Inc,20131105,Advantage to file for bankruptcy as Hertz cuts car supply ,Advantage Rent A Car  which Hertz Global Holdings Inc  hived off as part of a deal to buy Dollar Thrifty  will file for bankruptcy after Hertz terminated lease agreements that provided Advantage with its cars.,topStory
HTZ,Hertz Global Holdings Inc,20131105,Hertz Q3 adjusted profit beats on higher off-airport car rentals ,Nov 4 Hertz Global Holdings Inc's  quarterly adjusted profit beat analysts' estimates  helped by higher off-airport car rentals and strong performance of Dollar Thrifty  which it bought last year.,normal
HMC,Honda Motor Company Ltd,20131105,Honda launches R&D centre in China to tailor cars for local drivers ,SHANGHAI  Nov 5 Honda Motor Co Ltd has opened a new research and development centre in China  the latest move by a Japanese carmaker to go local to capture more consumers in the world's biggest auto market.,topStory
HMC,Honda Motor Company Ltd,20131105,Nikkei steady; Nissan plunges after cutting guidance ,* Kubota up as much as 9.7 pct to 3-mth high after lifting f'cast     * Nissan cuts guidance  sags as much as 11.6 pct to 7-mth low     * SoftBank extends gains after earnings results      By Dominic Lau     TOKYO  Nov 5 Japan's Nikkei average stabilised on Tuesday after two days of losses as gains made by companies such as farm equipment maker Kubota Corp after lifting earnings forecasts countered Nissan Motor Co Ltd's plunge on weaker guidance.      Gains in index heavyweight SoftB,normal
ICE,Intercontinental Exchange Inc,20131105,UPDATE 2-ICE sees NYSE deal closing within days; profits rise ,(Adds details on NYSE takeover  CEO comments from conference call  share price  background on ICE and NYSE),topStory
IHG,Intercontinental Hotels Group,20131105,BRIEF-Intercontinental Hotels posts 3.3 pct revpar growth in Q3 ,Nov 5 InterContinental Hotels Group PLC :  * Global third quarter revpar growth of 3.3%  with 3.6% in the first nine,topStory
IHG,Intercontinental Hotels Group,20131105,DIARY - UK and Irish Corporate events from Nov 05 2013 ,THOMSON REUTERS   Diary of UK and Irish Corporate events           For full list of companies reporting each day click on First Financial Holdings Inc     For a full list of all Western European Corp events  click on      For a full list of major european corp events with forecasts  click on        Iberdrola USA Inc Farmers National Bancorp         --- -----    ----   ---------------------------          ----------    ----------        DATE     GMT    COMPANY NAME                         EVENT  ,normal
JPM,J P Morgan Chase & Co,20131105,Exclusive: EU to fine Deutsche  JPMorgan and others in rate probe - source ,BRUSSELS EU antitrust regulators are set to fine six global banks including Deutsche Bank  JPMorgan and HSBC after an investigation into the rigging of benchmark euro zone interest rates  a person familiar with the matter said on Tuesday.,topStory
JNJ,Johnson & Johnson,20131105,UPDATE 2-Keryx says kidney drug effective; shares hit 7-year high ,(Adds details from conference call  analyst comments  background; updates share movement),normal
K,Kellogg Company,20131105,CORRECTED-UPDATE 2-Kellogg to cut 7 pct of workforce by 2017  lowers forecast (Nov. 4) ,(Corrects paragraph 5 to make clear the company will set up regional hubs to put resources near plants  not move plants. Removes erroneous bullet),topStory
KKR,KKR & Co LP,20131105,Blackstone  KKR compete for landscaper Brickman Group: sources ,NEW YORK Blackstone Group LP  and KKR & Co LP  are among the buyout firms vying for Brickman Group Holdings Inc  the largest U.S. commercial landscaping company up for sale for around $1.5 billion  according to people familiar with the matter.,topStory
KKR,KKR & Co LP,20131105,Blackstone  KKR compete for landscaper Brickman Group -sources ,NEW YORK  Nov 5 Blackstone Group LP and KKR & Co LP are among the buyout firms vying for Brickman Group Holdings Inc  the largest U.S. commercial landscaping company up for sale for around $1.5 billion  according to people familiar with the matter.,normal
KT,KT Corporation,20131105,Update-Moody's: KT's 3Q 2013 results are credit negative ,For the full text of this story please click the following link:,topStory
MDT,Medtronic plc,20131105,Top U.S. court hears arguments in pacemaker patent fight ,WASHINGTON  Nov 5 The U.S. Supreme Court on Tuesday heard arguments in a case of warring legal doctrines raised by a heart pacemaker patent fight between giant medical devices company Medtronic Inc and privately owned Mirowski Family Ventures LLC.,topStory
KORS,Michael Kors Holdings Limited,20131105,Strong appetite for luxury spurs Michael Kors sales ,Michael Kors Holdings Ltd  reported a higher-than-expected 40 percent jump in quarterly revenue and said it would open about 100 stores in 2014 as demand for luxury goods such as its trendy handbags and watches shows no sign of fading. | Video ,topStory
KORS,Michael Kors Holdings Limited,20131105,REFILE-UPDATE 3-Strong appetite for luxury spurs Michael Kors sales ,(Refiles to add dropped words "and" and "it" in paragraph 1),normal
KORS,Michael Kors Holdings Limited,20131105,US STOCKS-Wall St drifts after two-day climb  data supports ,NEW YORK  Nov 5 U.S. stocks were little changed on Tuesday following two days of gains on Wall Street as investors weighed the implications of strong economic data on the path of monetary policy over the next several months.,normal
KORS,Michael Kors Holdings Limited,20131105,US STOCKS-Wall St declines on profit taking after two-day climb ,* Indexes off: Dow 0.56 pct  S&P 0.52 pct  Nasdaq 0.45 pct,normal
KORS,Michael Kors Holdings Limited,20131105,US STOCKS-Wall St to open lower after 2-day run; ISM services on tap ,NEW YORK  Nov 5 U.S. stocks were poised for a lower open on Tuesday ahead of data on the services sector  putting the S&P 500 on pace to halt a two-day streak of gains.,normal
KORS,Michael Kors Holdings Limited,20131105,Michael Kors profit jumps 49 pct as luxury spending stays strong ,Nov 5 Michael Kors Holdings Ltd  a maker of fashion apparel and accessories  reported a 49 percent jump in quarterly profit as sales rose in Europe and North America.,normal
MOS,Mosaic Company (The),20131105,UPDATE 3-Mosaic profit plunges 70 pct on weaker prices  sales ,Nov 5 Mosaic Co reported sharply lower third-quarter earnings on Tuesday as prices of its potash and phosphate fell with buyers taking a cautious stance  and the U.S. fertilizer company said prices may remain weak into 2014.,topStory
MOS,Mosaic Company (The),20131105,Mosaic profit plunges 70 percent on weaker prices  sales ,Mosaic Co  reported sharply lower third-quarter earnings on Tuesday as prices of its potash and phosphate fell and buyers took a cautious stance  and the U.S. fertilizer company said prices may remain weak into 2014.,normal
MOS,Mosaic Company (The),20131105,Mosaic to close Michigan potash mine  sell salt operation ,Nov 5 U.S. fertilizer company Mosaic Co  said on Tuesday that it would close its small potash mine at Hersey  Michigan  and sell its salt operation.,normal
MOS,Mosaic Company (The),20131105,Mosaic profit plunges on lower prices  weaker sales ,U.S. fertilizer company Mosaic Co  reported sharply lower quarterly earnings on Tuesday as prices of potash and phosphate fell and buyers were cautious.,normal
NVO,Novo Nordisk A/S,20131105,Drug pricing challenges diabetes king Novo Nordisk ,COPENHAGEN Drug pricing is emerging as a key challenge for Novo Nordisk  the world's biggest insulin producer  whose previously unstoppable growth has started to flag  according to the Danish firm's chief executive.,topStory
NUE,Nucor Corporation,20131105,Nucor's DiMicco to retire from board ,Nov 5 Steelmaker Nucor Corp's executive chairman and former chief executive  Dan DiMicco  will retire from the company's board at the end of this year  the company said on Tuesday.,topStory
OZM,Och-Ziff Capital Management Group LLC,20131105,Och-Ziff doubles third-quarter profit as incentive income jumps ,BOSTON Och-Ziff Capital Management Group LLC said on Tuesday its quarterly profit more than doubled  handily beating Wall Street expectations as the investment manager attracted more assets and collected much higher incentive fees.,topStory
OZM,Och-Ziff Capital Management Group LLC,20131105,Och-Ziff doubles third-quarter profit as incentive income jumps ,BOSTON  Nov 5 Och-Ziff Capital Management Group LLC said on Tuesday its quarterly profit more than doubled  handily beating Wall Street expectations as the investment manager attracted more assets and collected much higher incentive fees.,normal
ORAN,Orange,20131105,Consumer group hits Orange  SFR with 4G rollout complaint ,PARIS France's consumer watchdog  UFC Que Choisir  said on Tuesday it had filed a legal complaint against mobile phone operators Orange France and Vivendi-owned SFR over marketing practices of their fourth-generation broadband services.,topStory
PHI,PLDT Inc,20131105,Philippines' PLDT Q3 net profit rises 2 pct ,MANILA  Nov 5 Philippine Long Distance Telephone Co (PLDT) posted on Tuesday a 2 percent rise in quarterly profit on higher revenue and one-time gains from the sale of its business process outsourcing unit.,topStory
QEP,QEP Resources Inc,20131105,QEP Resources posts profit on jump in commodity prices ,Oil producer QEP Resources Inc   which is under pressure from activist investor Jana Partners LLC  posted a lower-than-expected profit on Tuesday as a jump in commodity prices failed to offset a dip in production.,topStory
QEP,QEP Resources Inc,20131105,UPDATE 1-QEP Resources posts profit on jump in commodity prices ,Nov 5 Oil producer QEP Resources Inc  which is under pressure from activist investor Jana Partners LLC  posted a lower-than-expected profit on Tuesday as a jump in commodity prices failed to offset a dip in production.,normal
QEP,QEP Resources Inc,20131105,QEP Resources posts profit on jump in commodity prices ,NEW YORK  Nov 5 Oil producer QEP Resources Inc   which is under pressure from activist investor Jana Partners LLC  posted a third-quarter profit on Tuesday after a year-ago loss  helped mostly by a jump in commodity prices.,normal
SLB,Schlumberger NV,20131105,After bondholders  OSX  Schlumberger  Ensco top OGX creditor list ,RIO DE JANEIRO Bondholders  followed by oilfield-service companies  are the biggest creditors of Brazilian tycoon Eike Batista's oil company OGX  which made Latin America's biggest-ever bankruptcy filing last week  according to a list obtained by Reuters.,topStory
SLB,Schlumberger NV,20131105,After bondholders  OSX  Schlumberger  Ensco top OGX creditor list ,By Sabrina Lorenzi and Jeb Blount     RIO DE JANEIRO  Nov 4 Bondholders  followed by oilfield-service companies  are the biggest creditors of Brazilian tycoon Eike Batista's oil company OGX  which made Latin America's biggest-ever bankruptcy filing last week  according to a list obtained by Reuters.     The No. 2 creditor after bondholders is OSX Brasil SA   the Batista-controlled shipyard and ship-leasing company that built three offshore oil production platforms for OGX. OSX is owe,normal
SNE,Sony Corp Ord,20131105,Sony to charge monthly fee for multiplayer games on PS4 - Nikkei ,Sony Corp plans to charge a monthly fee of $9.99 in the United States and 6.99 euros ($9.40) in Europe for playing multiplayer online games on its PlayStation 4 (PS4) console scheduled to debut this month  the Nikkei business daily reported without citing sources.,topStory
SNE,Sony Corp Ord,20131105,Sony to charge monthly fee for multiplayer games on PS4 - Nikkei ,Nov 5 Sony Corp plans to charge a monthly fee of $9.99 in the United States and 6.99 euros ($9.40) in Europe for playing multiplayer online games on its PlayStation 4 (PS4) console scheduled to debut this month  the Nikkei business daily reported without citing sources.,normal
TI,Telecom Italia SPA,20131105,UPDATE 2-Telefonica sells Czech business as turns sights to Italy and Brazil ,MADRID  Nov 5 Telefonica has agreed to sell its Czech business for 2.47 billion euros ($3.3 billion)  it said on Tuesday  the  latest disposal for the Spanish group aimed at cutting debt and leaving it to focus on its Italian and Brazilian interests.,normal
BX,The Blackstone Group LP,20131105,Blackstone  KKR compete for landscaper Brickman Group: sources ,NEW YORK Blackstone Group LP  and KKR & Co LP  are among the buyout firms vying for Brickman Group Holdings Inc  the largest U.S. commercial landscaping company up for sale for around $1.5 billion  according to people familiar with the matter.,topStory
BX,The Blackstone Group LP,20131105,Blackstone  KKR compete for landscaper Brickman Group -sources ,NEW YORK  Nov 5 Blackstone Group LP and KKR & Co LP are among the buyout firms vying for Brickman Group Holdings Inc  the largest U.S. commercial landscaping company up for sale for around $1.5 billion  according to people familiar with the matter.,normal
TRI,Thomson Reuters Corp,20131105,Heavy gunfire heard in Libya's capital Tripoli ,TRIPOLI Heavy shooting from guns and anti-aircraft weapons erupted early on Tuesday in the Libyan capital Tripoli  Reuters witnesses said.,topStory
TRI,Thomson Reuters Corp,20131105,Heavy gunfire heard in Libya's capital Tripoli ,TRIPOLI  Nov 5 Heavy shooting from guns and anti-aircraft weapons could be heard early on Tuesday in the Libyan capital Tripoli  Reuters witnesses said.,normal
TRP,TransCanada Corporation,20131105,TransCanada to begin filling Gulf Coast line 'within a few weeks' ,VANCOUVER  Nov 5 TransCanada Corp  Canada's No. 2 pipeline operator  expects to begin filling its Gulf Coast pipeline "within a few weeks " an executive said on a conference call on Tuesday.,topStory
TRP,TransCanada Corporation,20131105,TransCanada begins work on Nederland-to-Houston pipeline ,NEW YORK  Nov 5 TransCanada Corp on Tuesday said it has began construction on a 47.2 mile (76 km) pipeline lateral that will connect its Gulf Coast pipeline to refineries in the Houston  Texas area.,normal
WFT,Weatherford International plc,20131105,Weatherford to cut debt by up to $5 billion in two years ,Nov 5 Weatherford International will cut its debt by up to $5 billion in the next two years as it boosts cash flow and divests assets  the oilfield services company's CEO said on Tuesday.,topStory
WFT,Weatherford International plc,20131105,Weatherford beats profit view  settles U.S. corruption charges ,Oil services company Weatherford  on Monday reported higher-than-expected earnings and the finalization of deals with the U.S. government on various longstanding charges that will cost it around $250 million.,normal
