ALGT,Allegiant Travel Company,20130729,False alarm caused Allegiant plane to make emergency landing ,ATLANTA  July 29 The emergency landing in Georgia of an Allegiant Air flight late Sunday was caused by a false alarm when a warning light indicated a possible fire in the cargo hold  an airline spokesman said Monday.,topStory
BA,Boeing Company (The),20130729,UPDATE 3-Boeing asks for beacon checks on up to 1 200 jets ,PARIS/SINGAPORE  July 29 Boeing has asked airlines to inspect up to 1 200 aircraft across their fleets to gather data on Honeywell emergency beacons that have come under scrutiny following a fire on a parked 787 Dreamliner two weeks ago.,normal
BA,Boeing Company (The),20130729,Senior Plc's first-half profit rises on demand from Boeing  Airbus ,July 29 British aero engineer Senior Plc  reported a 6 percent rise in adjusted first-half profit  driven by demand for commercial aircraft parts from Airbus and Boeing Co.,normal
BA,Boeing Company (The),20130729,Boeing requests worldwide checks of Honeywell beacons ,Boeing Co  asked airlines on Sunday to inspect aircraft worldwide to gather data on Honeywell International Inc  emergency beacons that have come under scrutiny following a fire on a parked 787 Dreamliner two weeks ago.,normal
BP,BP plc,20130729,UPDATE 1-Rosneft Q2 net income beats forecasts after TNK-BP deal ,* Q2 net income 35 bln roubles  above 31.3 bln in analyst poll,topStory
BRFS,BRF SA,20130729,UPDATE 1-BRF profit misses forecast on weak Brazil demand ,SAO PAULO  July 29 Brazilian processed foods maker BRF SA reported a lower-than-expected second-quarter profit on Monday due to weak domestic demand.,topStory
BRFS,BRF SA,20130729,Brazil BRF reports Q2 profit of 208.4 mln reais  misses forecast ,SAO PAULO  July 29 Brazilian processed foods maker BRF SA reported on Monday a net profit of 208.4 million reais ($92 million) for the second quarter of 2013  missing an average of analysts' forecasts for a profit of 360 million reais.   (Reporting by Reese Ewing; Editing by Gerald E. McCormick),normal
CBS,CBS Corporation,20130729,CBS  Time Warner Cable extend deadline for new agreement ,July 29 Time Warner Cable Inc and CBS broadcast network  which are locked in a battle over fees the cable company pays to carry CBS programming  said they would negotiate until 8 p.m. on Monday  at least temporarily averting a blackout in some large cities.,topStory
CBS,CBS Corporation,20130729,CBS renews Stephen King sci-fi series 'Under the Dome' ,LOS ANGELES "Under the Dome " the television science-fiction series based on a Stephen King novel  has been renewed for a second season  U.S. broadcast network CBS said on Monday.,normal
CBS,CBS Corporation,20130729,UPDATE 1-CBS renews Stephen King sci-fi series 'Under the Dome' ,LOS ANGELES  July 29 "Under the Dome " the television science-fiction series based on a Stephen King novel  has been renewed for a second season  U.S. broadcast network CBS  said on Monday.,normal
CBS,CBS Corporation,20130729,'Difficult' talks ongoing with Time Warner Cable: CBS CEO Moonves ,LOS ANGELES CBS Corp Chief Executive Leslie Moonves said on Monday he remained engaged in "difficult" negotiations with Time Warner Cable Inc ahead of an afternoon deadline to agree on fees the cable company pays to carry the broadcast network.,normal
CF,CF Industries Holdings Inc,20130729,Third Point buys CF Industries stake  wants bigger dividend ,Shares of CF Industries Holdings Inc  spiked nearly 12 percent on Monday after activist hedge fund Third Point LLC said it had acquired a stake in the U.S. fertilizer company.,topStory
CF,CF Industries Holdings Inc,20130729,CF Industries shares spike 10 pct after Third Point buys stake ,July 29 Shares of CF Industries Holdings Inc  spiked on Monday afternoon after activist hedge fund Third Point LLC said it had acquired a stake.,normal
CVX,Chevron Corporation,20130729,Frank's Int. raises IPO size by nearly half to up to $724.5 mln ,July 29 Frank's International N.V.  which provides drilling equipment to Chevron Corp  Exxon Mobil Corp and ConocoPhillips  increased the size of its initial public offering by about 45 percent to up to $724.5 million.,topStory
CMS,CMS Energy Corporation,20130729,CMS unit moves step forward with Michigan natgas power plant ,July 29 Michigan environmental regulators approved an air permit for Michigan power company Consumers Energy's proposed $750 million natural gas-fired power plant in the state's Thetford Township.,topStory
CNA,CNA Financial Corporation,20130729,Loews profit soars as insurance revenue grows ,Hotel  energy and financial services conglomerate Loews Corp  reported a jump in quarterly profit due to a strong performance at its biggest business  insurer CNA Financial Corp .,topStory
KO,Coca-Cola Company (The),20130729,UPDATE 4-Publicis  Omnicom to merge to create advertising giant ,PARIS/NEW YORK  July 28 A proposed mega-merger between global ad agencies Publicis and Omnicom  could bring rival accounts such as Coca-Cola  and PepsiCo under one firm  underscoring the scale of the $35.1 billion deal and the potential conflicts it raises.,topStory
CYH,Community Health Systems Inc,20130729,Community Health's second quarter income drops on fewer patients ,Community Health Systems Inc reported a sharp decline in second-quarter profit on Monday  hurt by a drop in patient admissions at its hospitals and higher-than-expected bad debts.,topStory
CYH,Community Health Systems Inc,20130729,UPDATE 1-Community Health's 2nd-qtr income drops on fewer patients ,July 29 Community Health Systems Inc  reported a sharp decline in second-quarter profit on Monday  hurt by a drop in patient admissions at its hospitals and higher-than-expected bad debts.,normal
CYH,Community Health Systems Inc,20130729,Community Health's Q2 income drops as hospital admissions fall ,July 29 Community Health Systems Inc  reported a lower second-quarter profit on Monday due to a decline in patient admissions at its hospitals.,normal
COP,ConocoPhillips,20130729,Frank's Int. raises IPO size by nearly half to up to $724.5 mln ,July 29 Frank's International N.V.  which provides drilling equipment to Chevron Corp  Exxon Mobil Corp and ConocoPhillips  increased the size of its initial public offering by about 45 percent to up to $724.5 million.,topStory
ESV,ENSCO plc,20130729,Ensco profit climbs on rising offshore rig rates ,Offshore drilling contractor Ensco Plc  on Monday reported a higher-than-expected 6 percent rise in quarterly profit as the rates paid for its rigs improved on the back of stronger worldwide demand for them.,topStory
ESV,ENSCO plc,20130729,UPDATE 1-Ensco profit climbs on rising offshore rig rates ,July 29 Offshore drilling contractor Ensco Plc  on Monday reported a higher-than-expected 6 percent rise in quarterly profit as the rates paid for its rigs improved on the back of stronger worldwide demand for them.,normal
ESV,ENSCO plc,20130729,Ensco 2nd-qtr profit climbs on rising offshore rig rates ,July 29 Offshore drilling contractor Ensco Plc  reported on Monday a 6 percent rise in quarterly profit as the rates paid for its rigs improved on the back of stronger worldwide demand for their services.,normal
ETR,Entergy Corporation,20130729,Entergy shuts New York Indian Point 3 power reactor for work ,July 29 Entergy Corp said Monday it shut the 1 031-megawatt Unit 3 at the Indian Point nuclear power plant for planned work on one of four valves that control the flow of water into steam generators.,topStory
XOM,Exxon Mobil Corporation,20130729,Frank's Int. raises IPO size by nearly half to up to $724.5 mln ,July 29 Frank's International N.V.  which provides drilling equipment to Chevron Corp  Exxon Mobil Corp and ConocoPhillips  increased the size of its initial public offering by about 45 percent to up to $724.5 million.,topStory
FICO,Fair Isaac Corporation,20130729,RPT-Fitch Expects to Rate MVW Owner Trust 2013-1 ,July 29 (The following statement was released by the rating agency),topStory
BEN,Franklin Resources Inc,20130729,Asset manager Franklin Resources profit rises 21 pct ,July 29 Asset manager Franklin Resources Inc  said its third-quarter profit rose 21 percent  driven by a rise in investment management fees.,topStory
GGP,GGP Inc,20130729,UPDATE 2-U.S. mall owner General Growth's quarterly profit beats Street ,* 2nd-qtr FFO 27 cents/shr vs Wall Street forecast of 25 cents,topStory
GGP,GGP Inc,20130729,General Growth quarterly profit beats Street ,NEW YORK General Growth Properties Inc  said on Monday it had a 17 percent increase in a key measure of quarterly profit  beating Wall Street expectations  and said it had reached an agreement to sell its stake in a Brazilian shopping center company.,normal
GGP,GGP Inc,20130729,General Growth second-quarter profit beats Wall St's estimate ,NEW YORK  July 29 General Growth Properties Inc  on Monday reported a 17 percent increase in a key measure of quarterly profit  beating Wall Street's expectations  on higher rents  occupancy and sales at its malls.,normal
GS,Goldman Sachs Group Inc (The),20130729,UPDATE 1-SEC fraud case against ex-Goldman trader Tourre in homestretch ,NEW YORK  July 29 Testimony ended Monday in the civil fraud case of Fabrice Tourre  with lawyers for former Goldman Sachs trader not calling any witnesses before the U.S. Securities and Exchange Commission's case goes to a Manhattan federal jury.,topStory
HGH,Hartford Financial Services Group Inc (The),20130729,Hartford Financial misses estimates as premiums stagnate ,Insurer Hartford Financial Services Group's  adjusted profit missed analysts' estimates as premiums remained stagnant at its core property and casualty business.,topStory
HGH,Hartford Financial Services Group Inc (The),20130729,UPDATE 1-Hartford Financial misses estimates as premiums stagnate ,* Second-quarter net loss $190 million  or $0.42 per share,normal
HIG,Hartford Financial Services Group Inc (The),20130729,Hartford Financial misses estimates as premiums stagnate ,Insurer Hartford Financial Services Group's  adjusted profit missed analysts' estimates as premiums remained stagnant at its core property and casualty business.,topStory
HIG,Hartford Financial Services Group Inc (The),20130729,UPDATE 1-Hartford Financial misses estimates as premiums stagnate ,* Second-quarter net loss $190 million  or $0.42 per share,normal
HCA,HCA Healthcare Inc,20130729,UPDATE 1-Hospital operator HCA says Bracken to retire as CEO ,July 29 HCA Holdings Inc  the largest for-profit U.S. hospital operator  on Monday said Richard Bracken would step down as chief executive by year-end and would be replaced by R. Milton Johnson  who is currently chief financial officer.,topStory
HCA,HCA Healthcare Inc,20130729,Hospital operator HCA says Bracken to retire as CEO ,July 29 HCA Holdings Inc  the largest for-profit U.S. hospital operator  on Monday said Richard Bracken would step down as chief executive by year-end and would be replaced by R. Milton Johnson  who is currently chief financial officer.,normal
HLF,Herbalife LTD,20130729,For Herbalife  investor feud turns into strong results ,Nutritional products giant Herbalife  said its better than-expected earnings and rosy 2013 outlook were driven by a fast-growing global distributor network and strong demand for its weight-loss shakes and supplements. | Video ,topStory
HLF,Herbalife LTD,20130729,Herbalife posts quarterly profit  raises forecast ,July 29Nutritional supplement company Herbalife Ltd on Monday reported higher quarterly net earnings and raised its forecast for the year as volume rose throughout its geographic markets.,normal
HON,Honeywell International Inc,20130729,Airbus to review integration of Honeywell emergency beacons ,PARIS  July 29 Airbus said on Monday it would carry out a review of the way Honeywell emergency locator beacons are integrated into its aircraft following a preliminary report on a fire on a parked Boeing jet this month.,topStory
IPG,Interpublic Group of Companies Inc (The),20130729,UPDATE 3-Ad groups plot to compete with new Publicis-Omnicom ,* Shares in WPP  Interpublic  Havas leap on deal news     * Competing agencies will seek to poach big advertisers     * Conflicts possible in tech  telecom  autos     * Publicis  Omnicom say can manage conflict risks   (Adds comment from Interpublic)     By Kate Holton and Leila Abboud     LONDON/PARIS  July 29 A plan to merge Publicis  and Omnicom into the world's biggest advertising group has rivals ready to poach their blue-chip clients that might leave the new agency as it faces ,topStory
IPG,Interpublic Group of Companies Inc (The),20130729,Interpublic CEO sees no need for major M&A ,Interpublic Group of Cos  does not see a need for a major merger or acquisition following the merger announcement from bigger rivals Omnicom  and Publicis   the No. 2 U.S. advertising company's chief executive said on Monday.,normal
IPG,Interpublic Group of Companies Inc (The),20130729,Interpublic CEO sees no need for major M&A ,July 29 Interpublic Group of Cos does not see a need for a major merger or acquisition following the merger announcement from bigger rivals Omnicom and Publicis  the No. 2 U.S. advertising company's chief executive said on Monday.,normal
IPG,Interpublic Group of Companies Inc (The),20130729,UPDATE 2-Ad groups scramble after Publicis-Omnicom shake-up ,* Publicis  Omnicom say can manage conflict risks   (Recasts),normal
JPM,J P Morgan Chase & Co,20130729,U.S. says JP Morgan manipulated market; settlement seen ,WASHINGTON The U.S. power regulator outlined its case of market manipulation against JPMorgan Chase & Co on Monday as industry sources said a final settlement on the issue should come on Tuesday.,topStory
JPM,J P Morgan Chase & Co,20130729,U.S. power regulator says JP Morgan manipulated market ,WASHINGTON  July 29 The Federal Energy Regulatory Commission  the overseer of the U.S. electricity market  said on Monday that it has found cases where an affiliate of JP Morgan manipulated the market.,normal
JPM,J P Morgan Chase & Co,20130729,Analysis: JPMorgan faces 'hard sell' in crowded market for commodity traders ,NEW YORK For third time in five years  one of the world's biggest commodity trading desks is for sale.,normal
JPM,J P Morgan Chase & Co,20130729,For the Masters of commodities at JPMorgan  a sense of deja vu ,NEW YORK  July 29 Fifteen years ago  a boom in global commodity trading was underway  and JPMorgan was late to the game.,normal
LYG,Lloyds Banking Group Plc,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,topStory
LYG,Lloyds Banking Group Plc,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
LMT,Lockheed Martin Corporation,20130729,Lockheed  Pentagon reach deal on 71 more F-35s: source ,WASHINGTON Lockheed Martin Corp and the Pentagon have reached agreement on orders for the next two batches of F-35 fighter jets  a deal worth over $7 billion  a person briefed on the discussions told Reuters on Monday.,topStory
LMT,Lockheed Martin Corporation,20130729,REFILE-Lockheed  Pentagon reach deal on 71 more F-35s-source ,WASHINGTON  July 29 Lockheed Martin Corp  and the Pentagon reached agreement on Monday on orders for the next two batches of F-35 fighter jets  a deal worth over $7 billion  according to a source briefed on the discussions.,normal
L,Loews Corporation,20130729,Loews profit soars as insurance revenue grows ,Hotel  energy and financial services conglomerate Loews Corp  reported a jump in quarterly profit due to a strong performance at its biggest business  insurer CNA Financial Corp .,topStory
M,Macy&#39;s Inc,20130729,UPDATE 4-Hudson's Bay CEO bets big on department stores with Saks buy ,* Baker says to spin off small piece into REIT but own the rest,normal
MRO,Marathon Oil Corporation,20130729,UPDATE 7-Oil steadies after weekly slide  Europe outages support ,* Supply disruptions in Libya and elsewhere support prices,normal
MCD,McDonald&#39;s Corporation,20130729,U.S. fast food workers kick-off multi-city protests for higher pay ,July 29 Hundreds of low-wage workers at fast food chains such as McDonald's and Wendy's on Monday protested in the streets of New York  kick-starting a week of demonstrations in several major cities demanding the right to unionize and pressing to double the federal minimum wage to $15 an hour.,topStory
MON,Monsanto Company,20130729,U.S. says probe of GMO wheat finds no new contamination ,July 29 U.S. government investigators said on Monday they still have few answers as to how an unapproved genetically altered wheat developed by Monsanto was found this spring growing in an Oregon farm field  but said no further contamination has been detected and no biotech wheat appears to be in commercial supplies.,topStory
SID,National Steel Company,20130729,EMERGING MARKETS-Latin American stocks fall with commodity shares ,* Profit-taking investors sell shares of Vale  Petrobras     * Gains for steelmakers Usiminas  CSN help stem losses     * Brazil's Bovespa down 0.66 pct  Mexico's IPC down 0.9 pct      By Lucas Iberico-Lozada     SAO PAULO  July 29 Stock exchanges in Latin America were weaker on Monday  led by profit-taking in metals and petroleum exporters that capped a five-week high for the Brazilian bourse.     Around the region  Mexico's IPC index retreated from a three-week high while Chile's b,topStory
JWN,Nordstrom Inc,20130729,UPDATE 4-Hudson's Bay CEO bets big on department stores with Saks buy ,* Baker says to spin off small piece into REIT but own the rest,normal
OMC,Omnicom Group Inc,20130729,Ad groups plot to compete with new Publicis-Omnicom ,LONDON/PARIS A plan to merge Publicis  and Omnicom  into the world's biggest advertising group has rivals ready to poach their blue-chip clients that might leave the new agency as it faces potential conflicts of interest.,topStory
OMC,Omnicom Group Inc,20130729,US STOCKS-Wall St declines as investors focus on Fed policy meeting ,* Fed could signal plans about stimulus  jobs data this week as well,normal
OMC,Omnicom Group Inc,20130729,US STOCKS-Wall St declines as investors focus on Fed policy meeting ,* Fed could signal plans about stimulus  jobs data this week as well,normal
OMC,Omnicom Group Inc,20130729,UPDATE 3-Ad groups plot to compete with new Publicis-Omnicom ,* Shares in WPP  Interpublic  Havas leap on deal news     * Competing agencies will seek to poach big advertisers     * Conflicts possible in tech  telecom  autos     * Publicis  Omnicom say can manage conflict risks   (Adds comment from Interpublic)     By Kate Holton and Leila Abboud     LONDON/PARIS  July 29 A plan to merge Publicis  and Omnicom into the world's biggest advertising group has rivals ready to poach their blue-chip clients that might leave the new agency as it faces ,normal
OMC,Omnicom Group Inc,20130729,Experts predict long antitrust road for Omnicom  Publicis ,WASHINGTON/BRUSSELS Publicis  and Omnicom  will most likely have to shed some assets in order for their mega deal to win approval from regulators in the United States  Europe and 40 other countries where they operate.,normal
OMC,Omnicom Group Inc,20130729,Experts predict long antitrust road for Omnicom  Publicis ,WASHINGTON/BRUSSELS  July 29 Publicis  and Omnicom will most likely have to shed some assets in order for their mega deal to win approval from regulators in the United States  Europe and 40 other countries where they operate.,normal
OMC,Omnicom Group Inc,20130729,Merged Publicis-Omnicom may speak with American accent ,PARIS The advertising giant to be formed from the merger of Publicis  and Omnicom  may resolve any clash between its French and U.S. arms by taking on a more American identity  some industry observers said on Monday.,normal
OMC,Omnicom Group Inc,20130729,Merged Publicis-Omnicom may speak with American accent ,PARIS  July 29 The advertising giant to be formed from the merger of Publicis and Omnicom  may resolve any clash between its French and U.S. arms by taking on a more American identity  some industry observers said on Monday.,normal
OMC,Omnicom Group Inc,20130729,US STOCKS-Wall Street falls as investors eye Fed statement ,* Investors turn focus to data  signals from Fed on stimulus,normal
OMC,Omnicom Group Inc,20130729,Publicis  Omnicom say major clients welcome merger ,PARIS The chief executives of Publicis and Omnicom said they had spoken to major clients about their planned merger and did not anticipate major problems with big advertisers defecting to rivals in the transition period. | Video ,normal
PRGO,Perrigo Company,20130729,US STOCKS-Wall St declines as investors focus on Fed policy meeting ,* Fed could signal plans about stimulus  jobs data this week as well,topStory
PRGO,Perrigo Company,20130729,US STOCKS-Wall St declines as investors focus on Fed policy meeting ,* Fed could signal plans about stimulus  jobs data this week as well,normal
PRGO,Perrigo Company,20130729,Deals of the day -- mergers and acquisitions ,July 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,normal
PRGO,Perrigo Company,20130729,US STOCKS-Wall Street falls as investors eye Fed statement ,* Investors turn focus to data  signals from Fed on stimulus,normal
PRGO,Perrigo Company,20130729,Drugmaker Perrigo to buy Ireland's Elan for $8.6 billion ,DUBLIN U.S. drugmaker Perrigo  agreed to buy Elan  for $8.6 billion in a deal that will hand it tax savings from being domiciled in Ireland and royalties from a blockbuster multiple sclerosis treatment.,normal
PRGO,Perrigo Company,20130729,UPDATE 4-U.S. drugmaker Perrigo to buy Ireland's Elan for $8.6 bln ,DUBLIN  July 29 U.S. drugmaker Perrigo  agreed to buy Elan for $8.6 billion in a deal that will hand it tax savings from being domiciled in Ireland and royalties from a blockbuster multiple sclerosis treatment.,normal
PRGO,Perrigo Company,20130729,US STOCKS-Wall Street set to slip at open beginning busy week ,* Drug firm Perrigo to buy Elan; Publicis  Omnicom in merger,normal
PRGO,Perrigo Company,20130729,US STOCKS-Futures dip ahead of key data  Fed meeting this week ,* Perrigo to buy Elan; Lord & Taylor's parent to acquire Saks,normal
PRGO,Perrigo Company,20130729,US STOCKS-Futures dip before key data  Fed meeting this week ,* Perrigo to buy Elan  Lord & Taylor's parent to acquire Saks,normal
PRGO,Perrigo Company,20130729,M&A deals boost European stocks ,* Despite recent wave of deals  M&A activity subdued in 2013,normal
PBR,Petroleo Brasileiro SA- Petrobras,20130729,EMERGING MARKETS-Latin American stocks fall with commodity shares ,* Profit-taking investors sell shares of Vale  Petrobras     * Gains for steelmakers Usiminas  CSN help stem losses     * Brazil's Bovespa down 0.66 pct  Mexico's IPC down 0.9 pct      By Lucas Iberico-Lozada     SAO PAULO  July 29 Stock exchanges in Latin America were weaker on Monday  led by profit-taking in metals and petroleum exporters that capped a five-week high for the Brazilian bourse.     Around the region  Mexico's IPC index retreated from a three-week high while Chile's b,topStory
PFE,Pfizer Inc,20130729,Pfizer to split generic  branded drugs units ,Pfizer Inc  in what could be the prelude to spinning off its generics drug business  said it plans to separate its commercial operations into two units  mainly for patent-protected brands and a third for generics.,topStory
PFE,Pfizer Inc,20130729,UPDATE 3-Pfizer to split generic  branded drugs units ,July 29 Pfizer Inc  in what could be the prelude to spinning off its generics drug business  said it plans to separate its commercial operations into two units  mainly for patent-protected brands and a third for generics.,normal
PFE,Pfizer Inc,20130729,Pfizer to internally split its generic  branded drugs operations ,July 29 Pfizer Inc on Monday said it plans to internally separate its commercial operations into three business segments  including a unit that sells patent-protected branded drugs and one that sells generic medicines.,normal
PAA,Plains All American Pipeline LP,20130729,Plains All American affiliate files for IPO of up to $1 billion ,Plains All American Pipeline LP  affiliate Plains Gp Holdings LP filed with U.S. regulators to raise up to $1 billion in an initial public offering of Class A shares.,topStory
PAA,Plains All American Pipeline LP,20130729,Plains All American affiliate files for IPO of up to $1 bln ,July 29 Plains All American Pipeline LP  affiliate Plains Gp Holdings LP filed with U.S. regulators to raise up to $1 billion in an initial public offering of Class A shares.,normal
PPG,PPG Industries Inc,20130729,Essilor sees no major antitrust issue with Transitions ,PARIS  July 29 Essilor does not expect any major antitrust issues arising from its purchase of PPG Industries Inc's controlling stake in their Transitions Optical joint venture  its chief operating officer said on Monday.,topStory
PPG,PPG Industries Inc,20130729,PPG sells rest of variable-tint lens maker to Essilor for $1.73 billion ,PPG Industries Inc  has agreed to sell its $1.73 billion controlling stake in Transitions Optical  the inventor of modern variable-tint plastic lenses  to business partner Essilor International   PPG said on Monday.,normal
PPG,PPG Industries Inc,20130729,PPG sells stake in photochromic lens unit to Essilor for $1.73 bln ,July 29 PPG Industries Inc will sell its 51 percent stake in photochromic lens unit Transitions Optical to its partner  France's Essilor International  for $1.73 billion  PPG said on Monday.,normal
RIO,Rio Tinto Plc,20130729,Rio puts $5 billion Mongolia mine expansion on hold ,MELBOURNE/LONDON Rio Tinto  has put on hold a more than $5 billion underground expansion of its giant Oyu Tolgoi copper mine in Mongolia  after the government said parliament would need to approve financing for the project.,topStory
RIO,Rio Tinto Plc,20130729,UPDATE 1-Rio puts $5 billion Mongolia mine expansion on hold ,MELBOURNE/LONDON  July 29 Rio Tinto   has put on hold a more than $5 billion underground expansion of its giant Oyu Tolgoi copper mine in Mongolia  after the government said parliament would need to approve financing for the project.,normal
SNY,Sanofi,20130729,UPDATE 1-Sanofi allergy drug safe for non-prescription use-FDA reviewers ,WASHINGTON  July 29 Sanofi SA's  allergy drug Nasacort AQ is safe enough to be used without a prescription  according to reviewers for the U.S. Food and Drug Administration.,topStory
SNY,Sanofi,20130729,Sanofi allergy drug safe enough for non-prescription use -FDA reviewers ,WASHINGTON  July 29 Sanofi SA's  allergy drug Nasacort AQ is safe enough to be sold over the counter  according to reviewers for the U.S. Food and Drug Administration.,normal
SPG,Simon Property Group Inc,20130729,Simon Property raises outlook as profit tops expectations ,NEW YORK Simon Property Group Inc   the largest owner of U.S. malls and outlet centers  reported a higher-than-expected quarterly profit on Monday  boosted by increased occupancy and rent  and the company raised its earnings forecast for the year.,topStory
SPG,Simon Property Group Inc,20130729,UPDATE 3-Simon Property raises outlook as profit tops expectations ,NEW YORK  July 29 Simon Property Group Inc   the largest owner of U.S. malls and outlet centers  reported a higher-than-expected quarterly profit on Monday  boosted by increased occupancy and rent  and the company raised its earnings forecast for the year.,normal
SPG,Simon Property Group Inc,20130729,Simon Property Group second-quarter beats Wall Streets forecast ,NEW YORK  July 29 Simon Property Group Inc   the largest owner of U.S. malls and outlet centers  on Monday reporter a higher-than-expected quarterly profit boosted by increased occupancy and rent  and the company raised its forecast for the year.,normal
SNE,Sony Corp Ord,20130729,UPDATE 1-U.S.  Japanese stocks boosts Loeb's Third Point fund ,NEW YORK  July 29 Bets on U.S and Japanese stocks helped Daniel Loeb's hedge fund   Third Point  gain 3.3 percent during the second quarter  even as equity and bond markets suffered rapid sell offs in June  the manager told his investors on Monday.,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20130729,SMFG Q1 net profit more than doubles as Japan stocks rally ,TOKYO  July 29 Sumitomo Mitsui Financial Group Inc said on Monday that its net profit more than doubled in the April-June quarter  as a rally in Japanese stocks pushed up the value of the bank's massive equity portfolio.,topStory
TM,Toyota Motor Corp Ltd Ord,20130729,Toyota  Japan carmakers to boost electric vehicle chargers ,TOKYO  July 29 Four Japanese carmakers  including top ranked Toyota Motor Corp and Nissan   are working together to increase the number of electric vehicle chargers around the country in a bid to boost car sales  the companies said on Monday.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20130729,Turkish lira steady  Turkcell shares rise on court decision ,ISTANBUL  July 29 The Turkish lira was little changed on Monday in low volume trade ahead of a central bank quarterly inflation report due on Tuesday.,topStory
TKC,Turkcell Iletisim Hizmetleri AS,20130729,Cukurova granted more time to pay for Turkcell shares ,ISTANBUL Turkey's Cukurova Group has been given an extension to pay the $1.56 billion needed to recover a controlling stake in Turkey's biggest mobile phone operator Turkcell   a British court said on Monday.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20130729,UPDATE 1-Cukurova granted more time to pay for Turkcell shares ,ISTANBUL  July 29 Turkey's Cukurova Group has been given an extension to pay the $1.56 billion needed to recover a controlling stake in Turkey's biggest mobile phone operator Turkcell  a British court said on Monday.,normal
VRX,Valeant Pharmaceuticals International Inc,20130729,UPDATE 1-Valeant Pharma to save more from Bausch & Lomb deal ,July 29 Canada's Valeant Pharmaceuticals International Inc  said it would cut 10 to 15 percent jobs after buying contact lens maker Bausch & Lomb and added that cost savings may rise from initial estimates at the time of the deal.,topStory
VRX,Valeant Pharmaceuticals International Inc,20130729,Valeant Pharma says may cut 10-15 percent jobs after Bausch & Lomb deal ,Canada's Valeant Pharmaceuticals International Inc    which has offered to buy Bausch & Lomb Holdings for $8.7 billion  said it may slash 10 to 15 percent of the combined company's workforce.,normal
VRX,Valeant Pharmaceuticals International Inc,20130729,Valeant Pharma says may cut 10-15 pct jobs after Bausch & Lomb deal ,July 29 Canada's Valeant Pharmaceuticals International Inc   which has offered to buy Bausch & Lomb Holdings for $8.7 billion  said it may slash 10 to 15 percent of the combined company's workforce.,normal
WFC,Wells Fargo & Company,20130729,RPT-ON THE MOVE-Wells Fargo adds big teams to independent channel ,July 29 Wells Fargo & Co added several veteran financial adviser teams to its independent division in recent months  including a five-adviser team from Morgan Stanley  Wealth Management in Virginia.,topStory
WIT,Wipro Limited,20130729,India's Wipro shares rally on dollar revenue guidance ,MUMBAI India's Wipro Ltd  shares surged as much as 5.9 percent on Monday  after the software services exporter issued dollar revenue guidance that was above estimates.,topStory
