AMGN,Amgen Inc,20131115,U.S. FDA says new cholesterol drugs may not need outcome studies ,Nov 14 Members of an experimental class of cholesterol-lowering drugs could get U.S. regulatory approval based on their ability to  lower "bad" cholesterol  and may not need to show that they reduce the risk of heart attack and stroke  the Food and Drug Administration said on Thursday.,normal
HOG,Harley-Davidson Inc,20131115,Preview: Virginia at Davidson ,(Updated: Virginia looks to get its offense in gear when it takes to the road for the first time this season against Davidson on Saturday afternoon. The 25th-ranked Cavaliers averaged 58.5 points in splitting their first two games while Davidson is coming off a loss in its home opener for the first time in 22 years. Virginia was fifth in the nation in scoring defense last season and the Cavaliers are expecting to improve on the other end  but they are shooting 40.6 percent from the field thus fa,topStory
HSBC,HSBC Holdings plc,20131115,Golf: Birdie blitz carries Donald into Dubai contention ,DUBAI Former world number one Luke Donald recorded six successive birdies in a second round 66 at the DP World Tour Championship  Dubai on Friday to bolster his chances of claiming a first win of the year on the European circuit.,topStory
HSEA,HSBC Holdings plc,20131115,Golf: Birdie blitz carries Donald into Dubai contention ,DUBAI Former world number one Luke Donald recorded six successive birdies in a second round 66 at the DP World Tour Championship  Dubai on Friday to bolster his chances of claiming a first win of the year on the European circuit.,topStory
HSEB,HSBC Holdings plc,20131115,Golf: Birdie blitz carries Donald into Dubai contention ,DUBAI Former world number one Luke Donald recorded six successive birdies in a second round 66 at the DP World Tour Championship  Dubai on Friday to bolster his chances of claiming a first win of the year on the European circuit.,topStory
IBM,International Business Machines Corporation,20131115,New Issue-IBM prices 750 mln stg 2020 bond ,Borrower                International Business Machines Corp (IBM),topStory
IBM,International Business Machines Corporation,20131115,CORRECTED-UPDATE 2-Australia's Freelancer soars on debut as investors pile into outsourcing ,SYDNEY  Nov 15 Australian jobs portal Freelancer Ltd soared up to 400 percent on its debut on Friday as investors scrambled to own shares in one of the few established companies in the rapidly growing Internet outsourcing market.,normal
IBM,International Business Machines Corporation,20131115,Buffett's Berkshire buys sizable new Exxon Mobil stake ,Warren Buffett's Berkshire Hathaway Inc on Thursday disclosed a new $3.45 billion stake in Exxon Mobil Corp  after buying 40.1 million shares in the world's largest publicly traded oil company. | Video ,normal
IBM,International Business Machines Corporation,20131115,Spy scandal weighs on U.S. tech firms in China  Cisco takes hit ,SINGAPORE U.S. technology companies including Cisco Systems Inc  International Business Machines Corp and Microsoft Corp may face new challenges selling their goods and services in China as fallout from the U.S. spying scandal starts to take a toll.,normal
IPG,Interpublic Group of Companies Inc (The),20131115,Britain's WPP denies it plans bid for U.S. group IPG ,LONDON British advertising group WPP  has dismissed as "completely inaccurate" a media report suggesting it is considering a takeover bid for rival Interpublic .,topStory
IPG,Interpublic Group of Companies Inc (The),20131115,UPDATE 1-Britain's WPP denies it plans bid for U.S. group IPG ,LONDON  Nov 15 British advertising group WPP  has dismissed as "completely inaccurate" a media report suggesting it is considering a takeover bid for rival Interpublic.,normal
IPG,Interpublic Group of Companies Inc (The),20131115,Britain's WPP rejects media report of bid for U.S. group IPG ,LONDON  Nov 15 British advertising group WPP  has dismissed a media report saying that the company is considering a takeover bid for rival Interpublic.,normal
JCP,JC Penney Company Inc Holding Company,20131115,US STOCKS-Dow  S&P close at new highs; Exxon Mobil leads Dow ,NEW YORK  Nov 15 The Dow and the S&P 500 hit new highs on Friday for a sixth straight week of gains  as investors continued to take cues from Federal Reserve Chair nominee Janet Yellen  who told a Senate Committee it was too early to end the central bank's stimulus.,topStory
JCP,JC Penney Company Inc Holding Company,20131115,US STOCKS-Dow  S&P at new highs; hedge fund stakes boost J.C. Penney ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
JCP,JC Penney Company Inc Holding Company,20131115,US STOCKS-Dow  S&P at new highs; Exxon leads blue chips higher ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
JCP,JC Penney Company Inc Holding Company,20131115,US STOCKS-Dow  S&P hit new highs on Fed; Twitter options debut ,* NY factory index falls in Nov to weakest since May-NY Fed,normal
JCP,JC Penney Company Inc Holding Company,20131115,UPDATE 3-Sotheby's  BofA  J.C. Penney attract hedge fund buyers ,NEW YORK/BOSTON  Nov 14 Top U.S. hedge fund managers in the third quarter zoned in on the consumer sector  with investment plays ranging from Sotheby's  a high-end auction house that caters to millionaires  to J.C. Penney Co   the struggling department store chain.,normal
KMB,Kimberly-Clark Corporation,20131115,Kimblerly Clark healthcare deal still months away ,NEW YORK  Nov 15 Kimberly Clark shares dropped slightly Friday morning after the company said during a press call that the potential spin off of its healthcare division still needs board approval and would not occur for several months.,topStory
MRK,Merck & Company Inc,20131115,Merck invests $107 million in China drug plant ,SHANGHAI German drugmaker Merck KGaA has invested 80 million euros ($107.67 million) in a manufacturing plant in China  the company said on Friday  underlining the importance of the market for global drug firms.,topStory
MRK,Merck & Company Inc,20131115,CORRECTED-Merck invests $107 million in China drug plant ,(Corrects company name and RIC to Merck KGaA in para 1  deletes reference to Merck in para 6),normal
MS,Morgan Stanley,20131115,Moody's cuts debt of Morgan Stanley  JPMorgan  Goldman  BNY Mellon ,NEW YORK Moody's Investors Service cut the debt ratings for four big bank holding companies  including Morgan Stanley  and JPMorgan Chase & Co   citing its increasing confidence that the U.S. government will not bail out the companies if they fail.,topStory
MS,Morgan Stanley,20131115,UPDATE 2-Moody's cuts debt of Morgan Stanley  JPMorgan  Goldman  BNY Mellon ,(Adds history of Moody's action  details on ratings  background on financial crisis)     By David Henry     NEW YORK  Nov 14 Moody's Investors Service cut the debt ratings for four big bank holding companies  including Morgan Stanley and JPMorgan Chase & Co  citing its increasing confidence that the U.S. government will not bail out the companies if they fail.        The cuts may increase banks' borrowing costs and force them to post more collateral in derivatives trades  weighing on,normal
NYT,New York Times Company (The),20131115,Emerging market stock funds have $4.7 billion outflow: BofA ,NEW YORK Investors worldwide withdrew large sums of cash from emerging market funds in the latest week on lingering uncertainty over the U.S. Federal Reserve's plans for unwinding its bond-buying  data from a Bank of America Merrill Lynch Global Research report showed on Friday.,topStory
PCG,Pacific Gas & Electric Co,20131115,UPDATE 1-PGE says Shangai Electric placed lowest bid for its Polish power plant ,WARSAW  Nov 15 China's Shanghai Electric  has placed the lowest  3.09-billion zloty ($992 million) bid to build a 430-450 megawatt lignite-fired unit for Poland's largest utility PGE  PGE said on Friday.,topStory
P,Pandora Media Inc,20131115,Denmark indicts Pandora over timing of 2011 profit warning ,COPENHAGEN  Nov 15 Jewellery maker Pandora  has been indicted by Danish prosecutors who say it should have told the market sooner that it expected to miss financial targets in 2011.,topStory
P,Pandora Media Inc,20131115,NORDIC STOCKS-Factors to watch on Friday ,COPENHAGEN  Nov 15 The following stocks may be affected by newspaper reports and other factors on Friday:,normal
P,Pandora Media Inc,20131115,Shareholders sell 20 mln Pandora shares for 4.9 bln DKK ,COPENHAGEN  Nov 15 Danish jewellery maker Pandora said on Friday that its two main shareholders has sold 20 million of their shares for a combined 4.9 billion Danish crowns ($884.13 million)  corresponding to a price per share of 245 crowns.,normal
PFE,Pfizer Inc,20131115,U.S. FDA says new cholesterol drugs may not need outcome studies ,Nov 14 Members of an experimental class of cholesterol-lowering drugs could get U.S. regulatory approval based on their ability to  lower "bad" cholesterol  and may not need to show that they reduce the risk of heart attack and stroke  the Food and Drug Administration said on Thursday.,normal
PKX,POSCO,20131115,S. Korean steelmaker POSCO CEO resigns ,SEOUL South Korean steelmaker POSCO  said on Friday chief executive Chung Joon-yang is leaving  the second major management change in the country's private sector in less than a month.,topStory
PKX,POSCO,20131115,UPDATE 1-S.Korean steelmaker POSCO CEO resigns ,SEOUL  Nov 15 South Korean steelmaker POSCO  said on Friday chief executive Chung Joon-yang is leaving  the second major management change in the country's private sector in less than a month.,normal
PKX,POSCO,20131115,S.Korean steelmaker POSCO CEO offers to resign ,SEOUL  Nov 15 South Korean steelmaker POSCO  said on Friday chief executive Chung Joon-yang has offered his resignation to the company's board of directors.,normal
POT,Potash Corporation of Saskatchewan Inc,20131115,CANADA STOCKS-U.S. Fed's reassurance propels TSX to two-year high ,* TSX rises 40.48 points  or 0.30 percent  to 13 471.86     * Seven of 10 main index sectors advance     * Potash is market's most influential gainer     * Saputo climbs after raising bid for Australian company      By John Tilak     TORONTO  Nov 15 Canada's main stock index climbed on Friday to its highest in more than two years as the market cheered stimulus-friendly comments from the Federal Reserve's Vice Chair Janet Yellen  who is expected to take over as head of the U.S. centra,topStory
PUK,Prudential Public Limited Company,20131115,Fitch Affirms Prudential Plc; Outlook Stable ,(The following statement was released by the rating agency) LONDON  November 15 (Fitch) Fitch Ratings has affirmed Prudential Plc's  (Prudential) Long-term Issuer Default Rating (IDR) at 'A+' and senior unsecured  debt at 'A'. The agency has also affirmed Prudential Assurance Company Ltd's  (PAC) Insurer Financial Strength (IFS) rating at 'AA'. At the same time  Fitch  has affirmed Prudential's US subsidiaries Jackson National Life Insurance  Company and Jackson National Life Insurance Company o,topStory
RBS,Royal Bank Scotland plc (The),20131115,RBS to park billions in shipping loans at 'bad bank': sources ,LONDON Royal Bank of Scotland (RBS) is reviewing its shipping loan business and is expected to place billions of dollars from the portfolio in the part-nationalized group's new internal "bad bank"  sources familiar with the matter said.,topStory
RBS,Royal Bank Scotland plc (The),20131115,UPDATE 2-EXCLUSIVE-RBS to park billions in shipping loans at 'bad bank' -sources ,* $4-5bln of shipping loans to be placed in bad bank - sources,normal
RBS,Royal Bank Scotland plc (The),20131115,EXCLUSIVE-UPDATE 1-RBS shipping loan business under review -sources ,LONDON  Nov 15 Royal Bank of Scotland (RBS)  is reviewing its shipping loan business and is expected to place billions of dollars from the portfolio in the part-nationalised group's new internal "bad bank"  sources familiar with the matter said.,normal
RBS,Royal Bank Scotland plc (The),20131115,RBS shipping loan business under review - sources ,LONDON  Nov 15 Royal Bank of Scotland (RBS)  is reviewing its shipping loan business and billions of dollars from the portfolio are expected to be placed in the part-nationalised group's new internal "bad bank"  sources familiar with the matter said.,normal
BID,Sotheby&#39;s,20131115,What's behind the spike in art sales: vanity  fear and easy money ,BOSTON Emerging market billionaires  driven by vanity  easy money from the world's central banks and a quest for safe investments  are taking the contemporary art market to new heights.,topStory
BID,Sotheby&#39;s,20131115,Sotheby's  BofA  J.C. Penney attract hedge fund buyers ,NEW YORK/BOSTON Top U.S. hedge fund managers in the third quarter zoned in on the consumer sector  with investment plays ranging from Sotheby's   a high-end auction house that caters to millionaires  to J.C. Penney Co   the struggling department store chain.,normal
BID,Sotheby&#39;s,20131115,UPDATE 3-Sotheby's  BofA  J.C. Penney attract hedge fund buyers ,NEW YORK/BOSTON  Nov 14 Top U.S. hedge fund managers in the third quarter zoned in on the consumer sector  with investment plays ranging from Sotheby's  a high-end auction house that caters to millionaires  to J.C. Penney Co   the struggling department store chain.,normal
STO,Statoil ASA,20131115,Statoil to extend lifetime of Statfjord A platform off Norway ,OSLO  Nov 15 Norway's Statoil and its partners have decided to extend the lifetime of its oldest oil platform  Statfjord A  in the North Sea until 2020  the company said on Thursday.,topStory
SMFG,Sumitomo Mitsui Financial Group Inc,20131115,CORRECTED (OFFICIAL)-UBS  Sumitomo mulled Japan investment banking tie-up-sources ,ZURICH  Nov 15 Swiss bank UBS and Japan's Sumitomo Mitsui Financial Group considered an investment banking cooperation in Japan but talks broke off without a result  according to two sources familiar with the matter.,topStory
TI,Telecom Italia SPA,20131115,Telecom Italia shares flat after downgrade ,MILAN  Nov 15 Shares in Telecom Italia  are flat after falling as much as 1.5 percent on Friday in an initial reaction to a credit rating downgrade by Standard & Poor's.,topStory
TEF,Telefonica SA,20131115,New Issue-O2 Telefonica prices 600 mln euro 2018 bond ,Borrower                O2 Telefonica Deutschland Finanzierungs GmbH,topStory
TRI,Thomson Reuters Corp,20131115,UPDATE 5-Dozens dead in clash with Libyan militiamen in Tripoli ,* Oil exports blocked by widespread armed disorder   (Updates death toll  adds regional context and other details),topStory
TM,Toyota Motor Corp Ltd Ord,20131115,RPT-UPDATE 1-Subaru plant in Indiana to stop building Camry in 2017 ,* Fuji Heavy says plans to increase output of Subaru models at plant,topStory
TM,Toyota Motor Corp Ltd Ord,20131115,UPDATE 1-Subaru plant in Indiana to stop building Camry in 2017 ,* Fuji Heavy says plans to increase output of Subaru models at plant,normal
TWTR,Twitter Inc,20131115,Active but orderly debut for Twitter options ,CHICAGO Trading in options of Twitter Inc was dominated by put volume with a mixture of selling  hedging and speculative activity in an overall orderly debut on the U.S. options market  a week after the social media company's stock started trading.,topStory
TWTR,Twitter Inc,20131115,UPDATE 3-Active but orderly debut for Twitter options ,* Put volume outpaces call volume by a factor of two-to-one,normal
TWTR,Twitter Inc,20131115,Dow  S&P close at new highs; Exxon Mobil leads Dow ,NEW YORK The Dow and the S&P 500 hit new highs on Friday for a sixth straight week of gains  as investors continued to take cues from Federal Reserve Chair nominee Janet Yellen  who told a Senate Committee it was too early to end the central bank's stimulus. | Video ,normal
TWTR,Twitter Inc,20131115,US STOCKS-Dow  S&P at new highs; hedge fund stakes boost J.C. Penney ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
TWTR,Twitter Inc,20131115,US STOCKS-Dow  S&P at new highs; Exxon leads blue chips higher ,* NY factory index falls in Nov to weakest since May -NY Fed,normal
TWTR,Twitter Inc,20131115,US STOCKS-Dow  S&P hit new highs on Fed; Twitter options debut ,* NY factory index falls in Nov to weakest since May-NY Fed,normal
TWTR,Twitter Inc,20131115,US STOCKS-Wall St set for new record highs; S&P 500 eyes 1 800 level ,* NY factory index falls in Nov to weakest since May-NY Fed,normal
TWTR,Twitter Inc,20131115,US STOCKS-Futures climb  setting up Dow  S&P for fresh records ,* NY factory index falls in Nov to weakest since May-NY Fed,normal
TWTR,Twitter Inc,20131115,RPT-Options traders gear up to "strangle" and "straddle" Twitter ,* Bid-ask spreads on Twitter may be wide initially before they narrow,normal
TWTR,Twitter Inc,20131115,Options traders gear up to "strangle" and "straddle" Twitter ,* Bid-ask spreads on Twitter may be wide initially before they narrow,normal
