AMZN,Amazoncom Inc,20130823,Intel Media opens offices in LA  New York in TV push ,SAN FRANCISCO  Aug 23 Intel Corp's  media arm is opening offices in New York and Los Angeles as the company pushes ahead with an Internet television service that it plans to launch later this year  an Intel spokesman said on Friday.,normal
KKR,KKR & Co LP,20130823,Toshiba  KKR  Bain to bid for Panasonic healthcare unit -sources ,TOKYO  Aug 23 Toshiba Corp  U.S. private equity firm Kohlberg Kravis Roberts & Co (KKR)  and a consortium including Bain Capital are expected to participate in the final round of bids next week for Panasonic Corp's healthcare business  a deal that could fetch as much as $1.5 billion  sources with knowledge of the matter said on Friday.,normal
KKR,KKR & Co LP,20130823,Corrected: KKR agrees to buy up to 63 percent of Australia's GenesisCare ,(This story corrects June 2012 story throughout to show joint statement said KKR agreed to buy up to 63 percent of GenesisCare  not that it had taken a 63 percent stake),normal
KKR,KKR & Co LP,20130823,CORRECTED-UPDATE 1-KKR agrees to buy up to 63 pct of Australia's GenesisCare ,(Corrects June 2012 story throughout to show joint statement said KKR agreed to buy up to 63 pct of GenesisCare  not that it had taken a 63 pct stake),normal
KKR,KKR & Co LP,20130823,CORRECTED-KKR agrees to buy up to 63 pct of Australian healthcare firm ,(Corrects headline  paragraph 1 of June 2012 story to show joint statement said KKR agreed to buy up to 63 pct of GenesisCare  not that it had taken a 63 pct stake),normal
LMT,Lockheed Martin Corporation,20130823,Lockheed eyes 40 percent savings on next F-35 logistics contract ,WASHINGTON Lockheed Martin Corp  said it is close to an agreement with the Pentagon for a more portable and 40 percent cheaper version of the operations and logistics system that controls the F-35 fighter  the Pentagon's most expensive weapons program.,topStory
LMT,Lockheed Martin Corporation,20130823,Lockheed eyes 40 pct savings on next F-35 logistics contract ,WASHINGTON  Aug 22 Lockheed Martin Corp  said it is close to an agreement with the Pentagon for a more portable and 40 percent cheaper version of the operations and logistics system that controls the F-35 fighter  the Pentagon's most expensive weapons program.,normal
MCD,McDonald&#39;s Corporation,20130823,Departed P&G CEO made 5 percent more last year as bonus rose ,Aug 23 Procter & Gamble Co said on Friday it paid Bob McDonald  the former chairman  president and chief executive who abruptly left last spring  nearly 5 percent more last year as the company's performance improved.,topStory
MRK,Merck & Company Inc,20130823,Halt in Zilmax sales fuels demand for rival cattle feed product ,CHICAGO Merck & Co's decision to suspend sales of its Zilmax cattle feed additive has caused such a surge in demand for rival Eli Lilly & Co's Optaflexx that Lilly is telling some new customers it cannot immediately supply them  customers told Reuters.,topStory
MRK,Merck & Company Inc,20130823,Halt in Zilmax sales fuels demand for rival cattle feed product ,* Some new Optaflexx feeders put on waiting list-customers,normal
MRK,Merck & Company Inc,20130823,Q&A:-Animal welfare consultant Grandin on Zilmax  beta-agonists ,Aug 22 Merck & Co. recruited Temple Grandin  an advocate for the humane treatment of livestock  to be on a board that will consult on the company's Zilmax feed additive  which has been temporarily taken off the U.S. and Canadian markets following animal welfare concerns.,normal
MCO,Moody&#39;s Corporation,20130823,Update-Moody's: Franshion Properties' ratings unaffected by USD bond issuance ,For the full text of this story please click the following link:,topStory
MS,Morgan Stanley,20130823,China's Jiangxi Copper interested in Glencore's Peru mine: sources ,HONG KONG Jiangxi Copper Co Ltd has joined a list of potential Chinese suitors interested in buying Glencore Xstrata Plc's  $5 billion-plus Las Bambas copper mine in Peru  underscoring the Chinese government's desire to plug a shortage in supply.,normal
NYT,New York Times Company (The),20130823,Connectivity issue between Nasdaq and Arca preceded outage: source ,NEW YORK The vague "connectivity issue" that Nasdaq said triggered the outage that paralyzed a large part of the U.S. stock market on Thursday originated as a problem between Nasdaq and rival NYSE Arca  a source familiar with the matter said Friday.,topStory
NYT,New York Times Company (The),20130823,Guardian teams up with New York Times over Snowden documents ,WASHINGTON The Guardian has agreed with the New York Times to give the U.S. newspaper access to some classified documents leaked by former National Security Agency contractor Edward Snowden  the British newspaper said on Friday.,normal
NYT,New York Times Company (The),20130823,REFILE-Guardian teams up with New York Times over Snowden documents ,(In paragraph 4  deletes reference to representatives of the Guardian),normal
NS,Nustar Energy LP,20130823,UPDATE 1-NuStar Energy signs Caribbean fuel-oil supply agreement ,Aug 23 NuStar Energy LP said on Friday it has signed a fuel oil supply agreement for its storage facility on the Caribbean island of St. Eustatius with a major trading company  in a bid to reduce its working capital costs.,topStory
NS,Nustar Energy LP,20130823,Nustar Energy signs Caribbean fuel oil supply agreement ,Aug 23 NuStar Energy LP said on Friday it has signed a fuel oil supply agreement for its St. Eustatius storage facility in the Caribbean with a major trading company  in a bid to reduce its working capital costs.,normal
P,Pandora Media Inc,20130823,US STOCKS-Wall St set for flat open after Nasdaq outage ,NEW YORK  Aug 23 U.S. stocks were poised for a flat on Friday  a day after the Nasdaq stock exchange suffered a historic trading halt of roughly three hours as a result of technical problems.,topStory
PTR,PetroChina Company Limited,20130823,Deals of the day -- mergers and acquisitions ,Aug 23 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
PG,Procter & Gamble Company (The),20130823,Departed P&G CEO made five percent more last year as bonus rose ,Procter & Gamble Co  said on Friday it paid Bob McDonald  the former chairman  president and chief executive who abruptly left last spring  nearly 5 percent more last year as the company's performance improved.,topStory
PG,Procter & Gamble Company (The),20130823,Departed P&G CEO made 5 percent more last year as bonus rose ,Aug 23 Procter & Gamble Co said on Friday it paid Bob McDonald  the former chairman  president and chief executive who abruptly left last spring  nearly 5 percent more last year as the company's performance improved.,normal
STO,Statoil ASA,20130823,Statoil to bet on Angola  Russian shale in exploration ,OSLO Statoil   one of the most successful oil explorers in recent years  sees offshore Angola and Russian shale as the industry's next big plays and considers U.S. shale oil overhyped  its exploration chief Tim Dodson said.,topStory
SU,Suncor Energy  Inc,20130823,CANADA STOCKS-Gold miners push TSX to one-week high as bullion jumps ,* TSX rises 87.95 points  or 0.69 percent  to 12 762.30     * All of the 10 main index sectors advance     * Index posts weekly gain     * Suncor has biggest positive influence on market     * Maple Leaf Foods jumps after move to sell biodiesel unit      By John Tilak     TORONTO  Aug 23 Canada's main stock index touched a one-week high on Friday as sluggish U.S. economic data renewed hopes that the U.S. Federal Reserve might delay winding down its stimulus program  lifting bullion p,topStory
SU,Suncor Energy  Inc,20130823,CANADA STOCKS-Economic optimism returns  lifts TSX to one-week high ,* TSX rises 93.53 points  or 0.74 percent  to 12 767.88     * Nine of 10 main index sectors advance     * Suncor has biggest positive influence on market     * Maple Leaf Foods jumps after move to sell biodiesel unit      By John Tilak     TORONTO  Aug 23 Canada's main stock index hit a one-week high on Friday after positive economic data buoyed commodity prices and lifted hopes for a stable global recovery  fueling gains in every major sector.      The Toronto market strongly outpac,normal
TRI,Thomson Reuters Corp,20130823,INSIGHT-Zombie borrowers haunt China's shadow banks ,* Mounting concern over disconnect between lending and growth in China,topStory
TM,Toyota Motor Corp Ltd Ord,20130823,UPDATE 3-French court delays Daimler sales ban decision to Tuesday ,* Toyota switches three models back to banned coolant   (Adds detail on judicial procedure),topStory
TM,Toyota Motor Corp Ltd Ord,20130823,CORRECTED-UPDATE 2-French court delays Daimler sales ban decision to Tuesday ,(Corrects to show court will decide whether to suspend government ban  not overturn it),normal
TM,Toyota Motor Corp Ltd Ord,20130823,Nikkei jumps over 2 pct on upbeat global data  weaker yen ,TOKYO  Aug 23 Japan's Nikkei share average jumped more than 2 percent on Friday with upbeat factory activity data from around the world spurring broad gains  led by exporters like Toyota Motor Corp that got an extra lift from a weaker yen.     The Nikkei rose 2.2 percent to 13 660.55  after shedding 0.4 percent in the previous session. For the week  the benchmark gained 0.1 percent.     The broader Topix added 2 percent to 1 141.63 in light trade.     Among exporters  Toyota gained 2,normal
DIS,Walt Disney Company (The),20130823,ESPN denies it quit head injuries documentary over NFL ties ,ESPN said it has pulled out of a documentary with PBS' "Frontline" about head injuries in the National Football League  but the Walt Disney co-owned sports network denied a media report that its decision was due to pressure from the NFL.,topStory
DIS,Walt Disney Company (The),20130823,UPDATE 1-ESPN denies it quit head injuries documentary over NFL ties ,Aug 23 ESPN said it has pulled out of a documentary with PBS' "Frontline" about head injuries in the National Football League  but the Walt Disney co-owned  sports network denied a media report that its decision was due to pressure from the NFL.,normal
DIS,Walt Disney Company (The),20130823,ESPN denies it quit head injuries documentary over NFL ties ,Aug 23 ESPN said it has pulled out of a documentary with PBS' "Frontline" about head injuries in the National Football League  but the Walt Disney co-owned sports network denied a media report that its decision was due to pressure from the NFL.,normal
