AAPL,Apple Inc,20131210,U.S. tech companies call for more controls on surveillance ,LONDON Eight major U.S. web companies  including Apple  Google and Facebook  made a joint call on Monday for tighter controls on how governments collect personal data  intensifying the furor over online surveillance. | Video ,topStory
GM,General Motors Company,20131210,BRIEF-GM CEO Akerson: Barra picked as his successor for her talent  not her gender ,DETROIT  Dec 10 General Motors Co CEO Dan Akerson on conference call with media:  * CEO Akerson says roughly two months ago family learned of his wife's cancer  * CEO Akerson says every board plans for succession  * CEO Akerson says mary barra "great choice" as his successor  * CEO Akerson says barra has vision where she wants to take GM  * CEO Akerson says thought GM had the talent within the company and didn't look,normal
GM,General Motors Company,20131210,US STOCKS-Wall St retreats from record S&P 500 close ,* Lululemon falls as retailer names new CEO  founder steps down,normal
GM,General Motors Company,20131210,GM CEO Akerson to exit in January  Barra to take his place ,DETROIT  Dec 10 General Motors Co on Tuesday said Chief Executive Dan Akerson will step down next month and be replaced by Mary Barra  the company's global product development chief  marking the first time a major U.S. automaker has been led by a woman.,normal
GM,General Motors Company,20131210,US STOCKS-Wall St set for lower open after record close; GM in focus ,* Lululemon names new CEO  founder Chip Wilson to step down; shares up,normal
GS,Goldman Sachs Group Inc (The),20131210,UPDATE 1-Owners of debt collector Lindorff appoint banks for listing -sources ,* Goldman Sachs  Morgan Stanley  SEB  Carnegie to lead IPO,topStory
GS,Goldman Sachs Group Inc (The),20131210,UPDATE 1-Trafigura says has no plans to sell warehousing unit ,* Traders have logistical reasons for owning warehouse firms,normal
GS,Goldman Sachs Group Inc (The),20131210,Owners of debt collector Lindorff appoint banks for share sale-sources ,* Goldman Sachs  Morgan Stanley  SEB  Carnegie to lead IPO,normal
HRB,H&R Block Inc,20131210,H&R Block's loss widens as global tax filing fees fall ,U.S. tax preparer H&R Block Inc  reported a bigger-than-expected loss for the second quarter due to a fall in international tax preparation fees.,topStory
HRB,H&R Block Inc,20131210,UPDATE 1-H&R Block's loss widens as global tax filing fees fall ,* Q2 adjusted loss/share from continuing ops bigger than expected,normal
HRB,H&R Block Inc,20131210,H&R Block's loss widens as global tax preparation fees fall ,Dec 10 U.S. tax preparer H&R Block Inc  reported a bigger second-quarter loss ahead of the tax filing season due to a fall in international tax preparation fees.,normal
HRB,H&R Block Inc,20131210,BRIEF-H and R Block shares down 3.1 pct after the bell following results ,NEW YORK  Dec 10 H & R Block Inc :  * Shares were down 3.1 percent after the bell following results,normal
HSBC,HSBC Holdings plc,20131210,Santander agrees to buy 8 pct of Bank of Shanghai from HSBC ,MADRID  Dec 10 Spain's largest bank Banco Santander said on Tuesday it had agreed to buy HSBC's  8 percent stake in China's Bank of Shanghai and had signed a cooperation agreement.,topStory
HSEA,HSBC Holdings plc,20131210,Santander agrees to buy 8 pct of Bank of Shanghai from HSBC ,MADRID  Dec 10 Spain's largest bank Banco Santander said on Tuesday it had agreed to buy HSBC's  8 percent stake in China's Bank of Shanghai and had signed a cooperation agreement.,topStory
HSEB,HSBC Holdings plc,20131210,Santander agrees to buy 8 pct of Bank of Shanghai from HSBC ,MADRID  Dec 10 Spain's largest bank Banco Santander said on Tuesday it had agreed to buy HSBC's  8 percent stake in China's Bank of Shanghai and had signed a cooperation agreement.,topStory
ITUB,Itau Unibanco Banco Holding SA,20131210,UPDATE 1-Itaú's return on equity to top 20 pct next year -source ,SAO PAULO  Dec 10 Return on equity at Itaú Unibanco Holding SA  is likely to surpass 20 percent next year as Brazil's largest bank by market value benefits from lower delinquencies and bad loan provisions and climbing interest income  a source with direct knowledge of the situation told Reuters.,topStory
ITUB,Itau Unibanco Banco Holding SA,20131210,Return on equity at Itaú seen exceeding 20 pct in 2014 -source ,SAO PAULO  Dec 10 Return on equity at Itaú Unibanco Holding SA  is likely to surpass 20 percent in coming quarters as Brazil's largest bank by market value benefits from lower delinquencies and bad loan provisions as well as climbing interest income  a source with direct knowledge of the situation told Reuters.,normal
JNJ,Johnson & Johnson,20131210,EU regulators fine J&J  Novartis for generic drug deal ,BRUSSELS European Union regulators have fined drugmakers Johnson & Johnson and Novartis 16.3 million euros ($22 million) for blocking the sale of a cheaper generic rival to their painkiller fentanyl.,topStory
JNJ,Johnson & Johnson,20131210,UPDATE 2-EU regulators fine J&J  Novartis for generic drug deal ,BRUSSELS  Dec 10 European Union regulators have fined drugmakers Johnson & Johnson and Novartis  16.3 million euros ($22 million) for blocking the sale of a cheaper generic rival to their painkiller fentanyl.,normal
JNJ,Johnson & Johnson,20131210,EU regulators fine J&J  Novartis 16 mln euros for generic drug deal ,BRUSSELS  Dec 10 European Union antitrust regulators fined drugmakers Johnson & Johnson and Novartis a total of 16 million euros ($21.95 million) on Tuesday for blocking the sale of a generic painkiller in the Dutch market.,normal
LH,Laboratory Corporation of America Holdings,20131210,BRIEF-Laboratory Corp of America shares down 6.5 pct after the bell following guidance ,NEW YORK  Dec 10 Laboratory Corporation of America Holdings  :  * Laboratory corp of America shares were down 6.5 percent after the bell,topStory
LYG,Lloyds Banking Group Plc,20131210,Lloyds sells St James stake  gets closer to dividend ,LONDON Lloyds Bank  boosted its capital by 685 million pounds ($1.1 billion) via the sale of its remaining stake in wealth manager St James's Place   raising hopes it can soon pay dividends again for the first time since its 2008 bailout.,topStory
LYG,Lloyds Banking Group Plc,20131210,UPDATE 2-Lloyds sells St James stake  gets closer to dividend ,LONDON  Dec 10 Lloyds Bank boosted its capital by 685 million pounds ($1.1 billion) via the sale of its remaining stake in wealth manager St James's Place  raising hopes it can soon pay dividends again for the first time since its 2008 bailout.,normal
MAN,ManpowerGroup,20131210,Canadian employers to keep adding jobs in Q1 2014 -Manpower ,TORONTO  Dec 10 Canadian companies are planning to hire at a slightly faster pace in the first quarter of 2014 than in the current quarter  according to data released on Tuesday that also showed construction remained the most robust industry among those surveyed.,topStory
MA,Mastercard Incorporated,20131210,MasterCard to split shares; raises dividend by 83 percent ,MasterCard Inc   the world's No.2 credit and debit card company  announced a 1-for-10 stock split and raised its quarterly dividend by 83 percent  sending its shares up 3 percent to their life-high in extended trading.,topStory
MA,Mastercard Incorporated,20131210,MasterCard raises dividend by 83 pct  shares rise ,Dec 10 MasterCard Inc  the world's No.2 credit and debit card company  raised its quarterly dividend by 83 percent and announced a new $3.5 billion share buyback program  sending its shares up 3 percent in extended trading.,normal
MCD,McDonald&#39;s Corporation,20131210,New Issue- McDonald's prices 350 mln euro 2025 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 112.4bp,topStory
MCK,McKesson Corporation,20131210,Deals of the day-Mergers and acquisitions ,Dec 10 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Tuesday:,topStory
MCK,McKesson Corporation,20131210,Investor Elliott urges McKesson to sweeten Celesio bid ,FRANKFURT Hedge fund Elliott International pressed U.S. drugs wholesale group McKesson  for a mark-up on its $8.3 billion offer for German peer Celesio   triggering a standoff with hundreds of millions of dollars at stake.,normal
MCK,McKesson Corporation,20131210,UPDATE 1-Investor Elliott urges McKesson to sweeten Celesio bid ,FRANKFURT  Dec 10 Hedge fund Elliott International pressed U.S. drugs wholesale group McKesson  for a mark-up on its $8.3 billion offer for German peer Celesio  triggering a standoff with hundreds of millions of dollars at stake.,normal
MCK,McKesson Corporation,20131210,Hedge fund Elliott wants McKesson to sweeten Celesio bid ,FRANKFURT  Dec 10 Hedge fund Elliott International is pushing U.S. drugs wholesale group McKesson  to hike its $8.3 billion offer for German peer Celesio .,normal
MCK,McKesson Corporation,20131210,Hedge fund Elliott pushes McKesson to hike Celesio offer -source ,FRANKFURT  Dec 10 Hedge fund Elliott International is pushing U.S. drugs wholesale group McKesson  to hike its $8.3 billion offer for German peer Celesio   a source close to the investor said.,normal
MRK,Merck & Company Inc,20131210,Merck moves Alzheimer's drug into big trials after safety review ,Merck & Co said it will begin two late-stage trials of its experimental Alzheimer's drug  one of the industry's best hopes for slowing the memory-robbing disease  after an independent monitoring board reviewed its safety and recommended that more patients be recruited for studies.,topStory
MRK,Merck & Company Inc,20131210,Merck moves Alzheimer's drug into big trial after safety review ,Dec 10 Merck & Co said it will advance its experimental Alzheimer's drug into late-stage trials among patients with mild to moderate disease  after an independent monitoring board reviewed its safety and recommended the trial continue to recruit patients.,normal
MDP,Meredith Corporation,20131210,Meredith CEO on the hunt for more TV stations ,NEW YORK Media company Meredith Corp plans to aggressively grow its local TV station group through acquisitions that could eventually lead to a spin-off  the company's chief executive officer said in an interview with Reuters on Monday.,topStory
MON,Monsanto Company,20131210,Monsanto deal with Novozymes aims to accelerate new crop products ,Monsanto Co   the world's largest seed company  said Tuesday that a deal with Danish company Novozymes to form a long-term research and development alliance should accelerate the release of microbial-based products designed to improve crop production.,topStory
MON,Monsanto Company,20131210,UPDATE 1-Monsanto deal with Novozymes aims to accelerate new crop products ,Dec 10 Monsanto Co  the world's largest seed company  said Tuesday that a deal with Danish company Novozymes to form a long-term research and development alliance should accelerate the release of microbial-based products designed to improve crop production.,normal
MON,Monsanto Company,20131210,Novozymes and Monsanto form microbial alliance ,COPENHAGEN Denmark's Novozymes A/S  and U.S.-based Monsanto Co  have entered into a long-term alliance to boost research and commercialization of microbial products for agriculture  the Danish company said in a statement on Tuesday.,normal
MON,Monsanto Company,20131210,Monsanto deal with Novozymes aims to accelerate new crop products ,Dec 10 Monsanto Co  the world's largest seed company  said Tuesday that a deal with Danish company Novozymes to form a long-term research and development alliance should accelerate the release of microbial-based products designed to improve crop production.,normal
MON,Monsanto Company,20131210,UPDATE 1-Novozymes and Monsanto form microbial alliance ,* Two groups team up in microbial products for agriculture,normal
MON,Monsanto Company,20131210,Novozymes and Monsanto form microbial alliance ,COPENHAGEN  Dec 10 Denmark's Novozymes  and U.S.-based Monsanto have entered into a long-term alliance to boost research and commercialisation of microbial solutions for agriculture  the Danish company said in a statement on Tuesday.,normal
MON,Monsanto Company,20131210,RPT-BRIEF-Novozymes  Monsanto team up in bioagricultural solutions ,COPENHAGEN  Dec 10 Danish enzymes producer Novozymes said on Tuesday:,normal
MON,Monsanto Company,20131210,BRIEF-Novozymes  Monsanto team up in bioagricultural solutions ,COPENHAGEN  Dec 10 Danish enzymes producer Novozymes said on Tuesday:,normal
MS,Morgan Stanley,20131210,UPDATE 1-Owners of debt collector Lindorff appoint banks for listing -sources ,* Goldman Sachs  Morgan Stanley  SEB  Carnegie to lead IPO,topStory
MS,Morgan Stanley,20131210,Owners of debt collector Lindorff appoint banks for share sale-sources ,* Goldman Sachs  Morgan Stanley  SEB  Carnegie to lead IPO,normal
NYT,New York Times Company (The),20131210,Nasdaq plans "dark pool" for U.S. Treasuries ,NEW YORK Nasdaq OMX Group  plans to create a so-called dark pool for electronic U.S. Treasuries trading where buying and selling interest is not revealed  even on a post-trade basis  the company's chief executive officer said on Tuesday.,topStory
NVO,Novo Nordisk A/S,20131210,UPDATE 1-Novozymes and Monsanto form microbial alliance ,* Two groups team up in microbial products for agriculture,topStory
NVO,Novo Nordisk A/S,20131210,Police probe Novo Nordisk for late disclosure of drug setback ,COPENHAGEN Novo Nordisk  the world's largest insulin maker  is facing a Danish police probe after it was reported by the financial watchdog for not disclosing at once that its big new product hope Tresiba had been refused U.S. approval.,normal
NVO,Novo Nordisk A/S,20131210,UPDATE 2-Police probe Novo Nordisk for late disclosure of drug setback ,* Danish FSA reports Novo to police over slow Tresiba report,normal
NVO,Novo Nordisk A/S,20131210,BRIEF-Novo Nordisk confirms stock split Jan 2 ,COPENHAGEN  Dec 10 Danish pharmaceutical company Novo Nordisk said in a statement on Tuesday:,normal
NVO,Novo Nordisk A/S,20131210,Novo Nordisk reported to the police by Denmark's FSA ,COPENHAGEN  Dec 10 Danish pharmaceutical company Novo Nordisk has been reported to the police by the country's Financial Supervisory Authority (FSA) for violating disclosure obligations.,normal
NRG,NRG Energy Inc,20131210,NRG wants to shut two coal-fired power plants in Maryland ,Dec 10 U.S. power company NRG Energy Inc  said Tuesday it wants to shut over 1 200 megawatts of capacity at two old coal-fired power plants in Maryland in 2017 primarily because the state is proposing to tighten its air emissions regulations.,topStory
OXY,Occidental Petroleum Corporation,20131210,UPDATE 1-Market Chatter-Corporate finance press digest ,Dec 10 The following corporate finance-related stories were reported by media:,topStory
OXY,Occidental Petroleum Corporation,20131210,Market Chatter- Corporate finance press digest ,Dec 10 The following corporate finance-related stories were reported by media:,normal
ORAN,Orange,20131210,UPDATE 1-Orange's Polish unit seeks 2 950 voluntary layoffs ,* Poland's TPSA is looking for up to 2 950 people to take voluntarily redundancy,topStory
PCG,Pacific Gas & Electric Co,20131210,Ex-boss of Poland's PGE saw power plant as still not viable -sources ,* After initial doubts  PGE committed to Opole power project,topStory
PXD,Pioneer Natural Resources Company,20131210,Pioneer Natural says harsh winter in Texas may hurt 4th-qtr results ,Dec 10 Oil and gas producer Pioneer Natural Resources Co and its unit Pioneer Southwest Energy Partners said their fourth-quarter results could fall short of their expectations after a severe winter in Texas hurt production.,topStory
PUK,Prudential Public Limited Company,20131210,FTSE edges higher supported by Prudential's Asian growth outlook ,LONDON  Dec 10 A rally in insurer Prudential  helped Britain's top share index to edge higher on Tuesday  although its gains were capped by expectations of a tightening of the U.S. ultra-easy monetary policy after hawkish comments from central bank officials.,topStory
PUK,Prudential Public Limited Company,20131210,UPDATE 1-UK's Prudential sets 'aggressive' growth targets for 2017 ,* Eyes 15 pct annual pretax opg profit growth to 2017 in Asian unit,normal
PUK,Prudential Public Limited Company,20131210,Britain's FTSE steadies  propped up by Prudential ,* Technical support cluster seen capping any weakness-Informa,normal
PUK,Prudential Public Limited Company,20131210,RPT-Prudential sets new growth targets for Asia ,LONDON  Dec 10 British based life group Prudential plc has set new growth objectives driven by its Asian business  targeting at least 10 billion pounds of cumulative underlying free surplus generation by the end of 2017.,normal
PUK,Prudential Public Limited Company,20131210,Prudential sets new growth targets for Asia ,LONDON  Dec 10 British based life group Prudential plc has set new growth objectives driven by its Asian business  targeting at least 10 billion pounds of cumulative underlying free surplus generation by the end of 2017.,normal
RIO,Rio Tinto Plc,20131210,Rio has no time to lose says Brazil-bound IOC boss ,LAUSANNE  Swtizerland Organizers of the 2016 Rio de Janeiro Olympics have no time to lose with the International Olympic Committee president flying into the country in the coming weeks to monitor progress  the IOC said on Tuesday.,topStory
RIO,Rio Tinto Plc,20131210,Olympics-Rio has no time to lose says Brazil-bound IOC boss ,LAUSANNE  Swtizerland  Dec 10 Organisers of the 2016 Rio de Janeiro Olympics have no time to lose with the International Olympic Committee president flying into the country in the coming weeks to monitor progress  the IOC said on Tuesday.,normal
RIO,Rio Tinto Plc,20131210,Rio Tinto puts off plans for Paraguay aluminum plant ,ASUNCION  Dec 10 Giant global mining company Rio Tinto  said on Tuesday it postponed studies related to a proposed $4 billion aluminum plant in Paraguay due to bad market conditions  putting what would be the country's biggest-ever foreign investment in jeopardy.,normal
RBS,Royal Bank Scotland plc (The),20131210,UPDATE 1-RBS's Finance Director Bostock resigns to join Santander ,Dec 10 Royal Bank of Scotland said its finance director  Nathan Bostock  had resigned after just 10 weeks in the job  dealing a major blow to the state-backed bank's turnaround efforts.,topStory
RBS,Royal Bank Scotland plc (The),20131210,BRIEF-RBS's finance director to join Santander UK as deputy CEO and chief risk officer ,Dec 10   * RBS Finance Director Bostock will join Santander UK as chief risk officer and,normal
SEAS,SeaWorld Entertainment Inc,20131210,'Blackfish' director 'inspired' by artists canceling SeaWorld shows ,ORLANDO  Florida The director of "Blackfish " a documentary that raises questions about the treatment of whales used in performances at SeaWorld  said on Tuesday she was heartened by a number of musicians canceling shows at the Florida theme park over the film.,topStory
SEAS,SeaWorld Entertainment Inc,20131210,'Blackfish' director 'inspired' by artists canceling SeaWorld shows ,ORLANDO  Fla.  Dec 10 The director of "Blackfish " a documentary that raises questions about the treatment of whales used in performances at SeaWorld  said on Tuesday she was heartened by a number of musicians canceling shows at the Florida theme park over the film.,normal
STO,Statoil ASA,20131210,Turkey to increase its stake in TANAP gas pipeline project ,* Turkey is to boost its stake on the expense of Statoil  Total,topStory
TI,Telecom Italia SPA,20131210,Telecom Italia board not considering TIM Brasil break-up plan: CEO ,ROME The board of Telecom Italia is not considering any plan to break up the company's Brazilian wireless unit TIM Participacoes  CEO Marco Patuano said on Tuesday.,topStory
TI,Telecom Italia SPA,20131210,Telecom Italia board not considering TIM Brasil break-up plan-CEO ,ROME  Dec 10 The board of Telecom Italia  is not considering any plan to break up the company's Brazilian wireless unit TIM Participacoes  CEO Marco Patuano said on Tuesday.,normal
TEVA,Teva Pharmaceutical Industries Limited,20131210,UPDATE 2-Teva sees big profit drop if Copaxone competition launched ,* Teva sees 2014 EPS ex-items $4.20-$4.50 with Copaxone competition,topStory
TEVA,Teva Pharmaceutical Industries Limited,20131210,Israel Corp chairman steps down  to be vice chair of Teva Pharm ,JERUSALEM  Dec 10 Israeli conglomerate Israel Corp said on Tuesday its chairman Amir Elstein will step down at the end of the year after 3-1/2 years in the post.,normal
TEVA,Teva Pharmaceutical Industries Limited,20131210,Teva Pharm sees 2014 profit drop if Copaxone competition launched ,TEL AVIV  Dec 10 Teva Pharmaceutical Industries   the world's biggest generic drugmaker  forecast a big drop in profit in 2014 if cheap generic competition to its blockbuster multiple sclerosis treatment Copaxone is launched.,normal
TRI,Thomson Reuters Corp,20131210,UPDATE 1-Zumtobel's operating income jumps after revamp ,* Sales seen slightly down  EBIT up for 2013/14   (Adds details  background),topStory
TRI,Thomson Reuters Corp,20131210,Japan Inc sees BOJ easing further as sales-tax hike looms: Reuters poll ,TOKYO Almost two-thirds of Japanese firms expect the Bank of Japan will increase its stimulus in the first six months of 2014  a Reuters poll showed  underscoring the pressure on the central bank to remain the engine of growth under Abenomics.,normal
TSU,TIM Participacoes SA,20131210,Telecom Italia board not considering TIM Brasil break-up plan: CEO ,ROME The board of Telecom Italia is not considering any plan to break up the company's Brazilian wireless unit TIM Participacoes  CEO Marco Patuano said on Tuesday.,topStory
TSU,TIM Participacoes SA,20131210,Telecom Italia board not considering TIM Brasil break-up plan-CEO ,ROME  Dec 10 The board of Telecom Italia  is not considering any plan to break up the company's Brazilian wireless unit TIM Participacoes  CEO Marco Patuano said on Tuesday.,normal
TSU,TIM Participacoes SA,20131210,Spanish stocks - Factors to watch on Tuesday ,The following Spanish stocks may be affected by newspaper reports and other factors on Tuesday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
TSU,TIM Participacoes SA,20131210,UPDATE 1-Market Chatter-Corporate finance press digest ,Dec 10 The following corporate finance-related stories were reported by media:,normal
TSU,TIM Participacoes SA,20131210,Spanish stocks - Factors to watch on Tuesday ,The following Spanish stocks may be affected by newspaper reports and other factors on Tuesday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
TSU,TIM Participacoes SA,20131210,Market Chatter- Corporate finance press digest ,Dec 10 The following corporate finance-related stories were reported by media:,normal
TOL,Toll Brothers Inc,20131210,BRIEF-Toll Brothers shares up following results ,NEW YORK  Dec 10 Toll Brothers Inc :  * Shares up 3.9 percent in premarket trade following results,topStory
TM,Toyota Motor Corp Ltd Ord,20131210,Facing gridlock  Jakarta takes aim at cheap  green car drive ,* President encourages cheap  green cars as good for economy,normal
TM,Toyota Motor Corp Ltd Ord,20131210,General Motors sees China-like take-off in Indonesian car market ,JAKARTA General Motors Co   the world's second-biggest car maker  is trying to break the Japanese stranglehold on the popular family car market in Indonesia  where it sees the next auto boom after China  a senior executive said.,normal
TM,Toyota Motor Corp Ltd Ord,20131210,UPDATE 1--General Motors sees China-like take-off in Indonesian car market ,JAKARTA  Dec 10 General Motors Co  the world's second-biggest car maker   is trying to break the Japanese stranglehold on the popular family car market in Indonesia  where it sees the next auto boom after China  a senior executive said.,normal
TWTR,Twitter Inc,20131210,US STOCKS-Wall Street falls after record; Fed remains in focus ,* Indexes down: Dow 0.33 pct; S&P 0.32 pct; Nasdaq 0.2 pct,topStory
TWTR,Twitter Inc,20131210,Twitter shares touch new high  sail past $52 ,SAN FRANCISCO Investors piled into Twitter Inc for the second straight day  lifting its shares to more than $52 and setting a new intraday high on Tuesday even in the absence of any significant announcements from the social media debutante.,normal
TWTR,Twitter Inc,20131210,US STOCKS-S&P 500 slips from record  Fed remains in focus ,* Indexes down: Dow 0.25 pct; S&P 0.27 pct; Nasdaq 0.2 pct,normal
TWTR,Twitter Inc,20131210,Twitter shares touch new high  sail past $52 ,SAN FRANCISCO  Dec 10 Investors piled into Twitter Inc for the second straight day  lifting its shares to more than $52 and setting a new intraday high on Tuesday even in the absence of any significant announcements from the social media debutante.,normal
TWTR,Twitter Inc,20131210,US STOCKS-Wall St slightly lower  S&P retreats from record close ,* Lululemon falls as retailer names new CEO  founder steps down,normal
TWTR,Twitter Inc,20131210,US STOCKS-Wall St retreats from record S&P 500 close ,* Lululemon falls as retailer names new CEO  founder steps down,normal
UMC,United Microelectronics Corporation,20131210,Taiwan's UMC Nov sales rise 2.5 pct on year ,TAIPEI  Dec 10 Taiwan's UMC  the world's No.3 contract chipmaker  posted a 2.5 percent rise in November sales from a year earlier.    Following are details of the sales:                                 NOVEMBER    Y/Y %   YR-TO-DATE   Y/Y %    Sales (T$ bln)      10.35       +2.5     113.91      +6.5        (US$ mln)    350.05,topStory
VZ,Verizon Communications Inc,20131210,Vodafone sees Verizon deal finalized around early March ,NEW YORK Vodafone Group Plc  expects to close the $130 billion sale of its 45 percent stake in Verizon Wireless to Verizon Communications  and that shareholders will have received the proceeds of the deal by early March in line with the companies' target for a first quarter close.,topStory
VZ,Verizon Communications Inc,20131210,Vodafone sees Verizon deal finalized around early March ,NEW YORK  Dec 10 Vodafone Group Plc  expects to close the $130 billion sale of its 45 percent stake in Verizon Wireless to Verizon Communications and that shareholders will have received the proceeds of the deal by early March in line with the companies' target for a first quarter close.,normal
VZA,Verizon Communications Inc,20131210,Vodafone sees Verizon deal finalized around early March ,NEW YORK Vodafone Group Plc  expects to close the $130 billion sale of its 45 percent stake in Verizon Wireless to Verizon Communications  and that shareholders will have received the proceeds of the deal by early March in line with the companies' target for a first quarter close.,topStory
VZA,Verizon Communications Inc,20131210,Vodafone sees Verizon deal finalized around early March ,NEW YORK  Dec 10 Vodafone Group Plc  expects to close the $130 billion sale of its 45 percent stake in Verizon Wireless to Verizon Communications and that shareholders will have received the proceeds of the deal by early March in line with the companies' target for a first quarter close.,normal
WMT,Wal-Mart Stores Inc,20131210,UPDATE 3-Wal-Mart taps insider to head international division ,Dec 10 Wal-Mart Stores Inc on Tuesday said the head of its Canadian division would take over the retailer's international unit next year  succeeding Doug McMillon  who was named CEO of the company last month.,topStory
WM,Waste Management Inc,20131210,China waste firm Everbright Intl plans up to $484 millionshare sale: IFR ,HONG KONG Waste management and energy company China Everbright International Ltd  is seeking to raise up to HK$3.75 billion ($484 million) by issuing new shares  IFR reported on Tuesday  citing sources.,topStory
WM,Waste Management Inc,20131210,China waste firm Everbright Intl plans up to $484 mln share sale-IFR ,HONG KONG  Dec 10 Waste management and energy company China Everbright International Ltd is seeking to raise up to HK$3.75 billion ($484 million) by issuing new shares  IFR reported on Tuesday  citing sources.,normal
WFC,Wells Fargo & Company,20131210,BRIEF-Wells Fargo expects to request higher dividend in 2014 ,Dec 10 Wells Fargo & Co CEO John Stumpf said at an investor conference in New York:  * the bank expects to request a higher dividend  more share buybacks from the Federal Reserve in 2014  * "abnormally good" credit quality could continue for longer than many expect,topStory
