AMZN,Amazoncom Inc,20130927,Panic button-equipped Amazon Kindles join gadget battle ,SEATTLE Amazon.com Inc has begun selling faster and lighter versions of its Kindle tablet with a unique video helpdesk feature aimed at giving it a leg-up over Apple Inc and Google Inc during the holiday season.,topStory
LMT,Lockheed Martin Corporation,20130927,Pentagon sees decisions on U.S. weather satellite in next months ,WASHINGTON The Pentagon is expected to reach decisions in coming months on how to meet its weather forecasting needs after the 2012 termination of a nearly $15 billion program being built by Northrop Grumman Corp  a senior official told Reuters on Thursday.,normal
LL,Lumber Liquidators Holdings Inc,20130927,UPDATE 2-Lumber Liquidators cooperating in wood imports probe ,* Shares down 9 percent   (Adds analyst comments  details on scene  updates stock activity),topStory
LL,Lumber Liquidators Holdings Inc,20130927,MARKET PULSE-J.C. Penney  Lumber Liquidators  Nektar  Violin  Enduro ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
LL,Lumber Liquidators Holdings Inc,20130927,Lumber Liquidators stock falls after report of search by feds ,Sept 27 Shares of Lumber Liquidators Holdings  plunged 10 percent in premarket trading on Friday after the Associated Press reported that federal authorities searched the retailer's headquarters and a business location.,normal
LL,Lumber Liquidators Holdings Inc,20130927,MARKET PULSE-BlackBerry  J.C. Penney  Lumber Liquidators  Nektar ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stock index futures fell on Friday as deadlines loomed for a political agreement in Washington that would keep the U.S. government running and avoid a debt default  with no clear solution in sight. S&P 500 futures fell 8 points  Dow Jones industrial average futures fell 48 points  and Nasdaq 100 fu,normal
MFG,Mizuho Financial Group Inc,20130927,Japan regulator chides Mizuho for loans to crime network members ,TOKYO Japan's banking regulator on Friday chided Mizuho Financial Group  for failing to take sufficient action against loans it had extended through a consumer credit agency to members of organized crime networks.,topStory
MFG,Mizuho Financial Group Inc,20130927,Japan regulator chides Mizuho for loans to crime network members ,TOKYO  Sept 27 Japan's banking regulator on Friday chided Mizuho Financial Group for failing to take sufficient action against loans it had extended through a consumer credit agency to members of organised crime networks.,normal
NEE,NextEra Energy Inc,20130927,NRC to meet on concrete flaw at New Hampshire Seabrook reactor ,Sept 27 Efforts by NextEra Energy Inc to address degradation of concrete at the Seabrook nuclear power plant in New Hampshire will be the subject of a public meeting conducted by staff of the U.S. Nuclear Regulatory Commission staff on Oct. 9.,topStory
NKE,Nike Inc,20130927,US STOCKS-Wall St falls as U.S. government faces possible shutdown ,NEW YORK  Sept 27 U.S. stocks declined on Friday and the S&P 500 and Dow posted their first weekly drop in four  as Democrat and Republican lawmakers struggled to agree on an emergency funding bill to avert a U.S. government shutdown days away.,topStory
NKE,Nike Inc,20130927,US STOCKS-Wall Street falls as federal budget deadline draws near ,NEW YORK  Sept 27 U.S. stocks declined on Friday  putting the S&P 500 and Dow on track for their first weekly drop in four  as congressional Democrats and Republicans struggled to pass a federal budget to avert a government shutdown days away.,normal
NKE,Nike Inc,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
NKE,Nike Inc,20130927,US STOCKS-Wall St falls as Washington deadline draws closer ,* Indexes off: Dow 0.48 pct  S&P 0.37 pct  Nasdaq 0.02 pct,normal
NKE,Nike Inc,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
NKE,Nike Inc,20130927,US STOCKS-Looming Washington debt deadlines drag Wall St lower ,NEW YORK  Sept 27 U.S. stocks fell on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by lawmakers in Washington.,normal
NKE,Nike Inc,20130927,MARKET PULSE-J.C. Penney  Lumber Liquidators  Nektar  Violin  Enduro ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
NKE,Nike Inc,20130927,MARKET PULSE-BlackBerry  J.C. Penney  Lumber Liquidators  Nektar ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stock index futures fell on Friday as deadlines loomed for a political agreement in Washington that would keep the U.S. government running and avoid a debt default  with no clear solution in sight. S&P 500 futures fell 8 points  Dow Jones industrial average futures fell 48 points  and Nasdaq 100 fu,normal
NKE,Nike Inc,20130927,US STOCKS-Wall Street to fall as Washington debt deadlines loom ,NEW YORK  Sept 27 U.S. stocks were set to fall at the open  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington.,normal
NKE,Nike Inc,20130927,US STOCKS-Futures drop as Washington debt deadlines approach ,NEW YORK  Sept 27 U.S. stock index futures fell on Friday as deadlines loomed for a political agreement in Washington that would keep the U.S. government running and avoid a debt default  with no clear solution in sight.,normal
NMR,Nomura Holdings Inc ADR,20130927,ANZ  Singapore's United Overseas eye Hong Kong's Wing Hang Bank - WSJ ,Sept 27 Singapore's United Overseas Bank Ltd  and Australia & New Zealand Banking Group Ltd  have shown interest in buying Hong Kong's Wing Hang Bank Ltd   the Wall Street Journal said  citing people familiar with the matter.,normal
NOC,Northrop Grumman Corporation,20130927,Pentagon sees decisions on U.S. weather satellite in next months ,WASHINGTON The Pentagon is expected to reach decisions in coming months on how to meet its weather forecasting needs after the 2012 termination of a nearly $15 billion program being built by Northrop Grumman Corp  a senior official told Reuters on Thursday.,topStory
OAK,Oaktree Capital Group LLC,20130927,UPDATE 1-Shuanghui to cut stake in Spain's Campofrio ,MADRID  Sept 27 The Chinese group that inherited the largest single stake in Spanish food company Campofrio  plans to sell enough shares to avoid making a forced takeover  though some analysts viewed the move merely as a postponement.,normal
OAK,Oaktree Capital Group LLC,20130927,Countrywide shareholders cash in on Britain's housing recovery ,LONDON Two investors in Britain's biggest estate agency group Countrywide  have sold a combined 94 million pound ($150 million) stake in the company  a source close to the deal said  cashing in on the country's buoyant housing sector.,normal
ORCL,Oracle Corporation,20130927,For America's Cup  return to San Francisco no sure thing ,SAN FRANCISCO After a spectacular America's Cup regatta capped by home-team Oracle's thrilling comeback victory  there should be little question about the event returning to San Francisco.,topStory
ORCL,Oracle Corporation,20130927,SAILING-For America's Cup  return to San Francisco no sure thing ,SAN FRANCISCO  Sept 27 After a spectacular America's Cup regatta capped by home-team Oracle's thrilling comeback victory  there should be little question about the event returning to San Francisco.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20130927,UPDATE 2-Petrobras IBV Brazil offshore oil find 'beautiful' -CEO ,* Reuters reported on Thursday that area holds more than 1 bln barrels,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20130927,Petrobras CEO sees no near-term fuel price increase in Brazil ,BRASILIA  Sept 27 The president of state-run oil company Petroleo Brasileira SA said on Friday she sees no chance of a fuel price increase in Brazil in the short term.,normal
PFE,Pfizer Inc,20130927,UPDATE 3-U.S. FDA warns Pfizer's drug Tygacil raises risk of death ,Sept 27 Pfizer Inc's antibacterial drug Tygacil increases the risk of death whether used as authorized by the U.S. Food and Drug Administration or for unapproved conditions  the agency warned on Friday.,topStory
PFE,Pfizer Inc,20130927,FDA warns Pfizer's drug Tygacil raises risk of death ,Pfizer Inc's antibacterial drug Tygacil increases the risk of death whether used as authorized by the U.S. Food and Drug Administration or for unapproved conditions  the agency warned on Friday.,normal
PFE,Pfizer Inc,20130927,CORRECTED-UPDATE 1-US FDA warns Pfizer's drug Tygacil raises risk of death ,(Corrects 2012 sales figure for Tygacil to $335 mln from $86 mln  paragraph 8),normal
RTN,Raytheon Company,20130927,Raytheon wins $243 million U.S. Navy order for SM-6 missiles ,WASHINGTON Raytheon Co  has won a contract worth $243 million to build 89 new Standard Missile-6 interceptors for the U.S. Navy  the Pentagon said on Friday.,topStory
RTN,Raytheon Company,20130927,UPDATE 1-Raytheon wins $243 mln U.S. Navy order for SM-6 missiles ,WASHINGTON  Sept 27 Raytheon Co has won a contract worth $243 million to build 89 new Standard Missile-6 interceptors for the U.S. Navy  the Pentagon said on Friday.,normal
RTN,Raytheon Company,20130927,Raytheon wins $243 mln U.S. Navy order for SM-6 missiles ,WASHINGTON  Sept 27 Raytheon Co has won a contract worth $243 million to build 89 new Standard Missile 6 for the U.S. Navy  the Pentagon announced on Friday.,normal
RGC,Regal Entertainment Group,20130927,Fitch Updates Recovery Analyses for U.S. Media & Entertainment Sector ,(The following statement was released by the rating agency) NEW YORK  September 27 (Fitch) Fitch Ratings has published updated recovery  analyses for the following U.S. media and entertainment companies: --AMC Entertainment Inc. --Regal Entertainment Group --Univision Communications  Inc. --Clear Channel Communications  Inc. --Clear Channel Worldwide Holdings Inc. --Houghton Mifflin Harcourt Publishers  Inc. The interactive recovery analysis worksheets are available at  'www.fitchratings.com' un,topStory
RNG,Ringcentral Inc,20130927,Shares of cloud company RingCentral jump 28 pct in debut ,Sept 27 Shares of RingCentral Inc  a cloud-based business communications services provider  rose as much as 28 percent in their market debut on Friday.,topStory
RBS,Royal Bank Scotland plc (The),20130927,Corsair group wins fight for RBS's 314 UK branches ,LONDON  Sept 27 A consortium led by private equity firm Corsair will pay 600 million pounds to be an anchor investor in 314 branches being sold by Royal Bank of Scotland .,topStory
SNE,Sony Corp Ord,20130927,'Foodimals' stalk animated film world of 'Cloudy With a Chance of Meatballs 2' ,LOS ANGELES Fruits  vegetables and cheeseburgers get their film shelf-life extended in the animated comedy "Cloudy With a Chance of Meatballs 2 " as the franchise explores a new world of living  breathing "foodimals.",topStory
TI,Telecom Italia SPA,20130927,Telecom Italia chief Bernabe considering resigning: source ,MILAN Telecom Italia Executive Chairman Franco Bernabe is considering resigning at a board meeting scheduled for Thursday  a source close to the situation said  as his plans to relaunch the heavily indebted company may not get enough backing.,topStory
TI,Telecom Italia SPA,20130927,Telecom Italia chief Bernabe considering resigning: source ,ROME Telecom Italia  Chairman Franco Bernabe is considering resigning at a board meeting scheduled for Thursday  a source close to the situation said.,normal
TS,Tenaris SA,20130927,CORRECTED-Italian politics weighs on European shares ,(Corrects throughout to make clear third-quarter ends on Monday),topStory
TS,Tenaris SA,20130927,Italy crisis taints quarter-end for European shares ,* Italy's FTSEMib down on concerns over political stability,normal
TRI,Thomson Reuters Corp,20130927,Russian economic stability: too much of a good thing ,MOSCOW Russia is exercising fiscal restraint  has imposed a lockdown on monopoly pricing and the central bank is determined to bear down on inflation. | Video ,topStory
UAL,United Continental Holdings Inc,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,topStory
UAL,United Continental Holdings Inc,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
WMB,Williams Companies Inc (The),20130927,UPDATE 3-Church of England teams with U.S. investors to back new "ethical" bank ,* Corsair-led consortium sees off competition for 314 RBS branches,topStory
