AMGN,Amgen Inc,20130718,Exclusive: Pfizer not moving forward with Onyx bid: sources ,NEW YORK Pfizer Inc decided not to pursue a bid for Onyx Pharmaceuticals Inc this week  according to two people familiar with the matter  leaving Amgen Inc in the front position to buy the cancer drugmaker.,topStory
DB,Deutsche Bank AG,20130718,Deutsche Bank complaint fails in Tchenguiz battle with UK fraud agency ,LONDON  July 18 Deutsche Bank's bid to block disclosure of  confidential documents at the heart of a court battle between property tycoons Vincent and Robert Tchenguiz and the UK's top anti-fraud agency has been struck down by a London court.,topStory
DB,Deutsche Bank AG,20130718,Traders fired in Libor scandal sue Deutsche Bank ,FRANKFURT Four traders that Deutsche Bank fired over alleged involvement in a global scam to manipulate benchmark inter-bank lending rates are suing their former employer  seeking reinstatement.,normal
DB,Deutsche Bank AG,20130718,Traders fired in Libor scandal sue Deutsche Bank ,FRANKFURT  July 18 Four traders that Deutsche Bank fired over alleged involvement in a global scam to manipulate benchmark inter-bank lending rates are suing their former employer  seeking reinstatement.,normal
DB,Deutsche Bank AG,20130718,German stocks - Factors to watch on July 18 ,FRANKFURT  July 18 The DAX top-30 index  looked set to open 0.3 percent lower on Wednesday  according to premarket data from brokerage Lang & Schwarz at 0625 GMT.,normal
DOV,Dover Corporation,20130718,Dover boosts 2013 forecast after winning tax audit ,Dover Corp   which makes garbage truck compactors  car washes  drill bits for oil rigs and scores of other industrial products  boosted its 2013 forecast on Thursday  citing a gain from a U.S. tax audit and improving sales across units.,topStory
DOV,Dover Corporation,20130718,UPDATE 2-Dover boosts 2013 forecast after winning tax audit ,July 18 Dover Corp  which makes garbage truck compactors  car washes  drill bits for oil rigs and scores of other industrial products  boosted its 2013 forecast on Thursday  citing a gain from a U.S. tax audit and improving sales across units.,normal
DOV,Dover Corporation,20130718,Dover boosts 2013 forecast after winning tax audit ,Dover Corp   the maker of refrigeration display cases  drill bits for oil rigs and scores of other industrial products  boosted its 2013 forecast on Thursday  citing a gain from a U.S. tax audit and improving sales across units.,normal
DOV,Dover Corporation,20130718,Refrigeration case sales help Dover profit jump 54 percent ,July 18 Dover Corp  the maker of pumps  drill bits for oil rigs and scores of other industrial products  posted a 54 percent jump in quarterly profit on Thursday  helped largely by a gain in sales of refrigeration display cases.,normal
EMN,Eastman Chemical Company,20130718,Insight: Science for hire - Trial over plastic exposes disclosure deficit ,NEW YORK By 2012  Eastman Chemical seemed to be perfectly positioned when it came to producing plastic for drinking bottles. Concerns about a widely used chemical called bisphenol A (BPA) had become so great that Walmart stopped selling plastic baby bottles and children's sippy cups made with it and consumer groups were clamoring for regulators to ban it. Medical societies were warning that BPA's similarity to estrogens could disrupt the human hormone system and pose health risks  es,topStory
LLY,Eli Lilly and Company,20130718,Eli Lilly to freeze employee base pay ahead of generic onslaught ,NEW YORK U.S. drugmaker Eli Lilly & Co   which expects to lose about 20 percent of its global revenue next year due to the expiration of key drug patents  is suspending base pay increases for most employees in 2014 to cut costs.,topStory
ENB,Enbridge Inc,20130718,Enbridge reopens 210 000 bpd North Dakota-Minnesota crude line ,CALGARY  Alberta  July 18 Enbridge Inc  restarted its 210 000-barrel-per-day crude oil pipeline between Minot  North Dakota  and Clearbrook  Minnesota  on Thursday morning after it was shut down on Monday when workers discovered an oil leak of about two barrels.,topStory
XOM,Exxon Mobil Corporation,20130718,XTO Energy agrees to pay $100 000 fine for fracking spill ,NEW YORK An Exxon Mobil Corp  subsidiary agreed to pay a $100 000 fine for spilling wastewater from a natural gas drilling site in Pennsylvania that polluted a local river  U.S. regulators said on Thursday.,topStory
XOM,Exxon Mobil Corporation,20130718,XTO Energy agrees to pay $100 000 fine for fracking spill ,NEW YORK  July 18 An Exxon Mobil Corp  subsidiary agreed to pay a $100 000 fine for spilling wastewater from a natural gas drilling site in Pennsylvania that polluted a local river  U.S. regulators said on Thursday.,normal
GM,General Motors Company,20130718,Exclusive: GM planning strict diet for new pickup trucks: sources ,DETROIT General Motors Co  is preparing to put its full-size pickup trucks on a severe diet to meet future U.S. fuel economy standards and stay competitive with rival Ford Motor Co   according to several people familiar with its plans.,topStory
GM,General Motors Company,20130718,Retirees win suit over benefits against General Motors -report ,TORONTO  July 18 About 3 000 salaried retirees have won a class-action case against their former employer  General Motors Co affiliate General Motors of Canada Ltd  according to a report in the Globe and Mail newspaper.,normal
GSK,GlaxoSmithKline PLC,20130718,China widens drug industry probe  visits Belgium's UCB ,BRUSSELS/LONDON Belgian drugmaker UCB has been visited by Chinese authorities as the country widens investigations into bribery by drugmakers  following allegations against Britain's GlaxoSmithKline.,topStory
GSK,GlaxoSmithKline PLC,20130718,UPDATE 2-China widens drug industry probe  visits Belgium's UCB ,BRUSSELS/LONDON  July 18 Belgian drugmaker UCB  has been visited by Chinese authorities as the country widens investigations into bribery by drugmakers  following allegations against Britain's GlaxoSmithKline.,normal
GSK,GlaxoSmithKline PLC,20130718,China halts travel agency's business over GSK case: report ,BEIJING Authorities in Shanghai have suspended the business of a travel agency in connection with allegations of bribery against British drugmaker GlaxoSmithKline   the official Xinhua news agency said on Thursday.,normal
GSK,GlaxoSmithKline PLC,20130718,China halts travel agency's business over GSK case - report ,BEIJING  July 18 Authorities in Shanghai have suspended the business of a travel agency in connection with allegations of bribery against British drugmaker GlaxoSmithKline   the official Xinhua news agency said on Thursday.,normal
GS,Goldman Sachs Group Inc (The),20130718,INSIGHT-Aussie bank surfs U.S. energy wave as Wall St rivals struggle ,NEW YORK  July 18 An Australian bank is quietly beating Wall Street's powerhouses in a game they have long dominated: trading in the staples of the world economy.,normal
GS,Goldman Sachs Group Inc (The),20130718,Morgan Stanley second-quarter commodities business up on power  gas ,NEW YORK Morgan Stanley  said on Thursday its commodities business recovered in the three months to June from two previous dismal quarters  helped by higher client activity in power and gas and swings in precious metals prices.,normal
GS,Goldman Sachs Group Inc (The),20130718,REFILE-UPDATE 2-Morgan Stanley quarterly profit jumps on stock trading ,* Adjusted profit 45 cents a share vs Street view 43 cents,normal
HON,Honeywell International Inc,20130718,UPDATE 6-Beacon focus of Boeing fire probe  Boston plane upsets investors ,LONDON/SEATTLE/WASHINGTON  July 18 British aviation investigators identified an emergency beacon made by Honeywell International Inc as a likely source of last week's blaze on a Boeing Co 787 Dreamliner and called for it to be turned off  spurring a rally in Boeing shares by relieved investors.,topStory
HON,Honeywell International Inc,20130718,Honeywell backs UK recommendation on 787 emergency beacons ,WASHINGTON Honeywell International Inc  on Thursday said it backed a proposal by British authorities to switch off its emergency beacons on Boeing Co's  787s after a fire on a parked plane in London  but said it was premature to jump to conclusions.,normal
HON,Honeywell International Inc,20130718,Boeing says beacons can be removed from 787s in an hour ,WASHINGTON Emergency beacons made by Honeywell International Inc  can be simply removed from the Boeing 787 in about an hour  Boeing Co  said Thursday  after UK authorities investigating a 787 fire in London  recommended de-activating the devices.,normal
HON,Honeywell International Inc,20130718,Factbox: Honeywell rescue beacon had trouble before Boeing fire ,(Reuters)  Aviation investigators were examining the lithiumbased battery of an emergency rescue beacon made by Honeywell International Inc  as a possible cause of or contributor to a fire that badly burned a Boeing Co  787 in London last week.,normal
JPM,J P Morgan Chase & Co,20130718,UPDATE 2-Johnson Controls profit up  to sell electronics unit ,DETROIT  July 18 Johnson Controls Inc  posted a stronger-than-expected quarterly profit on Thursday and said it would sell part of its auto electronics business for about $700 million  sending its shares up 3.1 percent in premarket trading.,normal
JCI,Johnson Controls International plc,20130718,Johnson Controls profit up  to sell electronics unit ,DETROIT Johnson Controls Inc  posted a stronger-than-expected quarterly profit on Thursday and said it would sell part of its auto electronics business for about $700 million  sending its shares up 3.1 percent in premarket trading.,topStory
JCI,Johnson Controls International plc,20130718,UPDATE 2-Johnson Controls profit up  to sell electronics unit ,DETROIT  July 18 Johnson Controls Inc  posted a stronger-than-expected quarterly profit on Thursday and said it would sell part of its auto electronics business for about $700 million  sending its shares up 3.1 percent in premarket trading.,normal
JCI,Johnson Controls International plc,20130718,Johnson Controls profit up  to sell business line for $700 mln ,DETROIT  July 18 Johnson Controls Inc on Thursday posted a stronger-than-expected quarterly profit and said it would sell part of its auto electronics business for about $700 million.,normal
KEP,Korea Electric Power Corporation,20130718,Seoul shares slip 0.6 pct as techs weigh; KEPCO rallies ,SEOUL  July 18 Seoul shares fell 0.6 percent on Thursday  easing off a one-month closing high the previous session as investors turned more cautious ahead of Second quarter earning reports by major companies.,topStory
KR,Kroger Company (The),20130718,Fitch Rates Kroger's Proposed 10- and 30-Year Notes 'BBB' ,(The following statement was released by the rating agency) CHICAGO  July 18 (Fitch) Fitch Ratings has assigned a rating of 'BBB' to The  Kroger Co.'s (Kroger) proposed issue of 10- and 30-year senior unsecured notes.  The Rating Outlook is Stable. As of May 25  2013  Kroger had $7.9 billion of  debt outstanding  including capital leases. A full list of rating actions is  shown below.  KEY RATING DRIVERS Kroger's ratings are supported by its industry-leading sales growth and market  share gains ,topStory
LPL,LG Display Co Ltd,20130718,Apple supplier LG Display seeks to broaden smartphone client base ,SEOUL Flat-screen maker LG Display Co Ltd  a key supplier to Apple Inc  said on Thursday that it was seeking to broaden its smartphone customer base  betting that diversification would bolster its second-half earnings.,topStory
LPL,LG Display Co Ltd,20130718,UPDATE 2-Apple supplier LG Display seeks to broaden smartphone client base ,SEOUL  July 18 Flat-screen maker LG Display Co Ltd  a key supplier to Apple Inc  said on Thursday that it was seeking to broaden its smartphone customer base  betting that diversification would bolster its second-half earnings.,normal
LPL,LG Display Co Ltd,20130718,LG Display sees Q3 profit improving on mobile screen shipments ,SEOUL  July 18 LG Display Co Ltd  expects its profit to improve substantially in the July-September period from the prior quarter  helped by growing shipments of screens for smartphones and tablets as well as cost-cutting  its chief financial officer said.,normal
LPL,LG Display Co Ltd,20130718,LG Display Q2 profit up as firm TV panel prices mask weaker Apple orders ,SEOUL  July 18 South Korean flat-screen maker LG Display Co Ltd reported on Thursday a 53 percent rise in quarterly profit  as stable prices of large-sized TV screens helped counter slower growth of smartphone display shipments to its key customer Apple.,normal
MFC,Manulife Financial Corp,20130718,CORRECTED-STOCKS NEWS INDONESIA-Manulife cuts company's earnings growth view to 14 pct ,(Corrects headline to say Manulife cuts companies' earnings growth view from "earnings growth") Manulife Asset Management Indonesia lowered its full-year earnings growth forecast for Indonesian companies to 14 percent year-on-year from 17 percent.,topStory
MON,Monsanto Company,20130718,Monsanto to grow European seed business after GMO pullout ,BRUSSELS  July 18 Monsanto said on Thursday it would invest heavily in its European seed business in the coming years in order to boost sales of its other products after it abandoned development of genetically modified crops in the European Union.,topStory
MCO,Moody&#39;s Corporation,20130718,Update-Moody's assigns provisional ratings to one class of notes to be issued by Ares European CLO VI B.V. ,For the full text of this story please click the following link:,topStory
MS,Morgan Stanley,20130718,US STOCKS-Dow  S&P 500 end at all-time highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,topStory
MS,Morgan Stanley,20130718,US STOCKS-Dow  S&P 500 end at record highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
MS,Morgan Stanley,20130718,Fitch: Morgan Stanley's Results Benefit from Wealth Management ,(The following statement was released by the rating agency) NEW YORK  July 18 (Fitch) Morgan Stanley's second-quarter 2013 (2Q'13) operating  income was generally in line with Fitch Rating's expectations  reflecting  strengthening results in wealth management counterbalanced by lower linked  quarter performance in institutional securities. These latest results have no  rating implications (IDRs: 'A/F1' Stable). Morgan Stanley continues to conservatively manage liquidity and funding and  continue,normal
MS,Morgan Stanley,20130718,Morgan Stanley quarterly profit jumps on stock trading ,Morgan Stanley  posted a 42 percent increase in quarterly profit on Thursday as stock trading revenue soared  and the bank announced its first buyback plan since the financial crisis  in the latest signs that the No. 2 U.S. investment bank is regaining its footing. | Video ,normal
MS,Morgan Stanley,20130718,UPDATE 4-Morgan Stanley quarterly profit jumps on stock trading ,* FICC trading rev up 50 pct  stock trading rev up 38 pct,normal
MS,Morgan Stanley,20130718,US STOCKS-Dow  S&P 500 hit record highs on earnings and Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
MS,Morgan Stanley,20130718,Morgan Stanley second-quarter commodities business up on power  gas ,NEW YORK Morgan Stanley  said on Thursday its commodities business recovered in the three months to June from two previous dismal quarters  helped by higher client activity in power and gas and swings in precious metals prices.,normal
MS,Morgan Stanley,20130718,CORRECTED-WRAPUP 3-Factory  labor market data offer bright signs for U.S. economy ,(Corrects to show jobless claims at lowest level since May  not March),normal
MS,Morgan Stanley,20130718,Morgan Stanley wealth unit profitability jumps  nears 20 percent target ,NEW YORK Morgan Stanley's  bet on wealth management bore fruit in the second quarter as profitability in the bank's brokerage unit jumped  moving closer to management's target.,normal
MS,Morgan Stanley,20130718,Morgan Stanley wealth unit profitability jumps  nears 20 pct target ,NEW YORK  July 18 Morgan Stanley's bet on wealth management bore fruit in the second quarter as profitability in the bank's brokerage unit jumped  moving closer to management's target.,normal
MSI,Motorola Solutions Inc,20130718,UPDATE 3-Falling ad rates  Motorola losses dent Google results ,SAN FRANCISCO  July 18 Google Inc on Thursday reported second-quarter results short of Wall Street's estimates as weakening prices for the Internet company's ads and widening losses from its Motorola mobile phone business weighed on the bottom line.,topStory
NBHC,National Bank Holdings Corporation,20130718,Greece's National Bank to sell part of Finansbank stake - paper ,ATHENS  July 18 Greece's biggest lender  National Bank (NBG)  plans to gradually sell part of its controlling stake in Turkish unit Finansbank to boost its capital base further  daily Kathimerini reported on Thursday.,topStory
NUE,Nucor Corporation,20130718,UPDATE 2-Nucor CEO urges fair play in global steel industry ,* Calls on China to stop funding inefficient steel producers,topStory
NUE,Nucor Corporation,20130718,Steelmaker Nucor's profit falls 24 percent as prices drop ,Steelmaker Nucor Corp  reported a 24 percent fall in second-quarter profit due to a decline in selling prices.,normal
NUE,Nucor Corporation,20130718,Steelmaker Nucor's profit falls 24 pct as prices drop ,July 18 Steelmaker Nucor Corp reported a 24 percent fall in second-quarter profit due to a decline in selling prices.,normal
OMC,Omnicom Group Inc,20130718,UPDATE 1-Omnicom profit tops estimates on strong domestic advertising ,July 18 Omnicom Group Inc  the largest U.S. advertising company   reported a slightly better-than-expected 2.4 percent rise in quarterly profit  mirroring a similar increase in revenue in its home market.,topStory
OMC,Omnicom Group Inc,20130718,Omnicom quarterly profit rises on higher domestic advertising ,July 18 Omnicom Group Inc  the largest U.S. advertising company and home to agencies such as BBDO Worldwide and DDB Worldwide  reported higher quarterly profit due to a 2.4 percent rise in revenue in its domestic market.,normal
PFE,Pfizer Inc,20130718,Exclusive: Pfizer not moving forward with Onyx bid: sources ,NEW YORK Pfizer Inc decided not to pursue a bid for Onyx Pharmaceuticals Inc this week  according to two people familiar with the matter  leaving Amgen Inc in the front position to buy the cancer drugmaker.,topStory
DGX,Quest Diagnostics Incorporated,20130718,Quest Diagnostics reports third profit miss in a row ,Laboratory tests provider Quest Diagnostics Inc's  results missed analysts' expectations for the third straight quarter  hurt by a cut in Medicare reimbursements.,topStory
DGX,Quest Diagnostics Incorporated,20130718,Quest Diagnostics profit misses estimates ,July 18 Laboratory tests provider Quest Diagnostics Inc's results missed analysts' expectations for the third straight quarter  hurt by a cut in Medicare reimbursements.,normal
RIO,Rio Tinto Plc,20130718,COLUMN-BHP  Rio gamble on iron ore  but they've stacked the deck: Clyde Russell ,--Clyde Russell is a Reuters market analyst. The views expressed are his own.--,topStory
R,Ryder System Inc,20130718,I'm not obsessed with winning a major  says Poulter ,GULLANE  Scotland Winning a major championship will not define Ian Poulter's golf career  the world number 20 and Ryder Cup stalwart said on Thursday.,topStory
SAP,SAP SE,20130718,SAP warns China's slowdown is hurting software sales ,FRANKFURT German business software maker SAP AG trimmed its sales outlook for this year  warning that a slowdown in China was prompting companies across Asia to put investments on hold.,topStory
SAP,SAP SE,20130718,CORRECTED-UPDATE 2-SAP warns China's slowdown is hurting software sales ,* Trims outlook for software and software-related services,normal
SAP,SAP SE,20130718,BRIEF-SAP shares down 3.2 percent in early trade after Q2 results ,FRANKFURT  July 18 SAP :  * Shares down 3.2 percent in early trade after Q2 results,normal
SAP,SAP SE,20130718,CORRECTED-UPDATE 1-SAP warns China slowdown hurting software sales ,(Corrects last sentence to show the Q2 figure is below consensus  not above),normal
SAP,SAP SE,20130718,BRIEF-SAP shares indicated 3.6 percent lower after Q2 results ,FRANKFURT  July 18 SAP :  * Shares indicated 3.6 percent lower in pre-market trade after Q2 results,normal
SAP,SAP SE,20130718,SAP warns China slowdown hurting software sales ,FRANKFURT  July 18 Germany's SAP AG on Thursday curbed its outlook for 2013 software revenue  citing the effects of slowing economic growth in China and customers' move to cloud-based services.,normal
SEAS,SeaWorld Entertainment Inc,20130718,'Blackfish' documentary dives into killer whale captivity ,LOS ANGELES  July 18 Gabriela Cowperthwaite was a mom who took her kids to SeaWorld when the death of a killer whale trainer at one of the marine parks sparked her latest filmmaking project.,topStory
SEAS,SeaWorld Entertainment Inc,20130718,Blackstone's second-quarter earnings more than triple ,Blackstone Group LP   the largest alternative asset manager  said on Thursday that second-quarter earnings more than tripled as the value of its funds rose and it cashed out on parts of its portfolio  including SeaWorld.,normal
SEAS,SeaWorld Entertainment Inc,20130718,UPDATE 3-Blackstone's second-quarter earnings more than triple ,July 18 Blackstone Group LP  the largest alternative asset manager  said on Thursday that second-quarter earnings more than tripled as the value of its funds rose and it cashed out on parts of its portfolio  including SeaWorld.,normal
SHW,Sherwin-Williams Company (The),20130718,UPDATE 2-Mexico's competition watchdog denies Sherwin Williams buy ,MEXICO CITY  July 18 Mexico's competition watchdog said it had denied U.S. paint maker Sherwin Williams Co's $2.34 billion purchase of Mexican paint company Consorcio Comex due to concerns it could create unfair market conditions.,topStory
SHW,Sherwin-Williams Company (The),20130718,Mexico's Cofeco says paint tie-up would create unfair market ,MEXICO CITY  July 18 Mexico's Federal Competition Commission (Cofeco) said on Thursday that it had denied paint maker Sherwin Williams Co's planned purchase of local paint company Comex because of market power concerns.,normal
SYK,Stryker Corporation,20130718,Stryker quarterly profit falls short of Wall Street estimates ,U.S. orthopedic implant maker Stryker Corp  on Thursday reported net profit fell 35 percent in the second quarter  but said adjusted earnings rose about 1 percent as sales of its hip  knee and spine products improved.,topStory
SYK,Stryker Corporation,20130718,UPDATE 1-Stryker quarterly profit falls short of Wall Street estimates ,July 18 U.S. orthopedic implant maker Stryker Corp on Thursday reported net profit fell 35 percent in the second quarter  but said adjusted earnings rose about 1 percent as sales of its hip  knee and spine products improved.,normal
SVU,SuperValu Inc,20130718,UPDATE 4-Supervalu cost-cutting bears fruit  stock takes off ,* Shares spike 18 percent at midday   (Updates share move  adds Safeway results),topStory
SVU,SuperValu Inc,20130718,Supervalu loss widens on higher costs ,July 18 Supermarket operator Supervalu Inc  reported a bigger first-quarter loss  hurt by one-time costs including severance expenses and asset impairments.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20130718,TSMC sees up to 5.2 pct revenue growth in Q3 ,TAIPEI  July 18 Taiwan Semiconductor Manufacturing Co Ltd   the world's No.1 contract chip maker  said it expects third-quarter revenue to rise up to 5.2 percent over the previous quarter.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20130718,TSMC Q2 net profit beats expectations ,TAIPEI  July 18 Taiwan Semiconductor Manufacturing Co Ltd  said on Thursday that its second-quarter net profit rose 23.8 percent from a year earlier  beating forecasts  driven by sales of chips used in mobile gadgets.,normal
TI,Telecom Italia SPA,20130718,Telecom Italia rules out Brazil asset sales for now - sources ,MILAN  July 18 Telecom Italia has ruled out for now any plan to sell its profitable Brazilian assets to avoid antitrust issues in the likely event that Spain's Telefonica becomes its main shareholder after ownership changes later this year  people familiar with the matter said on Thursday.,topStory
TEF,Telefonica SA,20130718,Telecom Italia rules out Brazil asset sales for now - sources ,MILAN  July 18 Telecom Italia has ruled out for now any plan to sell its profitable Brazilian assets to avoid antitrust issues in the likely event that Spain's Telefonica becomes its main shareholder after ownership changes later this year  people familiar with the matter said on Thursday.,topStory
BX,The Blackstone Group LP,20130718,Blackstone's Brixmor files for real estate IPO ,NEW YORK Blackstone Group LP's  Brixmor Property Group Inc  owner of neighborhood shopping centers  on Thursday filed with federal regulators for an initial public offering in what will likely be one of the largest real estate IPOs in years.,topStory
BX,The Blackstone Group LP,20130718,UPDATE 3-Blackstone's Brixmor files for real estate IPO ,By Ilaina Jonas     NEW YORK  July 18 Blackstone Group LP's  Brixmor Property Group Inc  owner of neighborhood shopping centers  on Thursday filed with federal regulators for an initial public offering in what will likely be one of the largest real estate IPOs in years.      Brixmor said it was seeking to raise $100 million  but the amount was solely for the purpose of calculating the registration fee  the company said in a filing. The IPO is expected to be larger as Brixmor is value,normal
BX,The Blackstone Group LP,20130718,Blackstone's second-quarter earnings more than triple ,Blackstone Group LP   the largest alternative asset manager  said on Thursday that second-quarter earnings more than tripled as the value of its funds rose and it cashed out on parts of its portfolio  including SeaWorld.,normal
BX,The Blackstone Group LP,20130718,UPDATE 3-Blackstone's second-quarter earnings more than triple ,July 18 Blackstone Group LP  the largest alternative asset manager  said on Thursday that second-quarter earnings more than tripled as the value of its funds rose and it cashed out on parts of its portfolio  including SeaWorld.,normal
TRI,Thomson Reuters Corp,20130718,Angry Syrian refugees demand help from Kerry at camp ,(This story contains material from a member of the pool of State Department correspondents in Jordan  of which Arshad Mohammed of Reuters is a member; adds detail from U.N. official) | Video ,topStory
TOT,Total SA,20130718,Total to face French appeals court in oil-for-food case ,PARIS  July 18 Paris prosecutors filed an appeal on Thursday in the U.N. oil-for-food case  saying French energy group Total should be retried for bribery in the scandal involving illegal payments to Saddam Hussein's government.,topStory
TRP,TransCanada Corporation,20130718,TransCanada to announce Energy East pipeline results shortly-CEO ,NEW YORK  July 18 TransCanada Corp.  expects to announce potential interest in using its proposed Energy East crude oil pipeline project in the next couple of weeks  Chief Executive Officer Russ Girling said on Thursday.,topStory
UNP,Union Pacific Corporation,20130718,Union Pacific freight train derails near Fort Worth  one injured ,July 18 Two locomotives and seven cars from a freight train derailed near Fort Worth  Texas  early on Thursday  leaving one railroad worker injured  a railroad spokesman said.,topStory
UNP,Union Pacific Corporation,20130718,Higher freight rates boost Union Pacific profit ,Union Pacific Corp   the biggest U.S. railroad  posted a higher second-quarter profit on Thursday as increased freight rates offset lower volumes.,normal
UNP,Union Pacific Corporation,20130718,UPDATE 1-Higher freight rates boost Union Pacific profit ,July 18 Union Pacific Corp  the biggest U.S. railroad  posted a higher second-quarter profit on Thursday as increased freight rates offset lower volumes.,normal
UNP,Union Pacific Corporation,20130718,Union Pacific profit rises  boosted by higher freight rates ,July 18 Union Pacific Corp  the biggest U.S. railroad  posted a higher second-quarter profit on Thursday as increased freight rates offset lower volumes.,normal
UTX,United Technologies Corporation,20130718,EU mergers and takeovers (July 18) ,BRUSSELS  July 18 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
UNH,UnitedHealth Group Incorporated,20130718,UPDATE 3-UnitedHealth upbeat on growth  copes with Medicare cuts ,* Company strikes more positive tone on private Medicare -analyst   (Adds CEO comments  analyst comments  updates share price),topStory
UNH,UnitedHealth Group Incorporated,20130718,UnitedHealth second-quarter profit rises  beats expectations ,UnitedHealth Group Inc  on Thursday reported a bigger-than-expected rise in second-quarter net income as it enrolled more people in private and government-paid health insurance plans and sold more health technology systems.,normal
UNH,UnitedHealth Group Incorporated,20130718,UnitedHealth reports higher second-quarter profit ,July 18 UnitedHealth Group Inc  the nation's largest health insurer  said on Thursday that second-quarter net income rose as revenue grew across its businesses that provide health insurance  manage corporate health plans and build health technology systems.,normal
VZ,Verizon Communications Inc,20130718,Verizon quarterly revenue misses estimate  shares drop ,Verizon Communications Inc said strength in its wireless business was tempered by weakness in its traditional wireline unit  producing softer-than-expected revenue growth for the quarter and sending its shares down nearly 2 percent.,topStory
VZ,Verizon Communications Inc,20130718,UPDATE 3-Verizon quarterly revenue misses estimate  shares drop ,July 18 Verizon Communications Inc said strength in its wireless business was tempered by weakness in its traditional wireline unit  producing softer-than-expected revenue growth for the quarter and sending its shares down nearly 2 percent.,normal
VZ,Verizon Communications Inc,20130718,Verizon quarterly earnings  revenue rise ,NEW YORK  July 18 Verizon Communications Inc  quarterly earnings and revenue rose on strong wireless subscriber growth at its Verizon Wireless venture with Vodafone Group Plc.,normal
VZA,Verizon Communications Inc,20130718,Verizon quarterly revenue misses estimate  shares drop ,Verizon Communications Inc said strength in its wireless business was tempered by weakness in its traditional wireline unit  producing softer-than-expected revenue growth for the quarter and sending its shares down nearly 2 percent.,topStory
VZA,Verizon Communications Inc,20130718,UPDATE 3-Verizon quarterly revenue misses estimate  shares drop ,July 18 Verizon Communications Inc said strength in its wireless business was tempered by weakness in its traditional wireline unit  producing softer-than-expected revenue growth for the quarter and sending its shares down nearly 2 percent.,normal
VZA,Verizon Communications Inc,20130718,Verizon quarterly earnings  revenue rise ,NEW YORK  July 18 Verizon Communications Inc  quarterly earnings and revenue rose on strong wireless subscriber growth at its Verizon Wireless venture with Vodafone Group Plc.,normal
WFC,Wells Fargo & Company,20130718,Summerhays looking for swift redemption on PGA Tour ,Four days after a final hole bogey cost him a place in a playoff  Daniel Summerhays set out to atone for his near-miss by snatching the early lead at the Sanderson Farms Championship on Thursday.,topStory
WHR,Whirlpool Corporation,20130718,U.S. court restores consumers' suit airing Whirlpool washers' laundry ,NEW YORK A federal appeals court reinstated a class action lawsuit against Whirlpool Corp  on Thursday in a victory for consumers whose group lawsuit had been wiped out by the U.S. Supreme Court.,topStory
WHR,Whirlpool Corporation,20130718,UPDATE 1-U.S. court restores consumers' suit airing Whirlpool washers' laundry ,NEW YORK  July 18 A federal appeals court reinstated a class action lawsuit against Whirlpool Corp  on Thursday in a victory for consumers whose group lawsuit had been wiped out by the U.S. Supreme Court.,normal
WHR,Whirlpool Corporation,20130718,US court restores consumers' suit airing Whirlpool washers' laundry ,NEW YORK  July 18 A federal appeals court reinstated a class action lawsuit against Whirlpool Corp  on Thursday in a victory for consumers whose group lawsuit had been wiped out by the U.S. Supreme Court.,normal
WWE,World Wrestling Entertainment Inc,20130718,Sports Direct staff cash in as firm posts big profit rise ,LONDON  July 18 Britain's biggest sporting goods retailer Sports Direct is to hand shares worth almost 130 million pounds ($197 million) in total to 2 000 of its staff  after unveiling another strong rise in annual profit.,topStory
