AMZN,Amazoncom Inc,20131218,Italy revises "Google tax" to exclude goods purchased online ,ROME  Dec 18 Italian lawmakers have revised proposed legislation that would raise revenue from online companies including Google and Amazon  but its passage is still uncertain as the leader of the main ruling party said it should be scrapped.,topStory
GEH,General Electric Capital Corporation,20131218,GE sees double-digit industrial profit growth next year ,NEW YORK General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,topStory
GEH,General Electric Capital Corporation,20131218,UPDATE 3-GE sees double-digit industrial profit growth next year ,NEW YORK  Dec 18 General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,normal
GEK,General Electric Capital Corporation,20131218,GE sees double-digit industrial profit growth next year ,NEW YORK General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,topStory
GEK,General Electric Capital Corporation,20131218,UPDATE 3-GE sees double-digit industrial profit growth next year ,NEW YORK  Dec 18 General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,normal
GE,General Electric Company,20131218,GE sees double-digit industrial profit growth next year ,NEW YORK General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,topStory
GE,General Electric Company,20131218,UPDATE 3-GE sees double-digit industrial profit growth next year ,NEW YORK  Dec 18 General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,normal
GEB,General Electric Company,20131218,GE sees double-digit industrial profit growth next year ,NEW YORK General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,topStory
GEB,General Electric Company,20131218,UPDATE 3-GE sees double-digit industrial profit growth next year ,NEW YORK  Dec 18 General Electric Co  expects profit from aviation  healthcare and other industrial units to rise at least 10 percent next year as it aggressively invests in manufacturing while shrinking its finance arm.,normal
GIS,General Mills Inc,20131218,General Mills profit misses as costs rise  U.S. sales fall ,General Mills Inc  reported lower-than-expected quarterly earnings as ingredient costs rose and U.S. sales of its ready-to-eat meals and frozen foods fell  and it said full-year profit could come in at the low end of its forecast.,topStory
GIS,General Mills Inc,20131218,UPDATE 2-General Mills profit misses as costs rise  US sales fall ,* Second-quarter adjusted profit/share $0.83 vs est. $0.88,normal
GIS,General Mills Inc,20131218,BRIEF-General Mills shares down 2 pct premarket after results ,NEW YORK  Dec 18 General Mills Inc :  * Shares down 2 percent in premarket trading after results  guidance,normal
GIS,General Mills Inc,20131218,General Mills posts lower-than-expected quarterly results ,Dec 18 Food company General Mills Inc  reported lower-than-expected quarterly results due to higher cost of ingredients and a fall in sales in its U.S. retail business.,normal
GM,General Motors Company,20131218,Chevrolet marketing boss Chris Perry resigns ,The ongoing upheaval in General Motors Co's  executive ranks continued on Wednesday with the sudden resignation of Chris Perry as vice president of Chevrolet marketing.,topStory
GM,General Motors Company,20131218,Chevrolet marketing boss Chris Perry resigns ,Dec 18 The ongoing upheaval in General Motors Co's executive ranks continued on Wednesday with the sudden resignation of Chris Perry as vice president of Chevrolet marketing.,normal
GM,General Motors Company,20131218,Saab bets on electric cars and China for revival ,STOCKHOLM A year out of bankruptcy and with just two cars a day rolling off its production line  Saab is betting on an as yet unbuilt electric version of a decade old car to bring the iconic Swedish marque back from the dead.,normal
GM,General Motors Company,20131218,Australia sets up $89 million fund for auto workers hit by GM exit ,SYDNEY Australia is setting up a A$100 million ($89 million) fund to support regions affected by General Motors Co's  decision to stop production in the country by 2017  including directly supporting those workers affected by the decision.,normal
GSK,GlaxoSmithKline PLC,20131218,Denmark approves generic copy of GSK's top-selling lung drug ,LONDON Denmark has approved the sale of a generic copy of GlaxoSmithKline's $8 billion-a-year inhaled lung drug Advair  threatening future sales of the British firm's biggest product.,topStory
GSK,GlaxoSmithKline PLC,20131218,REFILE-UPDATE 3-Denmark approves generic copy of GSK's top-selling lung drug ,* Green light generic copy of GSK's $8-billion drug Advair,normal
GSK,GlaxoSmithKline PLC,20131218,FDA approves another GSK  Theravance lung drug ,Dec 18 The U.S. Food and Drug Administration approved GlaxoSmithKline Plc's new lung drug for treatment of chronic obstructive pulmonary disease (COPD)  commonly known as smoker's lung.,normal
GSK,GlaxoSmithKline PLC,20131218,BRIEF-Oxford Biomedica says GSK options rare disease candidates ,Dec 18 Oxford BioMedica PLC :  * Announces option agreement with GlaxoSmithkline  * Grants GSK an option for the development of up to six candidates targeting,normal
GLP,Global Partners LP,20131218,CBOE claims victory in legal battle with rival ISE ,NEW YORK CBOE Holdings Inc   which runs the largest U.S. options exchange  said on Wednesday a judge had dismissed a challenge by rival International Securities Exchange against CBOE's exclusive license to list options on certain key U.S. indexes.,topStory
GS,Goldman Sachs Group Inc (The),20131218,Virtu plans IPO  taps Goldman Sachs -sources ,NEW YORK  Dec 18 Trading firm Virtu Financial LLC is planning to go public and has hired Goldman Sachs  to help it with the process  two sources familiar with the situation told Reuters.,topStory
GS,Goldman Sachs Group Inc (The),20131218,Exclusive: Goldman's Michael Foods seeks $2 billion-plus sale - sources ,NEW YORK Michael Foods Group Inc  a producer and distributor of egg and dairy products owned by Goldman Sachs Group Inc's  private equity arm  is exploring a sale that could fetch more than $2 billion  according to people familiar with the matter.,normal
GS,Goldman Sachs Group Inc (The),20131218,Goldman names new global commodities  metals chiefs- sources ,NEW YORK  Dec 17 Goldman Sachs Group Inc  has appointed two senior executives to run its global metals and commodities businesses  sources said on Tuesday  the latest in a series of high-level changes at Wall Street's No. 1 bank for commodities.,normal
JPM,J P Morgan Chase & Co,20131218,No prison for former JPMorgan exec in muni bond bid-rigging case ,NEW YORK A former JPMorgan Chase & Co  vice president received no prison time on Wednesday after pleading guilty and cooperating with authorities investigating bid rigging and fraud schemes related to investment contracts for municipal bond proceeds. | Video ,topStory
JPM,J P Morgan Chase & Co,20131218,No prison for former JPMorgan exec in muni bond bid-rigging case ,NEW YORK  Dec 18 A former JPMorgan Chase & Co  vice president received no prison time on Wednesday after pleading guilty and cooperating with authorities investigating bid rigging and fraud schemes related to investment contracts for municipal bond proceeds.,normal
JPM,J P Morgan Chase & Co,20131218,JPMorgan seeks more than $1 billion from FDIC over WaMu claims ,NEW YORK JPMorgan Chase & Co  sued the Federal Deposit Insurance Corporation in federal court on Tuesday  saying the agency owes it more than $1 billion in compensation for not assuming legal claims arising from its acquisition of Washington Mutual's assets after its 2008 implosion.,normal
JPM,J P Morgan Chase & Co,20131218,JPMorgan seeks more than $1 billion from FDIC over WaMu claims ,NEW YORK  Dec 17 JPMorgan Chase & Co  sued the Federal Deposit Insurance Corporation in federal court on Tuesday  saying the agency owes it more than $1 billion in compensation for not assuming legal claims arising from its acquisition of Washington Mutual's assets after its 2008 implosion.,normal
JPM,J P Morgan Chase & Co,20131218,IMS Health hires JPMorgan to lead IPO: sources ,NEW YORK IMS Health Inc has hired JPMorgan Chase & Co Inc  to lead a proposed initial public offering that could value the private equity-owned healthcare information company at close to $10 billion  according to people familiar with the matter.,normal
JPM,J P Morgan Chase & Co,20131218,UPDATE 1-IMS Health hires JPMorgan to lead IPO -sources ,NEW YORK  Dec 17 IMS Health Inc has hired JPMorgan Chase & Co Inc to lead a proposed initial public offering that could value the private equity-owned healthcare information company at close to $10 billion  according to people familiar with the matter.,normal
JBL,Jabil Inc,20131218,US STOCKS-Dow  S&P 500 end at record highs after Fed trims stimulus ,* Fed tapers purchases by $10 bln a month  keeps rates low,topStory
JBL,Jabil Inc,20131218,US STOCKS-Dow  S&P end at record highs after Fed trims stimulus ,* Fed tapers purchases by $10 bln a month  keeps rates low,normal
JBL,Jabil Inc,20131218,US STOCKS-Wall St jumps after Fed announces stimulus cut ,* Fed tapers purchases by $10 bln a month  keeps rates low,normal
JBL,Jabil Inc,20131218,US STOCKS-Wall St turns positive after Fed announces tapering ,* Fed tapers purchases by $10 bln a month  keeps rates low,normal
JBL,Jabil Inc,20131218,US STOCKS-Wall Street ticks up  Fed decision awaited ,* Lennar shares up after results; Jabil slides on outlook,normal
JBL,Jabil Inc,20131218,BRIEF-Jabil Circuit shares slide 18.9 pct premarket ,NEW YORK  Dec 18 Jabil Circuit Inc :  * Shares slide 18.9 percent premarket a day after results  guidance,normal
JCI,Johnson Controls International plc,20131218,Johnson Controls 2014 forecast disappoints Wall Street ,Johnson Controls Inc  forecast lower 2014 earnings than analysts were expecting on Wednesday  as it plans to buy and sell assets to reduce dependence on the low-margin automotive sector in favor of its power business.,topStory
JCI,Johnson Controls International plc,20131218,UPDATE 1-Johnson Controls 2014 forecast disappoints Wall Street ,Dec 18 Johnson Controls Inc forecast lower 2014 earnings than analysts were expecting on Wednesday  as it plans to buy and sell assets to reduce dependence on the low-margin automotive sector in favor of its power business.,normal
JCI,Johnson Controls International plc,20131218,BRIEF-JCI CEO:expect announcement on sale of auto electronics business in 30-60 days ,NEW YORK  Dec 18 Johnson Controls Inc CEO Alex Molinaroli in an interview:  * CEO says to expect announcement in 30 to 60 days on sale of company's auto,normal
JCI,Johnson Controls International plc,20131218,Johnson Controls forecasts 2014 earnings below estimates ,Dec 18 Johnson Controls Inc forecast lower 2014 earnings than analysts were expecting as it plans to buy and sell assets to reduce dependence on the low-margin automotive sector in favor of its power business.,normal
LEN,Lennar Corporation,20131218,Lennar orders stay strong in recent U.S. housing slowdown ,Lennar Corp   the No.3 U.S. homebuilder  reported a 13 percent jump in quarterly orders and the second-highest gross margins in its 59-year history  defying a recent slowdown in the U.S. housing market that hurt its bigger peers.,topStory
LEN,Lennar Corporation,20131218,UPDATE 3-Lennar orders stay strong in recent U.S. housing slowdown ,* Shares rise as much as 5 pct   (Adds CEO quote  analysts' comments; updates shares),normal
LEN,Lennar Corporation,20131218,US STOCKS-Wall Street ticks up  Fed decision awaited ,* Lennar shares up after results; Jabil slides on outlook,normal
LEN,Lennar Corporation,20131218,US STOCKS-Wall Street to open higher as Fed decision looms ,NEW YORK  Dec 18 U.S. stocks were set to rise at the open on Wednesday  with markets on tenterhooks ahead of the Federal Reserve's last policy announcement of the year  which might determine the immediate future of its 15-month long program to stimulate the economy.,normal
LEN,Lennar Corporation,20131218,US STOCKS-Futures tick up as Fed decision looms ,NEW YORK  Dec 18 U.S. stock index futures edged higher on Wednesday with markets on tenterhooks ahead of the Federal Reserve's last policy announcement of the year  which might determine the immediate future of its 15-month long program to stimulate the economy.,normal
LEN,Lennar Corporation,20131218,BRIEF-Lennar shares up 3.4 pct premarket after results ,NEW YORK  Dec 18 Lennar Corp :  * Shares up 3.4 percent in premarket trading after results,normal
LEN,Lennar Corporation,20131218,Lennar profit jumps 32 pct  new home orders rise ,Dec 18 Lennar Corp  the No.3 U.S. homebuilder  reported a 32 percent jump in quarterly profit and said orders rose 13 percent.,normal
LYG,Lloyds Banking Group Plc,20131218,Lloyds Bank accelerates exit from ship financing ,LONDON Lloyds Banking Group  has sold billions of dollars in shipping loans in recent months as the British bank accelerates its exit from the sector and reduces capital exposure  ship finance sources said on Wednesday.,topStory
LYG,Lloyds Banking Group Plc,20131218,Lloyds Bank accelerates exit from ship financing ,LONDON  Dec 18 Lloyds Banking Group has sold billions of dollars in shipping loans in recent months as the British bank accelerates its exit from the sector and reduces capital exposure  ship finance sources said on Wednesday.,normal
MET,MetLife Inc,20131218,BRIEF-Akzo Nobel to purchase annuities for US pension obligations ,AMSTERDAM  Dec 18 Akzo Nobel NV :  * Says AkzoNobel to purchase annuities for US pension obligations  * Annuity purchase is expected to reduce AkzoNobel's US pension obligations by about $655 million  * Says to recognise premium payable to MetLife  maintain pre-transaction funded status  have paid $170 million to pension plan  * Says annuity purchase will cover around 9 400 US retirees and beneficiaries who retired prior to October 2013  * Says payment administration for pension bene,topStory
MTU,Mitsubishi UFJ Financial Group Inc,20131218,RPT-Japan's MUFG acquires 72 pct of Thai Bank of Ayudhya via tender offer ,TOKYO  Dec 18 Mitsubishi UFJ Financial Group (MUFG) said on Wednesday that it has acquired a 72 percent stake in Thailand's Bank of Ayudhya Pcl for 170.6 billion baht ($5.31 billion) after concluding a tender offer last week.,topStory
MTU,Mitsubishi UFJ Financial Group Inc,20131218,Japan's MUFG acquires 72 pct of Thai Bank of Ayudhya via tender offer ,TOKYO  Dec 18 Mitsubishi UFJ Financial Group (MUFG) said on Wednesday that it has acquired a 72 percent stake in Thailand's Bank of Ayudhya Pcl for 170.6 billion baht ($5.31 billion) after concluding a tender offer last week.,normal
NEU,NewMarket Corporation,20131218,Spain's Amadeus buys NMTI Holdings for $500 million ,MADRID  Dec 18 Spanish travel technology company Amadeus said on Wednesday it is buying U.S. technology group NMTI Holdings and its affiliate group Newmarket for $500 million.,topStory
NUE,Nucor Corporation,20131218,UPDATE 1-Vale seeks fertilizer partner; potash to top 4 mln T/yr ,* New mines to more than replace canceled Argentina Rio Colorado plan -CEO,topStory
ORCL,Oracle Corporation,20131218,Oracle's quarterly results top Wall Street expectations ,SAN FRANCISCO Oracle Corp gave a quarterly report on Wednesday that created cautious hope of recovery in the software maker's growth.,topStory
ORCL,Oracle Corporation,20131218,UPDATE 3-Oracle's quarterly results top Wall Street expectations ,SAN FRANCISCO  Dec 18 Oracle Corp gave a quarterly report on Wednesday that created cautious hope of recovery in the software maker's growth.,normal
ORCL,Oracle Corporation,20131218,BRIEF-Oracle sees higher Q3 new software and subscription revenue ,SAN FRANCISCO  Dec 18 Oracle Corp :  * CFO says sees Q3 new software and subscription revenue between +2 percent and,normal
ORCL,Oracle Corporation,20131218,Oracle's new software sales fell 1 percent in second quarter ,SAN FRANCISCO  Dec 18 Oracle Corp on Wednesday reported a 1 percent decrease in new software sales and Internet-based software subscriptions in its fiscal second quarter.,normal
ORCL,Oracle Corporation,20131218,BRIEF-Oracle shares up in extended trade following results ,NEW YORK  Dec 18 Oracle Corp :  * Shares up 2.4 percent in extended trade following results,normal
PTR,PetroChina Company Limited,20131218,PetroChina Sichuan refinery ready to start after repeated delays -sources ,BEIJING  Dec 18 PetroChina's $6 billion refinery and petrochemical complex in southwest China will be ready for trial production in weeks  two company officials said  more than a year later than originally touted due to repeated delays.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20131218,Petrobras' refinery to restart in coming days - regulator ,RIO DE JANEIRO  Dec 18 The REPAR refinery of Brazil's state-run oil and gas company Petrobras  should resume functioning in the coming days  the head of the country's oil and gas regulator ANP said on Wednesday.,topStory
RIO,Rio Tinto Plc,20131218,End of boom? Not for Australia's iron ore miners ,* Rio Tinto  BHP happy to dig as China buys more and more iron ore,topStory
RIO,Rio Tinto Plc,20131218,CORRECTED-UPDATE 1-Antarctica may have a new type of ice - diamonds ,* Scientists find kimberlite rock  often a source of diamonds,normal
RIO,Rio Tinto Plc,20131218,UPDATE 2-Australia to ship more iron ore as miners shrug off China risks ,* Australia raises export forecasts for iron ore  metallurgical coal,normal
RBS,Royal Bank Scotland plc (The),20131218,RBS names revamp specialist to oversee bad bank  flotations ,LONDON Royal Bank of Scotland  has named Rory Cullinan  who led the drive to cut back the bank's risky loans  to run its new "bad bank" and manage the stock market flotations for its U.S. bank Citizens and its William & Glyns network of branches.,topStory
RBS,Royal Bank Scotland plc (The),20131218,UPDATE 1-RBS names revamp specialist to oversee bad bank  flotations ,LONDON  Dec 18 Royal Bank of Scotland  has named Rory Cullinan  who led the drive to cut back the bank's risky loans  to run its new "bad bank" and manage the stock market flotations for its U.S. bank Citizens and its William & Glyns network of branches.,normal
RBS,Royal Bank Scotland plc (The),20131218,RBS appoints 'bad bank' boss to lead Citizens  'Rainbow' IPOs ,LONDON Royal Bank of Scotland  said Rory Cullinan  the head of its non-core business  will have responsibility for managing the flotations of its U.S. bank Citizens and a network of 314 UK branches being spun off.,normal
RBS,Royal Bank Scotland plc (The),20131218,RPT-RBS appoints "bad bank" boss to lead Citizens  "Rainbow" IPOs ,LONDON  Dec 18 Royal Bank of Scotland  said Rory Cullinan  the head of its non-core business  will have responsibility for managing the flotations of its U.S. bank Citizens and a network of 314 UK branches being spun off.,normal
RBS,Royal Bank Scotland plc (The),20131218,BUSINESS-NEWS-SCHEDULE AT 1330 GMT / 8.30 AM ET ,WASHINGTON - Federal Reserve officials wrapping up a two-day meeting are likely to underscore their message that interest rates will stay low long after they begin to reduce bond purchases. As for tapering their buying  they are likely to defer action to await confirming signs that the labour market's recovery has moved to more solid ground. (USA-FED/ (WRAPUP 2)  moved  by Jonathan Spicer  750 words),normal
RBS,Royal Bank Scotland plc (The),20131218,RBS appoints "bad bank" boss to lead Citizens  "Rainbow" IPOs ,LONDON  Dec 18 Royal Bank of Scotland  said Rory Cullinan  the head of its non-core business  will have responsibility for managing the flotations of its U.S. bank Citizens and a network of 314 UK branches being spun off.,normal
RBS,Royal Bank Scotland plc (The),20131218,BUSINESS-NEWS-SCHEDULE AT 0930 GMT / 4.30 AM ET ,BRUSSELS - Euro zone finance ministers make progress on some details of a plan to close banks  paving the way for completion of a euro zone 'banking union' that aims to restore confidence in the financial sector and boost growth. (EU BANKS/ (UPDATE 1)  moved  by Jan Strupczewski and Martin Santa  500 words),normal
SAP,SAP SE,20131218,BlackBerry names former SAP executive to head key business segment ,TORONTO BlackBerry Ltd said on Tuesday that John Sims will join the company as head of its global enterprise services business  a key segment that is likely to be at the core of the smartphone maker's turnaround plan.,topStory
SAP,SAP SE,20131218,UPDATE 1-BlackBerry names former SAP executive to head key business segment ,TORONTO  Dec 17 BlackBerry Ltd said on Tuesday that John Sims will join the company as head of its global enterprise services business  a key segment that is likely to be at the core of the smartphone maker's turnaround plan.,normal
SHW,Sherwin-Williams Company (The),20131218,Fitch: No Immediate Rating Action for Sherwin-Williams from California Lead-Based Paint Ruling ,(The following statement was released by the rating agency) CHICAGO  December 18 (Fitch) According to Fitch Ratings  there is no immediate  change to The Sherwin-Williams Company's (NYSE: SHW) ratings  including the  company's Issuer Default Rating (IDR) of 'A-'  following the Superior Court of  California's proposed statement of decision against Sherwin-Williams and two  other defendants.  SANTA CLARA LEAD-BASED PAINT LITIGATION CASE On Dec. 16  2013  a California Superior Court judge proposed ,topStory
SNE,Sony Corp Ord,20131218,Sony home entertainment chief to leave studio in March ,David Bishop  the president of home entertainment at Sony Corp's Sony Pictures  will leave the company in March  the latest departure as the studio revamps its operations after criticism from hedge fund investor Daniel Loeb.,topStory
SNE,Sony Corp Ord,20131218,Sony home entertainment chief to leave studio in March ,Dec 18 David Bishop  the president of home entertainment at Sony Corp's Sony Pictures  will leave the company in March  the latest departure as the studio revamps its operations after criticism from hedge fund investor Daniel Loeb.,normal
STO,Statoil ASA,20131218,UPDATE 1-Eni gets major price cut in GasTerra contract deal ,* GasTerra contract change includes new indexation mechanism,topStory
SCS,Steelcase Inc,20131218,BRIEF-Steelcase up in extended trading after results ,NEW YORK  Dec 18 Steelcase Inc :  * Shares up 2.3 percent in extended trading after results,topStory
TGT,Target Corporation,20131218,Target victim of major credit card breach ,Payment card data was stolen from an unknown number of Target Corp customers starting on the busy Black Friday weekend in a major breach at the U.S. retailer  according to a person familiar with matter.,topStory
TGT,Target Corporation,20131218,UPDATE 1-Target victim of major credit card breach ,Dec 18 Payment card data was stolen from an unknown number of Target Corp customers starting on the busy Black Friday weekend in a major breach at the U.S. retailer  according to a person familiar with matter.,normal
TGT,Target Corporation,20131218,Target customers' credit card info stolen over Black Friday -DJ ,Dec 18 An unknown number of Target Corp  customers shopping over the busy Black Friday weekend had their credit card information stolen in an "extensive" breach of the U.S. retailer's security  Dow Jones reported on Wednesday  citing people familiar with the matter.,normal
TI,Telecom Italia SPA,20131218,BlackRock says Telecom Italia stake was over 10 pct under SEC rules ,MILAN U.S. money manager BlackRock said on Wednesday its stake in Telecom Italia was 10.12 percent as of December 16 if calculated in accordance with the U.S. Securities and Exchange Commission requirements.,topStory
TI,Telecom Italia SPA,20131218,BlackRock says Telecom Italia stake was over 10 pct under SEC rules ,MILAN  Dec 18 U.S. money manager BlackRock  said on Wednesday its stake in Telecom Italia  was 10.12 percent as of Dec. 16 if calculated in accordance with the U.S. Securities and Exchange Commission requirements.,normal
TI,Telecom Italia SPA,20131218,Brazil unlikely to decide on TIM in the short run  minister says ,BRASILIA/SAO PAULO  Dec 18 Brazil's government will only decide on the fate of wireless carrier TIM Participações SA after its parent company's shareholders resolve a dispute over the participation of rival Telefonica SA in its capital  Communications Minister Paulo Bernardo said late on Tuesday.,normal
TEF,Telefonica SA,20131218,Exclusive: Telefonica gets time to loosen grip in Brazil ,MADRID Telefonica has been given 18 months to loosen its grip on the Brazilian mobile phone market  sources said  time which may help the Spanish group ward off an investor rebellion against its strategy.,topStory
TEF,Telefonica SA,20131218,Brazil unlikely to decide on TIM in the short run  minister says ,BRASILIA/SAO PAULO  Dec 18 Brazil's government will only decide on the fate of wireless carrier TIM Participações SA after its parent company's shareholders resolve a dispute over the participation of rival Telefonica SA in its capital  Communications Minister Paulo Bernardo said late on Tuesday.,normal
TEF,Telefonica SA,20131218,Telefonica aims to work with 5-10 MVNOs in Mexico next year ,MEXICO CITY  Dec 17 Spanish phone giant Telefonica hopes to operate with between five and 10 mobile virtual network operators (MVNO) in Mexico next year  a senior company executive said on Tuesday.,normal
TSU,TIM Participacoes SA,20131218,Brazil unlikely to decide on TIM in the short run  minister says ,BRASILIA/SAO PAULO  Dec 18 Brazil's government will only decide on the fate of wireless carrier TIM Participações SA after its parent company's shareholders resolve a dispute over the participation of rival Telefonica SA in its capital  Communications Minister Paulo Bernardo said late on Tuesday.,topStory
TOT,Total SA,20131218,Three French Total refineries extend strike action: union ,PARIS A strike at three of Total's  five French refineries entered its 6th day on Wednesday  with a majority of their production units now closed  as unions sought concessions to end the wage dispute  CGT union officials said.,topStory
TWTR,Twitter Inc,20131218,Yuri Milner invests in satellite maker Planet Labs ,SAN FRANCISCO  Dec 18 Yuri Milner  the Russian investor known for his bets on high-flying social media companies Facebook Inc and Twitter Inc  is raising his sights beyond the stratosphere.,topStory
TWO,Two Harbors Investments Corp,20131218,Two Harbors to buy mortgage servicing rights from Flagstar ,Mortgage real estate investment trust Two Harbors Investment Corp  said its unit would buy a pool of mortgage servicing rights (MSRs) from Flagstar Bancorp Inc  for about $500 million.,topStory
TWO,Two Harbors Investments Corp,20131218,Two Harbors to buy mortgage servicing rights from Flagstar ,Dec 18 Mortgage real estate investment trust Two Harbors Investment Corp said its unit would buy a pool of mortgage servicing rights (MSRs) from Flagstar Bancorp Inc  for about $500 million.,normal
UPS,United Parcel Service Inc,20131218,REFILE-UPDATE 5-FedEx 2nd-qtr profit misses estimate; offers holiday optimism ,Dec 18 FedEx Corp posted a 14 percent rise in quarterly profit on Wednesday on stronger margins and cost cuts  but results missed Wall Street estimates  which overshadowed the company's confident forecast for the holiday shopping season.,normal
VZ,Verizon Communications Inc,20131218,Canada to cap domestic wireless roaming rates ,TORONTO Canada will introduce legislation to cap roaming rates that big telecom providers charge their smaller rivals  the government said on Wednesday  aiming to breathe life into its sputtering drive to foster competition in the wireless industry.,normal
VZA,Verizon Communications Inc,20131218,Canada to cap domestic wireless roaming rates ,TORONTO Canada will introduce legislation to cap roaming rates that big telecom providers charge their smaller rivals  the government said on Wednesday  aiming to breathe life into its sputtering drive to foster competition in the wireless industry.,normal
WPX,WPX Energy Inc,20131218,UPDATE 1-WPX Energy adds investor nominee to board as CEO departs ,Dec 18 Natural gas producer WPX Energy  said it would add a nominee of hedge fund shareholder Taconic Capital Advisors LP to its board  a day after the company announced the sudden departure of its CEO.,topStory
WPX,WPX Energy Inc,20131218,WPX Energy to add investor nominee to board ,Dec 18 Oil and gas producer WPX Energy  said it would add a nominee of shareholder Taconic Capital Advisors LP to its board  a day after the company announced the departure of its CEO.,normal
WPXP,WPX Energy Inc,20131218,UPDATE 1-WPX Energy adds investor nominee to board as CEO departs ,Dec 18 Natural gas producer WPX Energy  said it would add a nominee of hedge fund shareholder Taconic Capital Advisors LP to its board  a day after the company announced the sudden departure of its CEO.,topStory
WPXP,WPX Energy Inc,20131218,WPX Energy to add investor nominee to board ,Dec 18 Oil and gas producer WPX Energy  said it would add a nominee of shareholder Taconic Capital Advisors LP to its board  a day after the company announced the departure of its CEO.,normal
