ACOR,Acorda Therapeutics Inc,20160217,BRIEF-Biotie Therapies U.S. antitrust regulation relating to tender offer expires ,* U.S. antitrust regulation waiting period relating to tender offer has expired,topStory
IBM,International Business Machines Corporation,20160217,Ex-White House aide and ex-IBM CEO to head cyber security panel ,WASHINGTON Former White House national security adviser Tom Donilon and former IBM chief executive Sam Palmisano will lead a new commission to strengthen U.S. cyber defenses over the next decade  the White House said on Wednesday.,normal
IBM,International Business Machines Corporation,20160217,UPDATE 1-Ex-White House aide and ex-IBM CEO to head cyber security panel ,WASHINGTON  Feb 17 Former White House national security adviser Tom Donilon and former IBM chief executive Sam Palmisano will lead a new commission to strengthen U.S. cyber defenses over the next decade  the White House said on Wednesday.,normal
IBM,International Business Machines Corporation,20160217,Israel's Insert raises $5 million for mobile app platform ,TEL AVIV Israel-based Insert  which has developed a platform to help mobile marketers engage users  said on Wednesday it has raised $5 million from investors including cyber security pioneer Shlomo Kramer.,normal
IBM,International Business Machines Corporation,20160217,Israel's Insert raises $5 mln for mobile app platform ,TEL AVIV  Feb 17 Israel-based Insert  which has developed a platform to help mobile marketers engage users  said on Wednesday it has raised $5 million from investors including cyber security pioneer Shlomo Kramer.,normal
KMI,Kinder Morgan Inc,20160217,US STOCKS-Wall St up as oil prices boost energy  materials stocks ,* Indexes up: Dow 0.85 pct  S&P 0.92 pct  Nasdaq 0.96 pct   (Updates to open),normal
MRO,Marathon Oil Corporation,20160217,Marathon Oil slashes capex 50 percent  posts quarterly loss ,Marathon Oil Corp   a U.S. shale exploration company  on Wednesday slashed its 2016 spending by 50 percent and reported a  quarterly loss as the company's results were hurt by a steep decline in crude oil prices.,topStory
MRO,Marathon Oil Corporation,20160217,UPDATE 1-Marathon Oil slashes capex 50 percent  posts quarterly loss ,Feb 17 Marathon Oil Corp  a U.S. shale exploration company  on Wednesday slashed its 2016 spending by 50 percent and reported a  quarterly loss as the company's results were hurt by a steep decline in crude oil prices.,normal
MRO,Marathon Oil Corporation,20160217,Marathon Oil slashes capex 50 percent  has quarterly loss ,Feb 17 Marathon Oil Corp  a U.S. shale exploration company  on Wednesday slashed its 2016 spending 50 percent and swung to a loss as the company's results were hurt by a steep decline in crude oil prices.,normal
MCK,McKesson Corporation,20160217,EU mergers and takeovers (Feb 17) ,BRUSSELS  Feb 17 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
MON,Monsanto Company,20160217,CCI suspects Monsanto JV abused dominant position ,NEW DELHI Competition Commission of India (CCI) has ordered an investigation into a Monsanto joint venture  saying it suspected the company had abused its dominant position as a supplier of genetically modified (GM) cotton seeds.,topStory
MON,Monsanto Company,20160217,UPDATE 1-India antitrust body suspects Monsanto JV abused dominant position ,NEW DELHI  Feb 17 India's antitrust regulator has ordered an investigation into a Monsanto joint venture  saying it suspected the company had abused its dominant position as a supplier of genetically modified (GM) cotton seeds.,normal
MS,Morgan Stanley,20160217,Top U.S. hedge funds bet on Morgan Stanley and AIG ,NEW YORK/BOSTON Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC  took new positions in Morgan Stanley  during the fourth quarter  ahead of the bank's cost-cutting measures and bond-management reshuffling.,topStory
MS,Morgan Stanley,20160217,MBK picks Morgan Stanley to manage sale of ING's ex-South Korean unit: report ,SEOUL Private equity firm MBK Partners has selected Morgan Stanley  to manage the sale of ING Life Korea in a deal that could fetch more than 2 trillion won ($1.63 billion)  the Korea Economic Daily reported  citing investment banking sources.,normal
MS,Morgan Stanley,20160217,MBK picks Morgan Stanley to manage sale of ING's ex-S.Korean unit-report ,SEOUL  Feb 17 Private equity firm MBK Partners has selected Morgan Stanley to manage the sale of ING Life Korea in a deal that could fetch more than 2 trillion won ($1.63 billion)  the Korea Economic Daily reported  citing investment banking sources.,normal
NKE,Nike Inc,20160217,Nike drops boxer Manny Pacquiao after anti-gay comments ,Nike Inc  the world's largest sportswear maker  said it had ended its contract with Manny Pacquiao after the Filipino boxer described gays as "worse than animals".,topStory
NBL,Noble Energy Inc,20160217,Noble Energy says looking to 'monetize' assets amid crude slump ,Oil and gas producer Noble Energy Inc  posted a surprise quarterly profit and said it would "monetize" assets to cope with a slump in oil prices that is eroding cash flows  sending the company's shares up 8 percent.,topStory
NBL,Noble Energy Inc,20160217,UPDATE 3-Noble Energy says looking to "monetize" assets amid crude slump ,* Says could look at monetizing midstream assets  stake in Tamar,normal
NBL,Noble Energy Inc,20160217,Noble Energy posts quarterly loss  hurt by $2.2 bln in charges ,Feb 17 U.S. oil and gas producer Noble Energy Inc reported a quarterly loss  compared with a profit a year earlier  hurt by $2.2 billion in charges  including on asset write downs.,normal
NOC,Northrop Grumman Corporation,20160217,U.S. agency rejects Boeing protest of Northrop bomber contract ,A U.S. government agency on Tuesday rejected a protest filed by Boeing Co  and Lockheed Martin Corp  against a multibillion-dollar bomber contract awarded to Northrop Grumman Corp  by the U.S. Air Force in October.,topStory
NOC,Northrop Grumman Corporation,20160217,U.S. agency rejects Boeing protest of Northrop bomber contract ,WASHINGTON A U.S. government agency on Tuesday rejected a protest filed by Boeing Co and Lockheed Martin Corp aimed at overturning a multibillion-dollar bomber contract awarded to Northrop Grumman Corp by the U.S. Air Force in October.,normal
NOC,Northrop Grumman Corporation,20160217,UPDATE 4-U.S. agency rejects Boeing protest of Northrop bomber contract ,WASHINGTON  Feb 16 A U.S. government agency on Tuesday rejected a protest filed by Boeing Co and Lockheed Martin Corp aimed at overturning a multibillion-dollar bomber contract awarded to Northrop Grumman Corp by the U.S. Air Force in October.,normal
NOC,Northrop Grumman Corporation,20160217,Boeing weighs options after losing U.S. bomber protest-sources ,WASHINGTON Boeing Co  is evaluating all legal options after losing a challenge to the U.S. Air Force's decision to award a new $80 billion-plus bomber contract to Northrop Grumman Corp   people familiar with the company's thinking said on Tuesday.,normal
NOC,Northrop Grumman Corporation,20160217,Boeing weighs options after losing U.S. bomber protest-sources ,WASHINGTON  Feb 16 Boeing Co is evaluating all legal options after losing a challenge to the U.S. Air Force's decision to award a new $80 billion-plus bomber contract to Northrop Grumman Corp  people familiar with the company's thinking said on Tuesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160217,UPDATE 2-Brazil state banks may swap Petrobras debt for stock -sources ,BRASILIA/SAO PAULO  Feb 16 Brazilian state-run lenders are considering converting part or all of their outstanding loans to Petróleo Brasileiro SA into equity in a bid to help the embattled oil producer  two sources familiar with the plan told Reuters on Tuesday.,topStory
RIO,Rio Tinto Plc,20160217,UPDATE 1-Icelandic workers to block Rio Tinto aluminium exports over wage dispute ,REYKJAVIK  Feb 17 Workers at Rio Tinto's  unit in Iceland voted to block exports of aluminium from the Hafnarfjordur plant in the southwest of the North Atlantic island due to a long-running dispute over wage contracts.,topStory
SRE,Sempra Energy,20160217,Gas company to be arraigned over Los Angeles area methane leak ,Southern California Gas Co is to be arraigned on criminal charges on Wednesday over a huge methane leak near Los Angeles that forced thousands of residents from their homes  officials said.,topStory
SPR,Spirit Aerosystems Holdings Inc,20160217,Spirit Aero names former GE exec as COO ,WASHINGTON  Feb 16 Aircraft parts maker Spirit AeroSystems Holdings Inc on Tuesday said it had named Tom Gentile  a former senior General Electric Co  executive  as executive vice president and chief operating officer  effective April 1.,topStory
SYK,Stryker Corporation,20160217,Stryker expands ambulance services with Physio-Control buy ,Medical device maker Stryker Corp said it would buy Physio-Control International Inc for $1.28 billion in cash to expand its emergency medical services business and raised its full-year earnings forecast for the second time this month.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160217,BRIEF-TSMC in deal with Environetics Design on facility and construction ,* Says orders machinery equipment worth T$362 million  ($10.88 million),topStory
TRGP,Targa Resources Inc,20160217,Top U.S. investors' bets on energy shares diverge in Q4 ,NEW YORK  Feb 16 Top U.S. investors differed in their exposure to battered energy companies in the fourth quarter  with Warren Buffett's Berkshire Hathaway taking a sizable stake in Kinder Morgan and Leon Cooperman's Omega Advisors scaling back from the sector.,normal
TEF,Telefonica SA,20160217,BRIEF-Ericsson  Telefonica sign MoU to develop 5G ,* Companies have signed a Memorandum of Understanding for the development of 5G technologies  products and services   Further company coverage:    (Reporting Stockholm Newsroom),topStory
TEX,Terex Corporation,20160217,China's Zoomlion bids for Terex  stokes U.S. national security fears ,China's Zoomlion Heavy Industry Science and Technology Co Ltd confirmed on Wednesday it had made an offer for U.S. crane maker Terex Corp  a proposal that was opposed by at least one U.S. congressman on national security concerns.,topStory
TEX,Terex Corporation,20160217,UPDATE 2-China's Zoomlion bids for Terex  stokes U.S. national security fears ,Feb 17 China's Zoomlion Heavy Industry Science and Technology Co Ltd  confirmed on Wednesday it had made an offer for U.S. crane maker Terex Corp   a proposal that was opposed by at least one U.S. congressman on national security concerns.,normal
TEX,Terex Corporation,20160217,Zoomlion confirms offer for U.S crane maker Terex ,HONG KONG  Feb 17 China's Zoomlion Heavy Industry Science and Technology Co confirmed on Wednesday it had made an offer for Terex Corp that values the U.S. crane maker at about $3 billion.,normal
WMT,Wal-Mart Stores Inc,20160217,Wal-Mart aims to improve scheduling for U.S. workers ,Wal-Mart Stores said on Wednesday it would start offering fixed shifts and unveiled other details of planned scheduling changes aimed at retaining and motivating its rank-and-file workers.,topStory
WMT,Wal-Mart Stores Inc,20160217,Insight: Lost in translation - Wal-Mart stumbles hard in Brazil ,CAMPO GRANDE  Brazil/BENTONVILLE  Arkansas When Wal-Mart Stores Inc.  first expanded into Brazil's midwestern farm-belt city of Campo Grande seven years ago  the economy was booming and executives were eager to open stores even in sub-prime locations on one-way streets heading out of town.,normal
WMT,Wal-Mart Stores Inc,20160217,INSIGHT-Lost in translation: Wal-Mart stumbles hard in Brazil ,CAMPO GRANDE  Brazil  Feb 17 When Wal-Mart Stores Inc. first expanded into Brazil's midwestern farm-belt city of Campo Grande seven years ago  the economy was booming and executives were eager to open stores even in sub-prime locations on one-way streets heading out of town.,normal
WMT,Wal-Mart Stores Inc,20160217,RPT-INSIGHT-Lost in translation: Wal-Mart stumbles hard in Brazil ,CAMPO GRANDE  Brazil/BENTONVILLE  Arkansas  Feb 17 (Reuters) - W hen Wal-Mart Stores Inc first expanded into Brazil's midwestern farm-belt city of Campo Grande seven years ago  the economy was booming and executives were eager to open stores even in sub-prime locations on one-way streets heading out of town.,normal
WMT,Wal-Mart Stores Inc,20160217,INSIGHT-Lost in translation: Wal-Mart stumbles hard in Brazil ,CAMPO GRANDE  Brazil/BENTONVILLE  Arkansas  Feb 17 (Reuters) - W hen Wal-Mart Stores Inc. first expanded into Brazil's midwestern farm-belt city of Campo Grande seven years ago  the economy was booming and executives were eager to open stores even in sub-prime locations on one-way streets heading out of town.,normal
WFT,Weatherford International plc,20160217,Weatherford says not responsible for radioactive material stolen in Iraq ,BAGHDAD U.S. oilfield services company Weatherford  said on Wednesday it was not responsible or liable for "highly dangerous" radioactive material stolen last year from a storage facility in southern Iraq.,topStory
WFT,Weatherford International plc,20160217,Weatherford says not responsible for radioactive material stolen in Iraq ,BAGHDAD  Feb 17 U.S. oilfield services company Weatherford said on Wednesday it was not responsible or liable for "highly dangerous" radioactive material stolen last year from a storage facility in southern Iraq.,normal
