ACHC,Acadia Healthcare Company Inc,20160218,BRIEF-UK's CMA serves Acadia initial enforcement order over Priory deal ,* Served an initial enforcement order on Acadia Healthcare Co and its UK subsidiary in relation to completed acquisition of Priory Group No. 1 Ltd  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +91 806 749 1136),topStory
DVN,Devon Energy Corporation,20160218,Devon stock sale surprises Wall Street after CEO downplays need ,HOUSTON It was a head fake that left Wall Street scratching its head.,topStory
DVN,Devon Energy Corporation,20160218,UPDATE 1-Devon stock sale surprises Wall Street after CEO downplays need ,HOUSTON  Feb 18 It was a head fake that left Wall Street scratching its head.,normal
DVN,Devon Energy Corporation,20160218,Devon Energy's upsized stock sale points to strong investor appetite ,Devon Energy Corp's  upsized $1.5 billion public share offering - the latest in a series of stock sales by U.S. oil producers - shows that companies with high quality assets and low debt are still able to attract investors.,normal
DUK,Duke Energy Corporation,20160218,Duke Energy profit misses  hurt by warm winter ,Duke Energy Corp   the biggest U.S. power company by generation capacity  reported a lower-than-expected fourth-quarter profit as mild weather hurt demand for heating.,topStory
DUK,Duke Energy Corporation,20160218,UPDATE 2-Duke Energy profit misses  hurt by warm winter ,* Sees 2016 earnings/shr $4.50-$4.70 vs est $4.66   (Adds CEO comments  details),normal
DUKH,Duke Energy Corporation,20160218,Duke Energy profit misses  hurt by warm winter ,Duke Energy Corp   the biggest U.S. power company by generation capacity  reported a lower-than-expected fourth-quarter profit as mild weather hurt demand for heating.,topStory
DUKH,Duke Energy Corporation,20160218,UPDATE 2-Duke Energy profit misses  hurt by warm winter ,* Sees 2016 earnings/shr $4.50-$4.70 vs est $4.66   (Adds CEO comments  details),normal
ETE,Energy Transfer Equity LP,20160218,Williams shares rise as hedge funds pile in  ETE offer spread narrows ,NEW YORK/HOUSTON William Cos Inc's  shares extended their surge on Wednesday  having jumped by nearly a fifth this week  narrowing the spread of the takeover offer by rival pipeline company Energy Transfer Equity LP .,topStory
F,Ford Motor Company,20160218,UPDATE 2-Geely's Volvo upbeat on 2016 after sales and profit rise ,* Sees growth in all top auto markets in 2016   (Adds CEO  analyst  background),normal
GM,General Motors Company,20160218,GM to boost engine production for full-sized vehicles in Tennessee ,DETROIT  Feb 18 General Motors Co said on Thursday it is increasing the number of engines it makes for full-sized pickup trucks and utility vehicles to keep up with high North American demand.,topStory
GM,General Motors Company,20160218,Fitch Rates General Motors' Proposed Notes 'BBB-' ,(The following statement was released by the rating agency) CHICAGO  February 18 (Fitch) Fitch Ratings has assigned a rating of 'BBB-' to  General Motors Company's (GM) proposed issuance of $2 billion in senior  unsecured notes. The Issuer Default Rating (IDR) for GM is 'BBB-' and its Rating  Outlook is Stable. A full list of the ratings of GM and its subsidiaries is included at the end of  this release. The proposed notes will be issued in two series: approximately $1 billion due in  2036 and a,normal
GSK,GlaxoSmithKline PLC,20160218,UPDATE 3-Perrigo's adjusted profit misses for first time in 5 qtrs ,* Shares fall 10 pct to nearly 3-year low   (Adds analysts comments  conference call comments  updates shares),normal
HSBC,HSBC Holdings plc,20160218,UPDATE 1-Qatar Petroleum picks HSBC as adviser on Al Shaheen sale - sources ,* Marketing wholly-owned subsidiary to potential buyers - sources,topStory
HSBC,HSBC Holdings plc,20160218,HSBC executives rue missed chance in HQ choice ,LONDON British Finance Minister George Osborne's relief at HSBC's choice of London over Hong Kong as its headquarters is not shared by several top executives who rue a missed opportunity for its China-centered growth strategy.,normal
HSBC,HSBC Holdings plc,20160218,HSBC executives rue missed chance in HQ choice ,LONDON  Feb 18 British Finance Minister George Osborne's relief at HSBC's choice of London over Hong Kong as its headquarters is not shared by several top executives who rue a missed opportunity for its China-centred growth strategy.,normal
HSEA,HSBC Holdings plc,20160218,UPDATE 1-Qatar Petroleum picks HSBC as adviser on Al Shaheen sale - sources ,* Marketing wholly-owned subsidiary to potential buyers - sources,topStory
HSEA,HSBC Holdings plc,20160218,HSBC executives rue missed chance in HQ choice ,LONDON British Finance Minister George Osborne's relief at HSBC's choice of London over Hong Kong as its headquarters is not shared by several top executives who rue a missed opportunity for its China-centered growth strategy.,normal
HSEA,HSBC Holdings plc,20160218,HSBC executives rue missed chance in HQ choice ,LONDON  Feb 18 British Finance Minister George Osborne's relief at HSBC's choice of London over Hong Kong as its headquarters is not shared by several top executives who rue a missed opportunity for its China-centred growth strategy.,normal
HSEB,HSBC Holdings plc,20160218,UPDATE 1-Qatar Petroleum picks HSBC as adviser on Al Shaheen sale - sources ,* Marketing wholly-owned subsidiary to potential buyers - sources,topStory
HSEB,HSBC Holdings plc,20160218,HSBC executives rue missed chance in HQ choice ,LONDON British Finance Minister George Osborne's relief at HSBC's choice of London over Hong Kong as its headquarters is not shared by several top executives who rue a missed opportunity for its China-centered growth strategy.,normal
HSEB,HSBC Holdings plc,20160218,HSBC executives rue missed chance in HQ choice ,LONDON  Feb 18 British Finance Minister George Osborne's relief at HSBC's choice of London over Hong Kong as its headquarters is not shared by several top executives who rue a missed opportunity for its China-centred growth strategy.,normal
IBM,International Business Machines Corporation,20160218,Finland's Kone looks for service growth with IBM cloud deal ,HELSINKI  Feb 19 Finnish elevator maker Kone Oyj  on Friday said it would start using IBM's  cloud-based data analysis software as it looks to improve customer service and curb costs in a highly competitive shrinking market.,topStory
IBM,International Business Machines Corporation,20160218,IBM to acquire Truven Health Analytics for $2.6 billion ,International Business Machines Corp  said on Thursday it plans to acquire Truven Health Analytics  a provider of healthcare data and analytics  for $2.6 billion  marking its fourth major health data-related deal in the past year.,normal
IBM,International Business Machines Corporation,20160218,BRIEF-IBM Watson Health to acquire Truven Health Analytics for $2.6 bln ,* IBM Watson Health says plans to acquire Truven Health Analytics for $2.6 billion  Source text for Eikon:  Further company coverage:,normal
IBM,International Business Machines Corporation,20160218,IBM to buy data company Truven Health Analytics for $2.6 bln ,Feb 18 International Business Machines Corp  said it would buy Truven Health Analytics  a provider of cloud-based healthcare data  for $2.6 billion  the company's fourth major health-related acquisition since launching the Watson Health unit in April last year.,normal
IBM,International Business Machines Corporation,20160218,IBM to acquire Truven Health Analytics for $2.6 billion ,Feb 18 International Business Machines Corp  said on Thursday it plans to acquire Truven Health Analytics  a provider of healthcare data and analytics  for $2.6 billion  marking its fourth major health data-related deal in the past year.,normal
JPM,J P Morgan Chase & Co,20160218,MOVES-JP Morgan  Davy Asset Management  China Minsheng Financial ,Feb 18 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
KKR,KKR & Co LP,20160218,KKR bets on Indian life insurance with 10 percent stake in Max Financial ,HONG KONG KKR & Co LP  bought a 10 percent stake in India's Max Financial Services  for about $140 million  the latest foreign investor to bet on the country's booming life insurance market.,topStory
KKR,KKR & Co LP,20160218,KKR bets on Indian life insurance with 10 percent stake in Max Financial ,HONG KONG KKR & Co LP  bought a 10 percent stake in India's Max Financial Services  for about $140 million  the latest foreign investor to bet on the country's booming life insurance market.,normal
KKR,KKR & Co LP,20160218,KKR bets on Indian life insurance with 10 pct stake in Max Financial ,HONG KONG  Feb 18 Private equity firms KKR & Co LP said on Thursday it bought a 10 percent stake in Max Financial Services for an undisclosed sum  looking to benefit from "robust growth" in India's life insurance market.,normal
PHG,Koninklijke Philips NV,20160218,BRIEF-Koninklijke Philips to collaborate with Hitachi Data Systems ,* Announced a collaboration with  Hitachi data systems  wholly-owned subsidiary of Hitachi  Ltd ,topStory
MRO,Marathon Oil Corporation,20160218,BRIEF-Marathon Oil Corp reduces budget  focuses on Texas  Oklahoma ,HOUSTON  Feb 18 Marathon Oil Corp will focus roughly 70 percent of its sharply-reduced 2016 capital budget on Texas' Eagle Ford  Oklahoma's SCOOP and North Dakota's Bakken shale plays  executives said on a quarterly earnings call on Thursday.,topStory
MFG,Mizuho Financial Group Inc,20160218,Mizuho chief: studying European cases of fees charged on big deposits ,TOKYO  Feb 18 The head of Japanese lender Mizuho Financial Group Inc said on Thursday his bank was studying cases of deposit fees charged on large accounts in the euro zone  after the Bank of Japan introduced negative interest rates last month.,topStory
NKE,Nike Inc,20160218,Nike drops boxer Manny Pacquiao after anti-gay comments ,Feb 18 Nike Inc  the world's largest sportswear maker  said it had ended its contract with Manny Pacquiao after the Filipino boxer described gays as "worse than animals".,topStory
JWN,Nordstrom Inc,20160218,Nordstrom quarterly comparable sales beat estimates ,Feb 18 Department store operator Nordstrom Inc  reported better-than-expected quarterly comparable sales  helped by strong demand for beauty products and shoes.,topStory
OSK,Oshkosh Corporation,20160218,Lockheed says withdraws protest of Oshkosh U.S. truck contract ,WASHINGTON Lockheed Martin Corp  on Wednesday said it had withdrawn its protest in federal court of a $6.75 billion contract awarded by the U.S. Army to Oshkosh Corp  for 17 000 new armored vehicles to replace the Humvee.,topStory
OSK,Oshkosh Corporation,20160218,UPDATE 1-Lockheed says withdraws protest of Oshkosh U.S. truck contract ,WASHINGTON  Feb 17 Lockheed Martin Corp  on Wednesday said it had withdrawn its protest in federal court of a $6.75 billion contract awarded by the U.S. Army to Oshkosh Corp for 17 000 new armored vehicles to replace the Humvee.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20160218,Standard & Poor's downgrades Petrobras after Brazil sovereign cut ,RIO DE JANEIRO Brazil's state-run oil company Petroleo Brasileiro SA or Petrobras said on Thursday that Standard & Poor's downgraded its foreign currency bond rating to "B+" from "BB" after the ratings agency cut Brazil's sovereign rating on Wednesday.,topStory
PG,Procter & Gamble Company (The),20160218,P&G needs to be more agile  says new CEO Taylor ,Procter & Gamble Co  needs to be more nimble in its decision-making  Chief Executive David Taylor said in his first interaction with analysts after taking the helm in November.,topStory
PG,Procter & Gamble Company (The),20160218,P&G needs to be more agile  says new CEO Taylor ,Feb 18 Procter & Gamble Co needs to be more nimble in its decision-making  Chief Executive David Taylor said in his first interaction with analysts after taking the helm in November.,normal
RCI,Rogers Communication Inc,20160218,CANADA STOCKS-TSX edges higher  sustains six-week high ,TORONTO  Feb 18 Canada's main stock index edged higher on Thursday  sustaining a six-week high  as consumer and telecom stocks made modest gains  while shares in energy companies pulled back despite a further rise in crude oil prices.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160218,BRIEF-Taiwan's TSMC orders equipment for T$700 mln ,* says orders equipment from Applied Materials South East Asia Pte Ltd for T$700 million  ($21.06 million),topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160218,Taiwan stocks rise in line with regional peers; TSMC rallies ,Feb 18 Taiwan stocks rose along with other regional bourses on Thursday  led by TSMC which hit a nearly 10-month high after its mixed forecast for the first quarter buoyed investors.,normal
GIM,Templeton Global Income Fund Inc,20160218,Franklin Templeton's Hasenstab says liquidity fears are overblown ,LONDON  Feb 18 Worries about liquidity in some bond markets are overblown and emerging market asset prices do not reflect reality  Franklin Templeton's star bond fund manager said in a video posted on the firm's Twitter feed late on Wednesday.,normal
TM,Toyota Motor Corp Ltd Ord,20160218,Toyota recalling 2.9 million vehicles globally over seatbelt issue ,TOKYO Toyota Motor Corp  said on Thursday it is conducting a global recall of 2.87 million vehicles due to the possibility that their seatbelts could be damaged by a metal seat frame part in the event of a crash.,topStory
TM,Toyota Motor Corp Ltd Ord,20160218,Toyota recalling 2.9 mln vehicles globally over seatbelt issue ,TOKYO  Feb 18 Toyota Motor Corp said on Thursday it is conducting a global recall of 2.87 million vehicles due to the possibility that their seatbelts could be damaged by a metal seat frame part in the event of a crash.,normal
TKC,Turkcell Iletisim Hizmetleri AS,20160218,Turkcell posts 10.7 percent increase in its net profit ,ANKARA  Feb 18 Turkey's biggest mobile operator Turkcell posted a 10.7 percent increase in its annual net profit to 2.07 billion lira ($698.10 million) in 2015.,topStory
UAL,United Continental Holdings Inc,20160218,United Airlines receives U.S. Justice Dept inquiry about mail ,Feb 18 The U.S. Justice Department has asked United Continental Holdings Inc for documents and oral testimony related to its contract to carry mail for the U.S. Postal Service  the airline said Thursday in its annual regulatory filing.,topStory
UMC,United Microelectronics Corporation,20160218,BRIEF-UMC orders machinery equipment from Applied Materials ,* Says orders machinery equipment worth T$670 million  ($20.16 million),topStory
WMT,Wal-Mart Stores Inc,20160218,US STOCKS SNAPSHOT-Wal-Mart  oil drag Wall Street after 3-day rally ,NEW YORK  Feb 18 Stocks closed lower on Wall Street on Thursday  ending a three-day winning streak  as Wal-Mart shares weighed on the market after a lackluster earnings report and oil prices pulled back.,topStory
WMT,Wal-Mart Stores Inc,20160218,UPDATE 4-Wal-Mart forecasts tepid sales growth; stock slides ,Feb 18 Wal-Mart Stores Inc on Thursday reported a lower quarterly profit and gave a lackluster sales outlook as declining prices for grocery products and sluggish apparel demand took a toll  and its shares fell more than 3 percent.,normal
WMT,Wal-Mart Stores Inc,20160218,CORRECTED-Wal-Mart quarterly earnings fall; U.S. sales edge up ,Feb 18 Wal-Mart Stores Inc on Thursday reported a decline in quarterly earnings as it booked a modest increase in sales at existing stores.,normal
WMT,Wal-Mart Stores Inc,20160218,British supermarket Asda Q4 sales deteriorate further ,LONDON  Feb 18 Supermarket chain Asda  the British arm of Wal-Mart  reported a 5.8 percent decline in underlying sales on Thursday in a further deterioration of its performance as it continues to lose shoppers to German discounters Aldi and Lidl.,normal
WMT,Wal-Mart Stores Inc,20160218,Wal-Mart aims to improve scheduling for U.S. workers ,Wal-Mart Stores  said on Wednesday it would start offering fixed shifts and unveiled other details of planned scheduling changes aimed at retaining and motivating its rank-and-file workers.,normal
