ATVI,Activision Blizzard Inc,20160115,BRIEF-Vivendi unwounds hedge on remaining stake in Activision Blizzard ,* Announced that it unwound the hedge on its remaining 41.5 million Activision Blizzard Inc shares,topStory
RBS,Royal Bank Scotland plc (The),20160115,RBS settlement on U.S. mortgages could come within weeks - analysts ,Royal Bank of Scotland could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,topStory
RBS,Royal Bank Scotland plc (The),20160115,RBS settlement on U.S. mortgages could come within weeks: analysts ,LONDON Royal Bank of Scotland could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
RBS,Royal Bank Scotland plc (The),20160115,RBS settlement on U.S. mortgages could come within weeks  -analysts ,LONDON  Jan 15 Royal Bank of Scotland  could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20160115,Taiwan stocks rise before presidential vote; TSMC jumps ,TAIPEI  Jan 15 Taiwan stocks rose on Friday in line with other regional bourses  but market sentiment remained cautious ahead of polls on Saturday in which the main opposition independence-leaning Democratic Progressive Party (DPP) is likely to return to power.,topStory
TI,Telecom Italia SPA,20160115,BRIEF-Vivendi confirms raised Telecom Italia stake to 21.39 pct ,* French media group Vivendi confirms it increased stake in Italy's biggest phone group to 21.39 percent  Further company coverage     (Reporting by Paris Newsroom),topStory
TI,Telecom Italia SPA,20160115,BRIEF-JP Morgan trims long position in Telecom Italia ,Jan 15 A filing with Italian market regulator Consob shows:,normal
TI,Telecom Italia SPA,20160115,Vivendi bought more Telecom Italia shares in Dec -filing ,MILAN  Jan 15 Top investor Vivendi  bought more ordinary shares in Telecom Italia in December after securing four seats on the Italian company's board  a filing by Telecom Italia showed on Friday.,normal
TI,Telecom Italia SPA,20160115,Italy - Factors to watch on January 15 ,The following factors could affect Italian markets on Thursday.,normal
TM,Toyota Motor Corp Ltd Ord,20160115,Toyota Philippines targets 10 pct output growth in 2016 ,MANILA  Jan 15 The Philippine unit of Toyota Motor Corp is increasing its output by a tenth this year and preparing to tap Manila's $600 million incentive programme  its president said.,topStory
USB,US Bancorp,20160115,Fitch: USB's Good Performance in 4Q15 Supportive of its High Ratings ,(The following statement was released by the rating agency) CHICAGO  January 15 (Fitch) U.S. Bancorp's (USB) fourth quarter 2015 (4Q15) and  full year 2015 earnings continued to be strong and support the company's  ratings  which are the highest in Fitch Ratings' global bank rating universe.   USB's 4Q15 return on average assets (ROAA) 1.41%  down modestly from the 1.44%  in 3Q15.  The company's 2015 full year ROAA was 1.44% relative to 1.54% in the  prior year period. Given the impact low inter,topStory
UAL,United Continental Holdings Inc,20160115,United Continental CEO headed home after heart transplant ,United Continental Holdings Inc  said on Friday Chief Executive Oscar Munoz is headed home after a heart transplant last week and is recovering well.,topStory
UAL,United Continental Holdings Inc,20160115,UPDATE 1-United Continental CEO headed home after heart transplant ,Jan 15 United Continental Holdings Inc  said on Friday Chief Executive Oscar Munoz is headed home after a heart transplant last week and is recovering well.,normal
UAL,United Continental Holdings Inc,20160115,United Continental CEO says recovering well after heart transplant ,Jan 15 United Continental Holdings Inc  Chief Executive Oscar Munoz said on Friday he was recovering well after a heart transplant last week.,normal
WMT,Wal-Mart Stores Inc,20160115,UPDATE 1-Wal-Mart merges tech teams to better connect online and stores ,Jan 15 Wal-Mart Stores Inc is merging an Arkansas-based division that develops computer systems for its stores with a fast-growing technology unit in Silicon Valley  aiming to hasten its move to compete in the online era.,topStory
WMT,Wal-Mart Stores Inc,20160115,Wal-Mart merges tech teams in online push ,Wal-Mart Stores Inc is merging an Arkansas-based division that develops computer systems for its stores with a fast-growing technology unit in Silicon Valley  aiming to hasten its move to compete in the online era.,normal
WMT,Wal-Mart Stores Inc,20160115,Wal-Mart merges tech teams in online push ,Jan 15 Wal-Mart Stores Inc is merging an Arkansas-based division that develops computer systems for its stores with a fast-growing technology unit in Silicon Valley  aiming to hasten its move to compete in the online era.,normal
WMT,Wal-Mart Stores Inc,20160115,Wal-Mart pulls plug on smallest stores  shuts 269 locations ,Wal-Mart Stores Inc  said on Friday that it would pull the plug on its smallest store format  Walmart Express  and close 269 locations as it contends with higher costs in its home market of the United States and disappointing results overseas.,normal
WMT,Wal-Mart Stores Inc,20160115,UPDATE 3-Wal-Mart pulls plug on smallest stores  shuts 269 locations ,Jan 15 Wal-Mart Stores Inc said on Friday that it would pull the plug on its smallest store format  Walmart Express  and close 269 locations as it contends with higher costs in its home market of the United States and disappointing results overseas.,normal
WMT,Wal-Mart Stores Inc,20160115,Wal-Mart pulls plug on smallest store format  shuts 269 stores ,Jan 15 Wal-Mart Stores Inc said it was pulling the plug on its smallest store format and closing 269 stores globally  including 154 in the United States  in a restructuring that will affect 16 000 workers.,normal
WFC,Wells Fargo & Company,20160115,Wells Fargo wealth unit shows strain of great expectations ,  It may be the CEO's favorite business  but Wells Fargo & Co's  wealth management unit is not growing.,topStory
WFC,Wells Fargo & Company,20160115,Fitch: Wells Fargo Reports Solid 4Q15 Results ,(The following statement was released by the rating agency) CHICAGO  January 15 (Fitch) Wells Fargo & Company (WFC) reported fourth quarter  2015 (4Q15) results of $5.7 billion in net income for a return on assets (ROA)  of 1.27%  down 1.5% from last quarter. Earnings have remained relatively  consistent over the last five quarters  hovering at  around the $5.7 billion  mark.  Earnings during the quarter were supported by both spread income and controlled  expenses. This was partially offset by ,normal
WFC,Wells Fargo & Company,20160115,CORRECTED-Wells Fargo profit falls 0.8 pct ,Jan 15 Wells Fargo & Co  the biggest U.S. residential mortgage lender and a major lender to the energy industry  reported a 0.8 percent fall in profit for the last quarter of the year as it set aside more funds to cover bad loans.,normal
