AMCX,AMC Networks Inc,20150805,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from August 5  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                        ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-           Eikon Indicator-> Home-&g,topStory
BP,BP plc,20150805,With crude at $50  oil firms fear deeper crisis than in 1980s ,LONDON  Aug 5 After slashing spending by $180 billion to deal with one of the worst industry downturns in decades  oil companies are still bleeding cash and slipping further into debt to maintain dividends to shareholders.,normal
BP,BP plc,20150805,EU mergers and takeovers (Aug 5) ,BRUSSELS  Aug 5 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
BP,BP plc,20150805,Oil bulls' hope for quick price dip dimmed by 2020 crude under $70 ,HOUSTON As oil prices entered a second steep slide a few weeks ago  bullish traders and analysts had hoped for a repeat of the sharp but short dip that occurred early in the year - a speculative slide below $50 a barrel followed by a quick recovery.,normal
BRFS,BRF SA,20150805,Brazil antitrust agency clears Diniz stakes in BRF  Carrefour ,SAO PAULO  Aug 5 Brazilian antitrust agency Cade dismissed concerns that Abilio Diniz's holdings in the local unit of French retailer Carrefour SA and food processor BRF SA pose a risk to competition.,topStory
CBS,CBS Corporation,20150805,UPDATE 1-CBS profit beats estimates as affiliate revenue jumps ,Aug 5 CBS Corp  owner of the most-watched U.S. TV network  reported a better-than-expected quarterly profit due to higher revenue from affiliates and subscription fees.,topStory
CBS,CBS Corporation,20150805,CBS profit beats estimates as affiliate revenue rises ,Aug 5 CBS Corp  owner of the most-watched U.S. TV network  reported a better-than-expected quarterly profit due to higher revenue from affiliates and increase in subscription fees.,normal
CF,CF Industries Holdings Inc,20150805,Fertilizer makers Agrium  CF post higher profits ,North American nitrogen fertilizer producers Agrium Inc  and CF Industries  reported higher second-quarter profits on Wednesday after markets closed.,topStory
CF,CF Industries Holdings Inc,20150805,Fertilizer makers Agrium  CF post higher profits ,Aug 5 North American nitrogen fertilizer producers Agrium Inc and CF Industries reported on Wednesday higher second-quarter profits after markets closed.,normal
CGG,CGG,20150805,French firm CGG confirms subcontractor held by Islamic State ,PARIS A subcontractor working for French seismic survey group CGG has been kidnapped in Cairo and is held by Islamic State  the company said on Wednesday.,topStory
CGG,CGG,20150805,French firm CGG confirms subcontractor held by Islamic State ,PARIS  Aug 5 A subcontractor working for French seismic survey group CGG has been kidnapped in Cairo and is held by Islamic State  the company said on Wednesday.,normal
CHK,Chesapeake Energy Corporation,20150805,Chesapeake Energy has quarterly loss  shares tumble ,Chesapeake Energy Corp  swung to a quarterly loss on Wednesday from a year ago and shares fell as much as 10 percent as worries about hefty debt and spending at the No. 2 U.S. natural gas producer linger amid low prices.,topStory
CHK,Chesapeake Energy Corporation,20150805,UPDATE 2-Chesapeake Energy has quarterly loss  shares tumble ,Aug 5 Chesapeake Energy Corp swung to a quarterly loss on Wednesday from a year ago and shares fell as much as 10 percent as worries about hefty debt and spending at the No. 2 U.S. natural gas producer linger amid low prices.,normal
CHK,Chesapeake Energy Corporation,20150805,BRIEF-Chesapeake Energy CEO says does not see significant recovery in prices ,* Chesapeake energy exec says company curtailing 275 million cubic feet/day gas production in Utica through October,normal
CHK,Chesapeake Energy Corporation,20150805,Chesapeake Energy posts loss on $5 bln impairment charge ,Aug 5 U.S. natural gas producer Chesapeake Energy Corp reported a quarterly loss  compared with a year-earlier profit  as it took a $5 billion charge on some oil and gas assets.,normal
CVX,Chevron Corporation,20150805,U.S. court rejects Ecuador challenge to $96 mln Chevron award ,NEW YORK A U.S. appeals court on Tuesday rejected Ecuador's challenge to a $96 million international arbitration award in favor of energy giant Chevron Corp  marking the latest twist in a decades-long dispute over the development of oil fields in the South American country.,topStory
CVX,Chevron Corporation,20150805,UPDATE 2-U.S. court rejects Ecuador challenge to $96 mln Chevron award ,NEW YORK  Aug 4 A U.S. appeals court on Tuesday rejected Ecuador's challenge to a $96 million international arbitration award in favor of energy giant Chevron Corp  marking the latest twist in a decades-long dispute over the development of oil fields in the South American country.,normal
CMG,Chipotle Mexican Grill Inc,20150805,CORRECTED-Burger chain Wendy's sales fall for 7th straight quarter ,Aug 5 U.S. burger chain Wendy's Co  reported a fall in sales for the seventh straight quarter  due to fewer company-owned stores and fierce competition from fast-casual dining chains such as Chipotle Mexican Grill Inc .,topStory
CI,Cigna Corporation,20150805,UPDATE 2-Health insurer WellCare raises forecast  looks to buy assets ,* Shares rise as much as 9.6 pct   (Adds details from conference call; updates shares),normal
CLR,Continental Resources Inc,20150805,Continental Resources profit beats as cost cuts offset cheap oil ,Continental Resources Inc   the second-largest oil producer in North Dakota's Bakken shale formation  posted a better-than-expected quarterly profit on Wednesday as the company slashed costs to offset plunging crude prices.,topStory
CLR,Continental Resources Inc,20150805,UPDATE 2-Continental Resources profit beats as cost cuts offset cheap oil ,Aug 5 Continental Resources Inc  the second-largest oil producer in North Dakota's Bakken shale formation  posted a better-than-expected quarterly profit on Wednesday as the company slashed costs to offset plunging crude prices.,normal
CLR,Continental Resources Inc,20150805,Continental Resources profit drops 99 percent on cheap oil ,Aug 5 Continental Resources Inc  the second-largest oil producer in North Dakota's Bakken shale formation  said on Wednesday its quarterly profit fell 99 percent as crude prices plunged.,normal
CVS,CVS Health Corporation,20150805,UPDATE 1-CVS strips Viagra  other top drugs  from insurance coverage ,Aug 5 CVS Health Corp  which operates the nation's second-biggest pharmacy benefit manager  said that next year it will exclude an additional 31 prescription medicines from insurance coverage  including Viagra and widely used treatments for diabetes and multiple sclerosis.,topStory
CVS,CVS Health Corporation,20150805,CVS strips Viagra  other top drugs  from insurance coverage ,Aug 5 CVS Health Corp  which operates the nation's second-biggest pharmacy benefit manager  said that next year it will exclude an additional 31 prescription medicines from insurance coverage  including Viagra and widely used treatments for diabetes and multiple sclerosis.,normal
CVS,CVS Health Corporation,20150805,BRIEF-Orexo says Zubsolv removed from preferred position on CVS Caremark list ,* Zubsolv market access update on agreement with cvs caremark and announcement of new exclusive agreement in managed medicaid,normal
DAL,Delta Air Lines Inc,20150805,Skymark creditors pick ANA to lead turnaround plan  reject Delta proposal ,TOKYO ANA Holdings Inc  has won creditor backing to lead a turnaround of bankrupt Japanese discount carrier Skymark Airlines Inc [SKALF.PK]  defeating a plan that proposed Delta Air Lines Inc  as its sponsor.,topStory
DAL,Delta Air Lines Inc,20150805,Deals of the day- Mergers and acquisitions ,Aug 5 The following bids  mergers  acquisitions and disposals were reported by 0930 GMT on Wednesday:,normal
DAL,Delta Air Lines Inc,20150805,UPDATE 3-Skymark creditors pick ANA to lead turnaround plan  reject Delta proposal ,* ANA  with its track record in Japan  seen best option -creditor   (Adds comments from ANA executive  creditor  context),normal
DAL,Delta Air Lines Inc,20150805,European Factors to Watch- Shares to edge slightly higher ,(Adds futures  quote  updates company news)     LONDON  Aug 5    European stocks were seen opening higher on Wednesday  outperforming the Wall Street that edged lower overnight  as the mounting risks of a hike in U.S. interest rates as early as next month lifted the dollar and bond yields.      The euro zone's Euro STOXX 50 futures contract rose 0.5 percent ahead of the cash market open. Germany's DAX futures and France's CAC futures both gained 0.5 percent  while Britain's FTSE f,normal
DAL,Delta Air Lines Inc,20150805,European Factors to Watch- Shares to edge slightly higher ,LONDON  Aug 5    European stocks were seen edging slightly higher on Wednesday  with financial spreadbetters expecting Britain's FTSE 100  to open 6-8 points or 0.1 percent higher  Germany's DAX to open 13-14 points or 0.1 percent higher  and France's CAC 40 to open 2-3 points or as much as 0.1 percent up.          SOCIETE GENERALE      The French bank targeted a slightly bigger cushion of capital and higher cost savings as it reported better-than-expected earnings.             AIRBU,normal
DAL,Delta Air Lines Inc,20150805,Skymark creditors choose ANA to sponsor turnaround: participant ,TOKYO ANA Holdings Inc won the backing of creditors to lead a turnaround of bankrupt Japanese discount carrier Skymark Airlines Inc  defeating a rival plan that proposed Delta Air Lines as its sponsor  a participant at the creditor meeting said.,normal
DAL,Delta Air Lines Inc,20150805,Skymark creditors choose ANA to sponsor turnaround -participant ,TOKYO  Aug 5 ANA Holdings Inc won the backing of creditors to lead a turnaround of bankrupt Japanese discount carrier Skymark Airlines Inc  defeating a rival plan that proposed Delta Air Lines as its sponsor  a participant at the creditor meeting said.,normal
ETE,Energy Transfer Equity LP,20150805,Exclusive: Energy Transfer advances in auction for Williams - sources ,Energy Transfer Equity LP  has progressed to the second round of bidding for Williams Companies   according to people familiar with the matter  a key milestone in the pipeline company's efforts to clinch a friendly deal with its peer.,topStory
EQT,EQT Corporation,20150805,BRIEF-EQT buys majority stake in Nordic Aviation Capital ,* EQT says EQT VI has agreed to acquire a majority stake in turboprop aircraft leasing firm Nordic Aviation Capital A/S,topStory
EVR,Evercore Inc,20150805,MOVES-Evercore  Portcullis  Standard Chartered ,Aug 5 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
XCO,EXCO Resources NL,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
XCO,EXCO Resources NL,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
FIT,Fitbit Inc,20150805,Fitbit's second-quarter margins fall  says expects no improvement in 2015 ,Fitbit Inc   which makes wearable fitness tracking devices  said margins fell in the second quarter  mainly due to higher spending on new products  and said it does not expect margins to improve for the rest of the year.,topStory
FIT,Fitbit Inc,20150805,UPDATE 3-Fitbit's 2nd-qtr margins fall  says expects no improvement in 2015 ,Aug 5 Fitbit Inc  which makes wearable fitness tracking devices  said margins fell in the second quarter  mainly due to higher spending on new products  and said it does not expect margins to improve for the rest of the year.,normal
FIT,Fitbit Inc,20150805,BRIEF-Fitbit Qtrly earnings per share $0.07 ,Aug 5 Fitbit Inc :  * Reports second quarter 2015 results  * Sees FY 2015 non-GAAP earnings per share $0.69 to $0.77  * Sees Q3 2015 non-GAAP earnings per share $0.07 to $0.10  * Q2 non-GAAP earnings per share $0.21  * Sees Q3 2015 revenue $335 million to $365 million  * Sees FY 2015 revenue $1.6 billion to $1.7 billion  * Q2 revenue rose 253 percent to $400 million  * Q2 revenue view $319.4 million -- Thomson Reuters I/B/E/S  * Q2 earnings per share view $0.08 -- Thomson Reuters I/B,normal
FIT,Fitbit Inc,20150805,Fitbit revenue more than triples ,Aug 5 Fitbit Inc's quarterly revenue more than tripled  helped by international expansion and strong demand for its wearable fitness tracking devices.,normal
F,Ford Motor Company,20150805,Maruti Suzuki launches crossover in late assault on India SUV market ,NEW DELHI Maruti Suzuki  India's car market leader but lagging Ford Motor Co  Renault SA and others with new models in the fast-growing SUV segment  launched a crossover vehicle on Wednesday that aims to support ambitious sales growth plans.,topStory
F,Ford Motor Company,20150805,Maruti Suzuki launches crossover in late assault on India SUV market ,NEW DELHI  Aug 5 Maruti Suzuki  India's car market leader but lagging Ford Motor Co  Renault SA and others with new models in the fast-growing SUV segment  launched a crossover vehicle on Wednesday that aims to support ambitious sales growth plans.,normal
FCX,Freeport-McMoran Inc,20150805,UPDATE 1-Freeport-McMoRan cuts capital budget for oil  gas operations ,Aug 5 Diversified U.S. miner and energy producer Freeport-McMoRan Inc said it would cut its budget for oil and gas operations and defer investments in several long-term projects.,topStory
FCX,Freeport-McMoran Inc,20150805,Freeport-McMoRan cuts capital budget for oil  gas operations ,Aug 5 Miner Freeport-McMoRan Inc said it would cut its budget for oil and gas operations due to weak prices and defer investments in several long-term projects.,normal
GEH,General Electric Capital Corporation,20150805,GE unveils customized cloud service in industrial data push ,General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,topStory
GEH,General Electric Capital Corporation,20150805,GE unveils customized cloud service in industrial data push ,Aug 5 General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,normal
GEK,General Electric Capital Corporation,20150805,GE unveils customized cloud service in industrial data push ,General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,topStory
GEK,General Electric Capital Corporation,20150805,GE unveils customized cloud service in industrial data push ,Aug 5 General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,normal
GE,General Electric Company,20150805,GE unveils customized cloud service in industrial data push ,General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,topStory
GE,General Electric Company,20150805,GE unveils customized cloud service in industrial data push ,Aug 5 General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,normal
GEB,General Electric Company,20150805,GE unveils customized cloud service in industrial data push ,General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,topStory
GEB,General Electric Company,20150805,GE unveils customized cloud service in industrial data push ,Aug 5 General Electric Co said on Wednesday it is developing a cloud-based service tailored for industrial customers  the latest step in the U.S. conglomerate's effort to gain business from data generated by machines.,normal
GM,General Motors Company,20150805,VW's new e-Golf model priced in U.S. to compete with Nissan Leaf ,DETROIT  Aug 5 Volkswagen AG's  entry-level electric car  the e-Golf SE  will be priced about $4 500 lower than VW's current lowest-priced electric car  the company said on Wednesday.,normal
GM,General Motors Company,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GDDY,GoDaddy Inc,20150805,GoDaddy forecasts current-quarter revenue below estimates ,Web-hosting company GoDaddy Inc  forecast current-quarter revenue below Wall Street estimates after a comfortable beat  sending its shares down 5 percent in after-market trading.,topStory
GDDY,GoDaddy Inc,20150805,UPDATE 2-GoDaddy forecasts current-quarter revenue below estimates ,* Shares fall 5 pct after-hours   (Adds details from conference call  background  updates shares),normal
GDDY,GoDaddy Inc,20150805,GoDaddy revenue rises 16.5 pct ,Aug 5 Web-hosting company GoDaddy Inc  reported a 16.5 percent jump in quarterly revenue as it earned more per user and its customer base expanded.,normal
GS,Goldman Sachs Group Inc (The),20150805,Exclusive: Scaffolding supplier Safway taps Goldman for sale - sources ,Safway Group Holding LLC has hired investment bank Goldman Sachs Group Inc  to explore a sale that could value the U.S. scaffolding equipment provider at as much as $1.5 billion  including debt  according to people familiar with the matter.,topStory
GS,Goldman Sachs Group Inc (The),20150805,Alibaba pins U.S. growth hopes on Goldman's China rainmaker ,HONG KONG Alibaba Group Holding Ltd is hoping a Canadian Olympic gold medallist once tipped to be the next chief executive of Goldman Sachs Group Inc will help them make it big in the United States. | Video ,normal
GS,Goldman Sachs Group Inc (The),20150805,REFILE-Alibaba pins U.S. growth hopes on Goldman's China rainmaker ,HONG KONG  Aug 5 Alibaba Group Holding Ltd  is hoping a Canadian Olympic gold medallist once tipped to be the next chief executive of Goldman Sachs Group Inc  will help them make it big in the United States.,normal
HCA,HCA Healthcare Inc,20150805,HCA expects Obamacare benefit to taper off for rest of 2015 ,Hospital operator HCA Holdings Inc  the largest U.S. for-profit hospital operator  suggested benefits from the Affordable Care Act (ACA) would taper off over the rest of the year  a warning that weighed on the stocks of hospital operators.,topStory
HCA,HCA Healthcare Inc,20150805,UPDATE 3-HCA expects Obamacare benefit to taper off for rest of 2015 ,Aug 5 Hospital operator HCA Holdings Inc   the largest U.S. for-profit hospital operator  suggested benefits from the Affordable Care Act (ACA) would taper off over the rest of the year  a warning that weighed on the stocks of hospital operators.,normal
HCA,HCA Healthcare Inc,20150805,HCA Holdings revenue rises on increased hospital admissions  visits ,Aug 5 HCA Holdings Inc  the largest for-profit hospital operator in the United States  reported a 7.2 percent rise in quarterly revenue  helped by an increase in admissions and emergency room visits.,normal
HFC,HollyFrontier Corporation,20150805,Refiner HollyFrontier results shine as acquisition talks fade ,HollyFrontier Corp  posted a better-than-expected profit for the second straight quarter  showing that the U.S. refiner had put behind it a disruptive start to the year when it made a failed attempt at an acquisition and rebuffed a takeover offer.,topStory
HFC,HollyFrontier Corporation,20150805,UPDATE 2-Refiner HollyFrontier results shine as acquisition talks fade ,* Price rise makes company expensive target-analyst   (Adds CEO and analyst comment  details on acquisition talks),normal
HFC,HollyFrontier Corporation,20150805,HollyFrontier profit doubles on higher margins ,Aug 5 U.S. refiner HollyFrontier Corp's  quarterly profit more than doubled  helped by a rise in refining margins due to lower crude prices.,normal
HSBC,HSBC Holdings plc,20150805,MOVES-Standard Chartered picks Smith as chief risk officer from HSBC ,LONDON  Aug 5 Asia-focused bank Standard Chartered has appointed Mark Smith  currently at rival HSBC  as its new chief risk officer  where he will oversee credit  market and operational risk.,topStory
HSEA,HSBC Holdings plc,20150805,MOVES-Standard Chartered picks Smith as chief risk officer from HSBC ,LONDON  Aug 5 Asia-focused bank Standard Chartered has appointed Mark Smith  currently at rival HSBC  as its new chief risk officer  where he will oversee credit  market and operational risk.,topStory
HSEB,HSBC Holdings plc,20150805,MOVES-Standard Chartered picks Smith as chief risk officer from HSBC ,LONDON  Aug 5 Asia-focused bank Standard Chartered has appointed Mark Smith  currently at rival HSBC  as its new chief risk officer  where he will oversee credit  market and operational risk.,topStory
ITUB,Itau Unibanco Banco Holding SA,20150805,Brazil's Itaú eyeing opportunities to resume buybacks  CFO says ,SAO PAULO  Aug 5 Itaú Unibanco Holding SA    Brazil's largest bank by market value  will remain attentive to potential opportunities to repurchase outstanding shares in the market  Chief Financial Officer Eduardo Vassimon said on Wednesday.   (Reporting by Guillermo Parra-Bernal; Editing by Meredith Mazzilli),topStory
JPM,J P Morgan Chase & Co,20150805,JPMorgan to move 2 150 jobs to New Jersey from New York: WSJ ,JPMorgan Chase & Co  will move more than 2 100 jobs from Manhattan to New Jersey to benefit from an incentive program offered by the state of New Jersey  the Wall Street Journal reported on Wednesday.,topStory
JPM,J P Morgan Chase & Co,20150805,JPMorgan to move 2 150 jobs to New Jersey from New York -WSJ ,Aug 5 JPMorgan Chase & Co will move more than 2 100 jobs from Manhattan to New Jersey to benefit from an incentive program offered by the state of New Jersey  the Wall Street Journal reported on Wednesday.,normal
JPM,J P Morgan Chase & Co,20150805,JPMorgan-linked China joint venture gets approval to invest overseas ,SHANGHAI Shanghai authorities granted a joint venture involving JPMorgan the right to raise funds in China to invest in overseas assets  a spokesman for the U.S. firm said on Wednesday.,normal
JPM,J P Morgan Chase & Co,20150805,JPMorgan-linked China joint venture gets approval to invest overseas ,SHANGHAI  Aug 5 Shanghai authorities granted a joint venture involving JPMorgan the right to raise funds in China to invest in overseas assets   a spokesman for the U.S. firm said on Wednesday.,normal
MTB,M&T Bank Corporation,20150805,Ex-Wilmington Trust president  3 others are indicted over loans ,U.S. prosecutors on Wednesday unveiled criminal charges accusing four former Wilmington Trust Co executives with concealing from regulators the amount of troubled loans still on the firm's books after the 2008 financial crisis.,normal
MTB,M&T Bank Corporation,20150805,Ex-Wilmington Trust president  3 others are indicted over loans ,Aug 5 U.S. prosecutors on Wednesday unveiled criminal charges accusing four former Wilmington Trust Co executives with concealing from regulators the amount of troubled loans still on the firm's books after the 2008 financial crisis.,normal
MRO,Marathon Oil Corporation,20150805,Marathon Oil reports quarterly loss on crude oil price fall ,U.S. oil and gas company Marathon Oil Corp  on Wednesday reported a quarterly loss compared with a year-ago profit  as the slump in crude oil prices hurt results.,topStory
MRO,Marathon Oil Corporation,20150805,UPDATE 1-Marathon Oil reports quarterly loss on crude oil price fall ,Aug 5 U.S. oil and gas company Marathon Oil Corp  on Wednesday reported a quarterly loss compared with a year-ago profit  as the slump in crude oil prices hurt results.,normal
MRO,Marathon Oil Corporation,20150805,Marathon Oil has quarterly loss on crude collapse ,Aug 5 U.S. oil and gas company Marathon Oil Corp  on Wednesday reported a quarterly loss compared with a year-ago profit  as the slump in crude prices hurt results.,normal
MPC,Marathon Petroleum Corporation,20150805,MarkWest  Marathon Petroleum considering alkylate plant in Ohio ,HOUSTON  Aug 5 MarkWest Energy Partners LP  and Marathon Petroleum Corp may build an alkylate facility in southeast Ohio  MarkWest Chief Executive Frank Semple told analysts on Wednesday.,topStory
MA,Mastercard Incorporated,20150805,COLUMN-Judge finds lawyer 'fatally tainted' Amex deal: Frankel ,Gary Friedman of the Friedman Law Group can now put a price tag on the cost of his horribly misguided decision to share privileged and confidential documents from his antitrust class action against American Express with his old friend Keila Ravelo  a lawyer for MasterCard in a parallel case: $75 million.,topStory
MKC,McCormick & Company Incorporated,20150805,Chicago convention center debt downgraded over state budget battle ,CHICAGO Illinois' ongoing budget battle led Standard & Poor's Ratings Services and Fitch Ratings on Wednesday to drop the rating on more than $3 billion of bonds issued for an expansion of Chicago's McCormick Place convention center.,topStory
MKC,McCormick & Company Incorporated,20150805,UPDATE 3-Chicago convention center debt downgraded over state budget battle ,CHICAGO  Aug 5 Illinois' ongoing budget battle led Standard & Poor's Ratings Services and Fitch Ratings on Wednesday to drop the rating on more than $3 billion of bonds issued for an expansion of Chicago's McCormick Place convention center.,normal
MCD,McDonald&#39;s Corporation,20150805,Food scares strip McDonald's  KFC of treat status in China ,SHANGHAI On birthdays and for special treats  Lu Yuanli would take her son to their local KFC for his favorite meal  fried chicken wings  but the Chinese mother hasn't been back since a safety scare battered KFC-parent Yum Brands Inc  and rival McDonald's Corp  last year.,topStory
MCD,McDonald&#39;s Corporation,20150805,Food scares strip McDonald's  KFC of treat status in China ,SHANGHAI  Aug 6 On birthdays and for special treats  Lu Yuanli would take her son to their local KFC for his favourite meal  fried chicken wings  but the Chinese mother hasn't been back since a safety scare battered KFC-parent Yum Brands Inc and rival McDonald's Corp last year.,normal
KORS,Michael Kors Holdings Limited,20150805,CORRECTED-UPDATE 3-Kate Spade same-store sales growth beats on demand for handbags ,Aug 5 Kate Spade & Co reported better-than-expected growth in its quarterly same-store sales  helped by strong demand for its handbags and small leather goods such as wallets.,topStory
MON,Monsanto Company,20150805,Syngenta and Monsanto not in deal talks: sources ,CHICAGO Monsanto Co and Syngenta AG are not holding any deal negotiations at this time  let alone discussions about a price for Monsanto’s proposed takeover of its Swiss rival  sources familiar with both companies told Reuters on Tuesday.,topStory
MS,Morgan Stanley,20150805,Morgan Stanley raises $1.7 billion for real estate fund ,Morgan Stanley  said on Wednesday it has raised $1.7 billion for its eighth direct investment real estate fund.,topStory
MSI,Motorola Solutions Inc,20150805,UPDATE 3-Silver Lake bets $1 bln on Motorola Solutions ,* Motorola Solutions shares up 6 pct   (Adds details from conference call  analyst comment  updates shares),topStory
MSI,Motorola Solutions Inc,20150805,Silver Lake to invest $1 bln in Motorola Solutions ,Aug 5 Motorola Solutions Inc  a maker of walkie-talkies and radio systems  said private equity firm Silver Lake would invest $1 billion in the company.,normal
MSI,Motorola Solutions Inc,20150805,Motorola receives $1 billion investment from Silver Lake: NYT ,Walkie-talkie and radio systems maker Motorola Solutions Inc  has received $1 billion in investment from private equity firm Silver Lake  the New York Times reported.,normal
MSI,Motorola Solutions Inc,20150805,Motorola receives $1 bln investment from Silver Lake - NYT ,Aug 5 Walkie-talkie and radio systems maker Motorola Solutions Inc has received $1 billion in investment from private equity firm Silver Lake  the New York Times reported.,normal
NAV,Navistar International Corporation,20150805,Navistar sweetens terms on $1 billion loan refinancing ,NEW YORK Truck and engine maker Navistar International Corp sweetened terms to lure investors to a $1 billion loan refinancing  soon after paying hefty premiums to place an asset-backed debt deal on the heels of a federal lawsuit filed against the company.,topStory
NAV,Navistar International Corporation,20150805,TRLPC: Navistar sweetens terms on $1B loan refinancing ,NEW YORK  Aug 5 Truck and engine maker Navistar International Corp sweetened terms to lure investors to a $1 billion loan refinancing  soon after paying hefty premiums to place an asset-backed debt deal on the heels of a federal lawsuit filed against the company.,normal
NKE,Nike Inc,20150805,UPDATE 1-Adidas buys fitness tracking app maker Runtastic ,* Recent Under Armour deals gave it 120 mln users   (Adds details  background),topStory
OKE,ONEOK Inc,20150805,Oneok on track to connect 700 wells in N. Dakota Williston shale-CEO ,Aug 5 U.S. natural gas company Oneok Inc's  chief executive officer said on Wednesday the company was on track to connect more than 700 wells in the Williston shale basin in North Dakota in 2015 and forecast connecting more than 600 next year.,topStory
PRGO,Perrigo Company,20150805,Perrigo CEO says no easy path for Mylan to acquire company ,Perrigo Co Plc  on Wednesday made a fresh case for rejecting a $34 billion offer from generic drugmaker Mylan NV  and said Mylan's recent share price plunge reinforces Perrigo's intention to remain independent.,topStory
PRGO,Perrigo Company,20150805,Perrigo CEO says no easy path for Mylan to acquire company ,Aug 5 Perrigo Co Plc on Wednesday made a fresh case for rejecting a $34 billion offer from generic drugmaker Mylan NV and said Mylan's recent share price plunge reinforces Perrigo's intention to remain independent.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150805,Petrobras profit seen down 19 percent on tax charge  oil price ,RIO DE JANEIRO Brazil's state-run oil company Petroleo Brasileiro SA  second-quarter profit fell by almost a fifth from a year earlier due to a tax settlement charge and a plunge in oil prices  according to a Reuters survey of analysts.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150805,Emerging market CDS volume down 29 pct in Q2 -EMTA survey ,NEW YORK  Aug 5 Emerging market credit default swaps trading volume fell 29 percent in the second quarter of 2015 versus the same period a year ago  according to a survey released on Wednesday.,normal
PFE,Pfizer Inc,20150805,EU mergers and takeovers (Aug 5) ,BRUSSELS  Aug 5 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
PIR,Pier 1 Imports Inc,20150805,CORRECTED-WRAPUP 2-Robust U.S. services sector keeps Fed rate hike in play ,WASHINGTON  Aug 5 U.S. private job growth slowed in July  but a surge in services industry activity to a near-decade high suggested solid economic momentum that strengthens the case for a Federal Reserve interest rate hike this year.,topStory
PAA,Plains All American Pipeline LP,20150805,Plains says California oil spill could be larger than estimated ,HOUSTON Plains All American Pipeline LP's ruptured California oil pipeline may have spilled 41 percent more crude than currently estimated  the company said on Wednesday.,topStory
PAA,Plains All American Pipeline LP,20150805,Plains says California oil spill could be larger than estimated ,HOUSTON  Aug 5 Plains All American Pipeline LP's  ruptured California oil pipeline may have spilled 41 percent more crude than currently estimated  the company said on Wednesday.,normal
RDC,Rowan Companies plc,20150805,New rigs help Rowan beat profit estimates ,Rowan Cos Plc  reported a higher-than-expected quarterly profit as the driller retained customers by deploying new ultra-deepwater rigs and lowering prices.,topStory
RDC,Rowan Companies plc,20150805,UPDATE 1-New rigs help Rowan beat profit estimates ,Aug 5 Rowan Cos Plc reported a higher-than-expected quarterly profit as the driller retained customers by deploying new ultra-deepwater rigs and lowering prices.,normal
