ALGT,Allegiant Travel Company,20150223,BRIEF-Philippines' Cebu Pacific to sell 6 Airbus A319 to budget carrier Allegiant Travel ,* Says to sell 6 Airbus A319 aircraft to budget airline operator Allegiant Travel Co   Source text for Eikon: (http://bit.ly/1weAaf3) Further company coverage:    (Reporting by Neil Jerome Morales),topStory
BTI,British American Tobacco plc,20150223,UPDATE 2-British American Tobacco mulls $3.5 bln buyout of Brazil unit stake ,LONDON/SAO PAULO  Feb 23 British American Tobacco Plc is considering a buyout of the 24.7 percent stake it does not already own in Souza Cruz SA  Brazil's largest cigarette company  in a deal that could cost about 2.3 billion pounds ($3.53 billion).,normal
BTI,British American Tobacco plc,20150223,British American says weighing offer for Souza Cruz shares ,LONDON  Feb 23 British American Tobacco  is considering a possible public tender offer for as many as all the shares in Brazilian tobacco company Souza Cruz it does not already own.,normal
BTI,British American Tobacco plc,20150223,BRIEF-British American Tobacco confirms possible offer for Souza Cruz ,* Evaluating possible public tender offer to buy up to all of 24.7 pct of Souza Cruz shares not currently owned by BAT and to delist company,normal
CNI,Canadian National Railway Company,20150223,RPT-UPDATE 3-Canada retailers  ports fear impact as CN Rail lockout nears ,TORONTO  Feb 23 A looming lockout at Canada's biggest railway threatens to delay imports from Asia and may compound a U.S. West Coast port logjam unless last-ditch contract talks succeed on Monday.,topStory
CNI,Canadian National Railway Company,20150223,CN Railway  union resume contract talks as lockout deadline nears ,TORONTO  Feb 23 Canadian National Railway Co  and the union representing 4 800 of its mechanical  clerical and trucking staff will resume contract talks on Monday  just hours before a deadline set by Canada's No. 1 railway to lock out the workers.,normal
CVX,Chevron Corporation,20150223,Shell shelves 200 000-bpd Pierre River oil sands mining project ,CALGARY  Alberta  Feb 23 Royal Dutch Shell Plc  said it was shelving plans to build a new oil sands mine in northern Alberta  the largest such project to be deferred as producers struggle with low energy prices.,normal
CIT,CIT Group Inc (DEL),20150223,Huntington Bancshares to buy Macquarie unit - sources ,Feb 23 Huntington Bancshares Inc has agreed to acquire Macquarie Group Ltd's equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,normal
CCV,Comcast Corporation,20150223,Comcast  Time Warner Cable hit with $20 billion racial bias lawsuit ,Comcast Corp and Time Warner Cable Inc have been sued for $20 billion for allegedly discriminating against African American-owned media and employing advocates such as the NAACP and the Rev. Al Sharpton to advance their bias.,topStory
CCV,Comcast Corporation,20150223,Comcast  Time Warner Cable hit with $20 bln racial bias lawsuit ,Comcast Corp and Time Warner Cable Inc  have been sued for $20 billion for allegedly discriminating against African American-owned media and employing advocates such as the NAACP and the Rev. Al Sharpton to advance their bias.,normal
CCV,Comcast Corporation,20150223,Comcast  Time Warner Cable hit with $20 bln racial bias lawsuit ,Feb 23 Comcast Corp and Time Warner Cable Inc have been sued for $20 billion for allegedly discriminating against African American-owned media and employing advocates such as the NAACP and the Rev. Al Sharpton to advance their bias.,normal
DRI,Darden Restaurants Inc,20150223,Darden interim CEO Eugene Lee to take over top job ,Darden Restaurants Inc  the parent of Olive Garden and LongHorn Steakhouse chains  said interim Chief Executive Eugene Lee would take over the job permanently  effective immediately.,topStory
DRI,Darden Restaurants Inc,20150223,UPDATE 1-Darden interim CEO Eugene Lee to take over top job ,Feb 23 Darden Restaurants Inc  the parent of Olive Garden and LongHorn Steakhouse chains  said interim Chief Executive Eugene Lee would take over the job permanently  effective immediately.,normal
DRI,Darden Restaurants Inc,20150223,Darden Restaurants names Eugene Lee as CEO ,Feb 23 Darden Restaurants Inc  the parent of Olive Garden and LongHorn Steakhouse chains  said interim Chief Executive Eugene Lee would take over the job permanently  effective immediately.,normal
DE,Deere & Company,20150223,Rent walkouts point to strains in U.S. farm economy ,CHICAGO Across the U.S. Midwest  the plunge in grain prices to near four-year lows is pitting landowners determined to sustain rental incomes against farmer tenants worried about making rent payments because their revenues are squeezed.,normal
DE,Deere & Company,20150223,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Feb 23  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                  ,normal
DE,Deere & Company,20150223,INSIGHT-Rent walkouts point to strains in U.S. farm economy ,CHICAGO  Feb 23 Across the U.S. Midwest  the plunge in grain prices to near four-year lows is pitting landowners determined to sustain rental incomes against farmer tenants worried about making rent payments because their revenues are squeezed.,normal
DAL,Delta Air Lines Inc,20150223,American and Delta not interested in Skymark Airlines tie-up ,American Airlines Group Inc and Delta Air Lines Inc have no plans to rescue Japan's bankrupt Skymark Airlines Inc  the two companies said separately on Monday following a media report on their alleged interest in the budget carrier.,topStory
DAL,Delta Air Lines Inc,20150223,UPDATE 1-American and Delta not interested in Skymark Airlines tie-up ,Feb 23 American Airlines Group Inc and Delta Air Lines Inc have no plans to rescue Japan's bankrupt Skymark Airlines Inc  the two companies said separately on Monday following a media report on their alleged interest in the budget carrier.,normal
XOM,Exxon Mobil Corporation,20150223,Exxon Mobil 2014 reserves up on oil sands  shale ,HOUSTON  Feb 23 Exxon Mobil Corp  the world's largest publicly traded oil company  said on Monday its crude oil and natural gas reserves rose slightly in 2014  lifted by U.S. shale and oil sands projects.,topStory
FCX,Freeport-McMoran Inc,20150223,Freeport CEO says unlikely to sell assets ,Freeport-McMoRan Inc  is unlikely to sell oil  gas and copper assets in the current market as buyers are unwilling to pay good prices for quality assets due to weak commodities prices  the company's chief executive said on Monday.,topStory
FCX,Freeport-McMoran Inc,20150223,UPDATE 1-Freeport CEO says unlikely to sell assets ,Feb 23 Freeport-McMoRan Inc is unlikely to sell oil  gas and copper assets in the current market as buyers are unwilling to pay good prices for quality assets due to weak commodities prices  the company's chief executive said on Monday.,normal
FCX,Freeport-McMoran Inc,20150223,Freeport CEO says unlikely to sell assets ,Feb 23 Freeport-McMoRan Inc is unlikely to sell oil  gas and copper assets in the current market as buyers are unwilling to pay good prices for quality assets due to weak commodities prices  the company's chief executive said on Monday.,normal
GPS,Gap Inc (The),20150223,Retail dilemma in India: nice malls are few and far between ,* Global retailers such as Gap  H&M planning big push into India,topStory
GEH,General Electric Capital Corporation,20150223,EU watchdog to examine GE's $14 bln Alstom deal more closely ,BRUSSELS General Electric's 12.4 billion euro ($14.1 billion) bid for Alstom's power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,topStory
GEH,General Electric Capital Corporation,20150223,EU watchdog to examine GE's $14 billion Alstom deal more closely ,BRUSSELS General Electric's  12.4 billion euro ($14.1 billion) bid for Alstom's  power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,normal
GEH,General Electric Capital Corporation,20150223,UPDATE 2-EU watchdog to examine GE's $14 bln Alstom deal more closely ,* GE says still aiming to close deal by mid-2015   (Adds GE  Alstom comments),normal
GEH,General Electric Capital Corporation,20150223,EU opens in-depth probe into 12.4-bln-euro GE  Alstom deal ,BRUSSELS  Feb 23 EU antitrust regulators launched an extensive investigation on Monday into General Electric's proposed takeover of Alstom's power equipment business  concerned that the 12.4-billion-euro ($14.06 billion) deal may reduce competition.,normal
GEH,General Electric Capital Corporation,20150223,EU mergers and takeovers (Feb 23) ,BRUSSELS  Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEK,General Electric Capital Corporation,20150223,EU watchdog to examine GE's $14 bln Alstom deal more closely ,BRUSSELS General Electric's 12.4 billion euro ($14.1 billion) bid for Alstom's power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,topStory
GEK,General Electric Capital Corporation,20150223,EU watchdog to examine GE's $14 billion Alstom deal more closely ,BRUSSELS General Electric's  12.4 billion euro ($14.1 billion) bid for Alstom's  power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,normal
GEK,General Electric Capital Corporation,20150223,UPDATE 2-EU watchdog to examine GE's $14 bln Alstom deal more closely ,* GE says still aiming to close deal by mid-2015   (Adds GE  Alstom comments),normal
GEK,General Electric Capital Corporation,20150223,EU opens in-depth probe into 12.4-bln-euro GE  Alstom deal ,BRUSSELS  Feb 23 EU antitrust regulators launched an extensive investigation on Monday into General Electric's proposed takeover of Alstom's power equipment business  concerned that the 12.4-billion-euro ($14.06 billion) deal may reduce competition.,normal
GEK,General Electric Capital Corporation,20150223,EU mergers and takeovers (Feb 23) ,BRUSSELS  Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GE,General Electric Company,20150223,EU watchdog to examine GE's $14 bln Alstom deal more closely ,BRUSSELS General Electric's 12.4 billion euro ($14.1 billion) bid for Alstom's power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,topStory
GE,General Electric Company,20150223,EU watchdog to examine GE's $14 billion Alstom deal more closely ,BRUSSELS General Electric's  12.4 billion euro ($14.1 billion) bid for Alstom's  power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,normal
GE,General Electric Company,20150223,UPDATE 2-EU watchdog to examine GE's $14 bln Alstom deal more closely ,* GE says still aiming to close deal by mid-2015   (Adds GE  Alstom comments),normal
GE,General Electric Company,20150223,EU opens in-depth probe into 12.4-bln-euro GE  Alstom deal ,BRUSSELS  Feb 23 EU antitrust regulators launched an extensive investigation on Monday into General Electric's proposed takeover of Alstom's power equipment business  concerned that the 12.4-billion-euro ($14.06 billion) deal may reduce competition.,normal
GE,General Electric Company,20150223,EU mergers and takeovers (Feb 23) ,BRUSSELS  Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEB,General Electric Company,20150223,EU watchdog to examine GE's $14 bln Alstom deal more closely ,BRUSSELS General Electric's 12.4 billion euro ($14.1 billion) bid for Alstom's power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,topStory
GEB,General Electric Company,20150223,EU watchdog to examine GE's $14 billion Alstom deal more closely ,BRUSSELS General Electric's  12.4 billion euro ($14.1 billion) bid for Alstom's  power equipment business could lead to price rises  EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal  increasing pressure on the U.S. conglomerate to offer concessions.,normal
GEB,General Electric Company,20150223,UPDATE 2-EU watchdog to examine GE's $14 bln Alstom deal more closely ,* GE says still aiming to close deal by mid-2015   (Adds GE  Alstom comments),normal
GEB,General Electric Company,20150223,EU opens in-depth probe into 12.4-bln-euro GE  Alstom deal ,BRUSSELS  Feb 23 EU antitrust regulators launched an extensive investigation on Monday into General Electric's proposed takeover of Alstom's power equipment business  concerned that the 12.4-billion-euro ($14.06 billion) deal may reduce competition.,normal
GEB,General Electric Company,20150223,EU mergers and takeovers (Feb 23) ,BRUSSELS  Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GM,General Motors Company,20150223,GM gets 33 more claims for faulty ignition switch compensation ,General Motors Co  received another 33 claims for compensation for ignition switch defects in its cars in the past week  bringing the total to 4 345  according to the administrator of the company's compensation program.,topStory
GM,General Motors Company,20150223,GM gets 33 more claims for faulty ignition switch compensation ,General Motors Co received another 33 claims for compensation for ignition switch defects in its cars in the past week  bringing the total to 4 345  according to the administrator of the company's compensation program.,normal
GSK,GlaxoSmithKline PLC,20150223,Novartis AG wins approval to buy GSK cancer drugs  with conditions ,WASHINGTON Novartis AG has won U.S. antitrust approval to buy GlaxoSmithKline’s oncology drugs  with conditions  the U.S. Federal Trade Commission said on Monday.,topStory
GSK,GlaxoSmithKline PLC,20150223,UPDATE 1-Novartis AG wins approval to buy GSK cancer drugs  with conditions ,WASHINGTON  Feb 23 Novartis AG has won U.S. antitrust approval to buy GlaxoSmithKline's  oncology drugs  with conditions  the U.S. Federal Trade Commission said on Monday.,normal
GSK,GlaxoSmithKline PLC,20150223,Canada competition bureau approves GlaxoSmithKline/Novartis deal ,OTTAWA Canada's Competition Bureau on Monday approved a deal between GlaxoSmithKline PLC  and Novartis AG   noting in a statement that U.S. authorities had already said the transaction could go ahead.,normal
GSK,GlaxoSmithKline PLC,20150223,Canada competition bureau approves GlaxoSmithKline/Novartis deal ,OTTAWA  Feb 23 Canada's Competition Bureau on Monday approved a deal between GlaxoSmithKline PLC and Novartis AG  noting in a statement that U.S. authorities had already said the transaction could go ahead.,normal
GSK,GlaxoSmithKline PLC,20150223,CORRECTED-Novartis AG wins approval to buy GSK cancer drugs with conditions ,WASHINGTON  Feb 23 Novartis AG has won U.S. antitrust approval to buy GlaxoSmithKline's  oncology drugs with conditions  the Federal Trade Commission said on Monday.,normal
GS,Goldman Sachs Group Inc (The),20150223,Goldman warns of federal lawsuit risk over mortgage bond sales ,Goldman Sachs Group Inc said it could face a federal civil lawsuit after a government probe concluded that the bank had violated laws related to sale of residential mortgage-backed securities before the financial crisis.,topStory
GS,Goldman Sachs Group Inc (The),20150223,Goldman warns of federal lawsuit risk over mortgage bond sales ,Goldman Sachs Group Inc  said it could face a federal civil lawsuit after a government probe concluded that the bank had violated laws related to sale of residential mortgage-backed securities before the financial crisis.,normal
GS,Goldman Sachs Group Inc (The),20150223,UPDATE 2-Goldman warns of federal lawsuit risk over mortgage bond sales ,Feb 23 Goldman Sachs Group Inc said it could face a federal civil lawsuit after a government probe concluded that the bank had violated laws related to sale of residential mortgage-backed securities before the financial crisis.,normal
GS,Goldman Sachs Group Inc (The),20150223,Goldman raises top end of legal loss estimate ,Feb 23 Goldman Sachs Group Inc has raised the top end of its estimate of "reasonably possible" legal losses to about $3 billion from $2.5 billion.,normal
GHL,Greenhill & Co Inc,20150223,MOVES-Saudi Fransi  JPMorgan  Cantor Fitzgerald  Standard Life ,Feb 23 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
GHL,Greenhill & Co Inc,20150223,MOVES-Greenhill names Jon Gidney as vice chairman ,Feb 23 New York-based investment bank Greenhill & Co Inc named JPMorgan Chase & Co executive Jon Gidney as vice-chairman and managing director.,normal
HMC,Honda Motor Company Ltd,20150223,Honda CEO to step down  replaced by low-profile engineer ,TOKYO Honda Motor Co  on Monday named an experienced  yet little known  engineer as its new chief executive  who will take over in late-June with the Japanese automaker battling the fallout from a slew of recalls that have shaken its reputation for quality.,topStory
HMC,Honda Motor Company Ltd,20150223,UPDATE 3-Honda CEO to step down  replaced by low-profile engineer ,* Ito pushed reforms to Honda's supply chain   (Adds comments from news conference),normal
HMC,Honda Motor Company Ltd,20150223,Fitch Peringkat Obligasi Senior FIF â€˜AAA(idn)â€™ ,(The following statement was released by the rating agency) JAKARTA  February 23 (Fitch) PT Fitch Ratings Indonesia telah memberikan  peringkat Nasional Jangka Panjang â€˜AAA(idn)â€™ dan peringkat Nasional Jangka  Pendek â€˜F1+(idn)â€™ untuk program obligasi senior PT Federal International  Financeâ€™s (FIF; AAA(idn)/Stable) sebesar maksimum 10 trilyun Rupiah. Fitch juga  telah memberikan peringkat untuk obligasi senior yang akan diterbitkan sebagai  berikut:  - Peringkat Nasional Jangka Panjang,normal
HMC,Honda Motor Company Ltd,20150223,Honda  in unexpected move  says CEO Ito to step down ,TOKYO  Feb 23 Honda Motor Co  in an unexpected move  said on Monday that Chief Executive Officer Takanobu Ito would step down in late June  making way for Managing Officer Takahiro Hachigo after six years in the top post.,normal
HSBC,HSBC Holdings plc,20150223,HSBC says Swiss scandal has brought 'shame' on bank ,LONDON HSBC  reported a 17 percent fall in annual pretax profit and cut its profitability target  saying allegations its Swiss business had helped customers to dodge taxes had brought shame on the bank. | Video ,topStory
HSBC,HSBC Holdings plc,20150223,HSBC "problem" spots Brazil  Mexico  U.S. and Turkey have 1-2 yrs to prove worth- CEO ,LONDON  Feb 23 HSBC has given its four problem businesses in Brazil  Mexico  Turkey and the United States as little as one year to prove their worth before "more extreme" turnaround solutions are proposed  its CEO said on Monday.,normal
HSBC,HSBC Holdings plc,20150223,HSBC's Greek exposure dips to $6 bln as foreign banks retreat ,LONDON  Feb 23 HSBC's exposure to Greece totalled some $6 billion at the end of 2014  the British bank said on Monday  making it one of the most exposed foreign banks to the debt-laden nation  despite cutting loans there last year.,normal
HSBC,HSBC Holdings plc,20150223,Fall in HSBC pegs back UK's FTSE ,LONDON  Feb 23 A drop in the shares of banking group HSBC held back Britain's top equity index on Monday  although many traders still expected the UK stock market to reach record highs soon.,normal
HSBC,HSBC Holdings plc,20150223,UK's FTSE falters as HSBC hits lows ,LONDON  Feb 23 Britain's top equity index fell from 15-year highs on Monday as a drop in the shares of banking group HSBC weighed on the market.,normal
HSBC,HSBC Holdings plc,20150223,UPDATE 3-HSBC says Swiss scandal has brought "shame" on bank ,* "We're still on journey to simplify" - CEO   (Adds more comments from CEO and analyst  updates shares),normal
HSBC,HSBC Holdings plc,20150223,HSBC may face extra $1 billion in FX fines  U.S. compensation costs ,LONDON HSBC Holdings Plc has set aside $550 million more to cover potential fines for alleged manipulation of foreign exchange markets and warned it could face a $500 million bill to compensate U.S. customers sold debt protection products.,normal
HSBC,HSBC Holdings plc,20150223,HSBC may face extra $1 bln in FX fines  U.S. compensation costs ,LONDON  Feb 23 HSBC Holdings Plc has set aside $550 million more to cover potential fines for alleged manipulation of foreign exchange markets and warned it could face a $500 million bill to compensate U.S. customers sold debt protection products.,normal
HSBC,HSBC Holdings plc,20150223,BRIEF-HSBC CEO says Swiss bank's failings are source of shame ,* Hsbc ceo gulliver says global banking & markets business has had satisfactory start to year,normal
HSBC,HSBC Holdings plc,20150223,BRIEF-HSBC CEO says has repaid 1.75 mln stg in past bonuses ,* Ceo says will continue to work on simplifying firm  doesn't rule out more disposals,normal
HSEA,HSBC Holdings plc,20150223,HSBC says Swiss scandal has brought 'shame' on bank ,LONDON HSBC  reported a 17 percent fall in annual pretax profit and cut its profitability target  saying allegations its Swiss business had helped customers to dodge taxes had brought shame on the bank. | Video ,topStory
HSEA,HSBC Holdings plc,20150223,HSBC "problem" spots Brazil  Mexico  U.S. and Turkey have 1-2 yrs to prove worth- CEO ,LONDON  Feb 23 HSBC has given its four problem businesses in Brazil  Mexico  Turkey and the United States as little as one year to prove their worth before "more extreme" turnaround solutions are proposed  its CEO said on Monday.,normal
HSEA,HSBC Holdings plc,20150223,HSBC's Greek exposure dips to $6 bln as foreign banks retreat ,LONDON  Feb 23 HSBC's exposure to Greece totalled some $6 billion at the end of 2014  the British bank said on Monday  making it one of the most exposed foreign banks to the debt-laden nation  despite cutting loans there last year.,normal
HSEA,HSBC Holdings plc,20150223,Fall in HSBC pegs back UK's FTSE ,LONDON  Feb 23 A drop in the shares of banking group HSBC held back Britain's top equity index on Monday  although many traders still expected the UK stock market to reach record highs soon.,normal
HSEA,HSBC Holdings plc,20150223,UK's FTSE falters as HSBC hits lows ,LONDON  Feb 23 Britain's top equity index fell from 15-year highs on Monday as a drop in the shares of banking group HSBC weighed on the market.,normal
HSEA,HSBC Holdings plc,20150223,UPDATE 3-HSBC says Swiss scandal has brought "shame" on bank ,* "We're still on journey to simplify" - CEO   (Adds more comments from CEO and analyst  updates shares),normal
HSEA,HSBC Holdings plc,20150223,HSBC may face extra $1 billion in FX fines  U.S. compensation costs ,LONDON HSBC Holdings Plc has set aside $550 million more to cover potential fines for alleged manipulation of foreign exchange markets and warned it could face a $500 million bill to compensate U.S. customers sold debt protection products.,normal
HSEA,HSBC Holdings plc,20150223,HSBC may face extra $1 bln in FX fines  U.S. compensation costs ,LONDON  Feb 23 HSBC Holdings Plc has set aside $550 million more to cover potential fines for alleged manipulation of foreign exchange markets and warned it could face a $500 million bill to compensate U.S. customers sold debt protection products.,normal
HSEA,HSBC Holdings plc,20150223,BRIEF-HSBC CEO says Swiss bank's failings are source of shame ,* Hsbc ceo gulliver says global banking & markets business has had satisfactory start to year,normal
HSEA,HSBC Holdings plc,20150223,BRIEF-HSBC CEO says has repaid 1.75 mln stg in past bonuses ,* Ceo says will continue to work on simplifying firm  doesn't rule out more disposals,normal
HSEB,HSBC Holdings plc,20150223,HSBC says Swiss scandal has brought 'shame' on bank ,LONDON HSBC  reported a 17 percent fall in annual pretax profit and cut its profitability target  saying allegations its Swiss business had helped customers to dodge taxes had brought shame on the bank. | Video ,topStory
HSEB,HSBC Holdings plc,20150223,HSBC "problem" spots Brazil  Mexico  U.S. and Turkey have 1-2 yrs to prove worth- CEO ,LONDON  Feb 23 HSBC has given its four problem businesses in Brazil  Mexico  Turkey and the United States as little as one year to prove their worth before "more extreme" turnaround solutions are proposed  its CEO said on Monday.,normal
HSEB,HSBC Holdings plc,20150223,HSBC's Greek exposure dips to $6 bln as foreign banks retreat ,LONDON  Feb 23 HSBC's exposure to Greece totalled some $6 billion at the end of 2014  the British bank said on Monday  making it one of the most exposed foreign banks to the debt-laden nation  despite cutting loans there last year.,normal
HSEB,HSBC Holdings plc,20150223,Fall in HSBC pegs back UK's FTSE ,LONDON  Feb 23 A drop in the shares of banking group HSBC held back Britain's top equity index on Monday  although many traders still expected the UK stock market to reach record highs soon.,normal
HSEB,HSBC Holdings plc,20150223,UK's FTSE falters as HSBC hits lows ,LONDON  Feb 23 Britain's top equity index fell from 15-year highs on Monday as a drop in the shares of banking group HSBC weighed on the market.,normal
HSEB,HSBC Holdings plc,20150223,UPDATE 3-HSBC says Swiss scandal has brought "shame" on bank ,* "We're still on journey to simplify" - CEO   (Adds more comments from CEO and analyst  updates shares),normal
HSEB,HSBC Holdings plc,20150223,HSBC may face extra $1 billion in FX fines  U.S. compensation costs ,LONDON HSBC Holdings Plc has set aside $550 million more to cover potential fines for alleged manipulation of foreign exchange markets and warned it could face a $500 million bill to compensate U.S. customers sold debt protection products.,normal
HSEB,HSBC Holdings plc,20150223,HSBC may face extra $1 bln in FX fines  U.S. compensation costs ,LONDON  Feb 23 HSBC Holdings Plc has set aside $550 million more to cover potential fines for alleged manipulation of foreign exchange markets and warned it could face a $500 million bill to compensate U.S. customers sold debt protection products.,normal
HSEB,HSBC Holdings plc,20150223,BRIEF-HSBC CEO says Swiss bank's failings are source of shame ,* Hsbc ceo gulliver says global banking & markets business has had satisfactory start to year,normal
HSEB,HSBC Holdings plc,20150223,BRIEF-HSBC CEO says has repaid 1.75 mln stg in past bonuses ,* Ceo says will continue to work on simplifying firm  doesn't rule out more disposals,normal
ITUB,Itau Unibanco Banco Holding SA,20150223,Brazil's Itaú Unibanco takes first steps in CEO succession plan ,SAO PAULO  Feb 23 Itaú Unibanco Holding SA  took a key step toward the succession of Chief Executive Officer Roberto Setubal on Monday  by appointing two executives to head the retail and wholesale banking units of Brazil's No. 1 bank by market value.,topStory
JPM,J P Morgan Chase & Co,20150223,Greek bank deposit outflows rose to 3 billion euros last week: JP Morgan ,LONDON Deposit outflows from Greece's banks rose last week to around 3 billion euros  according to JP Morgan estimates  ahead of Friday's last-minute aid extension agreement with the country's euro zone creditors.,topStory
JPM,J P Morgan Chase & Co,20150223,UPDATE 2-Goldman warns of federal lawsuit risk over mortgage bond sales ,Feb 23 Goldman Sachs Group Inc said it could face a federal civil lawsuit after a government probe concluded that the bank had violated laws related to sale of residential mortgage-backed securities before the financial crisis.,normal
JPM,J P Morgan Chase & Co,20150223,Greek bank deposit outflows rose to 3 bln euros last week-JP Morgan ,LONDON  Feb 23 Deposit outflows from Greece's banks rose last week to around 3 billion euros  according to JP Morgan estimates  ahead of Friday's last-minute aid extension agreement with the country's euro zone creditors.,normal
KMB,Kimberly-Clark Corporation,20150223,UPDATE 1-Kimberly-Clark to transfer pension obligations to insurers ,Feb 23 Kimberly-Clark Corp is transferring responsibility for payment of U.S. pensions to two insurers  a move it said would cut its projected benefit obligation by about $2.5 billion but result in a charge of $800 million in the second quarter.,topStory
KMB,Kimberly-Clark Corporation,20150223,Kimberly-Clark transfers U.S. pension benefit payments to insurers ,Feb 23 Kimberly-Clark Corp said it is transferring responsibility for payment of pension benefits for its U.S. retirees to two insurers  reducing its projected benefit obligation by about $2.5 billion.,normal
LYG,Lloyds Banking Group Plc,20150223,UPDATE 2-UK raises $769 million through sale of Lloyds shares ,* Sale a step towards full return to private ownership   (Adds details on method of sale  future sale prospects),topStory
LYG,Lloyds Banking Group Plc,20150223,RPT-Lloyds' expected dividend paves way for government shares sale ,* Lloyds set to announce first dividend since financial crisis,normal
MGA,Magna International Inc,20150223,S.Korea's Samsung SDI to buy Magna's car battery pack business ,SEOUL  Feb 23 South Korea's Samsung SDI Co  said on Monday that it has agreed to buy the battery pack business of Canadian car parts maker Magna International   marking a further push by the Samsung Electronics  affiliate into a key automotive parts business.,topStory
MRO,Marathon Oil Corporation,20150223,Shell shelves 200 000-bpd Pierre River oil sands mining project ,CALGARY  Alberta  Feb 23 Royal Dutch Shell Plc  said it was shelving plans to build a new oil sands mine in northern Alberta  the largest such project to be deferred as producers struggle with low energy prices.,normal
MON,Monsanto Company,20150223,U.S. farmers turn to equipment leases to cope with profit slump ,CHICAGO  Feb 23 U.S. farmers nervous that slumping grain prices will crimp profits are increasingly leasing equipment instead of buying it  creating new risks for manufacturers like Deere & Co that could suffer from declining values for leased machinery.,normal
MS,Morgan Stanley,20150223,ON THE MOVE-Dynasty adds 2 Morgan Stanley brokers in St. Louis ,NEW YORK  Feb 23 Dynasty Financial Partners  the high-end service provider started by former Smith Barney brokers that supports around 30 independent financial adviser firms  said that two St. Louis-based financial advisers left Morgan Stanley to join their platform on Monday.,topStory
NSM,Nationstar Mortgage Holdings Inc,20150223,Ocwen to sell $9.8 billion in mortgage service rights to Nationstar ,Mortgage servicer Ocwen Financial Corp  said it would sell a portfolio of residential mortgage servicing rights worth $9.8 billion to Nationstar Mortgage Holdings Inc .,topStory
NSM,Nationstar Mortgage Holdings Inc,20150223,UPDATE 1-Ocwen to sell $9.8 bln in mortgage service rights to Nationstar ,Feb 23 Mortgage servicer Ocwen Financial Corp  said it would sell a portfolio of residential mortgage servicing rights worth $9.8 billion to Nationstar Mortgage Holdings Inc.,normal
NSM,Nationstar Mortgage Holdings Inc,20150223,Ocwen to sell $9.8 bln in mortgage service rights to Nationstar ,Feb 23 Mortgage servicer Ocwen Financial Corp  said it would sell a portfolio of residential mortgage servicing rights worth $9.8 billion to Nationstar Mortgage Holdings Inc.,normal
NVO,Novo Nordisk A/S,20150223,Novo Nordisk to raise up to $335 million from IT subsidiary's IPO ,COPENHAGEN Danish drugmaker Novo Nordisk  expects to raise between 1.7 billion and 2.2 billion Danish crowns ($259-335 million) from a stock market listing for NNIT [IPO-NNIT.CO]  its information technology services subsidiary.,topStory
NVO,Novo Nordisk A/S,20150223,UPDATE 2-Novo Nordisk to raise up to $335 mln from IT subsidiary's IPO ,COPENHAGEN  Feb 23 Danish drugmaker Novo Nordisk  expects to raise between 1.7 billion and 2.2 billion Danish crowns ($259-335 million) from a stock market listing for NNIT  its information technology services subsidiary.,normal
OCN,Ocwen Financial Corporation,20150223,Ocwen to sell $9.8 billion in mortgage service rights to Nationstar ,Mortgage servicer Ocwen Financial Corp  said it would sell a portfolio of residential mortgage servicing rights worth $9.8 billion to Nationstar Mortgage Holdings Inc .,topStory
OCN,Ocwen Financial Corporation,20150223,UPDATE 1-Ocwen to sell $9.8 bln in mortgage service rights to Nationstar ,Feb 23 Mortgage servicer Ocwen Financial Corp  said it would sell a portfolio of residential mortgage servicing rights worth $9.8 billion to Nationstar Mortgage Holdings Inc.,normal
