AMGN,Amgen Inc,20151013,Merck cholesterol drug's odds dim after Lilly failure ,Oct 12 The odds that Merck & Co's  high-stakes cholesterol drug will succeed have dropped dramatically after Eli Lilly and Co said its similar medicine failed to reduce heart attacks and strokes  top U.S. heart doctors said.,normal
IBM,International Business Machines Corporation,20151013,UAE's Etihad Airways signs $700 million IT deal with IBM ,ABU DHABI Abu Dhabi's Etihad Airways has signed a 10-year $700 million deal with IBM for a range of information technology services and infrastructure  the companies said on Tuesday.,topStory
IBM,International Business Machines Corporation,20151013,UAE's Etihad Airways signs $700 mln IT deal with IBM ,ABU DHABI  Oct 13 Abu Dhabi's Etihad Airways has signed a 10-year $700 million deal with IBM for a range of information technology services and infrastructure  the companies said on Tuesday.,normal
JPM,J P Morgan Chase & Co,20151013,Weak trading hits JPMorgan  profit falls in three core businesses ,JPMorgan Chase & Co   the biggest U.S. bank by assets  reported a 6.4 percent decline in revenue and profit declines in three of its four main businesses  underscoring how weak trading markets and low interest rates have hurt banks in recent months. | Video ,topStory
JPM,J P Morgan Chase & Co,20151013,UPDATE 4-Weak trading hits JPMorgan  profit falls in three core businesses ,* Shares little changed in extended trading   (Adds details  updates shares),normal
JPM,J P Morgan Chase & Co,20151013,JPMorgan quarterly profit jumps 22.3 pct ,Oct 13 JPMorgan Chase & Co  the biggest U.S. bank by assets  reported a 22.3 percent rise in quarterly profit as lower costs and a smaller provision for credit losses made up for weaker trading revenue.,normal
JPM,J P Morgan Chase & Co,20151013,JPMorgan goes on a diet to appease regulators ,NEW YORK JPMorgan Chase & Co   which has grown by more than 50 percent since the start of the financial crisis  is going on a diet.,normal
JPM,J P Morgan Chase & Co,20151013,JPMorgan goes on a diet to appease regulators ,NEW YORK  Oct 13 JPMorgan Chase & Co  which has grown by more than 50 percent since the start of the financial crisis  is going on a diet.,normal
JPM,J P Morgan Chase & Co,20151013,UPDATE 5-Barclays set to name former JPMorgan banker Staley as new CEO ,* Shares dip 2.6 pct in weak banking sector   (Adds statement from Barclays  updates shares),normal
JNJ,Johnson & Johnson,20151013,J&J third-quarter sales miss mark  hurt by strong dollar ,Johnson & Johnson  reported third-quarter sales well below Wall Street estimates  hurt by the stronger dollar and disappointing demand for its Remicade arthritis drug and its Xarelto blood clot preventer. | Video ,topStory
JNJ,Johnson & Johnson,20151013,J&J says its diabetes drug should have same survival edge as Lilly's ,Johnson & Johnson  said the proven ability of Eli Lilly and Co's  rival Jardiance diabetes drug to save lives in a large clinical trial is a benefit that will likely be seen in the entire class of drugs  including J&J's own approved Invokana treatment.,normal
JNJ,Johnson & Johnson,20151013,J&J says Jardiance survival benefit likely to be seen by Invokana ,Oct 13 Johnson & Johnson said on Tuesday that the ability of Eli Lilly and Co's rival Jardiance diabetes drug to save lives in a large clinical trial is likely to benefit the entire class of drugs  including J&J's own approved Invokana treatment.,normal
JNJ,Johnson & Johnson,20151013,UPDATE 3-J&J 3rd-quarter sales miss mark  hurt by strong dollar ,* Share buyback of up to $10 bln   (Adds analyst comment  product sales data   updates stock price),normal
JNJ,Johnson & Johnson,20151013,Strong dollar eats into J&J quarterly sales ,Oct 13 Johnson & Johnson reported a 7.4 percent fall in quarterly sales as the impact of a strong dollar more than offset higher sales of its mainstay older drugs.,normal
JNJ,Johnson & Johnson,20151013,Johnson & Johnson plans to buy back shares up to $10 billion ,Drugmaker Johnson & Johnson  said it plans to buy back up to $10 billion of common stock over time.,normal
JNJ,Johnson & Johnson,20151013,Johnson & Johnson to buy back shares up to $10 bln ,Oct 13 Drugmaker Johnson & Johnson said it would buy back up to $10 billion of common stock over time.,normal
KKR,KKR & Co LP,20151013,Exclusive: Neiman Marcus delays IPO amid stock market volatility ,Neiman Marcus Group Inc  the U.S. luxury specialty department store chain that registered with regulators in August for an initial public offering  has pushed back its stock market flotation to 2016  according to people familiar with the matter.,normal
LMT,Lockheed Martin Corporation,20151013,Sikorsky takeover will not affect helicopter program: U.S. Army ,WASHINGTON The pending takeover of United Technologies Corp’s Sikorsky Aircraft by Lockheed Martin Corp will not affect prototype work on an aircraft that will replace thousands of helicopters  U.S. Army acquisitions chief Heidi Shyu said on Tuesday.,topStory
LMT,Lockheed Martin Corporation,20151013,Sikorsky takeover will not affect helicopter program -U.S. Army ,WASHINGTON  Oct 13 The pending takeover of United Technologies Corp's Sikorsky Aircraft by Lockheed Martin Corp will not affect prototype work on an aircraft that will replace thousands of helicopters  U.S. Army acquisitions chief Heidi Shyu said on Tuesday.,normal
TAP,Molson Coors Brewing  Company,20151013,Mega beer deal offers Molson Coors a bigger swig of U.S. market ,NEW YORK A deal between the world's two biggest brewers gives smaller rival Molson Coors Brewing Co a rare chance to bulk up in the United States  provided it can come up with the cash  according to industry bankers and analysts.,topStory
TAP,Molson Coors Brewing  Company,20151013,Mega beer deal offers Molson Coors a bigger swig of U.S. market ,NEW YORK A deal between the world's two biggest brewers gives smaller rival Molson Coors Brewing Co  a rare chance to bulk up in the United States  provided it can come up with the cash  according to industry bankers and analysts.,normal
TAP,Molson Coors Brewing  Company,20151013,Mega beer deal offers Molson Coors a bigger swig of U.S. market ,NEW YORK  Oct 13 A deal between the world's two biggest brewers gives smaller rival Molson Coors Brewing Co  a rare chance to bulk up in the United States  provided it can come up with the cash  according to industry bankers and analysts.,normal
NYT,New York Times Company (The),20151013,New York Times offers daily digital access with newsstand copies ,The New York Times Co said it will offer unlimited access to its website and mobile app for a day to anyone who buys a paper from a newsstand starting Tuesday.,topStory
NYT,New York Times Company (The),20151013,New York Times offers daily digital access with newsstand copies ,Oct 13 The New York Times Co said it will offer unlimited access to its website and mobile app for a day to anyone who buys a paper from a newsstand starting Tuesday.,normal
NOK,Nokia Corporation,20151013,BRIEF-Nokia wins order from China Mobile ,* says Nokia Networks signs major TD-LTE-advanced deal with China Mobile  reinforces position as largest non-chinese vendor,topStory
PRGO,Perrigo Company,20151013,Irish takeover panel rejects Perrigo's request over Mylan offer ,The Irish Takeover Panel said on Tuesday that it had rejected generic drugmaker Perrigo Company Plc's request to declare Mylan NV's unsolicited tender offer lapsed.,topStory
PRGO,Perrigo Company,20151013,UPDATE 1-Irish takeover panel rejects Perrigo's request over Mylan offer ,(Adds details  background)     Oct 13 The Irish Takeover Panel said on Tuesday that it had rejected generic drugmaker Perrigo Company Plc's  request to declare Mylan NV's unsolicited tender offer lapsed.     The offer from Mylan remains "lawful and valid and fully capable of acceptance" by all Perrigo shareholders including Israeli ones  the takeover panel said.      Netherlands-based Mylan has offered $75 in cash and 2.3 Mylan shares for each Perrigo share  a combination now wort,normal
PRGO,Perrigo Company,20151013,Irish takeover panel rejects Perrigo's request over Mylan offer ,Oct 13 The Irish Takeover Panel said on Tuesday that it had rejected Perrigo Company Plc's request to declare Mylan NV's unsolicited tender offer lapsed.,normal
PRGO,Perrigo Company,20151013,BRIEF-Irish Takeover Panel rejects Perrigo application to declare Mylan offer lapsed ,* Perrigo recently made an application to Panel requesting Panel to declare Mylan's offer of Sept. 14  2015 lapsed,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151013,Brazil's Petrobras to sign $2 bln leasing contract with China's ICBC ,BRASILIA  Oct 13 Brazil's state-run oil firm Petroleo Brasileiro SA will raise $2 billion through a 10-year leasing contract with China's Industrial and Commercial Bank of China Leasing  the Brazilian company said in a statement on Tuesday.,topStory
PFE,Pfizer Inc,20151013,Exclusive: India battles big pharma over cough syrup abuse  reducing supplies ,NEW DELHI Indian regulators are privately pressuring major drug firms to better police how they sell popular codeine-based cough syrups to tackle smuggling and addiction  a move that is reducing supplies of a medicine doctors say is an effective treatment.,normal
PIR,Pier 1 Imports Inc,20151013,UPDATE 1-China copper imports surge a third in September ,* Imports up 31.4 pct at 460 000 tonnes vs 350 000 tonnes in Aug,topStory
SNY,Sanofi,20151013,Merck cholesterol drug's odds dim after Lilly failure ,Oct 12 The odds that Merck & Co's  high-stakes cholesterol drug will succeed have dropped dramatically after Eli Lilly and Co said its similar medicine failed to reduce heart attacks and strokes  top U.S. heart doctors said.,normal
SAP,SAP SE,20151013,License sales help SAP operating profit to beat forecasts ,FRANKFURT Europe's biggest software maker SAP  reported a 19 percent rise in third-quarter operating profit on Tuesday  surprising markets by bringing forward its forecast-beating results by a week.,topStory
SAP,SAP SE,20151013,UPDATE 2-Licence sales help SAP operating profit to beat forecasts ,* Still sees 2015 operating profit of 5.6-5.9 bln euros   (Rewrites  adds shares  analyst comment  detail),normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151013,BRIEF-TSMC orders machinery equipment worth T$1.05 billion ,* Says orders machinery equipment worth T$1.05 billion  ($32.40 million) from Applied Materials South East Asia Pte. Ltd. and Brillian Network & Automation Integrated System Co.  Ltd,topStory
TM,Toyota Motor Corp Ltd Ord,20151013,UPDATE 1-Toyota improves Prius fuel efficiency in bid to boost sales ,* Analyst: Toyota hybrid could benefit from Volkswagen scandal,topStory
TM,Toyota Motor Corp Ltd Ord,20151013,Toyota: new Prius to get mileage of 40 km per liter in Japan versus 32.6 km per liter now ,TOKYO Toyota Motor Corp  said on Tuesday the fourth-generation Prius hybrid model would have listed mileage of 40 km per liter (94 mpg) in Japan  improving fuel economy by more than a fifth from the current version's 32.6 km/l.,normal
TM,Toyota Motor Corp Ltd Ord,20151013,Toyota: new Prius to get mileage of 40 km/l in Japan vs 32.6 km/l now ,TOKYO  Oct 13 Toyota Motor Corp said on Tuesday the fourth-generation Prius hybrid model would have listed mileage of 40 km per litre (94 mpg) in Japan  improving fuel economy by more than a fifth from the current version's 32.6 km/l.,normal
TWTR,Twitter Inc,20151013,Twitter announces layoffs as CEO Dorsey looks to revive growth ,Twitter Inc  will lay off up to 336 employees  or about 8 percent of its workforce  as co-founder Jack Dorsey readies to revive growth in the microblogging service provider's user base in his second stint as chief executive.,topStory
TWTR,Twitter Inc,20151013,US STOCKS-Wall St slips as China concerns weigh ,* Indexes down: Dow 0.17 pct  S&P 0.35 pct  Nasdaq 0.33 pct   (Updates prices),normal
TWTR,Twitter Inc,20151013,UPDATE 4-Twitter announces layoffs as CEO Dorsey looks to revive growth ,* Shares rise as much as 6.7 pct   (Adds analyst comment  links to graphics; updates shares),normal
TWTR,Twitter Inc,20151013,US STOCKS-Wall St recovers but China concerns weigh ,* Indexes up: Dow 0.13 pct  S&P 0.14 pct  Nasdaq 0.27 pct   (Changes comment  updates prices),normal
TWTR,Twitter Inc,20151013,Twitter suspends two sports accounts after video sharing complaints: NYT ,Twitter Inc suspended two high-profile accounts that posts highlights while games are on  after major U.S. sports leagues protested  the New York Times reported on Tuesday.,normal
TWTR,Twitter Inc,20151013,Twitter suspends two sports accounts after video sharing complaints-NYT ,Oct 13 Twitter Inc suspended two high-profile accounts that posts highlights while games are on  after major U.S. sports leagues protested  the New York Times reported on Tuesday.,normal
TWTR,Twitter Inc,20151013,US STOCKS-Wall St slips on weak China trade data ,* Indexes down: Dow 0.45 pct  S&P 0.48 pct  Nasdaq 0.57 pct   (Updates to open),normal
TWTR,Twitter Inc,20151013,US STOCKS-Wall St set to open lower on weak China trade data ,* Futures down: Dow 81 pts  S&P 9.5 pts  Nasdaq 25.5 pts   (Adds details  comment  updates prices),normal
UTX,United Technologies Corporation,20151013,Sikorsky takeover will not affect helicopter program -U.S. Army ,WASHINGTON  Oct 13 The pending takeover of United Technologies Corp's Sikorsky Aircraft by Lockheed Martin Corp will not affect prototype work on an aircraft that will replace thousands of helicopters  U.S. Army acquisitions chief Heidi Shyu said on Tuesday.,normal
WMT,Wal-Mart Stores Inc,20151013,Asda names Sainsbury's retail director Roger Burnley as COO ,LONDON  Oct 13 Supermarket Asda  the British arm of Wal-Mart  said on Tuesday it had appointed Roger Burnley  currently the retail and operations director of rival Sainsbury's  to be its new chief operating officer.,topStory
WFC,Wells Fargo & Company,20151013,GE to sell $30 billion specialty finance business to Wells Fargo ,General Electric Co  took a big step on Tuesday in its plan to unload most of its financing operations  saying it has agreed to sell commercial lending and leasing businesses worth more than $30 billion to Wells Fargo & Co .,topStory
WFC,Wells Fargo & Company,20151013,MOVES-Wells Fargo affiliate hires two advisers from Raymond James ,Oct 13 Wells Fargo Advisors Financial Network  an affiliate of Wells Fargo & Co  said it has hired two advisers from financial services company Raymond James  with more than $142 million in assets under management.,normal
WBK,Westpac Banking Corporation,20151013,Australia's Westpac unveils $2.5 billion rights issue  raises home loan rates ,SYDNEY Westpac Banking Corp  Australia's No. 2 lender by market value  on Wednesday said it will raise A$3.5 billion ($2.54 billion) to meet new stricter capital rules while pushing home loan rates higher by 20 basis points.,topStory
WBK,Westpac Banking Corporation,20151013,UPDATE 2-Australia's Westpac unveils $2.5 bln rights issue  raises home loan rates ,* Westpac shares on trading halt; down 8 pct YTD   (Recasts; adds analyst comment  industry context),normal
WBK,Westpac Banking Corporation,20151013,Australia's Westpac unveils $2.5 bln rights issue ,SYDNEY  Oct 14 Westpac Banking Corp  Australia's No. 2 lender by market value  on Wednesday said it will raise A$3.5 billion ($2.54 billion) in a fully underwritten rights issue to boost new stricter capital rules.,normal
ZBH,Zimmer Biomet Holdings Inc,20151013,First trial set for Zimmer's NexGen Flex knee implant litigation ,Zimmer  an Indiana-based medical device manufacturer  is set to face the first trial amid nearly 1 000 lawsuits in federal court alleging that its NexGen Flex knee implants have a defect that make them prone to loosening  which can cause pain and a loss of movement.,topStory
BTG,B2Gold Corp,20151013,Nicaraguan government denies permit to B2Gold mining project ,MANAGUA  Oct 12 The Nicaraguan government has denied a permit to a unit of Canada's B2Gold for a gold-mining project due to environmental concerns  officials said on Monday.,topStory
DNN,Denison Mine Corp,20151013,Denison  Fission cancel merger as investor support falls short ,Canadian uranium companies Denison Mines Corp  and Fission Uranium Corp  said on Tuesday they have terminated their C$483 million ($371.71 million) merger agreement due to opposition from Fission's shareholders.,topStory
DNN,Denison Mine Corp,20151013,UPDATE 3-Denison  Fission cancel merger as investor support falls short ,Oct 13 Canadian uranium companies Denison Mines Corp and Fission Uranium Corp said on Tuesday they have terminated their C$483 million ($371.71 million) merger agreement due to opposition from Fission's shareholders.,normal
DNN,Denison Mine Corp,20151013,Canada's Denison Mines  Fission Uranium terminate merger agreement ,Oct 13 Canadian uranium miner Denison Mines Corp  and Fission Uranium Corp said they have terminated their C$483 million merger agreement due to opposition from Fission's shareholders.,normal
VISI,Volt Information Sciences Inc,20151013,BRIEF-Dios Fastigheter signs lease agreement with VOLT ,Further company coverage:    ($1 = 8.1450 Swedish crowns)   (Gdynia Newsroom),topStory
