AMZN,Amazoncom Inc,20150715,Amazon's Prime Day draws big virtual crowd  frustrates some shoppers ,Merchants participating in Amazon.com's much-advertised "Prime Day" sale saw an 80 percent rise in U.S. sales from a year earlier  according to preliminary data from e-commerce researcher ChannelAdvisor  although the event also drew ire from some shoppers.,topStory
GS,Goldman Sachs Group Inc (The),20150715,Goldman Sachs sees Iran nuclear deal as downside risk to its oil price forecast ,SINGAPORE This week's nuclear deal between Iran and major global powers puts downside risk to oil prices as Iran's vast reserves gradually start to return to the market in 2016 in greater volumes  U.S. bank Goldman Sachs said.,normal
HAL,Halliburton Company,20150715,Traders pounce as doubts grow about Halliburton-Baker Hughes deal ,Growing doubts that regulators may not approve Halliburton Co's $35-billion takeover of fellow oilfield services company Baker Hughes Inc this year has thrown up a high-reward opportunity for investors with an appetite for risk.,topStory
HAL,Halliburton Company,20150715,Traders pounce as doubts grow about Halliburton-Baker Hughes deal ,July 15 Growing doubts that regulators may not approve Halliburton Co's $35-billion takeover of fellow oilfield services company Baker Hughes Inc this year has thrown up a high-reward opportunity for investors with an appetite for risk.,normal
HPQ,HP Inc,20150715,BRIEF-Anoto confirms talks with HP ,* Has chosen to disclose that discussions with OEM customer are held with HP,topStory
HSBC,HSBC Holdings plc,20150715,CORRECTED-UPDATE 2-Former-HSBC boss regrets mistakes made with Swiss  Mexican deals ,LONDON  July 14 HSBC should have made deeper checks before buying a Swiss private bank that allegedly allowed customers to dodge taxes and a Mexican business that breached anti-money laundering rules  its former chairman said.,topStory
HSEA,HSBC Holdings plc,20150715,CORRECTED-UPDATE 2-Former-HSBC boss regrets mistakes made with Swiss  Mexican deals ,LONDON  July 14 HSBC should have made deeper checks before buying a Swiss private bank that allegedly allowed customers to dodge taxes and a Mexican business that breached anti-money laundering rules  its former chairman said.,topStory
HSEB,HSBC Holdings plc,20150715,CORRECTED-UPDATE 2-Former-HSBC boss regrets mistakes made with Swiss  Mexican deals ,LONDON  July 14 HSBC should have made deeper checks before buying a Swiss private bank that allegedly allowed customers to dodge taxes and a Mexican business that breached anti-money laundering rules  its former chairman said.,topStory
ITUB,Itau Unibanco Banco Holding SA,20150715,Itau Unibanco sees Brazil's economy shrinking in 2016 ,BRASILIA  July 15 Brazil's recession will extend into next year  hurting President Dilma Rousseff's efforts to shore up public finances and arrest a sharp increase in unemployment  Itau Unibanco's chief economist said in a report on Wednesday.,topStory
JPM,J P Morgan Chase & Co,20150715,Exclusive: Apax taps JP Morgan and UBS for $1.1 billion exit of Rhiag - sources ,LONDON European private equity firm Apax [APAX.UL] has hired JP Morgan  and UBS  to explore a stock market listing or sale of its Italian auto-parts distributor Rhiag  six sources familiar with the matter said on Wednesday.,topStory
KMI,Kinder Morgan Inc,20150715,UPDATE 1-Kinder Morgan considering LPG  product and potential crude exports ,HOUSTON  July 15 Kinder Morgan Inc is considering more export opportunities from Texas and the U.S. Northeast  including liquid petroleum gas  refined products and potentially crude  a top executive told analysts on Wednesday.,topStory
KMI,Kinder Morgan Inc,20150715,Kinder Morgan to buy out Shell's JV stake; raises dividend ,Kinder Morgan Inc  said it would buy the 49 percent stake that it does not already own in natural gas joint venture Elba Liquefaction Co from Royal Dutch Shell Plc   and it raised its dividend.,normal
KMI,Kinder Morgan Inc,20150715,UPDATE 1-Kinder Morgan to buy out Shell's JV stake; raises div ,July 15 Kinder Morgan Inc said it would buy the 49 percent stake that it does not already own in natural gas joint venture Elba Liquefaction Co from Royal Dutch Shell Plc  and it raised its dividend.,normal
KMI,Kinder Morgan Inc,20150715,REFILE-Kinder Morgan profit falls 29 pct; hikes dividend ,July 15 Kinder Morgan Inc's  second-quarter profit fell nearly 29 percent from the first quarter  and the pipeline company said it increased its quarterly dividend by 14 percent.,normal
KKR,KKR & Co LP,20150715,Permira hires ex-KKR deal-maker Fujii to head Japan operations ,TOKYO Permira said on Wednesday that it had hired ex-KKR deal-maker Ryotaro Fujii to head its Japan operations  as the European private equity firm chases billion-dollar deals in the world's third-biggest economy.,topStory
KKR,KKR & Co LP,20150715,Permira hires ex-KKR deal-maker Fujii to head Japan ops ,TOKYO  July 15 Permira said on Wednesday that it had hired ex-KKR deal-maker Ryotaro Fujii to head its Japan operations  as the European private equity firm chases billion-dollar deals in the world's third-biggest economy.,normal
LMT,Lockheed Martin Corporation,20150715,Lockheed wins U.S. approval to upgrade fighter jets for South Korea ,WASHINGTON The U.S. government on Wednesday said it had approved Lockheed Martin Corp to upgrade 134 U.S.-made F-16 jet fighters for South Korea with new mission computers  radars and other equipment in a deal worth an estimated $2.5 billion.,topStory
LMT,Lockheed Martin Corporation,20150715,UPDATE 1-Lockheed wins U.S. approval to upgrade fighter jets for S. Korea ,WASHINGTON  July 15 The U.S. government on Wednesday said it had approved Lockheed Martin Corp to upgrade 134 U.S.-made F-16 jet fighters for South Korea with new mission computers  radars and other equipment in a deal worth an estimated $2.5 billion.,normal
M,Macy&#39;s Inc,20150715,US STOCKS-Wall Street edges lower as energy weighs ,* Indexes off: Dow 0.02 pct  S&P 0.07 pct  Nasdaq 0.12 pct   (Adds Intel  Netflix earnings),topStory
M,Macy&#39;s Inc,20150715,US STOCKS-Wall Street edges lower as energy weighs ,* Indexes off: Dow 0.02 pct  S&P 0.07 pct  Nasdaq 0.12 pct   (Updates to market close),normal
M,Macy&#39;s Inc,20150715,US STOCKS-Wall Street dips after Fed's Yellen as energy weighs ,* Indexes off: Dow 0.18 pct  S&P 0.23 pct  Nasdaq 0.24 pct   (Updates to late afternoon  changes byline  adds Beige Book),normal
M,Macy&#39;s Inc,20150715,Macy's underpriced  real estate assets could be spun off: Starboard ,U.S. retail chain Macy's is a cheap stock trading more than 70 percent below value  and its highly-prized real estate assets could be spun off  investment firm Starboard Value said on Wednesday after announcing it had taken a stake in the company.,normal
M,Macy&#39;s Inc,20150715,US STOCKS-Wall St higher; financial stocks lead ,* Indexes up: Dow 0.07 pct  S&P 0.09 pct  Nasdaq 0.16 pct   (Updates to early afternoon),normal
MRO,Marathon Oil Corporation,20150715,UPDATE 1-Det norske to appeal Sverdrup oilfield ownership  Q2 earnings lag ,* Appeals ministry decision over ownership of giant Sverdrup field   (Adds detail  bullets),normal
MON,Monsanto Company,20150715,Exclusive: Syngenta investor rebukes board for YouTube engagement on Monsanto bid ,LONDON A leading Syngenta  investor has criticized the board for excluding all but "a very small group" of shareholders from talks that could determine the fate of a $45 billion takeover bid by Monsanto   a letter seen by Reuters showed.,topStory
MON,Monsanto Company,20150715,UPDATE 1-Paulson's hedge fund takes stake in Syngenta -sources ,* Syngenta shares gain 2.9 percent   (Adds shares  analyst comment),normal
NGG,National Grid Transco PLC,20150715,RPT-Britain faces tightest winter power supplies in decade -National Grid ,LONDON  July 15 Britain is facing the tightest winter power supplies in a decade mostly due to power plant closures  although measures have been taken to ensure electricity meets demand  National Grid said on Wednesday.,topStory
NOC,Northrop Grumman Corporation,20150715,UPDATE 1-Lockheed wins U.S. approval to upgrade fighter jets for S. Korea ,WASHINGTON  July 15 The U.S. government on Wednesday said it had approved Lockheed Martin Corp to upgrade 134 U.S.-made F-16 jet fighters for South Korea with new mission computers  radars and other equipment in a deal worth an estimated $2.5 billion.,normal
PTR,PetroChina Company Limited,20150715,China oil demand rises in June  car sales slump may cap growth ,BEIJING China's implied oil demand grew 3.5 percent in June  as rising air travel and vehicle usage boosted fuel consumption  but a drop in passenger car sales amid a recent stock market rout could limit demand growth over the next few months.,topStory
PFE,Pfizer Inc,20150715,REFILE-BRIEF-Pfizer's Indian unit intends to close Navi Mumbai plant ,July 15 Pfizer Ltd :  * Intimated the concerned authorities that it intends to effect closure of its plant situated at thane belapur road  navi Mumbai  * Decision To close the plant is based on an assessment of its long term viability and its ability to achieve the needed production  * Closure will not impact the supply of any of the company's medicines to patients  * There has practically been no production activity at this plant since 2013  * Source text: http://bit.ly/1f2pgRU  * F,topStory
PKX,POSCO,20150715,POSCO says to exit unprofitable businesses as weak steel demand caps profit growth ,SEOUL South Korea's POSCO said it would shut down unprofitable local and overseas businesses as part of a restructuring plan aimed at boosting profit growth in the world's sixth-largest steelmaker as global demand for steel remains weak.,topStory
RIO,Rio Tinto Plc,20150715,Rio Tinto shows second quarter iron ore boost but cuts shipping guidance ,SYDNEY Rio Tinto on Thursday posted a sharp rise in second quarter iron ore output from a year ago as it battled to maintain its top market position in China  even as selling prices deteriorate and bad weather disrupted operations.,topStory
RIO,Rio Tinto Plc,20150715,UPDATE 1-Rio Tinto shows 2nd qtr iron ore boost but cuts shipping guidance ,SYDNEY  July 16 Rio Tinto  on Thursday posted a sharp rise in second quarter iron ore output from a year ago as it battled to maintain its top market position in China  even as selling prices deteriorate and bad weather disrupted operations.,normal
RIO,Rio Tinto Plc,20150715,UPDATE 1-Oyu Tolgoi project financing seen signed by year-end -Turquoise Hill ,July 15 A project financing agreement for the underground expansion of Oyu Tolgoi  a massive copper and gold mine in Mongolia  is expected to be signed by year end  mine owner Rio Tinto's Turquoise Hill Resources unit said on Wednesday.,normal
RIO,Rio Tinto Plc,20150715,Vale's designs on China add to Rio  BHP drive for more iron ore ,SYDNEY As Rio Tinto and BHP Billiton ship more iron ore than ever to China  the Australia mining giants face a fightback from Brazil's Vale for market share that threatens to drive already weak prices even lower.,normal
RIO,Rio Tinto Plc,20150715,Oyu Tolgoi project financing seen signed by year-end -Turquoise Hill ,July 15 A project financing agreement for the underground expansion of Oyu Tolgoi  a massive copper and gold mine in Mongolia  is expected to be signed by year end  mine owner Rio Tinto's Turquoise Hill Resources unit said on Wednesday.,normal
RIO,Rio Tinto Plc,20150715,Vale's designs on China add to Rio  BHP drive for more iron ore ,SYDNEY  July 16 As Rio Tinto and BHP Billiton ship more iron ore than ever to China  the Australia mining giants face a fightback from Brazil's Vale  for market share that threatens to drive already weak prices even lower.,normal
RIO,Rio Tinto Plc,20150715,European Factors to Watch on June 15 ,LONDON  July 15 Financial spreadbetters expected Britain's FTSE 100 to open up 6 to 20 points or as much as 0.3 percent higher  Germany's DAX to open 36 to 49 points or as much as 0.4 percent up  and France's CAC 40 to open 10 to 27 points or as much as 0.5 percent higher.          MAJOR EUROPEAN COMPANIES REPORTING:     SVT.L   Severn Trent PLC            Severn Trent PLC Interim Management                                      Statement Release  BON.OL  Bonheur ASA                 Q,normal
RIO,Rio Tinto Plc,20150715,Little joy for Iran's private iron ore exporters from nuclear deal ,LONDON Its nuclear deal with world powers bodes well for Iran's crude oil sales but offers less for Tehran's second biggest export  iron ore  as low prices squeeze private miners out of business.,normal
SNY,Sanofi,20150715,Sanofi announces reorganization ahead of strategic plan ,PARIS Sanofi will adopt a simplified structure centered around five global business units starting in January 2016 to promote growth  the French drugmaker said on Wednesday  as it prepares a new strategic plan to be unveiled in November.,topStory
SNY,Sanofi,20150715,UPDATE 1-Sanofi announces reorganisation ahead of strategic plan ,* Changes to take effect from January 2016   (Adds share price  details),normal
SNY,Sanofi,20150715,Sanofi trims number of divisions from seven to five ,PARIS  July 15 Sanofi will adopt a new simplified structure  reducing its number of global business units to five from seven starting in January 2016 to promote growth  the French drugmaker said on Wednesday.,normal
SEAS,SeaWorld Entertainment Inc,20150715,SeaWorld accused of infiltrating animal rights group in California ,SAN DIEGO An animal rights group said SeaWorld Entertainment Inc  known for its dolphin and killer whale performances  sent an employee on secret missions to infiltrate events organized by the group in an attempt to undermine its work.,topStory
SEAS,SeaWorld Entertainment Inc,20150715,SeaWorld accused of infiltrating animal rights group in California ,SAN DIEGO  July 14 An animal rights group said SeaWorld Entertainment Inc  known for its dolphin and killer whale performances  sent an employee on secret missions to infiltrate events organized by the group in an attempt to undermine its work.,normal
STO,Statoil ASA,20150715,UPDATE 1-Det norske to appeal Sverdrup oilfield ownership  Q2 earnings lag ,* Appeals ministry decision over ownership of giant Sverdrup field   (Adds detail  bullets),normal
SUN,Sunoco LP,20150715,Energy Transfer Partners sells convenience stores to Sunoco ,Pipeline company Energy Transfer Partners said it would sell convenience store operator Susser Holdings to its unit Sunoco LP for about $1.94 billion in cash and stock.,topStory
SUN,Sunoco LP,20150715,UPDATE 1-Energy Transfer Partners sells convenience stores to Sunoco ,July 15 Pipeline company Energy Transfer Partners said it would sell convenience store operator Susser Holdings to its unit Sunoco LP for about $1.94 billion in cash and stock.,normal
SUN,Sunoco LP,20150715,Energy Transfer Partners sells convenience stores to Sunoco ,July 15 Pipeline company Energy Transfer Partners said it would sell convenience store operator Susser Holdings for about $1.94 billion to its unit Sunoco LP .,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150715,BRIEF-Taiwan's TSMC purchases order of facility for T$3.245 bln ,July 15 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150715,BRIEF-Taiwan's TSMC orders equipment from Applied Materials for T$718 mln ,July 15 Taiwan Semiconductor Manufacturing Co Ltd,normal
TI,Telecom Italia SPA,20150715,BRIEF-Telecom Italia set prices for U.S. dollar notes buy-back ,* announces purchase price for cash tender offer for U.S. Dollar notes,topStory
TM,Toyota Motor Corp Ltd Ord,20150715,Toyota recalls 625 000 hybrid cars globally for software glitch ,TOKYO Toyota Motor Corp said on Wednesday it would recall about 625 000 hybrid cars globally to fix a software glitch that could  in limited cases  shut down the hybrid system while the car is being driven.,topStory
TM,Toyota Motor Corp Ltd Ord,20150715,Toyota recalls 625 000 hybrid cars globally for software glitch ,TOKYO  July 15 Toyota Motor Corp said on Wednesday it would recall about 625 000 hybrid cars globally to fix a software glitch that could  in limited cases  shut down the hybrid system while the car is being driven.,normal
TRQ,Turquoise Hill Resources Ltd,20150715,UPDATE 1-Oyu Tolgoi project financing seen signed by year-end -Turquoise Hill ,July 15 A project financing agreement for the underground expansion of Oyu Tolgoi  a massive copper and gold mine in Mongolia  is expected to be signed by year end  mine owner Rio Tinto's Turquoise Hill Resources unit said on Wednesday.,topStory
UPS,United Parcel Service Inc,20150715,EEOC sues UPS for religious bias against bearded men ,NEW YORK The U.S. Equal Employment Opportunity Commission has sued United Parcel Service Inc  accusing the world's largest package delivery company of discriminating against male workers and job applicants who wore beards or long hair because of their religion.,topStory
UPS,United Parcel Service Inc,20150715,U.S. EEOC sues UPS for religious bias against bearded men ,NEW YORK The U.S. Equal Employment Opportunity Commission has sued United Parcel Service Inc  accusing the world's largest package delivery company of discriminating against male workers and job applicants who wore beards or long hair because of their religion.,normal
UPS,United Parcel Service Inc,20150715,UPDATE 2-U.S. EEOC sues UPS for religious bias against bearded men ,NEW YORK  July 15 The U.S. Equal Employment Opportunity Commission has sued United Parcel Service Inc   accusing the world's largest package delivery company of discriminating against male workers and job applicants who wore beards or long hair because of their religion.,normal
UPS,United Parcel Service Inc,20150715,EEOC sues UPS for alleged religious discrimination ,NEW YORK  July 15 United Parcel Service Inc  was sued on Wednesday by the U.S. Equal Employment Opportunity Commission  which accused the package delivery company of discriminating against employees and job applicants whose religious practices conflicted with its uniform and appearance policy.,normal
UTX,United Technologies Corporation,20150715,BRIEF-Polish American Investment Fund lowers stake in United to 6.27 pct ,* Polish American Investment Fund LLC has its stake in the company reduced to 6.27 percent from 10.36 percent  following the company's capital increase,topStory
VALE,VALE SA,20150715,Vale's designs on China add to Rio  BHP drive for more iron ore ,SYDNEY As Rio Tinto and BHP Billiton ship more iron ore than ever to China  the Australia mining giants face a fightback from Brazil's Vale for market share that threatens to drive already weak prices even lower.,topStory
VALE,VALE SA,20150715,Vale's designs on China add to Rio  BHP drive for more iron ore ,SYDNEY  July 16 As Rio Tinto and BHP Billiton ship more iron ore than ever to China  the Australia mining giants face a fightback from Brazil's Vale  for market share that threatens to drive already weak prices even lower.,normal
VALE,VALE SA,20150715,Little joy for Iran's private iron ore exporters from nuclear deal ,LONDON Its nuclear deal with world powers bodes well for Iran's crude oil sales but offers less for Tehran's second biggest export  iron ore  as low prices squeeze private miners out of business.,normal
WMT,Wal-Mart Stores Inc,20150715,CEO  chairman quit Wal-Mart's China e-commerce firm Yihaodian ,BEIJING/SHANGHAI The CEO and Chairman of Wal-Mart Stores Inc's Chinese e-commerce company Yihaodian.com have quit "to pursue their next venture"  the U.S. retailer said on Wednesday  as it aims to grow a company still far smaller than local rivals.,topStory
WMT,Wal-Mart Stores Inc,20150715,CEO  chairman quit Wal-Mart's China e-commerce firm Yihaodian ,BEIJING/SHANGHAI  July 15 The CEO and Chairman of Wal-Mart Stores Inc's Chinese e-commerce company Yihaodian.com have quit "to pursue their next venture"  the U.S. retailer said on Wednesday  as it aims to grow a company still far smaller than local rivals.,normal
DIS,Walt Disney Company (The),20150715,Shanghai Disneyland plans Star Wars  Marvel attractions ,SHANGHAI Mickey Mouse  Peter Pan and Han Solo will beckon visitors to Shanghai when Walt Disney Co opens its first theme park in China in the spring of next year.,topStory
DIS,Walt Disney Company (The),20150715,REFILE-UPDATE 1-Shanghai Disneyland plans Star Wars  Marvel attractions ,SHANGHAI  July 15 Mickey Mouse  Peter Pan and Han Solo will beckon visitors to Shanghai when Walt Disney Co  opens its first theme park in China in the spring of next year.,normal
DIS,Walt Disney Company (The),20150715,Shanghai Disneyland plans Star Wars  Marvel attractions ,July 14 Walt Disney Co said its new Shanghai Disneyland theme park will include six themed lands  and offer attractions based on the Star Wars and Marvel Universe movie series.,normal
YPF,YPF Sociedad Anonima,20150715,UPDATE 3-Argentine shale fields to get $38 bln in investment -governor , ,topStory
YUM,Yum! Brands Inc,20150715,Yum sticks to growth forecast despite slow China recovery ,KFC and Pizza Hut owner Yum Brands Inc  stuck to its profit growth target for the year despite a slower-than-expected recovery in its Chinese business  which was hit by allegations of a supplier using expired meat last year.,topStory
YUM,Yum! Brands Inc,20150715,Yum sticks to growth forecast despite slow China recovery ,July 15 KFC and Pizza Hut owner Yum Brands Inc  stuck to its profit growth target for the year despite a slower-than-expected recovery in its Chinese business  which was hit by allegations of a supplier using expired meat last year.,normal
