ACRX,AcelRx Pharmaceuticals Inc,20150909,UPDATE 1-AcelRx Pharma's pain drug succeeds in late-stage study ,Sept 9 AcelRx Pharmaceuticals Inc said its experimental pain drug for patients undergoing abdominal surgery met the main goal in a late-stage study.,topStory
GEK,General Electric Capital Corporation,20150909,SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEK,General Electric Capital Corporation,20150909,EU mergers and takeovers (Sept 9) ,BRUSSELS  Sept 9 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GE,General Electric Company,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,topStory
GE,General Electric Company,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GE,General Electric Company,20150909,UPDATE 2-U.S. SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GE,General Electric Company,20150909,SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GE,General Electric Company,20150909,EU mergers and takeovers (Sept 9) ,BRUSSELS  Sept 9 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEB,General Electric Company,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,topStory
GEB,General Electric Company,20150909,SEC charges father  son  friend with insider trading in GE deal ,Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEB,General Electric Company,20150909,UPDATE 2-U.S. SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEB,General Electric Company,20150909,SEC charges father  son  friend with insider trading in GE deal ,Sept 9 Three California men  including a father-and-son duo  were charged on Wednesday by the U.S. Securities and Exchange Commission with insider trading ahead of General Electric Co's 2010 purchase of cancer diagnostics company Clarient Co.,normal
GEB,General Electric Company,20150909,EU mergers and takeovers (Sept 9) ,BRUSSELS  Sept 9 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GSK,GlaxoSmithKline PLC,20150909,GlaxoSmithKline lung drug fails to extend life in huge study ,GlaxoSmithKline's inhaled medicine Breo failed to prolong life in patients with chronic respiratory disease in a high-stakes clinical trial of 16 500 people  torpedoing hopes of a sales boost for the drug.,topStory
GSK,GlaxoSmithKline PLC,20150909,UPDATE 3-GlaxoSmithKline lung drug fails to extend life in huge study ,* GSK shares down 1.5 pct; partner Theravance tumbles 15 pct   (Adds further reaction  details on drug sales),normal
GSK,GlaxoSmithKline PLC,20150909,European shares boosted by Ryanair after profit forecast hike ,LONDON  Sept 9 European shares got a boost from a rally in Ryanair shares on Wednesday  which hit an all-time high after the airline lifted its full-year profit forecast by 25 percent.,normal
JPM,J P Morgan Chase & Co,20150909,UPDATE 4-Nigeria financial markets suffer after JP Morgan index expulsion ,* JP Morgan evicts Nigeria from key emerging market bonds index,topStory
JPM,J P Morgan Chase & Co,20150909,Nigeria naira forward up 2.79 pct after JP Morgan bond moves ,LAGOS  Sept 9 The 1-year non-deliverable forwards (NDF) on Nigeria's naira rose 2.79 percent to 268.50 on Wednesday  a day after a surprise move by JP Morgan to eject the African nation from its government bond index  Thomson Reuters data showed.,normal
JPM,J P Morgan Chase & Co,20150909,CFTC probes JPMorgan for alleged client steering: WSJ ,The U.S. Commodity Futures Trading Commission (CFTC) is investigating whether JPMorgan Chase & Co  is steering its private-banking clients to its own hedge-fund investment products without proper disclosures  the Wall Street Journal reported  citing people close to the probe.,normal
JPM,J P Morgan Chase & Co,20150909,MOVES-JPMorgan names Jonathan Cavenagh head of EM Asia FX Strategy ,Sept 9 JPMorgan Chase & Co appointed Jonathan Cavenagh as executive director and head of EM Asia FX Strategy.,normal
JPM,J P Morgan Chase & Co,20150909,US CFTC probes JPMorgan for alleged client steering - WSJ ,Sept 9 The U.S. Commodity Futures Trading Commission (CFTC) is investigating whether JPMorgan Chase & Co  is steering its private-banking clients to its own hedge-fund investment products without proper disclosures  the Wall Street Journal reported  citing people close to the probe.,normal
KMI,Kinder Morgan Inc,20150909,UPDATE 1-Texas judge issues restraining orders in Port Arthur refinery death ,HOUSTON  Sept 8 A Texas district judge issued temporary restraining orders on Tuesday to preserve evidence in the death of a bulldozer operator at Total SA's Port Arthur  Texas  refinery on Saturday  according to court documents.,normal
KKR,KKR & Co LP,20150909,KKR to buy stake in Marshall Wace in hedge fund drive ,LONDON/BENGALURU American private equity firm KKR & Co  is buying a stake in European hedge fund operator Marshall Wace  raising its bets on the rapidly growing $3 trillion industry.,topStory
KKR,KKR & Co LP,20150909,UPDATE 2-KKR to buy stake in Marshall Wace in hedge fund drive ,* Deal ups KKR's bets on lucrative hedge fund sector   (Adds quotes from interviews  details  background),normal
KKR,KKR & Co LP,20150909,REFILE-KKR to acquire 24.9 pct stake in UK hedge fund Marshall Wace ,Sept 9 Private equity firm  KKR & Co LP  said it would acquire a 24.9 percent stake in London-based hedge fund Marshall Wace LLP.,normal
LMT,Lockheed Martin Corporation,20150909,Lockheed to cut about 500 jobs in IT services unit ,Lockheed Martin Corp  the maker of F-35 fighter jets  said it would cut about 500 jobs in its IT services unit by mid-November.,topStory
LMT,Lockheed Martin Corporation,20150909,UPDATE 1-Lockheed to cut about 500 jobs in IT services unit ,Sept 9 Lockheed Martin Corp  the maker of F-35 fighter jets  said it would cut about 500 jobs in its IT services unit by mid-November.,normal
LMT,Lockheed Martin Corporation,20150909,Lockheed to cut about 500 jobs in IT services unit ,Sept 9 Lockheed Martin Corp said it would cut about 500 jobs in its information systems and global solutions business by mid-November.,normal
LMT,Lockheed Martin Corporation,20150909,Lockheed Martin to lay off 500 in information systems  gov't services unit -source ,WASHINGTON  Sept 9 Lockheed Martin Corp  will announce plans on Wednesday to lay off about 500 people across its information systems and government services division  which it plans to sell or spin off later this year  a person familiar with the plans said.,normal
LMT,Lockheed Martin Corporation,20150909,Aerojet makes $2 billion offer for Lockheed-Boeing joint venture: sources ,WASHINGTON Aerojet Rocketdyne Holdings Inc  submitted a $2 cash billion offer to buy United Launch Alliance (ULA)  a satellite launch provider jointly held by Lockheed Martin Corp  and Boeing Co   sources familiar with the matter said Tuesday  a deal that would further consolidate the space business.,normal
LMT,Lockheed Martin Corporation,20150909,UPDATE 3-Aerojet makes $2 bln offer for Lockheed-Boeing joint venture -sources ,WASHINGTON  Sept 8 Aerojet Rocketdyne Holdings Inc submitted a $2 cash billion offer to buy United Launch Alliance (ULA)  a satellite launch provider jointly held by Lockheed Martin Corp and Boeing Co  sources familiar with the matter said Tuesday  a deal that would further consolidate the space business.,normal
MFC,Manulife Financial Corp,20150909,UPDATE 1-Manulife nears $400 mln deal to buy StanChart's HK pension business-sources ,* Retirement savings is big business opportunity in Hong Kong   (Adds details of potential deal and background on Hong Kong's pension market),topStory
MFC,Manulife Financial Corp,20150909,Manulife nears $400 mln deal to buy StanChart's HK pension business-sources ,HONG KONG/SINGAPORE  Sept 9 Canadian insurer Manulife Financial Corp is nearing a deal to buy British bank Standard Chartered's Hong Kong pension business for about $400 million  people familiar with the matter told Reuters.,normal
MRO,Marathon Oil Corporation,20150909,Marathon Oil plans to cut 2016 budget by at least $600 million ,Sept 9 Marathon Oil Corp said on Wednesday it will slash its capital budget next year by at least $600 million  becoming one of the first U.S. shale companies to announce 2016 cuts due to low crude prices.,topStory
MCD,McDonald&#39;s Corporation,20150909,McDonald's moving to 'cage-free' eggs in US  Canada over 10 years ,Sept 9 McDonald's Corp said all eggs it uses in its 16 000 restaurants in the United States and Canada will come from chickens that are not confined to cages within 10 years.,topStory
MCD,McDonald&#39;s Corporation,20150909,McDonald's Japan posts first monthly sales rise since January 2014 ,TOKYO The Japanese unit of McDonald's Corp  said on Wednesday its same-store sales in August rose for the first time since January 2014 helped by easy comparisons with the year before  when revelations of food-safety violations drove customers away.,normal
MCD,McDonald&#39;s Corporation,20150909,McDonald's Japan posts first monthly sales rise since Jan 2014 ,TOKYO  Sept 9 The Japanese unit of McDonald's Corp said on Wednesday its same-store sales in August rose for the first time since January 2014 helped by easy comparisons with the year before  when revelations of food-safety violations drove customers away.,normal
MTL,Mechel PAO,20150909,UPDATE 1-Russia's Mechel seals debt restructuring deal with VTB ,MOSCOW  Sept 9 Russian coal and steel producer Mechel has signed a debt restructuring deal with the country's second-largest state bank  VTB  leaving it one step away from reaching an agreement with all three of its main lenders.,topStory
MTL,Mechel PAO,20150909,Russia's VTB restructures Mechel's 70 bln roubles debt ,MOSCOW  Sept 9 VTB Bank  Russia's second largest lender  has agreed to restructure debt of coal and steel producer Mechel worth 70 billion roubles ($1 billion)  the bank and the miner said on Wednesday.,normal
MSCI,MSCI Inc,20150909,Peru bourse sees 'good chance' of keeping emerging market status ,LIMA  Sept 8 Peru's bourse has a "good chance" of staying in MSCI Inc's emerging market category and avoiding a downgrade to a riskier status  the bourse's general manager said on Tuesday following preliminary talks with the index provider.,topStory
PANW,Palo Alto Networks Inc,20150909,Palo Alto Networks posts biggest revenue rise in 10 quarters ,Cyber security company Palo Alto Networks Inc  reported its strongest revenue growth in 10 quarters and forecast better-than-expected growth in the current quarter as governments and companies spend more to protect themselves from cyber attacks.,topStory
PANW,Palo Alto Networks Inc,20150909,UPDATE 2-Palo Alto Networks posts biggest revenue rise in 10 quarters ,* Shares up 5 percent in extended trading   (Adds CEO and analyst comments  details; updates shares),normal
PANW,Palo Alto Networks Inc,20150909,Palo Alto revenue jumps as companies boost cyber security spending ,Sept 9 Cyber security company Palo Alto Networks Inc reported a 59.3 percent jump in quarterly revenue as companies and governments spent more to protect their networks amid  sophisticated cyber attacks.,normal
PFE,Pfizer Inc,20150909,BRIEF-Evotec enters into licence and collaboration agreement with Pfizer ,* Evotec enters into licence and collaboration agreement with Pfizer Inc. in tissue fibrosis,topStory
PUK,Prudential Public Limited Company,20150909,BRIEF-Prudential amends terms to $700 mln 5.25 pct Tier 1 perpetual notes ,* Expects that notes will not be capable of counting as tier 2 own funds,topStory
SLB,Schlumberger NV,20150909,BRIEF-Bauer AG discussing JV with Schlumberger ,* Bauer group negotiates partnership in deep drilling business,topStory
SBGL,Sibanye Gold Limited,20150909,UPDATE 3-S.Africa's Amplats sells Rustenburg mines to Sibanye for $331 mln ,JOHANNESBURG  Sept 9 Anglo American Platinum (Amplats) sold the labour-intensive South African Rustenburg mine that produces about a third of its annual output for 4.5 billion rand ($331 million) to bullion producer Sibanye Gold.,topStory
SIG,Signet Jewelers Limited,20150909,Signet Jewelers unit must face gender bias claims: U.S. court ,Sterling Jewelers Inc  the largest U.S. jewelry retailer  must face a federal agency's claims that it failed to promote female employees and paid them less than men  a U.S. appeals court said on Wednesday.,topStory
SIG,Signet Jewelers Limited,20150909,UPDATE 1-Signet Jewelers unit must face gender bias claims -U.S. court ,Sept 9 Sterling Jewelers Inc  the largest U.S. jewelry retailer  must face a federal agency's claims that it failed to promote female employees and paid them less than men  a U.S. appeals court said on Wednesday.,normal
SLF,Sun Life Financial Inc,20150909,Sun Life to buy U.S. insurer Assurant's unit for $975 million ,Canadian insurer Sun Life Financial Inc  said it would buy New York-based insurer Assurant Inc's  employee-benefits business for $975 million  creating the sixth largest group benefits business in the United States.,topStory
SLF,Sun Life Financial Inc,20150909,UPDATE 1-Sun Life to buy U.S. insurer Assurant's unit for $975 mln ,Sept 9 Canadian insurer Sun Life Financial Inc  said it would buy New York-based insurer Assurant Inc's  employee-benefits business for $975 million  creating the sixth largest group benefits business in the United States.,normal
SLF,Sun Life Financial Inc,20150909,Canadian insurer Sun Life to buy Assurant's unit for $975 mln ,Sept 9 Canadian insurer Sun Life Financial Inc  said it would buy New York-based insurer Assurant Inc's  employee-benefits business for $975 million  creating the sixth largest group benefits business in the United States.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150909,BRIEF-Taiwan's TSMC orders equipment for T$1.14 bln ,* Says orders equipment from Mega Union Technology Inc  Trane Taiwan Distribution Ltd for T$1.14 billion ($35.01 million),topStory
TI,Telecom Italia SPA,20150909,Vivendi rounds up stake in Telecom Italia to 15.5 pct ,MILAN  Sept 9 French media group Vivendi  has rounded up its stake in Italian phone group Telecom Italia to 15.486 percent as of Sept. 4  from 14.9 percent previously  Italian market watchdog Consob said on Wednesday.,topStory
TOT,Total SA,20150909,Texas judge issues restraining orders in Port Arthur refinery death ,HOUSTON A Texas district judge issued temporary restraining orders on Tuesday to preserve evidence in the death of a bulldozer operator at Total SA's Port Arthur  Texas  refinery on Saturday  according to court documents.,topStory
TOT,Total SA,20150909,UPDATE 1-Texas judge issues restraining orders in Port Arthur refinery death ,HOUSTON  Sept 8 A Texas district judge issued temporary restraining orders on Tuesday to preserve evidence in the death of a bulldozer operator at Total SA's Port Arthur  Texas  refinery on Saturday  according to court documents.,normal
TM,Toyota Motor Corp Ltd Ord,20150909,Toyota to launch new Prius from year-end  starting in Japan ,TOKYO Toyota Motor Corp  plans to sell a new version of its Prius petrol-electric hybrid from the end of 2015 in Japan and in other regions thereafter  at a time when tumbling gasoline prices are sapping demand for environment-friendlier cars.,topStory
TM,Toyota Motor Corp Ltd Ord,20150909,CORRECTED-UPDATE 1-Toyota to launch new Prius from year-end  starting in Japan ,TOKYO  Sept 9 Toyota Motor Corp plans to sell a new version of its Prius petrol-electric hybrid from the end of 2015 in Japan and in other regions thereafter  at a time when tumbling gasoline prices are sapping demand for environment-friendlier cars.,normal
TM,Toyota Motor Corp Ltd Ord,20150909,Toyota: new Prius to be launched from year-end  starting in Japan ,TOKYO  Sept 9 Toyota Motor Corp said it would launch the new Prius model in Japan at the end of 2015 and roll out the gasoline-electric hybrid car in other regions thereafter.,normal
UAL,United Continental Holdings Inc,20150909,New United Continental chief moves to calm investors  employees ,One day after ousting its chief executive  United Continental Holdings Inc  and its new boss  Oscar Munoz  moved to reassure shareholders and employees that the company is stable.,topStory
UAL,United Continental Holdings Inc,20150909,UPDATE 3-New United Continental chief moves to calm investors  employees ,Sept 9 One day after ousting its chief executive  United Continental Holdings Inc and its new boss  Oscar Munoz  moved to reassure shareholders and employees that the company is stable.,normal
UAL,United Continental Holdings Inc,20150909,UPDATE 2-United Continental CEO sets new tone  shares rise on improved outlook ,Sept 9 United Continental Holdings Inc's  new chief executive  in his first communication to employees  promised to meet with as many workers as possible and "hear about operations directly from you " a sharp contrast with ousted predecessor Jeff Smisek that drew cheers from investors and unions on Wednesday.,normal
UAL,United Continental Holdings Inc,20150909,United Continental analysts welcome CEO change; shares flat ,Sept 9 Analysts on Wednesday gave the thumbs up to the replacement of United Continental Holdings Inc  Chief Executive Officer Jeff Smisek  who stepped down due to a federal probe of the U.S. airline  and the company's shares were flat.,normal
UMC,United Microelectronics Corporation,20150909,BRIEF-Taiwan's UMC posts 6.8 pct rise in August sales ,* Says August sales at T$12.2 billion ($374.98 million)  up 6.8 percent y/y,topStory
UPS,United Parcel Service Inc,20150909,Union urges UPS pilots to vote on authorizing strike ,The union representing pilots at package delivery company United Parcel Service Inc  said it had urged them to vote to authorize a strike.,topStory
UPS,United Parcel Service Inc,20150909,UPDATE 1-Union urges UPS pilots to vote on authorizing strike ,Sept 9 The union representing pilots at package delivery company United Parcel Service Inc said it had urged them to vote to authorize a strike.,normal
UPS,United Parcel Service Inc,20150909,Union urges UPS pilots to vote on authorizing strike ,Sept 9 The union representing pilots at package delivery company United Parcel Service Inc said it had urged them to vote to authorize a strike.,normal
UTX,United Technologies Corporation,20150909,UPDATE 1-Lockheed to cut about 500 jobs in IT services unit ,Sept 9 Lockheed Martin Corp  the maker of F-35 fighter jets  said it would cut about 500 jobs in its IT services unit by mid-November.,normal
UTX,United Technologies Corporation,20150909,Lockheed Martin to lay off 500 in information systems  gov't services unit -source ,WASHINGTON  Sept 9 Lockheed Martin Corp  will announce plans on Wednesday to lay off about 500 people across its information systems and government services division  which it plans to sell or spin off later this year  a person familiar with the plans said.,normal
VLO,Valero Energy Corporation,20150909,UPDATE 3-Valero CEO Gorder sees acquisition opportunities ,Sept 9 Valero Energy Corp  the leading U.S. refiner  may soon return to its roots as a buyer of refineries  Chief Executive Officer Joe Gorder said on Wednesday.,topStory
DIS,Walt Disney Company (The),20150909,Infosys says cleared in U.S. visa probe by Labor Department ,WASHINGTON  Sept 8The U.S. Labor Department has cleared Infosys Ltd of any wrongdoing and closed its investigation after American technology workers at Southern California Edison complained their jobs were wrongfully outsourced to foreigners working on H-1B visas  Infosys has confirmed.,normal
WLL,Whiting Petroleum Corporation,20150909,BRIEF-Whiting Petroleum CEO says plans to operate within cash flow for 2016 ,* CEO Jim Volker says plans to operate within cash flow in 2016,topStory
XPO,XPO Logistics Inc,20150909,UPDATE 1-XPO Logistics to buy U.S. trucker Con-way in $3 bln deal ,Sept 9 XPO Logistics Inc said it would buy trucking and logistics company Con-way Inc for $3 billion  including debt  making it the second largest provider of less-than-truckload services in North America.,topStory
XPO,XPO Logistics Inc,20150909,XPO Logistics to buy trucker Con-way in $3 billion deal ,XPO Logistics Inc  said it would buy trucking and logistics company Con-way Inc  for $3 billion  including debt  making it the second largest provider of less-than-truckload services in North America.,normal
XPO,XPO Logistics Inc,20150909,XPO Logistics to buy trucker Con-way in $3 bln deal ,Sept 9 XPO Logistics Inc said it would buy trucking and logistics company Con-way Inc for $3 billion  including debt  making it the second largest provider of less-than-truckload services in North America.,normal
LNG,Cheniere Energy Inc,20150909,UPDATE 1-Hedge fund shortseller Chanos bets against Cheniere Energy -CNBC ,NEW YORK  Sept 9 Widely followed hedge fund shortseller Jim Chanos said on Wednesday he is betting against liquefied natural gas firm Cheniere Energy Inc.,topStory
LNG,Cheniere Energy Inc,20150909,Jim Chanos of Kynikos says he is short Cheniere Energy - CNBC ,NEW YORK  Sept 9 Hedge fund shortseller Jim Chanos  founder of Kynikos Associates  said Wednesday that he is betting against Cheniere Energy Inc.,normal
