ALKS,Alkermes plc,20151005,Alkermes' schizophrenia drug Aristada gets FDA nod ,The U.S. Food and Drug Administration on Monday approved Alkermes Plc's longer-acting injectable version of blockbuster schizophrenia pill Abilify  making the treatment available in two doses.,topStory
GE,General Electric Company,20151005,Nelson Peltz's Trian takes $2.5 billion stake in General Electric ,Activist investor Nelson Peltz's fund has bought a $2.5 billion stake in General Electric Co  adding fresh pressure on the U.S. conglomerate to pull off its plan to shift away from finance operations toward its industrial roots. | Video ,topStory
GE,General Electric Company,20151005,Arkansas teachers top off a sweet day for Peltz' Trian hedge fund ,BOSTON Billionaire fund manager Nelson Peltz on Monday added a big new client when he took in $150 million in cash from the Arkansas Teachers Retirement System  part of a trio of welcome victories for the activist  whose portfolio has faced a bumpy ride lately.,normal
GE,General Electric Company,20151005,CORRECTED-UPDATE 4-Nelson Peltz's Trian Fund takes $2.5 bln stake in GE ,Oct 5 Nelson Peltz's Trian Fund Management said it bought $2.5 billion in shares of General Electric Co  since May  making it one of the top 10 shareholders in the industrial conglomerate.,normal
GE,General Electric Company,20151005,GE to sell corporate aircraft financing business ,General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GE,General Electric Company,20151005,GE to sell corporate aircraft financing business ,Oct 5 General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GE,General Electric Company,20151005,PRESS DIGEST - Wall Street Journal - Oct 5 ,Oct 5 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GE,General Electric Company,20151005,Nelson Peltz's Trian Fund takes $2.5 billion stake in GE - WSJ ,Oct 5 Nelson Peltz's Trian Fund Management has accumulated $2.5 billion in General Electric shares since the middle of May - a roughly 1 percent stake - making it one of the company's top 10 shareholders  the Wall Street Journal reported.,normal
GEB,General Electric Company,20151005,Nelson Peltz's Trian takes $2.5 billion stake in General Electric ,Activist investor Nelson Peltz's fund has bought a $2.5 billion stake in General Electric Co  adding fresh pressure on the U.S. conglomerate to pull off its plan to shift away from finance operations toward its industrial roots. | Video ,topStory
GEB,General Electric Company,20151005,Arkansas teachers top off a sweet day for Peltz' Trian hedge fund ,BOSTON Billionaire fund manager Nelson Peltz on Monday added a big new client when he took in $150 million in cash from the Arkansas Teachers Retirement System  part of a trio of welcome victories for the activist  whose portfolio has faced a bumpy ride lately.,normal
GEB,General Electric Company,20151005,CORRECTED-UPDATE 4-Nelson Peltz's Trian Fund takes $2.5 bln stake in GE ,Oct 5 Nelson Peltz's Trian Fund Management said it bought $2.5 billion in shares of General Electric Co  since May  making it one of the top 10 shareholders in the industrial conglomerate.,normal
GEB,General Electric Company,20151005,GE to sell corporate aircraft financing business ,General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GEB,General Electric Company,20151005,GE to sell corporate aircraft financing business ,Oct 5 General Electric Co said it would sell its fixed-wing corporate aircraft financing business in the Americas to Global Jet Capital  a provider of financing for the private aircraft market.,normal
GEB,General Electric Company,20151005,PRESS DIGEST - Wall Street Journal - Oct 5 ,Oct 5 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GEB,General Electric Company,20151005,Nelson Peltz's Trian Fund takes $2.5 billion stake in GE - WSJ ,Oct 5 Nelson Peltz's Trian Fund Management has accumulated $2.5 billion in General Electric shares since the middle of May - a roughly 1 percent stake - making it one of the company's top 10 shareholders  the Wall Street Journal reported.,normal
GIS,General Mills Inc,20151005,General Mills recalls 1.8 million boxes of gluten-free Cheerios ,General Mills Inc is recalling 1.8 million boxes of gluten-free Cheerios cereal because they may contain wheat  which can cause adverse reactions in people with gluten allergies.,topStory
GIS,General Mills Inc,20151005,UPDATE 1-General Mills recalls 1.8 mln boxes of gluten-free Cheerios ,Oct 5 General Mills Inc is recalling 1.8 million boxes of gluten-free Cheerios cereal because they may contain wheat  which can cause adverse reactions in people with gluten allergies.,normal
GG,Goldcorp Inc,20151005,UPDATE 1-Goldcorp says work resumes at Argentina mine after union work halt ,Oct 5 Work has resumed at Goldcorp Inc's  Cerro Negro mine in Argentina  the company said on Monday  following the declaration of a mandatory 15-day conciliation period by the Santa Cruz Provincial Secretariat of Labor.,topStory
GS,Goldman Sachs Group Inc (The),20151005,Fed extends comment period for Goldman plan to buy part of GE Capital Bank ,WASHINGTON The Federal Reserve on Monday announced it was extending through Oct 30 the public comment period for an application by U.S. banking giant Goldman Sachs Group Inc  to acquire assets and liabilities from GE Capital Bank .,topStory
GS,Goldman Sachs Group Inc (The),20151005,Fed extends comment period for Goldman plan to buy part of GE Capital Bank ,WASHINGTON  Oct 5 The Federal Reserve on Monday announced it was extending through Oct 30 the public comment period for an application by U.S. banking giant Goldman Sachs Group Inc to acquire assets and liabilities from GE Capital Bank.,normal
GS,Goldman Sachs Group Inc (The),20151005,BRIEF-Monier Holdings to place around 3 mln Braas Monier shares -Goldman ,* Monier Holdings to place around 3 mln Braas Monier shares -Goldman   Further company coverage:,normal
HAL,Halliburton Company,20151005,RPT-UPDATE 3-U.S. says BP to pay $20 bln in fines for 2010 oil spill ,WASHINGTON  Oct 5 BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,normal
HAL,Halliburton Company,20151005,U.S. says BP to pay $20 bln in fines for 2010 oil spill , BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,normal
HAL,Halliburton Company,20151005,UPDATE 3-U.S. says BP to pay $20 bln in fines for 2010 oil spill ,WASHINGTON  Oct 5 BP Plc will pay more than $20 billion in fines to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago  marking the largest corporate settlement of its kind in U.S. history  Attorney General Loretta Lynch said on Monday.,normal
HSBC,HSBC Holdings plc,20151005,MOVES-HSBC names Mazi head of traded credit as Godall exits ,LONDON  Oct 5 (IFR) - HSBC has appointed Mehmet Emin Mazi as global head of traded credit  replacing Asif Godall  who has decided to leave the bank to pursue interests in fund management and technology  according to an internal memo seen by IFR.,topStory
HSEA,HSBC Holdings plc,20151005,MOVES-HSBC names Mazi head of traded credit as Godall exits ,LONDON  Oct 5 (IFR) - HSBC has appointed Mehmet Emin Mazi as global head of traded credit  replacing Asif Godall  who has decided to leave the bank to pursue interests in fund management and technology  according to an internal memo seen by IFR.,topStory
HSEB,HSBC Holdings plc,20151005,MOVES-HSBC names Mazi head of traded credit as Godall exits ,LONDON  Oct 5 (IFR) - HSBC has appointed Mehmet Emin Mazi as global head of traded credit  replacing Asif Godall  who has decided to leave the bank to pursue interests in fund management and technology  according to an internal memo seen by IFR.,topStory
PHG,Koninklijke Philips NV,20151005,BRIEF-Philips appoints Jan Kimpen as chief medical officer ,* Appoints Jan Kimpen as chief medical officer  Source text: http://philips.to/1Z2ZoYQ Further company coverage:    (Gdynia Newsroom),topStory
LYG,Lloyds Banking Group Plc,20151005,UPDATE 3-UK plans $3 bln Lloyds share sale to private investors ,* Lloyds says sale decision 'up to the government'   (Adds reaction from Lloyds  investors  Breakingviews link),topStory
LYG,Lloyds Banking Group Plc,20151005,European Factors to Watch-European equity futures rise ,(Adds futures prices  company news items)     LONDON  Oct 5 European equity futures rose on Monday  helped by gains on Asian and U.S equity markets overnight while energy stocks could also be lifted by firmer oil prices.     Futures for the euro zone's blue-chip Euro STOXX 50 index were up by 2.2 percent  while futures on Germany's DAX  France's CAC and Britain's FTSE 100 were up by around 2 percent.     Portuguese shares could also come under the spotlight  after Portugal's Portu,normal
LYG,Lloyds Banking Group Plc,20151005,UK government plans $3 bln Lloyds retail share sale in spring 2016 ,LONDON  Oct 5 Britain's finance ministry will sell at least 2 billion pounds ($3.04 billion) in Lloyds Banking Group to retail investors in spring 2016 as part of plans to return the bank to full private ownership  it said on Monday.,normal
LYG,Lloyds Banking Group Plc,20151005,BRIEF-HM Treasury says retail sale of Lloyds' shares to be launched next spring ,* HM Treasury announces today that a retail sale of Lloyds Banking Group shares will be launched next spring,normal
MTB,M&T Bank Corporation,20151005,Fitch Upgrades M&T Bank Corporation to 'A' Following Large Regional Bank Review; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has upgraded M&T Bank Corporation's  (MTB) Long-term IDRs and VR to 'A' from 'A-'. The Rating Outlook is Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corpo,topStory
MCD,McDonald&#39;s Corporation,20151005,UPDATE 1-Wendy's CEO Brolick to retire  to be succeeded by CFO Penegor ,Oct 5 U.S. burger chain Wendy's Co said on Monday its Chief Executive Emil Brolick would retire in May and named Chief Financial Officer Todd Penegor as his successor.,normal
NWL,Newell Brands Inc,20151005,Sharpie pen maker Newell to buy Elmer's for about $600 million ,Sharpie pen maker Newell Rubbermaid Inc said it would buy Elmer's Products Inc  owner of the popular school glue brand  for about $600 million.,topStory
NWL,Newell Brands Inc,20151005,UPDATE 1-Sharpie pen maker Newell to buy Elmer's for about $600 mln ,Oct 5 Sharpie pen maker Newell Rubbermaid Inc  said it would buy Elmer's Products Inc  owner of the popular school glue brand  for about $600 million.,normal
NWL,Newell Brands Inc,20151005,Newell Rubbermaid to buy Elmer's Products for about $600 mln ,Oct 5 Sharpie pen maker Newell Rubbermaid Inc  said it would acquire Elmer's Products Inc  owner of the popular school glue brand  for about $600 million.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151005,Brazil's Petrobras cuts spending plan on real  oil price slump ,SAO PAULO/RIO DE JANEIRO State-controlled Petróleo Brasileiro SA  struggling with the biggest debt load among global oil firms   on Monday cut capital spending plans for this year and next by $11 billion in the wake of a slump in Brazil's currency and in oil prices.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151005,UPDATE 1-Brazil's Petrobras cuts spending plan on real  oil price slump ,SAO PAULO/RIO DE JANEIRO  Oct 5 State-controlled Petróleo Brasileiro SA   struggling with the biggest debt load among global oil firms   on Monday cut capital spending plans for this year and next by $11 billion in the wake of a slump in Brazil's currency and in oil prices.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151005,Brazil's Petrobras cuts spending plan on real  oil price slump ,SAO PAULO  Oct 5 State-controlled Petróleo Brasileiro SA  on Monday cut spending plans for this and next year  in the wake of a sharp plunge in the value of Brazil's currency and international oil prices.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151005,LATAM WRAP-Petrobras bonds lead LatAm credits higher ,NEW YORK  Oct 5 (IFR) - The short-end of the Petrobras bond curve  which faced the brunt of a recent sell-off  continued to strengthen on Monday and gave a solid boost to LatAm credit markets.,normal
PNC,PNC Financial Services Group Inc (The),20151005,Fitch Affirms PNC Financial Services Group's LT IDR at 'A+' Following Large Regional Bank Review ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed PNC Financial Services  Group  Inc.'s (PNC) ratings at 'A+/F1+'. The Rating Outlook remains Stable. The  affirmation reflects the strong earnings profile  stable and diverse business  model  and its consistency of performance through time.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Cor,topStory
POT,Potash Corporation of Saskatchewan Inc,20151005,UPDATE 2-Potash Corp withdraws $8.9 bln bid for German rival K+S ,* Shares in K+S drop 25 percent   (Adds statement from K+S  shares closing price  adds link to Breakingviews column),topStory
POT,Potash Corporation of Saskatchewan Inc,20151005,K+S says positive on future after Potash Corp drops bid ,FRANKFURT  Oct 5 K+S said it remained upbeat on its long-term prospects after Potash Corp of Saskatchewan withdrew its 7.9 billion euro ($8.90 billion) offer for the German potash miner on Monday.,normal
POT,Potash Corporation of Saskatchewan Inc,20151005,RPT-UPDATE 2-Potash Corp withdraws $8.9 bln takeover bid for German peer K+S ,* K+S shares drop 24 percent   (Adds K+S shares  analyst comment),normal
POT,Potash Corporation of Saskatchewan Inc,20151005,BRIEF-K+S says Potash corporation of Saskatchewan withdraws proposal to launch public offer ,* Potash corporation of saskatchewan withdraws its proposal to launch public offer  Further company coverage:    (Frankfurt Newsroom),normal
POT,Potash Corporation of Saskatchewan Inc,20151005,Potash Corp withdraws offer for K+S ,Oct 4 Potash Corp of Saskatchewan said it has withdrawn its offer for German potash producer K+S   citing a decline in global commodity and equity markets and a lack of engagement by K+S management.,normal
RF,Regions Financial Corporation,20151005,Fitch Affirms Regions Financial Corporation's LT IDR at 'BBB' Following Large Regional Bank Review ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed Regions Financial  Corporation (RF)'s long-term Issuer Default Rating (IDR) at 'BBB'  reflecting  the company's good capital and liquidity profile  improving earnings  and  continued improvement in asset quality. The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica In,topStory
RENX,RELX NV,20151005,RELX agrees to sell Australian construction data unit-source ,LONDON  Oct 5 RELX   Europe's largest media group formerly known as Reed Elsevier  has agreed to sell its Australian construction data business Cordell as part of its drive to reshape its portfolio towards faster growing businesses.,topStory
RCI,Rogers Communication Inc,20151005,Canada's Rogers plans new-format HD sports push ,TORONTO Canada's Rogers Communications Inc said on Monday that it would broadcast live television in a high-definition standard known as "4K" by April next year  a move it hopes will woo viewers to an upgraded set-top box and faster Internet.,topStory
RCI,Rogers Communication Inc,20151005,Canada's Rogers plans new-format HD sports push ,TORONTO  Oct 5 Canada's Rogers Communications Inc said on Monday that it would broadcast live television in a high-definition standard known as "4K" by April next year  a move it hopes will woo viewers to an upgraded set-top box and faster Internet.,normal
SU,Suncor Energy  Inc,20151005,Suncor Energy launches $4.3 bln hostile bid for Canadian Oil Sands ,Suncor Energy Inc launched a hostile bid for Canadian Oil Sands Ltd on Monday  aimed at boosting its stake in the country's biggest synthetic crude project and cementing its position as the country's largest oil producer.,topStory
SU,Suncor Energy  Inc,20151005,Suncor Energy launches $4.3 billion hostile bid for Canadian Oil Sands ,Suncor Energy Inc launched a hostile bid for Canadian Oil Sands Ltd on Monday  aimed at boosting its stake in the country's biggest synthetic crude project and cementing its position as the country's largest oil producer.,normal
SU,Suncor Energy  Inc,20151005,UPDATE 6-Suncor Energy launches $4.3 bln hostile bid for Canadian Oil Sands ,* Suncor's all-stock offer valued at about C$4.3 billion   (Adds investment banker  investor comment  additional comment from Suncor CEO),normal
SU,Suncor Energy  Inc,20151005,CANADA STOCKS-TSX bounces higher on Suncor bid for Canadian Oil Sands ,TORONTO  Oct 5 Canada's main stock index jumped on Monday  as shares of Canadian Oil Sands surged 55 percent on a hostile bid by Suncor Energy Inc  its rival and co-producer in the country's oil sands industry.,normal
SU,Suncor Energy  Inc,20151005,CANADA STOCKS-TSX ends up as Suncor bid for oil sands rival boosts energy shares ,TORONTO  Oct 5 Canada's main stock index gained 1.6 percent on Monday  with the energy sector invigorated by heavyweight Suncor Energy Inc's  hostile bid for Canadian Oil Sands Ltd  a rival and co-producer.,normal
SU,Suncor Energy  Inc,20151005,Canadian Oil Sands set to reject Suncor takeover bid -source ,TORONTO  Oct 5 Canadian Oil Sands is set to reject a hostile takeover bid from rival Suncor Energy   according to a source who is familiar with the situation.,normal
SU,Suncor Energy  Inc,20151005,CANADA STOCKS-Oil sands takeover bid helps TSX bounce higher ,TORONTO  Oct 5 Canada's main stock index jumped on Monday  with Canadian Oil Sands catapulting 47 percent higher on Suncor Energy Inc's hostile C$4.3 billion ($3.3 billion) bid for its rival and co-producer in the country's oil sands industry.,normal
SU,Suncor Energy  Inc,20151005,Suncor expects Imperial Oil to continue to run Syncrude project ,CALGARY  Alberta  Oct 5 Suncor Energy  chief executive Steve Williams said on Monday he expected Imperial Oil would continue to run the Syncrude joint venture oil sands project even if Suncor's hostile bid for Canadian Oil Sands Ltd is successful.,normal
SU,Suncor Energy  Inc,20151005,CANADA STOCKS-TSX jumps on Suncor bid for Canadian Oil Sands ,TORONTO  Oct 5 Canada's main stock index jumped at the open on Monday  with Canadian Oil Sands  catapulting 46 percent higher on Suncor Energy Inc's  hostile bid for its rival and co-producer in the country's oil sands industry.,normal
SU,Suncor Energy  Inc,20151005,Suncor launches unsolicited offer to buy Canadian Oil Sands for C$4.3 bln ,Oct 5 Suncor Energy Inc launched an unsolicited tender offer to buy Canadian Oil Sands Ltd  in an all-stock deal valued at about C$4.3 billion ($3.29 billion).,normal
STI,SunTrust Banks Inc,20151005,Fitch Upgrades SunTrust Banks Inc. LT IDR to 'A-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) NEW YORK  October 05 (Fitch) Fitch Ratings has upgraded SunTrust Banks Inc.'s  (STI) ratings to 'A-' from 'BBB+'. The Rating Outlook has been revised to Stable  from Positive. The upgrade reflects an improved earnings profile that has  converged to peer averages  good asset quality performance  and continual  enhancements to the company's balanced and diverse business mix. The rating action follows a periodic review of the large regiona,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151005,BRIEF-Taiwan's TSMC orders facility  equipment for a combined T$2.56 bln ,* Says orders machinery equipment from Tokyo Electron Ltd  and Applied Materials South East Asia Pte Ltd for T$1.23 billion  ($37.57 million),topStory
TTM,Tata Motors Ltd,20151005,French carmaker Peugeot says no plan for swift return to India ,NEW DELHI/PARIS PSA Peugeot Citroen has no plans to re-enter India's car market any time soon  a company spokesman told Reuters  after an Indian newspaper reported that the French carmaker is in talks with Tata Motors to form a local partnership.,topStory
TTM,Tata Motors Ltd,20151005,French carmaker Peugeot says no plan for swift return to India ,NEW DELHI/PARIS  Oct 5 PSA Peugeot Citroen  has no plans to re-enter India's car market any time soon  a company spokesman told Reuters  after an Indian newspaper reported that the French carmaker is in talks with Tata Motors to form a local partnership.,normal
SCHW,The Charles Schwab Corporation,20151005,U.S. top court rejects Charles Schwab appeal in breach-of-contract dispute ,WASHINGTON The U.S. Supreme Court on Monday left intact an appeals court decision that allowed a financial adviser to sue Charles Schwab Corp over allegations that the brokerage firm deviated from objectives set for a mutual fund  costing investors millions of dollars in losses.,topStory
SCHW,The Charles Schwab Corporation,20151005,U.S. top court rejects Charles Schwab appeal in breach-of-contract dispute ,WASHINGTON The U.S. Supreme Court on Monday left intact an appeals court decision that allowed a financial adviser to sue Charles Schwab Corpover allegations that the brokerage firm deviated from objectives set for a mutual fund  costing investors millions of dollars in losses.,normal
SCHW,The Charles Schwab Corporation,20151005,UPDATE 1-U.S. top court rejects Charles Schwab appeal in breach-of-contract dispute ,WASHINGTON  Oct 5 The U.S. Supreme Court on Monday left intact an appeals court decision that allowed a financial adviser to sue Charles Schwab Corp over allegations that the brokerage firm deviated from objectives set for a mutual fund  costing investors millions of dollars in losses.,normal
SCHW,The Charles Schwab Corporation,20151005,U.S. top court rejects Charles Schwab appeal in breach-of-contract dispute ,WASHINGTON  Oct 5 The U.S. Supreme Court on Monday left intact an appeals court decision that allowed a financial adviser to sue Charles Schwab Corp over allegations that the brokerage firm deviated from objectives set for a mutual fund  costing investors millions of dollars in losses.,normal
TM,Toyota Motor Corp Ltd Ord,20151005,UPDATE 1-Thai industry-wide auto sales may slide as much as 15 pct this year ,BANGKOK  Oct 5 Thailand's industry-wide auto sales could fall as much 15 percent in 2015 and mark a third consecutive year of sales declines  according to Toyota Motor Corp's Thai unit.,topStory
TM,Toyota Motor Corp Ltd Ord,20151005,CORRECTED-Thailand auto sales seen falling short of forecast - Toyota ,BANGKOK  Oct 5 Sales in Thailand's automotive industry are expected to fall to 750 000-760 000 cars this year from 800 000 projected in July  Toyota Motor Corp's  Thai unit said on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20151005,Thailand auto sales seen falling short of forecast - Toyota ,BANGKOK  Oct 5 Sales in Thailand's automotive industry are expected to fall to 745 000 cars this year from 800 000 projected in July  Toyota Motor Corp's Thai unit said on Monday.,normal
TGI,Triumph Group Inc,20151005,Islamic State militants blow up ancient Arch of Triumph in Palmyra ,DAMASCUS The United Nations cultural organisation condemned the latest destruction by Islamic State of ancient monuments in Syria's 2 000-year-old Roman city of Palmyra  saying it showed they were terrified of history.,topStory
TWTR,Twitter Inc,20151005,Twitter appoints Jack Dorsey CEO  seeks new chairman ,Twitter Inc  named Jack Dorsey as its permanent CEO but said it would look elsewhere for a chairman  seeking to allay concerns about its co-founder's dual role as head of the mobile payments company Square. | Video ,topStory
TWTR,Twitter Inc,20151005,Twitter appoints Jack Dorsey CEO  seeks new chairman ,Twitter Inc named Jack Dorsey as its permanent CEO but said it would look elsewhere for a chairman  seeking to allay concerns about its co-founder's dual role as head of the mobile payments company Square.,normal
TWTR,Twitter Inc,20151005,UPDATE 4-Twitter appoints Jack Dorsey CEO  seeks new chairman ,* Shares rise as much as 6 percent   (Adds details  investor and analyst comment  updates share price),normal
USB,US Bancorp,20151005,Fitch Upgrades U.S. Bancorp's L-T IDR at 'AA' Following Large Regional Bank Review; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has upgraded U.S. Bancorp's (USB)  long-term Issuer Default Rating (IDR) to 'AA' from 'AA-'. The Rating Outlook is  Stable. With this upgrade  USB's ratings are at the top of Fitch's global bank  rating universe. The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (C,topStory
UN,Unilever NV,20151005,UPDATE 2-Nestle confirms in talks to merge international ice cream ops with R&R ,* Transaction could be worth 3 bln euros -source   (Adds analyst comments),normal
VMW,Vmware Inc,20151005,VMware shares pare gains after report Apple not renewing licensing agreement ,NEW YORK VMware shares sharply pared gains on Monday after CRN reported Apple will not renew an expiring VMware enterprise licensing agreement.,topStory
WFC,Wells Fargo & Company,20151005,Fitch Affirms Wells Fargo & Company's LT IDR at 'AA-' Following Large Regional Bank Review ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed Wells Fargo & Company's  (WFC) ratings at 'AA-/F1+' and Wells Fargo Bank  N.A.'s ratings at 'AA/F1+'. The  Rating Outlook remains Stable. The affirmation reflects the company's superior  earnings profile  solid and consistent management team  and strength of its  franchise across many business lines.  The rating action follows a periodic review of the large regional banking group   ,topStory
XRX,Xerox Corporation,20151005,Xerox CFO Mikells moves to Diageo ,LONDON  Oct 5 Diageo has hired Kathryn Mikells from Xerox as its new chief financial officer  it said on Monday  as the world's largest spirits company navigates its way through a downturn.,topStory
XRX,Xerox Corporation,20151005,BRIEF-Diageo names Xerox's Kathryn Mikells as CFO ,* Mikells joins from Xerox Corporation  where she is currently CFO  a position she has held since May 2013  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom + 91 80 6749 1136),normal
ZBK,Zions Bancorporation,20151005,Fitch Affirms Zions Bancorp.'s LT IDR at 'BBB-' Following Large Regional Bank Review; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  October 05 (Fitch) Fitch Ratings has affirmed Zions Bancorporation's  (ZION) ratings at 'BBB-/F3'. The Rating Outlook remains Stable.  The rating action follows a periodic review of the large regional banking group   which includes BB&T Corporation (BBT)  Capital One Finance Corporation (COF)   Comerica Incorporated (CMA)  Fifth Third Bancorp (FITB)  Huntington Bancshares  Inc. (HBAN)  Keycorp (KEY)  M&T Bank Corporation (MTB) ,topStory
IMO,Imperial Oil Limited,20151005,Suncor expects Imperial Oil to continue to run Syncrude project ,CALGARY  Alberta  Oct 5 Suncor Energy  chief executive Steve Williams said on Monday he expected Imperial Oil would continue to run the Syncrude joint venture oil sands project even if Suncor's hostile bid for Canadian Oil Sands Ltd is successful.,topStory
