ALGT,Allegiant Travel Company,20150402,U.S. judge orders temporary block of Allegiant Air pilot strike ,A U.S. judge on Wednesday issued an order temporarily blocking Allegiant Air pilots from striking after they announced a Thursday walkout.,topStory
IBM,International Business Machines Corporation,20150402,IBM uncovers new  sophisticated bank transfer cyber scam ,SEATTLE  April 2 IBM has uncovered a sophisticated fraud scheme run by a well- funded Eastern European gang of cyber criminals that uses a combination of phishing  malware and phone calls that the technology company says has netted more than $1 million from large and medium-sized U.S. companies.,normal
IBM,International Business Machines Corporation,20150402,Deals of the day- Mergers and acquisitions ,April 2 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Thursday:,normal
IBM,International Business Machines Corporation,20150402,IBM forges mobile app partnership with China Telecom ,BEIJING International Business Machines (IBM)  has struck a deal with China Telecom Corp Ltd  to offer and manage corporate-grade mobile apps  the latest in a string of tie-ups with Chinese firms.,normal
IBM,International Business Machines Corporation,20150402,IBM forges mobile app partnership with China Telecom ,BEIJING  April 2 International Business Machines (IBM) has struck a deal with China Telecom Corp Ltd  to offer and manage corporate-grade mobile apps  the latest in a string of tie-ups with Chinese firms.,normal
ITUB,Itau Unibanco Banco Holding SA,20150402,TABLE-Rothschild  Itaú BBA top Brazil 1st-quarter M&A rankings ,(Click on for a story on Thomson Reuters' first-quarter M&A rankings for Brazil in terms of deal value and number of deals)     SAO PAULO  April 2 The value of mergers and acquisitions in Brazil in the first quarter slipped to its lowest in two years  as slumping confidence and an economic downturn prevented buyers and sellers from finalizing deals in Latin America's largest economy.     In the year through March 31  companies showed $8.51 billion worth of corporate takeovers in B,topStory
LL,Lumber Liquidators Holdings Inc,20150402,Lumber Liquidators sales beat suggests fading carcinogen concerns ,Lumber Liquidators Holdings Inc's  quarterly sales topped analysts' lowered expectations  indicating that the impact from allegations that its laminate flooring products were unsafe was fading.,topStory
LL,Lumber Liquidators Holdings Inc,20150402,UPDATE 2-Lumber Liquidators sales beat suggests fading carcinogen concerns ,* Shares rise as much as 6.5 pct   (Adds analyst comment; updates shares),normal
LL,Lumber Liquidators Holdings Inc,20150402,Lumber Liquidators March same-store sales fall 17.8 pct ,April 2 Lumber Liquidators Holdings Inc  posted a drop in sales of its hardwood flooring products in March after a media report alleged that the company's laminates had higher-than-permitted levels of a cancer-causing substance.,normal
MAC,Macerich Company (The),20150402,Activist investor nominates directors to Macerich board - source ,April 2 Activist investor Jonathan Litt has nominated four directors to Macerich Co's board after the U.S. mall owner rejected a takeover bid from larger rival Simon Property Group Inc  a person familiar with the situation said.,topStory
MAC,Macerich Company (The),20150402,Simon Property to buy back $2 bln in stock after Macerich snub ,April 2 Simon Property Group Inc  the largest U.S. shopping mall owner  said it would buy back $2 billion in stock  less than 48 hours after scrapping an attempt to buy rival Macerich Co.,normal
MCD,McDonald&#39;s Corporation,20150402,McDonald's wage plan renews debate on independence of franchisees ,NEW YORK/LOS ANGELES McDonald's Corp's announcement that it will raise the average pay at its company-operated U.S. restaurants threatens to complicate an ongoing labor dispute that turns on whether McDonald's can be held responsible for the labor violations of its franchisees.,topStory
MCD,McDonald&#39;s Corporation,20150402,McDonald's wage plan renews debate on independence of franchisees ,NEW YORK/LOS ANGELES McDonald's Corp's  announcement that it will raise the average pay at its company-operated U.S. restaurants threatens to complicate an ongoing labor dispute that turns on whether McDonald's can be held responsible for the labor violations of  its franchisees.,normal
MCD,McDonald&#39;s Corporation,20150402,McDonald's wage plan renews debate on independence of franchisees ,NEW YORK/LOS ANGELES McDonald's Corp's  announcement that it will raise the average pay at its company-operated U.S. restaurants threatens to complicate an ongoing labor dispute that turns on whether McDonald's can be held responsible for the labor violations of  its franchisees.,normal
MCD,McDonald&#39;s Corporation,20150402,McDonald's wage plan renews debate on independence of franchisees ,NEW YORK/LOS ANGELES  April 2 McDonald's Corp's  announcement that it will raise the average pay at its company-operated U.S. restaurants threatens to complicate an ongoing labor dispute that turns on whether McDonald's can be held responsible for the labor violations of  its franchisees.,normal
MCD,McDonald&#39;s Corporation,20150402,McDonald's raising average worker wage to about $10 an hour ,LOS ANGELES McDonald's Corp  plans to raise the average pay of about 90 000 U.S. workers to around $10 an hour  but the increase will not benefit workers at the vast majority of the restaurants  because they are operated by franchisees  who make their own wage decisions.,normal
MDT,Medtronic plc,20150402,Medtronic to pay $4.41 million in settlement: Justice department ,WASHINGTON Medtronic PLC has agreed to pay $4.41 million to resolve allegations that it unlawfully sold medical devices manufactured abroad  the U.S. Justice Department said on Thursday.,topStory
MDT,Medtronic plc,20150402,Medtronic to pay $4.41 million in settlement -U.S. Justice department ,WASHINGTON  April 2 Medtronic PLC has agreed to pay $4.41 million to resolve allegations that it unlawfully sold medical devices manufactured abroad  the U.S. Justice Department said on Thursday.,normal
NEE,NextEra Energy Inc,20150402,NextEra's Hawaii deal faces big concerns from solar players ,NextEra Energy Inc's  $4.3 billion plan to buy Hawaiian Electric Industries Inc  has made solar companies uneasy  worried that the deal would reverse the island state's push to decentralize its power grid.,topStory
NEE,NextEra Energy Inc,20150402,NextEra's Hawaii deal faces big concerns from solar players ,April 1 NextEra Energy Inc's $4.3 billion plan to buy Hawaiian Electric Industries Inc has made solar companies uneasy  worried that the deal would reverse the island state's push to decentralize its power grid.,normal
OXY,Occidental Petroleum Corporation,20150402,U.S. oil rig count cull eases  approaches low point ,NEW YORK Two weeks of thin declines in the U.S. rig count have raised expectations that drilling activity is nearing a pivotal level that could dent production  bolster prices and coax idle rigs back to the field after a precipitous cull since October.,topStory
PTR,PetroChina Company Limited,20150402,China sells Australia-spec gasoline cargo  eyes growing market ,* PetroChina sold rare Australian grade gasoline to Chevron last month - source,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150402,Brazil's Petrobras says still has no date for earnings release ,SAO PAULO  April 2 Brazil's state-run oil company Petroleo Brasileiro SA has no defined date to publish its audited third-quarter earnings report  it said in a securities' filing on Thursday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150402,Brazil court accepts OAS request for creditor protection ,SAO PAULO  April 2 A Brazilian state court accepted a bankruptcy protection request filed by engineering conglomerate Grupo OAS for nine of its units  in the largest corporate failure yet related to the snowballing Petróleo Brasileiro SA corruption scandal.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150402,UPDATE 1-BM&FBovespa unveils plan to hone governance for Brazil state firms ,SAO PAULO  April 2 Financial bourse BM&FBovespa SA presented on Thursday a plan to strengthen corporate governance rules for Brazilian state-controlled companies  in response to a corruption scandal engulfing oil producer Petróleo Brasileiro SA.,normal
PFE,Pfizer Inc,20150402,Pfizer to shutter vaccines sales business in China ,SHANGHAI  April 2 U.S. drugmaker Pfizer Inc  said on Thursday it will cease its vaccines sales operations in China after an import licence for one of its top-selling treatments  the only vaccine it sold in the country  was not renewed.,topStory
PAA,Plains All American Pipeline LP,20150402,Plains's Cactus pipeline startup to strengthen Midland differentials ,NEW YORK The start up of Plains All American Pipeline's 250 000 barrel-per-day Cactus Pipeline this week  moving crude from the Permian Basin to the U.S. Gulf Coast  will likely prop up Midland differentials  traders say.,topStory
RELX,RELX PLC,20150402,Fitch Downgrades Reed Elsevier to 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) LONDON  April 02 (Fitch) Fitch Ratings has downgraded Reed Elsevier PLC's and  Reed Elsevier NV's (together  Reed) Long-term Issuer Default Ratings (IDR) to  'BBB+' from 'A-'. The Outlook is Stable. A full list of rating actions is  available below. Reed's core business portfolio continues to perform strongly and in line with  Fitch's expectations.   The downgrade in Reed's ratings is triggered by management's propensity to  accept slig,topStory
RBS,Royal Bank Scotland plc (The),20150402,Mizuho to hire 200 RBS employees to build U.S. unit ,NEW YORK Mizuho Bank [MZFGEU.UL] is expected to hire roughly 200 Royal Bank of Scotland [RBSRB.UL] employees as early as next week following its agreement to buy RBS's U.S. and Canadian $36.5 billion loan portfolio  banking sources told Thomson Reuters LPC and IFR.,topStory
RBS,Royal Bank Scotland plc (The),20150402,TRLPC-Mizuho's RBS portfolio purchase tests loan relationships ,NEW YORK  April 2 Mizuho Bank's purchase of Royal Bank of Scotland's US and Canadian loan portfolio in a deal worth $3 billion is causing a stir with banks and blue-chip borrowers in the US investment-grade loan market.,normal
SNY,Sanofi,20150402,BRIEF-Schrödinger signs $120 million deal with Sanofi - Schrödinger ,* Announced a collaboration agreement with Sanofi  of $120 million,topStory
SPG,Simon Property Group Inc,20150402,Activist investor nominates directors to Macerich board - source ,April 2 Activist investor Jonathan Litt has nominated four directors to Macerich Co's board after the U.S. mall owner rejected a takeover bid from larger rival Simon Property Group Inc  a person familiar with the situation said.,topStory
SPG,Simon Property Group Inc,20150402,Simon Property to buy back $2 bln in stock after Macerich snub ,April 2 Simon Property Group Inc  the largest U.S. shopping mall owner  said it would buy back $2 billion in stock  less than 48 hours after scrapping an attempt to buy rival Macerich Co.,normal
SNE,Sony Corp Ord,20150402,Nikkei rises more than 1.5 pct on short-covering; BOJ buying helps mood ,* BOJ bought ETFs worth 35.2 bln yen on Wednesday     * Olympus dives to near 1-month low after Sony halves stake     * Mobile application providers jump after Nikkei says Line files 2nd time to go public      By Ayai Tomisawa     TOKYO  April 2 Japan's Nikkei share average rose more than 1.5 percent on Thursday morning  rebounding from Wednesday's three-week low   helped by short-covering and hopes that the central bank is buying stocks.     The Nikkei benchmark added 296.42 points ,topStory
SF,Stifel Financial Corporation,20150402,MOVES-Baring Asset Management  Westhouse Securities  Berkshire Bank ,April 2 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
SU,Suncor Energy  Inc,20150402,CANADA STOCKS-TSX rises as U.S. data  energy shares offer support ,TORONTO  April 2 Canada's main stock index rose on Thursday as shares of energy producers held on to gains despite falling oil prices  while most other major sectors were lifted by positive U.S. economic data.,topStory
SU,Suncor Energy  Inc,20150402,Canada's Suncor Energy says to implement operating budget cuts in 2015 ,April 1 Canada's largest oil and gas company Suncor Energy Inc said on Wednesday that it expected to largely implement operating budget cuts of C$600 million ($476 million) to C$800 million in 2015  ahead of the previously projected two-year period.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150402,BRIEF-TSMC orders equipment from Screen Semiconductor and KLA-Tencor for T$1.13 bln ,April 2 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TGT,Target Corporation,20150402,States ask U.S. Congress to launch inquiry of herbal supplements ,NEW YORK A group of 14 state attorneys general on Thursday asked the U.S. Congress to investigate the herbal supplements industry after a New York probe of the products turned up ingredients that were not listed on labels and raised safety concerns.,normal
TGT,Target Corporation,20150402,States ask U.S. Congress to launch inquiry of herbal supplements ,NEW YORK  April 2 A group of 14 state attorneys general on Thursday asked the U.S. Congress to investigate the herbal supplements industry after a New York probe of the products turned up ingredients that were not listed on labels and raised safety concerns.,normal
TI,Telecom Italia SPA,20150402,Italian state-backed lender ready to buy out Metroweb if stake unsold ,ROME Italian state-backed lender Cassa Depositi e Prestiti would be ready to buy out Metroweb if no buyer is found when Italian fund F2i decides to sell its stake  CDP Chairman Franco Bassanini said on Thursday.,topStory
TEF,Telefonica SA,20150402,BRIEF-Comptel wins deal with New Telefonica Group Customer in South America ,* Comptel has won deal with New Telefonica Group Customer in South America,topStory
BX,The Blackstone Group LP,20150402,Investment banking fees fall 8 pct in weakest Q1 since 2012 ,April 2 Global investment banking fees fell 8 percent to $20 billion in the first quarter  the poorest start to the year since 2012  hurt by weak deal activity in Europe  Asia Pacific and Japan.,normal
TM,Toyota Motor Corp Ltd Ord,20150402,URGENT-Toyota to build 2 new Mexican  Chinese plants -Nikkei ,MEXICO CITY  April 2 Japanese car giant Toyota Motor Corp is planning two new factories in Mexico and China  at a cost of 150 billion yen ($1.25 billion)  Nikkei reported on Thursday.,topStory
TM,Toyota Motor Corp Ltd Ord,20150402,Hess is mirroring Toyota manufacturing process to slash well costs ,DENVER  April 2 Oil producer Hess Corp  has turned to a manufacturing process developed by automaker Toyota Motor Corp to cut costs and boost production as crude oil prices lag.,normal
TRP,TransCanada Corporation,20150402,UPDATE 3-TransCanada scraps Quebec oil port  delays Energy East pipeline ,CALGARY  Alberta  April 2 TransCanada Corp   the company behind the controversial Keystone XL pipeline  is scrapping plans for a Quebec oil-export terminal because of danger to whales in the St. Lawrence River  a move that is a victory for environmentalists and which delays the company's C$12 billion ($9.5 billion) Energy East pipeline project.,topStory
TRP,TransCanada Corporation,20150402,TransCanada says won't build oil terminal at Cacouna  Quebec ,April 2 TransCanada Corp said it had scrapped plans to build a marine oil export terminal at Cacouna in Quebec as part of its Energy East pipeline project due to environmental concerns and would look for another site for the terminal in the province.,normal
UTX,United Technologies Corporation,20150402,Robert Leduc returns to United Tech as Sikorsky president ,United Technologies Corp  said it brought back Robert Leduc to be president of its Sikorsky helicopter unit  which the company is planning to spin off.,topStory
UTX,United Technologies Corporation,20150402,CORRECTED-Robert Leduc returns to United Tech as Sikorsky president ,April 2 United Technologies Corp said it brought back Robert Leduc to be president of its Sikorsky helicopter unit  which the company is planning to spin off.,normal
WMT,Wal-Mart Stores Inc,20150402,Wal-Mart support of gay rights turns on business ,CHICAGO The chief executive of Wal-Mart Stores Inc has emerged as an unlikely voice for gay rights after the Arkansas governor heeded his call on Wednesday to reject a much-criticized bill.,topStory
WMT,Wal-Mart Stores Inc,20150402,States ask U.S. Congress to launch inquiry of herbal supplements ,NEW YORK A group of 14 state attorneys general on Thursday asked the U.S. Congress to investigate the herbal supplements industry after a New York probe of the products turned up ingredients that were not listed on labels and raised safety concerns.,normal
WMT,Wal-Mart Stores Inc,20150402,States ask U.S. Congress to launch inquiry of herbal supplements ,NEW YORK  April 2 A group of 14 state attorneys general on Thursday asked the U.S. Congress to investigate the herbal supplements industry after a New York probe of the products turned up ingredients that were not listed on labels and raised safety concerns.,normal
WMT,Wal-Mart Stores Inc,20150402,Arkansas governor seeks fix of religion bill seen as targeting gays ,LITTLE ROCK  Ark. Arkansas Governor Asa Hutchinson told lawmakers on Wednesday to revise a bill that rights activists and U.S. businesses said allowed discrimination against gays  and home-state corporate giant Wal-Mart Stores Inc  praised his action.,normal
WMT,Wal-Mart Stores Inc,20150402,Arkansas governor seeks fix of religion bill seen as targeting gays ,LITTLE ROCK  Ark. Arkansas Governor Asa Hutchinson told lawmakers on Wednesday to revise a bill that rights activists and U.S. businesses said allowed discrimination against gays  and home-state corporate giant Wal-Mart Stores Inc  praised his action.,normal
WMT,Wal-Mart Stores Inc,20150402,UPDATE 5-Arkansas governor seeks fix of religion bill seen as targeting gays ,LITTLE ROCK  Ark.  April 1 Arkansas Governor Asa Hutchinson told lawmakers on Wednesday to revise a bill that rights activists and U.S. businesses said allowed discrimination against gays  and home-state corporate giant Wal-Mart Stores Inc  praised his action.,normal
PARR,Par Pacific Holdings Inc,20150402,Par wraps up Mid Pac takeover in Hawaii ,Par Petroleum Corp  today announced the completion of the acquisition of Hawaii based Mid Pac Petroleum  LLC.,topStory
PARR,Par Pacific Holdings Inc,20150402,Par wraps up Mid Pac takeover in Hawaii ,April 2 Par Petroleum Corp today announced the completion of the acquisition of Hawaii based Mid Pac Petroleum  LLC.,normal
