ADMA,ADMA Biologics Inc,20150930,BRIEF-Biotest continues cooperation with ADMA Biologics for RSV Hyperimmunoglobulin RI-002 ,* Continues cooperation with ADMA Biologics  Inc. for RSV Hyperimmunoglobulin RI-002,topStory
GS,Goldman Sachs Group Inc (The),20150930,Goldman Sachs reshuffles leadership team for Russia/CIS ,MOSCOW  Sept 30 U.S. investment bank Goldman Sachs has reshuffled its leadership team for its business in Russia and the former Soviet Union  an internal memo seen by Reuters said.,topStory
GS,Goldman Sachs Group Inc (The),20150930,Asia Pacific ECM deals tumble in Q3 on China market rout ,HONG KONG  Sept 30 Deals in Asia ex-Japan equity capital markets (ECM) tumbled in the third quarter as investors shunned new listings and other types of share offerings after the rout in Chinese stock markets  Thomson Reuters data showed.     Proceeds from equity deals in the region's stock exchanges sank 57 percent quarter-on-quarter to $42.2 billion  according to the preliminary data released on Wednesday.     The volume of initial public offerings during the quarter fell to its lo,normal
HAL,Halliburton Company,20150930,RPT-U.S. mutual funds that bet bigger on energy sector get burned ,BOSTON  Sept 30 One-in-four U.S. large-cap mutual funds have increased their stakes in energy companies this year and many have suffered heavier losses than their peers as a result of ill-timed bets.,normal
HAL,Halliburton Company,20150930,U.S. mutual funds that bet bigger on energy sector get burned ,BOSTON  Sept 30 One-in-four U.S. large-cap mutual funds have increased their stakes in energy companies this year and many have suffered heavier losses than their peers as a result of ill-timed bets.,normal
HSBC,HSBC Holdings plc,20150930,HSBC must face Chicago predatory lending lawsuit: judge ,HSBC Holdings Plc must face a lawsuit accusing the British bank of violating the U.S. Fair Housing Act by engaging in predatory mortgage lending in the Chicago area  a federal judge in that city ruled on Wednesday.,topStory
HSBC,HSBC Holdings plc,20150930,HSBC must face Chicago predatory lending lawsuit - judge ,Sept 30 HSBC Holdings Plc must face a lawsuit accusing the British bank of violating the U.S. Fair Housing Act by engaging in predatory mortgage lending in the Chicago area  a federal judge in that city ruled on Wednesday.,normal
HSEA,HSBC Holdings plc,20150930,HSBC must face Chicago predatory lending lawsuit: judge ,HSBC Holdings Plc must face a lawsuit accusing the British bank of violating the U.S. Fair Housing Act by engaging in predatory mortgage lending in the Chicago area  a federal judge in that city ruled on Wednesday.,topStory
HSEA,HSBC Holdings plc,20150930,HSBC must face Chicago predatory lending lawsuit - judge ,Sept 30 HSBC Holdings Plc must face a lawsuit accusing the British bank of violating the U.S. Fair Housing Act by engaging in predatory mortgage lending in the Chicago area  a federal judge in that city ruled on Wednesday.,normal
HSEB,HSBC Holdings plc,20150930,HSBC must face Chicago predatory lending lawsuit: judge ,HSBC Holdings Plc must face a lawsuit accusing the British bank of violating the U.S. Fair Housing Act by engaging in predatory mortgage lending in the Chicago area  a federal judge in that city ruled on Wednesday.,topStory
HSEB,HSBC Holdings plc,20150930,HSBC must face Chicago predatory lending lawsuit - judge ,Sept 30 HSBC Holdings Plc must face a lawsuit accusing the British bank of violating the U.S. Fair Housing Act by engaging in predatory mortgage lending in the Chicago area  a federal judge in that city ruled on Wednesday.,normal
JPM,J P Morgan Chase & Co,20150930,Nigeria to reissue 10-year bond after JP Morgan index expulsion ,LAGOS  Sept 30 Nigeria plans to re-issue its five- and 10-year bonds in the last quarter of the year to raise up to 270 billion naira after JP Morgan's index on Wednesday delisted half of the maturities belonging to Africa's biggest economy.,topStory
JPM,J P Morgan Chase & Co,20150930,DEALS-Third-quarter M&A near record despite market jitters ,NEW YORK/LONDON  Sept 29 Mergers and acquisitions globally exceeded $1 trillion in value in the third quarter of 2015  the third highest on record  as a stock market plunge and more expensive debt financing did not prevent big companies from going ahead with their dream deals.,normal
LMT,Lockheed Martin Corporation,20150930,UPDATE 1-Pentagon warns against further consolidation among big arms makers ,WASHINGTON  Sept 30 Pentagon officials warned on Wednesday against further consolidation in the U.S. weapons industry because fewer defense contractors could lead to higher costs  decreased innovation and less competition.,topStory
LMT,Lockheed Martin Corporation,20150930,Lockheed-Boeing launch venture wins $882 million U.S. contract ,WASHINGTON United Launch Alliance  a joint venture of Lockheed Martin Corp  and Boeing Co   has won an $882 million contract to continue launching satellites for the U.S. Air Force with its Delta IV and Atlas V rockets  the Pentagon said Tuesday.,normal
LMT,Lockheed Martin Corporation,20150930,UPDATE 1-Lockheed-Boeing launch venture wins $882 mln U.S. contract ,WASHINGTON  Sept 29 United Launch Alliance  a joint venture of Lockheed Martin Corp and Boeing Co   has won an $882 million contract to continue launching satellites for the U.S. Air Force with its Delta IV and Atlas V rockets  the Pentagon said Tuesday.,normal
MTB,M&T Bank Corporation,20150930,UPDATE 2-Fed OKs M&T's acquisition of Hudson City Bancorp ,WASHINGTON  Sept 30 The Federal Reserve said on Wednesday it had approved M&T Bank Corp's acquisition of Hudson City Bancorp Inc  three years after the deal was first proposed.,topStory
MTB,M&T Bank Corporation,20150930,Fed OKs M&T's acquisition of Hudson City Bancorp ,The Federal Reserve said on Wednesday it had approved M&T Bank Corp's acquisition of Hudson City Bancorp Inc  three years after the deal was first proposed.,normal
MA,Mastercard Incorporated,20150930,UPDATE 1-China forex regulator says to cap overseas cash withdrawals ,* New restrictions also apply to Visa  MasterCard   (Adds details  quotes),topStory
MDP,Meredith Corporation,20150930,Activist investor Starboard builds 3.7 pct stake in Advance Auto-WSJ ,Sept 30 Activist investor Starboard Value LP has built a 3.7 percent stake in automotive parts maker Advance Auto Parts Inc  the Wall Street Journal reported.,normal
MFG,Mizuho Financial Group Inc,20150930,UPDATE 1-Japan's Mizuho  Dai-ichi Life to combine asset management operations ,* Over half of Japan households' $14 trln assets in cash  deposits   (Adds details of deal and context),topStory
MFG,Mizuho Financial Group Inc,20150930,Mizuho  Dai-ichi Life to set up new asset management company ,TOKYO  Sept 30 Mizuho Financial Group Inc  will merge its asset management units under a new company to be set up with Dai-Ichi Life Insurance Co  the companies said on Wednesday.,normal
MFG,Mizuho Financial Group Inc,20150930,Japan's Mizuho takes 16 percent stake in Matthews Asia ,TOKYO  Sept 30 Mizuho Financial Group Inc  said on Wednesday it will buy a 16 percent stake in Asia-focused asset manager Matthews International Capital Management LLC.,normal
MSCI,MSCI Inc,20150930,UPDATE 2-MSCI to keep Peru bourse in 'emerging market' group for now ,LIMA  Sept 30 Index provider MSCI Inc  opted on Wednesday to keep Peru's bourse in its "emerging market" group but warned it might downgrade the stock exchange to a higher-risk "frontier" status in nine months if liquidity sinks further.,topStory
MSCI,MSCI Inc,20150930,MSCI says to keep Peru bourse in 'emerging market' group for now ,LIMA  Sept 30 MSCI Inc said on Wednesday it decided not to reclassify Peru's bourse as a "frontier market" from its current "emerging market" status but will reevaluate a potential downgrade to the higher-risk group next year.,normal
NAV,Navistar International Corporation,20150930,GM and Navistar to develop and make commercial trucks ,U.S. automaker General Motors Co said on Wednesday it will jointly develop and assemble medium-duty commercial vehicles with truck and engine maker Navistar International Corp.,topStory
NAV,Navistar International Corporation,20150930,GM and Navistar join to develop and make commercial trucks ,Sept 30 General Motors Co said it will jointly develop and assemble medium-duty commercial vehicles with truck and engine maker Navistar International Corp.,normal
NOK,Nokia Corporation,20150930,BRIEF-Nokia to issue shares to employees ,* says board of directors resolved on a directed share issuance to Nokia employees participating in the employee share purchase plan 2014,topStory
NOC,Northrop Grumman Corporation,20150930,Northrop wins U.S. Global Hawk drone contract worth up to $3.2 billion ,WASHINGTON Northrop Grumman Corp  has won a contract worth up to $3.2 billion for continued development  modernization and maintenance of all U.S. Air Force variants of the Global Hawk unmanned surveillance plane  the Pentagon said on Wednesday.,topStory
NOC,Northrop Grumman Corporation,20150930,UPDATE 1-Northrop wins U.S. Global Hawk drone contract worth up to $3.2 bln ,WASHINGTON  Sept 30 Northrop Grumman Corp  has won a contract worth up to $3.2 billion for continued development  modernization and maintenance of all U.S. Air Force variants of the Global Hawk unmanned surveillance plane  the Pentagon said on Wednesday.,normal
NOC,Northrop Grumman Corporation,20150930,Northrop wins U.S. Global Hawk drone contract worth up to $3.2 bln ,WASHINGTON  Sept 30 Northrop Grumman Corp  has won a contract worth up to $3.2 billion for continued development  modernization and maintenance of all U.S. Air Force variants of the Global Hawk unmanned surveillance plane  the Pentagon said on Wednesday.,normal
PBF,PBF Energy Inc,20150930,PBF Energy buys Torrance refinery in bid for national footprint ,PBF Energy Inc  agreed to buy Exxon Mobil Corp's  refinery in Torrance  California  for $537.5 million  completing Executive Chairman Tom O'Malley's vision to have PBF plants coast to coast.,topStory
PBF,PBF Energy Inc,20150930,UPDATE 1-PBF Energy buys Torrance refinery in bid for national footprint ,Sept 30 PBF Energy Inc agreed to buy Exxon Mobil Corp's refinery in Torrance  California  for $537.5 million  completing Executive Chairman Tom O'Malley's vision to have PBF plants coast to coast.,normal
PBF,PBF Energy Inc,20150930,PBF Energy to buy Exxon Mobil's Torrance refinery ,Sept 30 PBF Energy Inc said it would buy Exxon Mobil Corp's refinery in Torrance  California and restore it to full working order before the deal closes in the second quarter of 2016.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150930,Brazil's Petrobras signs $1 billion credit line with Banco do Brasil ,RIO DE JANEIRO Brazil's state-run oil company Petroleo Brasileiro SA said on Wednesday it agreed a 4.08 billion real ($1.03 billion) credit line with state-run bank Banco do Brasil.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150930,Brazil's Petrobras signs $1 bln credit line with Banco do Brasil ,RIO DE JANEIRO  Sept 30 Brazil's state-run oil company Petroleo Brasileiro SA said on Wednesday it agreed a 4.08 billion real ($1.03 billion) credit line with state-run bank Banco do Brasil.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150930,UPDATE 1-Brazil ethanol mills benefit from Petrobras gasoline price hike ,SAO PAULO  Sept 30 Brazilian ethanol producers will benefit in the medium term from this week's decision by state-run oil company Petrobras to raise gasoline prices  which will boost demand for the biofuel and allow mills to increase margins  experts said on Wednesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150930,Petrobras bonds rally on hike in fuel prices ,NEW YORK  Sept 30 (IFR) - Bonds issued by troubled state-run Brazilian oil company Petrobras were enjoying a rare rally on Wednesday following news that it would raise local gasoline and diesel prices.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150930,EMERGING MARKETS-Brazil rises on Petrobras price  cabinet shake-up ,SAO PAULO  Sept 30 Brazil's financial markets rose on Wednesday  with the Bovespa stock index boosted by a fuel price increase at state-run oil firm Petrobras and the currency up on a potential shake-up in President Dilma Rousseff's cabinet.     Other Latin American financial markets rose as well as investors took advantage of historic lows in asset prices.     Preferred and common shares of Petroleo Brasileiro SA    as Petrobras is formally known  jumped more than 7 percent after th,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150930,UPDATE 1-Brazil's Petrobras to raise gasoline  diesel prices ,* Petrobras grappling with debt  corruption scandal   (Adds detail  background),normal
PBR,Petroleo Brasileiro SA- Petrobras,20150930,Brazil's Petrobras to raise prices of gasoline  diesel ,RIO DE JANEIRO  Sept 29 Brazil's state-run oil company Petroleo Brasileiro said on Tuesday it will raise the price of gasoline by 6 percent  and diesel by 4 percent  at refineries in Brazil.,normal
PFE,Pfizer Inc,20150930,Pfizer lifts FY adjusted profit forecast on Hospira buy ,Drugmaker Pfizer Inc raised its full-year revenue and adjusted profit forecast to reflect its recently closed deal for hospital products maker Hospira Inc.,topStory
PFE,Pfizer Inc,20150930,Pfizer lifts FY adjusted profit forecast on Hospira buy ,Sept 30 Drugmaker Pfizer Inc raised its full-year revenue and adjusted profit forecast to reflect its recently closed deal for hospital products maker Hospira Inc.,normal
PHI,PLDT Inc,20150930,BRIEF-Philippines' PLDT creates unit to connect with leading Silicon Valley firms ,Sept 30 Philippine Long Distance Telephone Company,topStory
RL,Ralph Lauren Corporation,20150930,Ralph Lauren hires Old Navy executive to replace him as CEO ,NEW YORK American designer Ralph Lauren  who built a fashion powerhouse on luxury designs inspired by country club chic  announced Tuesday he is stepping down as chief executive officer and named the head of Gap Inc's populist Old Navy brand to the position.,topStory
RL,Ralph Lauren Corporation,20150930,UPDATE 3-Ralph Lauren hires Old Navy exec to replace him as CEO ,NEW YORK  Sept 29 American designer Ralph Lauren  who built a fashion powerhouse on luxury designs inspired by country club chic  announced Tuesday he is stepping down as chief executive officer and named the head of Gap Inc's  populist Old Navy brand to the position.,normal
RIO,Rio Tinto Plc,20150930,Glencore's Glasenberg  once the hunter  now the hunted: Russell ,LAUNCESTON  Australia - It must be tempting for Rio Tinto Chief Executive Sam Walsh to contemplate whether he should buy Glencore  almost a year after fending off an unwelcome approach from his now beleaguered rival.,topStory
RIO,Rio Tinto Plc,20150930,Rio Tinto defies coal slump  fetching $606 million for mine stake ,SYDNEY/MELBOURNE Global miner Rio Tinto  on Wednesday said it had agreed to sell its 40 percent stake in the Bengalla coal mine in Australia to New Hope Corp  for $606 million  the latest shuffle of Australian coal assets amid a sector-wide downturn.,normal
RIO,Rio Tinto Plc,20150930,UPDATE 2-Rio Tinto defies coal slump  fetching $606 mln for mine stake ,* Glencore still seen interested in remaining Rio coal stakes   (Adds banker  Mitsubishi comments),normal
RBS,Royal Bank Scotland plc (The),20150930,Fired RBS trader says he was 'scapegoat' for FX fine ,A former foreign exchange trader fired by Royal Bank of Scotland said he was a scapegoat and that the state-backed bank had "dishonestly contrived" his dismissal to divert attention from its own failings.,topStory
RBS,Royal Bank Scotland plc (The),20150930,Fired RBS trader says he was 'scapegoat' for FX fine ,LONDON A former foreign exchange trader fired by Royal Bank of Scotland said he was a scapegoat and that the state-backed bank had "dishonestly contrived" his dismissal to divert attention from its own failings.,normal
RBS,Royal Bank Scotland plc (The),20150930,UPDATE 1-Fired RBS trader says he was 'scapegoat' for FX fine ,LONDON  Sept 30 A former foreign exchange trader fired by Royal Bank of Scotland said he was a scapegoat and that the state-backed bank had "dishonestly contrived" his dismissal to divert attention from its own failings.,normal
RBS,Royal Bank Scotland plc (The),20150930,Fired RBS trader says he was 'scapegoat' for FX fine ,LONDON  Sept 30 A former foreign exchange trader fired by Royal Bank of Scotland said he was a scapegoat and the state-backed bank had "dishonestly contrived" his dismissal to deflect attention from its own failings.,normal
CRM,Salesforcecom Inc,20150930,BRIEF-Expert System enters partnership with WebResults to enhance Cogito software ,* Enters partnership with WebResults  a company specialized in Salesforce projects  services and applications to support sales to deliver a free connector to integrate a Salesforce org with the semantic analysis platform 'Cogito' by Expert System,topStory
SNY,Sanofi,20150930,Fitch Affirms Sanofi at 'AA-'; Outlook Stable ,(The following statement was released by the rating agency) LONDON  September 30 (Fitch) Fitch Ratings has affirmed French pharmaceutical  company Sanofi SA's (Sanofi) Long-term Issuer Default Rating (IDR) and senior  unsecured rating at 'AA-' and Short-term IDR at 'F1+'. The Outlook is Stable. Sanofi's IDR remains supported by its solid market position as a leading player  in the global pharmaceutical industry (ranked fourth-largest in Fitch's global  rated pharma universe based on 2014 pharmac,topStory
SLB,Schlumberger NV,20150930,Russia's Eurasia Drilling Co says deal with Schlumberger is off ,Sept 30 Russia's Eurasia Drilling Company  said on Wednesday that a deal with U.S.-based Schlumberger to sell a minority stake in the company is off.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150930,BRIEF-Taiwan's TSMC orders equipment for T$1.83 bln ,Sept 30 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TGT,Target Corporation,20150930,Target to match online prices with over two dozen online rivals ,Target Corp said it will match online prices of 29 of its rivals including Amazon.com and Wal-Mart Stores Inc  as the race to grab shoppers intensifies ahead of the  holiday season.,topStory
TGT,Target Corporation,20150930,UPDATE 1-Target to match online prices with over two dozen online rivals ,Sept 30 Target Corp said it will match online prices of 29 of its rivals including Amazon.com  and Wal-Mart Stores Inc  as the race to grab shoppers intensifies ahead of the  holiday season.,normal
TGT,Target Corporation,20150930,Target to match online prices with over two dozen online rivals-AP ,Sept 30 Target Corp will match its online prices with more than two dozen online competitors including Amazon.com and Wal-Mart Stores Inc  from Thursday  the Associated Press reported.,normal
BX,The Blackstone Group LP,20150930,Contractors sign deal to build Djibouti-Ethiopia fuel pipeline ,NAIROBI  Sept 30 Black Rhino  owned by funds of U.S. investment firm Blackstone Group  and a South African-based firm have signed framework agreements to build a fuel pipeline between Djibouti and Ethiopia  the contractors said on Wednesday.,normal
TRP,TransCanada Corporation,20150930,TransCanada changes tack in seeking Nebraska Keystone approval ,TransCanada Corp said on Wednesday it will seek approval from the Nebraska Public Service Commission to build its long-delayed and controversial Keystone XL crude oil pipeline route through the state.,topStory
UTX,United Technologies Corporation,20150930,UPDATE 1-Pentagon warns against further consolidation among big arms makers ,WASHINGTON  Sept 30 Pentagon officials warned on Wednesday against further consolidation in the U.S. weapons industry because fewer defense contractors could lead to higher costs  decreased innovation and less competition.,normal
UTX,United Technologies Corporation,20150930,Pentagon warns against further consolidation among big arms makers ,WASHINGTON  Sept 30 The Pentagon's chief arms buyer on Wednesday issued a sharp warning against further consolidation in the U.S. weapons industry  and said recent moves toward fewer defense contractors was not a positive trend.,normal
VRX,Valeant Pharmaceuticals International Inc,20150930,CANADA STOCKS-TSX ends up 2.1 percent; Valeant rebounds ,TORONTO  Sept 30 Canada's main stock index surged more than 2 percent on Wednesday as Valeant Pharmaceuticals International Inc rebounded and higher-than-expected domestic growth data gave a range of sectors a healthy boost amid end-of-quarter positioning.,topStory
VRX,Valeant Pharmaceuticals International Inc,20150930,CANADA STOCKS-TSX rallies as Valeant rebounds  July GDP data upbeat ,TORONTO  Sept 30 Canada's main stock index rallied more than 1 percent on Wednesday as higher-than-expected domestic growth data provided a healthy boost to sentiment and as Valeant Pharmaceuticals International Inc shares rebounded after being battered by charges of price gauging.,normal
VRX,Valeant Pharmaceuticals International Inc,20150930,CANADA STOCKS-TSX jumps soon after open on GDP data  Valeant rally ,TORONTO  Sept 30 Canada's main stock index rallied more than 1 percent shortly after the open as Valeant Pharmaceuticals International Inc shares rebounded after being battered by charges of price gauging and as higher-than-expected domestic growth data also gave other sectors a healthy boost.,normal
VLO,Valero Energy Corporation,20150930,RPT-U.S. mutual funds that bet bigger on energy sector get burned ,BOSTON  Sept 30 One-in-four U.S. large-cap mutual funds have increased their stakes in energy companies this year and many have suffered heavier losses than their peers as a result of ill-timed bets.,normal
VLO,Valero Energy Corporation,20150930,U.S. mutual funds that bet bigger on energy sector get burned ,BOSTON  Sept 30 One-in-four U.S. large-cap mutual funds have increased their stakes in energy companies this year and many have suffered heavier losses than their peers as a result of ill-timed bets.,normal
V,Visa Inc,20150930,UPDATE 1-China forex regulator says to cap overseas cash withdrawals ,* New restrictions also apply to Visa  MasterCard   (Adds details  quotes),topStory
WMT,Wal-Mart Stores Inc,20150930,Target to match online prices with over two dozen online rivals ,Target Corp said it will match online prices of 29 of its rivals including Amazon.com and Wal-Mart Stores Inc  as the race to grab shoppers intensifies ahead of the  holiday season.,topStory
WMT,Wal-Mart Stores Inc,20150930,UPDATE 1-Target to match online prices with over two dozen online rivals ,Sept 30 Target Corp said it will match online prices of 29 of its rivals including Amazon.com  and Wal-Mart Stores Inc  as the race to grab shoppers intensifies ahead of the  holiday season.,normal
