ALKS,Alkermes plc,20150224,CORRECTED-BRIEF-Alkermes says will not pursue further development of ALKS 7106 ,(Corrects headline to say company will not pursue further development of its drug. The previous headline incorrectly stated that the drug reached main goal) Feb 24 Alkermes Plc :  * Says topline results from a phase 1 clinical study of alks 7106  * Data from the study showed that alks 7106 did not meet the company's pre-specified criteria for advancing into phase 2 clinical trials  * Says will not pursue further development of alks 7106  * Will continue its efforts in developing comp,topStory
BA,Boeing Company (The),20150224,UPDATE 1-Airbus mulls A320 output hike to 50/mth from 2017 -source ,PARIS  Feb 24 European planemaker Airbus is talking to suppliers about the possibility of raising production of its popular A320 family to 50 jets a month as early as 2017  narrowing a gap with rival Boeing  a senior industry source said on Tuesday.,normal
BA,Boeing Company (The),20150224,Airbus mulls A320 output hike to 50/month from 2017 -source ,PARIS  Feb 24 European planemaker Airbus is discussing with suppliers the possibility of raising production of its popular A320 family of jets to 50 a month as early as 2017  narrowing a gap with rival Boeing  a senior industry source said on Tuesday.,normal
BA,Boeing Company (The),20150224,UPDATE 1-Meggitt reiterates annual outlook after tough 2014 ,LONDON  Feb 24 British aircraft parts supplier Meggitt maintained its outlook for this year and said it was comfortable with medium-term guidance after reporting an expected 13 percent fall in annual profit following a tough 2014.,normal
BA,Boeing Company (The),20150224,Meggitt 2014 profit falls 13 pct  on track for 2015 ,LONDON  Feb 24 British aircraft parts supplier Meggitt reported a 13 percent fall in annual profit  hit by declines in military spend  and said it was on track to meet its outlook for organic revenue growth for 2015.,normal
BSX,Boston Scientific Corporation,20150224,Deals of the day- Mergers and acquisitions ,Feb 24 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Tuesday:,topStory
BSX,Boston Scientific Corporation,20150224,Boston Scientific near deal to buy Endo's device unit: sources ,NEW YORK Boston Scientific Corp  is close to buying Endo International PLC's  AMS medical device unit  a deal that could value the business at around $2 billion  according to people familiar with the matter.,normal
BP,BP plc,20150224,BP appeals U.S. judge's ruling on size of Gulf oil spill ,NEW ORLEANS BP Plc on Monday appealed a federal judge's finding of the size of the 2010 Gulf of Mexico oil spill  which leaves the company potentially liable to pay $13.7 billion in fines.,topStory
BAM,Brookfield Asset Management Inc,20150224,Fitch Places Brookfield Asset Management on Rating Watch Negative ,(The following statement was released by the rating agency) NEW YORK  February 24 (Fitch) Fitch Ratings has placed the Issuer Default Rating  (IDR) and outstanding credit ratings of Brookfield Asset Management  Inc. on  Rating Watch Negative as follows: --IDR 'BBB'; --Senior unsecured notes 'BBB'. KEY RATING DRIVERS The Rating Watch Negative is driven by the application of Fitch's 'Rating  Investment Holding Companies' criteria  specifically Fitch's concerns regarding  the quality and diversific,topStory
CNI,Canadian National Railway Company,20150224,REFILE-UPDATE 5-CN Rail reaches tentative deal with union  averting lockout ,TORONTO/GATINEAU  Quebec  Feb 23 Canada's biggest railway reached a last-minute tentative agreement with one of its unions on Monday  averting a lockout that threatened to delay imports from Asia and compound a U.S. West Coast port logjam.,normal
KO,Coca-Cola Company (The),20150224,Former Coca-Cola executive Donald Keough dies ,Donald Keough  Coca-Cola Co's COO and president during the company's intense "cola war" days with PepsiCo Inc in the '80s  has died at the age of 88.,topStory
KO,Coca-Cola Company (The),20150224,Former Coca-Cola executive Donald Keough dies ,Feb 24 Donald Keough  Coca-Cola Co's COO and president during the company's intense "cola war" days with PepsiCo Inc in the '80s  has died at the age of 88.,normal
CCV,Comcast Corporation,20150224,Comcast expects to close to Time Warner Cable deal in early 2015 ,Comcast Corp said on Tuesday it was “optimistic” that it would close its $45 billion deal to buy Time Warner Cable Inc in early 2015. | Video ,topStory
CCV,Comcast Corporation,20150224,Comcast revenue rises as it adds video  internet customers ,Comcast Corp  the largest U.S. cable operator  posted fourth-quarter revenue that marginally beat estimates as the company added new video and high-speed internet customers.,normal
CCV,Comcast Corporation,20150224,Comcast expects to close to Time Warner Cable deal in early 2015 ,Feb 24 Comcast Corp said on Tuesday it was "optimistic" that it would close its $45 billion deal to buy Time Warner Cable Inc in early 2015.,normal
CCV,Comcast Corporation,20150224,UPDATE 1-Comcast revenue rises as it adds video  internet customers ,Feb 24 Comcast Corp  the largest U.S. cable operator  posted fourth-quarter revenue that marginally beat estimates as the company added new video and high-speed internet customers.,normal
CCV,Comcast Corporation,20150224,Comcast revenue rises as it adds video  internet customers ,Feb 24 Comcast Corp  the largest U.S. cable operator  posted higher fourth-quarter revenue as it added new video and high-speed internet customers.,normal
CLR,Continental Resources Inc,20150224,Continental gets one last boost from sale of oil hedges ,WILLISTON  N.D. Continental Resources Inc  posted a fourth-quarter profit well above Wall Street's expectations on Tuesday  as a one-time gain from the sale of crude hedges helped offset tumbling oil prices .,topStory
CLR,Continental Resources Inc,20150224,UPDATE 2-Continental gets one last boost from sale of oil hedges ,WILLISTON  N.D.  Feb 24 Continental Resources Inc posted a fourth-quarter profit well above Wall Street's expectations on Tuesday  as a one-time gain from the sale of crude hedges helped offset tumbling oil prices  .,normal
CLR,Continental Resources Inc,20150224,Continental Resources profit drops 14 percent ,WILLISTON  N.D.  Feb 24 Oil and natural gas producer Continental Resources Inc said on Tuesday its quarterly profit fell 14 percent amidst falling commodity prices.,normal
DB,Deutsche Bank AG,20150224,Deutsche Bank signs multibillion-dollar IT deal with HP ,FRANKFURT Deutsche Bank will outsource large parts of its wholesale banking IT infrastructure to U.S.-based Hewlett-Packard (HP) in a multibillion-dollar deal that leaves the group's retail operations untouched.,topStory
DB,Deutsche Bank AG,20150224,UPDATE 1-Deutsche Bank signs multibillion-dollar IT deal with HP ,* Deutsche to keep IT security functions   (Adds details  background),normal
DB,Deutsche Bank AG,20150224,New ETFs look to counter rising rates with derivatives play ,NEW YORK U.S. fund companies are rolling out new exchange-traded funds aimed at customers looking to get ahead of an expected 2015 Federal Reserve rate hike that could sour bond portfolios.,normal
DB,Deutsche Bank AG,20150224,INSIGHT-New ETFs look to counter rising rates with derivatives play ,NEW YORK  Feb 24 U.S. fund companies are rolling out new exchange-traded funds aimed at customers looking to get ahead of an expected 2015 Federal Reserve rate hike that could sour bond portfolios.,normal
DPZ,Domino&#39;s Pizza Inc,20150224,Domino's shares down on higher costs  wage hike worries ,Domino's Pizza Inc  on Tuesday reported quarterly profit that fell short of Wall Street's estimate  as higher costs took some of the shine off better-than-expected sales at established restaurants.,topStory
DPZ,Domino&#39;s Pizza Inc,20150224,UPDATE 1-Domino's shares down on higher costs  wage hike worries ,Feb 24  Domino's Pizza Inc on Tuesday reported quarterly profit that fell short of Wall Street's estimate  as higher costs took some of the shine off better-than-expected sales at established restaurants.,normal
DPZ,Domino&#39;s Pizza Inc,20150224,BRIEF-Domino's Pizza Q4 reported basis earnings per share $0.85 ,* Q4 global retail sales (excluding foreign currency impact) up 13.7 percent,normal
DPZ,Domino&#39;s Pizza Inc,20150224,Strong U.S. demand boosts Domino's revenue ,Domino's Pizza Inc's  quarterly revenue jumped 14 percent  helped by strong demand in the United States and an increase in prices for ingredients it sells to franchisees.,normal
DPZ,Domino&#39;s Pizza Inc,20150224,Strong U.S. demand boosts Domino's revenue ,Feb 24  Domino's Pizza Inc's quarterly revenue jumped 14 percent  helped by strong demand in the United States and an increase in prices for ingredients it sells to franchisees.,normal
EIX,Edison International,20150224,U.S. justices signal support for plaintiffs in Edison 401(k) case ,WASHINGTON The U.S. Supreme Court on Tuesday appeared ready to give Edison International employees who accused the utility of favoring higher-cost mutual funds over lower-cost ones in its retirement plan a chance to revive some of their claims.,topStory
EIX,Edison International,20150224,UPDATE 1-U.S. justices signal support for plaintiffs in Edison 401(k) case ,WASHINGTON  Feb 24 The U.S. Supreme Court on Tuesday appeared ready to give Edison International  employees who accused the utility of favoring higher-cost mutual funds over lower-cost ones in its retirement plan a chance to revive some of their claims.,normal
EIX,Edison International,20150224,U.S. justices signal support for plaintiffs in Edison 401(k) case ,The U.S. Supreme Court on Tuesday appeared set to revive certain claims in a class action lawsuit against Edison International by employees who accused the utility of favoring higher-cost mutual funds over-lower cost ones in its retirement plan.,normal
EIX,Edison International,20150224,U.S. justices signal support for plaintiffs in Edison 401(k) case ,WASHINGTON  Feb 24 The U.S. Supreme Court on Tuesday appeared set to revive certain claims in a class action lawsuit against Edison International by employees who accused the utility of favoring higher-cost mutual funds over-lower cost ones in its retirement plan.,normal
FDS,FactSet Research Systems Inc,20150224,U.S. startup Airex offers investors à la carte financial data ,NEW YORK A U.S. startup called Airex Inc is launching an online marketplace for investors to buy data and research à la carte from providers including Deutsche Bank  FactSet  Morningstar  Mercer  Nasdaq and S&P Capital IQ  company officials told Reuters.,topStory
FDS,FactSet Research Systems Inc,20150224,U.S. startup Airex offers investors à la carte financial data ,NEW YORK  Feb 24 A U.S. startup called Airex Inc is launching an online marketplace for investors to buy data and research à la carte from providers including Deutsche Bank  FactSet  Morningstar  Mercer  Nasdaq and S&P Capital IQ  company officials told Reuters.,normal
GPS,Gap Inc (The),20150224,UPDATE 1-Retail dilemma in India: nice malls are few and far between ,* Global retailers such as Gap  H&M planning big push into India,topStory
GEH,General Electric Capital Corporation,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GEK,General Electric Capital Corporation,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GE,General Electric Company,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GEB,General Electric Company,20150224,EU mergers and takeovers (Feb 24) ,BRUSSELS  Feb 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
HD,Home Depot Inc (The),20150224,Pickup in U.S. home investment pushes broader housing rebound ,CHICAGO Results from Home Depot Inc  and Toll Brothers Inc  bode well for a continued recovery in the housing market this year  thanks largely to an improving jobs market and low gasoline prices  industry officials and analysts said.,topStory
HD,Home Depot Inc (The),20150224,Pickup in U.S. home investment pushes broader housing rebound ,CHICAGO  Feb 24 Results from Home Depot Inc  and Toll Brothers Inc bode well for a continued recovery in the housing market this year  thanks largely to an improving jobs market and low gasoline prices  industry officials and analysts said.,normal
HD,Home Depot Inc (The),20150224,US STOCKS-Dow  S&P finish at records after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
HD,Home Depot Inc (The),20150224,US STOCKS-Dow  S&P edge up  hit intraday records after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
HD,Home Depot Inc (The),20150224,US STOCKS-Dow  S&P edge up to record highs after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
HD,Home Depot Inc (The),20150224,US STOCKS-Dow  S&P edge up to record highs after Yellen comments ,* Fed to consider hikes on "meeting-by-meeting" basis - Yellen,normal
HD,Home Depot Inc (The),20150224,Home Depot sales beat estimates; warns on currency ,Home Depot Inc   the world's No. 1 home improvement chain  posted a better-than-expected rise in quarterly same-store sales on Tuesday but the company warned that a strong dollar will likely hurt 2015 earnings. | Video ,normal
HD,Home Depot Inc (The),20150224,UPDATE 2-Home Depot sales beat estimates; warns on currency ,Feb 24 Home Depot Inc  the world's No. 1 home improvement chain  posted a better-than-expected rise in quarterly same-store sales on Tuesday but the company warned that a strong dollar will likely hurt 2015 earnings.,normal
HD,Home Depot Inc (The),20150224,US STOCKS-Wall St little changed with Yellen testimony on deck ,* Yellen's two-day testimony before Congress to start at 10 a.m.,normal
HD,Home Depot Inc (The),20150224,US STOCKS-Wall St to open flat ahead of Yellen testimony ,* Yellen's two-day testimony before Congress to start at 10 a.m.,normal
HPQ,HP Inc,20150224,Strong dollar hurts HP's earnings forecast  shares plummet ,Hewlett-Packard Co  reported flat or lower quarterly revenue in all its operating units on Tuesday  and forecast full-year earnings well below analysts' expectations due to the strong U.S. dollar.,topStory
HPQ,HP Inc,20150224,UPDATE 3-Strong dollar hurts HP's earnings forecast  shares plummet ,Feb 24 Hewlett-Packard Co reported flat or lower quarterly revenue in all its operating units on Tuesday  and forecast full-year earnings well below analysts' expectations due to the strong U.S. dollar.,normal
HPQ,HP Inc,20150224,HP revenue falls on weak demand from corporates ,Feb 24 Hewlett-Packard Co reported a 4.7 percent drop in quarterly revenue  hurt mainly by weak demand from corporate customers for its services.,normal
HPQ,HP Inc,20150224,UPDATE 1-Deutsche Bank signs multibillion-dollar IT deal with HP ,* Deutsche to keep IT security functions   (Adds details  background),normal
HSBC,HSBC Holdings plc,20150224,Swiss market regulator says unlikely to probe HSBC further ,BERNE Switzerland's financial markets regulator FINMA is unlikely to look into possible wrongdoing at HSBC's  Swiss private bank in the light of leaked information that was published this month  FINMA's head of enforcement said on Tuesday.,topStory
HSBC,HSBC Holdings plc,20150224,UPDATE 3-Swiss market regulator says unlikely to probe HSBC further ,BERNE  Feb 24 Switzerland's financial markets regulator FINMA is unlikely to look into possible wrongdoing at HSBC's Swiss private bank in the light of leaked information that was published this month  FINMA's head of enforcement said on Tuesday.,normal
HSBC,HSBC Holdings plc,20150224,India tax officials search HSBC's Mumbai headquarters amid Swiss allegations: source ,MUMBAI Indian tax officials searched the Mumbai headquarters of HSBC Holdings PLC  last week as part of a probe related to allegations that the bank's Swiss business helped clients dodge taxes  a person with knowledge of the matter said on Tuesday.,normal
HSBC,HSBC Holdings plc,20150224,India tax officials search HSBC's Mumbai HQ amid Swiss allegations -source ,MUMBAI  Feb 24 Indian tax officials searched the Mumbai headquarters of HSBC Holdings PLC last week as part of a probe related to allegations that the bank's Swiss business helped clients dodge taxes  a person with knowledge of the matter said on Tuesday.,normal
HSBC,HSBC Holdings plc,20150224,Hong Kong stocks fall on HSBC results  weak casino operators ,HONG KONG  Feb 24 A six-session winning streak for Hong Kong stocks ended on Tuesday  as HSBC Plc and casino shares sank while some investors locked in gains ahead of major 2014 earnings reports later this week.,normal
HSBC,HSBC Holdings plc,20150224,European Factors to Watch-Shares seen taking a breather near multi-year highs ,LONDON  Feb 24 European shares were seen opening flat to slightly higher on Tuesday  with mining shares in focus after better-than-expected results from BHP Billiton.,normal
HSBC,HSBC Holdings plc,20150224,HSBC leads slide in Hong Kong stocks  casino shares weak ,* HSBC's Hong Kong shares fall 4 pct  at lowest since Sept 2012,normal
HSEA,HSBC Holdings plc,20150224,Swiss market regulator says unlikely to probe HSBC further ,BERNE Switzerland's financial markets regulator FINMA is unlikely to look into possible wrongdoing at HSBC's  Swiss private bank in the light of leaked information that was published this month  FINMA's head of enforcement said on Tuesday.,topStory
HSEA,HSBC Holdings plc,20150224,UPDATE 3-Swiss market regulator says unlikely to probe HSBC further ,BERNE  Feb 24 Switzerland's financial markets regulator FINMA is unlikely to look into possible wrongdoing at HSBC's Swiss private bank in the light of leaked information that was published this month  FINMA's head of enforcement said on Tuesday.,normal
HSEA,HSBC Holdings plc,20150224,India tax officials search HSBC's Mumbai headquarters amid Swiss allegations: source ,MUMBAI Indian tax officials searched the Mumbai headquarters of HSBC Holdings PLC  last week as part of a probe related to allegations that the bank's Swiss business helped clients dodge taxes  a person with knowledge of the matter said on Tuesday.,normal
HSEA,HSBC Holdings plc,20150224,India tax officials search HSBC's Mumbai HQ amid Swiss allegations -source ,MUMBAI  Feb 24 Indian tax officials searched the Mumbai headquarters of HSBC Holdings PLC last week as part of a probe related to allegations that the bank's Swiss business helped clients dodge taxes  a person with knowledge of the matter said on Tuesday.,normal
HSEA,HSBC Holdings plc,20150224,Hong Kong stocks fall on HSBC results  weak casino operators ,HONG KONG  Feb 24 A six-session winning streak for Hong Kong stocks ended on Tuesday  as HSBC Plc and casino shares sank while some investors locked in gains ahead of major 2014 earnings reports later this week.,normal
HSEA,HSBC Holdings plc,20150224,European Factors to Watch-Shares seen taking a breather near multi-year highs ,LONDON  Feb 24 European shares were seen opening flat to slightly higher on Tuesday  with mining shares in focus after better-than-expected results from BHP Billiton.,normal
HSEA,HSBC Holdings plc,20150224,HSBC leads slide in Hong Kong stocks  casino shares weak ,* HSBC's Hong Kong shares fall 4 pct  at lowest since Sept 2012,normal
HSEB,HSBC Holdings plc,20150224,Swiss market regulator says unlikely to probe HSBC further ,BERNE Switzerland's financial markets regulator FINMA is unlikely to look into possible wrongdoing at HSBC's  Swiss private bank in the light of leaked information that was published this month  FINMA's head of enforcement said on Tuesday.,topStory
HSEB,HSBC Holdings plc,20150224,UPDATE 3-Swiss market regulator says unlikely to probe HSBC further ,BERNE  Feb 24 Switzerland's financial markets regulator FINMA is unlikely to look into possible wrongdoing at HSBC's Swiss private bank in the light of leaked information that was published this month  FINMA's head of enforcement said on Tuesday.,normal
HSEB,HSBC Holdings plc,20150224,India tax officials search HSBC's Mumbai headquarters amid Swiss allegations: source ,MUMBAI Indian tax officials searched the Mumbai headquarters of HSBC Holdings PLC  last week as part of a probe related to allegations that the bank's Swiss business helped clients dodge taxes  a person with knowledge of the matter said on Tuesday.,normal
HSEB,HSBC Holdings plc,20150224,India tax officials search HSBC's Mumbai HQ amid Swiss allegations -source ,MUMBAI  Feb 24 Indian tax officials searched the Mumbai headquarters of HSBC Holdings PLC last week as part of a probe related to allegations that the bank's Swiss business helped clients dodge taxes  a person with knowledge of the matter said on Tuesday.,normal
HSEB,HSBC Holdings plc,20150224,Hong Kong stocks fall on HSBC results  weak casino operators ,HONG KONG  Feb 24 A six-session winning streak for Hong Kong stocks ended on Tuesday  as HSBC Plc and casino shares sank while some investors locked in gains ahead of major 2014 earnings reports later this week.,normal
HSEB,HSBC Holdings plc,20150224,European Factors to Watch-Shares seen taking a breather near multi-year highs ,LONDON  Feb 24 European shares were seen opening flat to slightly higher on Tuesday  with mining shares in focus after better-than-expected results from BHP Billiton.,normal
HSEB,HSBC Holdings plc,20150224,HSBC leads slide in Hong Kong stocks  casino shares weak ,* HSBC's Hong Kong shares fall 4 pct  at lowest since Sept 2012,normal
ITUB,Itau Unibanco Banco Holding SA,20150224,UPDATE 2-Itaú names top executives  boost to Setubal's succession ,SAO PAULO  Feb 23 Itaú Unibanco Holding SA  on Monday appointed executives to lead retail- and wholesale-banking units of Brazil's No. 1 lender by market value  in preparation for the succession of Chief Executive Officer Roberto Egydio Setubal.,topStory
JPM,J P Morgan Chase & Co,20150224,U.S. Justice Dept questions JPMorgan over auto lending practices ,NEW YORK JPMorgan Chase & Co  said on Tuesday the bank has been questioned by the U.S. Department of Justice over auto lending practices that possibly resulted in discrimination.,topStory
JPM,J P Morgan Chase & Co,20150224,JPMorgan eyes $1.4 billion in cost savings in 2015 ,NEW YORK JPMorgan Chase & Co  said on Tuesday it aims to save about $1.4 billion in annual expenses  mainly in consumer and investment banking  as a proposed government requirement to hold more capital is expected to pinch profits.,normal
JPM,J P Morgan Chase & Co,20150224,UPDATE 4-JPMorgan eyes $1.4 billion in cost savings in 2015 ,NEW YORK  Feb 24 JPMorgan Chase & Co  said on Tuesday it aims to save about $1.4 billion in annual expenses  mainly in consumer and investment banking  as a proposed government requirement to hold more capital is expected to pinch profits.,normal
JPM,J P Morgan Chase & Co,20150224,U.S. Justice Dept questions JPMorgan over auto lending practices ,NEW YORK JPMorgan Chase & Co said on Tuesday the bank has been questioned by the U.S. Department of Justice over auto lending practices that possibly resulted in discrimination.,normal
JPM,J P Morgan Chase & Co,20150224,UPDATE 1-U.S. Justice Dept questions JPMorgan over auto lending practices ,NEW YORK  Feb 24 JPMorgan Chase & Co  said on Tuesday the bank has been questioned by the U.S. Department of Justice over auto lending practices that possibly resulted in discrimination.,normal
JPM,J P Morgan Chase & Co,20150224,U.S. Justice Dept questions JPMorgan over auto lending practices ,NEW YORK  Feb 24 JPMorgan Chase & Co  said on Tuesday the bank has been questioned by the U.S. Department of Justice over potential discriminatory auto lending practices.,normal
JPM,J P Morgan Chase & Co,20150224,BRIEF-JPMorgan CEO Dimon faults bank's market valuation ,Feb 24 JPMorgan Chase & Co Chief Executive Jamie Dimon said at the bank's Tuesday investor day:  * Stock market is wrong in putting lower valuation on his stock  * "I like our stock at this price  personally"  * Many banks' dividend payout ratios will rise to around 50 percent in more normal times  * The move toward 50 percent dividend payout depends on regulators  * Lagging stock price partly due to past legal woes  * JPMorgan is not a 'conglomerate' because its businesses are relat,normal
JPM,J P Morgan Chase & Co,20150224,BRIEF-JPMorgan Chase expects Q1 trading revenue to be up ,Feb 24 JPMorgan Chase & Co investment banking chief Daniel Pinto said at the bank's investor day on Tuesday:  * Trading revenue is expected to be up in Q1 2015 versus Q1 2014  * 2014 declines in market volatility and revenue are largely cyclical  * Executives have yet to have 'a lot' of talks with clients about scaling back non-operating deposits,normal
JPM,J P Morgan Chase & Co,20150224,JPMorgan to start charging some big clients deposit fees - WSJ ,Feb 23 JPMorgan Chase & Co is set to charge large institutional customers for some deposits  citing new rules that make holding money for the clients too costly  the Wall Street Journal reported  citing people familiar with the matter.,normal
JPM,J P Morgan Chase & Co,20150224,Greek bank deposit outflows rose to 3 billion euros last week: JP Morgan ,LONDON Deposit outflows from Greece's banks rose last week to around 3 billion euros  according to JP Morgan estimates  ahead of Friday's last-minute aid extension agreement with the country's euro zone creditors.,normal
JNJ,Johnson & Johnson,20150224,J&J's Janssen hit with $2.5 mln verdict in Risperdal suit ,Johnson & Johnson's Janssen Pharmaceuticals was hit with a $2.5 million verdict for failing to warn that its antipsychotic drug Risperdal could cause male breast growth.,topStory
JNPR,Juniper Networks Inc,20150224,Juniper Networks adds two directors in agreement with Elliott ,Juniper Networks Inc appointed two independent directors to its board and said activist investor Elliott Management Corp would support the network gear maker's nominations.,topStory
JNPR,Juniper Networks Inc,20150224,Juniper Networks adds two directors in agreement with Elliott ,Feb 24 Juniper Networks Inc appointed two independent directors to its board and said activist investor Elliott Management Corp would support the network gear maker's nominations.,normal
LC,LendingClub Corporation,20150224,Online lender LendingClub posts loss as expenses rise ,Online lender LendingClub Corp  reported a loss in its first quarterly results since going public in December  as a surge in revenue failed to make up for a jump in marketing and product development costs.,topStory
LC,LendingClub Corporation,20150224,Online lender LendingClub posts loss as expenses rise ,Feb 24 Online lender LendingClub Corp  reported a loss in its first quarterly results since going public in December  as operating expenses surged.,normal
LMT,Lockheed Martin Corporation,20150224,Lockheed F-35 heads for the ski jump in next key round of tests ,WASHINGTON  Feb 24 Lockheed Martin Corp's  F-35 Joint Strike Fighter will start "ski-jump testing" at a Maryland air base this week  while another B-model jet wraps up six months of tests at temperatures as low as minus 40 degrees Fahrenheit (minus 40 Celsius) to as high as 120 F (49 C).,topStory
M,Macy&#39;s Inc,20150224,West Coast port disruptions to hit Macy's first quarter sales  margins ,Macy's Inc  said sales and margins in the current quarter would be hurt by disruptions at U.S. West Coast ports  and the retailer forecast full-year profit and revenue that fell short of analysts' expectations.,topStory
M,Macy&#39;s Inc,20150224,UPDATE 4-West Coast port disruptions to hit Macy's Q1 sales  margins ,* Shares fall as much as 4.8 pct   (Adds CFO comment from conference call; updates shares),normal
M,Macy&#39;s Inc,20150224,Macy's holiday-quarter sales miss analysts' estimates ,Feb 24 Department store chain Macy's Inc  reported a less-than 2 percent rise in sales in the holiday shopping quarter  falling short of analysts' estimates.,normal
MPC,Marathon Petroleum Corporation,20150224,Marathon petroleum aims to integrate two Texas refineries -CEO ,HOUSTON  Feb 24 Marathon Petroleum Corp  is aiming to integrate its Texas refineries as part of a plan to increase diesel fuel output  Chief Executive Gary Heminger told analysts on Tuesday.,topStory
MPC,Marathon Petroleum Corporation,20150224,UPDATE 1-No talks expected this week in U.S. refinery strike -sources ,HOUSTON  Feb 23 Talks to end the largest U.S. refinery strike in 35 years are not expected to resume this week  sources familiar with the negotiations said on Monday after the number of plants hit by walkouts increased over the weekend.,normal
MPC,Marathon Petroleum Corporation,20150224,No talks expected this week in U.S. refinery strike: sources ,HOUSTON Talks to end the largest U.S. refinery strike in 35 years are not expected to resume this week  sources familiar with the negotiations said on Monday after the number of plants hit by walkouts increased over the weekend.,normal
MCD,McDonald&#39;s Corporation,20150224,Brazil unions sue McDonald's operator on pay  rules ,RIO DE JANEIRO Brazilian unions have filed a lawsuit alleging that the largest operator of McDonald's restaurants in Latin America violates Brazil's labor laws  a case that could lead to fines of up to 30 percent of annual sales.,topStory
MCD,McDonald&#39;s Corporation,20150224,Brazil unions sue McDonald's operator on pay  rules ,RIO DE JANEIRO Brazilian unions have filed a lawsuit alleging that the largest operator of McDonald's restaurants in Latin America violates Brazil's labor laws  a case that could lead to fines of up to 30 percent of annual sales.,normal
MCD,McDonald&#39;s Corporation,20150224,UPDATE 1-Brazil unions sue McDonald's operator on pay  rules ,RIO DE JANEIRO  Feb 24 Brazilian unions have filed a lawsuit alleging that the largest operator of McDonald's restaurants in Latin America violates Brazil's labor laws  a case that could lead to fines of up to 30 percent of annual sales.,normal
MCD,McDonald&#39;s Corporation,20150224,CORRECTED-Brazil unions sue McDonald's operator on pay  rules ,RIO DE JANEIRO  Feb 24 Brazilian unions have filed suit alleging that the largest operator of McDonald's restaurants in Latin America violates Brazil's labor laws  a case that could lead to fines of up to 30 percent of annual sales.,normal
MUR,Murphy Oil Corporation,20150224,Norway's Aibel wins $1.05 bln Statoil contract for Sverdrup platform ,OSLO  Feb 24 Norwegian engineering firm Aibel has won a contract worth 8 billion crowns ($1.05 billion) from Statoil to build a drilling platform for the Johan Sverdrup field  one of the biggest deals for the giant North Sea field.,topStory
NVO,Novo Nordisk A/S,20150224,CORRECTED-UPDATE 1-Novo Nordisk has positive trial results for oral diabetes drug  shares jump ,COPENHAGEN  Feb 20 Danish drugmaker Novo Nordisk   the world's biggest insulin maker  said on Friday it had received positive results from a Phase II trial of an oral version of a long-acting GLP-1 drug for treatment of people with type 2 diabetes.,topStory
NVO,Novo Nordisk A/S,20150224,CORRECTED-Novo Nordisk has positive trial results for oral GLP-1 drug  shares jump ,COPENHAGEN  Feb 20 Danish drugmaker Novo Nordisk   the world's biggest insulin maker  said on Friday it had received positive results from a phase 2 trial of an oral version of a long-acting GLP-1 for treatment of people with type 2 diabetes.,normal
PEP,Pepsico Inc,20150224,Former Coca-Cola executive Donald Keough dies ,Donald Keough  Coca-Cola Co's COO and president during the company's intense "cola war" days with PepsiCo Inc in the '80s  has died at the age of 88.,topStory
PEP,Pepsico Inc,20150224,Former Coca-Cola executive Donald Keough dies ,Feb 24 Donald Keough  Coca-Cola Co's COO and president during the company's intense "cola war" days with PepsiCo Inc in the '80s  has died at the age of 88.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150224,Former Petrobras executive charged with taking bribes ,BRASILIA  Feb 24 Prosecutors on Tuesday accused a former senior Petrobras executive of racketeering  bribery and money laundering through Switzerland and Uruguay in a widening kickback scandal that has engulfed Brazil's state-run oil company.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150224,Banco do Brasil looks most exposed to Petrobras probe  UBS says ,SAO PAULO  Feb 23 Fallout from a corruption scandal at Brazil's state-controlled oil producer could hurt Banco do Brasil SA more than any other large bank  though quantifying damage from potential loan losses is difficult  UBS Securities said on Monday.,normal
PJC,Piper Jaffray Companies,20150224,MOVES- Piper Jaffray  Raymond James  Copper Rock Capital  BofA Merrill ,Feb 24 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
PJC,Piper Jaffray Companies,20150224,MOVES-Piper Jaffray expands debt capital markets team ,Feb 24 Investment bank Piper Jaffray Cos  said Len Sheer  Amrit Agrawal and Bob Lauria will join its debt capital markets group.,normal
RJF,Raymond James Financial Inc,20150224,ON THE MOVE-Raymond James hires two advisers from LPL Financial ,Feb 24 Raymond James & Associates  Raymond James Financial Inc's broker-dealer  hired John Sedberry and Zachary Jones as advisers in its San Diego office.,topStory
