ACTG,Acacia Research Corporation,20150303,Law firm disqualified in fee dispute against Acacia Corp ,A California appeals court has disqualified the law firm of AlvaradoSmith from representing a client in a fee dispute with patent-holding company Acacia Research Corp because the firm had previously acted for another law firm in a similar fee case.,topStory
BTI,British American Tobacco plc,20150303,UPDATE 1-BAT offers to buy out Souza Cruz stake in 2.3 bln stg deal ,LONDON  March 3 British American Tobacco  has submitted a proposal to buy the 24.7 percent stake it does not own in Brazil's largest cigarette company  Souza Cruz  in a deal that would cost about 2.3 billion pounds ($3.5 billion).,normal
BTI,British American Tobacco plc,20150303,BAT offers to buy out Souza Cruz stake ,LONDON  March 3 British American Tobacco  said on Tuesday it was seeking to buy the 24.7 percent it did not already own in Brazil's Souza Cruz and to delist the company.,normal
BG,Bunge Limited,20150303,MOVES-Lazard appoints former Bunge CEO Alberto Weisser as senior advisor ,March 3 Lazard Ltd appointed Alberto Weisser  former head of agricultural trading house Bunge Ltd   as a senior adviser for the agriculture  commodities and related sectors.,topStory
CAJ,Canon Inc,20150303,Canon has funds  willingness for more M&As after Axis: CEO ,TOKYO Canon Inc  Chief Executive Fujio Mitarai said his company had the funds and willingness for more acquisitions this year after a planned 23.6 billion Swedish crown ($2.8 billion) takeover of network video surveillance leader Axis AB .,topStory
CHU,China Unicom (Hong Kong) Ltd,20150303,UPDATE 2-China Unicom warns of fall in user growth as Q4 profit falls 26 pct ,BEIJING/HONG KONG  March 3 China Unicom Hong Kong Ltd  said net income fell 26 percent in its fourth quarter  as the carrier faced stiff competition for telecom subscribers from its two main rivals and lagged in providing internet-based messaging services.,topStory
C,Citigroup Inc,20150303,U.S. judge not ready to rule on Argentine bond payments via Citigroup ,NEW YORK A U.S. judge on Tuesday said he would not yet rule on whether Citigroup Inc can process interest payments by Argentina on bonds issued under its local laws following the country's 2002 default.,topStory
C,Citigroup Inc,20150303,U.S. judge not ready to rule on Argentine bond payments via Citigroup ,NEW YORK A U.S. judge on Tuesday said he would not yet rule on whether Citigroup Inc can process interest payments by Argentina on bonds issued under its local laws following the country's 2002 default.,normal
C,Citigroup Inc,20150303,UPDATE 1-U.S. judge not ready to rule on Argentine bond payments via Citigroup ,NEW YORK  March 3 A U.S. judge on Tuesday said he would not yet rule on whether Citigroup Inc can process interest payments by Argentina on bonds issued under its local laws following the country's 2002 default.,normal
C,Citigroup Inc,20150303,U.S. judge not ready to rule on Argentine bond payments via Citigroup ,NEW YORK  March 3 A U.S. judge on Tuesday said he would not yet rule on whether Citigroup Inc can process interest payments by Argentina on bonds issued under its local laws following the country's 2002 default.,normal
C,Citigroup Inc,20150303,Springleaf to buy Citi's OneMain to become top U.S. subprime lender ,Springleaf Holdings Inc  said it would buy Citigroup Inc's  OneMain Financial Holdings Inc for $4.25 billion in cash  creating the largest subprime lender in the United States. | Video ,normal
C,Citigroup Inc,20150303,MOVES-Citigroup set for redundancies in EMEA markets business ,LONDON  March 3 (IFR) - Citigroup is set to make a round of redundancies within its markets and securities business in the Europe  Middle East and Africa region  according to an internal memo sent to staff yesterday and seen by IFR.,normal
C,Citigroup Inc,20150303,MOVE-Citigroup set for redundancies in EMEA markets business ,LONDON  March 3 (IFR) - Citigroup is set to make a round of redundancies within its markets and securities business in the Europe  Middle East and Africa region  according to an internal memo sent to staff yesterday and seen by IFR.,normal
C,Citigroup Inc,20150303,Citigroup-linked China broker plans $1.6 billion Shanghai IPO ,SHANGHAI  Mar 3 Orient Securities Company Limited  the joint venture partner of a Citigroup Inc  unit  plans to raise 10 billion yuan ($1.59 billion) in an initial public offering (IPO) on the Shanghai stock exchange  the brokerage said late on Monday.,normal
C,Citigroup Inc,20150303,Citigroup-linked China broker plans $1.6 bln Shanghai IPO ,SHANGHAI  Mar 3 Orient Securities Company Limited  the joint venture partner of a Citigroup Inc  unit  plans to raise 10 billion yuan ($1.59 billion) in an initial public offering (IPO) on the Shanghai stock exchange  the brokerage said late on Monday.,normal
COP,ConocoPhillips,20150303,UPDATE 1-Oil hedge helps Oando prepay debt after ConocoPhillips' deal ,LAGOS  March 3 Nigerian energy company Oando Plc  has prepaid $238 million out of the $753 million it borrowed to part finance the acquisition of ConocoPhillips'  Nigerian oil and gas business  the company said on Tuesday.,topStory
COP,ConocoPhillips,20150303,Oil hedge helps Oando prepay debt after ConocoPhillips' Nigerian deal ,LAGOS  March 3 Oando Plc has prepaid $238 million out of the $753 million it borrowed to part finance the acquisition of ConocoPhillips' Nigerian oil and gas business  the company said on Tuesday.,normal
DAL,Delta Air Lines Inc,20150303,Federal mediator tapped for Delta refinery talks ,A federal mediator has been called in to revive stalled labor negotiations at Delta Airlines Inc's  Philadelphia-area refinery  as both sides seek to prevent the nation's largest U.S. refinery strike in 35 years from spreading to the East Coast.,topStory
EC,Ecopetrol SA,20150303,Ecopetrol proposes shareholder payout of 70 pct of 2014 profits ,BOGOTA  March 3 Colombia's state-controlled oil company Ecopetrol will propose distributing 70 percent of its 2014 net profit of 7.5 trillion pesos ($3 billion) as an ordinary dividend at its upcoming shareholder meeting  the company said on Tuesday.,topStory
EC,Ecopetrol SA,20150303,Petrobras tightens as Brazilian sovereign slips ,NEW YORK  March 3 (IFR) - Latin American sovereigns were on a weaker footing Tuesday morning but Petrobras bonds rallied on news the highly leveraged Brazilian oil entity plans to shed US$13.7bn of assets.,normal
XOM,Exxon Mobil Corporation,20150303,TREASURIES-Bond prices slip on corporate supply; U.S. data eyed ,* Traders await monthly U.S. jobs report   (New throughout  updates prices  adds comments),topStory
XOM,Exxon Mobil Corporation,20150303,TREASURIES-Bond prices flat on corporate supply  U.S. debt demand ,NEW YORK  March 3 U.S. Treasuries prices were mostly flat on Tuesday  pressured by corporate bond sales and supported by demand for relatively high U.S. yields  while traders also awaited Friday's U.S. jobs report.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,Sluggish February U.S. car sales blamed on blustery weather ,DETROIT For the second year in a row  ferocious winter weather slowed U.S. vehicle sales in February  causing the major automakers to miss analysts' bullish projections. | Video ,topStory
FCAU,Fiat Chrysler Automobiles NV,20150303,UPDATE 3-Fiat Chrysler Canadian sales edge up in February  topping Ford ,TORONTO  March 3 Fiat Chrysler Automobiles  topped February sales in Canada  handily beating Ford Motor Co  which posted lower car and truck sales  according to company sales data.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,Fiat Chrysler CEO says Volkswagen 'not ideal' M&A partner  exploring options ,GENEVA Volkswagen  is not the ideal candidate for a tie-up with Fiat Chrysler Automobiles   the CEO of the Italian group said on Tuesday  adding he was exploring various M&A options.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,Fiat Chrysler considers Netherlands holding company for Ferrari: CEO ,GENEVA Fiat Chrysler Automobiles   may create a Netherlands-based holding company controlling Ferrari when it spins off the luxury carmaker later this year  FCA Chief Executive Sergio Marchionne said on Tuesday.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,Fiat Chrysler could sell more than 10 pct of Ferrari in IPO - CEO ,GENEVA  March 3 Fiat Chrysler Automobiles (FCA) could sell more than 10 percent of luxury unit Ferrari in a planned initial public offering given high demand  with a view to boosting liquidity in the shares  Chief Executive Sergio Marchionne said on Tuesday.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,Fiat Chrysler CEO says Ferrari IPO could slip into Q3 ,GENEVA  March 3 The initial public offering of luxury carmaker Ferrari  a unit of Fiat Chrysler  could slip into the third quarter  the CEO of Fiat Chrysler   Sergio Marchionne said on Tuesday.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,Fiat Chrysler mulling Netherlands holding for Ferrari-CEO ,GENEVA  March 3 The chief executive of Fiat Chrysler Automobiles said on Tuesday the group was considering creating a Netherlands-based holding controlling its luxury unit Ferrari  which Fiat is spinning off this year.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,TomTom expands in Latin America with Fiat  in Europe with Hyundai ,AMSTERDAM TomTom  the navigation software and device maker  said on Tuesday it had extended a supply deal with Fiat Chrysler to Latin America and will begin supplying Hyundai Motor with data in Europe.,normal
FCAU,Fiat Chrysler Automobiles NV,20150303,TomTom expands in Latin America with Fiat  in Europe with Hyundai ,AMSTERDAM  March 3 TomTom  the navigation software and device maker  said on Tuesday it had extended a supply deal with Fiat Chrysler to Latin America and will begin supplying Hyundai Motor with data in Europe.,normal
F,Ford Motor Company,20150303,UPDATE 4-Sluggish February U.S. car sales blamed on blustery weather ,DETROIT  March 3 For the second year in a row  ferocious winter weather slowed U.S. vehicle sales in February  causing the major automakers to miss analysts' bullish projections.,topStory
F,Ford Motor Company,20150303,UPDATE 3-Fiat Chrysler Canadian sales edge up in February  topping Ford ,TORONTO  March 3 Fiat Chrysler Automobiles  topped February sales in Canada  handily beating Ford Motor Co  which posted lower car and truck sales  according to company sales data.,normal
F,Ford Motor Company,20150303,BRIEF-Ford sees U.S. industry annual sales rate in Feb. in the mid to high 16 mln range including medium  heavy trucks ,DETROIT  March 3 Ford Motor Co monthly U.S. sales call:  * Says sees U.S. industry annual sales rate in February in the mid to high 16,normal
FIG,Fortress Investment Group LLC,20150303,Hellman & Friedman  Fortress prepare joint bid for Italy's ICBPI: sources ,LONDON U.S. private equity firm Hellman & Friedman and U.S. asset manager Fortress Investment Group  are lining up a joint bid for Italian bank services provider ICBPI  ahead of a March 23 deadline  two sources familiar with the matter said.,topStory
FIG,Fortress Investment Group LLC,20150303,Hellman & Friedman  Fortress prepare joint bid for Italy's ICBPI - sources ,LONDON  March 3 U.S. private equity firm Hellman & Friedman and U.S. asset manager Fortress Investment Group  are lining up a joint bid for Italian bank services provider ICBPI  ahead of a March 23 deadline  two sources familiar with the matter said.,normal
GM,General Motors Company,20150303,UPDATE 3-Fiat Chrysler Canadian sales edge up in February  topping Ford ,TORONTO  March 3 Fiat Chrysler Automobiles  topped February sales in Canada  handily beating Ford Motor Co  which posted lower car and truck sales  according to company sales data.,topStory
GSK,GlaxoSmithKline PLC,20150303,UPDATE 1-India's Sun Pharma to buy Glaxo's opiates business in Australia ,* GSK's Australian opiates business 2013 revenue was $69.6 mln   (Adds Sun Pharma comment  details on Australia poppy industry  share move),topStory
GSK,GlaxoSmithKline PLC,20150303,India's Sun Pharma to buy GSK's opiates business in Australia ,MUMBAI  March 3 Sun Pharmaceutical Industries Ltd  India's largest drugmaker by sales  said on Tuesday it has agreed to buy GlaxoSmithKline's opiates business in Australia.,normal
GFI,Gold Fields Limited,20150303,Gold Fields could spend up to $500 million for working mine ,JOHANNESBURG South African bullion producer Gold Fields  can afford to spend $300-$500 million on an acquisition but is only interested in working mines  its chief executive said.,topStory
HPQ,HP Inc,20150303,Former HP chairman admits 'mistake' in sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm  and that he feared for the woman's safety.,topStory
HPQ,HP Inc,20150303,Cybersecurity company Novetta Solutions up for sale -sources ,March 3 Novetta Solutions LLC  a provider of software and IT services to the U.S. intelligence community  is exploring a sale which could value it at more than $650 million  including debt  according to people familiar with the matter.,normal
HPQ,HP Inc,20150303,UPDATE 2-Former HP chairman admits 'mistake' in sexism trial ,SAN FRANCISCO  March 2 Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm  and that he feared for the woman's safety.,normal
HSBC,HSBC Holdings plc,20150303,Swiss party criticises prosecutor  regulator over handling of HSBC ,ZURICH  March 3 Switzerland's Social Democratic Party wants a parliamentary debate about a scandal surrounding HSBC's Swiss bank and has accused the country's financial regulator and attorney general of doing too little to pursue criminals using offshore accounts.,topStory
HSBC,HSBC Holdings plc,20150303,HSBC marks muted 150th birthday party with grain of rice sculptures ,HONG KONG HSBC Holdings Plc  toned down celebrations for its 150th anniversary on Tuesday  centering events on Hong Kong where it was founded  after being rocked by allegations its Swiss unit helped clients dodge taxes.,normal
HSBC,HSBC Holdings plc,20150303,HSBC faces second grilling by UK lawmakers over Swiss tax scandal ,LONDON HSBC's faces a second grilling by British lawmakers on Monday as fallout from the bank's Swiss tax scandal continues.,normal
HSBC,HSBC Holdings plc,20150303,HSBC faces second grilling by UK lawmakers over Swiss tax scandal ,LONDON  March 3 HSBC's faces a second grilling by British lawmakers on Monday as fallout from the bank's Swiss tax scandal continues.,normal
HSBC,HSBC Holdings plc,20150303,HSBC marks muted 150th birthday party with grain of rice sculptures ,HONG KONG  March 3 HSBC Holdings Plc  toned down celebrations for its 150th anniversary on Tuesday  centering events on Hong Kong where it was founded  after being rocked by allegations its Swiss unit helped clients dodge taxes.,normal
HSBC,HSBC Holdings plc,20150303,Barclays gives information to U.S. precious metals probe ,LONDON Barclays has been providing information to an investigation into precious metals by the U.S. Department of Justice (DoJ)  the bank said in its 2014 annual report on Tuesday  a week after a similar statement by HSBC.,normal
HSBC,HSBC Holdings plc,20150303,Barclays says has provided information to U.S. DoJ metals probe ,LONDON  March 3 Barclays said in its 2014 annual report on Tuesday that it has been providing information to an investigation into precious metals by the U.S. Department of Justice  a week after a similar statement by HSBC.,normal
HSEA,HSBC Holdings plc,20150303,Swiss party criticises prosecutor  regulator over handling of HSBC ,ZURICH  March 3 Switzerland's Social Democratic Party wants a parliamentary debate about a scandal surrounding HSBC's Swiss bank and has accused the country's financial regulator and attorney general of doing too little to pursue criminals using offshore accounts.,topStory
HSEA,HSBC Holdings plc,20150303,HSBC marks muted 150th birthday party with grain of rice sculptures ,HONG KONG HSBC Holdings Plc  toned down celebrations for its 150th anniversary on Tuesday  centering events on Hong Kong where it was founded  after being rocked by allegations its Swiss unit helped clients dodge taxes.,normal
HSEA,HSBC Holdings plc,20150303,HSBC faces second grilling by UK lawmakers over Swiss tax scandal ,LONDON HSBC's faces a second grilling by British lawmakers on Monday as fallout from the bank's Swiss tax scandal continues.,normal
HSEA,HSBC Holdings plc,20150303,HSBC faces second grilling by UK lawmakers over Swiss tax scandal ,LONDON  March 3 HSBC's faces a second grilling by British lawmakers on Monday as fallout from the bank's Swiss tax scandal continues.,normal
HSEA,HSBC Holdings plc,20150303,HSBC marks muted 150th birthday party with grain of rice sculptures ,HONG KONG  March 3 HSBC Holdings Plc  toned down celebrations for its 150th anniversary on Tuesday  centering events on Hong Kong where it was founded  after being rocked by allegations its Swiss unit helped clients dodge taxes.,normal
HSEA,HSBC Holdings plc,20150303,Barclays gives information to U.S. precious metals probe ,LONDON Barclays has been providing information to an investigation into precious metals by the U.S. Department of Justice (DoJ)  the bank said in its 2014 annual report on Tuesday  a week after a similar statement by HSBC.,normal
HSEA,HSBC Holdings plc,20150303,Barclays says has provided information to U.S. DoJ metals probe ,LONDON  March 3 Barclays said in its 2014 annual report on Tuesday that it has been providing information to an investigation into precious metals by the U.S. Department of Justice  a week after a similar statement by HSBC.,normal
HSEB,HSBC Holdings plc,20150303,Swiss party criticises prosecutor  regulator over handling of HSBC ,ZURICH  March 3 Switzerland's Social Democratic Party wants a parliamentary debate about a scandal surrounding HSBC's Swiss bank and has accused the country's financial regulator and attorney general of doing too little to pursue criminals using offshore accounts.,topStory
HSEB,HSBC Holdings plc,20150303,HSBC marks muted 150th birthday party with grain of rice sculptures ,HONG KONG HSBC Holdings Plc  toned down celebrations for its 150th anniversary on Tuesday  centering events on Hong Kong where it was founded  after being rocked by allegations its Swiss unit helped clients dodge taxes.,normal
HSEB,HSBC Holdings plc,20150303,HSBC faces second grilling by UK lawmakers over Swiss tax scandal ,LONDON HSBC's faces a second grilling by British lawmakers on Monday as fallout from the bank's Swiss tax scandal continues.,normal
HSEB,HSBC Holdings plc,20150303,HSBC faces second grilling by UK lawmakers over Swiss tax scandal ,LONDON  March 3 HSBC's faces a second grilling by British lawmakers on Monday as fallout from the bank's Swiss tax scandal continues.,normal
HSEB,HSBC Holdings plc,20150303,HSBC marks muted 150th birthday party with grain of rice sculptures ,HONG KONG  March 3 HSBC Holdings Plc  toned down celebrations for its 150th anniversary on Tuesday  centering events on Hong Kong where it was founded  after being rocked by allegations its Swiss unit helped clients dodge taxes.,normal
HSEB,HSBC Holdings plc,20150303,Barclays gives information to U.S. precious metals probe ,LONDON Barclays has been providing information to an investigation into precious metals by the U.S. Department of Justice (DoJ)  the bank said in its 2014 annual report on Tuesday  a week after a similar statement by HSBC.,normal
HSEB,HSBC Holdings plc,20150303,Barclays says has provided information to U.S. DoJ metals probe ,LONDON  March 3 Barclays said in its 2014 annual report on Tuesday that it has been providing information to an investigation into precious metals by the U.S. Department of Justice  a week after a similar statement by HSBC.,normal
IBM,International Business Machines Corporation,20150303,Cybersecurity company Novetta Solutions up for sale -sources ,March 3 Novetta Solutions LLC  a provider of software and IT services to the U.S. intelligence community  is exploring a sale which could value it at more than $650 million  including debt  according to people familiar with the matter.,normal
IVZ,Invesco Plc,20150303,RPT-Fund manager Invesco trims stake in Noble Group ,SINGAPORE  March 3 Invesco Ltd and its subsidiaries have trimmed their voting power in Noble Group Ltd  to under 5 percent  and ceased being a substantial shareholder in the commodity trader  Noble Group said on Tuesday.,topStory
IVZ,Invesco Plc,20150303,Fund manager Invesco trims stake in Noble Group ,SINGAPORE  March 3 Invesco Ltd and its subsidiaries have trimmed their voting power in Noble Group Ltd  to under 5 percent  and ceased being a substantial shareholder in the commodity trader  Noble Group said on Tuesday.,normal
JPM,J P Morgan Chase & Co,20150303,JPMorgan to pay $50 mln over improper mortgage practices ,JPMorgan Chase will pay $50 million as part of a national settlement agreement to compensate homeowners in bankruptcy over the use of robo-signing and other improper practices  the Department of Justice said on Tuesday.,topStory
JPM,J P Morgan Chase & Co,20150303,JPMorgan to pay $50 million over improper mortgage practices ,WASHINGTON JPMorgan Chase  will pay $50 million as part of a national settlement agreement to compensate homeowners in bankruptcy over the use of robo-signing and other improper practices  the Department of Justice said on Tuesday.,normal
JPM,J P Morgan Chase & Co,20150303,UPDATE 1-JPMorgan to pay $50 mln over improper mortgage practices ,WASHINGTON  March 3 JPMorgan Chase will pay $50 million as part of a national settlement agreement to compensate homeowners in bankruptcy over the use of robo-signing and other improper practices  the Department of Justice said on Tuesday.,normal
JPM,J P Morgan Chase & Co,20150303,JPMorgan to pay $50 mln over improper mortgage practices -DOJ ,WASHINGTON  March 3 JPMorgan Chase will pay $50 million as part of a national settlement agreement to compensate homeowners in bankruptcy over the use of robo-signing and other improper practices  the Department of Justice said on Tuesday.,normal
JPM,J P Morgan Chase & Co,20150303,MOVES-Guggenheim hires healthcare bankers from JPMorgan  BofA - WSJ ,March 3 Guggenheim Partners has hired Jeff Hoffman and Joseph Kohls as senior managing directors to bolster its healthcare investment banking team  the Wall Street Journal reported.,normal
KSS,Kohl&#39;s Corporation,20150303,Fitch Affirms Kohl's IDR at 'BBB+'; Outlook Revised to Stable ,(The following statement was released by the rating agency) NEW YORK  March 03 (Fitch) Fitch Ratings has affirmed its ratings on Kohl's  Corporation (Kohl's)  including the Issuer Default Rating (IDR) at 'BBB+'  and  has revised the Rating Outlook to Stable from Negative. A full list of ratings  is provided at the end of this release. KEY RATING DRIVERS The affirmation reflects the company's strong market share position as the  third-largest department store retailer in the U.S.  convenient off-,topStory
LAZ,Lazard Ltd,20150303,MOVES-Lazard appoints former Bunge CEO Alberto Weisser as senior advisor ,March 3 Lazard Ltd appointed Alberto Weisser  former head of agricultural trading house Bunge Ltd   as a senior adviser for the agriculture  commodities and related sectors.,topStory
LMT,Lockheed Martin Corporation,20150303,Cybersecurity company Novetta Solutions up for sale -sources ,March 3 Novetta Solutions LLC  a provider of software and IT services to the U.S. intelligence community  is exploring a sale which could value it at more than $650 million  including debt  according to people familiar with the matter.,normal
MS,Morgan Stanley,20150303,Morgan Stanley realigns wealth management: memo ,NEW YORK Morgan Stanley  the biggest U.S. brokerage firm with more than 16 000 financial advisers  elevated Sara Furber to a new position as head of corporate and institutional wealth management and wealth management strategy  the company said in an internal memo on Tuesday.,topStory
MS,Morgan Stanley,20150303,UPDATE 1-Morgan Stanley realigns wealth management -memo ,NEW YORK  March 3 Morgan Stanley  the biggest U.S. brokerage firm with more than 16 000 financial advisers  elevated Sara Furber to a new position as head of corporate and institutional wealth management and wealth management strategy  the company said in an internal memo on Tuesday.,normal
MS,Morgan Stanley,20150303,Morgan Stanley realigns wealth management -memo ,NEW YORK  March 3 Morgan Stanley  the biggest U.S. brokerage firm with more than 16 000 financial advisers  elevated Sara Furber to a new position as head of corporate and institutional wealth management and wealth management strategy  the company said in an internal memo on Tuesday.,normal
MS,Morgan Stanley,20150303,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters March 03  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                ,normal
NBR,Nabors Industries Ltd,20150303,REFILE-UPDATE 1-Nabors swings to loss in 4th-qtr as drilling activity slows (March 2) ,March 2 Onshore and offshore driller Nabors Industries Ltd swung to a quarterly loss  hurt by a fall in drilling activity amid a slump in global crude prices.,topStory
NBR,Nabors Industries Ltd,20150303,REFILE-Nabors posts quarterly loss as drilling activity slows (March 2) ,March 2 Onshore and offshore driller Nabors Industries Ltd reported a quarterly loss  hurt by lower drilling activity amid a slump in global crude prices.,normal
NE,Noble Corporation,20150303,Environmental groups sue Port of Seattle over Shell oil fleet ,SEATTLE A coalition of environmental groups sued the Port of Seattle on Monday to stop the lease of a terminal to Royal Dutch Shell Plc's Arctic oil drilling fleet  arguing a proper environmental review was never conducted  court records showed.,topStory
PEP,Pepsico Inc,20150303,Fitch Affirms PepsiCo's IDRs at 'A/F1'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  March 03 (Fitch) Fitch Ratings has affirmed the ratings of PepsiCo   Inc. (PepsiCo)  Pepsi-Cola Metropolitan Bottling Company  Inc.  and Bottling  Group  LLC at 'A'.  The Rating Outlook is Stable. PepsiCo had approximately  $28.9 billion of total debt at the end of 2014. A full list of rating actions follows at the end of the press release. KEY RATING DRIVERS  Brand Strength and Scale PepsiCo's ratings reflect its considerable ,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150303,Brazil politicians probed in Petrobras corruption scandal: court spokesman ,BRASILIA Brazil's top prosecutor Rodrigo Janot asked the Supreme Court on Tuesday to open an investigation into 54 politicians who allegedly benefited from a multibillion-dollar kickback scheme at state-run oil company Petroleo Brasileiro SA   a Supreme Court spokesman said on Tuesday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150303,Brazil politicians probed in Petrobras corruption scandal -court spokesman ,BRASILIA  March 3 Brazil's top prosecutor Rodrigo Janot asked the Supreme Court on Tuesday to open an investigation into 54 politicians who allegedly benefited from a multibillion-dollar kickback scheme at state-run oil company Petroleo Brasileiro SA  a Supreme Court spokesman said on Tuesday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150303,Petrobras bonds tighten sharply on asset sales news ,NEW YORK  March 3 (IFR) - Petrobras bonds tightened by as much as 50bp-60bp  as traders and investors cheered an announcement on Tuesday that the battered state-run oil company will sell US$13.7bn worth of assets.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150303,EMERGING MARKETS-Brazil real weakens to 10-year low on intervention uncertainty ,RIO DE JANEIRO  March 3 The Brazilian real closed at its weakest level in more than 10 years on Tuesday on concern about the country's deteriorating economic fundamentals and uncertainty about the future of a central bank currency intervention program.     The real has slid about 2 percent since the central bank signaled on Friday that it would reduce the rollover pace of expiring currency swaps  derivatives that provide investors with hedge against currency losses.      The move add,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150303,Petrobras tightens as Brazilian sovereign slips ,NEW YORK  March 3 (IFR) - Latin American sovereigns were on a weaker footing Tuesday morning but Petrobras bonds rallied on news the highly leveraged Brazilian oil entity plans to shed US$13.7bn of assets.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150303,Brazil's state banks most exposed to Petrobras scandal -Moody's ,SAO PAULO  March 3 Brazilian state-controlled banks are most at risk over loans to oil producer Petróleo Brasileiro SA and third-party contractors in the oil services and construction industries  Moody's Investors Service said on Tuesday.,normal
PHI,PLDT Inc,20150303,SE Asia Stocks-Thai index touches near 6-wk low ahead of market holiday ,BANGKOK  March 3 The key Thai stock index hit a near 6-week closing low on Tuesday as index heavyweight PTT  traded ex-dividend while the Philippine main index came off highs after Philippine Long Distance Telephone (PLDT)  retreated after a weak earnings guidance.     Thai benchmark SET index dropped 1.2 percent to 1 562.84  the lowest close since Jan. 22. PTT shares  the biggest by market value  closed down 2.9 percent.     Investors trimmed their risk holdings ahead of a market ho,topStory
PHI,PLDT Inc,20150303,UPDATE 1-Philippines' PLDT forecasts 2015 profit drop on higher costs ,* Rival Globe Telecom more than doubles net profit   (Adds comment from company official  details  background),normal
PHI,PLDT Inc,20150303,Philippines' PLDT Q4 income falls 5 pct from yr-ago ,MANILA  March 3 Philippine Long Distance Telephone Co (PLDT) reported on Tuesday a 5 percent decline in fourth quarter net income partly due to higher operating expenses and product subsidies.,normal
RBS,Royal Bank Scotland plc (The),20150303,RBS to cut up to 14 000 jobs in investment banking unit: FT ,Royal Bank of Scotland  is aiming to cut as many as 14 000 jobs in its investment banking units across the United States and Asia  the Financial Times reported.,topStory
RBS,Royal Bank Scotland plc (The),20150303,RBS to cut up to 14 000 jobs in investment banking unit -FT ,March 3 Royal Bank of Scotland is aiming to cut as many as 14 000 jobs in its investment banking units across the United States and Asia  the Financial Times reported.,normal
SNN,Smith & Nephew SNATS Inc,20150303,UK's FTSE falls back from record high as Smith & Nephew slumps ,* Barclays  Glencore slip after updates   (Updates with closing prices),topStory
SNN,Smith & Nephew SNATS Inc,20150303,Stryker's $2 billion buyback plan deflates Smith & Nephew bid hopes ,LONDON Plans by Stryker  to launch a new $2 billion share buyback program punctured hopes the U.S. surgical implant firm would bid for rival Smith & Nephew   sending shares in the British group some 5 percent lower on Tuesday.,normal
SNN,Smith & Nephew SNATS Inc,20150303,Smith & Nephew slump knocks FTSE back from record high ,* Barclays  Glencore slip after updates   (Adds details  quote),normal
SNN,Smith & Nephew SNATS Inc,20150303,BRIEF-Smith & Nephew buys Eurociencia Colombia ,* Announces acquisition of Eurociencia Colombia ('ECC'). Ecc has been Smith & Nephew's sole distributor for orthopaedic reconstruction  trauma and sports medicine products in Colombia since 2006,normal
SYK,Stryker Corporation,20150303,UK's FTSE falls back from record high as Smith & Nephew slumps ,* Barclays  Glencore slip after updates   (Updates with closing prices),topStory
SYK,Stryker Corporation,20150303,Stryker's $2 billion buyback plan deflates Smith & Nephew bid hopes ,LONDON Plans by Stryker  to launch a new $2 billion share buyback program punctured hopes the U.S. surgical implant firm would bid for rival Smith & Nephew   sending shares in the British group some 5 percent lower on Tuesday.,normal
SYK,Stryker Corporation,20150303,Smith & Nephew slump knocks FTSE back from record high ,* Barclays  Glencore slip after updates   (Adds details  quote),normal
SLF,Sun Life Financial Inc,20150303,UPDATE 1-Telecoms firm BCE to shift pension fund longevity risk to Sun Life ,TORONTO  March 3 Telecommunications provider BCE Inc has reached a deal to transfer the longevity risk for C$5 billion ($4.01 billion) of pension plan liabilities to insurer Sun Life Financial Inc  the companies said on Tuesday.,topStory
SLF,Sun Life Financial Inc,20150303,Telecoms firm BCE to shift pension fund longevity risk to Sun Life ,TORONTO  March 3 Telecommunications provider BCE Inc has reached a deal to transfer the longevity risk for C$5 billion ($4.01 billion) of pension plan liabilities to insurer Sun Life Financial Inc  the companies said on Tuesday.,normal
