ACHN,Achillion Pharmaceuticals Inc,20150520,CORRECTED-UPDATE 1-Achillion partners with J&J to develop hep C drugs (May 19) ,May 19 Achillion Pharmaceuticals Inc  said it will collaborate with Johnson & Johnson to develop and market its hepatitis C drugs including an oral regimen that could work on all genotypes and shorten treatment time.,topStory
BAX,Baxter International Inc,20150520,Novo Nordisk rejects Baxter patent claim over Novoeight ,COPENHAGEN  May 20 Novo Nordisk said on Wednesday it rejected claims by U.S. rival Baxter International that it had infringed patents on drugs to treat the bleeding disorder haemophilia  the Danish company said on Wednesday.,normal
BBL,BHP Billiton plc,20150520,U.S. SEC fines BHP Billiton $25 mln in 2008 Olympics bribery probe ,BHP Billiton Plc will pay $25 million to settle charges that it violated a U.S. anti-bribery law by failing to properly monitor a program under which it paid for dozens of foreign government officials to attend the 2008 Summer Olympics in Beijing.,topStory
BBL,BHP Billiton plc,20150520,RPT-UPDATE 2-U.S. SEC fines BHP Billiton $25 mln in 2008 Olympics bribery probe ,May 20 BHP Billiton Plc will pay $25 million to settle charges that it violated a U.S. anti-bribery law by failing to properly monitor a program under which it paid for dozens of foreign government officials to attend the 2008 Summer Olympics in Beijing.,normal
BBL,BHP Billiton plc,20150520,SEC fines BHP Billiton $25 million in 2008 Olympics bribery probe ,BHP Billiton Plc will pay $25 million to settle charges that it violated a U.S. anti-bribery law by failing to properly monitor a program under which it paid for dozens of foreign government officials to attend the 2008 Summer Olympics in Beijing.,normal
BBL,BHP Billiton plc,20150520,UPDATE 2-U.S. SEC fines BHP Billiton $25 mln in 2008 Olympics bribery probe ,May 20 BHP Billiton Plc will pay $25 million to settle charges that it violated a U.S. anti-bribery law by failing to properly monitor a program under which it paid for dozens of foreign government officials to attend the 2008 Summer Olympics in Beijing.,normal
BBL,BHP Billiton plc,20150520,U.S. SEC fines BHP Billiton $25 mln over 2008 Olympics dealings ,May 20 BHP Billiton  has agreed to pay $25 million to settle U.S. regulatory charges that it improperly sponsored the attendance of foreign government officials at the 2008 Summer Olympics in Beijing.,normal
BBL,BHP Billiton plc,20150520,Australia shares hit 3-1/2 months lows as banks  miners slide ,* 94 shares up  90 shares down  17 unchanged   (Adds analysis  quotes  stocks on the move),normal
BA,Boeing Company (The),20150520,Boeing appoints Bernie Dunn as head of Mideast business ,ABU DHABI  May 20 Boeing Co has appointed Bernie Dunn as president of its Middle East business effective immediately  the U.S. aerospace giant said on Wednesday.,topStory
BP,BP plc,20150520,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,topStory
BP,BP plc,20150520,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
BP,BP plc,20150520,UPDATE 2-BP settles oil spill-related claims with Halliburton  Transocean ,May 20 BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
BP,BP plc,20150520,Halliburton  BP dismiss claims against each other in U.S. Gulf oil spill ,May 20 U.S. oilfield services provider Halliburton Co said it has reached an agreement with BP Plc to resolve issues related to the Gulf of Mexico oil spill in 2010.,normal
BP,BP plc,20150520,Shell joins BP in calls against excessive trading regulation ,LONDON  May 20 Royal Dutch Shell joined fellow oil company BP on Wednesday in calling on European regulators to refrain from imposing stricter capital requirements and greater disclosure measures on oil trading.,normal
C,Citigroup Inc,20150520,WRAPUP 7-Global banks admit guilt in forex probe  fined nearly $6 bln ,NEW YORK/LONDON  May 20 Four major banks pleaded guilty on Wednesday to trying to manipulate foreign exchange rates and  with two others  were fined nearly $6 billion in another settlement in a global probe into the $5 trillion-a-day market.,topStory
C,Citigroup Inc,20150520,Banks to get SEC waivers following forex guilty pleas -sources ,NEW YORK/LONDON  May 20 Citigroup Inc and JPMorgan Morgan Chase & Co are receiving regulatory waivers to allow them to continue to quickly issue new securities and continue doing business with mutual funds and exchange-traded funds  according to two people familiar with the matter.,normal
CLF,Cleveland-Cliffs Inc,20150520,Miner Cliffs seeks creditor protection for more Canadian iron ore assets ,May 20 Cliffs Natural Resources Inc said on Wednesday it was seeking court protection from creditors of its Wabush iron ore mine and related assets in Eastern Canada  four months after it sought  similar protection for its other Canadian iron ore assets.,topStory
KO,Coca-Cola Company (The),20150520,UPDATE 1-Soccer-FIFA sponsors Visa express "grave concern" over Qatar workers ,BERNE  May 20 FIFA sponsors Visa have expressed "grave concern" at the conditions of migrant workers in 2022 World Cup hosts Qatar.,topStory
CAG,ConAgra Brands Inc,20150520,ConAgra pleads guilty  pays record fine tied to peanut butter recall ,A unit of ConAgra Foods Inc pleaded guilty to a criminal misdemeanor and will pay $11.2 million to end a federal probe into a 2007 recall of peanut butter  including the Peter Pan brand  linked to a salmonella outbreak that sickened hundreds.,topStory
CAG,ConAgra Brands Inc,20150520,ConAgra pleads guilty  pays record fine tied to peanut butter recall ,A unit of ConAgra Foods Inc pleaded guilty to a criminal misdemeanor and will pay $11.2 million to end a federal probe into a 2007 recall of peanut butter  including the Peter Pan brand  linked to a salmonella outbreak that sickened hundreds.,normal
CAG,ConAgra Brands Inc,20150520,UPDATE 1-ConAgra pleads guilty  pays record fine tied to peanut butter recall ,* U.S. says more than 700 sickened by salmonella taint   (Adds details of allegations  ConAgra comment  separate prosecution  byline),normal
CAG,ConAgra Brands Inc,20150520,ConAgra enters guilty plea tied to 2007 peanut butter recall ,May 20 A unit of ConAgra Foods Inc has pleaded guilty to a criminal misdemeanor and will pay $11.2 million to end a federal probe into a 2007 recall of peanut butter linked to a salmonella outbreak  court papers showed.,normal
CVS,CVS Health Corporation,20150520,CVS nears deal to buy Omnicare for more than $12 billion: sources ,CVS Health Corp   the second-largest U.S. drugstore operator  is nearing a deal to buy pharmacy service provider Omnicare Inc  for more than $12 billion  according to two people familiar with the matter.,topStory
CVS,CVS Health Corporation,20150520,UPDATE 1-CVS nears deal to buy Omnicare for more than $12 bln -sources ,May 20 CVS Health Corp  the second-largest U.S. drugstore operator  is nearing a deal to buy pharmacy service provider Omnicare Inc for more than $12 billion  according to two people familiar with the matter.,normal
CVS,CVS Health Corporation,20150520,CVS Health in advanced talks to buy pharmacy service provider Omnicare -Bloomberg ,May 20 CVS Health Corp  the second-largest U.S. drugstore operator  is in advanced talks to buy pharmacy service provider Omnicare Inc  Bloomberg reported  citing people with knowledge of the matter.,normal
DB,Deutsche Bank AG,20150520,Deutsche Bank shifts power to co-CEO Jain in board reshuffle ,FRANKFURT Deutsche Bank  reshuffled its management board late on Wednesday  consolidating restructuring authority under co-Chief Executive Anshu Jain while bidding farewell to its retail banking head Rainer Neske.,topStory
DB,Deutsche Bank AG,20150520,UPDATE 1-Deutsche Bank shifts power to co-CEO Jain in board reshuffle ,* Rainer Neske  retail chief and others to depart   (Adds details of the management reshuffle  comment from activist shareholder Hermes),normal
DB,Deutsche Bank AG,20150520,Deutsche Bank shifts power to co-CEO Jain in board reshuffle ,FRANKFURT  May 20 FRANKFURT  May 20 (Reuters) - Deutsche Bank reshuffled its management board late on Wednesday  consolidating restructuring authority under co-Chief Executive Anshu Jain while bidding farewell to its retail banking head Rainer Neske.,normal
DB,Deutsche Bank AG,20150520,Deutsche Bank shifts power to co-CEO Jain in board reshuffle ,FRANKFURT  May 20 Deutsche Bank  reshuffled its management board late on Wednesday  consolidating restructuring authority under co-Chief Executive Anshu Jain while bidding farewell to its retail banking head Rainer Neske.,normal
DB,Deutsche Bank AG,20150520,Deutsche Bank's Sewing to replace Neske as retail head - source ,FRANKFURT  May 20 The head of retail operations at Deutsche Bank  Rainer Neske  will resign  a source close to the matter said on Wednesday  after the group in April approved a restructuring calling for his division to be broken up and partially sold.,normal
DB,Deutsche Bank AG,20150520,MOVES-New York Life Insurance  Intech Investment  Deutsche Bank ,May 20 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
DB,Deutsche Bank AG,20150520,Deutsche Bank suspends traders in Moscow ,FRANKFURT  May 20 Deutsche Bank said on Wednesday it had suspended a small number of traders in Moscow.,normal
DB,Deutsche Bank AG,20150520,Deutsche Bank's board to discuss management changes - source ,FRANKFURT  May 20 Deutsche Bank's  supervisory board will discuss senior management changes on Wednesday  a senior source told Reuters  a day before the German bank holds what promises to be a stormy annual shareholder meeting.,normal
FCAU,Fiat Chrysler Automobiles NV,20150520,Fiat Chrysler boss says tougher U.S. safety stance will raise costs ,DETROIT U.S. vehicle safety regulators' tougher posture toward automakers is a "new phase" in the government's relations with the industry and will likely mean higher costs  Fiat Chrysler Automobiles NV Chief Executive Sergio Marchionne said Tuesday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150520,Fiat Chrysler boss says tougher U.S. safety stance will raise costs ,DETROIT  May 19 U.S. vehicle safety regulators' tougher posture toward automakers is a "new phase" in the government's relations with the industry and will likely mean higher costs  Fiat Chrysler Automobiles NV Chief Executive Sergio Marchionne said Tuesday.,normal
FBR,Fibria Celulose SA,20150520,UPDATE 1-France's Hollande concerned about slow progress in climate talks ,* Hollande worried about lack of progress to December UN meeting,topStory
FNF,Fidelity National Financial Inc,20150520,UPDATE 1-Shares of Fidelity National-controlled Black Knight jump in debut ,May 20 Shares of Black Knight Financial Services Inc  a provider of software and services to the mortgage industry  rose as much as 9.2 percent in their market debut on Wednesday  valuing the company at about $4 billion.,topStory
FNF,Fidelity National Financial Inc,20150520,Fidelity National-controlled Black Knight shares rise 8.7 pct in debut ,May 20 Shares of Black Knight Financial Services Inc  a provider of software and services to the mortgage industry  rose as much as 8.7 percent in their market debut  valuing the company at about $4 billion.,normal
GEH,General Electric Capital Corporation,20150520,GE speeds up finance sales timing  confident in Alstom deal ,General Electric Co's  chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's  power equipment business.,topStory
GEH,General Electric Capital Corporation,20150520,UPDATE 2-GE speeds up finance sales timing  confident in Alstom deal ,May 20 General Electric Co's chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's power equipment business.,normal
GEH,General Electric Capital Corporation,20150520,GE speeds up target for GE Capital finance asset sales ,May 20 General Electric Co expects to unload about $100 billion in GE Capital assets this year  up from its target of $90 billion previously  according to a presentation for investors on Wednesday.,normal
GEH,General Electric Capital Corporation,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
GEK,General Electric Capital Corporation,20150520,GE speeds up finance sales timing  confident in Alstom deal ,General Electric Co's  chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's  power equipment business.,topStory
GEK,General Electric Capital Corporation,20150520,UPDATE 2-GE speeds up finance sales timing  confident in Alstom deal ,May 20 General Electric Co's chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's power equipment business.,normal
GEK,General Electric Capital Corporation,20150520,GE speeds up target for GE Capital finance asset sales ,May 20 General Electric Co expects to unload about $100 billion in GE Capital assets this year  up from its target of $90 billion previously  according to a presentation for investors on Wednesday.,normal
GEK,General Electric Capital Corporation,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
GE,General Electric Company,20150520,GE speeds up finance sales timing  confident in Alstom deal ,General Electric Co's  chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's  power equipment business.,topStory
GE,General Electric Company,20150520,UPDATE 2-GE speeds up finance sales timing  confident in Alstom deal ,May 20 General Electric Co's chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's power equipment business.,normal
GE,General Electric Company,20150520,GE speeds up target for GE Capital finance asset sales ,May 20 General Electric Co expects to unload about $100 billion in GE Capital assets this year  up from its target of $90 billion previously  according to a presentation for investors on Wednesday.,normal
GE,General Electric Company,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
GEB,General Electric Company,20150520,GE speeds up finance sales timing  confident in Alstom deal ,General Electric Co's  chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's  power equipment business.,topStory
GEB,General Electric Company,20150520,UPDATE 2-GE speeds up finance sales timing  confident in Alstom deal ,May 20 General Electric Co's chief on Wednesday gave a faster timeline for the U.S. conglomerate's massive finance asset sale as he more than doubled a target for benefits from its purchase of Alstom's power equipment business.,normal
GEB,General Electric Company,20150520,GE speeds up target for GE Capital finance asset sales ,May 20 General Electric Co expects to unload about $100 billion in GE Capital assets this year  up from its target of $90 billion previously  according to a presentation for investors on Wednesday.,normal
GEB,General Electric Company,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
GS,Goldman Sachs Group Inc (The),20150520,MOVES-VTB hires Goldman Sachs' Djumaliev to head commodities ,LONDON  May 20 (IFR) - VTB has hired Atanas Djumaliev from Goldman Sachs to be the Russian bank's head of global commodities. He will be responsible for the strategic development of the business and reports to Vitaly Bouzoveria  global head of fixed income.,topStory
HAL,Halliburton Company,20150520,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,topStory
HAL,Halliburton Company,20150520,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
HAL,Halliburton Company,20150520,UPDATE 2-BP settles oil spill-related claims with Halliburton  Transocean ,May 20 BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
HAL,Halliburton Company,20150520,Halliburton  BP dismiss claims against each other in U.S. Gulf oil spill ,May 20 U.S. oilfield services provider Halliburton Co said it has reached an agreement with BP Plc to resolve issues related to the Gulf of Mexico oil spill in 2010.,normal
HMC,Honda Motor Company Ltd,20150520,Timeline: Takata air bag recalls ,Following are some key events in the cumulative global recall by more than 10 automakers since 2008 of more than 31 million cars fitted with potentially defective air bags made by Japanese firm Takata Corp .,topStory
HMC,Honda Motor Company Ltd,20150520,Takata doubling U.S. recall for defective air bags to 34 mln vehicles ,WASHINGTON/DETROIT Japanese air bag manufacturer Takata Corp is doubling a recall of potentially deadly air bags to nearly 34 million vehicles  making it the largest automotive recall in American history  U.S. safety regulators said on Tuesday.,normal
HMC,Honda Motor Company Ltd,20150520,UPDATE 8-Takata doubling U.S. recall for defective air bags to 34 mln vehicles ,* Takata shares slide 10 pct in Tokyo   (Adds comment from Japanese carmakers  updates share prices  advances date),normal
HRL,Hormel Foods Corporation,20150520,Hormel Foods says avian flu likely to hurt turkey sales till 2016 ,Hormel Foods Corp  the maker of Spam lunch meat  said it expected sales at its Jennie-O Turkey Store business to fall about 15 percent in the second half of the year  due to a supply shortfall caused by an avian flu outbreak in the United States.,topStory
HRL,Hormel Foods Corporation,20150520,Hormel Foods to USDA: Your turkey forecast is for the birds ,CHICAGO Hormel Foods' chief executive cast doubt on federal forecasts for as much as 4 percent increase in turkey meat production on Wednesday  due to a devastating outbreak of avian flu that has "significantly challenged" its Jennie-O Turkey Store business.,normal
HRL,Hormel Foods Corporation,20150520,Hormel Foods to USDA: Your turkey forecast is for the birds ,CHICAGO  May 20 Hormel Foods' chief executive cast doubt on federal forecasts for as much as 4 percent increase in turkey meat production on Wednesday  due to a devastating outbreak of avian flu that has "significantly challenged" its Jennie-O Turkey Store business.,normal
HRL,Hormel Foods Corporation,20150520,UPDATE 2-Hormel Foods says avian flu likely to hurt turkey sales till 2016 ,* Says Jennie-O sales may fall 15 pct in 2nd half of 2015   (Adds details from conference call  updates shares),normal
HRL,Hormel Foods Corporation,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
HRL,Hormel Foods Corporation,20150520,Hormel Foods 2nd-qtr profit rises 28 pct ,May 20 Hormel Foods Corp  the maker of Spam lunch meat  reported a 28.2 percent rise in quarterly profit  helped by lower costs in its refrigerated foods business.,normal
HSBC,HSBC Holdings plc,20150520,MOVES-HSBC's head of Russia bond origination Averianova leaves ,LONDON  May 20 (IFR) - HSBC's head of bond origination for Russia Maria Averianova has left the bank  according to sources  as the stalled Russian market continues to have an impact on bankers' jobs.,topStory
HSEA,HSBC Holdings plc,20150520,MOVES-HSBC's head of Russia bond origination Averianova leaves ,LONDON  May 20 (IFR) - HSBC's head of bond origination for Russia Maria Averianova has left the bank  according to sources  as the stalled Russian market continues to have an impact on bankers' jobs.,topStory
HSEB,HSBC Holdings plc,20150520,MOVES-HSBC's head of Russia bond origination Averianova leaves ,LONDON  May 20 (IFR) - HSBC's head of bond origination for Russia Maria Averianova has left the bank  according to sources  as the stalled Russian market continues to have an impact on bankers' jobs.,topStory
JPM,J P Morgan Chase & Co,20150520,WRAPUP 7-Global banks admit guilt in forex probe  fined nearly $6 bln ,NEW YORK/LONDON  May 20 Four major banks pleaded guilty on Wednesday to trying to manipulate foreign exchange rates and  with two others  were fined nearly $6 billion in another settlement in a global probe into the $5 trillion-a-day market.,topStory
JNJ,Johnson & Johnson,20150520,J&J to submit at least 10 new drugs for approval by 2019 ,U.S. healthcare conglomerate Johnson & Johnson said on Wednesday it expects to submit more than 10 new medicines with annual revenue potential of at least $1 billion each to regulators by 2019  and is testing dozens of new uses for existing medicines.,topStory
JNJ,Johnson & Johnson,20150520,J&J to submit at least 10 new drugs for approval by 2019 ,U.S. healthcare conglomerate Johnson & Johnson said on Wednesday it expects to submit more than 10 new medicines with annual revenue potential of at least $1 billion each to regulators by 2019  and is testing dozens of new uses for existing medicines.,normal
JNJ,Johnson & Johnson,20150520,UPDATE 2-J&J to submit at least 10 new drugs for approval by 2019 ,May 20 U.S. healthcare conglomerate Johnson & Johnson said on Wednesday it expects to submit more than 10 new medicines with annual revenue potential of at least $1 billion each to regulators by 2019  and is testing dozens of new uses for existing medicines.,normal
JNJ,Johnson & Johnson,20150520,CORRECTED-UPDATE 1-Achillion partners with J&J to develop hep C drugs (May 19) ,May 19 Achillion Pharmaceuticals Inc  said it will collaborate with Johnson & Johnson to develop and market its hepatitis C drugs including an oral regimen that could work on all genotypes and shorten treatment time.,normal
PHG,Koninklijke Philips NV,20150520,BRIEF-Philips signs 5 year research alliance with MIT ,* Philips signs five-year research alliance with Massachusetts Institute Of Technology to bring breakthrough innovations in healthtech and connected lighting,topStory
LMT,Lockheed Martin Corporation,20150520,UPDATE 1-France mulls Lockheed C130 buy as A400M delays continue ,PARIS/BERLIN  May 20 France's defence ministry has pencilled several hundreds of millions of euros into its latest defence budget for the possible purchase of four Lockheed-Martin C130 Hercules military transport planes due to problems with the rival Airbus A400M  a defence ministry source said on Wednesday.,topStory
LMT,Lockheed Martin Corporation,20150520,European Factors to Watch-Shares seen pausing after rebound ,LONDON  May 20 European shares were seen opening broadly flat on Wednesday following a strong rebound in the previous session.,normal
LMT,Lockheed Martin Corporation,20150520,European Factors to Watch-Shares seen pausing after rebound ,LONDON  May 20 European shares were seen opening slightly lower on Wednesday following a strong rebound in the previous session.,normal
LMT,Lockheed Martin Corporation,20150520,U.S. Marines sending engine module to ship as part of F-35 testing ,WASHINGTON  May 19 The U.S. Marine Corps is "tracking very well" toward declaring a squadron of 10 F-35 jets built by Lockheed Martin Corp ready for initial combat use by July 15  Lieutenant General Jon Davis  the top general in charge of Marine Corps aviation  said on Tuesday.,normal
LOW,Lowe&#39;s Companies Inc,20150520,Lowe's misses on profit; says harsh winter hurt promotions  sales ,Lowe's Cos Inc   the No.2 U.S. home improvement chain by sales  reported lower-than-expected quarterly earnings on Wednesday as a long  harsh winter hurt sales growth  sending its shares down more than 5 percent. | Video ,topStory
LOW,Lowe&#39;s Companies Inc,20150520,UPDATE 3-Lowe's misses on profit; says harsh winter hurt promotions  sales ,* Sales $14.13 bln vs est. $14.28 bln   (Recasts to focus on weather  adds CEO comments  details on margins and inventory levels  updates shares),normal
LOW,Lowe&#39;s Companies Inc,20150520,US STOCKS-Wall St lower at open; Fed minutes awaited ,* Indexes down: Dow up 0.1 pcts  S&P 0.2 pct  Nasdaq 0.3 pct   (Updates to open),normal
LOW,Lowe&#39;s Companies Inc,20150520,Home improvement chain Lowe's profit rises 8 pct ,May 20 Lowe's Cos Inc  the No.2 U.S. home improvement chain by sales  reported a 7.9 percent rise in quarterly profit as an improving job market encouraged Americans to spend on renovations.,normal
MCD,McDonald&#39;s Corporation,20150520,McDonald's  other fast-food workers  protest ahead of annual meeting ,CHICAGO Thousands of McDonald's workers seeking a minimum wage of $15 per hour swarmed the fast-food giant's headquarters for the first of two days of protests to coincide with the fast-food chain's annual meeting on Thursday.,topStory
MCD,McDonald&#39;s Corporation,20150520,UPDATE 1-McDonald's  other fast-food workers  protest ahead of annual meeting ,CHICAGO  May 20 Thousands of McDonald's workers seeking a minimum wage of $15 per hour swarmed the fast-food giant's headquarters for the first of two days of protests to coincide with the fast-food chain's annual meeting on Thursday.,normal
MCD,McDonald&#39;s Corporation,20150520,Sanderson sees no alternatives to antibiotic use in chicken production ,NEW YORK Sanderson Farms Inc  the third largest U.S. poultry producer  plans to continue using antibiotics on its birds partly because there are no alternatives on the horizon for treating a deadly but common gut disease  Chief Executive Officer Joe Sanderson said on Wednesday.,normal
MCD,McDonald&#39;s Corporation,20150520,Pension fund leaders challenge McDonald's and others on buybacks ,BOSTON/LOS ANGELES Four U.S. public pension fund officials on Wednesday warned that McDonald's Corp and other companies may be jeopardizing their own futures by returning excessive amounts of cash to investors via share buybacks.,normal
MCD,McDonald&#39;s Corporation,20150520,Pension fund leaders challenge McDonald's and others on buybacks ,BOSTON/LOS ANGELES  May 20 Four U.S. public pension fund officials on Wednesday warned that McDonald's Corp  and other companies may be jeopardizing their own futures by returning excessive amounts of cash to investors via share buybacks.,normal
MCD,McDonald&#39;s Corporation,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MCD,McDonald&#39;s Corporation,20150520,Los Angeles gives preliminary approval to $15 minimum wage ,LOS ANGELES The Los Angeles City Council voted on Tuesday to increase the minimum wage in the nation's second-largest city to $15 an hour by 2020 from the current $9  in a victory for labor and community groups that have pushed for similar pay hikes in several U.S. municipalities.,normal
MCD,McDonald&#39;s Corporation,20150520,McDonald's  other fast-food workers  protest ahead of annual meeting ,CHICAGO  May 20 Thousands of McDonald's workers seeking a minimum wage of $15 per hour and the right to unionize are expected to swarm the fast-food giant's headquarters for two days of protests that will coincide with the fast-food chain's annual meeting on Thursday.,normal
MTL,Mechel PAO,20150520,Russia's Sberbank says will not sell Mechel's debt at a discount - Interfax ,MOSCOW  May 20 Russia's top bank Sberbank  will not sell indebted mining company Mechel's  debt at a discount  Interfax news agency reported on Wednesday  citing the bank's First Deputy Chief Executive Maxim Poletayev.,topStory
MTL,Mechel PAO,20150520,Russia's Sberbank says has offers from Russian investors to buy Mechel's debt - agencies ,MOSCOW  May 20 Russia's Sberbank is discussing with investors the possible sale of indebted mining company Mechel's debt to the bank and has offers for the debt from Russian investors  Russian news agencies reported on Wednesday.,normal
MHK,Mohawk Industries Inc,20150520,EU mergers and takeovers (May 20) ,BRUSSELS  May 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
MON,Monsanto Company,20150520,Monsanto says would divest all of Syngenta's seed business ,Monsanto Co   the world's largest seed company  said on Wednesday it plans to divest Syngenta Ag's  seeds and genetic traits businesses as well as some overlapping chemistry assets to win regulatory approval for a takeover of its Swiss rival.,topStory
MON,Monsanto Company,20150520,UPDATE 3-Monsanto says would divest all of Syngenta's seed business ,May 20 Monsanto Co  the world's largest seed company  said on Wednesday it plans to divest Syngenta Ag's  seeds and genetic traits businesses as well as some overlapping chemistry assets to win regulatory approval for a takeover of its Swiss rival.,normal
MON,Monsanto Company,20150520,Factbox: Sizing up Monsanto and Syngenta ,Monsanto Co   the world's largest seed company  said on Wednesday it plans to divest all of Syngenta AG's  seeds and traits businesses as well as some overlapping chemistry assets to get regulatory approval for a takeover of its Swiss rival.,normal
MON,Monsanto Company,20150520,Syngenta says Monsanto proposals won't appease regulators ,ZURICH/FRANKFURT  May 20 Swiss crop chemicals maker Syngenta said on Wednesday that Monsanto's  proposal to sell Syngenta's entire seeds business to pave the way for a merger of the two groups would not be enough to allay regulators' concerns about the tie-up.,normal
MON,Monsanto Company,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
MON,Monsanto Company,20150520,Argentine farmers to register Monsanto Soy seed use in crackdown ,BUENOS AIRES  May 19 Argentina's Agriculture Ministry is creating a registry that will track the amount of genetically modified soybean seeds reaped from farmers' crops in order to crack down on the illegal resale of seeds developed by Monsanto Co.,normal
NVO,Novo Nordisk A/S,20150520,Novo Nordisk  Baxter clash over haemophilia drug patent ,Novo Nordisk on Wednesday rejected claims by Baxter International that its drug used substances developed by the U.S. rival  following the launch this week of a U.S. investigation into possible patent infringement.,topStory
