AIRT,Air T Inc,20150511,BRIEF-Tinc prices IPO at 11 euros per share and raises 110 mln euros ,* Tinc has an initial public offering at 11 euros ($12.28) per share and raises 110 million euros,topStory
NMR,Nomura Holdings Inc ADR,20150511,Nomura misled Fannie  Freddie on mortgage bonds  U.S. judge finds ,NEW YORK A U.S. judge on Monday ruled that Nomura Holdings Inc  made false statements in selling mortgage-backed securities to Fannie Mae  and Freddie Mac  ahead of the 2008 financial crisis.,topStory
NMR,Nomura Holdings Inc ADR,20150511,Nomura misled Fannie  Freddie on mortgage bonds  U.S. judge finds ,NEW YORK A U.S. judge on Monday ruled that Nomura Holdings Inc made false statements in selling mortgage-backed securities to Fannie Mae and Freddie Mac ahead of the 2008 financial crisis.,normal
NMR,Nomura Holdings Inc ADR,20150511,UPDATE 2-Nomura misled Fannie  Freddie on mortgage bonds  U.S. judge finds ,NEW YORK  May 11 A U.S. judge on Monday ruled that Nomura Holdings Inc made false statements in selling mortgage-backed securities to Fannie Mae and Freddie Mac ahead of the 2008 financial crisis.,normal
NMR,Nomura Holdings Inc ADR,20150511,US judge rules for FHFA over Nomura in mortgage bond lawsuit ,NEW YORK  May 11 A federal judge on Monday ruled that Nomura Holdings Inc misled Fannie Mae  and Freddie Mac by making false statements about the quality of mortgages that backed securities it sold.,normal
PFE,Pfizer Inc,20150511,INSIGHT-The new US office politics: funding your boss's political causes ,NEW YORK  May 11 It wasn't long ago that politics  like religious affiliation or sexual orientation  was a taboo topic in the American workplace. Political beliefs were considered a private affair - off limits to the boss.,normal
PFE,Pfizer Inc,20150511,RPT-INSIGHT-The new US office politics: funding your boss's political causes ,NEW YORK  May 11 It wasn't long ago that politics  like religious orientation or sexual preference  was a taboo topic in the American workplace. Political beliefs were considered a private affair - off limits to the boss.,normal
PFE,Pfizer Inc,20150511,INSIGHT-The new US office politics: funding your boss's political causes ,NEW YORK  May 11 It wasn't long ago that politics  like religious orientation or sexual preference  was a taboo topic in the American workplace. Political beliefs were considered a private affair - off limits to the boss.,normal
PKX,POSCO,20150511,UPDATE 1-Baosteel  Aurizon delay Australia iron ore project by 18-24 months ,* West Pilbara final investment decision pushed out to late 2016,normal
RIO,Rio Tinto Plc,20150511,Fortescue founder asks Australians to fight Rio  BHP iron ore plans ,SYDNEY  May 11 Fortescue Metals Group  Chairman Andrew "Twiggy" Forrest on Monday called on Australians to urge the government to stop expansion plans by iron ore miners Rio Tinto and BHP Billiton  saying they were jeopardizing the economy.,topStory
RBS,Royal Bank Scotland plc (The),20150511,Nomura misled Fannie  Freddie on mortgage bonds  U.S. judge finds ,NEW YORK A U.S. judge on Monday ruled that Nomura Holdings Inc made false statements in selling mortgage-backed securities to Fannie Mae and Freddie Mac ahead of the 2008 financial crisis.,normal
RBS,Royal Bank Scotland plc (The),20150511,UPDATE 2-Nomura misled Fannie  Freddie on mortgage bonds  U.S. judge finds ,NEW YORK  May 11 A U.S. judge on Monday ruled that Nomura Holdings Inc made false statements in selling mortgage-backed securities to Fannie Mae and Freddie Mac ahead of the 2008 financial crisis.,normal
SNE,Sony Corp Ord,20150511,BRIEF-Sony lifts prices on camera-related goods by 5-20 pct in Japan ,* Raises prices on camera-related goods  media devices by 5-20 percent in Japan,topStory
SCCO,Southern Copper Corporation,20150511,UPDATE 1-Peru says halts talks with Southern Copper over possible 'wrongdoing' ,LIMA  May 11 Peru's energy and mines minister said on Monday that she has halted talks with Southern Copper Corp over its stalled $1.4 billion Tia Maria project until the miner explains its role in possible "wrongdoing.",topStory
SCCO,Southern Copper Corporation,20150511,Peru says halts talks with Southern Copper over possible 'wrongdoing' ,LIMA  May 11 Peru's energy and mines minister said on Monday that she has halted talks with Southern Copper Corp over its stalled $1.4 billion Tia Maria project until the miner explains its role in possible "wrongdoing.",normal
S,Sprint Corporation,20150511,SoftBank posts 9 pct drop in full-year profit  skips forecast ,TOKYO  May 11 SoftBank Corp reported on Monday a 9 percent fall in profit for the fiscal year just ended  hurt by the absence of one-time gains enjoyed the year before  while it has been weighed down by the costs of trying to turn around U.S. unit Sprint.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150511,BRIEF-TSMC orders machinery equipment worth T$580 million ,* Says orders machinery equipment worth T$580 million ($18.89 million),topStory
TI,Telecom Italia SPA,20150511,Enel offers to help build Italy's fibre broadband network ,MILAN/ROME Italian power utility Enel has written to the Italian communications regulator offering to help with building a nationwide ultrafast broadband telecoms network  a move that could bring it into conflict with Telecom Italia.,topStory
TI,Telecom Italia SPA,20150511,UPDATE 1-Enel offers to help build Italy's fibre broadband network ,MILAN/ROME  May 11 Italian power utility Enel  has written to the Italian communications regulator offering to help with building a nationwide ultrafast broadband telecoms network  a move that could bring it into conflict with Telecom Italia.,normal
TI,Telecom Italia SPA,20150511,Enel wrote to Italy regulator over broadband role ,MILAN  May 11 Italy's biggest utility Enel  has written to the Italian communications regulator over a possible role in developing a national ultrafast broadband network  a move that could put pressure on phone group Telecom Italia.,normal
TPX,Tempur Sealy International Inc,20150511,Tempur Sealy CEO to step down ,Mattress maker Tempur Sealy International Inc said Chief Executive Mark Sarvary would step down  two days after shareholders voted to remove him from the company's board.,topStory
TPX,Tempur Sealy International Inc,20150511,UPDATE 2-Tempur Sealy CEO to step down ,May 11 Mattress maker Tempur Sealy International Inc said Chief Executive Mark Sarvary would step down  two days after shareholders voted to remove him from the company's board.,normal
TPX,Tempur Sealy International Inc,20150511,CORRECTED-Tempur Sealy CEO to step down ,May 11 Mattress maker Temper Sealy International Inc said Chief Executive Mark Sarvary would step down  two days after shareholders voted to remove him from the company's board.,normal
VRX,Valeant Pharmaceuticals International Inc,20150511,BRIEF-Medica Nord signs distribution agreement with Bausch & Lomb Nordic AB ,* Enters into cooperation with Bausch & Lomb Nordic AB  a subsidiary of Valeant Pharmaceuticals Inc,topStory
LBY,Libbey Inc,20150511,UPDATE 2-Tempur Sealy CEO to step down ,May 11 Mattress maker Tempur Sealy International Inc said Chief Executive Mark Sarvary would step down  two days after shareholders voted to remove him from the company's board.,normal
