AMD,Advanced Micro Devices Inc,20150202,Fitch Affirms AMD's IDR at 'B-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  February 02 (Fitch) Fitch Ratings has affirmed the long-term Issuer  Default Rating (IDR) for Advanced Micro Devices Inc. (NYSE: AMD) at 'B-'. The  Rating Outlook is Stable.  Fitch's actions affect approximately $2.6 billion of total debt  including the  undrawn portion of the company's revolving credit facility (RCF). A full list of  ratings follows the end of this commentary. The ratings and Outlook reflect Fitch's expectatio,topStory
GFA,Gafisa SA,20150202,Brazil builder Gafisa to spend up to $160 mln in new buyback plan ,SAO PAULO  Feb 2 Brazilian homebuilder Gafisa SA  on Monday approved a plan to spend up to 437 million reais ($160 million) buying back up to 27 million shares in a bid to help reverse two years of stock declines.,topStory
GD,General Dynamics Corporation,20150202,UPDATE 1-U.S. budget boosts funding for weapons  research in new areas ,WASHINGTON  Feb 2 The U.S. Defense Department's budget request would boost funding for research  development and procurement of weapons by 13 percent to $190 billion in fiscal 2016  including nearly $11 billion for the Lockheed Martin Corp  F-35 fighter jet.,normal
GD,General Dynamics Corporation,20150202,U.S. Air Force delays competition for ground surveillance planes ,WASHINGTON  Feb 2 The U.S. Air Force's fiscal 2016 budget released on Monday delayed a long-awaited competition for a new air-ground surveillance aircraft to replace the E-8C Joint Surveillance Target Attack Radar System (JSTARS).,normal
GEH,General Electric Capital Corporation,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,General Electric Co  plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,topStory
GEH,General Electric Capital Corporation,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,Feb 2 General Electric Co plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,normal
GEK,General Electric Capital Corporation,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,General Electric Co  plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,topStory
GEK,General Electric Capital Corporation,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,Feb 2 General Electric Co plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,normal
GE,General Electric Company,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,General Electric Co  plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,topStory
GE,General Electric Company,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,Feb 2 General Electric Co plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,normal
GEB,General Electric Company,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,General Electric Co  plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,topStory
GEB,General Electric Company,20150202,General Electric plans to cut 330 Texas jobs in oil unit ,Feb 2 General Electric Co plans to cut 330 jobs in Texas in its oil and gas division  as it grapples with pressure on the unit from the drop in oil prices.,normal
GM,General Motors Company,20150202,Deaths linked to defective GM switch expected to rise: fund official ,DETROIT The number of eligible claims for deaths and injuries linked to the defective General Motors Co  ignition switch that led to the recall of 2.6 million older cars should rise  an official responsible for administering the victim compensation fund said on Monday.,topStory
GM,General Motors Company,20150202,Deaths linked to defective GM switch expected to rise-fund official ,DETROIT  Feb 2 The number of eligible claims for deaths and injuries linked to the defective General Motors Co  ignition switch that led to the recall of 2.6 million older cars should rise  an official responsible for administering the victim compensation fund said on Monday.,normal
GM,General Motors Company,20150202,GM ignition compensation gets 4 180 claims ahead of deadline: WSJ ,General Motors Co  has received a further 1 112 claims for compensation related to ignition defects that led to deaths and injuries  taking the total to 4 180 up to the Jan. 31 deadline for claim submissions  the Wall Street Journal said on Monday.,normal
GM,General Motors Company,20150202,GM confirms Indonesia factory plan with China's SAIC Motor ,SHANGHAI General Motors said on Monday that one of its Chinese ventures plans to establish manufacturing operations in Indonesia to take advantage of growth in Southeast Asia's biggest vehicle market.,normal
GM,General Motors Company,20150202,UPDATE 1-GM confirms Indonesia factory plan with China's SAIC Motor ,SHANGHAI  Feb 2 General Motors said on Monday that one of its Chinese ventures plans to establish manufacturing operations in Indonesia to take advantage of growth in Southeast Asia's biggest vehicle market.,normal
GS,Goldman Sachs Group Inc (The),20150202,UPDATE 1-Goldman Sachs' CNR to ship coal via public Colombia port - source ,BOGOTA  Feb 2 Goldman Sachs mining affiliate CNR has reached a deal with a public port in Colombia to load its coal shipments which have been suspended for a year after its own docks fell foul of environmental regulations  a port source told Reuters on Monday.,topStory
GS,Goldman Sachs Group Inc (The),20150202,Goldman Sachs' CNR to ship coal via public Colombia port - source ,BOGOTA  Feb 2 Goldman Sachs mining affiliate CNR has reached a deal with a public port in Colombia to load its coal shipments which have been suspended for a year after its own docks fell foul of environmental regulations  a port source told Reuters on Monday.,normal
GS,Goldman Sachs Group Inc (The),20150202,BRIEF-Altice says executives to buy shares in company from Carlyle Cable Investments ,* Altice SA announces agreement by executives to buy shares in Altice SA from Carlyle,normal
GS,Goldman Sachs Group Inc (The),20150202,UPDATE 1-Dutch state names 14 banks as candidates for ABN Amro listing ,AMSTERDAM  Feb 2 A Dutch state agency said on Monday it had selected 14 domestic and international banks as candidates to oversee a planned stock market listing of banking group ABN Amro  possibly this year.,normal
GS,Goldman Sachs Group Inc (The),20150202,Dutch state names 14 banks as candidates for ABN Amro listing ,AMSTERDAM  Feb 2 A Dutch state agency said on Monday it had selected 14 domestic and international banks as candidates to oversee a planned stock market listing of ABN Amro bank.,normal
HSBC,HSBC Holdings plc,20150202,GLOBAL MARKETS-Asian shares skid as China data disappoints ,* China official PMI dips below 50 for first time in over 2 years,topStory
HSBC,HSBC Holdings plc,20150202,China January HSBC factory PMI contracts for second month ,SHANGHAI Activity in China's factory sector shrank for the second straight month in January  a private business survey showed on Monday  as the new year got off to a rocky start for the world's second-largest economy.,normal
HSEA,HSBC Holdings plc,20150202,GLOBAL MARKETS-Asian shares skid as China data disappoints ,* China official PMI dips below 50 for first time in over 2 years,topStory
HSEA,HSBC Holdings plc,20150202,China January HSBC factory PMI contracts for second month ,SHANGHAI Activity in China's factory sector shrank for the second straight month in January  a private business survey showed on Monday  as the new year got off to a rocky start for the world's second-largest economy.,normal
HSEB,HSBC Holdings plc,20150202,GLOBAL MARKETS-Asian shares skid as China data disappoints ,* China official PMI dips below 50 for first time in over 2 years,topStory
HSEB,HSBC Holdings plc,20150202,China January HSBC factory PMI contracts for second month ,SHANGHAI Activity in China's factory sector shrank for the second straight month in January  a private business survey showed on Monday  as the new year got off to a rocky start for the world's second-largest economy.,normal
IVZ,Invesco Plc,20150202,SPECIAL REPORT-For French investors  a Euro Disney nightmare ,PARIS  Feb 2 When Edith Zemirou bought Euro Disney stock two decades ago  she expected a decent return and her own small share in Mickey Mouse magic.,normal
KKR,KKR & Co LP,20150202,CRH says in talks with KKR on partnering on new UK assets ,DUBLIN CRH will not keep sole control of all the assets it agreed to pay Lafarge and Holcim 6.5 billion euros ($7.4 billion) for and is in talks with private equity firm KKR& Co LP to partner on some.,topStory
KKR,KKR & Co LP,20150202,CRH says in talks with KKR on partnering on new UK assets ,DUBLIN  Feb 2 CRH will not keep sole control of all the assets it agreed to pay Lafarge and Holcim 6.5 billion euros ($7.4 billion) for and is in talks with private equity firm KKR& Co LP to partner on some.,normal
LMT,Lockheed Martin Corporation,20150202,US aims to lead redesign Raytheon missile defense "kill vehicle" ,WASHINGTON  Feb 2 The U.S. Missile Defense Agency on Monday said it was close to finalizing a government-led effort to redesign a Raytheon Co "kill vehicle" used in the ground-based missile defense system that would involve Raytheon  Boeing Co and Lockheed Martin Corp.,topStory
LMT,Lockheed Martin Corporation,20150202,U.S. budget boosts funding for weapons  research in new areas ,WASHINGTON The U.S. Defense Department's budget request would boost funding for research  development and procurement of weapons by 13 percent to $190 billion in fiscal 2016  including nearly $11 billion for the Lockheed Martin Corp F-35 fighter jet.,normal
LMT,Lockheed Martin Corporation,20150202,UPDATE 1-U.S. budget boosts funding for weapons  research in new areas ,WASHINGTON  Feb 2 The U.S. Defense Department's budget request would boost funding for research  development and procurement of weapons by 13 percent to $190 billion in fiscal 2016  including nearly $11 billion for the Lockheed Martin Corp  F-35 fighter jet.,normal
LMT,Lockheed Martin Corporation,20150202,U.S. Air Force budget sets stage for GPS satellite competition ,WASHINGTON The U.S. Air Force's fiscal 2016 budget plan earmarks $7.1  billion for space programs  including a 10th Global Positioning System III satellite by Lockheed Martin Corp   and sets the stage for future competition for such satellites.,normal
LMT,Lockheed Martin Corporation,20150202,US Air Force budget sets stage for GPS satellite competition ,WASHINGTON  Feb 2 The U.S. Air Force's fiscal 2016 budget plan earmarks $7.1  billion for space programs  including a 10th Global Positioning System III satellite by Lockheed Martin Corp  and sets the stage for future competition for such satellites.,normal
LMT,Lockheed Martin Corporation,20150202,UPDATE 1-U.S. Navy budget plan omits funding for Boeing  jets ,WASHINGTON  Feb 2 The U.S. Navy's fiscal 2016 budget plan would pay for 492 manned and unmanned aircraft  including 13 F-35 fighter jets built by Lockheed Martin Corp   but omits any funding for Boeing Co F/A-18 fighters or EA-18G electronic attack jets.,normal
LMT,Lockheed Martin Corporation,20150202,U.S. Navy budget plan omits funding for Boeing EA-18G jets ,WASHINGTON  Feb 2 The U.S. Navy's fiscal 2016 budget plan would pay for 492 manned and unmanned aircraft  including 13 F-35 fighter jets built by Lockheed Martin Corp   but omits any funding for Boeing Co F/A-18 fighters or EA-18G electronic attack jets.,normal
MCD,McDonald&#39;s Corporation,20150202,McDonald's to slow Russia expansion due to fall in ruble ,MOSCOW McDonald's Corp.  will open fewer new restaurants in Russia this year than last because a fall in the ruble has increased expansion costs and is hurting consumers  its Russian chief executive Khamzat Khasbulatov told Reuters.,topStory
MDU,MDU Resources Group Inc,20150202,MDU Resources says oil unit sale won't be this year ,WILLISTON  N.D.  Feb 2 MDU Resources Group Inc  said on Monday it would wait until 2016 at the earliest to try and sell its North Dakota oil production division  citing low crude prices.,topStory
MRK,Merck & Company Inc,20150202,RPT-INSIGHT-US companies face billions in Venezuela currency losses  Reuters analysis shows ,Feb 2 At least 40 major U.S. companies have substantial exposure to Venezuela's deepening economic crisis  and could collectively be forced to take billions of dollars of write downs  a Reuters analysis shows.,normal
MRK,Merck & Company Inc,20150202,RPT-INSIGHT-US companies face billions in Venezuela currency losses  Reuters analysis shows ,Feb 2 At least 40 major U.S. companies have substantial exposure to Venezuela's deepening economic crisis  and could collectively be forced to take billions of dollars of write downs  a Reuters analysis shows.,normal
MRK,Merck & Company Inc,20150202,INSIGHT-US companies face billions in Venezuela currency losses  Reuters analysis shows ,Feb 2 At least 40 major U.S. companies have substantial exposure to Venezuela's deepening economic crisis  and could collectively be forced to take billions of dollars of write downs  a Reuters analysis shows.,normal
MS,Morgan Stanley,20150202,ON THE MOVE-Wealth manager HighTower hires Patricia Pick from Morgan Stanley ,Feb 2 Chicago-based independent wealth management firm HighTower Advisors LLC said it hired Patricia Pick to its VWG Wealth Management team  based in Vienna  Virginia.,topStory
MS,Morgan Stanley,20150202,UPDATE 1-Morgan Stanley shops oil-storage unit again -WSJ ,Feb 1 Morgan Stanley is shopping its oil-trading and storage business again after an earlier deal to sell the unit fell through last month  the Wall Street Journal reported on Sunday  citing people familiar with the matter.,normal
MS,Morgan Stanley,20150202,Morgan Stanley shops oil-storage unit again -WSJ ,Feb 1 Morgan Stanley is shopping its oil-trading and storage business again after an earlier deal to sell the unit fell through last month  the Wall Street Journal reported on Sunday  citing people familiar with the matter.,normal
NOC,Northrop Grumman Corporation,20150202,Northrop Grumman buys Super Bowl air time ,WASHINGTON  Feb 1 Northrop Grumman Corp  the third-largest U.S. weapons maker  played up its legacy of building advanced aircraft in its first ever Super Bowl advertisement  as it competes for a major new bomber contract.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150202,UPDATE 1-Brazil's Pine unveils exposure to troubled sectors; shares soar ,SAO PAULO  Feb 2 Shares of Banco Pine SA  had their biggest gain in 3 1/2 years on Monday as the Brazilian mid-sized lender unveiled the exposure of its loan book to troubled sectors and companies linked to a corruption scandal at state-controlled oil producer Petrobras.,topStory
RTN,Raytheon Company,20150202,US aims to lead redesign Raytheon missile defense "kill vehicle" ,WASHINGTON  Feb 2 The U.S. Missile Defense Agency on Monday said it was close to finalizing a government-led effort to redesign a Raytheon Co "kill vehicle" used in the ground-based missile defense system that would involve Raytheon  Boeing Co and Lockheed Martin Corp.,topStory
RTN,Raytheon Company,20150202,BRIEF-Q-Free receives order in US worth NOK 14 million ,* Says Q-Free Netherlands has been awarded a contract in the United States from Raytheon for their MassDot (Massachusetts Department of Transport) all electronic toll system project,normal
SNE,Sony Corp Ord,20150202,Sony to invest $890 mln to boost sensor production ,TOKYO  Feb 2 Sony Corp said it would spend 105 billion yen ($892.40 million) to boost production capacity for imaging sensors  increasing its focus on a business that is becoming one of its strongest as its TV and mobile operations struggle.,topStory
S,Sprint Corporation,20150202,UPDATE 2-RadioShack may close  Sprint to get half of chain - BBG ,Feb 2 Troubled electronics retailer RadioShack Corp is preparing to shut down the chain in a bankruptcy deal that would see half the stores taken over by Sprint Corp   Bloomberg News reported  citing people with knowledge of the discussions.,topStory
S,Sprint Corporation,20150202,Deals of the day- Mergers and acquisitions ,Feb 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
S,Sprint Corporation,20150202,Sprint to take over half of RadioShack stores - Bloomberg ,Feb 2 Troubled electronics retailer RadioShack Corp is preparing to shut down the chain in a deal that would see half the stores taken over by Sprint Corp  Bloomberg News reported  citing people with knowledge of the discussions.,normal
SYY,Sysco Corporation,20150202,UPDATE 3-Sysco would sell 11 US Foods centers to win deal approval ,Feb 2 Food distributor Sysco Corp said it would sell 11 distribution centers run by takeover target US Foods Inc to far smaller rival Performance Food Group if skeptical antitrust regulators approve the merger with US Foods.,topStory
TTM,Tata Motors Ltd,20150202,Tata Motors January vehicle sales up 5 pct y-o-y ,NEW DELHI  Feb 2 Tata Motors Ltd's  vehicle sales in January:,topStory
TEF,Telefonica SA,20150202,Sovereign wealth funds in talks to back $15 billion O2 deal: report ,LONDON Some of the world's biggest sovereign wealth funds are in talks to provide financial backing for Hutchison Whampoa's acquisition of Telefonica's British mobile business  the Telegraph newspaper reported  citing unidentified sources.,topStory
TEF,Telefonica SA,20150202,Sovereign wealth funds in talks to back $15 bln O2 deal - report ,LONDON  Feb 2 Some of the world's biggest sovereign wealth funds are in talks to provide financial backing for Hutchison Whampoa's acquisition of Telefonica's  British mobile business  the Telegraph newspaper reported  citing unidentified sources.,normal
TM,Toyota Motor Corp Ltd Ord,20150202,Hyundai cuts price of fuel cell car  eyes competition with Toyota ,SEOUL Hyundai Motor Co said it will lower the price of its Tucson fuel cell electric vehicle by 43 percent in South Korea and consider cutting prices of the car overseas to compete with models from the likes of Toyota Motor Corp.,topStory
TM,Toyota Motor Corp Ltd Ord,20150202,Toyota says Jan China auto sales up 10.6 pct y/y ,BEIJING  Feb 2 Toyota Motor Corp and its two Chinese joint ventures sold about 94 700 vehicles in China in January  up 10.6 percent from a year earlier  the Japanese automaker said on Monday.,normal
TM,Toyota Motor Corp Ltd Ord,20150202,Hyundai cuts price of fuel cell car  eyes competition with Toyota ,SEOUL  Feb 2 Hyundai Motor Co said it will lower the price of its Tucson fuel cell electric vehicle by 43 percent in South Korea and consider cutting prices of the car overseas to compete with models from the likes of Toyota Motor Corp.,normal
UNP,Union Pacific Corporation,20150202,CORRECTED-U.S. rail sector plans to boost infrastructure spending as volumes rise ,WASHINGTON  Feb 2 U.S. railroads expect to boost spending to $29 billion this year to lay track  add engines and otherwise upgrade a national network tested by a surge in energy and agriculture deliveries  the leading industry trade group said on Monday.,topStory
VZ,Verizon Communications Inc,20150202,Verizon close to deals to sell over $10 billion in assets: WSJ ,Verizon Communications Inc  is nearing wrapping up deals to sell more than $10 billion in assets  the Wall Street Journal reported  citing people familiar with the matter.,topStory
VZ,Verizon Communications Inc,20150202,Deals of the day- Mergers and acquisitions ,Feb 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
VZ,Verizon Communications Inc,20150202,Fitch: Verizon's 'A-' Rating Not Affected by Spectrum Bidding ,(The following statement was released by the rating agency) CHICAGO  February 02 (Fitch) On Jan. 30  2015  the Federal Communications  Commission (FCC) announced the winning bidders in the AWS-3 spectrum action.  Verizon Communications Inc.'s (Verizon; NYSE: VZ) total winning bids amounted to  approximately $10.4 billion. This amount was well under the level which would  have triggered a negative rating action ($15 billion) by Fitch. In Fitch's view   Verizon's ratings (Issuer Default Rating and,normal
VZ,Verizon Communications Inc,20150202,Verizon close to deals to sell over $10 bln in assets - WSJ ,Feb 2 Verizon Communications Inc is nearing deals to sell more than $10 billion in assets  the Wall Street Journal reported  citing people familiar with the matter.,normal
VZA,Verizon Communications Inc,20150202,Verizon close to deals to sell over $10 billion in assets: WSJ ,Verizon Communications Inc  is nearing wrapping up deals to sell more than $10 billion in assets  the Wall Street Journal reported  citing people familiar with the matter.,topStory
VZA,Verizon Communications Inc,20150202,Deals of the day- Mergers and acquisitions ,Feb 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
VZA,Verizon Communications Inc,20150202,Fitch: Verizon's 'A-' Rating Not Affected by Spectrum Bidding ,(The following statement was released by the rating agency) CHICAGO  February 02 (Fitch) On Jan. 30  2015  the Federal Communications  Commission (FCC) announced the winning bidders in the AWS-3 spectrum action.  Verizon Communications Inc.'s (Verizon; NYSE: VZ) total winning bids amounted to  approximately $10.4 billion. This amount was well under the level which would  have triggered a negative rating action ($15 billion) by Fitch. In Fitch's view   Verizon's ratings (Issuer Default Rating and,normal
VZA,Verizon Communications Inc,20150202,Verizon close to deals to sell over $10 bln in assets - WSJ ,Feb 2 Verizon Communications Inc is nearing deals to sell more than $10 billion in assets  the Wall Street Journal reported  citing people familiar with the matter.,normal
WFC,Wells Fargo & Company,20150202,Judge rules for Wells Fargo in NY challenge over mortgage settlement ,WASHINGTON/NEW YORK A U.S. judge on Monday rejected allegations by the New York state attorney general that Wells Fargo was violating the $25 billion mortgage settlement that federal and state authorities reached with five banks in 2012.,topStory
WFC,Wells Fargo & Company,20150202,Judge rules for Wells Fargo in NY challenge over mortgage settlement ,WASHINGTON/NEW YORK A U.S. judge on Monday rejected allegations by the New York state attorney general that Wells Fargo was violating the $25 billion mortgage settlement that federal and state authorities reached with five banks in 2012.,normal
WFC,Wells Fargo & Company,20150202,UPDATE 1-Judge rules for Wells Fargo in NY challenge over mortgage settlement ,WASHINGTON/NEW YORK  Feb 2 A U.S. judge on Monday rejected allegations by the New York state attorney general that Wells Fargo was violating the $25 billion mortgage settlement that federal and state authorities reached with five banks in 2012.,normal
WFC,Wells Fargo & Company,20150202,Judge rules for Wells Fargo in NY challenge over mortgage settlement ,WASHINGTON  Feb 2 A U.S. judge on Monday rejected allegations by the New York state attorney general that Wells Fargo was not complying with the $25 billion mortgage settlement that federal and state authorities reached with five banks in 2012.,normal
IMO,Imperial Oil Limited,20150202,UPDATE 2-Imperial Oil 4th-qtr profit falls  Kearl expansion to start early ,Feb 2 Imperial Oil Ltd's Kearl oil sands project expansion will start ahead of schedule  the company said on Monday  in the latest sign that weak crude prices are failing to dent oil sands growth.,topStory
IMO,Imperial Oil Limited,20150202,Imperial Oil profit slumps as oil prices plunge ,Feb 2 Imperial Oil Ltd   Canada's second-largest integrated oil producer and refiner  posted a 36.5 percent fall in quarterly profit  hurt by lower crude prices and weaker refining margins.,normal
