AGEN,Agenus Inc,20141218,UPDATE 1-New GSK shingles vaccine may challenge Merck after strong test data ,* GSK vaccine cuts risk of shingles by 97.2 pct in over 50s,topStory
IGT,International Game Technology,20141218,GTECH offers to buy back 750 mln euro 2066 bond ,MILAN Italian gaming company GTECH  said on Thursday it was offering to buy back a 750 million euro ($924 million) bond due in 2066 as it gears up for merging with U.S. slot-machine maker International Game Technology.,topStory
IGT,International Game Technology,20141218,GTECH offers to buy back 750 million euro 2066 bond ,MILAN Italian gaming company GTECH  said on Thursday it was offering to buy back a 750 million euro ($924 million) bond due in 2066 as it gears up for merging with U.S. slot-machine maker International Game Technology .,normal
IGT,International Game Technology,20141218,GTECH offers to buy back 750 mln euro 2066 bond ,MILAN  Dec 18 Italian gaming company GTECH  said on Thursday it was offering to buy back a 750 million euro ($924 million) bond due in 2066 as it gears up for merging with U.S. slot-machine maker International Game Technology.,normal
K,Kellogg Company,20141218,Kellogg outbids Abraaj for third time in race for Egypt's Bisco ,CAIRO Breakfast cereal maker Kellogg Co  has again raised its bid for Egyptian snack maker Bisco Misr   outbidding private equity group Abraaj for the third time and snatching the lead in a $140 million takeover battle.,topStory
K,Kellogg Company,20141218,UPDATE 1-Kellogg outbids Abraaj for third time in race for Egypt's Bisco ,CAIRO  Dec 18 Breakfast cereal maker Kellogg Co  has again raised its bid for Egyptian snack maker Bisco Misr  outbidding private equity group Abraaj for the third time and snatching the lead in a $140 million takeover battle.,normal
K,Kellogg Company,20141218,Kellogg outbids Abraaj for Egypt's Bisco Misr again ,CAIRO  Dec 18 Kellogg has raised its bid for Egyptian snack maker Bisco Misr to 86.36 Egyptian pounds per share  topping a rival offer from the UAE's Abraaj Investment Management by two percent.,normal
LMT,Lockheed Martin Corporation,20141218,South Korea balks as U.S. picks Japan  Australia to service F-35s in Asia ,WASHINGTON/SEOUL South Korea said on Thursday it will not send its F-35 fleet to Japan for heavy airframe maintenance  one of the two Asian hubs chosen by the United States to service the Lockheed Martin Corp stealth fighter.,topStory
LMT,Lockheed Martin Corporation,20141218,UPDATE 3-S.Korea balks as U.S. picks Japan  Australia to service F-35s in Asia ,WASHINGTON/SEOUL  Dec 18 South Korea said on Thursday it will not send its F-35 fleet to Japan for heavy airframe maintenance  one of the two Asian hubs chosen by the United States to service the Lockheed Martin Corp  stealth fighter.,normal
LMT,Lockheed Martin Corporation,20141218,S.Korea won't conduct F-35 fighter maintenance in Japan - official ,SEOUL  Dec 18 South Korea will not conduct maintenance of its new fleet of Lockheed Martin Corp  F-35 fighters in Japan  a South Korean official said on Thursday  despite a new deal by the Pentagon to service the stealth jets in Asia.,normal
MRK,Merck & Company Inc,20141218,UPDATE 1-New GSK shingles vaccine may challenge Merck after strong test data ,* GSK vaccine cuts risk of shingles by 97.2 pct in over 50s,topStory
NKE,Nike Inc,20141218,Nike flags slowing growth in western Europe  emerging markets ,Nike Inc's  futures orders rose at its slowest pace in four quarters  indicating weakening demand for the sportswear maker's products in emerging markets and western Europe.,topStory
NKE,Nike Inc,20141218,UPDATE 1-Nike flags slowing growth in western Europe  emerging markets ,Dec 18 Nike Inc's futures orders rose at its slowest pace in four quarters  indicating weakening demand for the sportswear maker's products in emerging markets and western Europe.,normal
NKE,Nike Inc,20141218,CORRECTED-Nike's future orders growth rate slows ,Dec 18 Nike Inc said future orders  a indicator of growth  increased 11 percent in the latest quarter  the slowest rate in four quarters and lower than market estimates.,normal
OCN,Ocwen Financial Corporation,20141218,Ocwen being examined over whether it delayed home sales: Bloomberg ,Ocwen Financial Corp  is facing scrutiny from New York state and the federal government over whether the mortgage servicer improperly stalled short sales of property to collect more fees  Bloomberg reported  citing sources.,topStory
OCN,Ocwen Financial Corporation,20141218,Ocwen being examined over whether it delayed home sales-Bloomberg ,Dec 18 Ocwen Financial Corp is facing scrutiny from New York state and the federal government over whether the mortgage servicer improperly stalled short sales of property to collect more fees  Bloomberg reported  citing sources.,normal
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St has best 2-day gain since 2011 on Fed optimism ,* Indexes up: Dow 2.4 pct  S&P 2.4 pct  Nasdaq 2.2 pct   (Updates close with further comments  VIX close),topStory
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St has best 2-day gain since 2011 on Fed optimism ,* Indexes up: Dow 2.4 pct  S&P 2.4 pct  Nasdaq 2.2 pct   (Updates to close),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St up more than 1 pct for 2nd day; tech leads ,* Indexes up: Dow 1.6 pct  S&P 1.7 pct  Nasdaq 1.8 pct   (Updates to late afternoon),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St gains sharply for 2nd day; tech shares lead ,* Indexes up: Dow 1.7 pct  S&P 1.6 pct  Nasdaq 1.6 pct   (Updates to midday),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St climbs as tech shares lead ,* Indexes up: Dow 1.19 pct  S&P 1.2 pct  Nasdaq 1.33 pct   (Adds Philly Fed data),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St climbs on oil boost in wake of Fed statement ,* Indexes up: Dow 1.3 pct  S&P 1.34 pct  Nasdaq 1.33 pct   (Updates to open  adds Markit data),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Wall St to rise in wake of Fed statement as oil climbs ,* Futures up: Dow 221 pts  S&P 25.75 pts  Nasdaq 57.25 pts   (Adds comments  data),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Futures climb as oil climbs; initial claims due ,* Futures up: Dow 192 pts  S&P 23 pts  Nasdaq 57 pts   (Adds premarket actives),normal
ORCL,Oracle Corporation,20141218,US STOCKS-Futures climb as oil rebounds; data on tap ,NEW YORK  Dec 18 U.S. stock index futures surged on Thursday  putting the S&P 500 on track to extend gains from the prior session  as oil prices showed hints of stabilizing and ahead of data on the labor market.,normal
ORCL,Oracle Corporation,20141218,UPDATE 2-Oracle revenue rises 3.5 pct on strong growth in cloud ,Dec 17 Oracle Corp reported a 3.5 percent increase in quarterly revenue on Wednesday  beating Wall Street's expectations  as sales at its closely watched cloud services business rose 45 percent.,normal
ORAN,Orange,20141218,U.S. startup sues France's Orange over social calling app ,French telecom group Orange SA confirmed on Wednesday that it has been sued in California by San Francisco-based startup Telesocial in an intellectual property case  but said that the startup's claims were unfounded.,topStory
PCG,Pacific Gas & Electric Co,20141218,Poland's PGE granted 1 billion zloty loan from state bank BGK ,WARSAW  Dec 18 Polish state bank BGK has granted a 1 billion zloty ($292 million) loan to utility company PGE  the bank said on Thursday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20141218,Brazilian lawmakers urge indictments in Petrobras scandal ,BRASILIA A congressional committee investigating a mushrooming corruption scandal at Brazil's state-run oil company Petroleo Brasileiro SA  recommended on Thursday that prosecutors bring charges against 52 people for alleged money laundering and racketeering.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20141218,Brazil's Rousseff vows to help strengthen governance at Petrobras ,SAO PAULO Brazilian President Dilma Rousseff vowed on Thursday to help implement the toughest corporate governance standards at state-controlled oil producer Petróleo Brasileiro SA  which is grappling with the worst corruption scandal of its history.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20141218,UPDATE 1-Brazilian lawmakers urge indictments in Petrobras scandal ,BRASILIA  Dec 18 A congressional committee investigating a mushrooming corruption scandal at Brazil's state-run oil company Petroleo Brasileiro SA  recommended on Thursday that prosecutors bring charges against 52 people for alleged money laundering and racketeering.,normal
RHT,Red Hat Inc,20141218,Linux distributor Red Hat raises full-year profit forecast ,Red Hat Inc   the world's largest commercial distributor of the Linux operating system  raised its profit forecast for the full year after reporting quarterly revenue and profit above market expectations  boosted by strong growth in subscriptions.,topStory
RHT,Red Hat Inc,20141218,UPDATE 2-Linux distributor Red Hat raises full-year profit forecast ,* Sees full-year adj EPS $1.57-$1.58 vs prev view $1.53-$1.55,normal
RHT,Red Hat Inc,20141218,Linux distributor Red Hat's revenue up 15 pct on subscription growth ,Dec 18 Red Hat Inc  the world's largest commercial distributor of the Linux operating system  posted a 15 percent rise in quarterly revenue  helped by strong growth in subscriptions.,normal
RAD,Rite Aid Corporation,20141218,UPDATE 1-Rite Aid raises full-year forecast after strong third quarter ,Dec 18 Rite Aid Corp  the third largest U.S. drugstore chain  raised its full-year earnings forecast after cutting it twice this year as higher sales of prescription drugs pushed up its profit and revenue in the third quarter.,topStory
RAD,Rite Aid Corporation,20141218,Rite Aid's quarterly profit jumps 46.5 percent ,U.S. drugstore chain Rite Aid Corp's  quarterly profit jumped 46.5 percent as higher sales of prescription drugs boosted same-store sales.,normal
RAD,Rite Aid Corporation,20141218,Rite Aid's quarterly profit jumps 46.5 pct ,Dec 18 U.S. drugstore chain Rite Aid Corp's  quarterly profit jumped 46.5 percent as higher sales of prescription drugs boosted same-store sales.,normal
RY,Royal Bank Of Canada,20141218,RBC to pay $35 mln to settle U.S. lawsuit on trading scheme ,NEW YORK Royal Bank of Canada has agreed to pay $35 million to resolve a lawsuit by the U.S. Commodity Futures Trading Commission that accused it of running an illegal trading scheme to gain lucrative Canadian tax benefits.,topStory
RY,Royal Bank Of Canada,20141218,RBC to pay $35 million to settle U.S. lawsuit on trading scheme ,NEW YORK Royal Bank of Canada has agreed to pay $35 million to resolve a lawsuit by the U.S. Commodity Futures Trading Commission that accused it of running an illegal trading scheme to gain lucrative Canadian tax benefits.,normal
RY,Royal Bank Of Canada,20141218,UPDATE 1-RBC to pay $35 mln to settle U.S. lawsuit on trading scheme ,NEW YORK  Dec 18 Royal Bank of Canada  has agreed to pay $35 million to resolve a lawsuit by the U.S. Commodity Futures Trading Commission that accused it of running an illegal trading scheme to gain lucrative Canadian tax benefits.,normal
RY,Royal Bank Of Canada,20141218,RBC to pay $35 million over U.S. regulator's trading scheme lawsuit ,NEW YORK  Dec 18 Royal Bank of Canada  has agreed to pay $35 million to resolve a lawsuit by the U.S. Commodity Futures Trading Commission  accusing it of running a massive trading scheme to gain lucrative Canadian tax benefits.,normal
SNE,Sony Corp Ord,20141218,U.S. considers 'proportional' response to Sony hacking attack ,WASHINGTON The United States said on Thursday a cyber attack on Sony Pictures was a serious national security matter and the Obama administration was considering a proportional response  although the White House stopped short of blaming North Korea. | Video ,topStory
SNE,Sony Corp Ord,20141218,UPDATE 3-U.S. considers 'proportional' response to Sony hacking attack ,(Adds context on reference to Iran; detail of possible response to attack),normal
SNE,Sony Corp Ord,20141218,Sony cancels North Korea movie in apparent win for Pyongyang hackers ,LOS ANGELES Sony Pictures has canceled the release of a comedy on the fictional assassination of North Korea's leader  in what appears to be an unprecedented victory for Pyongyang and its abilities to wage cyber-warfare. | Video ,normal
SNE,Sony Corp Ord,20141218,Hollywood slams Sony  movie theaters for canceling 'The Interview' ,LOS ANGELES Hollywood filmmakers and actors voiced outrage on Wednesday after Sony Pictures pulled the release of North Korea parody "The Interview " following threats from hackers who waged a massive cyberattack on the movie studio. | Video ,normal
SNE,Sony Corp Ord,20141218,White House says U.S. weighing proportionate response to Sony hack ,WASHINGTON The White House said on Thursday that U.S. officials were treating a cyber attack on Sony Pictures as a serious national security matter and that President Barack Obama's National Security Council was considering a proportionate response.,normal
SNE,Sony Corp Ord,20141218,White House says U.S. weighing proportionate response to Sony hack ,WASHINGTON  Dec 18 The White House said on Thursday that U.S. officials were treating a cyber attack on Sony Pictures as a serious national security matter and that President Barack Obama's National Security Council was considering a proportionate response.,normal
SNE,Sony Corp Ord,20141218,U.S. weighs response to Sony hacking attack blamed on North Korea ,WASHINGTON  Dec 18 The United States was considering possible options on Thursday in response to a major cyber attack on Sony Pictures blamed on North Korea  amid calls for tougher sanctions on Pyongyang to cut it off from the global banking system.,normal
SNE,Sony Corp Ord,20141218,Japan's Suga: Don't think Sony hack issue to affect Japan-North Korea talks ,TOKYO Japan's top government spokesman on Thursday said he does not think the cyber-attack against Sony Pictures will directly affect talks on the abduction issue between Japan and North Korea.,normal
SNE,Sony Corp Ord,20141218,Japan's Suga: Don't think Sony hack issue to affect Japan-N.Korea talks ,TOKYO  Dec 18 Japan's top government spokesman on Thursday said he does not think the cyber-attack against Sony Pictures will directly affect talks on the abduction issue between Japan and North Korea.,normal
SNE,Sony Corp Ord,20141218,UPDATE 8-Sony cancels N.Korea movie in apparent win for Pyongyang hackers ,LOS ANGELES  Dec 18 Sony Pictures has cancelled the release of a comedy on the fictional assassination of North Korea's leader  in what appears to be an unprecedented victory for Pyongyang and its abilities to wage cyber-warfare.,normal
SCCO,Southern Copper Corporation,20141218,Peru OKs environmental study for Southern Copper mine expansion ,LIMA  Dec 18 Peru approved the environmental study for Southern Copper's $1.2 billion expansion of its Toquepala mine  a project expected to raise copper output by 100 000 tonnes per year  the government said on Thursday.,topStory
STT,State Street Corporation,20141218,Ex-State Street executives to appeal SEC ruling in crisis-era case ,WASHINGTON Attorneys for two former State Street Corp executives plan to file an appeal after the U.S. Securities and Exchange Commission this week partially reversed a judge's decision  ruling they mislead investors in a fund exposed to subprime mortgages.,topStory
STT,State Street Corporation,20141218,Ex-State Street executives to appeal SEC ruling in crisis-era case ,WASHINGTON Attorneys for two former State Street Corp executives plan to file an appeal after the U.S. Securities and Exchange Commission this week partially reversed a judge's decision  ruling they mislead investors in a fund exposed to subprime mortgages.,normal
STT,State Street Corporation,20141218,Ex-State Street executives to appeal SEC ruling in crisis-era case ,WASHINGTON  Dec 18 Attorneys for two former State Street Corp executives plan to file an appeal after the U.S. Securities and Exchange Commission this week partially reversed a judge's decision  ruling they mislead investors in a fund exposed to subprime mortgages.,normal
STT,State Street Corporation,20141218,RPT - INSIGHT-Green bonds sell big in 2014 as finance bids to help climate ,Dec 18 A "green" bond market has taken root this year  with municipalities and corporations issuing new environmentally-focused bonds and money managers jumping in to buy them.,normal
STT,State Street Corporation,20141218,MOVES-State Street appoints Wai Kwong Seck to its management committee ,Dec 18 State Street Corp  the world's second-largest standalone custody bank  appointed Wai Kwong Seck to its management committee  the company's senior-most strategy and policy making group.,normal
STT,State Street Corporation,20141218,Green bonds sell big in 2014 as finance bids to help climate ,A "green" bond market has taken root this year  with municipalities and corporations issuing new environmentally-focused bonds and money managers jumping in to buy them.,normal
STT,State Street Corporation,20141218,INSIGHT-Green bonds sell big in 2014 as finance bids to help climate ,Dec 18 A "green" bond market has taken root this year  with municipalities and corporations issuing new environmentally-focused bonds and money managers jumping in to buy them.,normal
STO,Statoil ASA,20141218,BRIEF-Storebrand signs pension deal with Statoil ,* Storebrand and Statoil have signed a letter of intent to deliver defined contribution pension to all of Statoil's 13 400 employees with more than 15 years left to retirement,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20141218,BRIEF-TSMC and unit orders machinery equipment for a combined T$1.36 bln ,Dec 18 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TI,Telecom Italia SPA,20141218,Italy's digital future seen at stake in battle for Metroweb ,* Metroweb seen becoming central to government's digital plan,topStory
SCHW,The Charles Schwab Corporation,20141218,Schwab's Clendening leaving with more than $5.2 mln package ,NEW YORK  Dec 18 John Clendening  the former co-head of Charles Schwab Corp's retail brokerage business  will collect a cash payment of $5.17 million as part of a separation agreement he signed on Dec. 10  the San Francisco-based brokerage firm said in a regulatory filing on Thursday.,topStory
TOT,Total SA,20141218,BRIEF-Euronext Paris announces results of Groupe AG3I IPO ,* Buying orders for 1 180 Groupe AG3I shares have been registered in its IPO,topStory
TM,Toyota Motor Corp Ltd Ord,20141218,BRIEF-Toyota considering consolidating seat-making operations ,* Says considering consolidating seat-making operations  to make decision at board meeting on friday  Further company coverage:    (Tokyo newsroom),topStory
USB,US Bancorp,20141218,U.S. Bancorp unit settles lawsuit over role as trustee ,NEW YORK U.S. Bank has agreed to pay $6 million to settle an investor lawsuit that accused the U.S. Bancorp unit of violating its duties as a trustee for mortgage-backed securities that were sold by Bear Stearns before the 2008 financial crisis.,topStory
USB,US Bancorp,20141218,U.S. Bancorp unit settles lawsuit over role as trustee ,NEW YORK U.S. Bank has agreed to pay $6 million to settle an investor lawsuit that accused the U.S. Bancorp unit of violating its duties as a trustee for mortgage-backed securities that were sold by Bear Stearns before the 2008 financial crisis.,normal
USB,US Bancorp,20141218,U.S. Bancorp unit settles lawsuit over role as trustee ,NEW YORK  Dec 18 U.S. Bank has agreed to pay $6 million to settle an investor lawsuit that accused the U.S. Bancorp unit of violating its duties as a trustee for mortgage-backed securities that were sold by Bear Stearns before the 2008 financial crisis.,normal
UN,Unilever NV,20141218,Unilever plans to appeal French price-fixing fine ,LONDON  Dec 18 Unilever  plans to appeal a 172.5 million euro  ($212 million) fine from France's competition authority  which claims the Anglo-Dutch consumer goods maker and rivals engaged in price-fixing between 2003 and 2006.,topStory
V,Visa Inc,20141218,UPDATE 1-EU agrees deal to cap bank card payment fees ,BRUSSELS  Dec 18 European Union governments have agreed to cap the fees retailers pay to process debit and credit card transactions in a move the EU parliament said should bring down costs for customers.,topStory
VC,Visteon Corporation,20141218,Visteon agrees to sell South Korean unit for $3.6 billion ,SEOUL U.S. auto parts maker Visteon Corp  has agreed to sell its majority-owned South Korean unit for $3.6 billion  cashing in on a quadrupling of the air conditioning firm's share price in the last five years as Visteon refocuses on in-car electronics.,topStory
VC,Visteon Corporation,20141218,UPDATE 1-Visteon agrees to sell S.Korean unit for $3.6 bln ,SEOUL  Dec 18 U.S. auto parts maker Visteon Corp  has agreed to sell its majority-owned South Korean unit for $3.6 billion  cashing in on a quadrupling of the air conditioning firm's share price in the last five years as Visteon refocuses on in-car electronics.,normal
VMW,Vmware Inc,20141218,REFILE-IBM says cloud business enjoying "breakthrough year" ,LONDON  Dec 17 IBM aims to expand the number of data centres it offers clients around the world by 25 percent to meet fast-rising demand for internet-based services  after what a company executive said has been a "breakthrough year" in 2014 for its cloud computing business.,topStory
WFC,Wells Fargo & Company,20141218,Two Wells Fargo units to pay $1.5 million for anti-money laundering lapses: FINRA ,Two brokerage units of Wells Fargo & Co must pay a joint $1.5 million fine for failing to comply with anti-money laundering regulations by not verifying 220 000 new accounts during a nine-year period  the Financial Industry Regulatory Authority (FINRA) said on Thursday.,topStory
WFC,Wells Fargo & Company,20141218,UPDATE 1-Two Wells Fargo units to pay $1.5 mln for anti-money laundering lapses -FINRA ,Dec 18 Two brokerage units of Wells Fargo & Co  must pay a joint $1.5 million fine for failing to comply with anti-money laundering regulations by not verifying 220 000 new accounts during a nine-year period  the Financial Industry Regulatory Authority (FINRA) said on Thursday.,normal
WGO,Winnebago Industries Inc,20141218,Labor costs  supply chain issues bite into Winnebago's profit ,Winnebago Industries Inc  reported a lower-than-expected profit on Thursday as a worker shortage at a key plant in rural Iowa and trouble sourcing key components from suppliers stymied production of the company's recreational vehicles.,topStory
WGO,Winnebago Industries Inc,20141218,UPDATE 1-Labor costs  supply chain issues bite into Winnebago's profit ,Dec 18 Winnebago Industries Inc reported a lower-than-expected profit on Thursday as a worker shortage at a key plant in rural Iowa and trouble sourcing key components from suppliers stymied production of the company's recreational vehicles.,normal
WGO,Winnebago Industries Inc,20141218,Labor costs  supply chain issues bite into Winnebago's profit ,Dec 18 Winnebago Industries Inc reported a lower-than-expected profit on Thursday as labor constraints and supply chain disruptions stymied production of the company's recreational vehicles.,normal
XRX,Xerox Corporation,20141218,Xerox to sell IT outsourcing arm to France's Atos for $1.05 billion ,Xerox Corp  said it agreed to sell its IT outsourcing (ITO) arm to French IT services firm Atos SE  for $1.05 billion.,topStory
XRX,Xerox Corporation,20141218,Xerox to sell IT outsourcing arm to France's Atos for $1.05 bln ,Dec 18 Xerox Corp said it agreed to sell its IT outsourcing (ITO) arm to French IT services firm Atos SE  for $1.05 billion.,normal
