GOOG,Alphabet Inc,20141110,MEDIA-Google in race with Facebook  Microsoft for a slice of digital India - Economic Times ,- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
LZB,La-Z-Boy Incorporated,20141110,UPDATE 1-International Market Centers files for IPO ,Nov 10 International Market Centers Inc  a provider of showroom space to home furniture and decor companies such as Bassett Furniture Industries and La-Z-Boy Inc   filed with U.S. regulators for an initial public offering of common stock.,topStory
MCD,McDonald&#39;s Corporation,20141110,McDonald's recalls lollipop whistles over choking concerns ,WASHINGTON U.S. restaurant chain McDonald's Corp is recalling about 2.5 million lollipop whistles because young children can choke on the parts  the Consumer Product Safety Commission said on Monday.,topStory
MCD,McDonald&#39;s Corporation,20141110,McDonald's recalls lollipop whistles over choking concerns ,WASHINGTON  Nov 10 U.S. restaurant chain McDonald's Corp is recalling about 2.5 million lollipop whistles because young children can choke on the parts  the Consumer Product Safety Commission said on Monday.,normal
MCD,McDonald&#39;s Corporation,20141110,US STOCKS-Wall Street climbs modestly after three-week run ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
MCD,McDonald&#39;s Corporation,20141110,McDonald's October sales fall not as steep as expected ,McDonald's Corp's  restaurant sales fell less than expected in October  the company said on Monday  but worries linger as it searches for the right recipe to compete with popular chains selling fresh made-to-order food.,normal
MCD,McDonald&#39;s Corporation,20141110,US STOCKS-Wall Street edges higher after three-week run ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
MCD,McDonald&#39;s Corporation,20141110,UPDATE 2-McDonald's October sales fall not as steep as expected ,(Adds details results and company turnaround strategy  analyst comment),normal
MCD,McDonald&#39;s Corporation,20141110,US STOCKS-Wall Street little changed after three-week rally ,* Dow off 0.05 pct  S&P up 0.01 pct  Nasdaq off 0.08 pct   (Updates to market open),normal
MCD,McDonald&#39;s Corporation,20141110,US STOCKS-Wall Street set to open flat after three-week run ,* Futures up: Dow 17 pts  S&P 1.75 pts  Nasdaq 9.5 pts   (Adds quote  updates prices),normal
MCD,McDonald&#39;s Corporation,20141110,McDonald's October same-store sales fall 0.5 percent ,Nov 10 McDonald's Corp said on Monday sales at established restaurants fell across all regions in October  hurt by stiff competition in the United States  economic and political upheaval in Europe and the fallout from a supplier scandal in China.,normal
MCD,McDonald&#39;s Corporation,20141110,China criminal gang floods market with 100 metric tons of toxic tofu ,SHANGHAI A criminal gang in eastern China has sold almost 100 metric tons (110.23 tons) of toxic tofu onto the local market  the latest in a string of scares that have thrown light on shady practices in the country's food industry.,normal
MRK,Merck & Company Inc,20141110,Merck expects no writedowns for Zetia  Vytorin cholesterol drugs ,Merck & Co on Monday said long-awaited data from an 18 000-patient trial suggest the company will not have to write down the value of its blockbuster Zetia and Vytorin cholesterol drugs.,topStory
MRK,Merck & Company Inc,20141110,Merck expects no writedowns for Zetia  Vytorin cholesterol drugs ,Nov 10 Merck & Co on Monday said long-awaited data from an 18 000-patient trial suggest the company will not have to write down the value of its blockbuster Zetia and Vytorin cholesterol drugs.,normal
MRK,Merck & Company Inc,20141110,MOVES-Former Bank of America healthcare banker joins Credit Suisse ,Nov 10 A former Bank of America banker who advises clients in the healthcare sector has joined Credit Suisse  according to an internal memo.,normal
MRK,Merck & Company Inc,20141110,US STOCKS-Wall Street climbs to new highs; transports rally ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
MRK,Merck & Company Inc,20141110,US STOCKS-Wall Street climbs modestly after three-week run ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
MRK,Merck & Company Inc,20141110,US STOCKS-Wall Street edges higher after three-week run ,* Gilead climbs after Merck's hepatitis C drug trial results,normal
MRK,Merck & Company Inc,20141110,US STOCKS-Wall Street little changed after three-week rally ,* Dow off 0.05 pct  S&P up 0.01 pct  Nasdaq off 0.08 pct   (Updates to market open),normal
MRK,Merck & Company Inc,20141110,US STOCKS-Wall Street set to open flat after three-week run ,* Futures up: Dow 17 pts  S&P 1.75 pts  Nasdaq 9.5 pts   (Adds quote  updates prices),normal
MRK,Merck & Company Inc,20141110,US STOCKS-Futures inch up after three-week rally; Alibaba active ,* Futures up: Dow 17 pts  S&P 2.5 pts  Nasdaq 10.25 pts   (Adds premarket movers),normal
MRK,Merck & Company Inc,20141110,Merck four-week hep C regimen with Gilead's Sovaldi comes up short ,An attempt by Merck & Co to shorten hepatitis C treatment to just four weeks by adding Gilead Sciences Inc's huge selling Sovaldi to its own oral two-drug combination came nowhere near the desired efficacy due to a high rate of relapses  according to interim data from a midstage study.,normal
MUR,Murphy Oil Corporation,20141110,Wrong place  small size  ailing industry kill Welsh refinery ,* Europe's refiners face stiff competition from Asia  U.S.,topStory
NCR,NCR Corporation,20141110,NCR adds hedge fund Marcato Capital's McGuire to board ,BOSTON NCR Corp  which makes automated teller machines  said on Monday that hedge fund manager Richard McGuire  NCR's biggest shareholder  will join its board less than a month after the company lowered its earnings forecast for the year.,topStory
NCR,NCR Corporation,20141110,NCR adds hedge fund Marcato Capital's McGuire to board ,BOSTON  Nov 10 NCR Corp  which makes automated teller machines  said on Monday that hedge fund manager Richard McGuire  NCR's biggest shareholder  will join its board less than a month after the company lowered its earnings forecast for the year.,normal
NCR,NCR Corporation,20141110,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Nov 10  2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.          ** For e,normal
PHI,PLDT Inc,20141110,Fitch: Philippine Telcos' Margins to Narrow  Capex to Rise ,(The following statement was released by the rating agency) SINGAPORE/SYDNEY  November 10 (Fitch) Fitch Ratings says in a special report  released today that profitability at Philippine Long Distance Telephone Company  (PLDT; BBB/Stable) and Globe Telecom  Inc. (Globe; BBB-/Stable) is likely to  decline and their capex increase in 2015  but their ratings will not be affected  given the available headroom. Fitch expects free cash flows (FCF) for both PLDT and Globe to be negative in  2015 due to ,topStory
PUK,Prudential Public Limited Company,20141110,BRIEF-Prudential to sell its 25 pct PruHealth JV stake to Discovery ,* Agreement to sell its 25 pct equity stake in PruHealth and PruProtect joint venture,topStory
LUV,Southwest Airlines Company,20141110,Southwest Airlines expects current quarter unit revenue to grow 1 to 2 percent ,Southwest Airlines forecast modest growth in unit revenue for the current quarter during its investor day presentation on Monday.,topStory
LUV,Southwest Airlines Company,20141110,Southwest Airlines expects current quarter unit revenue to grow 1 to 2 pct ,Nov 10 Southwest Airlines forecast modest growth in unit revenue for the current quarter during its investor day presentation on Monday.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20141110,Taiwan's TSMC says October sales up 56 pct on year ,TAIPEI  Nov 10 TSMC  the world's biggest contract chip maker  posted a 55.9 percent rise in October sales from a year earlier.    Following are details of the sales:                                 OCTOBER   Y/Y %   YR-TO-DATE   Y/Y %    Sales (T$ bln)      80.74     55.9    621.02       23.5         (US$ bln)      2.64           For a table on TSMC's website  see (http://link.reuters.com/zen56t)   (1 US dollar = 30.5430 Taiwan dollar)   (Reporting by J.R. Wu; Editing by Biju Dwaraka,topStory
TEF,Telefonica SA,20141110,UPDATE 2-Telefonica sells half of China Unicom stake for $854 mln ,* Telefonica is busy reorganising Latin American business   (Recasts with confirmation of sale  adds details),topStory
TEF,Telefonica SA,20141110,Spain's Telefonica sells 2.5 pct of China Unicom ,MADRID  Nov 10 Spanish telecoms giant Telefonica SA said on Monday it had sold a 2.5 percent stake in China Unicom (Hong Kong) Ltd in a block trade for about 687 million euros ($854 million).,normal
TEF,Telefonica SA,20141110,Telefonica seeks up to $875 mln by selling China Unicom stake -term sheet ,HONG KONG  Nov 10 Spanish telecoms giant Telefonica SA is seeking to raise $859 million to $875 million by selling a stake in China Unicom (Hong Kong) Ltd   according to a term sheet seen by Reuters on Monday.,normal
TOL,Toll Brothers Inc,20141110,Toll Brothers sells more homes at higher prices ,Toll Brothers Inc   the largest U.S. luxury homebuilder  reported a 29 percent jump in quarterly revenue after it sold more homes at higher prices as housing demand strengthened.,topStory
TOL,Toll Brothers Inc,20141110,UPDATE 1-Toll Brothers sells more homes at higher prices ,Nov 10 Toll Brothers Inc  the largest U.S. luxury homebuilder  reported a 29 percent jump in quarterly revenue after it sold more homes at higher prices as housing demand strengthened.,normal
TOL,Toll Brothers Inc,20141110,Toll Brothers sells more homes at higher prices ,Nov 10 Toll Brothers Inc  the largest U.S. luxury homebuilder  reported a 29 percent jump in quarterly revenue as it sold more homes at higher prices.,normal
RIG,Transocean Ltd,20141110,Transocean says likely to retire additional rigs ,Nov 10 Transocean Ltd  the owner of the world's largest offshore drilling fleet  said it was likely to retire additional rigs as the company continued to face pressure due to slowdown in an oversupplied rig market.,topStory
TRQ,Turquoise Hill Resources Ltd,20141110,UPDATE 1-Mongolia PM ousting may delay mine talks -Turquoise Hill ,Nov 10 Last week's ousting of Mongolia's prime minister is likely to delay talks on resolving a long-running dispute over the huge Oyu Tolgoi copper and gold mine in the mineral-rich country  joint-mine owner Turquoise Hill Resources Ltd said on Monday.,topStory
TRQ,Turquoise Hill Resources Ltd,20141110,REFILE-Turquoise Hill loss narrows as sales start at Oyu Tolgoi mine ,Nov 10 Canada's Turquoise Hill Resources Ltd  reported a lower third-quarter loss due to the start of sales from its Oyu Tolgoi copper-gold mine in Mongolia and lower operating expenses.,normal
UMC,United Microelectronics Corporation,20141110,BRIEF-Taiwan's UMC Oct sales up 28.9 pct ,* Says Oct sales at T$13.5 billion (442.19 million US dollar),topStory
DIS,Walt Disney Company (The),20141110,Florida 'race war' planner sentenced to six months ,ORLANDO Fla. A Florida man accused of training members of a white supremacist group for a "race war" at a heavily fortified compound near Orlando and Walt Disney World was sentenced on Monday to six months in jail  according to court records.,topStory
WFC,Wells Fargo & Company,20141110,ON THE MOVE-Wells Fargo lands JP Morgan broker team managing nearly $1 bln ,NEW YORK  Nov 10 Wells Fargo Advisors  Wells Fargo & Co's brokerage unit  landed a three-person team from JP Morgan Private Bank where they managed $972 million in client assets and deposits.,topStory
WHR,Whirlpool Corporation,20141110,Fitch Rates Whirlpool's Proposed $1B Euro-CP Program 'F2' ,(The following statement was released by the rating agency) CHICAGO  November 10 (Fitch) Fitch Ratings has assigned an 'F2' rating to  Whirlpool Europe B.V. as co-issuer of Whirlpool Corporation's (NYSE:  WHR)  proposed $1 billion Euro-Commercial Paper Program.  Whirlpool Corp. is co-issuer  and guarantor of the program. Fitch currently rates Whirlpool as follows: Whirlpool Corporation --Long-term Issuer Default Ratings (IDR) 'BBB'; --Short-term IDR 'F2'; --Commercial paper 'F2'; --Senior unsecu,topStory
YUM,Yum! Brands Inc,20141110,China criminal gang floods market with 100 tonnes of toxic tofu ,SHANGHAI  Nov 10 A criminal gang in eastern China has sold almost 100 tonnes of toxic tofu onto the local market  the latest in a string of scares that have thrown light on shady practices in the country's food industry.,normal
IMO,Imperial Oil Limited,20141110,Imperial Oil shuts Kearl oil sands mine for 'several weeks' ,CALGARY  Alberta  Nov 10 Imperial Oil Ltd   Canada's No. 2 integrated oil company  said on Monday it has shut its 110 000 barrel per day Kearl oil sands mine in northern Alberta for several weeks after detecting what it called a "vibration issue" in the facility's ore-crushing unit.,topStory
NGD,New Gold Inc,20141110,New Gold to buy Bayfield; Scorpio and US Silver & Gold to merge ,TORONTO  Nov 10 The precious metals sector in Canada  which has been battered by the plunge in gold and silver prices  received a small spot of positive news on Monday  with the announcement of two separate M&A deals.,topStory
