AMZN,Amazoncom Inc,20140505,Ticketfly taps former Amazon exec for operating role ,SAN FRANCISCO  May 5 Ticketfly  which harnesses data analytics to promote events  hired a former Amazon executive to run day-to-day operations as the start-up adds more events to its roster and lays the groundwork to expand internationally.,topStory
JPM,J P Morgan Chase & Co,20140505,JPMorgan $280 mln mortgage accord gets preliminary court approval ,NEW YORK  May 5 JPMorgan Chase & Co has won preliminary approval from a U.S. judge for its agreement to pay $280 million to resolve claims that it misled investors in billions of dollars worth of mortgage-backed securities.,normal
JNPR,Juniper Networks Inc,20140505,Nokia says to widen Juniper cooperation to cloud services ,HELSINKI Finnish telecommunications equipment maker Nokia said on Monday that it would extend its cooperation with peer Juniper Networks to mobile internet-based cloud services.,topStory
JNPR,Juniper Networks Inc,20140505,Nokia says to widen Juniper cooperation to cloud services ,HELSINKI  May 5 Finnish telecommunications equipment maker Nokia said on Monday that it would extend its cooperation with peer Juniper Networks to mobile internet-based cloud services.,normal
MPC,Marathon Petroleum Corporation,20140505,PointState Capital's Schreiber likes Valero  Marathon Petroleum ,NEW YORK PointState Capital's Zach Schreiber said on Monday that he recommended the shares of Valero Energy Co and Marathon Petroleum Corp because he sees crude prices falling and says U.S. refiners will benefit.,topStory
MPC,Marathon Petroleum Corporation,20140505,PointState Capital's Schreiber likes Valero  Marathon Petroleum ,NEW YORK  May 5 PointState Capital's Zach Schreiber said on Monday that he recommended the shares of Valero Energy Co and Marathon Petroleum Corp  because he sees crude prices falling and says U.S. refiners will benefit.,normal
MDR,McDermott International Inc,20140505,Indonesia restricts foreign investment in oil services industry ,* Halliburton  McDermott  China Oilfield among firms operating in country,topStory
MC,Moelis & Company,20140505,MOVES- Aquiline Capital  RBC Capital ,May 5 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
MC,Moelis & Company,20140505,Former Bank of America consumer banker joins Moelis ,A former Bank of America Corp  banker who advises clients in the food and beverage sector has joined boutique investment bank Moelis & Co  as it continues to beef up its consumer and retail team  Moelis said on Monday.,normal
MS,Morgan Stanley,20140505,ON THE MOVE-HighTower Advisors hires advisers from Morgan Stanley ,May 5 HighTower Advsiors LLC  an independent adviser-owned firm that has expanded by hiring away from top U.S. brokerages  said it has hired a team of veteran advisers from the Guth Group at Morgan Stanley to expand its presence in Columbus  Ohio.,topStory
MS,Morgan Stanley,20140505,ON THE MOVE-Morgan Stanley hires advisers from UBS ,May 5 Morgan Stanley's wealth management unit said on Monday that it hired veteran advisers from UBS AG  for its Louisville office.,normal
NKE,Nike Inc,20140505,Europe Factors to Watch-Shares set to inch up in thin volumes ,PARIS  May 5 European stocks were set to inch higher on Monday in thin volumes as UK markets were closed for a holiday  with gains set to be capped following soft Chinese manufacturing data.     At 0613 GMT  futures for Euro STOXX 50  for Germany's DAX  and for France's CAC were flat to up 0.2 percent.     The final reading of China's HSBC/Markit purchasing managers index (PMI) for April came in at 48.1  lower than a preliminary reading of 48.3 but up slightly from an eight-month low,normal
NVO,Novo Nordisk A/S,20140505,Novo cuts sales forecast after U.S. contract losses ,COPENHAGEN Denmark's Novo Nordisk A/S   the world's top maker of insulin  has lowered its 2014 sales outlook  hurt by the loss of two U.S. contracts and competition from copycat versions of its diabetes drug Prandin  it said on Thursday.,topStory
NVO,Novo Nordisk A/S,20140505,CORRECTED-UPDATE 2-Novo cuts sales forecast after U.S. contract losses ,(Corrects MAY 1 story to show Q1 sales growth 7 pct in local currencies  Novo Nordics' most valuable company),normal
OXY,Occidental Petroleum Corporation,20140505,UPDATE 1-Occidental profit beats on higher U.S. oil  natgas prices ,* U.S. crude prices up 5 pct  gas prices rise 15 pct   (Adds details from statement  background  analysts' estimates  shares),topStory
OXY,Occidental Petroleum Corporation,20140505,Occidental Petroleum profit rises on higher crude  natgas prices ,May 5 Occidental Petroleum Corp  the fourth-largest U.S. oil and gas company  reported a 2.6 percent rise in first-quarter profit  helped by higher prices for crude oil and natural gas.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20140505,BG  Shell push Brazil oil  gas output to 26-month high in March ,RIO DE JANEIRO  May 5 Brazil's oil and natural gas output rose to a 26-month high in March as companies such as Royal Dutch Shell Plc and BG Group Plc made up for stagnant output from state-run oil company Petrobras  oil regulator ANP said on Monday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20140505,Itau tops Petrobras in Brazil stock index weightings ,SAO PAULO  May 5 Shares of Brazil's largest non-government bank  Itau Unibanco Holding SA now carry the heaviest weighting on the benchmark Bovespa stock index  topping state-run oil producer Petroleo Brasileiro SA  exchange operator BM&FBovespa SA  said on Monday.,normal
PFE,Pfizer Inc,20140505,Pfizer signals open to hostile option for AstraZeneca ,NEW YORK Pfizer Inc's top officials said on Monday they are weighing all strategies  including potential hostile maneuvers  in the company's effort to seal a $106 billion takeover of British drugmaker AstraZeneca Plc.,topStory
PFE,Pfizer Inc,20140505,Deals of the day- Mergers and acquisitions ,(Adds Alsea  UniCredit  Qatar Airways  Staples  Pfizer  Endurance Specialty  Ascometal  updates Alstom),normal
PFE,Pfizer Inc,20140505,US STOCKS-Wall St inches up as ISM data offsets Ukraine worries ,* Services sector grows in April  fastest pace in 8 months,normal
PFE,Pfizer Inc,20140505,Pfizer sales way off mark as company pursues AstraZeneca ,NEW YORK Pfizer Inc  reported quarterly revenue well below Wall Street expectations on falling sales of key brands and generic drugs  underscoring its interest in pursuing a $106 billion bid for rival AstraZeneca  to promote new business growth. | Video ,normal
PFE,Pfizer Inc,20140505,UPDATE 3-Pfizer sales way off mark as company pursues AstraZeneca ,NEW YORK  May 5 Pfizer Inc reported quarterly revenue well below Wall Street expectations on falling sales of key brands and generic drugs  underscoring its interest in pursuing a $106 billion bid for rival AstraZeneca to promote new business growth.,normal
PFE,Pfizer Inc,20140505,US STOCKS-Wall St flat as ISM data offsets Ukraine concern ,* Services sector grows in April  fastest pace in 8 months,normal
PFE,Pfizer Inc,20140505,BRIEF-Pfizer days researchers would have "massive presence" in U.S. after Astra merger ,May 5 Pfizer Inc :  * CEO says company will remained "disciplined" as it pursues Astrazeneca,normal
PFE,Pfizer Inc,20140505,US STOCKS-Wall St falls on Ukraine unrest  weak China data ,* U.S. services sector grows in April at fastest pace in 8 months,normal
PFE,Pfizer Inc,20140505,US STOCKS-Wall St to open lower on Ukraine unrest  weak China data ,* Futures off: Dow 70 pts  S&P 8 pts  Nasdaq 17 pts   (Updates prices  adds Target. B/E Aerospace),normal
PFE,Pfizer Inc,20140505,US STOCKS-Futures fall on weak China data  Ukraine unrest ,NEW YORK  May 5 U.S. stock index futures fell on Monday on concern China's economy continued to lose momentum and as pro-Russian separatists ambushed Ukrainian forces  escalating a conflict that has kept global markets on tenterhooks recently.,normal
RIO,Rio Tinto Plc,20140505,RPT-UPDATE 1-China's Baosteel  Aurizon offer $1 bln for Aquila Resources ,* Aquila says bid unsolicited  hires Goldman Sachs to advise,topStory
COL,Rockwell Collins Inc,20140505,UPDATE 3-Recaro eyes assets as B/E Aerospace explores sale ,(Adds details on possible bidders  share price and comment from minority shareholder),normal
SNY,Sanofi,20140505,Sanofi says Shan5 vaccine approved for purchase by UN agencies ,PARIS French pharmaceutical company Sanofi said the World Health Organisation had given its Shan5 paediatric vaccine  "prequalification status"  allowing the vaccine to be bought by United Nations agencies including UNICEF.,topStory
SNY,Sanofi,20140505,Sanofi says Shan5 vaccine approved for purchase by UN agencies ,PARIS  May 5 French pharmaceutical company Sanofi said the World Health Organisation had given its Shan5 paediatric vaccine  "prequalification status"  allowing the vaccine to be bought by United Nations agencies including UNICEF.,normal
SAP,SAP SE,20140505,SAP's Vishal Sikka steps down  two new board members named ,German business software maker SAP AG said Vishal Sikka  head of products and innovation  has stepped down and that it had named two new members to its executive board.,topStory
SAP,SAP SE,20140505,SAP's Vishal Sikka steps down  two new board members named ,May 4 German business software maker SAP AG  said Vishal Sikka  head of products and innovation  has stepped down and that it had named two new members to its executive board.,normal
BID,Sotheby&#39;s,20140505,Sotheby's ends fight with Third Point  Loeb joins board ,Sotheby's and Daniel Loeb on Monday ended their long-running battle and agreed to let the billionaire investor and two of his associates join the auction house's board.,topStory
BID,Sotheby&#39;s,20140505,RPT-UPDATE 1-Sotheby's ends fight with Third Point  Loeb joins board ,(Repeats to remove redundant text in lead paragraph)  (Adds details  analysts' quote  share price),normal
BID,Sotheby&#39;s,20140505,Sotheby's to give Third Point three seats on board ,May 5 Sotheby's said it reached an agreement with Daniel Loeb's Third Point LLC  giving the hedge fund three seats on the auctioneer's board.,normal
DATA,Tableau Software Inc,20140505,Tableau posts smaller-than-expected loss on large contracts ,Tableau Software Inc  reported a much smaller-than-expected quarterly loss as the data analysis software maker added 1 800 new customers.,topStory
DATA,Tableau Software Inc,20140505,UPDATE 1-Tableau posts smaller-than-expected loss on large contracts ,May 5 Tableau Software Inc reported a much smaller-than-expected quarterly loss as the data analysis software maker added 1 800 new customers.,normal
DATA,Tableau Software Inc,20140505,Tableau Software revenue up 86 pct on customer additions ,May 5 Tableau Software Inc reported an 86 percent rise in quarterly revenue as the data analysis software maker added 1 800 new customers.,normal
TGT,Target Corporation,20140505,Target's decision to remove CEO rattles investors ,Target Corp's decision to oust Gregg Steinhafel as chairman and chief executive some five months after a massive data breach has triggered concerns the No. 3 U.S. retailer might have even more bad news for investors. | Video ,topStory
TGT,Target Corporation,20140505,UPDATE 4-Target's decision to remove CEO rattles investors ,May 5 Target Corp's decision to oust Gregg Steinhafel as chairman and chief executive some five months after a massive data breach has triggered concerns the No. 3 U.S. retailer might have even more bad news for investors.,normal
TGT,Target Corporation,20140505,Target shareholder CtW Investment wants separate CEO  chairman ,BOSTON  May 5 Target Corp shareholder CtW Investment Group called on the retailer to separate the roles of chairman and chief executive after Monday's announcement that Chief Executive and Chairman Gregg Steinhafel is leaving the company.,normal
TGT,Target Corporation,20140505,Timeline: Target CEO steps down after data breach rocks retailer ,Target Corp removed Chief Executive Gregg Steinhafel on Monday in the wake of a devastating data breach that hurt the No. 3 U.S. retailer's profits  shook customer confidence in the company and prompted congressional hearings.,normal
TGT,Target Corporation,20140505,CORRECTED-UPDATE 2-Target removes CEO in wake of devastating cyber attack ,(Corrects paragraph 19 to fix name of former CIO to Beth Jacob from Beth Gladstone),normal
TGT,Target Corporation,20140505,Target CEO stepping down in wake of devastating cyber attack ,BOSTON  May 5 Target Corp said that Chief Executive and Chairman Gregg Steinhafel is leaving in the wake of the devastating data breach late last year that hurt profits  shook customer confidence in the No. 3 U.S. retailer and prompted congressional hearings.,normal
THC,Tenet Healthcare Corporation,20140505,Tenet quarterly net loss narrows  year outlook confirmed ,Hospital operator Tenet Healthcare Corp  posted a first-quarter loss on Monday  hurt by cuts in payments from the federal Medicare program for the elderly  but confirmed its full-year profit outlook as it admitted more patients to its facilities.,topStory
THC,Tenet Healthcare Corporation,20140505,UPDATE 2-Tenet quarterly net loss narrows  year outlook confirmed ,May 5 Hospital operator Tenet Healthcare Corp  posted a first-quarter loss on Monday  hurt by cuts in payments from the federal Medicare program for the elderly  but confirmed its full-year profit outlook as it admitted more patients to its facilities.,normal
THC,Tenet Healthcare Corporation,20140505,Tenet quarterly net loss narrows  full-year outlook confirmed ,May 5 Tenet Healthcare Corp on Monday posted a first-quarter loss  hurt by cuts in Medicare payments to hospitals and other providers  but confirmed its full-year 2014 outlook as admissions to its facilities rose.,normal
TM,Toyota Motor Corp Ltd Ord,20140505,UPDATE 1-Australia April new vehicle sales hit by holidays ,(Adds to note Toyota is also set to close operations)     SYDNEY  May 5   Sales of new vehicles in Australia fell in April from a year earlier but largely because the month had fewer selling days this year  an industry report showed on Monday.     The Australian Federal Chamber of Automotive Industries' VFACTS report showed sales of 80 710  were down 5.2 percent on April last year. April this year had 2 fewer selling days  so sales per day actually increased from last year.     Sales,topStory
TM,Toyota Motor Corp Ltd Ord,20140505,Australia April new vehicle sales hit by holidays ,SYDNEY  May 5   Sales of new vehicles in Australia fell in April from a year earlier but largely because the month had fewer selling days this year  an industry report showed on Monday.     The Australian Federal Chamber of Automotive Industries' VFACTS report showed sales of 80 710  were down 5.2 percent on April last year. April this year had 2 fewer selling days  so sales per day actually increased from last year.     Sales in original terms were down 17 percent in April compared ,normal
TSN,Tyson Foods Inc,20140505,Tyson profit misses  shares fall 9 percent on growth jitters ,Tyson Foods Inc  on Monday reported weaker-than-expected quarterly profit on higher expenses and weak China results  sending shares down more than 9 percent.,topStory
TSN,Tyson Foods Inc,20140505,UPDATE 3-Tyson profit misses  shares fall 9 pct on growth jitters ,May 5 Tyson Foods Inc on Monday reported weaker-than-expected quarterly profit on higher expenses and weak China results  sending shares down more than 9 percent.,normal
TSN,Tyson Foods Inc,20140505,URGENT-Tyson sees pork production down as much as 4 pct this year ,May 5 Tyson Foods Inc on Monday said it expects industry pork production to be down as much as 4 percent this year  as heavier hog weights fail to completely offset the supply-reducing effects of a virus that is deadly to piglets.,normal
TSN,Tyson Foods Inc,20140505,Tyson Foods' profit more than doubles as chicken sales rise ,May 5 Tyson Foods Inc  the largest U.S. meat processor  said its profit more than doubled in the second quarter  mainly due to strong demand for chicken.,normal
VRX,Valeant Pharmaceuticals International Inc,20140505,Allergan shareholder Ackman warns against pursuing deals beyond Valeant ,Activist investor William Ackman  Allergan Inc's largest shareholder  has cautioned the company against pursuing any alternative deal that did not offer a better value than Valeant Pharmaceuticals International Inc's $47 billion bid.,topStory
VRX,Valeant Pharmaceuticals International Inc,20140505,UPDATE 1-Allergan shareholder Ackman warns against pursuing deals beyond Valeant ,May 5 Activist investor William Ackman  Allergan Inc's largest shareholder  has cautioned the company against pursuing any alternative deal that did not offer a better value than Valeant Pharmaceuticals International Inc's  $47 billion bid.,normal
VRX,Valeant Pharmaceuticals International Inc,20140505,RPT-Ira Sohn: Coatue's Laffont sees Liberty Global's stock price climbing ,NEW YORK  May 5 Hedge fund manager Philippe Laffont recommended Liberty Global Plc at an investment conference on Monday  saying that fresh demand in broadband services will help boost growth at the company.,normal
VLO,Valero Energy Corporation,20140505,PointState Capital's Schreiber likes Valero  Marathon Petroleum ,NEW YORK PointState Capital's Zach Schreiber said on Monday that he recommended the shares of Valero Energy Co and Marathon Petroleum Corp because he sees crude prices falling and says U.S. refiners will benefit.,topStory
VLO,Valero Energy Corporation,20140505,PointState Capital's Schreiber likes Valero  Marathon Petroleum ,NEW YORK  May 5 PointState Capital's Zach Schreiber said on Monday that he recommended the shares of Valero Energy Co and Marathon Petroleum Corp  because he sees crude prices falling and says U.S. refiners will benefit.,normal
WBK,Westpac Banking Corporation,20140505,Australia shares little changed  Westpac drops ,SYDNEY  May 5 Australian shares eked out a slim gain of 0.1 percent on Monday in choppy trade  as an uptick in resource stocks offset losses among banks as Westpac posted a strong result but disappointed investors over the lack of a special dividend.,topStory
WBK,Westpac Banking Corporation,20140505,Australia shares turn lower as Westpac  China PMI drag; Aquila jumps on M&A ,* Banking sector drags as Westpac results beat expectations but no special dividend,normal
