ATVI,Activision Blizzard Inc,20141119,Activision settles investor suit for record $275 mln ,Nov 19 Videogame maker Activision Blizzard reached a record $275 million settlement over a lawsuit by a shareholder who opposed the company's 2013 deal to acquire its stock that was held by Vivendi SA.,topStory
DNR,Denbury Resources Inc,20141119,REUTERS SUMMIT-Falling oil prices hit junk bonds in energy sector ,(For other news from Reuters Global Investment Outlook Summit  click on http://www.reuters.com/summit/Investment13),normal
DB,Deutsche Bank AG,20141119,New Issue- Deutsche Bank prices 500 mln sek 2016 FRN ,Notes                   Launched under issuer's EMTN programme,topStory
DB,Deutsche Bank AG,20141119,CORRECTED-UPDATE 2-Deutsche Bank's dollar CoCo will boost leverage ratio ,(Removes reference to equity conversion in first paragraph),normal
DB,Deutsche Bank AG,20141119,Deutsche Bank plans no more issuance after $1.5 bln AT1 sale - source ,FRANKFURT  Nov 19 Deutsche Bank has ended its 5 billion euro ($6.3 billion) debt-raising programme following the sale of $1.5 billion in so-called Addition Tier 1 bonds and currently has no plans to issue more  a senior source familiar with the issuance told Reuters.,normal
DB,Deutsche Bank AG,20141119,Crest Nicholson shares sold at 327p - Deutsche Bank ,LONDON  Nov 19 British housebuilder Crest Nicholson has sold shares at 327 pence  said Deutsche Bank in a statement on Wednesday.,normal
DG,Dollar General Corporation,20141119,Dollar General  Family Dollar still in talks with FTC ,Dollar General Corp said it is in talks with the U.S. Federal Trade Commission (FTC) over the number of stores it will have to sell to receive approval for an acquisition of Family Dollar Inc.,topStory
DG,Dollar General Corporation,20141119,UPDATE 1-Dollar General  Family Dollar still in talks with FTC ,Nov 19 Dollar General Corp said it is in talks with the U.S. Federal Trade Commission (FTC) over the number of stores it will have to sell to receive approval for an acquisition of Family Dollar Inc.,normal
DG,Dollar General Corporation,20141119,Dollar General may have to shut more than 4 000 stores - NY Post ,Nov 19 Dollar General Corp may need to divest more than 4 000 stores to win approval from the U.S. Federal Trade Commission for its acquisition of Family Dollar Stores Inc  the New York Post reported  citing two sources close to the situation.,normal
ETN,Eaton Corporation PLC,20141119,UPDATE 1-Bharti Airtel to sell phone masts in Tanzania  Malawi - source ,JOHANNESBURG/DUBAI  Nov 19 Bharti Airtel's  planned disposal of mobile phone towers in Africa will see it sell masts in Tanzania to Helios Towers  while units in Malawi will go to Eaton Towers  a person with knowledge of the deal said on Wednesday.,topStory
ETN,Eaton Corporation PLC,20141119,Bharti's Airtel's Africa mobile tower sale to include Tanzania  Malawi -source ,JOHANNESBURG/DUBAI  Nov 19 Bharti Airtel's  planned disposal of mobile phone towers in Africa will see it sell masts in Tanzania to Helios Towers  while units in Malawi will go to Eaton Towers  a person with knowledge of the deal said on Wednesday.,normal
EV,Eaton Vance Corporation,20141119,Soaring high-yield muni funds could fall in 2015: Eaton Vance ,NEW YORK High-yield U.S. municipal bond funds  which saw runaway returns for most of this year  could spiral downward in 2015 if investors become spooked anew by negative headlines out of Puerto Rico  a senior portfolio advisor at Eaton Vance said on Tuesday. | Video ,topStory
EVR,Evercore Inc,20141119,MOVES-Connecticut Insurance Commissioner Leonardi to join Evercore ,Nov 19 Connecticut Insurance Commissioner Thomas Leonardi will join Evercore Partners Inc as a senior adviser  the U.S. boutique investment bank said.,topStory
XOM,Exxon Mobil Corporation,20141119,Houston wealth management firm must pay $3.8 million to retirees: panel ,A Houston-based wealth management firm must pay more than $3.8 million to a group of 19 ExxonMobil retirees who said the company mismanaged their investments and misled them about its trading strategy  according to a securities arbitration ruling.,topStory
XOM,Exxon Mobil Corporation,20141119,Houston wealth management firm must pay $3.8 million to retirees: panel ,A Houston-based wealth management firm must pay more than $3.8 million to a group of 19 ExxonMobil retirees who said the company mismanaged their investments and misled them about its trading strategy  according to a securities arbitration ruling.,normal
XOM,Exxon Mobil Corporation,20141119,Houston wealth management firm must pay $3.8 mln to retirees -panel ,Nov 19 A Houston-based wealth management firm must pay more than $3.8 million to a group of 19 ExxonMobil retirees who said the company mismanaged their investments and misled them about its trading strategy  according to a securities arbitration ruling.,normal
FCAU,Fiat Chrysler Automobiles NV,20141119,Fiat expects new crossover to outsell 500 microcar in U.S. ,Nov 19 Fiat Chrysler Automobiles NV  expects its yet-to-be launched Fiat 500X crossover sport utility vehicle to be even more popular in North America than its 500 microcar  senior executives said on Wednesday.,topStory
F,Ford Motor Company,20141119,Ford keeps pushing for lighter cars despite oil price fall ,DUBAI Ford Motor Co's  drive to make its sport utility vehicles (SUV) and other models lighter to save fuel and boost performance will not be delayed by a recent drop in oil prices  Executive Chairman Bill Ford said on Wednesday.,topStory
F,Ford Motor Company,20141119,Ford Romania to lay off 20 pct of staff ,BUCHAREST  Nov 19 Ford Motor Co will lay off about 680 people at its Romanian division next year  or some 20 percent of the staff  as it adjusts to a weak European market  the carmaker said on Wednesday.,normal
F,Ford Motor Company,20141119,Volvo Cars plots U.S. resurgence with model overhaul ,STOCKHOLM  Nov 19 Chinese-owned Volvo Car Group said on Wednesday a sweeping overhaul of its model range over the next five years would propel its long-suffering sales volumes in the United States back above 100 000 cars per year.,normal
F,Ford Motor Company,20141119,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters Nov 19  2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                  ,normal
GEH,General Electric Capital Corporation,20141119,Lawyers for NFL and some players defend concussion deal ,PHILADELPHIA Lawyers for the NFL and a class of retired players defended a proposed multimillion-dollar settlement for concussions sustained while playing football during a court hearing on Wednesday  while critics called the deal inadequate.,topStory
GEH,General Electric Capital Corporation,20141119,GE wind-power business looks to global expansion  data services: executive ,General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GEH,General Electric Capital Corporation,20141119,GE wind-power business looks to global expansion  data services- exec ,Nov 19 General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GEK,General Electric Capital Corporation,20141119,Lawyers for NFL and some players defend concussion deal ,PHILADELPHIA Lawyers for the NFL and a class of retired players defended a proposed multimillion-dollar settlement for concussions sustained while playing football during a court hearing on Wednesday  while critics called the deal inadequate.,topStory
GEK,General Electric Capital Corporation,20141119,GE wind-power business looks to global expansion  data services: executive ,General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GEK,General Electric Capital Corporation,20141119,GE wind-power business looks to global expansion  data services- exec ,Nov 19 General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GE,General Electric Company,20141119,Lawyers for NFL and some players defend concussion deal ,PHILADELPHIA Lawyers for the NFL and a class of retired players defended a proposed multimillion-dollar settlement for concussions sustained while playing football during a court hearing on Wednesday  while critics called the deal inadequate.,topStory
GE,General Electric Company,20141119,GE wind-power business looks to global expansion  data services: executive ,General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GE,General Electric Company,20141119,GE wind-power business looks to global expansion  data services- exec ,Nov 19 General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GEB,General Electric Company,20141119,Lawyers for NFL and some players defend concussion deal ,PHILADELPHIA Lawyers for the NFL and a class of retired players defended a proposed multimillion-dollar settlement for concussions sustained while playing football during a court hearing on Wednesday  while critics called the deal inadequate.,topStory
GEB,General Electric Company,20141119,GE wind-power business looks to global expansion  data services: executive ,General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GEB,General Electric Company,20141119,GE wind-power business looks to global expansion  data services- exec ,Nov 19 General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance  a top company energy executive said on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20141119,UPDATE 1-Goldman Sachs' metal storage unit paid customers to boost queues -report ,(Adds comment from Senate subcommittee and Goldman comment in paragraphs 11 and 12),topStory
GS,Goldman Sachs Group Inc (The),20141119,Goldman Sachs' metal storage unit paid customers to boost queues -report ,NEW YORK  Nov 19 Goldman Sachs Group Inc's  metals storage unit paid Deutsche Bank  Glencore  and British hedge fund Red Kite millions of dollars in incentives that helped extend wait times in the firm's Detroit storage hub  a Senate report showed on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20141119,Goldman to wind down uranium desk; may sell Colombia coal mines: report ,NEW YORK Goldman Sachs will wind down its small uranium trading business after failing to find a buyer and may sell its Colombian coal mine subsidiary  two of its most controversial commodity divisions  according to a new Senate report released on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20141119,UPDATE 1-Goldman to wind down uranium desk; may sell Colombia coal mines -report ,NEW YORK  Nov 19 Goldman Sachs will wind down its small uranium trading business after failing to find a buyer and may sell its Colombian coal mine subsidiary  two of its most controversial commodity divisions  according to a new Senate report released on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20141119,Senate probe says Goldman  other banks exploited commodity markets ,WASHINGTON A two-year Senate investigation into Wall Street's physical commodities business found that U.S. banks had manipulated prices and gained unfair trading advantages at the expense of consumers.,normal
GS,Goldman Sachs Group Inc (The),20141119,Senate probe says Goldman  other banks exploited commodity markets , ,normal
GS,Goldman Sachs Group Inc (The),20141119,Goldman sees Fed raising rates faster than market expectations ,NEW YORK Goldman Sachs analysts said on Wednesday the U.S. Federal Reserve  once it begins to tighten monetary policy  would raise short-term interest rates faster and to higher levels than current market expectations.,normal
GHL,Greenhill & Co Inc,20141119,MOVES- Nomura  Aon  Wells Fargo  Aviva Investors ,(Adds Lazard Asset Management  Greenhill & Co  Aviva Investors  Evercore Partners Inc  Ernst & Young),topStory
GHL,Greenhill & Co Inc,20141119,MOVES-Greenhill names Masao Yoshikawa as managing director in Tokyo ,Nov 19 Greenhill & Co Inc said Masao Yoshikawa will join the boutique investment bank in Tokyo as managing director.,normal
HSY,Hershey Company (The),20141119,UPDATE 2-U.S. sugar refiner woes mount as Mexico deal seen choking supply ,(Updates with link to FACTBOX  additional comments from Sugar Coalition in paragraph 12),normal
HSY,Hershey Company (The),20141119,UPDATE 1-U.S. sugar refiner woes mount as Mexico deal seen choking supply ,(Updates to include comments from American Sugar Alliance),normal
HMC,Honda Motor Company Ltd,20141119,Autopsy says air bag in Honda to blame for Florida woman's death ,DETROIT Shards from a ruptured Takata-made air bag killed the driver of a Honda Accord after a traffic accident in Florida  according to the final autopsy report  the first official confirmation of shrapnel as a cause of death in the crash.,topStory
HMC,Honda Motor Company Ltd,20141119,UPDATE 1-Autopsy says air bag in Honda to blame for Florida woman's death ,DETROIT  Nov 19 Shards from a ruptured Takata-made air bag killed the driver of a Honda Accord after a traffic accident in Florida  according to the final autopsy report  the first official confirmation of shrapnel as a cause of death in the crash.,normal
HMC,Honda Motor Company Ltd,20141119,UPDATE 3-U.S. senators raise possibility of 6th death linked to Takata air bags ,DETROIT  Nov 19 Two U.S. senators on Wednesday raised the possibility of a sixth fatality linked to Takata Corp  air bags  as they announced a news conference to introduce the sister of someone who died in an Arizona accident in 2003.,normal
HMC,Honda Motor Company Ltd,20141119,Autopsy says air bag in Honda responsible for Florida woman's death ,DETROIT  Nov 19 Shards from a ruptured Takata-made air bag killed the driver of a Honda Accord after a traffic accident in Florida  according to the final autopsy report  the first official confirmation of shrapnel as a cause of death in the crash.,normal
HMC,Honda Motor Company Ltd,20141119,UPDATE 4-U.S. auto regulator seeks nationwide recall of Takata air bags ,* Takata shares fall 7.8 pct to 5-1/2-year low   (Adds comment from SMBC Nikko analyst),normal
HMC,Honda Motor Company Ltd,20141119,Factbox: Takata air bag recalls ,Following are some key events leading to the recall of several million cars fitted with potentially defective air bags made by Japanese firm Takata Corp.,normal
HMC,Honda Motor Company Ltd,20141119,Takata senior VP to testify before U.S. Senate committee ,WASHINGTON Representatives of Takata Corp  Chrysler Group Llc  Honda Motor Co Ltd and the National Highway Traffic Safety Administration will testify before the U.S. Senate Commerce Committee on Thursday to answer questions about the dangers posed by air bags supplied by Takata.,normal
HMC,Honda Motor Company Ltd,20141119,TIMELINE-Takata air bag recalls ,Following are some key events leading to the recall of several million cars fitted with potentially defective air bags made by Japanese firm Takata Corp.,normal
HSBC,HSBC Holdings plc,20141119,Scott feels former caddie Williams' absence in Melbourne ,MELBOURNE Midway through a trial of caddies  Adam Scott cannot help but feel the absence of former bag-man Steve Williams  who would have been an asset in his bid to win a third successive Australian Masters title  the world number two said.,topStory
HSEA,HSBC Holdings plc,20141119,Scott feels former caddie Williams' absence in Melbourne ,MELBOURNE Midway through a trial of caddies  Adam Scott cannot help but feel the absence of former bag-man Steve Williams  who would have been an asset in his bid to win a third successive Australian Masters title  the world number two said.,topStory
HSEB,HSBC Holdings plc,20141119,Scott feels former caddie Williams' absence in Melbourne ,MELBOURNE Midway through a trial of caddies  Adam Scott cannot help but feel the absence of former bag-man Steve Williams  who would have been an asset in his bid to win a third successive Australian Masters title  the world number two said.,topStory
INFY,Infosys Limited,20141119,Infosys fires business process outsourcing unit CFO for code of conduct breach ,MUMBAI  Nov 19 Indian IT services company Infosys Ltd said it had fired the finance chief of its business process outsourcing unit for not complying with the company's code of conduct.,topStory
IBM,International Business Machines Corporation,20141119,New Issue-IBM prices 1.0 bln euro 2023 bond ,Borrower                International Business Machines Corp (IBM),topStory
IBM,International Business Machines Corporation,20141119,BRIEF-Beijing Teamsun Tech in deal with IBM China on software licensing ,* Says in deal with IBM (China) on software licensing  shares to resume trading on Nov 20,normal
JPM,J P Morgan Chase & Co,20141119,MOVES-JPMorgan hires former Glencore crude trader in Singapore -sources ,SINGAPORE  Nov 19 JPMorgan Chase & Co  has hired Edwin Tay  formerly with Glencore  as a senior crude oil trader in Singapore  industry sources said on Wednesday.,topStory
SJM,JM Smucker Company (The),20141119,Smucker's says big coffee price increase was a 'misstep' ,NEW YORK J.M. Smucker Co  the maker of Folgers coffee  said on Wednesday it made a "misstep" with its most recent price increase  which caused sales volumes to drop sharply as customers delayed purchases and shifted to cheaper private-label brands.,topStory
SJM,JM Smucker Company (The),20141119,CORRECTED-Smucker's says big coffee price increase was a 'misstep' ,(Corrects job title of Mark Smucker to president of U.S. Retail Coffee from chief executive in paragraph 2),normal
JNJ,Johnson & Johnson,20141119,RPT-J&J seeks over $5 bln in damages from Boston Scientific at trial ,NEW YORK  Nov 19 Nearly a decade after losing a bidding war for device maker Guidant to Boston Scientific Corp   Johnson & Johnson finally has a chance for payback at a multibillion-dollar trial set to begin on Thursday.,topStory
JNJ,Johnson & Johnson,20141119,BRIEF-Raisio acquired Benecol business from affiliates of Johnson & Johnson ,* Has acquired Benecol business from affiliates of Johnson & Johnson,normal
JNJ,Johnson & Johnson,20141119,J&J seeks over $5 billion in damages from Boston Scientific at trial ,NEW YORK Nearly a decade after losing a bidding war for device maker Guidant to Boston Scientific Corp  Johnson & Johnson finally has a chance for payback at a multibillion-dollar trial set to begin on Thursday.,normal
JNJ,Johnson & Johnson,20141119,J&J seeks over $5 bln in damages from Boston Scientific at trial ,NEW YORK  Nov 19 Nearly a decade after losing a bidding war for device maker Guidant to Boston Scientific Corp   Johnson & Johnson finally has a chance for payback at a multibillion-dollar trial set to begin on Thursday.,normal
KKR,KKR & Co LP,20141119,Exclusive: KKR  CD&R prepare joint bid for PetSmart: sources ,NEW YORK Buyout firms KKR & Co LP  and Clayton  Dubilier & Rice LLC (CD&R) have teamed up to take PetSmart Inc  private for more than $7.5 billion  people familiar with the matter said on Tuesday  as the auction for the pet food retailer heats up.,topStory
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St edges lower as Fed minutes offer few clues on rates ,* Goldman sees Fed raising rates faster than market expectations,topStory
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St edges lower as Fed minutes offer few clues on rates ,* Goldman sees Fed raising rates faster than market expectations,normal
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St edges lower following Fed minutes ,* Goldman sees Fed raising rates faster than market expectations,normal
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St slips from record; focus shifts to Fed ,* Goldman sees Fed raising rates faster than market expectations,normal
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St retreats from record with eyes on Fed minutes ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
LOW,Lowe&#39;s Companies Inc,20141119,Lowe's raises fiscal-year profit  sales forecasts ,Lowe's Cos Inc   the No. 2 U.S. home improvement chain  on Wednesday raised its fiscal-year profit and sales forecasts as an improving job market encourages home owners to increase spending on renovations.,normal
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St dips after record with eyes on Fed minutes ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Wall St to dip at open  Fed minutes eyed ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
LOW,Lowe&#39;s Companies Inc,20141119,US STOCKS-Futures little changed ahead of data  Fed minutes ,NEW YORK  Nov 19 U.S. stock index futures were little changed on Wednesday following record closing highs for both the Dow and S&P 500 and ahead of housing data and minutes from the most recent Federal Reserve policy meeting.,normal
LOW,Lowe&#39;s Companies Inc,20141119,REFILE-Lowe's profit rises 17 pct as renovations drive sales ,Nov 19 Lowe's Cos Inc  the No. 2 U.S. home improvement products retailer  reported a 17 percent rise in quarterly profit as an improving job market encouraged home owners to increase spending on renovations.,normal
M,Macy&#39;s Inc,20141119,Naked outdoor protest over SeaWorld float in NY's Thanksgiving parade ,NEW YORK Animal rights advocates outraged that a SeaWorld float is included in next week's lineup for Macy's Thanksgiving Day Parade unveiled plans on Wednesday for a naked protest outside the landmark store.,topStory
M,Macy&#39;s Inc,20141119,Naked outdoor protest over SeaWorld float in NY's Thanksgiving parade ,NEW YORK  Nov 19 Animal rights advocates outraged that a SeaWorld float is included in next week's lineup for Macy's Thanksgiving Day Parade unveiled plans on Wednesday for a naked protest outside the landmark store.,normal
MCD,McDonald&#39;s Corporation,20141119,Moscow's first McDonald's reopens after 90-day closure ,MOSCOW The first McDonald's restaurant in Moscow reopened on Wednesday after closing for nearly a three months over health and safety violations that came as relations between Russia and the United States fell to post-Soviet lows due to the crisis in Ukraine.,topStory
MCD,McDonald&#39;s Corporation,20141119,Moscow's first McDonald's reopens after 90-day closure ,MOSCOW  Nov 19 The first McDonald's restaurant in Moscow reopened on Wednesday after closing for nearly a three months over health and safety violations that came as relations between Russia and the United States fell to post-Soviet lows due to the crisis in Ukraine.,normal
MCD,McDonald&#39;s Corporation,20141119,No suspense in DePaul win this time ,ROSEMONT  Ill. -- DePaul skipped the thrills and instead concentrated on playing 40 consistent minutes of basketball Tuesday.,normal
MS,Morgan Stanley,20141119,Factbox: Senate review reveals Goldman  Morgan Stanley commodity revenues ,The billion-dollar commodity trading businesses of two of the industry's biggest players were  laid bare in an exhaustive report on Wednesday by the Senate Permanent Subcommittee On Investigations  including new details of their revenues in recent years.,topStory
MS,Morgan Stanley,20141119,Morgan Stanley sees Petrobras scandal write-offs of up to $8.1 billion ,SAO PAULO Petróleo Brasileiro SA could slash the value of its assets by as much as 21 billion reais ($8.1 billion) and cut dividends as a result of an ongoing investigation into alleged graft and money-laundering at Brazil's state-controlled oil producer  analysts at Morgan Stanley & Co said in a client note.,normal
NMR,Nomura Holdings Inc ADR,20141119,MOVES- Nomura  Aon  Wells Fargo  Aviva Investors ,(Adds Lazard Asset Management  Greenhill & Co  Aviva Investors  Evercore Partners Inc  Ernst & Young),topStory
NMR,Nomura Holdings Inc ADR,20141119,MOVES- Nomura  Aon Plc ,Nov 19 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
PGRE,Paramount Group Inc,20141119,Real estate group Paramount's shares rise in debut ,Shares of Paramount Group Inc rose as much as 5.7 percent in their market debut  valuing the owner of San Francisco's landmark One Market Plaza building and Washington D.C.'s Liberty Place at $4.51 billion.,topStory
PGRE,Paramount Group Inc,20141119,REFILE-UPDATE 1-Real estate group Paramount's shares rise in debut ,Nov 19 Shares of Paramount Group Inc  rose as much as 5.7 percent in their market debut  valuing the owner of San Francisco's landmark One Market Plaza building and Washington D.C.'s Liberty Place at $4.51 billion.,normal
PGRE,Paramount Group Inc,20141119,Shares of real estate company Paramount rise in debut ,Nov 19 Shares of Paramount Group Inc  rose as much as 5.7 percent in market debut  valuing the owner of San Francisco's landmark One Market Plaza building and Washington DC's Liberty Place at $4.51 billion.,normal
PTR,PetroChina Company Limited,20141119,Hong Kong  China shares fall as large caps weaken ,* HSI -0.29 pct  HSCE -0.27 pct  CSI300 -0.06 pct  SSEC -0.21 pct,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20141119,Morgan Stanley sees Petrobras scandal write-offs of up to $8.1 billion ,SAO PAULO Petróleo Brasileiro SA could slash the value of its assets by as much as 21 billion reais ($8.1 billion) and cut dividends as a result of an ongoing investigation into alleged graft and money-laundering at Brazil's state-controlled oil producer  analysts at Morgan Stanley & Co said in a client note.,topStory
PM,Philip Morris International Inc,20141119,Marlboro HeatSticks on sale in Milan this week ,LONDON Philip Morris International Inc  the world's largest tobacco company  plans to launch its new iQOS smokeless device and Marlboro HeatSticks in Milan  Italy on Thursday following a better-than-expected launch in Nagoya  Japan earlier this month.,topStory
PM,Philip Morris International Inc,20141119,UPDATE 1-Marlboro HeatSticks on sale in Milan this week ,LONDON  Nov 19 Philip Morris International Inc   the world's largest tobacco company  plans to launch its new iQOS smokeless device and Marlboro HeatSticks in Milan  Italy on Thursday following a better-than-expected launch in Nagoya  Japan earlier this month.,normal
PM,Philip Morris International Inc,20141119,Philip Morris to launch Marlboro HeatSticks system in Milan ,LONDON  Nov 19 Philip Morris International Inc   the world's largest tobacco company  plans to launch its new iQOS smokeless device and Marlboro HeatSticks in Milan  Italy on Thursday following a launch in Nagoya  Japan earlier this month.,normal
PUK,Prudential Public Limited Company,20141119,Peters describes Fed approach to hikes as 'later  lower  longer' ,NEW YORK Greg Peters  who helps manage more than $534 billion in assets as senior portfolio manager at Prudential Fixed Income  a unit of Prudential Investment  said on Wednesday the Federal Reserve will raise benchmark interest rates later in 2015 and more gradually than many believe. | Video ,topStory
RBS,Royal Bank Scotland plc (The),20141119,RBS set to be fined by UK regulator for 2012 system crash ,LONDON Royal Bank of Scotland  is expected to be fined by Britain's financial regulator on Thursday for a system crash in 2012 that left millions of customers unable to make or receive payments  according to industry sources.,topStory
RBS,Royal Bank Scotland plc (The),20141119,RBS set to be fined by UK regulator for 2012 system crash ,LONDON  Nov 19 Royal Bank of Scotland is expected to be fined by Britain's financial regulator on Thursday for a system crash in 2012 that left millions of customers unable to make or receive payments  according to industry sources.,normal
CRM,Salesforcecom Inc,20141119,Salesforce 2016 revenue forecast misses market estimates ,Cloud software company Salesforce.com Inc forecast revenue for the current quarter and full year 2016 that fell short of market expectations  hurt by a strong dollar.,topStory
CRM,Salesforcecom Inc,20141119,UPDATE 1-Salesforce 2016 revenue forecast misses market estimates ,Nov 19 Cloud software company Salesforce.com Inc  forecast revenue for the current quarter and full year 2016 that fell short of market expectations  hurt by a strong dollar.,normal
CRM,Salesforcecom Inc,20141119,US STOCKS-Wall St edges lower as Fed minutes offer few clues on rates ,* Goldman sees Fed raising rates faster than market expectations,normal
CRM,Salesforcecom Inc,20141119,Salesforce Q4 revenue forecast misses estimates ,Nov 19 Cloud software company Salesforce.com Inc  forecast current-quarter revenue that fell short of market expectations  pushing its shares down 4 percent in extended trading.,normal
SAP,SAP SE,20141119,SAP's CEO promises detailed plan for growth in January ,BARCELONA German business software maker SAP will spell out in the new year how it plans to grow each of its major lines of business over the next few years  without making any further big acquisitions  its chief executive said on Wednesday.,topStory
SAP,SAP SE,20141119,UPDATE 1-SAP's CEO promises detailed plan for growth in January ,BARCELONA  Nov 19 German business software maker SAP will spell out in the new year how it plans to grow each of its major lines of business over the next few years  without making any further big acquisitions  its chief executive said on Wednesday.,normal
SAP,SAP SE,20141119,SAP CEO rules out big acquisitions in next few years ,BARCELONA  Nov 19 German business software maker SAP is doing an about-face on its acquisition strategy and plans no more big new deals in the next few years  its chief executive said on Wednesday.,normal
SIX,Six Flags Entertainment Corporation New,20141119,Six Flags  German firm reach settlement in Texas roller coaster death ,AUSTIN  Texas  Nov 19 Amusement park operator Six Flags and a German roller coaster maker have reached a settlement with the family of woman who was killed last year when she plunged to her death from a roller coaster at a park in Texas  they said in a statement.,topStory
BID,Sotheby&#39;s,20141119,Hedge fund manager Chanos says art market frothy  shorting Sotheby's ,LONDON Hedge fund Kynikos Associates founder James Chanos said the art market is frothy and he is currently shorting Sotheby's   a global auctioneer of art and jewelery.,topStory
BID,Sotheby&#39;s,20141119,Hedge fund manager Chanos says art market frothy  shorting Sotheby's ,LONDON  Nov 19 Hedge fund Kynikos Associates founder James Chanos said the art market is frothy and he is currently shorting Sotheby's  a global auctioneer of art and jewellery.,normal
SCCO,Southern Copper Corporation,20141119,Copper price seen about $3.15/lb in 2015 or higher - Southern Copper exec ,SHANGHAI  Nov 19 Copper prices are seen trading about $3.15 a pound ($6 945 a tonne) in 2015 and could go higher  the president of Southern Copper Corporation  Oscar Gonzalez Rocha  said.,topStory
SF,Stifel Financial Corporation,20141119,Stifel considering 'modest' dividend: CEO ,NEW YORK Stifel Financial Corp may revive the common stock dividend it eliminated more than a decade ago because it has enough cash to also keep expanding its retail brokerage and investment banking businesses  Chief Executive Ron Kruszewski said Wednesday.,topStory
SF,Stifel Financial Corporation,20141119,UPDATE 1-Stifel considering 'modest' dividend - CEO ,NEW YORK  Nov 19 Stifel Financial Corp  may revive the common stock dividend it eliminated more than a decade ago because it has enough cash to also keep expanding its retail brokerage and investment banking businesses  Chief Executive Ron Kruszewski said Wednesday.,normal
SF,Stifel Financial Corporation,20141119,CORRECTED-Stifel considering 'modest' dividend -CEO ,(Corrects to show that Stifel last paid a dividend in 2002),normal
SU,Suncor Energy  Inc,20141119,Suncor 2015 capital spending stable despite lower oil prices ,Nov 18 Suncor Energy Inc  Canada's largest oil and gas company  said on Tuesday that it plans to spend C$7.2 billion to C$7.8 billion ($6.4 billion to $6.9 billion) in 2015  with more than half of those funds earmarked for growth projects.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20141119,BRIEF-TSMC to acquire building  fixtures from Qualcomm Panel for $85 mln ,Nov 19 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TGT,Target Corporation,20141119,US STOCKS-Wall St edges lower as Fed minutes offer few clues on rates ,* Goldman sees Fed raising rates faster than market expectations,topStory
TGT,Target Corporation,20141119,US STOCKS-Wall St edges lower as Fed minutes offer few clues on rates ,* Goldman sees Fed raising rates faster than market expectations,normal
TGT,Target Corporation,20141119,US STOCKS-Wall St edges lower following Fed minutes ,* Goldman sees Fed raising rates faster than market expectations,normal
TGT,Target Corporation,20141119,US STOCKS-Wall St slips from record; focus shifts to Fed ,* Goldman sees Fed raising rates faster than market expectations,normal
TGT,Target Corporation,20141119,US STOCKS-Wall St retreats from record with eyes on Fed minutes ,* Oplink jumps  to be bought by Koch Industries' subsidiary,normal
TGT,Target Corporation,20141119,Target U.S. sales beat expectations  loss-making Canada unit faces review ,Target Corp  on Wednesday reported its first increase in U.S. same-store sales in four quarters and a quarterly profit above expectations  but said it would review the future of its loss-making Canadian business after the holiday season. | Video ,normal
