ALGT,Allegiant Travel Company,20140616,Update-Moody's rates Allegiant's unsecured notes at B1  affirms Ba3 CFR  outlook stable ,For the full text of this story please click the following link:,topStory
F,Ford Motor Company,20140616,REFILE-Toronto Mayor Rob Ford's saga to get the musical treatment ,(Refiles to insert the dropped word "case" in the first paragraph),normal
GEK,General Electric Capital Corporation,20140616,Siemens and Mitsubishi challenge GE with Alstom offer ,MUNICH/PARIS Germany's Siemens and Japan's Mitsubishi Heavy Industries presented a joint offer to France's Alstom on Monday that included 7 billion euros ($9.5 billion) in cash  challenging a bid by General Electric. | Video ,topStory
GEK,General Electric Capital Corporation,20140616,GE aims to fend off rival bid by negotiating terms with French government: source ,General Electric  wants to avoid a bidding war with Siemens  and Mitsubishi Heavy Industries  over Alstom   but it is talking to the French government about potentially changing non-price terms of the bid  a person close to GE told Reuters.,normal
GEK,General Electric Capital Corporation,20140616,GE aims to fend off rival bid by negotiating terms with French gov't-source ,June 16 General Electric wants to avoid a bidding war with Siemens and Mitsubishi Heavy Industries over Alstom  but it is talking to the French government about potentially changing non-price terms of the bid  a person close to GE told Reuters.,normal
GEK,General Electric Capital Corporation,20140616,UPDATE 6-Siemens and Mitsubishi challenge GE with Alstom offer ,* Siemens & MHI chiefs face French lawmakers on Tuesday   (Adds more on GE talks with French government  paragraph 23),normal
GEK,General Electric Capital Corporation,20140616,Fight for Alstom shows turbine market is alive and spinning ,PARIS In a world where power generation capacity growth is driven by solar and wind  the bidding war for France's Alstom SA shows big players believe turbines connected to coal  gas and nuclear plants will be spinning for decades to come.,normal
GEK,General Electric Capital Corporation,20140616,Fight for Alstom shows turbine market is alive and spinning ,* Graphic-Alstom's sales and employees in transport and energy,normal
GEK,General Electric Capital Corporation,20140616,Factbox: Details of Siemens/Mitsubishi energy deal with Alstom ,Germany's Siemens and Japan's Mitsubishi Heavy Industries (MHI) presented a joint offer to France's Alstom on Monday that included 7 billion euros ($9.53 billion) in cash  challenging a General Electric bid.,normal
GEK,General Electric Capital Corporation,20140616,Siemens  Mitsubishi to present Alstom offer on Monday - sources ,MUNICH  June 16 German engineering group Siemens  and Mitsubishi Heavy Industries are expected to present their joint move on France's Alstom in Paris on Monday  challenging a formal offer from General Electric.,normal
GEK,General Electric Capital Corporation,20140616,PRESS DIGEST - Wall Street Journal - June 16 ,June 16 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GE,General Electric Company,20140616,Siemens and Mitsubishi challenge GE with Alstom offer ,MUNICH/PARIS Germany's Siemens and Japan's Mitsubishi Heavy Industries presented a joint offer to France's Alstom on Monday that included 7 billion euros ($9.5 billion) in cash  challenging a bid by General Electric. | Video ,topStory
GE,General Electric Company,20140616,GE aims to fend off rival bid by negotiating terms with French government: source ,General Electric  wants to avoid a bidding war with Siemens  and Mitsubishi Heavy Industries  over Alstom   but it is talking to the French government about potentially changing non-price terms of the bid  a person close to GE told Reuters.,normal
GE,General Electric Company,20140616,GE aims to fend off rival bid by negotiating terms with French gov't-source ,June 16 General Electric wants to avoid a bidding war with Siemens and Mitsubishi Heavy Industries over Alstom  but it is talking to the French government about potentially changing non-price terms of the bid  a person close to GE told Reuters.,normal
GE,General Electric Company,20140616,UPDATE 6-Siemens and Mitsubishi challenge GE with Alstom offer ,* Siemens & MHI chiefs face French lawmakers on Tuesday   (Adds more on GE talks with French government  paragraph 23),normal
GE,General Electric Company,20140616,Fight for Alstom shows turbine market is alive and spinning ,PARIS In a world where power generation capacity growth is driven by solar and wind  the bidding war for France's Alstom SA shows big players believe turbines connected to coal  gas and nuclear plants will be spinning for decades to come.,normal
GE,General Electric Company,20140616,Fight for Alstom shows turbine market is alive and spinning ,* Graphic-Alstom's sales and employees in transport and energy,normal
GE,General Electric Company,20140616,Factbox: Details of Siemens/Mitsubishi energy deal with Alstom ,Germany's Siemens and Japan's Mitsubishi Heavy Industries (MHI) presented a joint offer to France's Alstom on Monday that included 7 billion euros ($9.53 billion) in cash  challenging a General Electric bid.,normal
GE,General Electric Company,20140616,Siemens  Mitsubishi to present Alstom offer on Monday - sources ,MUNICH  June 16 German engineering group Siemens  and Mitsubishi Heavy Industries are expected to present their joint move on France's Alstom in Paris on Monday  challenging a formal offer from General Electric.,normal
GE,General Electric Company,20140616,PRESS DIGEST - Wall Street Journal - June 16 ,June 16 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
GM,General Motors Company,20140616,GM safety crisis grows with recall of 3 million more cars for ignition issues ,SAN FRANCISCO/DETROIT General Motors Co  recalled three million more cars for ignition switch issues on Monday  roughly doubling the number of GM vehicles with known switch problems in a crisis that has defined the automaker and new Chief Executive Mary Barra this year.,topStory
GM,General Motors Company,20140616,UPDATE 4-GM safety crisis grows with recall of 3 mln more cars for ignition issues ,SAN FRANCISCO/DETROIT  June 16 General Motors Co  recalled three million more cars for ignition switch issues on Monday  roughly doubling the number of GM vehicles with known switch problems in a crisis that has defined the automaker and new Chief Executive Mary Barra this year.,normal
GM,General Motors Company,20140616,Same engineer designed switches on 5.95 million recalled GM cars ,DETROIT General Motors Co said the same engineer was responsible for the design of ignition switches on 5.95 million GM vehicles recalled this year.,normal
GM,General Motors Company,20140616,Same engineer designed switches on 5.95 million recalled GM cars ,DETROIT  June 16 General Motors Co said the same engineer was responsible for the design of ignition switches on 5.95 million GM vehicles recalled this year.,normal
GSK,GlaxoSmithKline PLC,20140616,Convergence considers IPO after GSK spin-off  as European biotech revives ,LONDON Convergence Pharmaceuticals  a specialist pain drug company spun off from GlaxoSmithKline  is preparing for a possible stock market listing as British biotech companies enjoy a revival of interest from investors.,topStory
GSK,GlaxoSmithKline PLC,20140616,Convergence considers IPO after GSK spin-off  as European biotech revives ,* Biotech support firm Abzena also announces plan to float,normal
GS,Goldman Sachs Group Inc (The),20140616,Ex-Goldman director Gupta fights $13.9 million fine as prison awaits ,NEW YORK A day before he is scheduled to begin serving a two-year prison sentence for insider trading  former Goldman Sachs Group Inc director Rajat Gupta asked a federal appeals court to reduce a $13.9 million civil penalty and shorten his lifetime ban from serving as an officer of a public company.,topStory
GS,Goldman Sachs Group Inc (The),20140616,Ex-Goldman director Gupta fights $13.9 mln fine as prison awaits ,NEW YORK  June 16 A day before he is scheduled to begin serving a two-year prison sentence for insider trading  former Goldman Sachs Group Inc director Rajat Gupta asked a federal appeals court to reduce a $13.9 million civil penalty and shorten his lifetime ban from serving as an officer of a public company.,normal
HMC,Honda Motor Company Ltd,20140616,Automakers in U.S. driving banks from buoyant new car market ,NEW YORK/DETROIT U.S. banks looking to get in on a booming market for financing new-car sales have run into a formidable competitor: the auto manufacturers themselves.,normal
HMC,Honda Motor Company Ltd,20140616,INSIGHT-Automakers in U.S. driving banks from buoyant new car market ,NEW YORK/DETROIT  June 16 U.S. banks looking to get in on a booming market for financing new-car sales have run into a formidable competitor: the auto manufacturers themselves.,normal
HON,Honeywell International Inc,20140616,EU regulators clear Federal Mogul's buy of Honeywell unit ,BRUSSELS Federal Mogul Corp gained European Union regulatory approval on Monday to buy U.S. conglomerate Honeywell International Inc's friction materials business after agreeing to sell two units in Europe.,topStory
HON,Honeywell International Inc,20140616,EU regulators clear Federal Mogul's buy of Honeywell unit ,BRUSSELS  June 16 Federal Mogul Corp  gained European Union regulatory approval on Monday to buy U.S. conglomerate Honeywell International Inc's friction materials business after agreeing to sell two units in Europe.,normal
HSBC,HSBC Holdings plc,20140616,HSBC says Burke to take over as head of U.S. business ,LONDON HSBC Holdings  said Pat Burke will take over as head of its U.S. business in November after spending the last four years in charge of reducing its consumer loan book there.,topStory
HSBC,HSBC Holdings plc,20140616,HSBC says Burke to take over as head of U.S. business ,LONDON  June 16 HSBC Holdings said Pat Burke will take over as head of its U.S. business in November after spending the last four years in charge of reducing its consumer loan book there.,normal
HSEA,HSBC Holdings plc,20140616,HSBC says Burke to take over as head of U.S. business ,LONDON HSBC Holdings  said Pat Burke will take over as head of its U.S. business in November after spending the last four years in charge of reducing its consumer loan book there.,topStory
HSEA,HSBC Holdings plc,20140616,HSBC says Burke to take over as head of U.S. business ,LONDON  June 16 HSBC Holdings said Pat Burke will take over as head of its U.S. business in November after spending the last four years in charge of reducing its consumer loan book there.,normal
HSEB,HSBC Holdings plc,20140616,HSBC says Burke to take over as head of U.S. business ,LONDON HSBC Holdings  said Pat Burke will take over as head of its U.S. business in November after spending the last four years in charge of reducing its consumer loan book there.,topStory
HSEB,HSBC Holdings plc,20140616,HSBC says Burke to take over as head of U.S. business ,LONDON  June 16 HSBC Holdings said Pat Burke will take over as head of its U.S. business in November after spending the last four years in charge of reducing its consumer loan book there.,normal
IBM,International Business Machines Corporation,20140616,BRIEF-Kaifa Tech says strategic partner IBM wins smart meter contract worth 40.5 mln euros ,* Says strategic partner IBM wins smart meter contract in netherlands worth 40.5 million euros ($55.14 million),topStory
IGT,International Game Technology,20140616,Italy lottery group GTECH in talks to buy International Game ,MILAN Italian lottery operator GTECH is in preliminary talks to buy Las Vegas-based International Game Technology (IGT) in a cash and shares deal that would make it a significant player in the casino slot machine business.,topStory
IGT,International Game Technology,20140616,UPDATE 2-Italy lottery group GTECH in talks to buy International Game ,* IGT deal positive for GTECH but hard to swallow -analysts   (Adds analysts comments  IGT statement),normal
IGT,International Game Technology,20140616,Italy lottery operator GTECH in talks to buy U.S. International Game Technology ,MILAN Italian lottery operator GTECH said on Monday it was in preliminary talks to buy Las Vegas-based slot machine maker International Game Technology in a deal that could involve a cash and paper offer.,normal
IGT,International Game Technology,20140616,GTECH says in talks to buy International Game Technology ,MILAN  June 16 Italian lottery operator GTECH  said on Monday it was in preliminary talks to buy Las Vegas-based slot machine maker International Game Technology .,normal
JPM,J P Morgan Chase & Co,20140616,City of Miami sues JPMorgan  claims mortgage discrimination ,NEW YORK The city of Miami has sued JPMorgan Chase & Co  accusing the bank of predatory mortgage lending in minority neighborhoods that allegedly caused a wave of foreclosures during the last decade's housing crisis.,topStory
JPM,J P Morgan Chase & Co,20140616,UPDATE 1-City of Miami sues JPMorgan  claims mortgage discrimination ,NEW YORK  June 16 The city of Miami has sued JPMorgan Chase & Co  accusing the bank of predatory mortgage lending in minority neighborhoods that allegedly caused a wave of foreclosures during the last decade's housing crisis.,normal
JPM,J P Morgan Chase & Co,20140616,JPMorgan sued by Miami over alleged mortgage discrimination ,NEW YORK  June 16 JPMorgan Chase & Co  has been sued by the city of Miami  accusing the bank of predatory mortgage lending in minority neighborhoods that allegedly caused a wave of foreclosures during the last decade's housing crisis.,normal
JCP,JC Penney Company Inc Holding Company,20140616,JC Penney interfered with Macy's deal with Martha Stewart: judge ,NEW YORK JC Penney Co  interfered with a contract between Macy's Inc  and Martha Stewart Living Omnimedia Inc  when it cut a deal to sell a line of the celebrity's home goods  a New York judge ruled on Monday.,topStory
JCP,JC Penney Company Inc Holding Company,20140616,UPDATE 2-JC Penney interfered with Macy's deal with Martha Stewart-judge ,NEW YORK  June 16 JC Penney Co  interfered with a contract between Macy's Inc and Martha Stewart Living Omnimedia Inc when it cut a deal to sell a line of the celebrity's home goods  a New York judge ruled on Monday.,normal
JCP,JC Penney Company Inc Holding Company,20140616,J.C. Penney interfered with Macy's deal with Martha Stewart-judge ,NEW YORK  June 16 J.C. Penney interfered with Macy's agreement with Martha Stewart Living Omnimedia   a New York judge ruled on Monday.,normal
KND,Kindred Healthcare Inc,20140616,Kindred Healthcare to buy Gentiva for about $573 mln ,June 16 Hospital operator Kindred Healthcare Inc  said it would buy home healthcare services provider Gentiva Health Services Inc for about $573 million.,topStory
M,Macy&#39;s Inc,20140616,JC Penney interfered with Macy's deal with Martha Stewart: judge ,NEW YORK JC Penney Co  interfered with a contract between Macy's Inc  and Martha Stewart Living Omnimedia Inc  when it cut a deal to sell a line of the celebrity's home goods  a New York judge ruled on Monday.,topStory
M,Macy&#39;s Inc,20140616,UPDATE 2-JC Penney interfered with Macy's deal with Martha Stewart-judge ,NEW YORK  June 16 JC Penney Co  interfered with a contract between Macy's Inc and Martha Stewart Living Omnimedia Inc when it cut a deal to sell a line of the celebrity's home goods  a New York judge ruled on Monday.,normal
M,Macy&#39;s Inc,20140616,J.C. Penney interfered with Macy's deal with Martha Stewart-judge ,NEW YORK  June 16 J.C. Penney interfered with Macy's agreement with Martha Stewart Living Omnimedia   a New York judge ruled on Monday.,normal
MDT,Medtronic plc,20140616,Medtronic's Covidien deal raises bar for rivals to merge ,Medtronic Inc's  $43 billion deal for Dublin-based Covidien Plc  should accelerate already intense efforts by medical device rivals to seek merger partners  industry analysts and bankers said on Monday. | Video ,topStory
MDT,Medtronic plc,20140616,Medtronic deal draws Washington scrutiny of tax relocations ,WASHINGTON The threat of U.S. tax revenue losses from Medtronic Inc's  plan to buy rival Covidien Plc  and move its base to Ireland is stoking concerns from lawmakers and the Obama administration about corporate tax "inversion" deals.,normal
MDT,Medtronic plc,20140616,UPDATE 1-Medtronic deal draws Washington scrutiny of tax relocations ,WASHINGTON  June 16 The threat of U.S. tax revenue losses from Medtronic Inc's plan to buy rival Covidien Plc and move its base to Ireland is stoking concerns from lawmakers and the Obama administration about corporate tax "inversion" deals.,normal
MDT,Medtronic plc,20140616,Medtronic  Covidien match up on services strategy before deal ,CHICAGO Well before Medtronic Inc  and Covidien Plc  announced their $43 billion merger  the two medical device makers had reached common conclusions about how they needed to change.,normal
MDT,Medtronic plc,20140616,Medtronic  Covidien match up on services strategy before deal ,CHICAGO  June 16 Well before Medtronic Inc  and Covidien Plc announced their $43 billion merger  the two medical device makers had reached common conclusions about how they needed to change.,normal
MDT,Medtronic plc,20140616,Medtronic deal draws Washington scrutiny of corporate tax relocations ,WASHINGTON  June 16 The threat of U.S. tax revenue losses from Medtronic Inc's plan to buy rival Covidien Plc and move its base to Ireland is stoking concerns from lawmakers and the Obama administration about corporate tax "inversion" deals.,normal
MDT,Medtronic plc,20140616,Medtronic's Covidien deal raises bar for rivals to merge ,Medtronic Inc's  $43 billion deal for Dublin-based Covidien Plc  should accelerate already intense efforts by medical device rivals to seek merger partners  industry analysts and bankers said on Monday.,normal
MDT,Medtronic plc,20140616,UPDATE 1-Medtronic's Covidien deal raises bar for rivals to merge ,(Rewrites with analyst  fund manager comment on potential future deals),normal
MDT,Medtronic plc,20140616,US STOCKS-Wall St ends up slightly on M&A; Iraq closely watched ,* Dow flat; S&P 500 up 0.1 pct; Nasdaq up 0.2 pct   (Updates to close),normal
MDT,Medtronic plc,20140616,CORRECTED-US STOCKS-Wall St inches up on M&A deals; Iraq worries cap gains ,(Corrects paragraph 6 to restore attribution in quote to Ken Polcari; fixes company name in paragraph 10 to Fusio-io Inc and not Fusio-it),normal
MET,MetLife Inc,20140616,Update-Moody's: Diversification and financial flexibility contribute to MetLife's stronger credit profile compared to Prudential ,MetLife Inc. (MetLife) and Prudential Financial Inc.  (Prudential),topStory
MS,Morgan Stanley,20140616,Morgan Stanley hires Mitchell for tailored loans ,NEW YORK Morgan Stanley has hired a senior loan executive and his team from Deutsche Bank AG to cater to high net worth clients who want to buy or borrow against real estate  yachts  artwork and other luxury items.,topStory
MS,Morgan Stanley,20140616,Morgan Stanley calls Valeant 'house of cards' in Allergan pitch ,NEW YORK Morgan Stanley   an adviser to Valeant Pharmaceuticals International Inc  in its $53 billion hostile bid for Allergan Inc   initially tried to get hired by Allergan and in its pitch called the unsolicited bidder a "house of cards " according to Allergan.,normal
MS,Morgan Stanley,20140616,UPDATE 4-Morgan Stanley calls Valeant 'house of cards' in Allergan pitch ,(Adds Allergan included views from third-parties in its statement),normal
MS,Morgan Stanley,20140616,Morgan Stanley called Valeant 'house of cards' in Allergan pitch ,NEW YORK  June 16 Morgan Stanley  an adviser to Valeant Pharmaceuticals International Inc in its $53 billion hostile bid for Allergan Inc  initially tried to get hired by Allergan and in its pitch called the unsolicited bidder a "house of cards"  according to Allergan.,normal
MS,Morgan Stanley,20140616,UPDATE 1-EQT picks banks for hotel chain Scandic IPO -sources ,* Morgan Stanley  SEB to lead Stockholm listing of hotel operator Scandic,normal
P,Pandora Media Inc,20140616,Europe's lame ducks attract restructuring bets ,* Restructuring plays outpace market over last five yrs-Exane BNP,topStory
PHK,Pimco High Income Fund,20140616,Pimco's Ivascyn sees 'significant' opportunity in European bank assets ,NEW YORK The expected unloading of roughly $1 trillion in assets by European banks represents a "significant investment opportunity" in residential and commercial real estate as well as corporate securities  Dan Ivascyn  one of Pimco's deputy chief investment officers  said on Monday.,topStory
PHK,Pimco High Income Fund,20140616,Pimco's Ivascyn sees 'significant' opportunity in European bank assets ,NEW YORK  June 16 The expected unloading of roughly $1 trillion in assets by European banks represents a "significant investment opportunity" in residential and commercial real estate as well as corporate securities  Dan Ivascyn  one of Pimco's deputy chief investment officers  said on Monday.,normal
PF,Pinnacle Foods Inc,20140616,Hillshire withdraws recommendation for Pinnacle deal ,Hillshire Brands Co said it will withdraw its recommendation to its shareholders to vote for its acquisition of Pinnacle Foods Inc  following Tyson Foods Inc's offer to buy Hillshire.,topStory
PF,Pinnacle Foods Inc,20140616,UPDATE 1-Hillshire withdraws recommendation for Pinnacle deal ,June 16 Hillshire Brands Co said it will withdraw its recommendation to its shareholders to vote for its acquisition of Pinnacle Foods Inc  following Tyson Foods Inc's offer to buy Hillshire.,normal
PF,Pinnacle Foods Inc,20140616,Hillshire withdraws recommendation for Pinnacle deal ,June 16 Hillshire Brands Co said it will withdraw its recommendation to its shareholders to vote for its acquisition of Pinnacle Foods Inc  following Tyson Foods Inc's to buy Hillshire.,normal
PFK,Prudential Financial Inc,20140616,Update-Moody's: Diversification and financial flexibility contribute to MetLife's stronger credit profile compared to Prudential ,MetLife Inc. (MetLife) and Prudential Financial Inc.  (Prudential),topStory
PJH,Prudential Financial Inc,20140616,Update-Moody's: Diversification and financial flexibility contribute to MetLife's stronger credit profile compared to Prudential ,MetLife Inc. (MetLife) and Prudential Financial Inc.  (Prudential),topStory
PRH,Prudential Financial Inc,20140616,Update-Moody's: Diversification and financial flexibility contribute to MetLife's stronger credit profile compared to Prudential ,MetLife Inc. (MetLife) and Prudential Financial Inc.  (Prudential),topStory
PRU,Prudential Financial Inc,20140616,Update-Moody's: Diversification and financial flexibility contribute to MetLife's stronger credit profile compared to Prudential ,MetLife Inc. (MetLife) and Prudential Financial Inc.  (Prudential),topStory
SNN,Smith & Nephew SNATS Inc,20140616,BT knocks FTSE  Smith & Nephew down on fading takeover prospects ,LONDON  June 16 Britain's top share index slipped on Monday as concerns about a large increase in its pension deficit hit BT Group and Smith & Nephew  fell as hopes faded for a takeover of the the medical technology company.,topStory
SNN,Smith & Nephew SNATS Inc,20140616,Britain's FTSE slips as prospect of Smith & Nephew takeover fades ,EDINBURGH  June 16 Britain's top share index edged lower on Monday  weighed down by weakness in Smith & Nephew as hopes faded for a takeover of the the medical technology company.,normal
STC,Stewart Information Services Corporation,20140616,UPDATE 2-JC Penney interfered with Macy's deal with Martha Stewart-judge ,NEW YORK  June 16 JC Penney Co  interfered with a contract between Macy's Inc and Martha Stewart Living Omnimedia Inc when it cut a deal to sell a line of the celebrity's home goods  a New York judge ruled on Monday.,normal
STC,Stewart Information Services Corporation,20140616,J.C. Penney interfered with Macy's deal with Martha Stewart-judge ,NEW YORK  June 16 J.C. Penney interfered with Macy's agreement with Martha Stewart Living Omnimedia   a New York judge ruled on Monday.,normal
SU,Suncor Energy  Inc,20140616,Suncor appoints Husky Energy's Cowan as chief financial officer ,CALGARY  Alberta  June 16 Suncor Energy Inc   Canada's largest integrated oil and gas producer  said on Monday it has appointed Alister Cowan as its chief financial officer  ending a seven-month search.,topStory
TGT,Target Corporation,20140616,Fitch Affirms Target's IDR at 'A-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  June 16 (Fitch) Fitch Ratings has affirmed its long-term Issuer Default  Rating (IDR) on Target Corporation (Target) at 'A-'  and its short-term IDR at  'F2'. The Rating Outlook is Stable. Target had $14.1 billion of debt outstanding  as of May 3  2014. A full rating list is shown below. Key Rating Drivers: The affirmation reflects Target's strong competitive position in the discount  retail sector and steady but recently softe,topStory
TI,Telecom Italia SPA,20140616,UPDATE 2-Intesa  Mediobanca to quit Telecom Italia investor pact ,* Intesa  Mediobanca join Generali in decision to exit Telco,topStory
TI,Telecom Italia SPA,20140616,Intesa Sanpaolo asks to exit Telecom Italia investor pact ,MILAN  June 16 Intesa Sanpaolo has exercised its right to exit the Telco investor group controlling Italian phone group Telecom Italia  the Italian bank said on Monday.,normal
TI,Telecom Italia SPA,20140616,Mediobanca says exits Telecom Italia investor pact ,MILAN  June 16 Investment bank Mediobanca   one of four key owners of Telecom Italia   said on Monday it had decided to quit ahead of time a seven-year shareholder agreement to control the Italian phone company.,normal
TEF,Telefonica SA,20140616,Deals of the day- Mergers and acquisitions ,(Adds Shire  Telefonica  Intesa Sanpaolo  Grocery Outlet  Dorel  Morgan Stanley  B2W Companhia  Gazprom  Federal Mogul  Systeme U; Updates Siemens  Nuance  Star Bulk),topStory
TEF,Telefonica SA,20140616,Telefonica to win EU approval for $11 billion E-Plus bid: sources ,BRUSSELS Telefonica will win EU approval for its 8.6-billion-euro ($11.7 billion) bid for KPN's German unit E-Plus after agreeing to let smaller rivals in Germany piggyback on its mobile network  two people with knowledge of the matter said.,normal
TEF,Telefonica SA,20140616,UPDATE 2-Intesa  Mediobanca to quit Telecom Italia investor pact ,* Intesa  Mediobanca join Generali in decision to exit Telco,normal
TEF,Telefonica SA,20140616,EU regulators to clear Telefonica's 8.6 bln euro E-Plus bid - sources ,BRUSSELS  June 16 EU antitrust regulators will approve Telefonica's 8.6-billion-euro ($11.71 billion) bid for KPN's E-Plus unit after it promised to cede a fifth of the combined company's network capacity to rivals  two people with knowledge of the matter said.,normal
BX,The Blackstone Group LP,20140616,UPDATE 1-Crafts retailer Michaels IPO aims to raise up to $528 mln ,June 16 Arts and crafts retailer Michaels Companies Inc said it expected to raise up to $528 million in its initial public offering.,normal
TRI,Thomson Reuters Corp,20140616,Medtronic's Covidien deal raises bar for rivals to merge ,Medtronic Inc's  $43 billion deal for Dublin-based Covidien Plc  should accelerate already intense efforts by medical device rivals to seek merger partners  industry analysts and bankers said on Monday. | Video ,topStory
TRI,Thomson Reuters Corp,20140616,Medtronic to buy Covidien for $42.9 billion  rebase in Ireland ,U.S. medical device maker Medtronic Inc  said on Sunday it had agreed to buy Covidien Plc  for $42.9 billion in cash and stock and move its executive base to Ireland in the latest transaction aiming for lower corporate tax rates abroad.,normal
TWTR,Twitter Inc,20140616,Twitter 'can be a nuisance' for Russia coach Capello ,CUIABA Brazil Russia soccer coach Fabio Capello doesn't have much confidence in his players' ability to always write "intelligent" tweets  so he decided the best thing to do was to ban them from using  Twitter while at the World Cup  he said on Monday.,topStory
TWTR,Twitter Inc,20140616,Soccer-Twitter 'can be a nuisance' for Russia coach Capello ,CUIABA  Brazil  June 16 Russia soccer coach Fabio Capello doesn't have much confidence in his players' ability to always write "intelligent" tweets  so he decided the best thing to do was to ban them from using  Twitter while at the World Cup  he said on Monday.,normal
TWTR,Twitter Inc,20140616,Michael Schumacher reaction ,Twitter reaction on Monday to the news that seven-times Formula One world champion Michael Schumacher is no longer in a coma.,normal
TWTR,Twitter Inc,20140616,REFILE-Hackers steal Domino's Pizza customer data in Europe  ransom sought ,BOSTON  June 16 Hackers have stolen data on more than 600 000 Domino's Pizza Inc customers in Belgium and France  the pizza delivery company said  and an anonymous Twitter user threatened to publish the data unless the company pays a cash ransom.,normal
TSN,Tyson Foods Inc,20140616,Hillshire withdraws recommendation for Pinnacle deal ,Hillshire Brands Co said it will withdraw its recommendation to its shareholders to vote for its acquisition of Pinnacle Foods Inc  following Tyson Foods Inc's offer to buy Hillshire.,topStory
TSN,Tyson Foods Inc,20140616,UPDATE 1-Hillshire withdraws recommendation for Pinnacle deal ,June 16 Hillshire Brands Co said it will withdraw its recommendation to its shareholders to vote for its acquisition of Pinnacle Foods Inc  following Tyson Foods Inc's offer to buy Hillshire.,normal
TSN,Tyson Foods Inc,20140616,Hillshire withdraws recommendation for Pinnacle deal ,June 16 Hillshire Brands Co said it will withdraw its recommendation to its shareholders to vote for its acquisition of Pinnacle Foods Inc  following Tyson Foods Inc's to buy Hillshire.,normal
UMC,United Microelectronics Corporation,20140616,BRIEF-Taiwan's UMC sold 10.5 mln shares of Epistar at T$69.10/share ,* Says has sold 10.5 million shares of Epistar at T$69.10 ($2.31) per share,topStory
VRX,Valeant Pharmaceuticals International Inc,20140616,Morgan Stanley calls Valeant 'house of cards' in Allergan pitch ,NEW YORK Morgan Stanley   an adviser to Valeant Pharmaceuticals International Inc  in its $53 billion hostile bid for Allergan Inc   initially tried to get hired by Allergan and in its pitch called the unsolicited bidder a "house of cards " according to Allergan.,topStory
VRX,Valeant Pharmaceuticals International Inc,20140616,UPDATE 4-Morgan Stanley calls Valeant 'house of cards' in Allergan pitch ,(Adds Allergan included views from third-parties in its statement),normal
VRX,Valeant Pharmaceuticals International Inc,20140616,Morgan Stanley called Valeant 'house of cards' in Allergan pitch ,NEW YORK  June 16 Morgan Stanley  an adviser to Valeant Pharmaceuticals International Inc in its $53 billion hostile bid for Allergan Inc  initially tried to get hired by Allergan and in its pitch called the unsolicited bidder a "house of cards"  according to Allergan.,normal
VZ,Verizon Communications Inc,20140616,Quebec seeks C$409 mln from rail operator for Lac-Megantic disaster ,TORONTO  June 16 The Quebec government said on Monday it was seeking some C$409 million ($377 million) from Montreal  Maine and Atlantic  the insolvent rail operator at the center of the rail disaster in the town of Lac Megantic last year.,topStory
VZA,Verizon Communications Inc,20140616,Quebec seeks C$409 mln from rail operator for Lac-Megantic disaster ,TORONTO  June 16 The Quebec government said on Monday it was seeking some C$409 million ($377 million) from Montreal  Maine and Atlantic  the insolvent rail operator at the center of the rail disaster in the town of Lac Megantic last year.,topStory
DIS,Walt Disney Company (The),20140616,Spielberg's Cold War thriller  Dahl adaptation get release dates ,LOS ANGELES DreamWorks film studio has given release dates of 2015 and 2016 for director Steven Spielberg's two next films  Walt Disney Co said in a statement on Monday.,topStory
DIS,Walt Disney Company (The),20140616,Spielberg's Cold War thriller  Dahl adaptation get release dates ,LOS ANGELES  June 16 DreamWorks film studio has given release dates of 2015 and 2016 for director Steven Spielberg's two next films  Walt Disney Co said in a statement on Monday.,normal
WFC,Wells Fargo & Company,20140616,JPMorgan sued by Miami over alleged mortgage discrimination ,NEW YORK  June 16 JPMorgan Chase & Co  has been sued by the city of Miami  accusing the bank of predatory mortgage lending in minority neighborhoods that allegedly caused a wave of foreclosures during the last decade's housing crisis.,normal
WEX,WEX Inc,20140616,Payments processor Wex to buy peer Evolution1 for $532.5 mln ,June 16 Payment processor Wex Inc said it would buy privately held peer Evolution1 for $532.5 million in cash to strengthen its position in the healthcare payment processing market.,topStory
PLG,Platinum Group Metals Ltd,20140616,PRECIOUS-Gold retreats from near 3-week high on profit taking ,* Platinum  palladium gain ahead of outcome of wage talks,topStory
