AMZN,Amazoncom Inc,20141216,Seattle police find no explosives after Amazon HQ threat ,SEATTLE Seattle police searched for explosives at Amazon.com's headquarters after a threatening letter was found at a company building just north of the city's downtown district  but found nothing  authorities said on Monday.,topStory
HMC,Honda Motor Company Ltd,20141216,Fitch Mengafirmasi Peringkat Empat Anak Perusahaan Astra ,(The following statement was released by the rating agency) JAKARTA  December 15 (Fitch) Fitch Ratings Indonesia telah mengafirmasi   Peringkat Nasional Jangka Panjang empat anak perusahaan PT Astra International  Tbk (AI) di bidang pembiayaan sebagai berikut:  PT Astra Sedaya Finance (ASF)  diafirmasi di 'AAA(idn)' dan 'F1+(idn)' PT Federal International Finance (FIF)  diafirmasi di 'AAA(idn)' dan 'F1+(idn)' PT Surya Artha Nusantara Finance (SANF)  diafirmasi di 'AA(idn)' dan 'F1+(idn)' PT Toyo,normal
HON,Honeywell International Inc,20141216,Honeywell sees benefit from lower oil prices  gives muted sales view ,Diversified U.S. manufacturer Honeywell International Inc  said on Monday it expected an overall benefit from the decline in oil prices even as it gave a 2015 sales forecast that slightly trailed Wall Street's target.,topStory
HSBC,HSBC Holdings plc,20141216,RPT-UPDATE 1-Lloyds payout in balance after scrapes through UK bank test ,LONDON  Dec 16 Britain's state-backed lenders only narrowly passed the Bank of England's debut annual stress test  putting the prospects of Lloyds paying a dividend for 2014 in the balance.,normal
HSEA,HSBC Holdings plc,20141216,RPT-UPDATE 1-Lloyds payout in balance after scrapes through UK bank test ,LONDON  Dec 16 Britain's state-backed lenders only narrowly passed the Bank of England's debut annual stress test  putting the prospects of Lloyds paying a dividend for 2014 in the balance.,normal
HSEB,HSBC Holdings plc,20141216,RPT-UPDATE 1-Lloyds payout in balance after scrapes through UK bank test ,LONDON  Dec 16 Britain's state-backed lenders only narrowly passed the Bank of England's debut annual stress test  putting the prospects of Lloyds paying a dividend for 2014 in the balance.,normal
ICE,Intercontinental Exchange Inc,20141216,NYSE to eliminate fees for some retail stock orders ,NEW YORK  Dec 16 Intercontinental Exchange Inc's  NYSE Group unit said on Tuesday it would eliminate the fees the exchange operator charges for certain retail stock orders in an effort to take back business from over-the-counter trading platforms.,topStory
IHG,Intercontinental Hotels Group,20141216,IHG agrees $430 mln acquisition of boutique Kimpton Hotels ,LONDON InterContinental Hotels Group  one of the world's largest hoteliers  has agreed to buy U.S.-focused Kimpton Hotels & Restaurants for $430 million to boost its exposure to the faster-growing boutique hotel sector.,topStory
IHG,Intercontinental Hotels Group,20141216,IHG agrees $430 million acquisition of boutique Kimpton Hotels ,LONDON InterContinental Hotels Group   one of the world's largest hoteliers  has agreed to buy U.S.-focused Kimpton Hotels & Restaurants for $430 million to boost its exposure to the faster-growing boutique hotel sector.,normal
IHG,Intercontinental Hotels Group,20141216,UPDATE 1-IHG agrees $430 mln acquisition of boutique Kimpton Hotels ,LONDON  Dec 16 InterContinental Hotels Group   one of the world's largest hoteliers  has agreed to buy U.S.-focused Kimpton Hotels & Restaurants for $430 million to boost its exposure to the faster-growing boutique hotel sector.,normal
IHG,Intercontinental Hotels Group,20141216,IHG agrees $430 mln acquisition of boutique Kimpton Hotels ,LONDON  Dec 16 InterContinental Hotels Group   one of the world's largest hoteliers  said it had agreed to acquire U.S.-focused Kimpton Hotels & Restaurants for $430 million to boost its exposure to the boutique hotel space.,normal
ITUB,Itau Unibanco Banco Holding SA,20141216,UPDATE 4-Itaú's Setubal eyes Banamex as potential entry to Mexico ,SAO PAULO  Dec 16 Itaú Unibanco Holding SA   Latin America's largest bank by market value  wants to enter the Mexican retail banking market and is eyeing Grupo Financiero Banamex SA as a potential way in  Chief Executive Officer Roberto Egydio Setubal said on Tuesday.,topStory
ITUB,Itau Unibanco Banco Holding SA,20141216,Brazil's Itaú to keep disposing of non-core insurance units ,SAO PAULO  Dec 16 Itaú Unibanco Holding SA will continue to sell insurance assets that are not strategically key to Brazil's most profitable bank  Chief Executive Officer Roberto Setubal said on Tuesday.,normal
ITUB,Itau Unibanco Banco Holding SA,20141216,Itaú has no plans for overseas acquisition  executive says ,SAO PAULO  Dec 16 Itaú Unibanco Holding SA  Latin America's largest bank by market value  has no immediate plans to buy a rival overseas as an ongoing decline in Brazil's currency is making foreign acquisitions more expensive  a senior executive said on Tuesday.,normal
JNJ,Johnson & Johnson,20141216,Galapagos loses partner on inflammatory bowel drug ,BRUSSELS Belgian biotech group Galapagos said on Tuesday that its research partner Janssen Pharmaceutica  a unit of Johnson & Johnson  had pulled out of a program to develop a new drug to treat bowel disease.,topStory
JNJ,Johnson & Johnson,20141216,Galapagos loses partner on inflammatory bowel drug ,BRUSSELS  Dec 16 Belgian biotech group Galapagos  said on Tuesday that its research partner Janssen Pharmaceutica  a unit of Johnson & Johnson  had pulled out of a programme to develop a new drug to treat bowel disease.,normal
LUK,Leucadia National Corporation,20141216,Jefferies in talks to sell futures business ,Investment bank Jefferies Group LLC  owned by Leucadia National Corp   said it was in talks to sell its commodities and financial derivatives brokerage  which has been struggling with high costs and falling fees.,topStory
LUK,Leucadia National Corporation,20141216,UPDATE 2-Jefferies in talks to sell futures business ,Dec 16 Investment bank Jefferies Group LLC  owned by Leucadia National Corp  said it was in talks to sell its commodities and financial derivatives brokerage  which has been struggling with high costs and falling fees.,normal
LUK,Leucadia National Corporation,20141216,Jefferies reports loss  seeks options for brokerage unit ,Dec 16 Investment bank Jefferies Group LLC  owned by Leucadia National Corp  reported a quarterly loss and said it was exploring strategic alternatives for its futures-brokerage unit.,normal
LYG,Lloyds Banking Group Plc,20141216,Britain's state-backed banks scrape through stress tests ,LONDON The Bank of England gave Britain's state-backed lenders a narrow pass in its debut annual stress tests on Tuesday  but warned that next year banks would face tougher checks of their capital strength and international exposure. | Video ,topStory
LYG,Lloyds Banking Group Plc,20141216,UPDATE 3-Britain warns of tougher bank stress tests ahead ,* Lloyds and RBS pass after cutting their balance sheet in 2014,normal
LYG,Lloyds Banking Group Plc,20141216,RPT-UPDATE 1-Lloyds payout in balance after scrapes through UK bank test ,LONDON  Dec 16 Britain's state-backed lenders only narrowly passed the Bank of England's debut annual stress test  putting the prospects of Lloyds paying a dividend for 2014 in the balance.,normal
LYG,Lloyds Banking Group Plc,20141216,BRIEF-Lloyds Bank not required to take action after stress test ,* Exceeds capital threshold set out for purpose of stress test,normal
NAV,Navistar International Corporation,20141216,Navistar posts larger-than-expected quarterly loss ,Navistar International Corp  on Tuesday reported a larger-than-expected loss  pulled down by restructuring and product warranty costs.,topStory
NAV,Navistar International Corporation,20141216,UPDATE 1-Navistar posts larger-than-expected quarterly loss ,Dec 16 Navistar International Corp on Tuesday reported a larger-than-expected loss  pulled down by restructuring and product warranty costs.,normal
NAV,Navistar International Corporation,20141216,Navistar posts larger-than-expected quarterly loss ,Dec 16 Navistar International Corp on Tuesday reported a larger-than-expected loss  pulled down by restructuring and product warranty costs.,normal
NKE,Nike Inc,20141216,UPDATE 1-Puma names Rihanna as women's creative director ,* Puma spending on marketing to catch up with Nike  Adidas,topStory
OCN,Ocwen Financial Corporation,20141216,Ocwen faulted by watchdog for compliance with servicing settlement ,WASHINGTON  Dec 16 Ocwen Financial Corp's  mortgage servicing operations were criticized on Tuesday by a watchdog who questioned the independence of an internal audit group  adding to previous concerns from regulators.,topStory
ORAN,Orange,20141216,U.S. startup sues France's Orange over social calling app: FT ,French telecom group Orange SA has been sued in California by San Francisco-based startup Telesocial over an application that lets users make phone calls via their Facebook profiles  the Financial Times reported.,topStory
ORAN,Orange,20141216,Orange executive sees BT/EE deal closing by early 2016 ,PARIS British telecoms group BT's  plan to buy UK mobile operator EE for 12.5 billion pounds ($19.7 billion) should be completed by end-2015 or early 2016  said a senior executive of French group Orange  which owns half of the business.,normal
ORAN,Orange,20141216,Orange exec sees BT/EE deal closing by early 2016 ,PARIS  Dec 16 British telecoms group BT's  plan to buy UK mobile operator EE for 12.5 billion pounds ($19.7 billion) should be completed by end-2015 or early 2016  said a senior executive of French group Orange which owns half of the business.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20141216,Cost of borrowing Petrobras shares doubles on corruption scandal ,SAO PAULO  Dec 16 The cost of borrowing common shares of Petróleo Brasileiro SA in Brazilian equity markets more than doubled over the past month as investors bet that a corruption scandal engulfing the state-run oil producer will further depress its stock.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20141216,Brazil prosecutor seeks indictment against former Petrobras CEO ,RIO DE JANEIRO Prosecutors in Rio de Janeiro said on Tuesday that they were seeking to indict the former chief executive officer of Brazilian state-run oil company Petroleo Brasileiro SA  and a leading local construction and engineering firm for fraud.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20141216,Brazil prosecutor seeks indictment against former Petrobras CEO ,RIO DE JANEIRO  Dec 16 Prosecutors in Rio de Janeiro said on Tuesday that they were seeking to indict the former chief executive officer of Brazilian state-run oil company Petroleo Brasileiro SA and a leading local construction and engineering firm for fraud.,normal
PGR,Progressive Corporation (The),20141216,Progressive to take controlling stake in ARX Holding for $875 million ,Progressive Corp   a provider of auto insurance products  said it would acquire a controlling stake in property insurer ARX Holding Corp for $875 million in cash.,topStory
PGR,Progressive Corporation (The),20141216,Progressive to take controlling stake in ARX Holding for $875 mln ,Dec 16 Progressive Corp  a provider of auto insurance products  said it would acquire a controlling stake in property insurer ARX Holding Corp for $875 million in cash.,normal
COL,Rockwell Collins Inc,20141216,Rockwell Collins executive sees big market in Boeing 777 retrofits ,NEW YORK Rockwell Collins Inc  sees a large opportunity to retrofit current-generation Boeing Co  777 aircraft with heads-up cockpit displays it is developing for the next-generation 777X  a senior executive told Reuters on Tuesday.,topStory
RBS,Royal Bank Scotland plc (The),20141216,Cerberus buys more Europe property assets with RBS  NAB deals ,LONDON/SYDNEY U.S. private equity firm Cerberus snapped up billions of pounds of loans in Ireland and Britain in a pair of deals on Tuesday  reinforcing its position as one of the biggest buyers of European property assets at knock-down prices.,topStory
RBS,Royal Bank Scotland plc (The),20141216,UPDATE 2-Cerberus buys more Europe property assets with RBS  NAB deals ,* U.S. private equity firm buys $7.5 bln of Irish loans from RBS,normal
RBS,Royal Bank Scotland plc (The),20141216,UPDATE 3-Britain warns of tougher bank stress tests ahead ,* Lloyds and RBS pass after cutting their balance sheet in 2014,normal
RBS,Royal Bank Scotland plc (The),20141216,RBS sells $7.5 bln book of Irish loans to Cerberus ,LONDON  Dec 16 Royal Bank of Scotland  said it had sold 4.8 billion pounds ($7.5 billion) of Irish property loans to an entity controlled by U.S. private equity firm Cerberus.,normal
RBS,Royal Bank Scotland plc (The),20141216,RBS says still work to be done on balance sheet ,LONDON Britain's Royal Bank of Scotland said on Tuesday it still had work to do to build up its defenses against potential losses after it narrowly passed a Bank of England stress test.,normal
RBS,Royal Bank Scotland plc (The),20141216,RBS says still work to be done on balance sheet ,LONDON  Dec 16 Britain's Royal Bank of Scotland  said on Tuesday it still had work to do to build up its defences against potential losses after it narrowly passed a Bank of England stress test.,normal
SNE,Sony Corp Ord,20141216,COLUMN-Do Sony employees have right to sue over data breach?: Frankel ,(The opinions expressed here are those of the author  a columnist for Reuters.),topStory
SNE,Sony Corp Ord,20141216,No credible sign of plot on theaters over Sony movie: U.S. officials ,BOSTON U.S. security agencies are investigating a threat against theaters planning to show Sony Corp's controversial movie about an assassination of the leader of North Korea  and so far they have seen no real sign of an active plot  two U.S. officials said.,normal
SNE,Sony Corp Ord,20141216,UPDATE 2-No credible sign of plot on theaters over Sony movie - U.S. officials ,(Adds stars of 'The Interview' drop media appearances  lawsuit; adds bylines),normal
SNE,Sony Corp Ord,20141216,No credible sign of plot against theaters showing Sony movie-U.S. official ,BOSTON  Dec 16 The U.S. Department of Homeland Security is investigating a threat against theaters planning to show Sony Corp's controversial movie about an assassination of the leader of North Korea  and so far it has seen no credible sign of an active plot  an agency official said.,normal
SNE,Sony Corp Ord,20141216,Tencent  Sony strike China music distribution deal ,BEIJING Chinese Internet giant Tencent Holdings Ltd  has struck the latest in a string of music distribution deals  this time with Sony Music Entertainment  as it teams up with labels to try to develop China's paid-for music market and curb piracy.,normal
SNE,Sony Corp Ord,20141216,Tencent  Sony strike China music distribution deal ,BEIJING  Dec 16 Chinese Internet giant Tencent Holdings Ltd has struck the latest in a string of music distribution deals  this time with Sony Music Entertainment  as it teams up with labels to try to develop China's paid-for music market and curb piracy.,normal
SNE,Sony Corp Ord,20141216,Sony studio chiefs aim to reassure employees after damaging hack ,LOS ANGELES Executives at Sony Corp's Hollywood movie studio sought to reassure employees on Monday that the studio would recover from a massive cyber attack that exposed internal emails and sensitive employee data.,normal
SNE,Sony Corp Ord,20141216,Sony studio chiefs aim to reassure employees after damaging hack ,LOS ANGELES  Dec 15 Executives at Sony Corp's  Hollywood movie studio sought to reassure employees on Monday that the studio would recover from a massive cyber attack that exposed internal emails and sensitive employee data.,normal
S,Sprint Corporation,20141216,FCC eyes $105 mln fine for Sprint over phone bill 'cramming' ,WASHINGTON  Dec 16 U.S. wireless carrier Sprint Corp is expected to face a $105 million fine from the Federal Communications Commission in coming weeks over unauthorized charges on customers' cellphone bills  a practice known as cramming  according to FCC officials.,topStory
STO,Statoil ASA,20141216,EU mergers and takeovers (Dec 16) ,BRUSSELS  Dec 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20141216,BRIEF-Taiwan's TSMC orders equipment for T$309 mln ,Dec 16 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TI,Telecom Italia SPA,20141216,Telecom Italia keen to buy all or part of F2i's Metroweb stake ,ROME  Dec 16 Telecom Italia has proposed buying infrastructure fund F2i's controlling stake in Italian fiber optic network provider Metroweb either in full or in part  the phone group's Chief Executive Marco Patuano said on Tuesday.,topStory
BX,The Blackstone Group LP,20141216,Singapore's City Developments to raise $1.1 billion from Blackstone  CIMB ,HONG KONG Singapore's second-largest property developer City Developments Ltd (CDL)  said on Tuesday it plans to raise about $1.1 billion from a group of investors and banks including Blackstone Group LP  to fund global expansion.,topStory
BX,The Blackstone Group LP,20141216,UPDATE 1-Singapore's City Developments to raise $1.1 bln from Blackstone  CIMB ,* Blackstone  CIMB to invest into City Developments security,normal
BX,The Blackstone Group LP,20141216,Singapore's City Developments to raise $1.1 bln from Blackstone  CIMB ,HONG KONG  Dec 16 Singapore's second-largest property developer City Developments Ltd said on Tuesday it plans to raise about $1.1 billion from a group of investors and banks including Blackstone Group LP to fund global expansion.,normal
WTI,W&T Offshore Inc,20141216,U.S. jury finds Apache did not breach contract with W&T Offshore ,Apache Corp was not in breach of contract in a lawsuit brought by Houston-based oil and gas producer W&T Offshore Inc in 2011  a federal jury found on Monday  according to a court filing.,topStory
WTI,W&T Offshore Inc,20141216,US jury finds Apache did not breach contract with W&T Offshore ,Dec 15 Apache Corp was not in breach of contract in a lawsuit brought by Houston-based oil and gas producer W&T Offshore Inc in 2011  a federal jury found on Monday  according to a court filing.,normal
WMT,Wal-Mart Stores Inc,20141216,Family of Ohio man shot and killed in Walmart sue company  police ,CLEVELAND The family of an Ohio man shot and killed by police while holding a BB gun in a Walmart store filed a federal wrongful death lawsuit on Tuesday against the police and the national retail chain.,topStory
WMT,Wal-Mart Stores Inc,20141216,Wal-Mart must pay $188 million in workers' class action ,The Pennsylvania Supreme Court ordered Wal-Mart Stores Inc to pay $188 million to employees who had sued the retailer for failing to compensate them for rest breaks and all hours worked.,normal
WMT,Wal-Mart Stores Inc,20141216,Wal-Mart must pay $188 million in workers' class action ,The Pennsylvania Supreme Court ordered Wal-Mart Stores Inc to pay $188 million to employees who had sued the retailer for failing to compensate them for rest breaks and all hours worked.,normal
WMT,Wal-Mart Stores Inc,20141216,UPDATE 1-Wal-Mart must pay $188 million in workers' class action ,(Adds details on case  Wal-Mart comment  ruling last week),normal
WMT,Wal-Mart Stores Inc,20141216,Family of Ohio man shot and killed in Walmart sue company  police ,CLEVELAND  Dec 16 The family of an Ohio man shot and killed by police while holding a BB gun in a Walmart  store filed a federal wrongful death lawsuit on Tuesday against the police and the national retail chain.,normal
WMT,Wal-Mart Stores Inc,20141216,Wal-Mart ordered to pay $188 mln over reduced staff breaks ,Dec 16 Wal-Mart Stores Inc said the Pennsylvania Supreme Court had ordered it to pay about $188 million to settle a class-action lawsuit filed by employees who claimed their meal and rest breaks were regularly cut.,normal
WPX,WPX Energy Inc,20141216,Scramble for safety as ruble  oil sink ,LONDON Oil's plunge below $60 and the failure of Russia's huge emergency rate hike to stabilize the ruble jolted global markets on Tuesday  adding to a growing sense of crisis and a volatile end to 2014. | Video ,topStory
WPXP,WPX Energy Inc,20141216,Scramble for safety as ruble  oil sink ,LONDON Oil's plunge below $60 and the failure of Russia's huge emergency rate hike to stabilize the ruble jolted global markets on Tuesday  adding to a growing sense of crisis and a volatile end to 2014. | Video ,topStory
