ALXN,Alexion Pharmaceuticals Inc,20140903,UK watchdog backs Alexion's "very expensive" drug ,LONDON  Sept 4 Britain's healthcare cost watchdog has recommended a drug to treat a rare blood disease from U.S. biotech group Alexion Pharmaceuticals  even though it said the medicine was "very expensive".,topStory
BPL,Buckeye Partners LP,20140903,Deals of the day- Mergers and acquisitions ,(Adds Family Dollar Stores  Ryanair  Dassault Aviation  Citigroup  BP  Mutuelle Generale),topStory
BPL,Buckeye Partners LP,20140903,UPDATE 2-Buckeye buys Trafigura's prized Texas oil assets ,Sept 3 Oil logistics specialist Buckeye Partners LP said it will pay $860 million for control of Trafigura's prized oil facilities in the Texas shale hub  while expectations rise that Washington will relax its ban on crude oil exports.,normal
BPL,Buckeye Partners LP,20140903,Buckeye buys Trafigura's prized Texas oil assets ,Oil logistics specialist Buckeye Partners LP  will pay $860 million for control of Trafigura's [TRAFGF.UL] prized oil facilities in the Texas shale hub amid expectations Washington will relax its crude oil export ban.,normal
C,Citigroup Inc,20140903,Citi to pay $217 841 to settle OFAC violation liabilities ,Sept 3 Citigroup Inc has agreed to remit $217 841 to settle potential civil liability for apparently violating multiple sanctions programs of the Office of Foreign Assets Control (OFAC)  the U.S. Department of Treasury said on Wednesday.,topStory
C,Citigroup Inc,20140903,Deals of the day- Mergers and acquisitions ,(Adds Family Dollar Stores  Ryanair  Dassault Aviation  Citigroup  BP  Mutuelle Generale),normal
C,Citigroup Inc,20140903,Citi sells more branches in Texas to BB&T ,Citigroup Inc  agreed to sell another 41 branches in Texas to BB&T Corp  as the third-largest U.S. bank cuts back on brick-and-mortar outlets and focuses on online banking.,normal
C,Citigroup Inc,20140903,UPDATE 2-Citi sells more branches in Texas to BB&T ,(Adds comments from BB&T CEO  additional information on Citigroup's strategy; updates share prices),normal
KO,Coca-Cola Company (The),20140903,Keurig expands deal with Coca-Cola to sell iced tea pods ,Keurig Green Mountain Inc  expanded its deal with Coca-Cola Co  to sell the beverage company's Honest Tea pods in its Keurig hot brewing machines in North America.,topStory
KO,Coca-Cola Company (The),20140903,Keurig expands deal with Coca-Cola to sell iced tea pods ,Sept 3 Keurig Green Mountain Inc  expanded its deal with Coca-Cola Co to sell the beverage company's Honest Tea pods in its Keurig hot brewing machines in North America.,normal
DHI,DR Horton Inc,20140903,Toll Brothers profit doubles on higher home prices ,Toll Brothers Inc's quarterly income more than doubled as the largest U.S. luxury homebuilder sold more homes at higher prices. | Video ,normal
DHI,DR Horton Inc,20140903,UPDATE 1-Toll Brothers profit doubles on higher home prices ,Sept 3 Toll Brothers Inc's quarterly income more than doubled as the largest U.S. luxury homebuilder sold more homes at higher prices.,normal
DAL,Delta Air Lines Inc,20140903,US STOCKS-Wall Street ends mixed as Apple weighs on Nasdaq ,* Dow up 0.06 pct  S&P down 0.08 pct  Nasdaq off 0.56 pct   (Updates to close),topStory
DAL,Delta Air Lines Inc,20140903,US STOCKS-Wall St mixed as Apple weighs on Nasdaq ,* Dow up 0.14 pct  S&P flat  Nasdaq off 0.44 pct   (Updates to afternoon  adds detail on Apple shares),normal
DAL,Delta Air Lines Inc,20140903,U.S. airlines stocks fall after Delta trims margin outlook ,U.S. airlines stocks fell on Wednesday after Delta Air Lines  trimmed its operating margin forecast and reported that international passenger traffic lagged slightly in August  heightening concerns that other U.S. carriers might encounter similar headwinds.,normal
DAL,Delta Air Lines Inc,20140903,U.S. airlines stocks fall after Delta trims margin outlook ,Sept 3 U.S. airlines stocks fell on Wednesday after Delta Air Lines trimmed its operating margin forecast and reported that international passenger traffic lagged slightly in August  heightening concerns that other U.S. carriers might encounter similar headwinds.,normal
DAL,Delta Air Lines Inc,20140903,Virgin Atlantic says on track for 2014 return to profit ,LONDON  Sept 3 Britain's Virgin Atlantic  said it was on track to make an annual profit by the end of this year  after two years of running at a loss  and announced plans to increase its focus on trans-Atlantic routes to help boost future earnings.,normal
DB,Deutsche Bank AG,20140903,McIlroy has sights set on capping banner year in style ,CHERRY HILLS VILLAGE Colorado World number one Rory McIlroy said on Wednesday that he will be "disappointed" unless he can cap his banner year by capturing FedExCup honors and the eye-popping $10 million bonus given to the playoff winner.,topStory
DB,Deutsche Bank AG,20140903,Ackman taps Deutsche Bank  UBS for hedge fund portfolio IPO: sources ,LONDON/BOSTON Billionaire investor William Ackman has tapped Deutsche Bank  and UBS  to handle the listing of one of his hedge fund portfolios in London later this year  three sources familiar with the matter said on Wednesday.,normal
DB,Deutsche Bank AG,20140903,UPDATE 1-Ackman taps Deutsche Bank  UBS for hedge fund portfolio IPO -sources ,LONDON/BOSTON  Sept 3 Billionaire investor William Ackman has tapped Deutsche Bank and UBS  to handle the listing of one of his hedge fund portfolios in London later this year  three sources familiar with the matter said on Wednesday.,normal
DB,Deutsche Bank AG,20140903,Ackman taps Deutsche and UBS for hedge fund portfolio IPO-sources ,BOSTON  Sept 3 Billionaire investor William Ackman has tapped Deutsche Bank and UBS  to handle the listing of one of his hedge fund portfolios in London later this year  three sources familiar with the matter said on Wednesday.,normal
DB,Deutsche Bank AG,20140903,MOVES-Deutsche Bank names Humphrey head of U.S. investment arm ,FRANKFURT  Sept 3 Deutsche Bank named Wall Street banker and hedge fund veteran Tom Humphrey as head of its U.S. investment banking operations as it expands into the quickly growing North American market.,normal
E,ENI SpA,20140903,UPDATE 3-Renzi slows reform pledge frenzy as criticism mounts ,* Renzi outlines schools vision  plans reform for January 2015,topStory
E,ENI SpA,20140903,Renzi cool on Eni  Enel sales  wants longer to cut debt ,MILAN Italy will continue with a plan to privatize state-owned companies  but Prime Minister Matteo Renzi does not see the sale of stakes in energy companies Eni  and Enel  as a priority  he told financial daily Il Sole 24Ore.,normal
E,ENI SpA,20140903,Italy's Renzi does not see sale of Eni  Enel as priority-Sole 24Ore ,MILAN  Sept 3 Italy will go on with a plan to privatize state-owned companies  but its Prime Minister Matteo Renzi does not see as a priority the sale of stakes in energy companies Eni and Enel  he told financial daily Il Sole 24 Ore.,normal
XOM,Exxon Mobil Corporation,20140903,Romania president says Exxon  Petrom gas investment at $4-5 bln ,BUCHAREST  Sept 3 Romania's top oil and gas group Petrom and U.S. major ExxonMobil will need to invest $4-5 billion to extract gas from a Black Sea field  provided additional data confirms their find  President Traian Basescu said on Wednesday.,topStory
FLO,Flowers Foods Inc,20140903,Chicago White Sox - TeamReport ,MINNEAPOLIS -- Chicago White Sox catcher Tyler Flowers is making a habit of killing the Minnesota Twins this season.,topStory
F,Ford Motor Company,20140903,CORRECTED-UPDATE 2-U.S. auto sales strong  led by Ford  Chrysler  Nissan ,(Corrects in last paragraph to show truck sales were up at GM and Chrysler only  not Ford),topStory
F,Ford Motor Company,20140903,WRAPUP 3-Strong factory orders  auto sales brighten U.S. economic picture ,(Adds final auto sales figure  analyst comment; updates markets),normal
F,Ford Motor Company,20140903,Carmakers report best U.S. August since 2003 ,DETROIT U.S. August auto sales were the highest for that month in more than a decade  thanks in part to heavy discounting by the manufacturers and a strong Labor Day weekend close  with the industry selling at an annualized pace not seen since early 2006. | Video ,normal
F,Ford Motor Company,20140903,UPDATE 5-Carmakers report best U.S. August since 2003 ,DETROIT  Sept 3 U.S. August auto sales were the highest for that month in more than a decade  thanks in part to heavy discounting by the manufacturers and a strong Labor Day weekend close  with the industry selling at an annualized pace not seen since early 2006.,normal
F,Ford Motor Company,20140903,US STOCKS-Wall St climbs to fresh record on Ukraine hopes  data ,* Indexes: Dow up 0.34 pct  S&P 500 up 0.17 pct  Nasdaq off 0.1 pct   (Updates to market open; adds quote),normal
F,Ford Motor Company,20140903,Ford sees U.S. August industry auto sales up 3 percent ,DETROIT Ford Motor Co  sales analyst Erich Merkle said the company expects U.S. auto industry sales to rise 3 percent in August  easily beating expectations of a 0.1 percent gain.,normal
F,Ford Motor Company,20140903,Ford sees U.S. August industry auto sales up 3 percent ,DETROIT Ford Motor Co  sales analyst Erich Merkle said the company expects U.S. auto industry sales to rise 3 percent in August  easily beating expectations of a 0.1 percent gain.,normal
F,Ford Motor Company,20140903,Ford sees U.S. August industry auto sales up 3 percent ,DETROIT  Sept 3 Ford Motor Co sales analyst Erich Merkle said the company expects U.S. auto industry sales to rise 3 percent in August  easily beating expectations of a 0.1 percent gain.,normal
FCN,FTI Consulting Inc,20140903,Exclusive: Puerto Rico's PREPA eyes AlixPartners  FTI execs for restructuring post - sources ,NEW YORK Turnaround experts from AlixPartners and FTI Consulting are among those being considered to lead the restructuring of Puerto Rico's troubled power authority PREPA  according to four people close to the matter  and an announcement could come this week.,topStory
GD,General Dynamics Corporation,20140903,UK to sign $5.8 billion deal with General Dynamics for armored vehicles ,The British government said it would sign a deal worth 3.5 billion pounds ($5.76 billion) on Wednesday with General Dynamics for new armored fighting vehicles  its biggest single order for such vehicles in over 30 years.,topStory
GD,General Dynamics Corporation,20140903,UK to sign $5.8 bln deal with General Dynamics for armoured vehicles ,Sept 3 The British government said it would sign a deal worth 3.5 billion pounds ($5.76 billion) on Wednesday with General Dynamics for new armoured fighting vehicles  its biggest single order for such vehicles in over 30 years.,normal
GEH,General Electric Capital Corporation,20140903,GE's 3D mammography device gets FDA approval ,General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,topStory
GEH,General Electric Capital Corporation,20140903,GE's 3D mammography device gets U.S. FDA approval ,Sept 2 General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,normal
GEK,General Electric Capital Corporation,20140903,GE's 3D mammography device gets FDA approval ,General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,topStory
GEK,General Electric Capital Corporation,20140903,GE's 3D mammography device gets U.S. FDA approval ,Sept 2 General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,normal
GE,General Electric Company,20140903,GE's 3D mammography device gets FDA approval ,General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,topStory
GE,General Electric Company,20140903,GE's 3D mammography device gets U.S. FDA approval ,Sept 2 General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,normal
GEB,General Electric Company,20140903,GE's 3D mammography device gets FDA approval ,General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,topStory
GEB,General Electric Company,20140903,GE's 3D mammography device gets U.S. FDA approval ,Sept 2 General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.,normal
GM,General Motors Company,20140903,CORRECTED-UPDATE 2-U.S. auto sales strong  led by Ford  Chrysler  Nissan ,(Corrects in last paragraph to show truck sales were up at GM and Chrysler only  not Ford),topStory
GM,General Motors Company,20140903,UPDATE 5-Carmakers report best U.S. August since 2003 ,DETROIT  Sept 3 U.S. August auto sales were the highest for that month in more than a decade  thanks in part to heavy discounting by the manufacturers and a strong Labor Day weekend close  with the industry selling at an annualized pace not seen since early 2006.,normal
GM,General Motors Company,20140903,BRIEF-GM says all vehicles inventory at August-end 727 325 units ,* GM says all vehicles inventory at August-end 727 325 units vs 737 731 units at July-end  Further company coverage:    (Reporting by Narottam Medhora in Bangalore),normal
GM,General Motors Company,20140903,BRIEF-GM says delivered 272 423 vehicles in U.S. in August ,* GM says delivered 272 423 vehicles in U.S. in August;  total deliveries were down 1 percent versus last August,normal
GS,Goldman Sachs Group Inc (The),20140903,UPDATE 1-MOVES-Former Goldman executive Stefan Green joins Perella Weinberg ,Sept 3 Financial services provider Perella Weinberg Partners said Stefan Green  a 19-year Goldman Sachs  veteran  had joined the company as a partner in its advisory business.,topStory
GS,Goldman Sachs Group Inc (The),20140903,U.S. court reverses fee award to ex-Goldman programmer ,Goldman Sachs Group Inc should not have been ordered to pay former programmer Sergey Aleynikov's legal fees to defend against criminal charges that he stole secret code from the bank's computers  a divided federal appeals court ruled on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20140903,UPDATE 1-U.S. court reverses fee award to ex-Goldman programmer ,Sept 3 Goldman Sachs Group Inc should not have been ordered to pay former programmer Sergey Aleynikov's legal fees to defend against criminal charges that he stole secret code from the bank's computers  a divided federal appeals court ruled on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20140903,U.S. court reverses fee award to ex-Goldman programmer ,Sept 3 Goldman Sachs Group Inc should not have been ordered to pay former programmer Sergey Aleynikov's legal fees to defend against criminal charges that he stole secret code from the bank's computers  a divided federal appeals court ruled on Wednesday.,normal
HLF,Herbalife LTD,20140903,Ackman taps Deutsche Bank  UBS for hedge fund portfolio IPO: sources ,LONDON/BOSTON Billionaire investor William Ackman has tapped Deutsche Bank  and UBS  to handle the listing of one of his hedge fund portfolios in London later this year  three sources familiar with the matter said on Wednesday.,topStory
HLF,Herbalife LTD,20140903,UPDATE 1-Ackman taps Deutsche Bank  UBS for hedge fund portfolio IPO -sources ,LONDON/BOSTON  Sept 3 Billionaire investor William Ackman has tapped Deutsche Bank and UBS  to handle the listing of one of his hedge fund portfolios in London later this year  three sources familiar with the matter said on Wednesday.,normal
HD,Home Depot Inc (The),20140903,Almost all U.S. Home Depot stores may have been hit by breach: new data ,CHICAGO Customer data could have been stolen from nearly all of Home Depot Inc's  stores in the United States  according to new information released on Wednesday by security website KrebsonSecurity.,topStory
HD,Home Depot Inc (The),20140903,UPDATE 1-Almost all U.S. Home Depot stores may have been hit by breach -new data ,CHICAGO  Sept 3 Customer data could have been stolen from nearly all of Home Depot Inc's stores in the United States  according to new information released on Wednesday by security website KrebsonSecurity.,normal
HD,Home Depot Inc (The),20140903,Almost all U.S. Home Depot stores may have been hit by breach -new data ,CHICAGO  Sept 3 Customer data could have been stolen from nearly all of Home Depot Inc's stores in the United States  according to new information released on Wednesday by security website KrebsonSecurity.,normal
JPM,J P Morgan Chase & Co,20140903,JPMorgan in talks to sell oil-supply agreement to BoA: WSJ ,JPMorgan Chase & Co  is in talks to sell its oil-supply agreement with a major Philadelphia refinery to Bank of America Corp   the Wall Street Journal reported Tuesday  citing people familiar with the matter.,topStory
JPM,J P Morgan Chase & Co,20140903,U.S. regulators adopt tighter rules for banks' cash needs ,WASHINGTON U.S. regulators on Wednesday issued rules for banks to hold enough easy-to-sell assets to keep them afloat during a crunch  after many were caught short of cash during the 2007-09 financial crisis.,normal
JPM,J P Morgan Chase & Co,20140903,U.S. regulators to vote on liquidity  swap margin rules ,WASHINGTON  Sept 3 U.S. regulators met on Wednesday to adopt rules for banks to hold enough easy-to-sell assets to keep them afloat during a crunch  after many were caught short of cash during the 2007-09 financial crisis.,normal
JPM,J P Morgan Chase & Co,20140903,UPDATE 1-Market Chatter-Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
JPM,J P Morgan Chase & Co,20140903,Market Chatter- Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
KKR,KKR & Co LP,20140903,KKR invests in smart home tech company Savant Systems ,Private equity firm KKR & Co LLP said on Wednesday that it is investing $90 million in Savant Systems  a company that helps control the lighting  temperature and TVs in some of the world's wealthiest homes.,topStory
KKR,KKR & Co LP,20140903,REFILE-KKR invests in smart home tech company Savant Systems ,Sept 3 Private equity firm KKR & Co LLP  said on Wednesday that   it is investing $90 million in Savant Systems  a company that helps control the lighting  temperature and TVs in some of the world's wealthiest homes.,normal
PHG,Koninklijke Philips NV,20140903,EU regulators fine Infineon  Samsung  Philips 138 million euros ,BRUSSELS European Union antitrust regulators fined Philips  Samsung Electronics and Infineon Technologies a total of 138 million euros ($181.28 million) on Wednesday for fixing prices of chips used in mobile SIM cards.,topStory
PHG,Koninklijke Philips NV,20140903,UPDATE 2-EU regulators fine Infineon  Samsung  Philips 138 mln euros ,* EU regulators say smart card chip cartel between 2003-2005,normal
PHG,Koninklijke Philips NV,20140903,Philips to appeal against European Commission price fixing fine ,AMSTERDAM Dutch electronics and healthcare company Philips denied its former semiconductor division had taken part in a price fixing cartel  saying on Wednesday that it would appeal against a 20 million euro ($26.4 million) European Commission fine.,normal
PHG,Koninklijke Philips NV,20140903,Philips to appeal against European Commission price fixing fine ,AMSTERDAM  Sept 3 Dutch electronics and healthcare company Philips denied its former semiconductor division had taken part in a price fixing cartel  saying on Wednesday that it would appeal against a 20 million euro ($26.4 million) European Commission fine.,normal
PHG,Koninklijke Philips NV,20140903,EU regulators fine Infineon  Samsung  Philips 138 mln euros ,BRUSSELS  Sept 3 European Union antitrust regulators fined Philips  Samsung Electronics  and Infineon Technologies a total of 138 million euros ($181.28 million) on Wednesday for fixing prices of chips used in mobile SIM cards.,normal
LAZ,Lazard Ltd,20140903,MOVES-Lazard  RBC Capital  Aviva Investors  Barclays Securities Japan ,(Adds Lazard  RBC Capital  Willis North America  Goldbridge),topStory
LMT,Lockheed Martin Corporation,20140903,Pentagon says nearing fix for F-35 engine  Pratt to pay ,WASHINGTON U.S. officials said on Wednesday they were nearing a fix for the engine that powers Lockheed Martin Corp's  F-35 fighter jet and the United Technologies Corp  unit that makes the engine has agreed to pay to retrofit 156 already delivered.,topStory
LMT,Lockheed Martin Corporation,20140903,UPDATE 2-Pentagon says nearing fix for F-35 engine  Pratt to pay ,(Recasts to add comments from Pentagon's F-35 program chief),normal
LMT,Lockheed Martin Corporation,20140903,Pentagon says cost to fix F-35 engine issue "relatively minor" ,WASHINGTON  Sept 3 Pentagon chief arms buyer Frank Kendall said the United States was close to a design fix for the Pratt & Whitney engine that powers Lockheed Martin Corp's F-35 fighter jet after a major engine failure in June  and the cost would be "relatively minor.",normal
MMP,Magellan Midstream Partners LP,20140903,Magellan expects strong returns on BridgeTex pipeline ,NEW YORK (This story filed on Sept. 2 item  corrects headline  commitment level in first paragraph  replaces last paragraph on open seasons to promote shipper with new second paragraph),topStory
MGA,Magna International Inc,20140903,Magna constructing new seat assembly plant in Tennessee ,TORONTO Magna International Inc  one of the world's largest auto parts suppliers  said on Wednesday it has begun building a manufacturing plant in Spring Hill  Tennessee that will supply a General Motors Co assembly plant.,topStory
MGA,Magna International Inc,20140903,Magna constructing new seat assembly plant in Tennessee ,TORONTO  Sept 3 Magna International Inc  one of the world's largest auto parts suppliers  said on Wednesday it has begun building a manufacturing plant in Spring Hill  Tennessee that will supply a General Motors Co  assembly plant.,normal
MFC,Manulife Financial Corp,20140903,Manulife to buy Standard Life's Canadian assets for $3.7 billion ,TORONTO Manulife Financial Corp  said on Wednesday it has agreed to acquire the Canadian operations of Standard Life Plc  for about C$4 billion ($3.7 billion) in cash  in a deal that significantly expands the insurer's presence in Quebec.,topStory
MFC,Manulife Financial Corp,20140903,UPDATE 2-Manulife to buy Standard Life's Canadian assets for $3.7 bln ,(Adds comments from Standard Life CEO  analyst  further details),normal
MFC,Manulife Financial Corp,20140903,Manulife to buy Standard Life's Canadian assets for $3.7 bln ,TORONTO  Sept 3 Manulife Financial Corp  said on Wednesday it has agreed to acquire the Canadian operations of Standard Life Plc for about C$4 billion ($3.7 billion) in cash  in a bid to expand its insurance and asset management portfolio across Canada and especially within the province of Quebec.,normal
MS,Morgan Stanley,20140903,Morgan Stanley hires three brokers who managed nearly $1.3 billion ,NEW YORK The largest U.S. securities brokerage by sales force  Morgan Stanley  said Wednesday it hired three financial advisers who collectively managed $1.275 billion in client assets away from rival brokerages just before the Labor Day holiday weekend.,topStory
MS,Morgan Stanley,20140903,ON THE MOVE-Morgan Stanley hires three brokers who managed nearly $1.3 bln ,NEW YORK  Sept 3 The largest U.S. securities brokerage by sales force  Morgan Stanley  said Wednesday it hired three financial advisers who collectively managed $1.275 billion in client assets away from rival brokerages just before the Labor Day holiday weekend.,normal
NAV,Navistar International Corporation,20140903,Navistar CEO says company's big divestitures behind it ,Navistar International Corp   the U.S. commercial truck maker that was forced to sell a number of businesses in recent years  has wrapped up the biggest divestitures related to that turnaround  its top executive said on Wednesday.,topStory
NAV,Navistar International Corporation,20140903,Navistar narrows losses  hits milestone  raises view ,Navistar International Corp  on Wednesday reported a smaller-than-expected quarterly loss as commercial vehicle demand rebounded in North America and warranty costs related to its roll-out of a failed emissions-reduction system continued to fall.,normal
NAV,Navistar International Corporation,20140903,UPDATE 3-Navistar narrows losses  hits milestone  raises view ,Sept 3 Navistar International Corp on Wednesday reported a smaller-than-expected quarterly loss as commercial vehicle demand rebounded in North America and warranty costs related to its roll-out of a failed emissions-reduction system continued to fall.,normal
NAV,Navistar International Corporation,20140903,Navistar posts smaller-than-expected quarterly loss ,Sept 3 Navistar International Corp  posted a smaller-than-expected loss on Wednesday  lifted by a rebound in commercial vehicle demand in North America as well as declining warranty costs related to its big bet on a failed proprietary engine technology.,normal
NEM,Newmont Mining Corporation,20140903,METALS-Nickel surges on Philippine ban proposal  options expiry ,* Tin falls to lowest level since January   (Updates with closing prices),topStory
NBL,Noble Energy Inc,20140903,Partners in Israel's Leviathan to negotiate sale of gas to Jordan ,TEL AVIV  Sept 3 Texas-based Noble Energy  signed a letter of intent to negotiate the supply of 45 billion cubic meters of natural gas to Jordan over 15 years  a partner in Israel's giant Leviathan field said on Wednesday.,topStory
NOC,Northrop Grumman Corporation,20140903,Russia  China aim to close military technology gap with U.S. -Hagel ,NEWPORT  Rhode Island  Sept 3 Russia and China are trying to close the technology gap with the U.S. military and developing weapons systems that appear designed to counter traditional U.S. advantages  Defense Secretary Chuck Hagel said on Wednesday.,normal
ORCL,Oracle Corporation,20140903,UPDATE 2-Concur Technologies considers sale of company -Bloomberg ,Sept 2 Travel management and expense software maker Concur Technologies Inc is exploring a sale of the company and has approached Oracle Corp and Germany's SAP SE  Bloomberg reported  citing people with knowledge of the matter.,topStory
ORCL,Oracle Corporation,20140903,Deals of the day- Mergers and acquisitions ,(Adds Family Dollar Stores  Ryanair  Dassault Aviation  Citigroup  BP  Mutuelle Generale),normal
ORCL,Oracle Corporation,20140903,BUZZ-U.S. Stocks on the Move-Apple  Mobileye  Local Corp  Marrone ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning Call newsletter  http://link.reuters.com/nex49s),normal
ORCL,Oracle Corporation,20140903,US STOCKS-Wall St to open higher on Ukraine  Russia truce hopes ,* Futures up: Dow 67 pts  S&P 6.5 pts  Nasdaq 12.25 pts   (Updates prices  adds Russian indexes),normal
ORCL,Oracle Corporation,20140903,US STOCKS-Futures higher on Ukraine  Russia optimism ,NEW YORK  Sept 3 U.S. stock index futures rose on Wednesday  on hopes a resolution would be reached between Ukraine and Russia and ahead of the latest batch of data which could provide insight on the health of the economy.,normal
ORCL,Oracle Corporation,20140903,UPDATE 1-Market Chatter-Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
ORCL,Oracle Corporation,20140903,Market Chatter- Corporate finance press digest ,Sept 3 The following corporate finance-related stories were reported by media:,normal
ORAN,Orange,20140903,UPDATE 1-Orange interested in potential Jazztel  Yoigo purchases ,MADRID  Sept 3 French telecoms group Orange  would be interested in bidding for Spanish players Jazztel or TeliaSonera's  Yoigo if the companies were put on sale  a senior executive said on Wednesday.,topStory
PTR,PetroChina Company Limited,20140903,China oil giants to open spending taps as graft probe may have peaked ,HONG KONG Flagship Chinese oil producers are preparing to ramp up multi-billion dollar capital spending plans squeezed amid a Beijing probe into industry graft  offering a lift for oil services firms that suffered from belt-tightening in the first half.,topStory
PFE,Pfizer Inc,20140903,Zoetis granted conditional license by USDA for PEDv vaccine ,CHICAGO Zoetis Inc has received a conditional license from the U.S. Department of Agriculture for its vaccine against a deadly piglet virus and will begin selling it this month in the United States  the company said on Wednesday.,topStory
PSX,Phillips 66,20140903,UPDATE 1-Phillips 66 to add railcars to move more crude to coast refineries ,(Updates to add shipments will include Canadian crude  comment on proposed California rail project),topStory
PSX,Phillips 66,20140903,Phillips 66 says adding railcars to move crude to coastal refineries ,HOUSTON  Sept 3 Phillips 66 is buying more railcars to eventually move up to 185 000 barrels per day (bpd) of North Dakota Bakken crude oil to its refineries on the East and West coasts  Chief Executive Officer Greg Garland told analysts on Wednesday.,normal
PXD,Pioneer Natural Resources Company,20140903,UPDATE 1-Pioneer sees benefit from improved condensate sales pricing ,(Adds details  background on license approval  shale boom),topStory
PXD,Pioneer Natural Resources Company,20140903,Pioneer in talks to sell condensate overseas ,NEW YORK  Sept 3 Pioneer Natural Resources   benefited from improved pricing as a result of its ability to sell an ultra-light oil called condensate outside of the United States.,normal
RIO,Rio Tinto Plc,20140903,Iron ore giants eating little guys now  but cannibalism looms: Russell ,LAUNCESTON  Australia There was maybe more than a touch of hubris in Rio Tinto boss Sam Walsh's recent comment that it's time for other iron ore producers to "really feel the consequences" of the current low price.,topStory
RIO,Rio Tinto Plc,20140903,COLUMN-Iron ore giants eating little guys now  but cannibalism looms: Russell ,--Clyde Russell is a Reuters columnist. The views expressed are his own.--,normal
SNY,Sanofi,20140903,New Issue- Sanofi prices multi tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 62.1bp,topStory
SNY,Sanofi,20140903,BRIEF-Sanofi Pasteur Gardasil variation approved by European Committee for Human Medicines ,* Says European Committee for Human Medicines has approved variation of Sanofi Pasteur's Gardasil stating its long-term protection data,normal
SNY,Sanofi,20140903,Final trial confirms efficacy of Sanofi's dengue vaccine ,PARIS French drugmaker Sanofi  developing the first vaccine against dengue fever  said its product reduced disease cases by 60.8 percent in a large final clinical trial.,normal
SNY,Sanofi,20140903,Final trial confirms efficacy of Sanofi's dengue vaccine ,PARIS  Sept 3 French drugmaker Sanofi  developing the first vaccine against dengue fever  said its product reduced disease cases by 60.8 percent in a large final clinical trial.,normal
SAP,SAP SE,20140903,UPDATE 2-Concur Technologies considers sale of company -Bloomberg ,Sept 2 Travel management and expense software maker Concur Technologies Inc is exploring a sale of the company and has approached Oracle Corp and Germany's SAP SE  Bloomberg reported  citing people with knowledge of the matter.,topStory
STO,Statoil ASA,20140903,BP buys Scandinavian jet fuel business ,LONDON Oil and gas producer BP  will buy Scandinavian aviation fuel business Statoil Fuel & Retail (SFR)  adding 73 airports to its around 600-strong global fuel network  the company said on Wednesday.,topStory
STO,Statoil ASA,20140903,BP buys Scandinavian jet fuel business ,LONDON  Sept 3 Oil and gas producer BP  will buy Scandinavian aviation fuel business Statoil Fuel & Retail (SFR)  adding 73 airports to its around 600-strong global fuel network  the company said on Wednesday.,normal
SU,Suncor Energy  Inc,20140903,Suncor sells Alberta conventional oil properties for C$168.5 million ,CALGARY Alberta Suncor Energy Inc   Canada's largest oil sands producer  said on Wednesday it has agreed to sell some oil and gas properties in Alberta to Tamarack Valley Energy Ltd  for C$168.5 million ($154.8 million) as it continues to winnow its inventory of conventional oil and gas properties.,topStory
SU,Suncor Energy  Inc,20140903,Suncor sells Alberta conventional oil properties for C$168.5 mln ,CALGARY  Alberta  Sept 3 Suncor Energy Inc   Canada's largest oil sands producer  said on Wednesday it has agreed to sell some oil and gas properties in Alberta to Tamarack Valley Energy Ltd for C$168.5 million ($154.8 million) as it continues to winnow its inventory of conventional oil and gas properties.,normal
TI,Telecom Italia SPA,20140903,Brazil may jointly analyze Telefonica's GVT deal  Telecom Italia exit ,BRASILIA  Sept 3 Brazil's antitrust watchdog Cade could analyze Telefonica SA's plan to purchase smaller rival GVT SA jointly with a proposal to exit Telecom Italia SpA  depending on how the deals are presented to regulators  the agency's president said on Wednesday.,topStory
TEF,Telefonica SA,20140903,Brazil may jointly analyze Telefonica's GVT deal  Telecom Italia exit ,BRASILIA  Sept 3 Brazil's antitrust watchdog Cade could analyze Telefonica SA's plan to purchase smaller rival GVT SA jointly with a proposal to exit Telecom Italia SpA  depending on how the deals are presented to regulators  the agency's president said on Wednesday.,topStory
