ADBE,Adobe Systems Incorporated,20140523,UPDATE 1-Apple  Google  Intel  Adobe to pay $325 mln to settle hiring lawsuit ,(Adds comment from plaintiffs' lawyer  details about plaintiffs),topStory
KO,Coca-Cola Company (The),20140523,Exclusive: Goldman's Cohn takes on Washington to defend commodities ,NEW YORK Sen. Sherrod Brown  a Democrat from Ohio  and Goldman Sachs Group Inc. President Gary Cohn  who's from Cleveland  are friendly enough that Brown has been known to rib Cohn for abandoning the Cleveland Indians baseball team in favor of the New York Yankees. The two men first met years ago  and Cohn and his family  who are also Democrats  have contributed to Brown's campaigns.,normal
KO,Coca-Cola Company (The),20140523,Coca-Cola to launch 'glacéau smartwater' in Britain ,Coca Cola  is expected to launch a new product - "glacéau smartwater" - in Britain  aimed at the country's 1.4 billion pound ($2.4 billion) bottled water market  a decade after its Dasani brand failed in the region  The Times reported on Friday.,normal
KO,Coca-Cola Company (The),20140523,Coca-Cola to launch 'glacéau smartwater' in Britain ,May 23 Coca Cola is expected to launch a new product - "glacéau smartwater" - in Britain  aimed at the country's 1.4 billion pound ($2.4 billion) bottled water market  a decade after its Dasani brand failed in the region  The Times reported on Friday.,normal
DB,Deutsche Bank AG,20140523,UPDATE 2-Deutsche Bank won't fund Australia coal port expansion near reef ,* Anti-coal groups target Deutsche Bank  HSBC  Societe Generale,topStory
DB,Deutsche Bank AG,20140523,Deutsche Bank won't fund Australia coal port expansion near reef ,MELBOURNE  May 23 Germany's largest bank  Deutsche Bank AG  has declared it will not finance a controversial coal port expansion in Australia near the Great Barrier Reef  responding to calls from green groups and tourism operators.,normal
E,ENI SpA,20140523,UPDATE 2-Italy's Eni wins 1st non oil-indexed gas deal from Russia ,* Analysts: To add 560 mln euros to Eni's operating profit,topStory
XOM,Exxon Mobil Corporation,20140523,Rosneft's CEO dismisses report of Exxon leaving Russian venture ,ST PETERSBURG  Russia Igor Sechin  the head of Russia's top oil producer Rosneft  on Friday dismissed a report that U.S. major ExxonMobil might leave the Sakhalin-1 oil and gas project.,topStory
XOM,Exxon Mobil Corporation,20140523,UPDATE 1-Rosneft's CEO dismisses report of Exxon leaving Russian venture ,ST PETERSBURG  Russia  May 23 Igor Sechin  the head of Russia's top oil producer Rosneft  on Friday dismissed a report that U.S. major ExxonMobil might leave the Sakhalin-1 oil and gas project.,normal
XOM,Exxon Mobil Corporation,20140523,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  May 23 2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,normal
XOM,Exxon Mobil Corporation,20140523,Rosneft's CEO dismisses report of Exxon leaving Russian JV as "'rumours' ,ST PETERSBURG  Russia  May 23 Igor Sechin  the head of Russia's top oil producer Rosneft said on Friday that a report of possible exit of the U.S. major ExxonMobil are just rumours.,normal
XOM,Exxon Mobil Corporation,20140523,Russian Energy Minister says ExxonMobil  Shell committed to Russia ,ST PETERSBURG  Russia  May 23 Russian Energy Minister Alexander Novak said on Friday that oil majors Royal Dutch Shell and Exxon Mobil have confirmed their commitment to Russia and are eager to continue their work there.,normal
FE,FirstEnergy Corporation,20140523,FirstEnergy Beaver 2 reactor back online after refueling outage ,May 23 FirstEnergy Corp's 904-megawatt Unit 2 at the Beaver Valley nuclear power plant in Pennsylvania returned to service on Friday after the startup was interrupted on Tuesday because of a problem with a steam generator while it was preparing to exit a refueling outage.,topStory
FL,Foot Locker Inc,20140523,US STOCKS-Wall St to open flat ahead of new home sales data ,* PTC shares soar on EU backing for muscular dystrophy drug,topStory
F,Ford Motor Company,20140523,REFILE-Ford's upscale push in Europe draws sceptics ,COLOGNE  Germany  May 23 Ford wants to steal customers from premium carmakers with higher-end versions of its mass-market models as it tries to end years of losses in Europe.,topStory
F,Ford Motor Company,20140523,Ford's upscale push in Europe draws skeptics ,COLOGNE  Germany Ford  wants to steal customers from premium carmakers with higher-end versions of its mass-market models as it tries to end years of losses in Europe.,normal
GEK,General Electric Capital Corporation,20140523,UPDATE 1-Areva keen on Alstom's wind contracts  not its technology -source ,* But source close to EDF says gearbox turbines too fragile   (Updates with comment from source close to EDF),topStory
GEK,General Electric Capital Corporation,20140523,Areva keen on Alstom's wind contracts  not its technology-source ,PARIS  May 23 France's nuclear group Areva  would be interested in  Alstom's offshore wind turbine contracts but would use its own turbine technology rather than the engineering group's  a source with direct knowledge of the situation told Reuters.,normal
GE,General Electric Company,20140523,UPDATE 1-Areva keen on Alstom's wind contracts  not its technology -source ,* But source close to EDF says gearbox turbines too fragile   (Updates with comment from source close to EDF),topStory
GE,General Electric Company,20140523,Areva keen on Alstom's wind contracts  not its technology-source ,PARIS  May 23 France's nuclear group Areva  would be interested in  Alstom's offshore wind turbine contracts but would use its own turbine technology rather than the engineering group's  a source with direct knowledge of the situation told Reuters.,normal
GM,General Motors Company,20140523,GM recalling 500 large trucks  SUVs because air bags may not work ,DETROIT General Motors Co said Friday it is recalling 500 large trucks and SUVs because air bags may not deploy.,topStory
GM,General Motors Company,20140523,GM recalling 500 large trucks  SUVs because air bags may not work ,DETROIT  May 23 General Motors Co said Friday it is recalling 500 large trucks and SUVs because air bags may not deploy.,normal
GM,General Motors Company,20140523,GM sales appear resilient amid recalls  dealers optimistic ,CHICAGO In the midst of an historic run of recalls  including over one defect linked to at least 13 deaths  General Motors Co sales are showing resilience.,normal
GM,General Motors Company,20140523,GM sales appear resilient amid recalls  dealers optimistic ,CHICAGO  May 23 In the midst of an historic run of recalls  including over one defect linked to at least 13 deaths  General Motors Co sales are showing resilience.,normal
GM,General Motors Company,20140523,Suzuki recalls 184 244 GM-built cars in U.S. for fire risk ,DETROIT Suzuki Motor Corp  is recalling 184 244 cars in the United States that were built by General Motors Co  because of a potential fire risk  according to documents filed with U.S. safety regulators.,normal
GM,General Motors Company,20140523,Suzuki recalls 184 244 GM-built cars in U.S. for fire risk ,DETROIT  May 23 Suzuki Motor Corp is recalling 184 244 cars in the United States that were built by General Motors Co because of a potential fire risk  according to documents filed with U.S. safety regulators.,normal
GSK,GlaxoSmithKline PLC,20140523,CORRECTED-BRIEF-GSK makes regulatory submission for Umeclidinium Monotherapy in Japan ,(Corrects headline to say GSK has only made a regulatory submission  not won approval  for Umeclidinium Monotherapy in Japan),topStory
GS,Goldman Sachs Group Inc (The),20140523,Exclusive: Goldman's Cohn takes on Washington to defend commodities ,NEW YORK Sen. Sherrod Brown  a Democrat from Ohio  and Goldman Sachs Group Inc. President Gary Cohn  who's from Cleveland  are friendly enough that Brown has been known to rib Cohn for abandoning the Cleveland Indians baseball team in favor of the New York Yankees. The two men first met years ago  and Cohn and his family  who are also Democrats  have contributed to Brown's campaigns.,topStory
HMC,Honda Motor Company Ltd,20140523,Thai unrest spurs Honda unit to cut output and delay new plant ,BANGKOK The Thai unit of Honda Motor Co  has cut production at its Ayutthaya plant to 60 percent of capacity to reflect weak domestic demand  voicing concerns sales may fall short of its target this year after months of political unrest.,topStory
HMC,Honda Motor Company Ltd,20140523,Unrest spurs Honda's Thai unit to cut output  delay new plant ,(Corrects alert on May 22 story to show Thai sales target is 160 000 vehicles not 120 000; no change to text of story),normal
HPQ,HP Inc,20140523,US STOCKS-S&P 500 ends at record on housing  HP; transports fly ,* CBOE Volatility Index  or VIX  at lowest level since March 2013,topStory
HPQ,HP Inc,20140523,US STOCKS SNAPSHOT-S&P 500 ends at record high; housing  HP help ,NEW YORK  May 23 The S&P 500 closed at a record on Friday  boosted by a better-than-expected reading on the housing market  which gave a lift to homebuilding stocks. Hewlett-Packard's stock  which was the S&P 500's best performer  rallied a day after the personal computer maker reported results and said it may cut up to 16 000 jobs.,normal
HPQ,HP Inc,20140523,US STOCKS-S&P 500 on path to new closing high; homebuilders lead ,* Dow up 0.4 pct; S&P 500 up 0.4 pct; Nasdaq up 0.6 pct   (Updates to mid-afternoon),normal
HPQ,HP Inc,20140523,US STOCKS-Wall St rises modestly on home sales lift ,* PTC shares soar on EU backing for muscular dystrophy drug,normal
HPQ,HP Inc,20140523,HP shares rise on raised job cut target  cash flow outlook ,May 23 Hewlett-Packard Co's shares rose as much as 7 percent on Friday  a day after the personal computer maker said it would cut as many as 16 000 more jobs and forecast strong free cash flow for the year.,normal
HPQ,HP Inc,20140523,US STOCKS-Wall St rises modestly after new home sales data ,* PTC shares soar on EU backing for muscular dystrophy drug,normal
HPQ,HP Inc,20140523,US STOCKS-Wall St to open flat ahead of new home sales data ,* PTC shares soar on EU backing for muscular dystrophy drug,normal
HPQ,HP Inc,20140523,US STOCKS-Futures edge higher; new home sales data on tap ,NEW YORK  May 23 U.S. stock index futures inched higher on Friday  ahead of data on the housing market  with the S&P 500 on track to score its first weekly gain in the past three.,normal
HPQ,HP Inc,20140523,UPDATE 4-HP may cut up to 16 000 more jobs as results disappoint ,SAN FRANCISCO  May 22 Hewlett-Packard Co  plans to cut as many as 16 000 more jobs in a major ramp-up of CEO Meg Whitman's years-long effort to turn around the personal computer maker and relieve pressure on its profit margins.,normal
HSBC,HSBC Holdings plc,20140523,HSBC comes under investor fire on bankers' pay ,LONDON More than a fifth of HSBC's shareholders opposed the bank's pay policy on Friday in the latest show of anger that banks have not reined in bonuses enough in the wake of the financial crisis.,topStory
HSBC,HSBC Holdings plc,20140523,UPDATE 3-HSBC comes under investor fire on bankers' pay ,* Pay chief says HSBC pays less than rivals  must protect business,normal
HSBC,HSBC Holdings plc,20140523,HSBC's CEO rules out major changes to investment bank ,LONDON HSBC's Chief Executive Stuart Gulliver told shareholders on Friday that Europe's biggest bank had no plans to follow rivals by dramatically reshaping its investment bank.,normal
HSEA,HSBC Holdings plc,20140523,HSBC comes under investor fire on bankers' pay ,LONDON More than a fifth of HSBC's shareholders opposed the bank's pay policy on Friday in the latest show of anger that banks have not reined in bonuses enough in the wake of the financial crisis.,topStory
HSEA,HSBC Holdings plc,20140523,UPDATE 3-HSBC comes under investor fire on bankers' pay ,* Pay chief says HSBC pays less than rivals  must protect business,normal
HSEA,HSBC Holdings plc,20140523,HSBC's CEO rules out major changes to investment bank ,LONDON HSBC's Chief Executive Stuart Gulliver told shareholders on Friday that Europe's biggest bank had no plans to follow rivals by dramatically reshaping its investment bank.,normal
HSEB,HSBC Holdings plc,20140523,HSBC comes under investor fire on bankers' pay ,LONDON More than a fifth of HSBC's shareholders opposed the bank's pay policy on Friday in the latest show of anger that banks have not reined in bonuses enough in the wake of the financial crisis.,topStory
HSEB,HSBC Holdings plc,20140523,UPDATE 3-HSBC comes under investor fire on bankers' pay ,* Pay chief says HSBC pays less than rivals  must protect business,normal
HSEB,HSBC Holdings plc,20140523,HSBC's CEO rules out major changes to investment bank ,LONDON HSBC's Chief Executive Stuart Gulliver told shareholders on Friday that Europe's biggest bank had no plans to follow rivals by dramatically reshaping its investment bank.,normal
JPM,J P Morgan Chase & Co,20140523,MOVES-Standard Life  Citibank Japan  Brooks Macdonald Funds ,May 23 The following financial services industry appointments were announced on Friday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
JBL,Jabil Inc,20140523,Fitch Affirms Jabil Circuit's IDR at 'BBB-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  May 23 (Fitch) Fitch Ratings has affirmed the ratings for Jabil  Circuit  Inc. (Jabil)  including the long-term Issuer Default Rating (IDR) of  'BBB-'. The Rating Outlook is Stable. A full list of ratings follows at the end  of this press release. The rating actions affect approximately $3 billion of debt  including the  company's $1.3 billion revolving credit facility (RCF).  The ratings and Stable Outlook reflect Fitch's expe,topStory
KND,Kindred Healthcare Inc,20140523,Gentiva adopts poison pill to counter Kindred's hostile bid ,Gentiva Health Services Inc  said it adopted a poison pill  more than a week after the home healthcare services provider rejected a $533-million hostile bid from hospital operator Kindred Healthcare Inc .,topStory
KND,Kindred Healthcare Inc,20140523,Gentiva adopts poison pill to counter Kindred's hostile bid ,May 23 Gentiva Health Services Inc said it adopted a poison pill  more than a week after the home healthcare services provider rejected a $533-million hostile bid from hospital operator Kindred Healthcare Inc.,normal
KKR,KKR & Co LP,20140523,KKR urges Japan's pension fund to invest in private equity as reforms loom ,TOKYO  May 23 KKR & Co is calling on Japan's public pension fund  the world's largest  to start investing in private equity funds to boost returns and encourage other institutional investors to seek higher-yielding alternative investments.,topStory
LMT,Lockheed Martin Corporation,20140523,Cost of Kongsberg's JSM missile rises by 37 pct ,OSLO  May 23 The overall cost of Kongsberg Gruppen's Joint Strike Missile  designed for use in Lockheed Martin's F35 fighter jet  will rise to 8.2 billion Norwegian crowns ($1.38 billion) from a previous estimate of 6 billion  the Norwegian government said.,topStory
LMT,Lockheed Martin Corporation,20140523,Cost of Kongsberg's JSM missile rises by 37 pct ,OSLO  May 23 The overall cost of Kongsberg Gruppen's Joint Strike Missile  designed for use in Lockheed Martin's F35 fighter jet  will rise to 8.2 billion Norwegian crowns ($1.38 billion) from a previous estimate of 6 billion  the Norwegian government said.,normal
LMT,Lockheed Martin Corporation,20140523,U.S. Senate panel backs plan for alternative to Russian rocket engine ,COLORADO SPRINGS  Colo. The U.S. Senate Armed Services Committee on Thursday approved a plan that would add $100 million to the U.S. military budget to start work on a new U.S. rocket engine and eliminate reliance on a Russian-made engine used to lift big government satellites into orbit.,normal
LMT,Lockheed Martin Corporation,20140523,U.S. Senate panel backs plan for alternative to Russian rocket engine ,COLORADO SPRINGS  Colo.  May 22 The U.S. Senate Armed Services Committee on Thursday approved a plan that would add $100 million to the U.S. military budget to start work on a new U.S. rocket engine and eliminate reliance on a Russian-made engine used to lift big government satellites into orbit.,normal
MA,Mastercard Incorporated,20140523,Visa  Mastercard vow to stay as Russia softens tone on rules ,ST PETERSBURG/MOSCOW The world's two largest credit and debit card companies Visa Inc  and Mastercard Inc  pledged on Friday to stay in Russia after officials showed a willingness to relax laws that hinder their operations in the country.,topStory
MA,Mastercard Incorporated,20140523,UPDATE 2-Visa  Mastercard vow to stay as Russia softens tone on rules ,* VISA  Mastercard could co-exist with national payment system   (Adds detail  analyst reaction),normal
MA,Mastercard Incorporated,20140523,Visa and Mastercard say they will remain in Russia ,ST PETERSBURG  Russia  May 23 Credit and debit card companies Visa and Mastercard said on Friday they intend to remain in Russia  despite a new laws that could complicate their operations in the country.,normal
MLI,Mueller Industries Inc,20140523,World Cup goal record drives Germany veteran Klose ,The title of World Cup all-time top scorer is driving Germany forward Miroslav Klose to get fit for the tournament in Brazil next month after an injury-plagued season  the 35-year-old said on Friday.,topStory
P,Pandora Media Inc,20140523,NORDIC STOCKS-Factors to watch on May 23 ,(Adds Stockmann and Outokumpu  updates Golden Ocean and Pandora),topStory
P,Pandora Media Inc,20140523,Axcel fund and founding family sell $944 mln of Pandora shares ,LONDON  May 23 Nordic fund Axcel has sold 5.161 million Danish crowns ($944.31 million) of existing shares in Danish jewellery company Pandora alongside Pewic Holdings and two members of the founding Enevoldsen family.,normal
P,Pandora Media Inc,20140523,NORDIC STOCKS-Factors to watch on May 23 ,OSLO/COPENHAGEN  May 23 The following stocks may be affected by newspaper reports and other factors on Friday:,normal
PE,Parsley Energy Inc,20140523,Parsley Energy shares rise about 22 percent in debut ,Parsley Energy Inc's  shares rose as much as 21.5 percent in their U.S. market debut  valuing the oil and natural gas producer at about $2.51 billion.,topStory
PE,Parsley Energy Inc,20140523,Parsley Energy shares rise about 22 pct in debut ,May 23 Parsley Energy Inc's shares rose as much as 21.5 percent in their U.S. market debut  valuing the oil and natural gas company at about $2.51 billion.,normal
PFE,Pfizer Inc,20140523,Britain's FTSE posts weekly loss; AstraZeneca bounces late ,* FTSE slips 0.1 pct  posts biggest weekly loss since April,topStory
PFE,Pfizer Inc,20140523,Pfizer psoriasis drug succeeds in late-stage trial ,Pfizer Inc said its experimental psoriasis drug was effective in treating the condition in a late-stage trial.,normal
PFE,Pfizer Inc,20140523,Pfizer psoriasis drug succeeds in late-stage trial ,May 23 Pfizer Inc said its experimental psoriasis drug was effective in treating the condition in a late-stage trial.,normal
PFE,Pfizer Inc,20140523,European Factors to Watch-Shares seen steady  focus on elections ,(Adds futures prices  company news)     LONDON  May 23 European shares are expected to open steady on Friday  with investors seen avoiding strong bets ahead of Ukrainian and European election results.     At 0625 GMT  futures for the Euro STOXX 50  Britain's FTSE 100   Germany's DAX and France's CAC were flat to 0.09 percent lower.     Investors will keep a close eye on Ukraine  where more than a dozen servicemen were reported killed on Thursday in a clash with pro-Russian separatist,normal
PFE,Pfizer Inc,20140523,UPDATE 1-UK Stocks-Factors to watch on May 23 ,LONDON  May 23 Britain's FTSE 100 index is seen opening flat on Friday  while the June FTSE futures contract slipped 0.1 percent by 0620 GMT  with uncertainty over European elections seen pegging back markets. For more on the factors affecting European stocks  please click on,normal
PFE,Pfizer Inc,20140523,UK Stocks-Factors to watch on May 23 ,LONDON  May 23 Britain's FTSE 100 index is seen opening flat on Friday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
SAP,SAP SE,20140523,CORRECTED-(OFFICIAL)-SAP says no plan to return to having two CEOs ,(Company corrects ages given for Snabe and McDermott in paragraph 2),topStory
SNE,Sony Corp Ord,20140523,Fitch: Sony Commits to Struggling  Non-Core TV Business ,(The following statement was released by the rating agency) SYDNEY  May 22 (Fitch) Fitch Ratings said that although Sony Corporation (Sony   BB-/Negative) is currently planning to retain full ownership of its struggling  TV business  the company has not ruled out bringing in an equity partner in the  future. Sony's TV business has made a loss for ten straight years. In its  corporate strategy presentation on 22 May 2014  Sony again excluded TVs from its  definition of core electronics businesses,topStory
SNE,Sony Corp Ord,20140523,Nikkei rallies to 1-month high on China  U.S. optimism ,* China factory data  U.S. housing data underpins Nikkei     * Yen's retreat adds support  but more declines may be needed to extend Nikkei's gains     * Real estate  banks and brokerages lead gains     * Sony falls after CEO fails to impress investors with restructuring plans      By Hideyuki Sano     TOKYO  May 23 Japan's Nikkei share average surged to a four-week high on Friday morning  thanks to upbeat economic data in Japan's two biggest trade partners  with the yen's retreat ro,normal
STO,Statoil ASA,20140523,REFILE-Norway's Statoil resumes partial production at Snorre B platform ,OSLO  May 23 Norway's Statoil said on Friday it had resumed some production at its Snorre B platform in the North Sea but it was as yet unclear when full production would resume.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20140523,BRIEF-TSMC orders machinery equipment worth T$1.29 billion ,May 23 Taiwan Semiconductor Manufacturing Co Ltd,topStory
TI,Telecom Italia SPA,20140523,Generali looks to quit Telecom Italia investment group in June ,MILAN Italian insurer Generali  is looking to leave the investment grouping through which it jointly controls Italy's biggest phone group Telecom Italia  as early as June  its chairman said on Friday.,topStory
TI,Telecom Italia SPA,20140523,UPDATE 1-Generali looks to quit Telecom Italia investment group in June ,MILAN  May 23 Italian insurer Generali  is looking to leave the investment grouping through which it jointly controls Italy's biggest phone group Telecom Italia  as early as June  its chairman said on Friday.,normal
BX,The Blackstone Group LP,20140523,Blackstone pays up but wins big on new SFR bond ,NEW YORK  May 23 (IFR) - The Blackstone Group is poised for a healthy 17% return on its new single-family rental (SFR) bond  even though it had to pay more than expected to get the nearly US$1bn deal over the line.,topStory
TM,Toyota Motor Corp Ltd Ord,20140523,Toyota recalls 50 220 SUVs for seat belt problem ,DETROIT Toyota Motor Corp  is recalling an estimated 50 220 Highlander sport utility vehicles globally  most in the United States  for a software problem that could result in the front passenger seat belt not working properly.,topStory
TM,Toyota Motor Corp Ltd Ord,20140523,CORRECTED-OFFICIAL-Toyota recalls 50 220 SUVs for seat belt problem ,(Company corrects that the defect could result in the seat belt not working properly  instead of air bag not working properly),normal
TM,Toyota Motor Corp Ltd Ord,20140523,Perry  Cruz battle to be star of Lone Star State's Republican Party ,AUSTIN  Texas Neither U.S. Senator Ted Cruz nor Governor Rick Perry are on the ballot in Tuesday's run-off elections in Texas  but that doesn't mean the two larger-than-life politicians who share a penchant for cowboy boots are not central figures in the contest.,normal
VRX,Valeant Pharmaceuticals International Inc,20140523,Valeant must up Allergan bid to $180-$200/share: JPMorgan survey ,When Valeant Pharmaceuticals International Inc  raises its offer for Allergan Inc  next week as it has indicated it will  it needs to hit the range of $180 to $200 per share  according to a JPMorgan survey of investors.,topStory
VRX,Valeant Pharmaceuticals International Inc,20140523,CORRECTED-Valeant must up Allergan bid to $180-$200/shr -JPMorgan survey ,(Corrects paragraph 4 to show that Allergan is meeting with investors but not seeking a deal  not that Allergan and Valeant are both meeting with investors to sway them to a deal),normal
V,Visa Inc,20140523,Visa  Mastercard vow to stay as Russia softens tone on rules ,ST PETERSBURG/MOSCOW The world's two largest credit and debit card companies Visa Inc  and Mastercard Inc  pledged on Friday to stay in Russia after officials showed a willingness to relax laws that hinder their operations in the country.,topStory
V,Visa Inc,20140523,UPDATE 2-Visa  Mastercard vow to stay as Russia softens tone on rules ,* VISA  Mastercard could co-exist with national payment system   (Adds detail  analyst reaction),normal
V,Visa Inc,20140523,Visa and Mastercard say they will remain in Russia ,ST PETERSBURG  Russia  May 23 Credit and debit card companies Visa and Mastercard said on Friday they intend to remain in Russia  despite a new laws that could complicate their operations in the country.,normal
DIS,Walt Disney Company (The),20140523,'Star Wars' spin-off to be directed by 'Godzilla' filmmaker ,LOS ANGELES With J.J. Abrams kicking off the first of three new "Star Wars" films  Disney announced on Thursday that "Godzilla" filmmaker Gareth Edwards will direct a separate spin-off installment of the franchise  scheduled for December 2016.,topStory
DIS,Walt Disney Company (The),20140523,'Star Wars' spin-off to be directed by 'Godzilla' filmmaker ,LOS ANGELES  May 22 With J.J. Abrams kicking off the first of three new "Star Wars" films  Disney announced on Thursday that "Godzilla" filmmaker Gareth Edwards will direct a separate spin-off installment of the franchise  scheduled for December 2016.,normal
SGA,Saga Communications Inc,20140523,RPT-Saga sets London share price listing at bottom of range ,LONDON  May 23 Saga  the UK insurance and holidays firm for the over-50s  has priced its London share listing at the bottom of its original range  the company said on Friday  valuing the company at 2.1 billion pounds ($3.5 billion).,topStory
