ACHC,Acadia Healthcare Company Inc,20120904,CORRECTED-Acadia buys residential treatment facility in Illinois for $90 mln ,(Corrects paragraph two to say Timberline had a revenue of about $33 mln  not earnings),topStory
BRS,Bristow Group Inc,20120904,Bristow Group invests $250 million in Canada's Cougar Helicopters ,Bristow Group Inc   which provides helicopter services to the offshore energy industry  said it will invest $250 million to buy a minority stake in privately held Cougar Helicopters  gaining access to a growing Canadian exploration and production market.,topStory
BRS,Bristow Group Inc,20120904,Bristow Group invests $250 mln in Canada's Cougar Helicopters ,Sept 4 Bristow Group Inc  which provides helicopter services to the offshore energy industry  said it will invest $250 million to buy a minority stake in privately held Cougar Helicopters  gaining access to a growing Canadian exploration and production market.,normal
CPB,Campbell Soup Company,20120904,Campbell Soup profit beats but margin questioned ,Campbell Soup Co  posted a bigger-than-expected quarterly profit on Tuesday  after retailers stocked up on the company's iconic red and white soup cans ahead of a price increase.,topStory
CPB,Campbell Soup Company,20120904,UPDATE 4-Campbell Soup profit beats but margin questioned ,Sept 4 Campbell Soup Co posted a bigger-than-expected quarterly profit on Tuesday  after retailers stocked up on the company's iconic red and white soup cans ahead of a price increase.,normal
CPB,Campbell Soup Company,20120904,BRIEF-Campbell Soup exec comments ,Sept 4 Campbell Soup Co :  * Exec sees FY 2013 capital expenditures of $330 million  * Exec sees foreign exchange having a neutral to slightly negative impact in FY,normal
CPB,Campbell Soup Company,20120904,BRIEF-Campbell Soup up in premarket after Q4 results ,NEW YORK  Sept 4 Campbell Soup Co :  * Up 4.7 percent to $36.80 in premarket after Q4 results,normal
CPB,Campbell Soup Company,20120904,Campbell Soup sales flat  helped by condensed soup demand ,Sept 4 Campbell Soup Co on Tuesday reported quarterly sales in line with analysts expectations as it saw some improvement in sales of its iconic red and white cans of condensed soup due to the timing of promotional spending.,normal
COF,Capital One Financial Corporation,20120904,Capital One's top shareholder ING to sell stake ,Capital One Financial Corp  said its top stakeholder ING Bank NV  intends to sell all of its stake in the company in a public offering.,topStory
COF,Capital One Financial Corporation,20120904,UPDATE 1-Capital One's top shareholder ING to sell stake ,Sept 4 Capital One Financial Corp said its top stakeholder ING Bank NV intends to sell all of its stake in the company in a public offering.,normal
COF,Capital One Financial Corporation,20120904,Capital One top shareholder to sell stake in public offering ,Sept 4 Capital One Financial Corp said its top stakeholder ING Bank N.V. intends to sell all of its about 54 million shares in the company in a public offering.,normal
CVE,Cenovus Energy Inc,20120904,Cenovus Energy starts production at Christina Lake 4th phase ,Sept 4 Cenovus Energy Inc said it started producing oil from the fourth phase of its Christina Lake oil sands project in Alberta about three months ahead of schedule.,topStory
CVX,Chevron Corporation,20120904,Thai Star Petroleum IPO delayed from Q3 -energy min ,BANGKOK  Sept 4 Star Petroleum Refining Co (SPRC)  a joint venture of Chevron Corp and Thailand's PTT Pcl  is to delay its IPO from the third quarter as it needs more time to work on the listing plan  a senior Energy Ministry official said on Tuesday.,topStory
SNP,China Petroleum & Chemical Corporation,20120904,Hong Kong shares to open down 0.1 pct  Sinopec slips ,HONG KONG  Sept 4 Hong Kong shares were poised for a weaker start on Tuesday  paring some of Monday's gains  led down by a 1.1 percent loss for China Petroleum and Chemical Corp (Sinopec).,topStory
CI,Cigna Corporation,20120904,TEXT-Fitch cuts Loyal American Life Insurance Co rating ,(The following statement was released by the rating agency)     Sept 4 - Fitch Ratings has downgraded the Insurer Financial Strength (IFS) ratings of Loyal American Life Insurance Company (Loyal) and Central Reserve Life Insurance Company (Central Reserve)  following their acquisition by Cigna  to 'A' from 'A+'. The Rating Outlooks are Stable.   Cigna's ratings are unaffected by today's rating action as Fitch views the  acquisitions' impact on Cigna's credit-quality as modest. The 'A' IFS rating,topStory
C,Citigroup Inc,20120904,BRIEF-Moody's takes action on $105 million Subprime RMBS issued by Citigroup ,Sept 5 Moody's Investors Service (Moody's) has upgraded the ratings on four tranches and confirmed the ratings on two tranches from two subprime RMBS transactions issued by Citigroup.,topStory
CEO,CNOOC Limited,20120904,Canada says it needs foreign capital to develop its oil ,TORONTO Canada does not have enough money to develop its oil resources and move oil to market  and therefore welcomes foreign capital  Natural Resources Minister Joe Oliver said on Tuesday.,topStory
CEO,CNOOC Limited,20120904,UPDATE 2-Canada says it needs foreign capital to develop its oil ,* Reciprocity to be considered in CNOOC bid for Nexen -minister,normal
COP,ConocoPhillips,20120904,India's ONGC says U.S. plans hit by Iran  Sudan exposure ,NEW DELHI India's Oil and Natural Gas Corp  is facing problems over possible investments in the United States because of its exposure to sanctions-hit Iran and Sudan  the state-run explorer's chairman  Sudhir Vasudev  said on Tuesday.,topStory
CNX,CONSOL Energy Inc,20120904,Consol to idle mines; other coal company shares fall ,Coal miner Consol Energy Inc  will temporarily idle one of its biggest mines due to weak global demand for steel-making coal  which has sent prices tumbling  the company said on Tuesday.,topStory
CNX,CONSOL Energy Inc,20120904,UPDATE 3-Consol to idle mines; other coal company shares fall ,Sept 4 Coal miner Consol Energy Inc will temporarily idle one of its biggest mines due to weak global demand for steel-making coal  which has sent prices tumbling  the company said on Tuesday.,normal
CNX,CONSOL Energy Inc,20120904,Consol Energy to idle Virginia mine due to weak demand ,Sept 4 Coal miner Consol Energy Inc said it will temporarily idle its Buchanan mine in southwestern Virginia in response to weak market conditions throughout its export markets in Asia  Europe  and South America.,normal
DB,Deutsche Bank AG,20120904,New Issue- Daimler AG prices 750 mln euro 2022 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 112.5bp,topStory
DB,Deutsche Bank AG,20120904,New Issue- Deutsche Pfandbriefbank prices 500 mln euro 2015 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 253.8bp,normal
DB,Deutsche Bank AG,20120904,Deutsche Bank cuts a third of jobs in Asia equity derivs-sources ,HONG KONG  Sept 4 Deutsche Bank fired around a third of the staff in its Asia equity derivatives business on Tuesday  as part of a global cost savings plan announced on July 31  according to sources familiar with the matter.,normal
DB,Deutsche Bank AG,20120904,Deutsche Bank says Germany should back banking union ,FRANKFURT  Sept 4 Deutsche Bank co-chief executive Juergen Fitschen said Germany should support the idea of a common banking union  brushing aside criticism that smaller banks should be exempted from oversight by a single European supervisory authority.,normal
DB,Deutsche Bank AG,20120904,Johnson makes last-ditch push for U.S. Ryder Cup spot ,NORTON  Massachusetts American Dustin Johnson may not have won the Deutsche Bank Championship on Monday but the long bomber put in an 11th hour bid for Ryder Cup selection by tying for fourth place at the TPC Boston.,normal
DB,Deutsche Bank AG,20120904,McIlroy wins Deutsche Bank title by one shot ,NORTON  Massachusetts World number one Rory McIlroy clinched his fifth PGA Tour title  and second in three starts  with a one-shot victory over South Africa's Louis Oosthuizen at the Deutsche Bank Championship on Monday.,normal
DTE,DTE Energy Company,20120904,DTE Energy  Enbridge and Spectra Energy sign deal for Ohio pipeline ,Sept 4 DTE Energy Co said it had signed a deal with Enbridge Inc and Spectra Energy Corp  to develop a new pipeline for transporting gas from the Utica shale in Ohio to the U.S. Midwest.,topStory
DTJ,DTE Energy Company,20120904,DTE Energy  Enbridge and Spectra Energy sign deal for Ohio pipeline ,Sept 4 DTE Energy Co said it had signed a deal with Enbridge Inc and Spectra Energy Corp  to develop a new pipeline for transporting gas from the Utica shale in Ohio to the U.S. Midwest.,topStory
DTQ,DTE Energy Company,20120904,DTE Energy  Enbridge and Spectra Energy sign deal for Ohio pipeline ,Sept 4 DTE Energy Co said it had signed a deal with Enbridge Inc and Spectra Energy Corp  to develop a new pipeline for transporting gas from the Utica shale in Ohio to the U.S. Midwest.,topStory
DTV,DTE Energy Company,20120904,DTE Energy  Enbridge and Spectra Energy sign deal for Ohio pipeline ,Sept 4 DTE Energy Co said it had signed a deal with Enbridge Inc and Spectra Energy Corp  to develop a new pipeline for transporting gas from the Utica shale in Ohio to the U.S. Midwest.,topStory
DTY,DTE Energy Company,20120904,DTE Energy  Enbridge and Spectra Energy sign deal for Ohio pipeline ,Sept 4 DTE Energy Co said it had signed a deal with Enbridge Inc and Spectra Energy Corp  to develop a new pipeline for transporting gas from the Utica shale in Ohio to the U.S. Midwest.,topStory
EEQ,Enbridge Energy Management LLC,20120904,Enbridge lifts force majeure on Garden Banks gas line post-Isaac ,NEW YORK  Sept 4 Enbridge Inc U.S. operating unit Garden Banks Pipeline LLC lifted its force majeure on Sunday after Tropical Storm Isaac forced it to evacuate personnel last week  the company said in an online filing.,topStory
ENB,Enbridge Inc,20120904,DTE Energy  Enbridge and Spectra Energy sign deal for Ohio pipeline ,Sept 4 DTE Energy Co said it had signed a deal with Enbridge Inc and Spectra Energy Corp  to develop a new pipeline for transporting gas from the Utica shale in Ohio to the U.S. Midwest.,topStory
FDX,FedEx Corporation,20120904,FedEx slashes forecast  citing weak global economy ,FedEx Corp   the world's second-largest package delivery company  cut its profit outlook for the current quarter  saying weakness in the global economy was hurting demand for overnight international shipments more than anticipated.,topStory
FDX,FedEx Corporation,20120904,UPDATE 2-FedEx slashes forecast  citing weak global economy ,Sept 4 FedEx Corp  the world's second-largest package delivery company  cut its profit outlook for the current quarter  saying weakness in the global economy was hurting demand for overnight international shipments more than anticipated.,normal
FDX,FedEx Corporation,20120904,FedEx slashes forecast  citing weak global economy ,Sept 4 FedEx Corp  the world's second-largest package delivery company  cut its fiscal first-quarter forecast on Tuesday  saying the global economy is weaker than previously expected and harming sales.,normal
FDX,FedEx Corporation,20120904,BRIEF-Fedex shares down after hours ,NEW YORK  Sept 4 FedEx Corp :  * Fedex Corp shares down 3.5 pct after hours; updates earnings,normal
FMC,FMC Corporation,20120904,TABLE-S.Africa new car sales up 9.4 pct y/y in August ,JOHANNESBURG  Sept 4 South Africa's total new vehicle sales increased by 9.4 percent year-on-year to 56 253 units in August  the National Association of Automobile Manufacturers said on Tuesday.        DETAILED SALES DATA              AUG '12   AUG '11   JULY '12   New passenger vehicles           40 345     36 192     37 844    Light commercial vehicles        13 637     12 906     13 802   Medium commercial vehicles          815        729        821   Heavy commercial vehicles    ,topStory
F,Ford Motor Company,20120904,UPDATE 2-Canadian auto sales rise in August; Ford stays No.1 ,* Analyst says dip will hurt union's demands in labor talks,topStory
F,Ford Motor Company,20120904,UPDATE 5-U.S. auto sales post best August in five years ,DETROIT  Sept 4 Automakers turned in their best August since before the 2007-09 recession  with U.S. monthly auto sales rising 20 percent from a year ago as consumers with aging vehicles showed more confidence in buying big-ticket items on easier credit terms.,normal
F,Ford Motor Company,20120904,TABLE-Top-20 selling vehicles in U.S. in August ,Sept 4 The following are the 20 top-selling vehicles in the U.S. in August 2012 as reported by the automakers and ranked by total units.          Top 20 selling vehicles in U.S. in August              RANK  VEHICLE                    AUGUST   LAST YR   % CHNG  1     Ford F-Series P/U          58 201    48 795    +19.3  2     Chevy Silverado-C/K P/U    38 295    36 832     +4.0  3     Toyota Camry               36 720    30 185    +21.6  4     Honda Accord               34 848    18 4,normal
F,Ford Motor Company,20120904,REFILE-TABLE-August U.S. light vehicle sales by major automakers ,Sept 4 The following are U.S. auto sales results for August reported on Tuesday by top-selling automakers.      U.S. Auto Sales For August 2012      AUTOMAKER            AUGUST     LAST YR   PCT CHNG  1   General Motors      240 520     218 479       10.1  2   Ford Motor          197 249     175 220       12.6  3   Toyota Motor        188 520     129 483       45.6  4   Chrysler            148 472     130 120       14.1  5   Honda Motor Co      131 321      82 321       59.5  6   Nis,normal
F,Ford Motor Company,20120904,CORRECTED-UPDATE 2-US Aug auto sales on track to beat estimates ,(Corrects second bullet point to show JP Morgan forecasting 14.5 mln sales rate  not 14.3 mln),normal
F,Ford Motor Company,20120904,BRIEF-Ford Motor says retail sales  not including fleet  strong in August ,DETROIT  Sept 4 Ford Motor Co :  * Says expects U.S. August industry auto sales to be in the mid- to high-14,normal
GM,General Motors Company,20120904,Auto sales post best August in five years ,DETROIT Automakers turned in their best August since before the 2007-09 recession  with U.S. monthly auto sales rising 20 percent from a year ago as consumers with aging vehicles showed more confidence in buying big-ticket items on easier credit terms. | Video ,topStory
GM,General Motors Company,20120904,UPDATE 5-U.S. auto sales post best August in five years ,DETROIT  Sept 4 Automakers turned in their best August since before the 2007-09 recession  with U.S. monthly auto sales rising 20 percent from a year ago as consumers with aging vehicles showed more confidence in buying big-ticket items on easier credit terms.,normal
GM,General Motors Company,20120904,GM turns to China to crack India's tough car market ,TALEGAON  India General Motors Co  began initial production of its first ever Chinese-designed car for the Indian market this week  a major step for the U.S. automaker as it tries to scale up in a market where foreign companies have struggled.,normal
GM,General Motors Company,20120904,GM turns to China to crack India's tough car market ,* GM India banks on first China-designed car to spur sales,normal
GM,General Motors Company,20120904,GM waters down Peugeot alliance plans-report ,FRANKFURT/PARIS  Sept 4 General Motors  has backed away from tentative plans to share its mid-sized car technology with PSA Peugeot Citroen  a German magazine reported on Tuesday  potentially weakening the rationale for a broad alliance being negotiated by the two automakers.,normal
GM,General Motors Company,20120904,REFILE-TABLE-August U.S. light vehicle sales by major automakers ,Sept 4 The following are U.S. auto sales results for August reported on Tuesday by top-selling automakers.      U.S. Auto Sales For August 2012      AUTOMAKER            AUGUST     LAST YR   PCT CHNG  1   General Motors      240 520     218 479       10.1  2   Ford Motor          197 249     175 220       12.6  3   Toyota Motor        188 520     129 483       45.6  4   Chrysler            148 472     130 120       14.1  5   Honda Motor Co      131 321      82 321       59.5  6   Nis,normal
GM,General Motors Company,20120904,Manufacturing another headache for U.S. economy ,NEW YORK Manufacturing in the United States shrank at its sharpest clip in more than three years last month  a survey showed on Tuesday  the latest sign that the slowing global economy is weighing on an already weak U.S. recovery.,normal
GM,General Motors Company,20120904,BRIEF-General Motors keeps 2012 U.S. auto sales forecast at 14 million to 14.5 million vehicles ,DETROIT  Sept 4 General Motors Co :  * Maintains full-year 2012 U.S. auto sales forecast at 14 million to 14.5,normal
GM,General Motors Company,20120904,CORRECTED-UPDATE 2-US Aug auto sales on track to beat estimates ,(Corrects second bullet point to show JP Morgan forecasting 14.5 mln sales rate  not 14.3 mln),normal
GSK,GlaxoSmithKline PLC,20120904,Novartis challenges GSK domination in lung drugs ,LONDON Swiss group Novartis has stepped up its challenge to GlaxoSmithKline's traditional domination of the lung drug market  stealing the limelight with clinical data at a top medical meeting.,topStory
GOL,Gol Linhas Aereas Inteligentes SA,20120904,TEXT-S&P cuts Gol Linhas Aereas Inteligentes to 'B' ,Overview      -- We project that cash flows at Brazilian airline Gol Linhas Aereas  Inteligentes S.A. (GOL) will remain weak in 2012 due to higher fuel and leasing costs  and that recovery in 2013 will come gradually  at an uncertain pace.      -- We are therefore lowering our long-term corporate credit rating on GOL  to 'B' from 'B+' and removing it from CreditWatch negative.      -- The stable outlook reflects our assumption that the company's efforts  to improve operations  mostly by reducing,topStory
GFI,Gold Fields Limited,20120904,S.Africa's Gold Fields closer to ending strike ,JOHANNESBURG  Sept 4 South African bullion miner Gold Fields said on Tuesday that trade union leadership intervention in a wildcat strike made a return to production more likely.,topStory
GS,Goldman Sachs Group Inc (The),20120904,CLSA Upgrades Goldman and Morgan Stanley to "buy" ,Sept 4 The brokerage firm CLSA upgraded Goldman Sachs Group Inc and Morgan Stanley to "buy" from "outperform" on Tuesday and raised share price targets for both banks  saying the stocks are trading near crisis lows despite signs that results will improve.,topStory
GHL,Greenhill & Co Inc,20120904,Greenhill appoints advisors for expansion in Germany ,Sept 4 Boutique financial advisory company Greenhill & Co Inc said that it has hired advisers Hartmut Ostrowski and Klaus Wubbenhorst to help it expand its German operations.,topStory
GWRE,Guidewire Software Inc,20120904,BRIEF-Guidewire Software shares rise after outlook ,NEW YORK  Sept 4 Guidewire Software Inc :  * Shares rise 13 percent in extended trade after outlook,topStory
GWRE,Guidewire Software Inc,20120904,Guidewire Software fourth-quarter results beats Wall Street  shares rise ,Guidewire Software Inc  which provides software to property and casualty insurers  posted better-than-expected fourth quarter results  as more insurers chose to replace their legacy software platform.,normal
HAL,Halliburton Company,20120904,Halliburton sees drop in North American revenue in third quarter ,Halliburton Co   the largest oilfield services provider in the United States  said a decline in North American drilling would lower revenue in the region in the third quarter from the second quarter.,topStory
HAL,Halliburton Company,20120904,RPT-UPDATE 2-Halliburton sees drop in N.American revenue in 3rd qtr ,Sept 4 Halliburton Co  the largest oilfield services provider in the United States  said a decline in North American drilling would lower revenue in the region in the third quarter from the second quarter.,normal
HAL,Halliburton Company,20120904,UPDATE 2-Halliburton sees drop in N.American revenue in 3rd qtr ,Sept 4 Halliburton Co  the largest oilfield services provider in the United States  said a decline in North American drilling would lower revenue in the region in the third quarter from the second quarter.,normal
HAL,Halliburton Company,20120904,Halliburton sees drop in N.American revenue in 3rd quarter ,Sept 4 Halliburton Co  the largest provider of oilfield services in the United States  said a decline in activity in its home market meant North American revenue would decline in the third quarter from the second quarter.,normal
HAL,Halliburton Company,20120904,BRIEF-Halliburton CFO sees revenue drop in Q3 vs Q2 ,Sept 4 Halliburton Co :  * CFO says expects significant moderation in guar pricing going into 2013  * CFO says expects quarter on quarter mid-single-digit pctg decline in revenue,normal
HGH,Hartford Financial Services Group Inc (The),20120904,TEXT-Fitch comments on Hartford Financial Services Group ,(The following statement was released by the rating agency),topStory
HIG,Hartford Financial Services Group Inc (The),20120904,TEXT-Fitch comments on Hartford Financial Services Group ,(The following statement was released by the rating agency),topStory
HMC,Honda Motor Company Ltd,20120904,UPDATE 5-U.S. auto sales post best August in five years ,DETROIT  Sept 4 Automakers turned in their best August since before the 2007-09 recession  with U.S. monthly auto sales rising 20 percent from a year ago as consumers with aging vehicles showed more confidence in buying big-ticket items on easier credit terms.,topStory
HMC,Honda Motor Company Ltd,20120904,TABLE-Top-20 selling vehicles in U.S. in August ,Sept 4 The following are the 20 top-selling vehicles in the U.S. in August 2012 as reported by the automakers and ranked by total units.          Top 20 selling vehicles in U.S. in August              RANK  VEHICLE                    AUGUST   LAST YR   % CHNG  1     Ford F-Series P/U          58 201    48 795    +19.3  2     Chevy Silverado-C/K P/U    38 295    36 832     +4.0  3     Toyota Camry               36 720    30 185    +21.6  4     Honda Accord               34 848    18 4,normal
HMC,Honda Motor Company Ltd,20120904,REFILE-TABLE-August U.S. light vehicle sales by major automakers ,Sept 4 The following are U.S. auto sales results for August reported on Tuesday by top-selling automakers.      U.S. Auto Sales For August 2012      AUTOMAKER            AUGUST     LAST YR   PCT CHNG  1   General Motors      240 520     218 479       10.1  2   Ford Motor          197 249     175 220       12.6  3   Toyota Motor        188 520     129 483       45.6  4   Chrysler            148 472     130 120       14.1  5   Honda Motor Co      131 321      82 321       59.5  6   Nis,normal
HOS,Hornbeck Offshore Services,20120904,Hornbeck Offshore to build four vessels for $180 mln ,Sept 4 Oilfield services provider Hornbeck Offshore Inc plans to build four vessels for about $180 million on expectations of higher demand in its core Gulf of Mexico and Latin American markets.,topStory
INFY,Infosys Limited,20120904,India's Infosys open to larger acquisitions: CFO ,BANGALORE Indian IT outsourcer Infosys Ltd  which has long said it's comfort size for acquisitions is up to 10 percent of its own revenue  is open to bigger deals given the right opportunity  a top executive said.,topStory
INFY,Infosys Limited,20120904,India's Infosys open to larger acquisitions- CFO ,BANGALORE  Sept 4 Indian IT outsourcer Infosys Ltd  which has long said it's comfort size for acquisitions is up to 10 percent of its own revenue  is open to bigger deals given the right opportunity  a top executive said.,normal
JPM,J P Morgan Chase & Co,20120904,New Issue-Unicredit prices 1.0 bln euro 2015 bond ,September 04 (Reuters) -Following are terms and conditions,topStory
JPM,J P Morgan Chase & Co,20120904,CLSA says hires JPMorgan's Gladstone as global head of sales ,HONG KONG Asia-Pacific brokerage CLSA said on Tuesday it hired Xen Gladstone  a veteran JPMorgan  banker in the region  as global head of sales.,normal
JPM,J P Morgan Chase & Co,20120904,CLSA says hires JPMorgan's Gladstone as global head of sales ,HONG KONG  Sept 4 Asia-Pacific brokerage CLSA said on Tuesday it hired Xen Gladstone  a veteran JPMorgan  banker in the region  as global head of sales.,normal
JNJ,Johnson & Johnson,20120904,BRIEF-Johnson & Johnson holds 8.8 pct stake in Galapagos ,BRUSSELS  Sept 4 Galapagos NV :  * Johnson & Johnson notify of 8.8% shareholding in Galapagos,topStory
KEX,Kirby Corporation,20120904,Kirby Corp to buy Allied Transportation assets for $116 million ,Kirby Corp   the largest U.S. inland tank barge operator  will buy the assets of Allied Transportation Co for $116 million as it looks to grow the petrochemical segment of its offshore operations.,topStory
KEX,Kirby Corporation,20120904,Kirby Corp to buy Allied Transportation assets for $116 mln ,Sept 4 Kirby Corp  the largest U.S. inland tank barge operator  will buy the assets of Allied Transportation Co for $116 million as it looks to grow the petrochemical segment of its offshore operations.,normal
LAZ,Lazard Ltd,20120904,Canaccord hires de Rosnay as European chief ,LONDON  Sept 4 Canadian bank Canaccord Financial  has hired former Lazard and Lehman Brothers dealmaker Alexis de Rosnay to run its European unit  a business it has been building up while bigger rivals have scaled back their ambitions in the downturn.,topStory
MPC,Marathon Petroleum Corporation,20120904,U.S. had only one request for SPR oil loan after Isaac-source ,WASHINGTON The U.S. government has not received more requests for emergency oil loans in the wake of Hurricane Isaac after granting one to a refiner last week  a government source who declined to be identified said on Tuesday.,topStory
MPC,Marathon Petroleum Corporation,20120904,UPDATE 1-US had only 1 request for SPR oil loan after Isaac-source ,WASHINGTON  Sept 4 The U.S. government has not received more requests for emergency oil loans in the wake of Hurricane Isaac after granting one to a refiner last week  a government source who declined to be identified said on Tuesday.,normal
MPC,Marathon Petroleum Corporation,20120904,U.S. has not received more requests SPR oil after Isaac-source ,WASHINGTON The U.S. government has not received more requests for emergency oil loans in the wake of Hurricane Isaac after granting one to a refiner last week  a government source who declined to be identified said on Tuesday.,normal
MPC,Marathon Petroleum Corporation,20120904,US has not received more requests SPR oil after Isaac-source ,WASHINGTON  Sept 4 The U.S. government has not received more requests for emergency oil loans in the wake of Hurricane Isaac after granting one to a refiner last week  a government source who declined to be identified said on Tuesday.,normal
MRK,Merck & Company Inc,20120904,EU advises all girls need cervical cancer vaccines ,LONDON  Sept 5 All girls in Europe should be immunised against the human papillomavirus (HPV) that causes cervical cancer and current vaccine coverage rates are far too low  European Union health officials said on Wednesday.,topStory
MCO,Moody&#39;s Corporation,20120904,BRIEF-Moody's determines that non-delivery of effective date accountants' certificate will not affect the rating of notes issued by ING IM CLO 2012-1  Ltd. ,Sept 5 Moody's determines that non-delivery of effective date accountants' certificate will not affect the rating of notes issued by ING IM CLO 2012-1  Ltd.,topStory
MCO,Moody&#39;s Corporation,20120904,BRIEF-Moody's takes action on $573 million of Subprime RMBS issued by Structured Asset Investment Loan (SAIL) trusts in 2005 ,Sept 5 Moody's takes action on $573 million of Subprime RMBS issued by Structured Asset Investment Loan (SAIL) trusts in 2005,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF-Moody's: No rating impact on Fleet Leasing Receivables Trust Series 2010-2 ABS from program renewal and amendments ,Sept 5 Moody's: No rating impact on Fleet Leasing Receivables Trust Series 2010-2 ABS from program renewal and amendments,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF-Moody's assigns Aa1 rating to the City of Grand Rapids' (MI) $30 million Sanitary Sewer System Improvement Revenue Bonds  Series 2012 ,Sept 5 Moody's assigns Aa1 rating to the City of Grand Rapids' (MI) $30 million Sanitary Sewer System Improvement Revenue Bonds  Series 2012,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF - Moody's revises Siderurgica Nacional S.A. outlook to stable ,Sept 4 Moody's revises Siderurgica Nacional S.A.  outlook to stable,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF-Moody's revises Avaya's outlook to negative ,Sept 4 Avaya Inc :  * Moody's revises avaya's outlook to negative from stable; affirms b3 cfr  * Rpt-moody's revises avaya's outlook to negative from stable; affirms b3 cfr,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF-Moody's: ExamWorks' acquisition of MedHealth a modest credit negative ,Sept 4 ExamWorks Group Inc :  * Moody's says examworks' acquisition of medhealth a modest credit negative ,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF - Moody's comments on Taberna Preferred Funding VI Ltd ,Sept 4 Moody's says Taberna Preferred Funding VI  Ltd. ratings unaffected by appointment of successor trustee    (Caryn Trokie  New York Ratings Unit),normal
MCO,Moody&#39;s Corporation,20120904,New Issue-Unicredit prices 1.0 bln euro 2015 bond ,September 04 (Reuters) -Following are terms and conditions,normal
MCO,Moody&#39;s Corporation,20120904,BRIEF - Moody's may cut Valeant Pharmaceuticals ratings ,Sept 4 Moody's may cut Valeant Pharmaceuticals ratings,normal
MS,Morgan Stanley,20120904,CLSA Upgrades Goldman and Morgan Stanley to "buy" ,Sept 4 The brokerage firm CLSA upgraded Goldman Sachs Group Inc and Morgan Stanley to "buy" from "outperform" on Tuesday and raised share price targets for both banks  saying the stocks are trading near crisis lows despite signs that results will improve.,topStory
SID,National Steel Company,20120904,BRIEF - Moody's revises Siderurgica Nacional S.A. outlook to stable ,Sept 4 Moody's revises Siderurgica Nacional S.A.  outlook to stable,topStory
NWL,Newell Brands Inc,20120904,UPDATE 1-Newell Rubbermaid names new CFO ,NEW YORK  Sept 4 Consumer goods maker Newell Rubbermaid Inc said it has named company veteran Doug Martin as its new chief financial officer  succeeding Juan Figuereo.,topStory
NWL,Newell Brands Inc,20120904,Newell Rubbermaid names new CFO ,NEW YORK  Sept 4 Consumer goods maker Newell Rubbermaid Inc said it has named company veteran Doug Martin as its new chief financial officer  succeeding Juan Figuereo.,normal
NMR,Nomura Holdings Inc ADR,20120904,Nomura forges ahead with European brokerage merger ,LONDON Japan-based Nomura   a trading powerhouse in Europe  is combining its two equity platforms  sources familiar with the matter said  putting an end two years in which it allowed them to compete against each other.,topStory
NMR,Nomura Holdings Inc ADR,20120904,Nomura forges ahead with European brokerage merger ,LONDON  Sept 4 Japan-based Nomura  a trading powerhouse in Europe  is combining its two equity platforms  sources familiar with the matter said  putting an end to years in which it allowed them to compete against each other.,normal
NSC,Norfolk Souther Corporation,20120904,TEXT-S&P rates Norfolk Southern senior unsecured notes ,Sept 4 - Standard & Poor's Ratings Services said today that it has assigned its 'BBB+' issue-level rating to Norfolk Southern Corp.'s new $600 million senior unsecured notes due 2042. Norfolk Southern will use proceeds from the debt issuance to fund general corporate purposes.  The ratings on Norfolk  Va.-based Norfolk Southern reflect its solid  competitive position as one of the two large eastern freight railroads  its  strong liquidity position  and the favorable industry risk characteristics,topStory
NVO,Novo Nordisk A/S,20120904,UPDATE 1-NORDIC STOCKS - Factors to watch on Sept 4 ,HELSINKI  Sept 4 The following stocks may be affected by newspaper reports and other factors on Tuesday:,topStory
PFE,Pfizer Inc,20120904,FDA approves Pfizer leukemia drug ,WASHINGTON Health regulators on Tuesday approved a Pfizer Inc pill for a rare type of leukemia  another step in the company's effort to expand its oncology business.,topStory
PFE,Pfizer Inc,20120904,UPDATE 2-US FDA approves Pfizer leukemia drug ,WASHINGTON  Sept 4 U.S. health regulators on Tuesday approved a Pfizer Inc p ill f or a rare type of leukemia  another step in the company's effort to expand its oncology business.,normal
PFE,Pfizer Inc,20120904,Pfizer kidney cancer drug gets EU approval ,Pfizer Inc said its oral drug Inlyta received European approval as a second-line treatment for kidney cancer patients who do not respond to an initial chemotherapy.,normal
PUK,Prudential Public Limited Company,20120904,UK's Prudential to sell Taiwan insurer stake for $160 mln - IFR ,HONG KONG  Sept 4 Prudential Plc  Britain's largest insurer  is offering its entire stake in Taiwan-listed China Life Insurance Co Ltd in a deal worth about $160 million  IFR reported on Tuesday  citing a term sheet of the transaction.,topStory
R,Ryder System Inc,20120904,Golf: Mahan feels "empty" after missing out on Ryder Cup ,Missing out on a second successive Ryder Cup appearance left Hunter Mahan feeling "a little empty" on Tuesday after he failed to earn one of the four wildcard picks on the United States team.,topStory
R,Ryder System Inc,20120904,Snedeker shines under pressure to earn wildcard pick ,Pressure seems to bring out the best of Brandt Snedeker and the fast-talking American delivered when it mattered most to earn himself a wildcard spot on the United States Ryder Cup team.,normal
