AMRN,Amarin Corporation plc,20121207,Amarin raises funding for heart drug  partnership worries pull down shares ,Biopharmaceutical company Amarin Corp Plc said it raised $100 million in non-equity financing that will help it form a sales force to launch its heart drug Vascepa  but disappointed investors hoping for a sale or partnership.,topStory
DB,Deutsche Bank AG,20121207,Deutsche Bank directors seek answers on valuation claims-sources ,FRANKFURT Deutsche Bank's  supervisory board is seeking answers from management about claims alleging the lender failed to recognize billions of euros in unrealized losses  two people familiar with the matter said on Friday.,normal
DB,Deutsche Bank AG,20121207,Deutsche Bank directors seek answers on valuation claims-sources ,FRANKFURT  Dec 7 Deutsche Bank's  supervisory board is seeking answers from management about claims alleging the lender failed to recognise billions of euros in unrealised losses  two people familiar with the matter said on Friday.,normal
DB,Deutsche Bank AG,20121207,PRESS DIGEST - Financial Times - Dec 7 ,POSSIBLE GERMAN-US DIVIDE OVER DEUTSCHE AUDIT REVELATIONS,normal
RDY,Dr Reddy&#39;s Laboratories Ltd,20121207,Dr Reddy's launches prostate cancer drug in India ,MUMBAI  Dec 7 Dr. Reddy's Laboratories Ltd   India's No. 2 drugmaker by sales  said it has launched Pamorelin  a drug to treat prostate cancer  in India.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20121207,Bombardier's Delta  China deals give it edge on Embraer ,Bombardier Inc won up to $3.6 billion in regional jet orders from Delta Air Lines and an undisclosed Chinese client on Thursday  recovering momentum in a segment that had slipped to Brazilian rival Embraer.,topStory
ENB,Enbridge Inc,20121207,CORRECTED-UPDATE 1-Enbridge expands oil pipeline plan to C$6.2 bln ,(Corrects 9th paragraph to show Marathon has contracted to take some of the initial capacity),topStory
ETR,Entergy Corporation,20121207,UPDATE 1-Louisiana's Cleco seeks to join Midwest power grid ,* Cleco move follows Entergy into Midwest ISO     * Move could be another loss to SPP power grid     * Cleco hopes to integrate into MISO by Jan. 2014       By Scott DiSavino     Dec 7 Louisiana power company Cleco Corp  on Friday said it filed a request with Louisiana utility regulators to join the group that operates much of the power grid in the U.S. Midwest.     Cleco's decision to join the Midwest Independent Transmission System Operator (MISO)  follows a move by its much bigger,topStory
ETR,Entergy Corporation,20121207,Louisiana's Cleco seeks to join Midwest power grid ,* Cleco move follows Entergy into Midwest ISO     * Move could be another loss to SPP power grid     * Cleco hopes to integrate into MISO by Jan. 2014      By Scott DiSavino     Dec 7 Louisiana power company Cleco Corp  on Friday said it filed with Louisiana utility regulators to join the group that operates much of the power grid in the U.S. Midwest.     Cleco's decision to join the Midwest Independent Transmission System Operator (MISO)  follows a move by its much bigger neighbor E,normal
EVR,Evercore Inc,20121207,Fisker hired Evercore to seek partners  rules out sale ,DETROIT Fisker Automotive  maker of the Karma plug-in hybrid car  said it hired investment bank Evercore Partners Inc  to search for partners and investors  but the automaker denied that a sale of the company was under consideration.,topStory
EVR,Evercore Inc,20121207,Fisker hired Evercore to seek partners  rules out sale ,DETROIT  Dec 7 Fisker Automotive  maker of the Karma plug-in hybrid car  said it hired investment bank Evercore Partners Inc to search for partners and investors  but the automaker denied that a sale of the company was under consideration.,normal
XOM,Exxon Mobil Corporation,20121207,Exxon sells shale gas licences to Polish refiner PKN ,WARSAW  Dec 7 U.S. oil major Exxon Mobil  agreed to sell two shale gas exploration concessions in Poland to the country's top refiner PKN Orlen for an undisclosed price  the groups said on Friday.,topStory
XOM,Exxon Mobil Corporation,20121207,ExxonMobil to spend $300 million on Rosneft venture ,MOSCOW ExxonMobil  agreed to spend $300 million on advanced horizontal drilling and fracking at Russian state oil company Rosneft's  Siberian fields in a project designed to help Russia realize its vast tight oil potential.,normal
XOM,Exxon Mobil Corporation,20121207,RPT-UPDATE 1-ExxonMobil to spend $300 mln on Rosneft venture ,MOSCOW  Dec 7 ExxonMobil agreed to spend $300 million on advanced horizontal drilling and fracking at Russian state oil company Rosneft's Siberian fields in a project designed to help Russia realise its vast tight oil potential.,normal
F,Ford Motor Company,20121207,Ford recalls 2013 Fusion in U.S. market again ,Ford Motor Co  is recalling 19 106 2013 Fusion sedans in the United States to replace faulty headlamps  federal safety officials said on Friday.,topStory
F,Ford Motor Company,20121207,Ford recalls 2013 Fusion in U.S. market again ,Dec 7 Ford Motor Co is recalling 19 106 2013 Fusion sedans in the United States to replace faulty headlamps  federal safety officials said on Friday.,normal
FCX,Freeport-McMoran Inc,20121207,Freeport downgraded as analysts question shift into energy  stock slips ,Shares of Freeport-McMoRan Copper & Gold Inc  fell further on Thursday  a day after it said it had struck deals to expand into energy by acquiring Plains Exploration & Production Co  and McMoRan Exploration Co  for $9 billion  and at least four analysts downgraded the miner's stock.,topStory
FCX,Freeport-McMoran Inc,20121207,Plains CEO stands to earn as much as Freeport top brass ,James Flores  chief executive of Plains Exploration & Production Co   could earn as much in his new role as head of the oil and gas business at Freeport-McMoRan Copper & Gold Co  as his bosses there.,normal
FCX,Freeport-McMoran Inc,20121207,UPDATE 1-Plains CEO stands to earn as much as Freeport top brass ,Dec 6 James Flores  chief executive of Plains Exploration & Production Co  could earn as much in his new role as head of the oil and gas business at Freeport-McMoRan Copper & Gold Co as his bosses there.,normal
GEK,General Electric Capital Corporation,20121207,General Electric near deal to buy Italy's Avio: sources ,MILAN General Electric Co  is near a deal to acquire Italy's Avio  a privately held airplane parts supplier  people familiar with the situation on Friday.,topStory
GEK,General Electric Capital Corporation,20121207,General Electric near deal to buy Italy's Avio - sources ,MILAN  Dec 7 General Electric Co is near a deal to acquire Italy's Avio  a privately held airplane parts supplier  people familiar with the situation on Friday.,normal
GE,General Electric Company,20121207,General Electric near deal to buy Italy's Avio: sources ,MILAN General Electric Co  is near a deal to acquire Italy's Avio  a privately held airplane parts supplier  people familiar with the situation on Friday.,topStory
GE,General Electric Company,20121207,General Electric near deal to buy Italy's Avio - sources ,MILAN  Dec 7 General Electric Co is near a deal to acquire Italy's Avio  a privately held airplane parts supplier  people familiar with the situation on Friday.,normal
GM,General Motors Company,20121207,Fisker hired Evercore to seek partners  rules out sale ,DETROIT Fisker Automotive  maker of the Karma plug-in hybrid car  said it hired investment bank Evercore Partners Inc  to search for partners and investors  but the automaker denied that a sale of the company was under consideration.,topStory
GM,General Motors Company,20121207,Fisker hired Evercore to seek partners  rules out sale ,DETROIT  Dec 7 Fisker Automotive  maker of the Karma plug-in hybrid car  said it hired investment bank Evercore Partners Inc to search for partners and investors  but the automaker denied that a sale of the company was under consideration.,normal
GSK,GlaxoSmithKline PLC,20121207,GlaxoSmithKline in deal with MD Anderson on cancer drugs ,GlaxoSmithKline signed a collaboration agreement with the MD Anderson Cancer Center in Houston to develop new drugs that promote a patient's immune system to attack cancer based on discoveries by Anderson researchers.,topStory
GSK,GlaxoSmithKline PLC,20121207,GlaxoSmithKline in deal with MD Anderson on cancer drugs ,Dec 7 GlaxoSmithKline signed a collaboration agreement with the MD Anderson Cancer Center in Houston to develop new drugs that promote a patient's immune system to attack cancer based on discoveries by Anderson researchers.,normal
GS,Goldman Sachs Group Inc (The),20121207,Goldman Sachs fined $1.5 million for trading glitch ,WASHINGTON Goldman Sachs Group Inc was fined $1.5 million to settle charges it failed to supervise its traders and allowing one futures dealer to hide billions in dollars from sight and causing a $118 million loss.,topStory
GS,Goldman Sachs Group Inc (The),20121207,UPDATE 1-Goldman Sachs fined $1.5 million for trading glitch ,WASHINGTON  Dec 7 Goldman Sachs Group Inc  was fined $1.5 million to settle charges it failed to supervise its traders and allowing one futures dealer to hide billions in dollars from sight and causing a $118 million loss.,normal
GS,Goldman Sachs Group Inc (The),20121207,Goldman Sachs fined $1.5 mln for supervision failures ,WASHINGTON  Dec 7 The Commodity Futures Trading Commission (CFTC) said that Goldman Sachs Group Inc has been ordered to pay a $1.5 million penalty to settle charges that it failed to supervise its employees  allowing a trader to hide an $8.3 billion trading position.,normal
HK,Halcon Resources Corporation,20121207,TEXT - S&P raises Halcon Resources rating to 'B' ,Overview       -- U.S. oil and gas exploration and production company Halcon Resources  Corp. has completed its transaction to acquire oil and gas producing  properties in the Williston Basin in North Dakota and Montana targeting the  Bakken and Three Forks formations.       -- We are raising our corporate credit rating on Halcon to 'B' and  removing it from CreditWatch.       -- We are removing the rating from CreditWatch with positive  implications. The outlook is stable.  Rating Action On Dec,topStory
HOV,Hovnanian Enterprises Inc,20121207,TEXT - Fitch affirms Hovnanian Enterprises Inc ,Dec 7 - Fitch Ratings has affirmed the ratings for Hovnanian Enterprises  Inc. (NYSE: HOV)  including the company's Issuer Default  Rating (IDR)  at 'CCC'. A complete list of rating actions follows this release.  The rating for HOV is influenced by the company's execution of its business  model  land policies  and geographic  price point and product line diversity.  The rating additionally reflects the company's liquidity position  substantial  debt and high leverage.   Fitch's housing forecasts,topStory
HPQ,HP Inc,20121207,HP  RIM take flak from nervous financial industry customers ,NEW YORK JPMorgan Chase & Co and BlackRock Inc voiced concerns about Hewlett-Packard Co and Research In Motion Ltd this week  saying business and operational struggles may affect the reliability of two of the biggest technology service providers.,topStory
HSBC,HSBC Holdings plc,20121207,TEXT - Fitch cuts HSBC Holdings plc ,Dec 7 - Fitch Ratings has today downgraded the Long-term Issuer Default Rating (IDR) of HSBC Holdings plc (HSBC or HSBC Group) to 'AA-' from 'AA' following the agency's periodic review of the group. The Rating Outlook is revised to Stable from Negative. Fitch has taken similar actions on the Long-term IDRs of HSBC Bank Plc (HSBC Bank)  The Hongkong and Shanghai Banking Corporation Limited (HKSB) and HSBC Latin America Holdings (UK) Limited  (HSBC Latam). At the same time  Fitch has affirmed Hang,topStory
HSEA,HSBC Holdings plc,20121207,TEXT - Fitch cuts HSBC Holdings plc ,Dec 7 - Fitch Ratings has today downgraded the Long-term Issuer Default Rating (IDR) of HSBC Holdings plc (HSBC or HSBC Group) to 'AA-' from 'AA' following the agency's periodic review of the group. The Rating Outlook is revised to Stable from Negative. Fitch has taken similar actions on the Long-term IDRs of HSBC Bank Plc (HSBC Bank)  The Hongkong and Shanghai Banking Corporation Limited (HKSB) and HSBC Latin America Holdings (UK) Limited  (HSBC Latam). At the same time  Fitch has affirmed Hang,topStory
HSEB,HSBC Holdings plc,20121207,TEXT - Fitch cuts HSBC Holdings plc ,Dec 7 - Fitch Ratings has today downgraded the Long-term Issuer Default Rating (IDR) of HSBC Holdings plc (HSBC or HSBC Group) to 'AA-' from 'AA' following the agency's periodic review of the group. The Rating Outlook is revised to Stable from Negative. Fitch has taken similar actions on the Long-term IDRs of HSBC Bank Plc (HSBC Bank)  The Hongkong and Shanghai Banking Corporation Limited (HKSB) and HSBC Latin America Holdings (UK) Limited  (HSBC Latam). At the same time  Fitch has affirmed Hang,topStory
ITUB,Itau Unibanco Banco Holding SA,20121207,TEXT - S&P affirms Itau Unibanco Holding S.A. ,Overview      -- Itau Unibanco Holding S.A. has maintained its "very strong" business  position and "adequate" risk  funding  and liquidity positions  and its  capital and earnings is still "moderate."      -- We are affirming our global scale 'BBB/A-2' and 'brAAA/brA-1' national  scale ratings on Itau Unibanco and its core operating subsidiary Banco Itau  BBA S.A.       -- The stable outlook reflects our expectation that Itau Unibanco will  continue to expand its loan portfolio and maintain its,topStory
JPM,J P Morgan Chase & Co,20121207,Pfizer markets $ billion revolving credit to back spinoff ,NEW YORK Pfizer Inc  is in market with a $1 billion  five-year revolver that will back the company's spinoff of its animal health division  sources told Thomson Reuters LPC.,topStory
JPM,J P Morgan Chase & Co,20121207,RLPC: Pfizer markets $1B RC to back spinoff ,NEW YORK  Dec 7 Pfizer Inc is in market with a $1 billion  five-year revolver that will back the company's spinoff of its animal health division  sources told Thomson Reuters LPC.,normal
JKS,JinkoSolar Holding Company Limited,20121207,JinkoSolar to get up to $1 bln from China Development Bank ,Dec 7 JinkoSolar Holding Co Ltd said its Swiss unit will get up to $1 billion over five years from China Development Bank to fund solar projects outside China  sending its shares up 23 percent.,topStory
PHG,Koninklijke Philips NV,20121207,Siemens unit Osram sees 2013 loss on restructuring costs ,FRANKFURT German lightbulb maker Osram  which is being spun off from Siemens  in the spring  said it expects restructuring costs to cause a full-year loss in 2013  though the loss will be smaller than in 2012.,topStory
PHG,Koninklijke Philips NV,20121207,Siemens unit Osram sees 2013 loss on restructuring costs ,FRANKFURT  Dec 7 German lightbulb maker Osram  which is being spun off from Siemens in the spring  said it expects restructuring costs to cause a full-year loss in 2013  though the loss will be smaller than in 2012.,normal
PHG,Koninklijke Philips NV,20121207,Dutch consumers group to seek damages from Philips ,AMSTERDAM  Dec 7 The Dutch Consumers' Association is to look at how it can claim damages against electronics firms including Philips that were fined this week for uncompetitive practices by the European Commission.,normal
LVS,Las Vegas Sands Corp,20121207,TEXT-Fitch assigns Las Vegas Sands Corp initial 'BB+' IDR ,Dec 7 - Fitch Ratings has assigned initial 'BB+' Issuer Default Ratings (IDRs) to the following issuers:  --Las Vegas Sands Corp. (LVS Corp; LVS when discussing consolidated entity)  --Las Vegas Sands LLC (LVS LLC)  --Sands China Ltd. (Sands China)  --VML U.S. Finance LLC (VML)  and --Marina Bay Sands Pte. Ltd (MBS).  Fitch has also assigned a 'BBB-' rating to the senior secured credit facilities at LVS LLC  VML and MBS. The Rating Outlook is Stable. A full of list of ratings is at the end of th,topStory
LMT,Lockheed Martin Corporation,20121207,UPDATE 1-Canada says reviewing F-35 report  denies plan to cancel ,OTTAWA  Dec 6 The Canadian government said on Thursday it was reviewing an independent report on the cost of the F-35 Joint Strike Fighter program  but denied that it had decided to cancel its planned purchase of 65 of the Lockheed Martin Corp warplanes.,topStory
LMT,Lockheed Martin Corporation,20121207,Air Force general takes over Pentagon's F-35 program ,WASHINGTON Air Force Lieutenant General Christopher Bogdan assumed control of the Pentagon's F-35 jet fighter program on Thursday  saying he believes the program is well-positioned for the future after hard work by his predecessor to put it on a "firmer  more realistic" footing.,normal
LMT,Lockheed Martin Corporation,20121207,UPDATE 1-US Air Force general takes over Pentagon's F-35 program ,WASHINGTON  Dec 6 Air Force Lieutenant General Christopher Bogdan assumed control of the Pentagon's F-35 jet fighter program on Thursday  saying he believes the program is well-positioned for the future after hard work by his predecessor to put it on a "firmer  more realistic" footing.,normal
MAC,Macerich Company (The),20121207,Macerich seeks to sell malls with lower sales rating - sources ,NEW YORK  Dec 7 Macerich Corp has put 17 non-core malls on the block  according to sources familiar with the matter  a move already  taken by other mall owners selling centers producing lower sales.,topStory
MCD,McDonald&#39;s Corporation,20121207,McDonald's Indian franchisee Hardcastle to merge with listed parent ,MUMBAI Hardcastle Restaurants  master franchisee for south and west India operations of burger chain McDonald's Corp   said it will merge with its parent Westlife Development Ltd .,topStory
MCD,McDonald&#39;s Corporation,20121207,McDonald's Indian franchisee Hardcastle to merge with listed parent ,MUMBAI  Dec 7 Hardcastle Restaurants  master franchisee for south and west India operations of burger chain McDonald's Corp  said it will merge with its parent Westlife Development Ltd.,normal
MTL,Mechel PAO,20121207,Russia's Mechel wins 55 pct in Vanino port ,MOSCOW  Dec 7 Debt-laden Russian mining and steel company Mechel won 55 percent of the Pacific port of Vanino by offering the highest bid of 15.5 billion roubles in a tender  VTB bank  the sale organiser  said on Friday.,topStory
MS,Morgan Stanley,20121207,Morgan Stanley shifts broker bonuses to reward growth ,Morgan Stanley's wealth division  in a change to how it rewards its increasingly important brokerage force  is cutting bonuses tied to the revenue that advisers generate  but also offering discounted stock and new incentives to brokers if they bring in new assets and get their clients to borrow money.,topStory
MS,Morgan Stanley,20121207,Morgan Stanley shifts broker bonuses to reward growth ,Morgan Stanley's  wealth division  in a change to how it rewards its increasingly important brokerage force  is cutting bonuses tied to the revenue that advisers generate  but also offering discounted stock and new incentives to brokers if they bring in new assets and get their clients to borrow money.,normal
MS,Morgan Stanley,20121207,UPDATE 1-Morgan Stanley shifts broker bonuses to reward growth ,Dec 6 Morgan Stanley's wealth division  in a change to how it rewards its increasingly important brokerage force  is cutting bonuses tied to the revenue that advisers generate  but also offering discounted stock and new incentives to brokers if they bring in new assets and get their clients to borrow money.,normal
NBHC,National Bank Holdings Corporation,20121207,Greece's National Bank approves taking part in buyback ,ATHENS The board of Greece's largest lender National Bank  approved the bank's participation in the country's debt buyback offer  becoming the first Greek bank to make the move  the lender said on Friday.,topStory
NBHC,National Bank Holdings Corporation,20121207,Greece's National Bank approves taking part in buyback ,ATHENS  Dec 7 The board of Greece's largest lender National Bank approved the bank's participation in the country's debt buyback offer  becoming the first Greek bank to make the move  the lender said on Friday.,normal
OZM,Och-Ziff Capital Management Group LLC,20121207,Transport for London routes cash into hedge funds ,LONDON The pension fund of Transport for London  the government body in charge of the capital's transport network  is putting more money into higher-risk hedge funds to help to plug a funding gap.,topStory
OZM,Och-Ziff Capital Management Group LLC,20121207,UPDATE 1-Transport for London routes cash into hedge funds ,LONDON  Dec 7 The pension fund of Transport for London  the government body in charge of the capital's transport network  is putting more money into higher-risk hedge funds to help to plug a funding gap.,normal
PANW,Palo Alto Networks Inc,20121207,Palo Alto Networks sees 59 percent-66 percent revenue growth ,Security software maker Palo Alto Networks  on Thursday said revenue for the current will grow between 59 percent and 66 percent from a year earlier and the company will continue to post a modest profit.,topStory
PANW,Palo Alto Networks Inc,20121207,UPDATE 2-Palo Alto Networks sees 59 pct-66 pct revenue growth ,* Previous qtr revenue $85.9 mln  versus Street's $83.7 mln,normal
PFE,Pfizer Inc,20121207,Pfizer's gold dust vanishes in Missouri ,A cache of gold dust has gone missing from a Pfizer Inc laboratory in suburban St. Louis  and police say they are investigating whether it was lost or stolen.,topStory
PFE,Pfizer Inc,20121207,Pfizer's gold dust vanishes in Missouri ,Dec 7 A cache of gold dust has gone missing from a Pfizer Inc laboratory in suburban St. Louis  and police say they are investigating whether it was lost or stolen.,normal
PFE,Pfizer Inc,20121207,Pfizer markets $ billion revolving credit to back spinoff ,NEW YORK Pfizer Inc  is in market with a $1 billion  five-year revolver that will back the company's spinoff of its animal health division  sources told Thomson Reuters LPC.,normal
PFE,Pfizer Inc,20121207,RLPC: Pfizer markets $1B RC to back spinoff ,NEW YORK  Dec 7 Pfizer Inc is in market with a $1 billion  five-year revolver that will back the company's spinoff of its animal health division  sources told Thomson Reuters LPC.,normal
PKX,POSCO,20121207,TEXT-S&P:POSCO Engineering & Construction downgraded to 'BBB-' ,(The following statement was released by the rating agency),topStory
PKX,POSCO,20121207,TEXT-S&P ratings - POSCO Engineering & Construction Co. Ltd. ,(The following statement was released by the rating agency),normal
RBS,Royal Bank Scotland plc (The),20121207,Hester faces three-year grind to finish RBS turnaround ,LONDON For Royal Bank of Scotland  Chief Executive Stephen Hester  the biggest turnaround in corporate history is not over.,topStory
RBS,Royal Bank Scotland plc (The),20121207,Hester faces 3-year grind to finish RBS turnaround ,* Bank will hold off DAS talks until ready to pay dividend,normal
SNY,Sanofi,20121207,Bayer diabetes unit sale unlikely - sources ,FRANKFURT  Dec 7 Bayer is unlikely to sell its blood glucose meters business for the time being  after failing to generate sufficient interest from buyers  two people familiar with the situation said on Friday.,topStory
CKH,SEACOR Holdings Inc,20121207,TEXT-S&P rates SEACOR Holdings' convertible notes 'BB' ,Dec 7 - Standard & Poor's Ratings Services today assigned its 'BB' issue rating to SEACOR Holdings Inc.'s $350 million convertible notes due 2027. We have assigned a '3' recovery rating to this debt  indicating our expectation of meaningful (50% to 70%) recovery  in the event of a payment default. Our 'BB' corporate credit rating and negative outlook on the company remains unchanged.  SEACOR plans to use $125 million of the proceeds to repay borrowings on its  $360 million credit facility  resul,topStory
TEF,Telefonica SA,20121207,Beyond mobile: Telcos hook up hospitals  cars and coffeemakers ,BARCELONA In Barcelona's Hospital Del Mar  Telefonica is doing more than connecting phone lines - it is also developing a lucrative new business keeping patients' hearts in good shape.,topStory
BX,The Blackstone Group LP,20121207,PRESS DIGEST - Financial Times - Dec 7 ,POSSIBLE GERMAN-US DIVIDE OVER DEUTSCHE AUDIT REVELATIONS,topStory
SCHW,The Charles Schwab Corporation,20121207,Exclusive: Schwab eyes commission-free ETF supermarket - sources ,NEW YORK Charles Schwab Corp has been quietly meeting with exchange-traded fund providers to try to persuade them to join a new network that would make ETFs available commission-free to the brokerage's 8.6 million customers.,topStory
TRI,Thomson Reuters Corp,20121207,Thomson Reuters FX volumes fall 26 pct year-on-year in Nov ,LONDON  Dec 7 Daily spot foreign exchange trading volumes on Thomson Reuters dealing platforms fell by 26 percent in November from a year earlier  company data showed on Friday.,topStory
TOL,Toll Brothers Inc,20121207,Toll Brothers officials to pay $16.2 million settlement ,NEW YORK Officials at luxury-home builder Toll Brothers Inc.  have agreed to pay $16.2 million to settle claims that they misled shareholders about the company's future prospects while reaping $615 million from sales of the company's stock.,topStory
TOL,Toll Brothers Inc,20121207,Toll Brothers officials to pay $16.2 mln settlement ,NEW YORK  Dec 6 Officials at luxury-home builder Toll Brothers Inc. have agreed to pay $16.2 million to settle claims that they misled shareholders about the company's future prospects while reaping $615 million from sales of the company's stock.,normal
TD,Toronto Dominion Bank (The),20121207,CANADA STOCKS-TSX flat as TD  US consumer woes limit jobs lift ,* TSX up 6.74 points at 12 158.87     * Enbridge up 2.2 pct after proposing pipeline expansion      By Alastair Sharp     TORONTO  Dec 7 Canada's main stock index edged higher on Friday as economically sensitive resource shares rose on data that showed strong jobs growth in the United States and Canada but the advance was limited by another day of losses for Toronto-Dominion Bank and by a bearish U.S. consumer report.     TD Bank fell for a second straight day after issuing quarterly,topStory
TM,Toyota Motor Corp Ltd Ord,20121207,Long road to recovery for Toyota's Chinese sales: report ,TOKYO A high-ranking Toyota Motor Corp  executive believes that it will take the automaker a year to recover from the effects of a diplomatic row between Japan and China  the Kyodo news agency reported on Friday.,topStory
TM,Toyota Motor Corp Ltd Ord,20121207,Long road to recovery for Toyota's Chinese sales - report ,TOKYO Dec 7 A high-ranking Toyota Motor Corp  executive believes that it will take the automaker a year to recover from the effects of a diplomatic row between Japan and China  the Kyodo news agency reported on Friday.,normal
TM,Toyota Motor Corp Ltd Ord,20121207,Toyota sees Japan sales dropping 20 percent in 2013: media ,TOKYO Toyota Motor Corp  expects Japan vehicle sales to fall by a fifth next year  in part due to the end of government tax incentives for fuel-efficient automobiles  domestic media reported  adding to the pain from a decline in China sales.,normal
TM,Toyota Motor Corp Ltd Ord,20121207,UPDATE 1-Toyota sees Japan sales dropping 20 pct in 2013 -media ,TOKYO  Dec 7 Toyota Motor Corp expects Japan vehicle sales to fall by a fifth next year  in part due to the end of government tax incentives for fuel-efficient automobiles  domestic media reported  adding to the pain from a decline in China sales.,normal
TM,Toyota Motor Corp Ltd Ord,20121207,Toyota sees 20 pct sales drop in Japan in 2013 -media ,TOKYO  Dec 7 Toyota Motor Corp expects a 20 percent drop in its vehicle sales in Japan next year partly due to an end to subsidies on fuel-efficient cars  a Japanese newspaper said.,normal
UN,Unilever NV,20121207,BRIEF-Tiger Brands to buy Unilever's chutney business for 475 mln rand ,JOHANNESBURG  Dec 7 Tiger Brands Ltd :  * Says sale of mrs h s ball's chutney business by unilever South Africa to,topStory
UMC,United Microelectronics Corporation,20121207,Taiwan chipmaker UMC says Nov sales up 12 pct year-on-year ,TAIPEI  Dec 7 Taiwan's UMC  the world's No.2 contract chipmaker  said on Friday that its November sales rose 11.7 percent from a year earlier.,topStory
WMT,Wal-Mart Stores Inc,20121207,Consumer confidence plunges on "fiscal cliff" fears ,NEW YORK Americans' outlook on the economy and their finances took a turn for the worse in early December  likely due to anxiety about the potential for higher taxes resulting from contentious discussions in Washington over fiscal issues  a survey released on Friday showed.,topStory
WMT,Wal-Mart Stores Inc,20121207,Apparel factory fire reveals big brands' shadowy supply chains ,DHAKA Sweating and trembling as he fielded questions about last month's killer fire at one of his factories in Bangladesh  Delwar Hossain insisted he had no idea the workshop was making clothes for Wal-Mart Stores Inc  when it went up in flames.,normal
DIS,Walt Disney Company (The),20121207,TEXT-S&P discusses potential credit effects of Disney/Netflix deal ,Dec 7 - On Dec. 4  2012  Netflix Inc. (rated 'BB-' with a stable rating outlook) and The Walt Disney Co. (A/Stable/A-1) announced a licensing agreement that will make Netflix the exclusive U.S. subscription television service for first-run live-action and animated feature films from The Walt Disney Studios  starting with films released in 2016. We believe this is a groundbreaking agreement  as it is the first such arrangement between an online subscription video-on-demand (SVOD) operator (Netfli,topStory
WTW,Weight Watchers International Inc,20121207,EXCLUSIVE-U.S. authorities probe SAC Capital for Weight Watchers trading-sources ,Dec 7 U.S. authorities are investigating Steven A. Cohen's SAC Capital Advisors hedge fund for alleged insider trading in the shares of the popular diet company Weight Watchers International Inc  according to people familiar with the matter.,topStory
WAIR,Wesco Aircraft Holdings Inc,20121207,TEXT - S&P comments on Wesco Aircraft Holdings ,Dec 7 - Standard & Poor's Ratings Services today said that its 'BB-' corporate credit rating and stable outlook on Wesco Aircraft Holdings Inc.  (BB-/Stable/--) are not affected by the company's recent refinancing. On Dec. 7  2012  Wesco refinanced its existing credit facility with a new $200 million revolver due 2017 and a new $625 million term loan due 2017. We will not be assigning ratings to the new facility. The refinancing does not result in a material change in the company's debt levels b,topStory
