ACOR,Acorda Therapeutics Inc,20121220,Potentially game changing data awaits Acorda in 2013 ,NEW YORK Acorda Therapeutics Inc Chief Executive Ron Cohen is already looking to spring  when data on a new use for its lone product could spur renewed investor interest and provide funding to enable his company to develop even more therapies.,topStory
CCL,Carnival Corporation,20121220,Carnival gives weak forecast  says bookings still lag ,NEW YORK Carnival Corp & Plc   on Thursday said bookings for 2013 so far were at lower prices and still lagging last year's levels  suggesting the industry was not recovering as quickly as previously believed.,topStory
CCL,Carnival Corporation,20121220,UPDATE 2-Carnival gives weak forecast  says bookings still lag ,NEW YORK  Dec 20 Carnival Corp & Plc   on Thursday said bookings for 2013 so far were at lower prices and still lagging last year's levels  suggesting the industry was not recovering as quickly as previously believed.,normal
CCL,Carnival Corporation,20121220,Carnival profit falls  says 2013 bookings still lagging ,NEW YORK Carnival Corp & Plc on Thursday reported a sharply lower profit as revenue continued to be hit by last January's deadly capsizing of one of its ships  and the cruise operator said bookings for 2013 were still lagging last year.,normal
CCL,Carnival Corporation,20121220,UPDATE 1-Carnival profit falls  says 2013 bookings still lagging ,NEW YORK  Dec 20 Carnival Corp & Plc   on Thursday reported a sharply lower profit as revenue continued to be hit by last January's deadly capsizing of one of its ships  and the cruise operator said bookings for 2013 were still lagging last year.,normal
CCL,Carnival Corporation,20121220,BRIEF-Carnival down 3.1 percent in premarket trading ,NEW YORK  Dec 20 Carnival Corp :  * Shares down 3.1 percent in premarket trading,normal
CUK,Carnival Corporation,20121220,European shares stutter as US budget talks stall ,LONDON  Dec 20 European shares stuttered on Thursday as indexes approached overbought levels and budget talks in the United States stalled  with cruise operator Carnival plunging 6 percent on concerns about its earnings outlook.,topStory
C,Citigroup Inc,20121220,Citigroup not looking to fill chief operating officer's spot: WSJ ,Citigroup Inc's  chief executive  Michael Corbat  is not looking to fill the positions of president and chief operating officer  the Wall Street Journal reported on Wednesday  citing people familiar with the matter.,topStory
C,Citigroup Inc,20121220,Citigroup not looking to fill chief operating officer's spot-WSJ ,Dec 19 Citigroup Inc's chief executive  Michael Corbat  is not looking to fill the positions of president and chief operating officer  the Wall Street Journal reported on Wednesday  citing people familiar with the matter.,normal
CEO,CNOOC Limited,20121220,TEXT-S&P rates China Oilfield Services 'A-'  otlk stable ,(The following statement was released by the rating agency),topStory
CEO,CNOOC Limited,20121220,Hong Kong shares to open down 0.1 pct  CNOOC  Cheung Kong Holdings fall ,HONG KONG  Dec 20 Hong Kong shares were set to slip from near 17-month highs at Thursday's open  dragged by 1.2 percent declines for local conglomerate Cheung Kong Holdings  and Chinese oil giant CNOOC Ltd.,normal
CAG,ConAgra Brands Inc,20121220,ConAgra raises FY profit outlook  shares touch 13-year high ,ConAgra Foods Inc  raised its full-year earnings forecast on expectations that recent acquisitions and increased marketing will boost sales  sending shares of the maker of Chef Boyardee pastas and Hunt's ketchup to a 13-year high.,topStory
CAG,ConAgra Brands Inc,20121220,UPDATE 3-ConAgra raises FY profit outlook  shares touch 13-year high ,* Adj earnings from continuing ops $0.57/shr vs est $0.55/shr,normal
CAG,ConAgra Brands Inc,20121220,BRIEF-ConAgra shares up 2.8 percent in premarket trading ,NEW YORK  Dec 20 ConAgra Foods Inc :  * Shares up 2.8 percent in premarket trading,normal
CAG,ConAgra Brands Inc,20121220,ConAgra profit rises on acquisitions  consumer foods sales ,Dec 20 ConAgra Foods Inc reported a 17 percent jump in second-quarter profit  helped by recent acquisitions and higher sales in its consumer foods business.,normal
COP,ConocoPhillips,20121220,ConocoPhillips to sell its Nigerian businesses to Canada's Oando for $1.79 bln ,Dec 20 Oil giant ConocoPhillips will sell its Nigerian businesses for about $1.79 billion to Oando Energy Resources Inc.,topStory
DB,Deutsche Bank AG,20121220,UPDATE 1-Prosecutors search Deutsche Bank HQ over Kirch suit ,* Search comes a week after separate carbon tax fraud raid   (Adds detail  background),topStory
DB,Deutsche Bank AG,20121220,Munich prosecutors search Deutsche Bank HQ in Kirch suit ,FRANKFURT  Dec 20 Prosecutors have searched the headquarters of Germany's flagship lender Deutsche Bank  in connection with a lawsuit related to the lender's legal battle with late media mogul Leo Kirch.,normal
DFS,Discover Financial Services,20121220,Discover profit falls short as costs climb ,Credit card company Discover Financial Services  reported a quarterly profit that fell short of analysts' expectations as it spent more on building its new payment partnerships and other businesses  sending its shares down as much as 6 percent.,topStory
DFS,Discover Financial Services,20121220,UPDATE 3-Discover profit falls short as costs climb ,Dec 20 Credit card company Discover Financial Services reported a quarterly profit that fell short of analysts' expectations as it spent more on building its new payment partnerships and other businesses  sending its shares down as much as 6 percent.,normal
DFS,Discover Financial Services,20121220,Discover Financial profit rises on higher card spending ,Dec 20 Credit card company Discover Financial Services's quarterly profit rose as more people shopped with their credit cards.,normal
LLY,Eli Lilly and Company,20121220,Eli Lilly to pay $29 million to settle U.S. SEC bribery case ,WASHINGTON U.S. drugmaker Eli Lilly and Co agreed on Thursday to pay $29 million to settle civil charges that its subsidiaries made improper payments to foreign government officials to win business in Russia  Brazil  China and Poland.,topStory
LLY,Eli Lilly and Company,20121220,UPDATE 2-Eli Lilly to pay $29 mln to settle US SEC bribery case ,WASHINGTON  Dec 20 U.S. drugmaker Eli Lilly and Co agreed on Thursday to pay $29 million to settle civil charges that its subsidiaries made improper payments to foreign government officials to win business in Russia  Brazil  China and Poland.,normal
LLY,Eli Lilly and Company,20121220,U.S. SEC says Eli Lilly to pay $29 mln to settle bribery charges ,WASHINGTON  Dec 20 Pharmaceutical company Eli Lilly and Co agreed on Thursday to pay $29 million to settle civil charges that its subsidiaries made improper payments to foreign government officials to win business in Russia  Brazil  China and Poland.,normal
ENB,Enbridge Inc,20121220,Enbridge buys half stake in second EDF wind farm in Quebec ,CALGARY  Alberta Enbridge Inc  will buy a 50-percent stake in its second wind-power project in the province of Quebec from Electricite de France's  Canadian renewable-energy unit for C$170 million ($172 million)  the company said on Thursday.,topStory
ENB,Enbridge Inc,20121220,Enbridge buys half stake in second EDF wind farm in Quebec ,CALGARY  Alberta  Dec 20 Enbridge Inc  will buy a 50-percent stake in its second wind-power project in the province of Quebec from Electricite de France's  Canadian renewable-energy unit for C$170 million ($172 million)  the company said on Thursday.,normal
ETR,Entergy Corporation,20121220,Storms knock out power for 114 000 customers in US Midwest/Gulf ,Dec 20 A series of storms knocked out power for 114 000 customers in the U.S. Midwest and Gulf Coast  power companies said Thursday.     The storms have also caused tornadoes in the Mobile  Alabama area  according to weather forecaster AccuWeather.com.     The following is a list of some of the regions affected by the storms.       Power Company           Holding Company   State  Out Now  Entergy - Arkansas      Entergy           AR      29 000  Entergy - Louisiana     Entergy       ,topStory
EQT,EQT Corporation,20121220,TEXT-Fitch cuts EQT Corp's rating to 'BBB-' ,Dec 20 - Fitch Ratings has downgraded EQT Corporation's (EQT) ratings as follows:  --Long-term Issuer Default Rating (IDR) to 'BBB-' from 'BBB'; --Senior unsecured debt to 'BBB-' from 'BBB'; --Short-term IDR to 'F3' from 'F2'.  In addition  Fitch assigns a commercial paper rating of 'F3'.  The Rating Outlook is Stable. Approximately $2.5 billion of debt outstanding is affected by today's rating action.  The downgrade was prompted by EQT's announcement to sell its regulated utility operations in ,topStory
EQT,EQT Corporation,20121220,TEXT - S&P comments on EQT Corp ,Dec 20 - Standard & Poor's Ratings Services said today that its ratings on Pittsburgh-based EQT Corp. (BBB/Stable/A-2) will remain unchanged following the company's announcement that it has entered into an agreement to sell its natural gas distribution business (Equitable Gas Co. LLC) to Peoples Natural Gas. Under the terms of the agreement  EQT will receive approximately $720 million in cash and midstream assets that generate at least approximately $40 million of EBITDA per year. The transactio,normal
EQT,EQT Corporation,20121220,UPDATE 2-EQT to sell gas utility for $720 mln plus Marcellus assets ,* Cuts annual dividend to 12 cents per share from 22 cents,normal
EQT,EQT Corporation,20121220,EQT to sell gas utility for $720 mln plus some assets ,Dec 20 Appalachian natural gas company EQT Corp  said it will sell its natural gas distribution business to privately held Peoples Natural Gas for about $720 million in cash.,normal
XOM,Exxon Mobil Corporation,20121220,China the frontrunner to buy Exxon out of Iraq oil ,BEIJING/LONDON China National Petroleum Corp (CNPC) has emerged as the frontrunner to take over Iraq's West Qurna-1 oilfield from Exxon Mobil  a move that would diminish Western oil influence in Iraq a decade after the U.S.-led invasion.,topStory
XOM,Exxon Mobil Corporation,20121220,UPDATE 1-China the frontrunner to buy Exxon out of Iraq oil ,* Exxon expected to decide soon  some say may not pull out,normal
XOM,Exxon Mobil Corporation,20121220,China the frontrunner to buy Exxon out of Iraq oil ,* Exxon expected to decide soon  some say may not pull out,normal
FCX,Freeport-McMoran Inc,20121220,RLPC: Freeport's $12.5B acq. deal sees pushback ,NEW YORK  Dec 20 A $12.5 billion loan package slated to back Freeport-McMoran Inc's acquisition of Plains Exploration & Production Co and McMoran Exploration Co is facing significant pushback  sources told Thomson Reuters LPC.,topStory
GM,General Motors Company,20121220,Opel wins funding by selling European facilities to GM: report ,BERLIN General Motors Co's  loss-making Opel division agreed to sell six European facilities to its U.S. parent in return for winning extended funding  according to Frankfurter Allgemeine Zeitung.,topStory
GM,General Motors Company,20121220,Opel wins funding by selling European facilities to GM -report ,BERLIN  Dec 20 General Motors Co's  loss-making Opel division agreed to sell six European facilities to its U.S. parent in return for winning extended funding  according to Frankfurter Allgemeine Zeitung.,normal
GM,General Motors Company,20121220,GM-Peugeot drop car plan from re-jigged alliance ,PARIS General Motors  and PSA Peugeot Citroen   daunted by likely political roadblocks  scrapped plans for a joint mid-size car program within their nascent alliance while adding engine cooperation.,normal
GM,General Motors Company,20121220,GM recalls 145 628 mid-sized pickups for hood latch issue ,General Motors Co said on Thursday it is recalling 145 628 mid-sized pickup trucks globally as the hood could open unexpectedly due to a possible missing latch.,normal
GM,General Motors Company,20121220,UPDATE 3-GM-Peugeot drop car plan from re-jigged alliance ,PARIS  Dec 20 General Motors and PSA Peugeot Citroen  daunted by likely political roadblocks  scrapped plans for a joint mid-size car programme within their nascent alliance while adding engine cooperation.,normal
GM,General Motors Company,20121220,GM recalls 145 628 mid-sized pickups for hood latch issue ,Dec 20 General Motors Co said on Thursday it is recalling 145 628 mid-sized pickup trucks globally as the hood could open unexpectedly due to a possible missing latch.,normal
GM,General Motors Company,20121220,PRESS DIGEST - Financial Times - Dec 20 ,UBS agreed to pay a record $1.5 billion to U.S.  UK and Swiss regulators to settle allegations of "pervasive" and "epic" efforts to manipulate interbank lending rates.,normal
GSK,GlaxoSmithKline PLC,20121220,TEXT-S&P revises Prestige Brands outlook to stable from negative ,Overview      -- Prestige Brands' pro forma financial ratios have improved as the  company has increased operating income and applied free cash flow to debt  reduction following its acquisition of GlaxoSmithKline's (GSK) North American  over-the-counter (OTC) brands in early 2012.      -- We are affirming all ratings  including the 'B+' corporate credit  rating  and revising the outlook to stable from negative.      -- The outlook is stable  which reflects our expectation that recent pro  forma ,topStory
GBX,Greenbrier Companies Inc (The),20121220,American Railcar sweetens offer for Greenbrier ,American Railcar Industries Inc   controlled by activist investor Carl Icahn  said it was willing to raise its offer for Greenbrier Cos Inc  after being snubbed by the smaller railcar maker.,topStory
GBX,Greenbrier Companies Inc (The),20121220,REFILE-UPDATE 4-American Railcar sweetens offer for Greenbrier ,* American Railcar's previous offer was for $20/share  or $543 mln,normal
HMY,Harmony Gold Mining Company Limited,20121220,Police disperse protesters at South Africa Harmony Gold mine ,JOHANNESBURG South African police firing rubber bullets dispersed protesting workers at a mine run by Harmony Gold west of Johannesburg on Thursday  in the latest flare-up of labor unrest in the troubled mining sector.,topStory
HMY,Harmony Gold Mining Company Limited,20121220,UPDATE 1-Police disperse protesters at S.Africa Harmony Gold mine ,* Five injured in mine protest  as ANC conference winds up   (Adds background  details),normal
HMY,Harmony Gold Mining Company Limited,20121220,Police  security disperse protesters at S.Africa Harmony Gold mine ,JOHANNESBURG  Dec 20 Police and mine security firing rubber bullets dispersed protesting workers at a mine run by Harmony Gold west of Johannesburg on Thursday  in the latest flare-up of labour unrest in the sector.,normal
HDB,HDFC Bank Limited,20121220,TEXT-S&P summary: HDFC Bank Ltd. ,(The following statement was released by the rating agency),topStory
HLF,Herbalife LTD,20121220,Pershing Square's Ackman escalates fight with Herbalife ,Activist investor Bill Ackman ramped up his campaign against Herbalife Ltd on Thursday with a three-hour presentation in which he called the weight management products company an unsustainable "pyramid scheme.",topStory
HLF,Herbalife LTD,20121220,UPDATE 4-Pershing Square's Ackman escalates fight with Herbalife ,* Stock falls 10 percent  extending previous day's drop   (Adds latest Herbalife statement),normal
HLF,Herbalife LTD,20121220,Herbalife - Ackman analysis full of "misstatements and mistakes" ,NEW YORK Nutrition company Herbalife Ltd on Thursday dismissed Pershing Square Capital Management's criticism of its business saying the hedge fund presentation to a conference was riddled with "misstatements and mistakes " according to a press release.,normal
HLF,Herbalife LTD,20121220,Herbalife - Ackman analysis full of 'misstatements and mistakes' ,NEW YORK  Dec 20 Nutrition company Herbalife Ltd  on Thursday dismissed Pershing Square Capital Management's criticism of its business saying the hedge fund presentation to a conference was riddled with "misstatements and mistakes " according to a press release.,normal
HLF,Herbalife LTD,20121220,BRIEF-Herbalife shares down 8.7 percent ,NEW YORK  Dec 20 Herbalife Ltd :  * Shares hit session lows  down 8.7 percent,normal
HLF,Herbalife LTD,20121220,BRIEF-Herbalife shares down nearly 8 percent in early trade ,NEW YORK  Dec 20 Herbalife Ltd :  * Shares down nearly 8 percent at $34.52 in early trade,normal
HLF,Herbalife LTD,20121220,BRIEF-Herbalife falls 1 percent in premarket trading ,NEW YORK  Dec 20 Herbalife Ltd :  * Shares fall 1 percent in premarket trading,normal
HLF,Herbalife LTD,20121220,Pershing Square's Ackman shorts Herbalife; stock skids ,Activist investor William Ackman confirmed on Wednesday that he is betting against the stock of Herbalife Ltd  in a move that sent shares of the weight management product company reeling and sparked a caustic rebuke from its chief executive officer.,normal
HLF,Herbalife LTD,20121220,Herbalife CEO dismisses idea his company is a pyramid scheme ,NEW YORK The CEO of Herbalife  a company that sells weight management products  on Wednesday criticized a hedge fund manager who is shorting the company's stock based on the belief that it is a pyramid scheme  calling that idea "bogus.",normal
HMC,Honda Motor Company Ltd,20121220,THAILAND PRESS-Honda  10 other companies get post-flood financial support - The Nation ,NOTE: Reuters has not verified these stories and does not vouch for their accuracy.     (Bangkok Newsroom),topStory
HSBC,HSBC Holdings plc,20121220,Sumitomo Life to buy HSBC's stake in Vietnam insurer ,TOKYO Sumitomo Life Insurance Co  said on Thursday it is buying HSBC Holding's   18 percent stake in Vietnamese insurer Baoviet Holdings  for about $340 million  the latest Japanese acquisition in Southeast Asia.,topStory
HSBC,HSBC Holdings plc,20121220,UPDATE 1-Sumitomo Life to buy HSBC's stake in Vietnam insurer ,* Another Japanese investment in Vietnam's financial sector,normal
HSBC,HSBC Holdings plc,20121220,Sumitomo Life to buy HSBC's 18 pct stake in Vietnam insurer for $340 mln ,TOKYO  Dec 20 Sumitomo Life Insurance Co  said on Thursday it is buying HSBC Holding's   18 percent stake in Vietnamese insurer Baoviet Holdings for about $340 million  the latest in a spate of acquisitions by Japanese financial firms in Southeast Asia.,normal
HSBC,HSBC Holdings plc,20121220,BRIEF-HSBC unit to sell stake in Bao Viet Holdings to sumitomo Life Insurance for about $340 mln ,LONDON  Dec 20 HSBC Holdings PLC :  * HSBC to sell shareholding in bao viet holdings  * Unit to sell its entire 18% shareholding in bao viet holdings to sumitomo,normal
HSBC,HSBC Holdings plc,20121220,Hong Kong shares close up 0.2 pct  HSBC  StanChart strong ,HONG KONG  Dec 20 Hong Kong shares clung to 17-month highs on Thursday  as strength in HSBC Holdings and Standard Chartered outweighed weakness in Chinese banks as investors rotated out of recent outperformers.,normal
HSEA,HSBC Holdings plc,20121220,Sumitomo Life to buy HSBC's stake in Vietnam insurer ,TOKYO Sumitomo Life Insurance Co  said on Thursday it is buying HSBC Holding's   18 percent stake in Vietnamese insurer Baoviet Holdings  for about $340 million  the latest Japanese acquisition in Southeast Asia.,topStory
HSEA,HSBC Holdings plc,20121220,UPDATE 1-Sumitomo Life to buy HSBC's stake in Vietnam insurer ,* Another Japanese investment in Vietnam's financial sector,normal
HSEA,HSBC Holdings plc,20121220,Sumitomo Life to buy HSBC's 18 pct stake in Vietnam insurer for $340 mln ,TOKYO  Dec 20 Sumitomo Life Insurance Co  said on Thursday it is buying HSBC Holding's   18 percent stake in Vietnamese insurer Baoviet Holdings for about $340 million  the latest in a spate of acquisitions by Japanese financial firms in Southeast Asia.,normal
HSEA,HSBC Holdings plc,20121220,BRIEF-HSBC unit to sell stake in Bao Viet Holdings to sumitomo Life Insurance for about $340 mln ,LONDON  Dec 20 HSBC Holdings PLC :  * HSBC to sell shareholding in bao viet holdings  * Unit to sell its entire 18% shareholding in bao viet holdings to sumitomo,normal
HSEA,HSBC Holdings plc,20121220,Hong Kong shares close up 0.2 pct  HSBC  StanChart strong ,HONG KONG  Dec 20 Hong Kong shares clung to 17-month highs on Thursday  as strength in HSBC Holdings and Standard Chartered outweighed weakness in Chinese banks as investors rotated out of recent outperformers.,normal
HSEB,HSBC Holdings plc,20121220,Sumitomo Life to buy HSBC's stake in Vietnam insurer ,TOKYO Sumitomo Life Insurance Co  said on Thursday it is buying HSBC Holding's   18 percent stake in Vietnamese insurer Baoviet Holdings  for about $340 million  the latest Japanese acquisition in Southeast Asia.,topStory
HSEB,HSBC Holdings plc,20121220,UPDATE 1-Sumitomo Life to buy HSBC's stake in Vietnam insurer ,* Another Japanese investment in Vietnam's financial sector,normal
HSEB,HSBC Holdings plc,20121220,Sumitomo Life to buy HSBC's 18 pct stake in Vietnam insurer for $340 mln ,TOKYO  Dec 20 Sumitomo Life Insurance Co  said on Thursday it is buying HSBC Holding's   18 percent stake in Vietnamese insurer Baoviet Holdings for about $340 million  the latest in a spate of acquisitions by Japanese financial firms in Southeast Asia.,normal
HSEB,HSBC Holdings plc,20121220,BRIEF-HSBC unit to sell stake in Bao Viet Holdings to sumitomo Life Insurance for about $340 mln ,LONDON  Dec 20 HSBC Holdings PLC :  * HSBC to sell shareholding in bao viet holdings  * Unit to sell its entire 18% shareholding in bao viet holdings to sumitomo,normal
HSEB,HSBC Holdings plc,20121220,Hong Kong shares close up 0.2 pct  HSBC  StanChart strong ,HONG KONG  Dec 20 Hong Kong shares clung to 17-month highs on Thursday  as strength in HSBC Holdings and Standard Chartered outweighed weakness in Chinese banks as investors rotated out of recent outperformers.,normal
ICE,Intercontinental Exchange Inc,20121220,UPDATE 4-ICE to buy NYSE Euronext for $8.2 bln ,Dec 20 In October  Jeff Sprecher  chief executive of upstart IntercontinentalExchange  approached NYSE Euronext CEO Duncan Niederauer with a modest proposal to team up on clearing trades in London.,topStory
ICE,Intercontinental Exchange Inc,20121220,US STOCKS-Wall St bounces back on hope for 'cliff' solution ,* Stocks rise after Boehner speaks on "fiscal cliff" talks,normal
ICE,Intercontinental Exchange Inc,20121220,Timeline: Growth of the IntercontinentalExchange ,NEW YORK IntercontinentalExchange Inc on Thursday said it would buy New York Stock Exchange owner NYSE Euronext for $8.2 billion.,normal
ICE,Intercontinental Exchange Inc,20121220,TIMELINE-Growth of the IntercontinentalExchange ,NEW YORK  Dec 20 IntercontinentalExchange Inc  on Thursday said it would buy New York Stock Exchange owner NYSE Euronext for $8.2 billion.      Atlanta-based ICE operates four regulated futures exchanges  two over-the-counter markets and five clearing houses globally.      Its growth from an small energy exchange since the early 2000s has been influential in the evolution of the derivatives markets since then  paralleling the rise of commodities as a mainstream asset class  the conso,normal
ICE,Intercontinental Exchange Inc,20121220,US STOCKS-Wall St advances on 'fiscal cliff' talks ,NEW YORK  Dec 20 U.S. stocks edged up in a thinly traded session on Thursday after Republican House Speaker John Boehner pledged to keep working on a solution to the "fiscal cliff" while still criticizing President Barack Obama's approach to budget talks.,normal
ICE,Intercontinental Exchange Inc,20121220,US STOCKS-Wall Street flat amid stalemate in fiscal talks ,* Third-quarter GDP tops expectations; market barely reacts,normal
ICE,Intercontinental Exchange Inc,20121220,GLOBAL MARKETS-Shares flat as tensions rise in US budget talks ,* IntercontinentalExchange buys NYSE Euronext for $8 billion,normal
ICE,Intercontinental Exchange Inc,20121220,US STOCKS-Wall Street flat amid stalemate in fiscal talks ,* Third-quarter GDP tops expectations; market barely reacts,normal
ICE,Intercontinental Exchange Inc,20121220,ICE CEO says proposal to buy NYSE "well received" by regulators ,IntercontinentalExchange Inc's $8.2 billion proposal to acquire NYSE Euronext has been "well received" by regulators  ICE Chief Executive Jeffrey Sprecher said on Thursday.,normal
ICE,Intercontinental Exchange Inc,20121220,ICE CEO says proposal to buy NYSE 'well received' by regulators ,Dec 20 IntercontinentalExchange Inc's  $8.2 billion proposal to acquire NYSE Euronext has been "well received" by  regulators  ICE Chief Executive Jeffrey Sprecher said on Thursday.,normal
IBM,International Business Machines Corporation,20121220,The Unequal State of America: Indiana's rocky road to welfare reform ,INDIANAPOLIS Indiana's bold effort to remake welfare got off to a shaky start.,topStory
JPM,J P Morgan Chase & Co,20121220,JPMorgan Chase buys Silicon Valley firm to expand card marketing ,NEW YORK JPMorgan Chase & Co   one of the biggest card issuers and transaction processors  said it has bought Silicon Valley firm Bloomspot Inc to expand its consumer marketing programs for merchants.,topStory
JPM,J P Morgan Chase & Co,20121220,JPMorgan Chase buys Silicon Valley firm to expand card marketing ,NEW YORK  Dec 20 JPMorgan Chase & Co  one of the biggest card issuers and transaction processors  said it has bought Silicon Valley firm Bloomspot Inc to expand its consumer marketing programs for merchants.,normal
JPM,J P Morgan Chase & Co,20121220,JPMorgan names CUNY chancellor new funds chairman ,Dec 20 The board overseeing mutual funds run by JPMorgan Chase & Co has elected as its new chairman Matthew Goldstein  chancellor of the City University of New York.,normal
JCI,Johnson Controls International plc,20121220,Johnson Controls sees cost savings in Europe boosting FY profit ,Johnson Controls Inc   the largest U.S. auto parts supplier  forecast a higher-than-expected profit for the fiscal year ending September 2013  banking on its ongoing restructuring and plans for a steep cut in the supplier base for its car seating business in Europe.,topStory
KBH,KB Home,20121220,Higher costs keep KB Home from benefits of housing recovery ,KB Home  reported a 20 percent rise in quarterly revenue as selling prices rose  but higher costs prevented the fifth-largest U.S. homebuilder from taking full advantage of a recovering housing market.,topStory
KBH,KB Home,20121220,UPDATE 4-Higher costs keep KB Home from benefits of housing recovery ,Dec 20 KB Home reported a 20 percent rise in quarterly revenue as selling prices rose  but higher costs prevented the fifth-largest U.S. homebuilder from taking full advantage of a recovering housing market.,normal
KBH,KB Home,20121220,KB Home 4th-qtr revenue jumps  orders rise ,Dec 20 KB Home  the fifth-largest U.S. homebuilder  reported a rise in quarterly revenue as selling prices rose and orders jumped for the third straight quarter.,normal
KKR,KKR & Co LP,20121220,KKR joins private equity charge in U.S. water ,Private equity firm KKR & Co LP on Thursday kicked off a joint venture with Suez Environment to run the water and wastewater systems of a New Jersey city it hopes will become a model for cash-strapped local authorities in the United States.,topStory
KKR,KKR & Co LP,20121220,KKR joins private equity charge in U.S. water ,* Commits an additional $157 mln over a 30-year concession,normal
LMT,Lockheed Martin Corporation,20121220,Lockheed satellite deal unlikely before year-end: USAF ,WASHINGTON The U.S. Air Force is unlikely to reach an agreement with Lockheed Martin Corp  before the end of the year on a multibillion-dollar purchase of new military communications satellites  a top Air Force acquisition official said.,topStory
LMT,Lockheed Martin Corporation,20121220,UPDATE 2-Lockheed satellite deal unlikely before year-end -USAF ,WASHINGTON  Dec 20 The U.S. Air Force is unlikely to reach an agreement with Lockheed Martin Corp  before the end of the year on a multibillion-dollar purchase of new military communications satellites  a top Air Force acquisition official said.,normal
LMT,Lockheed Martin Corporation,20121220,Lockheed satellite deal unlikely before year-end - US Air Force ,WASHINGTON  Dec 20 The U.S. Air Force is unlikely to reach an agreement with Lockheed Martin Corp  before the end of the year about a multibillion dollar purchase of new military communications satellites  a top Air Force acquisition official said.,normal
MA,Mastercard Incorporated,20121220,Canada spending growth sluggish in November  Mastercard says ,Dec 20 Canada's holiday shopping season got off to a slow start in November with retail sales rising only 1.3 percent from the previous year  compared with 4.2 percent growth a year earlier  according to data released by MasterCard on Thursday.,topStory
MCD,McDonald&#39;s Corporation,20121220,CORRECTED-China closes 2 suppliers for KFC  McDonald's in safety probe - media ,(Corrects spelling of McDonald's in headline and body of story),topStory
MRK,Merck & Company Inc,20121220,Merck cholesterol drug fails; risks seen ,A major trial of Merck & Co Inc's Tredaptive medicine to increase "good" HDL cholesterol has raised safety concerns and showed it was no better at preventing heart attacks  deaths or strokes than traditional statin drugs that lower "bad" LDL cholesterol  the company said on Thursday.,topStory
MRK,Merck & Company Inc,20121220,UPDATE 3-Merck cholesterol drug fails; risks seen ,* Says it will not seek U.S. approval of high-profile drug,normal
MRK,Merck & Company Inc,20121220,Merck drug under review in EU after trial failure ,LONDON The future of Merck & Co's cholesterol drug Tredaptive is under review in Europe - where it is already approved - following the failure of the medicine in a key study  the region's regulator said on Thursday.,normal
MRK,Merck & Company Inc,20121220,Merck drug under review in EU after trial failure ,LONDON  Dec 20 The future of Merck & Co's  cholesterol drug Tredaptive is under review in Europe - where it is already approved - following the failure of the medicine in a key study  the region's regulator said on Thursday.,normal
MRK,Merck & Company Inc,20121220,Merck says cholesterol drug study failed ,Dec 20 Merck & Co Inc said on Thursday a major trial of its Tredaptive medicine to raise "good" HDL cholesterol showed it did not do a better job at preventing heart attacks  deaths or strokes than traditional statin drugs that lower "bad" LDL cholesterol.,normal
MGM,MGM Resorts International,20121220,TEXT-Fitch updates recovery analyses for U.S. gaming operators ,Dec 20 - Fitch Ratings has published updated recovery analyses for the following U.S. gaming operators:  --Caesars Entertainment Operating Co. (including Chester Downs and Marina LLC) --MGM Resorts International  --CityCenter Holdings  LLC --Boyd Gaming Corporation  --Marina District Finance Company  Inc (Borgata) --Peninsula Gaming  LLC (Newly assigned IDR and Security Specific Ratings) --Pinnacle Entertainment  Inc.   The analyses take into account proposed refinancing transactions announced b,topStory
MHK,Mohawk Industries Inc,20121220,Mohawk Industries to buy Italy's Marazzi Group for $1.5 billion ,Mohawk Industries Inc   a U.S. ceramic tile maker  will buy Italian ceramics manufacturer Marazzi Group for about $1.5 billion to boost its position in the United States  Russia and Europe.,topStory
MHK,Mohawk Industries Inc,20121220,UPDATE 1-Mohawk Industries to buy Italy's Marazzi Group for $1.5 bln ,Dec 20 Mohawk Industries Inc  a U.S. ceramic tile maker  will buy Italian ceramics manufacturer Marazzi Group for about $1.5 billion to boost its position in the United States  Russia and Europe.,normal
MHK,Mohawk Industries Inc,20121220,Mohawk Industries to buy Italy's Marazzi for $1.5 bln ,Dec 20 Mohawk Industries Inc  a U.S. ceramic tile maker  said it would buy Italy's Marazzi Group for about $1.5 billion to boost its position in the United States  Russia and Europe.,normal
MCO,Moody&#39;s Corporation,20121220,Moody's affirms Swiss Re's ratings (Senior A1); outlook remains positive ,Swiss Reinsurance Company Ltd (Swiss Re)     ,topStory
MCO,Moody&#39;s Corporation,20121220,Moody's assigns B2/NP/E+ to UT-Bank; stable outlook ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121220,Moody's downgrades MDM Bank's BFSR to D-; deposit ratings to Ba3; negative outlook ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121220,Moody's withdraws ratings of Ausgrid  Endeavour Energy and Essential Energy ,For the full text of this story please click the following link:,normal
MS,Morgan Stanley,20121220,ON THE MOVE-Washington Wealth lands Morgan Stanley manager ,Dec 20 Washington Wealth Management LLC  an independent advisory firm that has expanded by luring brokers away from top U.S. brokerages  said on Thursday it had hired a veteran manager from Morgan Stanley Wealth Management.,topStory
