ADTN,ADTRAN Inc,20121003,Adtran sees fourth-quarter sales down from third quarter ,Network gear maker Adtran Inc  said typical seasonality and a weak spending environment may lead to a fall in fourth-quarter revenue  sending its shares down 8 percent to their lowest in three and a half years.,topStory
GS,Goldman Sachs Group Inc (The),20121003,Amerigroup delays WellPoint deal vote by two weeks ,Oct 2 Amerigroup Corp said it has delayed a stockholder approval vote on the $4.5 billion sale of the health insurer to WellPoint Inc by two weeks after shareholders sued Amerigroup's board.,normal
GTN,Gray Television Inc,20121003,Me and My Money: Macy Gray ,CHICAGO Ask Macy Gray about her net worth  and the Grammy-winning R&B singer and songwriter is not sure - though she is perfectly willing to help out with a little online research. She stops the interview to trawl celebritynetworth.com  where she plugs her name into a search engine and pulls up a number. A very large number.,topStory
GTN,Gray Television Inc,20121003,Me and My Money-Macy Gray ,CHICAGO  Oct 3 Ask Macy Gray about her net worth  and the Grammy-winning R&B singer and songwriter is not sure - though she is perfectly willing to help out with a little online research. She stops the interview to trawl celebritynetworth.com  where she plugs her name into a search engine and pulls up a number. A very large number.,normal
HBI,Hanesbrands Inc,20121003,BRIEF-Hanesbrands shares rise premarket ,NEW YORK  Oct 3 Hanesbrands Inc :  * Shares rise 1.9 percent premarket; affirms 2012 outlook,topStory
HMY,Harmony Gold Mining Company Limited,20121003,Harmony Gold: Workers at South Africa mine on illegal strike ,JOHANNESBURG Workers at Harmony Gold's Kusasalethu mine near Johannesburg have downed tools in the latest illegal strike to hit South Africa's mining sector  the company said on Wednesday.,topStory
HMY,Harmony Gold Mining Company Limited,20121003,Harmony Gold: Workers at S.Africa mine on illegal strike ,JOHANNESBURG  Oct 3 Workers at Harmony Gold's  Kusasalethu mine near Johannesburg have downed tools in the latest illegal strike to hit South Africa's mining sector  the company said on Wednesday.   (Reporting by Ed Stoddard and Sherilee Lakmidas),normal
HMY,Harmony Gold Mining Company Limited,20121003,BRIEF-Harmony Gold Mining shares fall in New York ,NEW YORK  Oct 3 Harmony Gold Mining Company Ltd  :  * Harmony gold mining  shares fall 2 percent in New York,normal
HES,Hess Corporation,20121003,UPDATE 1-Hess' Port Reading propane truck leak stopped ,NEW YORK  Oct 3 The leak in a truck loading propane at Hess Corp's 70 000 barrel per day refinery in Port Reading  New Jersey  has been stopped  and emergency responders are demobilizing  a company spokesman said on Wednesday.,topStory
HPQ,HP Inc,20121003,HP's outlook disappoints  driving shares to 9-year low ,SAN FRANCISCO Hewlett-Packard Co's shares plunged to a nine-year low on Wednesday after Chief Executive Meg Whitman warned of an unexpectedly steep earnings slide in 2013  with revenue set to fall in every business division except software. | Video ,topStory
HPQ,HP Inc,20121003,UPDATE 5-HP's outlook disappoints  driving shares to 9-year low ,* Promises visible recovery only beginning in fiscal 2014,normal
HPQ,HP Inc,20121003,HP expects enterprise services revenue to fall in 2013 ,Hewlett-Packard Co forecast revenue at its enterprise services unit to fall between 11 percent and 13 percent in 2013. | Video ,normal
HPQ,HP Inc,20121003,US STOCKS-Wall St stays afloat on firm data but HP drags ,* Hewlett-Packard shares hit 9-year low after 2013 forecast,normal
HPQ,HP Inc,20121003,US STOCKS SNAPSHOT-Wall Street ends up slightly on data; HP drags ,NEW YORK  Oct 3 Wall Street ended modestly higher on Wednesday on stronger-than-expected U.S. labor and service sector data  but the Dow industrials were hobbled by a slide in Hewlett-Packard.,normal
HPQ,HP Inc,20121003,US STOCKS-Wall St retreats from session highs  HP weighs ,* Hewlett-Packard shares hit 9-year low after 2013 forecast,normal
HPQ,HP Inc,20121003,CORRECTED-UPDATE 1-HP's 2013 outlook falls flat  shares near 9-year low ,(In first sentence  day corrected to Wednesday  not Thursday),normal
HPQ,HP Inc,20121003,HP's Whitman blames management turnover for slow progress ,SAN FRANCISCO  Oct 3 Hewlett-Packard  Chief Executive Meg Whitman on Wednesday blamed unprecedented executive turnover in past years for dragging out the turnaround of the sprawling Silicon Valley computing giant.,normal
HPQ,HP Inc,20121003,HP's profitable printers to buy Whitman time ,SAN FRANCISCO Meg Whitman has a laundry list of things to do at HP: Arrest a rapid decline in its personal computer unit  compete better on enterprise services  and figure out a strategy as mobile devices eat into personal computer sales.,normal
JPM,J P Morgan Chase & Co,20121003,JPMorgan names Simon Page head of SEA debt team ,SINGAPORE JPMorgan  has named Simon Page as head of a newly formed Southeast Asia debt capital markets team and plans to add more debt bankers in Singapore to capitalize on a boom in bond issuance.,topStory
JPM,J P Morgan Chase & Co,20121003,JPMorgan names Simon Page head of SEA debt team ,SINGAPORE  Oct 4 JPMorgan has named Simon Page as head of a newly formed Southeast Asia debt capital markets team and plans to add more debt bankers in Singapore to capitalise on a boom in bond issuance.,normal
JPM,J P Morgan Chase & Co,20121003,Analysis: New York suit against JPMorgan makes a ripple  not a splash ,WASHINGTON New York state's lawsuit against JPMorgan Chase & Co alleging fraud in mortgage-backed securities sold by Bear Stearns may be one of the broadest cases to come out of the financial crisis  but its impact is likely to be limited. The biggest beneficiaries may be investors who have taken out private lawsuits against the bank.,normal
LMT,Lockheed Martin Corporation,20121003,US  Lockheed talks for more F-35s move to senior level: sources ,WASHINGTON Talks between the Pentagon and Lockheed Martin Corp  about a fifth order of F-35 fighter planes have been elevated to a senior level as the two sides debate the last $100-million-plus dividing them  according to multiple sources familiar with the discussions.,topStory
LXFR,Luxfer Holdings PLC,20121003,Luxfer Holdings rises in market debut ,Oct 3 American Depository Shares of Luxfer Holdings Plc  a British maker of high-performance materials and gas cylinders  rose 17 percent in their market debut  a day after the company priced its initial public offering below its expected price range.,topStory
MRK,Merck & Company Inc,20121003,Merck's once-a-week diabetes drug effective in clinical study ,An experimental once-a-week drug for type 2 diabetes being developed by Merck & Co proved effective in lowering blood sugar levels in a mid-stage clinical trial  according to data presented on Wednesday.,topStory
MRK,Merck & Company Inc,20121003,Merck's once-a-week diabetes drug effective in clinical study ,* Merck says begins Phase III MK-3102 program with 25 mg dose,normal
MON,Monsanto Company,20121003,Monsanto posts quarterly loss as corn seed sales fall ,Monsanto Co  posted a bigger quarterly loss for a typically weak quarter on Wednesday  and the global agribusiness group offered a conservative outlook for its new fiscal year.,topStory
MON,Monsanto Company,20121003,UPDATE 3-Monsanto outlook  quarterly loss knock shares ,Oct 3 Monsanto Co offered a conservative outlook for its new fiscal year on Wednesday as it posted a bigger quarterly loss for a typically weak quarter  disappointing investors.,normal
MON,Monsanto Company,20121003,Monsanto sees US 2013 corn acres steady at 96 mln acres ,By Carey Gillam     Oct 3 Monsanto Co.  the world's largest seed company  said Wednesday that U.S. corn and soybean plantings in 2013 are likely to be similar to what was seen this year  though soybean acres may climb.     As the company starts selling its seed products for the spring planting season  Monsanto President Brett Begemann said the company was planning for about 96 million acres of corn planted in the United States in 2013  and 76 million or more in soybean acres.      "A,normal
MON,Monsanto Company,20121003,UPDATE 1-Monsanto posts 4th-qtr loss as corn seeds sales slip ,Oct 3 Global agribusiness group Monsanto Co  posted a fourth-quarter loss on Wednesday  as expected  amid a seasonally sluggish sales period  and offered a conservative outlook for the new year.,normal
MON,Monsanto Company,20121003,Monsanto posts 4th quarter loss  as corn seed sales down ,Oct 3 Global agribusiness group Monsanto Co  posted a fourth-quarter loss on Wednesday  as expected  amid a seasonally sluggish sales period.,normal
MON,Monsanto Company,20121003,BRIEF-Monsanto shares down in premarket trade ,NEW YORK  Oct 3 Monsanto Co :  * Shares down 3.8 percent in premarket trade,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF-Moody's assigns Aaa.bo to Banco Solidario's senior debt issuances ,Oct 4 Moody's assigns Aaa.bo to Banco Solidario's senior debt issuances,topStory
MCO,Moody&#39;s Corporation,20121003,BRIEF-Correction: Moody's assigns Aa2 rating to Atlantic County's (NJ) $9.5 million general obligation bonds  2012 ,Oct 4 Correction to Headline and Text  July 19  2012 Release: Moody's assigns Aa2 rating to Atlantic County's (NJ) $9.5 million general obligation bonds  2012,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF-Moody's assigns Aa3.bo to Banco Eco Futuro's senior debt issuances ,Oct 4 Moody's assigns Aa3.bo to Banco Eco Futuro's senior debt issuances,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF-Moody's changes the outlook to negative of the branches of Banco de la Nación Argentina in Bolivia and Uruguay ,Oct 4 Moody's changes the outlook to negative of the branches of Banco de la Nación Argentina in Bolivia and Uruguay,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF-Moody's takes action on $5 million of Subprime RMBS issued by Salomon Home Equity Loan Trust  Series 2002-WMC1 ,Oct 4 Moody's takes action on $5 million of Subprime RMBS issued by Salomon Home Equity Loan Trust  Series 2002-WMC1,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF-Moody's assigns Aa1 rating to University System of Maryland's $174 million of 2012 Series C and D Auxiliary Facility and Tuition Revenue Bonds and affirms Aa1 rating on outstanding debt; outlook is stable ,Oct 4 Moody's assigns Aa1 rating to University System of Maryland's $174 million of 2012 Series C and D Auxiliary Facility and Tuition Revenue Bonds and affirms Aa1 rating on outstanding debt; outlook is stable,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF - Moody's cuts 2 South African development institutions to Baa1 ,Oct 3 Moody's cuts two South African development institutions to Baa1; outlook negative    (Caryn Trokie  New York Ratings Unit),normal
MCO,Moody&#39;s Corporation,20121003,BRIEF - Moody's says industry outlook for Brazilian insurers remains stable ,Oct 3 Moody's says industry outlook for Brazilian insurers remains stable   (Caryn Trokie  New York Ratings Unit),normal
MCO,Moody&#39;s Corporation,20121003,BRIEF-Moody's puts Guardian Industries ratings on review for downgrade ,Oct 3 Guardian Industries Corp:  * Moody's places guardian industries' ratings under review for a possible,normal
MCO,Moody&#39;s Corporation,20121003,BRIEF - Moody's says Slovenia's banking system outlook remains negative ,Oct 3 Moody's says Slovenia's banking system outlook remains negative   (Caryn Trokie  New York Ratings Unit),normal
MS,Morgan Stanley,20121003,In North Dakota  hard to tell an oil millionaire from regular Joe ,STANLEY  North Dakota The retired men shooting the breeze at Joyce's Cafe in Stanley don't look like oil barons but appearances can be deceptive  especially in North Dakota.,topStory
MS,Morgan Stanley,20121003,FEATURE-In North Dakota  hard to tell an oil millionaire from regular Joe ,STANLEY  N.D.  Oct 3 The retired men shooting the breeze at Joyce's Cafe in Stanley don't look like oil barons but appearances can be deceptive  especially in North Dakota.,normal
MS,Morgan Stanley,20121003,ON THE MOVE-Janney hires Morgan Stanley broker team  SE manager ,Oct 3 Janney Montgomery Scott LLC has landed a veteran team of brokers from Morgan Stanley Wealth Management and hired a new director in the U.S. Southeast as the brokerage looks to expand its adviser footprint in the region.,normal
MUR,Murphy Oil Corporation,20121003,Third Point's Loeb targets Murphy Oil  shares rise ,NEW YORK/SAN FRANCISCO Shares of Murphy Oil Corp  rose more than 4 percent on Wednesday after hedge fund manager and veteran corporate agitator Daniel Loeb told investors in his Third Point fund that shares of the oil and gas company could be 60 percent higher.,topStory
NGG,National Grid Transco PLC,20121003,BRIEF-National Grid and LIPA agree new long-term supply deal ,LONDON  Oct 3 National Grid PLC :  * National Grid and Long Island Power Authority announce new long-term power,topStory
NYT,New York Times Company (The),20121003,PRESS DIGEST-New York Times business news - Oct 3 ,Oct 3 The following are the top stories on the New York Times business pages on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NEM,Newmont Mining Corporation,20121003,Newmont trims staff at Indonesian copper mine ,JAKARTA  Oct 3 Newmont Mining Corp  the world's no.2 gold miner  plans to lay off 100 people from a workforce of 4 000 at its giant Indonesian copper and gold mine  to reduce operating costs at a time of low output  it said in a statement on Wednesday.,topStory
OCN,Ocwen Financial Corporation,20121003,Ocwen to buy Homeward Residential from WL Ross for $750 million ,Ocwen Financial Corp  strengthened its hold on the residential mortgage servicing market with a $750 million deal to buy Residential Holdings Inc from private equity firm WL Ross & Co.,topStory
OCN,Ocwen Financial Corporation,20121003,Ocwen to buy Homeward Residential from WL Ross for $750 million ,Loan servicer Ocwen Financial Corp  will buy Homeward Residential Holdings Inc from private equity firm WL Ross & Co LLC for about $750 million to strengthen its hold on the residential mortgage servicing market.,normal
OCN,Ocwen Financial Corporation,20121003,Ocwen to buy Homeward Residential from WL Ross for $750 mln ,Oct 3 Loan servicer Ocwen Financial Corp  will buy Homeward Residential Holdings Inc from private equity firm WL Ross & Co LLC in a deal valued at about $750 million.,normal
PANW,Palo Alto Networks Inc,20121003,Citrix  Palo Alto Networks strike strategic partnership ,Business software maker Citrix Systems and security software company Palo Alto Networks have entered a strategic partnership to offer joint application delivery and security products.,topStory
PANW,Palo Alto Networks Inc,20121003,Citrix  Palo Alto Networks strike strategic partnership ,Oct 3 Business software maker Citrix Systems  and security software company Palo Alto Networks  have entered a strategic partnership to offer joint application delivery and security products.,normal
PSO,Pearson Plc,20121003,PRESS DIGEST - Financial Times - Oct 4 ,The government on Wednesday suspended three civil servants as it investigates what went wrong with the West Coast rail franchise contest.,topStory
PSO,Pearson Plc,20121003,Pearson CEO Scardino's departure could lead to FT sale ,LONDON Pearson Chief Executive Marjorie Scardino is to step down after 16 years  departing earlier than expected in a move that could clear the way for the global education and media group to sell the Financial Times newspaper.,normal
PSO,Pearson Plc,20121003,UPDATE 3-Pearson CEO Scardino's departure could lead to FT sale ,LONDON  Oct 3 Pearson Chief Executive Marjorie Scardino is to step down after 16 years  departing earlier than expected in a move that could clear the way for the global education and media group to sell the Financial Times newspaper.,normal
PSO,Pearson Plc,20121003,BRIEF-Pearson says CEO change does not signal new strategy ,LONDON  Oct 3 Pearson PLC :  * Incoming CEO says ft group is a part of the business I value  * CEO says parts of US education are turning around  * CEO says US education looking good for US  * Chairman says CEO change does not signal a change in strategy,normal
PSO,Pearson Plc,20121003,Pearson CEO Scardino to step down after 16 years ,LONDON  Oct 3 Marjorie Scardino  the chief executive of publishing group Pearson  is to step down at the end of the year after 16 years in the job  bringing to an end a period of transformational change for the group.,normal
PBI,Pitney Bowes Inc,20121003,Drop in hospital visits seen with lower drug copay ,NEW YORK (Reuters Health) - After Pitney Bowes Inc cut copayments for two essential heart drugs  employees at the Stamford  Connecticut-based company began filling their prescriptions more regularly  according to a new report.,topStory
PHI,PLDT Inc,20121003,MIDCAP-Philippine Long Distance Tel could reverse-technicals ,Shares of Philippine Long Distance Telephone Co  (PLDT) that fell sharply since mid-September could reverse  technical charts suggest.,topStory
O,Realty Income Corporation,20121003,TEXT-Fitch rates Realty Income senior unsecured notes 'BBB+ ,Oct 3 - Fitch Ratings has assigned a 'BBB+' rating to the $350 million aggregate principal amount 2.00% coupon senior unsecured notes due 2018 and $450 million aggregate principal amount 3.25% coupon senior unsecured notes due 2022 issued by Realty Income Corporation (NYSE: O).   The 2018 notes were priced at 99.910% of par to yield 2.017% to maturity  or 140 basis points over the benchmark treasury rate. The 2022 notes were priced at  99.382% of par to yield 3.323% to maturity  or 170 basis poi,topStory
O,Realty Income Corporation,20121003,New Issue-Realty Income sells $800 mln in 2 parts ,Oct 3 Realty Income Corp on Tuesday sold $800 million of senior unsecured notes in two parts  said IFR  a Thomson Reuters service.      The size of the issue was increased from the originally planned $600 million.      Citigroup  Bank of America Merrill Lynch  Bank of New York  and Wells Fargo were the active joint bookrunning managers for the five-year notes sale.     Citigroup  Bank of America Merrill Lynch  JP Morgan  and Wells Fargo were the active joint bookrunning managers for ,normal
RF,Regions Financial Corporation,20121003,BRIEF-Moody's places Regions on review for upgrade (senior at Ba3) ,Oct 4 Moody's Investors Service placed the long-term ratings of Regions Financial Corporation and its subsidiaries on review for upgrade. Regions Financial Corporation is rated Ba3 for senior debt and B1 for subordinated debt and its lead operating bank  Regions Bank has a standalone bank financial strength rating of D+  which maps to a baseline credit assessment of ba1.,topStory
RS,Reliance Steel & Aluminum Co,20121003,Reliance Steel buys Sunbelt Steel Texas ,Reliance Steel & Aluminum Co  said it bought privately held Sunbelt Steel Texas LLC  a distributor of special alloy steel bar and heavy-wall tubing products to the oil and gas industry.,topStory
RS,Reliance Steel & Aluminum Co,20121003,Reliance Steel buys Sunbelt Steel Texas ,Oct 3 Reliance Steel & Aluminum Co said it bought privately held Sunbelt Steel Texas LLC  a distributor of special alloy steel bar and heavy-wall tubing products to the oil and gas industry.,normal
RY,Royal Bank Of Canada,20121003,TEXT-S&P corrects rating on Royal Bank of Canada note program ,(The following statement was released by the rating agency)     Oct 3 - Standard & Poor's Ratings Services has corrected its rating on Royal Bank of Canada's US$2 billion short-term notes program to 'A-1+' from 'A-1'.  Rating Corrected  Royal Bank of Canada                                          To          From US$2 billion short-term notes program    A-1+        A-1   (Caryn Trokie  New York Ratings Unit),topStory
RBS,Royal Bank Scotland plc (The),20121003,UPDATE 2-Direct Line's IPO order book covered -sources ,* Buyers' offers within 160-195 pence price range -sources,topStory
RBS,Royal Bank Scotland plc (The),20121003,Direct Line IPO order book fully covered - sources ,LONDON  Oct 3 Order books on the London initial public offering of Royal Bank of Scotland's insurance business Direct Line have been covered three days into the company's nine day investor roadshow  sources close to the company said on Wednesday.,normal
RPM,RPM International Inc,20121003,UPDATE 2-RPM raises full-year outlook  expects growth in N. America ,Oct 3 Coatings and sealants maker RPM International Inc raised its profit and sales growth forecast for 2013 on recent acquisitions and growth expectations in North America.,topStory
RPM,RPM International Inc,20121003,RPM reports lower profit on one-time charges ,Oct 3 RPM International Inc's quarterly profit fell as the coatings and sealants maker incurred one-time charges.,normal
R,Ryder System Inc,20121003,Kaymer thought of Langer before Ryder Cup-winning putt ,ST ANDREWS  Scotland Martin Kaymer has revealed his secret thoughts about the five- foot putt at Medinah which ensured Europe retained the Ryder Cup.,topStory
R,Ryder System Inc,20121003,Lawrie keen to play in 2014 Ryder Cup on home soil ,ST ANDREWS  Scotland Scotland's Paul Lawrie says he wants to play in the 2014 Ryder Cup and not captain Europe in the match against the United States in his home country at Gleneagles.,normal
SNY,Sanofi,20121003,Sanofi  Bristol shake up alliance as patents end ,PARIS Drugmakers Sanofi and Bristol-Myers Squibb plan to revamp their 15-year-old alliance from January 1 in response to lost exclusivity on two key drugs and the arrival of generic competition in major markets.,topStory
SNY,Sanofi,20121003,UPDATE 2-Sanofi  Bristol shake up alliance as patents end ,* Sanofi to make $200 mln terminal payment to Bristol in 2018,normal
SNY,Sanofi,20121003,Sanofi  Bristol shake up alliance as patents end ,PARIS  Oct 3 Drugmakers Sanofi and Bristol-Myers Squibb said they plan to restructure their alliance from Jan. 1 to respond to the loss of exclusivity on two key drugs and the arrival of generic competition in many major markets.,normal
SDRL,Seadrill Limited,20121003,UPDATE 3-Seadrill looks to move from Norway  CEO quits , ,topStory
SDRL,Seadrill Limited,20121003,NORDIC STOCKS - Factors to watch on Oct 3 ,HELSINKI  Oct 3 The following stocks may be affected by newspaper reports and other factors on Wednesday:,normal
SDRL,Seadrill Limited,20121003,Seadrill replaces CEO  looks to relocate management ,Seadrill Ltd   the world's biggest driller by market capitalisation  said it plans to replace CEO Alf Thorkildsen with the head of its Archer Ltd affiliate  and is looking to relocate management outside Norway.,normal
ST,Sensata Technologies Holding NV,20121003,Sensata temporarily suspends operations at South Korea unit ,Netherlands-based Sensata Technologies Holding N.V. temporarily suspended manufacturing operations at its South Korean unit due to a recent fire in a building at the site.,topStory
SNE,Sony Corp Ord,20121003,Analysis: Is Sony buying time - or problems? ,SINGAPORE Sony Corp  CEO Kazuo Hirai has spent $1.8 billion in the past three months snapping up an assortment of businesses such as medical equipment and cloud gaming  leaving investors to worry he is blowing his firm's waning finances on a muddled plan to revive the fading giant.,topStory
S,Sprint Corporation,20121003,Sprint bonds hit  MetroPCS bonds up on merger news ,Oct 3 (IFR) - Sprint bonds took a hit while MetroPCS saw its bonds jump this week  after the latter scooped up Deutsche Telekom's T Mobile USA unit in a potentially game-changing acquisition.,topStory
STO,Statoil ASA,20121003,Statoil extends three rig contracts for $1.6 billion ,OSLO Norwegian oil and gas firm Statoil  said on Wednesday it had signed contracts to extend use of three rigs offshore Norway to help to achieve its production targets by 2020.,topStory
STO,Statoil ASA,20121003,UPDATE 1-Statoil extends three rig contracts for $1.6 bln ,* To help to achieve production targets by 2020   (Adds details),normal
STO,Statoil ASA,20121003,Statoil says signs rig contracts worth NOK 9.2 bln ,OSLO  Oct 3 Norwegian oil and gas firm Statoil  has signed contracts for three drill rigs to be used offshore Norway at a total value of 9.2 billion crowns ($1.62 billion)  the company said on Wednesday.,normal
TGT,Target Corporation,20121003,Target bets on QR codes  exclusive toys this holiday ,Target Corp hopes that letting shoppers scan  buy and ship a selection of toys while shopping in its stores and having hundreds of exclusive toys will help drive sales this holiday season  one of its executives told Reuters.,topStory
TI,Telecom Italia SPA,20121003,TEXT-Fitch affirms Telecom Italia 'BBB' ratings ,(The following statement was released by the rating agency),topStory
TEF,Telefonica SA,20121003,Telefonica starts sale of O2 Germany stake ,MADRID/FRANKFURT Telefonica SA  started the sale of up to 20 percent of its O2-branded German unit  hoping to raise up to 1.5 billion euros ($2 billion) from a share offering designed to help cut the Spanish group's huge debts.,topStory
TEF,Telefonica SA,20121003,UPDATE 3-Telefonica starts sale of O2 Germany stake ,MADRID/FRANKFURT  Oct 3 Telefonica SA  started the sale of up to 20 percent of its O2-branded German unit  hoping to raise up to 1.5 billion euros ($2 billion) from a share offering designed to help cut the Spanish group's huge debts.,normal
TEF,Telefonica SA,20121003,TEXT-S&P summary: Telefonica S.A. ,(The following statement was released by the rating agency),normal
TPX,Tempur Sealy International Inc,20121003,Fidelity's Tillinghast cuts cash position  bets on mattresses ,BOSTON  Oct 3 Fidelity Investments' Joel Tillinghast  one of the best U.S. stockpickers over the past 20 years  has reduced his cash holdings dramatically  a sign he is making one of his biggest bets in the stock market in a decade.,topStory
TRI,Thomson Reuters Corp,20121003,L.A.'s richest man ups the ante for city  cancer fight ,LOS ANGELES As owner of 5 percent of the Los Angeles Lakers  Patrick Soon-Shiong could walk into the locker room of the storied basketball franchise any time for a chat with stars like Kobe Bryant. But the richest man in Los Angeles chooses to sit with the rest of his team's fans.,topStory
WMT,Wal-Mart Stores Inc,20121003,Who's the undecided voter? It may be the "Walmart mom" ,Sometimes seen as the great prize of U.S. electoral politics  this elusive citizen is more likely to be female  white  lacking a college education and earning less than $25 000  according Reuters/Ipsos polling data accumulated over the course of 2012. | Video ,topStory
WMT,Wal-Mart Stores Inc,20121003,UPDATE 2-Ex-Tesco boss to head up S.Africa's Pick n Pay ,JOHANNESBURG  Oct 3 South Africa's Pick n Pay  named the former head of Tesco's UK business as its new chief executive on Wednesday  as the country's No.2 grocer struggles to regain market share and fend off competition from U.S. giant Wal-Mart.,normal
WYN,Wyndham Worldwide Corp,20121003,BRIEF - Moody's rates Wyndham Worldwide commercial paper program Prime-3 ,Oct 3 Moody's assigns a Prime-3 rating to Wyndham Worldwide  commercial paper program; affirms Baa3 ratings,topStory
ZBK,Zions Bancorporation,20121003,BRIEF-Moody's reviews Zions for upgrade ,Oct 4 Moody's Investors Service placed the long-term ratings of Zions Bancorporation and its subsidiaries on review for upgrade. Zions Bancorporation is rated B1 for subordinated debt and its lead operating bank  Zions First National Bank  has a standalone bank financial strength rating of D+  which maps to a baseline credit assessment of ba1.,topStory
