AAPL,Apple Inc,20121203,RPT-COLUMN-Why you need to sidestep Apple stock in tech investing ,CHICAGO  Dec 3 It's easy to believe in technology stocks again.,topStory
BA,Boeing Company (The),20121203,UPDATE 1-Qatar upgrades Airbus A350 order -sources ,LONDON  Dec 3 Qatar Airways is set to upgrade an order for 20 Airbus A350 aircraft to larger variants  a move that includes new backing for a model designed to compete with Boeing's 777 mini-jumbo  aviation sources said on Monday.,normal
BP,BP plc,20121203,Future oil permits should require flow-rate gauge-BP spill study ,* More data needed on pre-spill ecosystems  U.S. government scientists say,topStory
BP,BP plc,20121203,UPDATE 2-BP to be simpler  oilier as investment rises ,* Capex to be $24-$27 billion per year 2014-2020     * Reiterates cash flow forecast     * To divest $2-$3 billion of assets per year       By Andrew Callus     LONDON  Dec 3 BP is raising investment and betting its future on oil over gas  as the slimmed-down British group fights to recover from the U.S. oil spill and Russian rows that have hurt its reputation and share price.     The No.4 ranked company among western investor-owned oil and gas groups said it would raise capital spen,normal
BP,BP plc,20121203,CORRECTED-UPDATE 1-BP to be simpler  oilier as capex rises ,(Corrects first bullet point and first and second paragraphs to show the capital spending estimates are for the period 2014-2020  not the years to 2014.)     * Capex to be $24-$27 billion per year 2014-2020     * Reiterates cash flow forecast     * To divest $2-$3 billion of assets per year      By Andrew Callus     LONDON  Dec 3 BP sees a new future for itself as a "simpler" and "oilier" oil and gas company as it raises capital spending in the years 2013 to 2020.     In its first st,normal
BP,BP plc,20121203,TNK-BP minorities withdraw BP damages claim ,MOSCOW Minority shareholders in Anglo-Russian oil firm TNK-BP  are withdrawing a 100 billion rouble ($3.2 billion) damages suit against BP  after the main stakeholders agreed last month to sell their stakes to Russia's Rosneft .,normal
BP,BP plc,20121203,UPDATE 2-TNK-BP minorities withdraw BP damages claim ,MOSCOW  Dec 3 Minority shareholders in Anglo-Russian oil firm TNK-BP are withdrawing a 100 billion rouble ($3.2 billion) damages suit against BP  after the main stakeholders agreed last month to sell their stakes to Russia's Rosneft.,normal
BP,BP plc,20121203,RPT-BP to outline upstream growth strategy ,By Andrew Callus     LONDON  Dec 3BP will outline growth plans for its oil and gas production arm on Monday in its first strategy update since striking a series of deals aimed at getting its Russian and U.S. operations back on track.     Like all top investor-owned western oil firms  BP is struggling to increase output and reserves in an era when nations guard their resource wealth jealously  and spending ever more billions of dollars to find new supplies and develop them.     The Un,normal
C,Citigroup Inc,20121203,MOVES-Goldman Sachs  Citigroup  JP Morgan Asset Management ,Dec 3 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20121203,Citi cuts telecoms head in Europe: sources ,DUBAI/LONDON Citigroup's head of technology  media and telecoms in Europe is to leave as part of cost cuts the U.S. bank is making in response to the weak economic climate and due to tougher regulation  sources familiar with the matter told Reuters on Monday.,normal
C,Citigroup Inc,20121203,UPDATE 1-Citi cuts telecoms head in Europe - sources ,DUBAI/LONDON  Dec 3 Citigroup's head of technology  media and telecoms in Europe is to leave as part of cost cuts the U.S. bank is making in response to the weak economic climate and due to tougher regulation  sources familiar with the matter told Reuters on Monday.,normal
C,Citigroup Inc,20121203,Citi slashes telecoms head in Europe-sources ,DUBAI/LONDON  Dec 3 Citigroup's head of TMT for EMEA will leave the investment bank as part of an ongoing restructuring plan  as Wall Street faces another tough year ahead due to increased regulation and a weak global economy  sources familiar with the matter told Reuters on Monday.,normal
C,Citigroup Inc,20121203,INSIGHT-Krawcheck  possible SEC head  raises Washington image ,* Record of seeing clients' perspective  say ex-colleagues,normal
CAG,ConAgra Brands Inc,20121203,UPDATE 5-Saputo to buy Dean Foods Morningstar unit for $1.45 bln ,* Shares of both Dean Foods and Saputo up   (Adds background on ConAgra  adviser  closing share prices),topStory
CLGX,CoreLogic Inc,20121203,Fewer homes in foreclosure in October: CoreLogic ,NEW YORK The number of homes seized by lenders tumbled in October  while fewer properties were in the foreclosure process in another sign of improvement for the sector  data analysis firm CoreLogic said on Monday.,topStory
CLGX,CoreLogic Inc,20121203,Fewer U.S. homes in foreclosure in October-CoreLogic ,NEW YORK  Dec 3 The number of U.S. homes seized by lenders tumbled in October  while fewer properties were in the foreclosure process in another sign of improvement for the sector  data analysis firm CoreLogic said on Monday.,normal
DF,Dean Foods Company,20121203,TEXT-Fitch: Dean Foods' Ratings Not Immediately Affected by Agreement to Sell Morningstar ,CHICAGO  December 03 (Fitch) Dean Foods Company's (Dean's; NYSE: DF) credit ratings and Positive Rating Watch will not be immediately impacted by the firm's announcement to sell its Morningstar Foods division (Morningstar). A full list of ratings follows at end of this release.,topStory
DF,Dean Foods Company,20121203,UPDATE 5-Saputo to buy Dean Foods Morningstar unit for $1.45 bln ,* Shares of both Dean Foods and Saputo up   (Adds background on ConAgra  adviser  closing share prices),normal
DF,Dean Foods Company,20121203,Saputo to buy Dean Foods Morningstar unit for $1.45 billion ,NEW YORK/TORONTO Saputo Inc  will buy Dean Foods Co's  Morningstar division for $1.45 billion to widen its product range and increase its U.S. presence  the Canadian dairy products maker said on Monday.,normal
DF,Dean Foods Company,20121203,BRIEF-Dean Foods up in premarket on Morningstar dairy unit sale ,NEW YORK  Dec 3 Dean Foods Co :  * Up 5 percent to $18 in premarket; to sell Morningstar dairy division to Saputo Inc for $1.45 billion,normal
DAL,Delta Air Lines Inc,20121203,Delta among suitors for Virgin Atlantic stake: sources ,LONDON/SINGAPORE Singapore Airlines  is in talks to sell its 49 percent stake in British carrier Virgin Atlantic  with sources saying Delta Air Lines  is among the suitors keen to access Virgin's lucrative slots at London's Heathrow airport.,topStory
DAL,Delta Air Lines Inc,20121203,Delta among suitors for Virgin Atlantic stake ,LONDON/SINGAPORE Singapore Airlines is in talks to sell its 49 percent stake in British carrier Virgin Atlantic  with sources saying Delta Air Lines is among the suitors keen to access Virgin's lucrative slots at London's Heathrow airport.,normal
DAL,Delta Air Lines Inc,20121203,WRAPUP 3-Delta among suitors for Virgin Atlantic stake - sources ,* Singapore Airlines says in talks to sell its 49 pct stake,normal
DAL,Delta Air Lines Inc,20121203,WRAPUP 2-Delta among suitors for stake in Virgin Atlantic - sources ,NEW YORK/SINGAPORE  Dec 3 Singapore Airlines  said on Monday it was in talks with interested parties to sell its 49 percent stake in British carrier Virgin Atlantic  with sources revealing that Delta Air Lines Inc was among the potential suitors.,normal
DAL,Delta Air Lines Inc,20121203,RPT-WRAPUP 1-Delta among suitors for stake in Virgin Atlantic - sources ,NEW YORK/SINGAPORE  Dec 3 Singapore Airlines  said on Monday it was in talks with interested parties to sell its 49 percent stake in British carrier Virgin Atlantic  with sources revealing that Delta Air Lines Inc was among the potential suitors.,normal
DAL,Delta Air Lines Inc,20121203,PRESS DIGEST - Financial Times - Dec 3 ,London should be deposed as the euro's main financial centre so the euro zone can "control" most financial business in the region  France's central bank governor told the FT.,normal
DB,Deutsche Bank AG,20121203,New Issue- Land NRW adds 50 mln stg to 2016 FRN ,Borrower                German State of North Rhine - Westphalia,topStory
DB,Deutsche Bank AG,20121203,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies for Monday  December 3  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Reserve,normal
DB,Deutsche Bank AG,20121203,New Issue-KBC Bank prices 250 mln euro 2017 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 75.4bp,normal
DB,Deutsche Bank AG,20121203,Canadian Solar to borrow $139 mln from Deutsche Bank for Ontario projects ,Dec 3 Canadian Solar Inc  which is focusing on the lucrative power plants business to drive growth  said it will borrow C$139 million ($139 million) from Deutsche Bank to build five utility-scale projects in Ontario  Canada.,normal
DUK,Duke Energy Corporation,20121203,Duke Energy says North Carolina regulator approves settlement ,North Carolina's utility regulator on Monday gave full approval to a settlement with Duke Energy Corp over the company's leadership plans following its takeover of Progress Energy  Duke said.,topStory
DUK,Duke Energy Corporation,20121203,Duke Energy says North Carolina regulator approves settlement ,Dec 3 North Carolina's utility regulator on Monday gave full approval to a settlement with Duke Energy Corp  over the company's leadership plans following its takeover of Progress Energy  Duke said.,normal
DUKH,Duke Energy Corporation,20121203,Duke Energy says North Carolina regulator approves settlement ,North Carolina's utility regulator on Monday gave full approval to a settlement with Duke Energy Corp over the company's leadership plans following its takeover of Progress Energy  Duke said.,topStory
DUKH,Duke Energy Corporation,20121203,Duke Energy says North Carolina regulator approves settlement ,Dec 3 North Carolina's utility regulator on Monday gave full approval to a settlement with Duke Energy Corp  over the company's leadership plans following its takeover of Progress Energy  Duke said.,normal
LLY,Eli Lilly and Company,20121203,Merck becomes bigger Alzheimer's player  with new trial ,Merck & Co Inc has moved to the forefront of Alzheimer's disease research by starting a mid-stage study of a drug from a new class of oral medicines that aim to shut down production of a protein associated with the memory-robbing disease.,topStory
LLY,Eli Lilly and Company,20121203,UPDATE 4-Merck becomes bigger Alzheimer's player  with new trial ,* New drug blocks production of Alzheimer's-related proteins,normal
E,ENI SpA,20121203,Eni confirms commitment to Iraq ,MILAN  Dec 3 Italian oil and gas group Eni  said on Monday it confirmed its presence and commitment in Iraq after its Chief Executive visited the country's Prime Minister.,topStory
EFX,Equifax Inc,20121203,CSC to sell credit services unit to Equifax for $1 billion ,U.S. technology services provider Computer Sciences Corp  will sell its credit services unit to business information provider Equifax Inc  for $1 billion in cash.,topStory
EFX,Equifax Inc,20121203,UPDATE 4-CSC to sell credit services unit to Equifax for $1 bln ,* CSC to record after-tax proceeds of about $750 million to $800 million,normal
EFX,Equifax Inc,20121203,TEXT - S&P comments on Equifax ,Dec 3 - Standard & Poor's Ratings Services said today that its corporate credit and other ratings on Atlanta-based Equifax Inc. (BBB+/Stable/A-2) remain unchanged following the company's recent announcement that it has entered into definitive asset purchase agreement with Computer Sciences Corp. (BBB/Negative/A-2) to acquire its credit services business assets and operations for approximately $1 billion. The outlook is stable.  CSC has been Equifax's largest credit affiliate  and Equifax has bee,normal
EFX,Equifax Inc,20121203,CSC to sell credit services unit to Equifax for $1 billion ,U.S. technology services provider Computer Sciences Corp will sell its credit services unit to business information provider Equifax Inc for $1 billion in cash  and record after-tax proceeds of about $750 million to $800 million.,normal
EFX,Equifax Inc,20121203,CSC to sell credit services unit to Equifax for $1 bln ,Dec 3 U.S. technology services provider Computer Sciences Corp said it would sell its credit services unit to Equifax Inc for $1 billion in cash and record after-tax proceeds of about $750 to $800 million.,normal
FLY,Fly Leasing Limited,20121203,TEXT - S&P comments on Fly Leasing ,Dec 3 - Standard & Poor's Ratings Services said today that its ratings and outlook on Bermuda-based aircraft lessor Fly Leasing Ltd. (BB/Stable/--) are unaffected by the company's announcement that Canadian-based Onex Corp. (not rated) has agreed to acquire a 50% stake in BBAM Ltd. (not rated)  which manages Fly's portfolio and of which Fly owns 15%. Onex will also acquire $25 million of Fly's stock. In our opinion  the transaction will not likely result in any changes to Fly's financial policy ,topStory
FLY,Fly Leasing Limited,20121203,Onex to buy 50 percent stake in aircraft manager BBAM for $165 million ,Canadian private equity company Onex Corp  said it will acquire a 50 percent stake in BBAM  a manager of commercial jet aircraft  for $165 million.,normal
FLY,Fly Leasing Limited,20121203,Onex to buy 50 pct stake in aircraft manager BBAM for $165 mln ,Dec 3 Canadian private equity company Onex Corp  said it will acquire a 50 percent stake in BBAM  a manager of commercial jet aircraft  for $165 million.,normal
F,Ford Motor Company,20121203,Ford seeking remedy for Escape  Fusion engine fire risk ,DETROIT Ford Motor Co  is still working on a remedy for a defect that raises the risk of an engine fire in almost 90 000 just-launched Escape and Fusion models  an executive at the second-largest U.S. automaker said on Monday.,topStory
F,Ford Motor Company,20121203,CORRECTED-Ford seeking remedy for Escape  Fusion engine fire risk ,(Corrects paragraph 2 to show "fourth recall" instead of fifth),normal
F,Ford Motor Company,20121203,TABLE-Top-20 selling vehicles in U.S. in November ,Dec 3 The following are the 20 top-selling vehicles in the U.S. in November of 2012 as reported by the automakers and ranked by total units.       Top 20 selling vehicles in U.S. in November              RANK  VEHICLE                  NOVEMBER  LAST YR   % CHNG  1     Ford F-Series P/U          56 299   47 740    +17.9  2     Chevy Silverado-C/K P/U    30 674   34 251    -10.4  3     Honda Civic                30 075   17 133    +75.5  4     Toyota Camry               28 765   23 440,normal
F,Ford Motor Company,20121203,UPDATE 3-Ford aims for Lincoln rebound with new ads  Super Bowl spot ,DETROIT  Dec 3 Ford Motor Co wants to place its lagging Lincoln nameplate back on consumers' shopping lists with an ambitious marketing campaign that draws on its heritage and includes the upscale brand's first-ever Super Bowl spot.,normal
F,Ford Motor Company,20121203,TEXT - S&P says Ford's voluntary safety recall has no rtg effect ,Dec 3 - Standard & Poor's Ratings Services said today that Ford Motor Co.'s  (BB+/Positive/--) announcement regarding a voluntary safety recall of 2013 SE and SEL model Ford Escape and Fusion vehicles equipped with the 1.6-liter engine has no immediate effect on the rating or outlook on Ford. The potential for engine fires in those specific engines does not affect 2013 Escape or 2013 Fusion models with other engines.   Our preliminary view is that this event is more likely to be a challenge to  ,normal
F,Ford Motor Company,20121203,Ford Motor says November auto industry sales up about 10 percent ,Ford Motor Co  said on Monday that November U.S. auto sales will show a rise of about 10 percent from last year.,normal
F,Ford Motor Company,20121203,Manufacturing contracts to weakest in three years ,NEW YORK Manufacturing unexpectedly contracted in November to its lowest level in more than three years  as companies worried about whether lawmakers in Washington could reach a budget deal in time avert a crisis that many fear could lead to a recession.,normal
F,Ford Motor Company,20121203,Global manufacturing slump eases in November: PMIs ,LONDON The global manufacturing sector's slump eased in November as output rose for the first time in five months  a business survey showed on Monday.,normal
F,Ford Motor Company,20121203,Ford Motor says Nov. U.S. auto industry sales up about 10 pct ,Dec 3 Ford Motor Co said on Monday that November U.S. auto sales will show a rise of about 10 percent from last year.,normal
F,Ford Motor Company,20121203,Ford launches TV  print ad blitz to revive Lincoln sales ,DETROIT Ford Motor Co  will try to generate interest in its upscale Lincoln vehicles with an ad campaign that draws on the brand's heritage and includes its first-ever Super Bowl spot.,normal
GEK,General Electric Capital Corporation,20121203,GE  MetLife and Union Bank to invest $247 million in Kansas wind farm ,General Electric Co  Metlife Inc and Union Bank said they invested $247 million in a 201-megawatt(MW) wind farm in Kansas.,topStory
GEK,General Electric Capital Corporation,20121203,GE  MetLife and Union Bank to invest $247 mln in Kansas wind farm ,Dec 3 General Electric Co  Metlife Inc  and Union Bank said they invested $247 million in a 201-megawatt(MW) wind farm in Kansas.,normal
GE,General Electric Company,20121203,GE  MetLife and Union Bank to invest $247 million in Kansas wind farm ,General Electric Co  Metlife Inc and Union Bank said they invested $247 million in a 201-megawatt(MW) wind farm in Kansas.,topStory
GE,General Electric Company,20121203,GE  MetLife and Union Bank to invest $247 mln in Kansas wind farm ,Dec 3 General Electric Co  Metlife Inc  and Union Bank said they invested $247 million in a 201-megawatt(MW) wind farm in Kansas.,normal
GM,General Motors Company,20121203,Supreme Court lets GM workers pursue case against State Street ,WASHINGTON The Supreme Court is allowing General Motors Co  employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,topStory
GM,General Motors Company,20121203,UPDATE 1-U.S. top court lets GM workers pursue case against State Street ,WASHINGTON  Dec 3 The U.S. Supreme Court is allowing General Motors Co employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,normal
GM,General Motors Company,20121203,UPDATE 2-French car market set for worst year since 1997 ,PARIS  Dec 3 France's car market is on course for its worst year since 1997  industry association CCFA said when reporting new car registrations fell 19.2 percent in November.,normal
GM,General Motors Company,20121203,Supreme Court lets GM workers pursue case against State Street ,WASHINGTON The Supreme Court is allowing General Motors Co  employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,normal
GM,General Motors Company,20121203,U.S. top court lets GM workers pursue case against State Street ,WASHINGTON  Dec 3 The U.S. Supreme Court is allowing General Motors Co employees whose pension plans lost money to pursue their case against a State Street Corp  unit over its management of their retirement savings plans before the automaker went bankrupt.,normal
GSK,GlaxoSmithKline PLC,20121203,GSK hopes for 14 new drug successes in 2013-14 ,LONDON GlaxoSmithKline expects to have pivotal clinical trial results on up to 14 medicines in the next two years  including two new products which - if they work - could change the way cancer and heart disease are treated.,topStory
GSK,GlaxoSmithKline PLC,20121203,UPDATE 1-GSK hopes for 14 new drug successes in 2013/14 ,* Up to 14 drugs to have Phase III results in next two years,normal
GSK,GlaxoSmithKline PLC,20121203,GSK details hopes for 14 pipeline drugs in 2013/14 ,LONDON  Dec 3 GlaxoSmithKline expects to have pivotal clinical trial results on up to 14 medicines in the next two years  including two new products which - if they work - could change the way cancer and heart disease are treated.,normal
GSK,GlaxoSmithKline PLC,20121203,South Africa's Aspen finalizes GSK deal for $263 million ,JOHANNESBURG South Africa's Aspen Pharmacare  said on Monday it has finalized the acquisition of medicines from GlaxoSmithKline  for 163.8 million pounds ($263 million).,normal
GSK,GlaxoSmithKline PLC,20121203,S.Africa's Aspen finalises GSK deal for $263 mln ,JOHANNESBURG  Dec 3 South Africa's Aspen Pharmacare said on Monday it has finalised the acquisition of medicines from GlaxoSmithKline for 163.8 million pounds ($263 million).,normal
GFI,Gold Fields Limited,20121203,RLPC-Gold Fields takes $1.5 bln demerger loans ,LONDON  Dec 3 Barclays  Credit Suisse and JP Morgan have underwritten a $1.5 billion financing package to back South African mining company Gold Fields' demerger of two gold mines and refinance existing Gold Fields debt  bankers said on Monday.,topStory
GS,Goldman Sachs Group Inc (The),20121203,Morgan Stanley trader was probed at Goldman: sources ,Morgan Stanley hired former Goldman Sachs trader Edward Glenn Hadden to run its Treasury bond desk last year  even though his former employer had placed the trader on paid leave for about a year following an internal inquiry  said three people familiar with the situation.,topStory
GS,Goldman Sachs Group Inc (The),20121203,UPDATE 2-Morgan Stanley trader was probed at Goldman-sources ,* Incidents at Goldman made superiors question judgment-sources,normal
GS,Goldman Sachs Group Inc (The),20121203,Morgan Stanley trader did not manipulate market-lawyer ,A lawyer for Morgan Stanley  Managing Director Edward Glenn Hadden said his client  who is being investigated over a trade involving U.S. Treasury futures while working at Goldman Sachs Group Inc   did nothing wrong.,normal
GS,Goldman Sachs Group Inc (The),20121203,Ex-Goldman Sachs trader did not manipulate markets - attorney ,Dec 3 A CME Group Inc probe into ex-Goldman Sachs Group Inc bond trader Glenn Hadden pertains to "technical risk management activity" in 2008  a lawyer for Hadden said on Monday.,normal
GS,Goldman Sachs Group Inc (The),20121203,Goldman hires Barclays banker to run Saudi business: sources ,DUBAI Goldman Sachs Inc  has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
GS,Goldman Sachs Group Inc (The),20121203,Goldman hires Barclays banker to run Saudi business - sources ,DUBAI  Dec 3 Goldman Sachs Inc has hired Omar Mohammady to run the its Saudi Arabian investment banking business  a key role for global banks operating in the Gulf Arab region  three banking sources said.,normal
GS,Goldman Sachs Group Inc (The),20121203,New Issue-KBC Bank prices 250 mln euro 2017 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 75.4bp,normal
GS,Goldman Sachs Group Inc (The),20121203,Host Hotels Europe JV buys five hotels for $572 million ,Host Hotels and Resorts  said its European joint venture bought five hotels in Paris and Amsterdam from Goldman Sachs'  Whitehall unit for about 440 million euros ($572.26 million).,normal
GS,Goldman Sachs Group Inc (The),20121203,Host Hotels Europe JV buys five hotels for $572 mln ,Dec 3 Host Hotels and Resorts said its European joint venture  bought five hotels in Paris and Amsterdam from Goldman Sachs' Whitehall unit for about 440 million euros ($572.26 million).,normal
GS,Goldman Sachs Group Inc (The),20121203,Morgan Stanley rates trader under investigation ,Morgan Stanley trader Edward Glenn Hadden is under investigation by regulators at CME Group over trades in Treasury futures four years ago while he was employed by Goldman Sachs  according to a regulatory filing.,normal
HCA,HCA Healthcare Inc,20121203,TEXT - Fitch rates HCA Holdings Inc proposed notes ,Dec 3 - Fitch Ratings has assigned a 'B-/RR6' to HCA Holdings Inc.'s (HCA) $1 billion proposed senior unsecured notes. A full list of ratings is shown below. The Rating Outlook is Stable  and the ratings apply to $27 billion of debt outstanding at Sept 30  2012. Fitch expects that the company will use the proceeds of the proposed notes to fund a special dividend payment  to shareholders in Q4'12.   The ratings reflect the following main credit factors:   --HCA has good headroom in credit metrics,topStory
HCA,HCA Healthcare Inc,20121203,TEXT - S&P rates HCA Holdings Inc proposed notes ,Dec 3 - Standard & Poor's Ratings Services said today that it assigned its 'B-' issue-level rating (two notches lower than the 'B+' corporate credit rating on the company) to the proposed $1  billion senior unsecured notes issued by HCA Holdings Inc.  due in eight to 10 years. HCA Holdings Inc. is HCA Inc.'s holding company.  We also assigned the notes a recovery rating of '6'  indicating our expectation of negligible (0 to 10%) recovery for lenders in the event of a payment default. HCA will us,normal
HMC,Honda Motor Company Ltd,20121203,TABLE-Top-20 selling vehicles in U.S. in November ,Dec 3 The following are the 20 top-selling vehicles in the U.S. in November of 2012 as reported by the automakers and ranked by total units.       Top 20 selling vehicles in U.S. in November              RANK  VEHICLE                  NOVEMBER  LAST YR   % CHNG  1     Ford F-Series P/U          56 299   47 740    +17.9  2     Chevy Silverado-C/K P/U    30 674   34 251    -10.4  3     Honda Civic                30 075   17 133    +75.5  4     Toyota Camry               28 765   23 440,topStory
HST,Host Hotels & Resorts Inc,20121203,Host Hotels Europe JV buys five hotels for $572 million ,Host Hotels and Resorts  said its European joint venture bought five hotels in Paris and Amsterdam from Goldman Sachs'  Whitehall unit for about 440 million euros ($572.26 million).,topStory
HST,Host Hotels & Resorts Inc,20121203,Host Hotels Europe JV buys five hotels for $572 mln ,Dec 3 Host Hotels and Resorts said its European joint venture  bought five hotels in Paris and Amsterdam from Goldman Sachs' Whitehall unit for about 440 million euros ($572.26 million).,normal
HHC,Howard Hughes Corporation (The),20121203,Magic get better of Howard  stun Lakers ,The Orlando Magic caught fire in the fourth quarter to stun the Los Angeles Lakers 113-103 and get the better of former player Dwight Howard on Sunday.,topStory
HSBC,HSBC Holdings plc,20121203,New Issue- Land NRW adds 50 mln stg to 2016 FRN ,Borrower                German State of North Rhine - Westphalia,topStory
HSBC,HSBC Holdings plc,20121203,HSBC names new head of retail banking as Thurston retires ,LONDON HSBC  said its strategy and planning boss John Flint is to take over as head of retail banking and wealth management (RBWM) next year to replace veteran banker Paul Thurston  who is retiring.,normal
HSBC,HSBC Holdings plc,20121203,HSBC names new head of retail banking as Thurston retires ,LONDON  Dec 3 HSBC said its strategy and planning boss John Flint is to take over as head of retail banking and wealth management (RBWM) next year to replace veteran banker Paul Thurston  who is retiring.,normal
HSBC,HSBC Holdings plc,20121203,BRIEF-HSBC says Retail Banking & Wealth Management CEO Paul Thurston to retire ,LONDON  Dec 3 HSBC Holdings PLC :  * Senior management appointments  * John Flint Is appointed a group managing director and will succeed thurston,normal
HSBC,HSBC Holdings plc,20121203,China PMI survey shows growth reviving  but uneven ,BEIJING The pace of activity in China's vast manufacturing sector quickened for the first time in 13 months in November  a survey of private factory managers found  adding to evidence that the economy is reviving after seven quarters of slowing growth. | Video ,normal
HSBC,HSBC Holdings plc,20121203,China HSBC November final manufacturing PMI hits 13-month high of 50.5 ,BEIJING The pace of activity in China's vast manufacturing sector quickened for the first time in thirteen months in November  a survey of private factory managers found  adding to evidence that the Chinese economy is reviving after seven quarters of slowing growth.,normal
HSBC,HSBC Holdings plc,20121203,UPDATE 2-China PMI survey shows growth reviving  but uneven ,BEIJING  Dec 3 The pace of activity in China's vast manufacturing sector quickened for the first time in 13 months in November  a survey of private factory managers found  adding to evidence that the economy is reviving after seven quarters of slowing growth.,normal
HSEA,HSBC Holdings plc,20121203,New Issue- Land NRW adds 50 mln stg to 2016 FRN ,Borrower                German State of North Rhine - Westphalia,topStory
HSEA,HSBC Holdings plc,20121203,HSBC names new head of retail banking as Thurston retires ,LONDON HSBC  said its strategy and planning boss John Flint is to take over as head of retail banking and wealth management (RBWM) next year to replace veteran banker Paul Thurston  who is retiring.,normal
HSEA,HSBC Holdings plc,20121203,HSBC names new head of retail banking as Thurston retires ,LONDON  Dec 3 HSBC said its strategy and planning boss John Flint is to take over as head of retail banking and wealth management (RBWM) next year to replace veteran banker Paul Thurston  who is retiring.,normal
HSEA,HSBC Holdings plc,20121203,BRIEF-HSBC says Retail Banking & Wealth Management CEO Paul Thurston to retire ,LONDON  Dec 3 HSBC Holdings PLC :  * Senior management appointments  * John Flint Is appointed a group managing director and will succeed thurston,normal
HSEA,HSBC Holdings plc,20121203,China PMI survey shows growth reviving  but uneven ,BEIJING The pace of activity in China's vast manufacturing sector quickened for the first time in 13 months in November  a survey of private factory managers found  adding to evidence that the economy is reviving after seven quarters of slowing growth. | Video ,normal
HSEA,HSBC Holdings plc,20121203,China HSBC November final manufacturing PMI hits 13-month high of 50.5 ,BEIJING The pace of activity in China's vast manufacturing sector quickened for the first time in thirteen months in November  a survey of private factory managers found  adding to evidence that the Chinese economy is reviving after seven quarters of slowing growth.,normal
HSEA,HSBC Holdings plc,20121203,UPDATE 2-China PMI survey shows growth reviving  but uneven ,BEIJING  Dec 3 The pace of activity in China's vast manufacturing sector quickened for the first time in 13 months in November  a survey of private factory managers found  adding to evidence that the economy is reviving after seven quarters of slowing growth.,normal
HSEB,HSBC Holdings plc,20121203,New Issue- Land NRW adds 50 mln stg to 2016 FRN ,Borrower                German State of North Rhine - Westphalia,topStory
HSEB,HSBC Holdings plc,20121203,HSBC names new head of retail banking as Thurston retires ,LONDON HSBC  said its strategy and planning boss John Flint is to take over as head of retail banking and wealth management (RBWM) next year to replace veteran banker Paul Thurston  who is retiring.,normal
HSEB,HSBC Holdings plc,20121203,HSBC names new head of retail banking as Thurston retires ,LONDON  Dec 3 HSBC said its strategy and planning boss John Flint is to take over as head of retail banking and wealth management (RBWM) next year to replace veteran banker Paul Thurston  who is retiring.,normal
HSEB,HSBC Holdings plc,20121203,BRIEF-HSBC says Retail Banking & Wealth Management CEO Paul Thurston to retire ,LONDON  Dec 3 HSBC Holdings PLC :  * Senior management appointments  * John Flint Is appointed a group managing director and will succeed thurston,normal
HSEB,HSBC Holdings plc,20121203,China PMI survey shows growth reviving  but uneven ,BEIJING The pace of activity in China's vast manufacturing sector quickened for the first time in 13 months in November  a survey of private factory managers found  adding to evidence that the economy is reviving after seven quarters of slowing growth. | Video ,normal
HSEB,HSBC Holdings plc,20121203,China HSBC November final manufacturing PMI hits 13-month high of 50.5 ,BEIJING The pace of activity in China's vast manufacturing sector quickened for the first time in thirteen months in November  a survey of private factory managers found  adding to evidence that the Chinese economy is reviving after seven quarters of slowing growth.,normal
HSEB,HSBC Holdings plc,20121203,UPDATE 2-China PMI survey shows growth reviving  but uneven ,BEIJING  Dec 3 The pace of activity in China's vast manufacturing sector quickened for the first time in 13 months in November  a survey of private factory managers found  adding to evidence that the economy is reviving after seven quarters of slowing growth.,normal
INFY,Infosys Limited,20121203,India sets up seaside "village" to nurture software start-ups ,KOCHI  India Kris Gopalakrishnan  co-founder of Indian information technology giant Infosys  stares out from a wall-to-wall poster in a modern office building near Kochi  in the southern state of Kerala.,topStory
INFY,Infosys Limited,20121203,FEATURE-India sets up seaside "village" to nurture software start-ups ,KOCHI  India  Dec 4 Kris Gopalakrishnan  co-founder of Indian information technology giant Infosys   stares out from a wall-to-wall poster in a modern office building near Kochi  in the southern state of Kerala.,normal
JPM,J P Morgan Chase & Co,20121203,Global manufacturing slump eases in November -PMIs ,LONDON  Dec 3 The global manufacturing sector's slump eased in November as output rose for the first time in five months  a business survey showed on Monday.,topStory
