ACRX,AcelRx Pharmaceuticals Inc,20121115,AcelRx pain treatment as effective as standard care in trial ,AcelRx Pharmaceuticals Inc said its drug-device combination for post-operative pain was at least as effective as the standard of care  suggesting it has the potential to replace the current treatment.,topStory
BP,BP plc,20121115,Factbox: By the numbers: How BP's criminal settlement breaks down ,BP Plc. on Thursday agreed to pay $4.525 billion to resolve all federal criminal charges brought by the U.S. government in the aftermath of the 2010 Deepwater Horizon disaster in the U.S. Gulf of Mexico. | Video ,normal
BP,BP plc,20121115,BP to pay record fine for 2010 spill: sources ,HOUSTON/WASHINGTON BP Plc is expected to pay a record U.S. criminal penalty and plead guilty to criminal misconduct in the 2010 Deepwater Horizon disaster through a plea deal reached with the Department of Justice that may be announced as soon as Thursday  according to sources familiar with discussions.,normal
BP,BP plc,20121115,BP pleads guilty to oil spill felony; to pay extra $4.5 billion ,LONDON British oil company BP Plc pleaded guilty on Thursday to criminal charges relating to its 2010 oil spill and agreed to pay an extra $4.5 billion on top of the tens of billions it is already paying out.,normal
COF,Capital One Financial Corporation,20121115,TABLE-Delinquency rates at major U.S. banks for October ,Nov 15 October was a mixed bag for most major U.S. banks  with delinquency rates falling at JPMorgan Chase and Bank of America Corp and rising at Capital One Financial and Discover Financial.,topStory
CSL,Carlisle Companies Incorporated,20121115,New Issue- Carlisle Companies sells $350 mln in notes ,Nov 15 Carlisle Companies Inc on Thursday sold $350 million of senior notes  said IFR  a Thomson Reuters service.      The size of the deal was increased from the originally planned $300 million.      Bank of America Merrill Lynch  J.P. Morgan and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: CARLISLE COMPANIES   AMT $350 MLN    COUPON 3.75 PCT    MATURITY    11/15/2022    TYPE SR NTS     ISS PRICE 99.687   FIRST PAY   05/15/2013 MOODY'S Baa2    YIELD 3.788,topStory
CBS,CBS Corporation,20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,topStory
CBS,CBS Corporation,20121115,Viacom posts higher profit; CEO says MTV is not broken ,Viacom Inc  reported a rise in quarterly profit  defying weak box-office sales and a challenging advertising environment.,normal
CBS,CBS Corporation,20121115,UPDATE 2-Viacom posts higher profit; CEO says MTV is not broken ,Nov 15 Viacom Inc reported a rise in quarterly profit  defying weak box-office sales and a challenging advertising environment.,normal
CBS,CBS Corporation,20121115,BRIEF-Viacom said it plans to purchase $700 million in stock for the quarter ending December. ,Nov 15 Viacom Inc :  * Said it plans to purchase $700 million in stock for the quarter ending,normal
CBS,CBS Corporation,20121115,Viacom posts quarterly profit despite weak film sales ,Nov 15 Viacom Inc on Thursday reported a decline in quarterly revenue on a sharp drop in movie box office sales  but its profit rose.,normal
LFC,China Life Insurance Company Limited,20121115,China PICC in talks with AIG  Scor to buy into $4 bln HK IPO -IFR ,HONG KONG  Nov 15 Chinese state-owned insurer PICC Group is in advanced talks with American International Group Inc  China Life  and at least two other companies to become cornerstone investors in its up to $4 billion Hong Kong initial public offering  Thomson Reuters publication IFR reported on Thursday  citing sources.,topStory
CHL,China Mobile (Hong Kong) Ltd,20121115,TEXT-S&P summary: China Mobile Ltd. ,(The following statement was released by the rating agency),topStory
SNP,China Petroleum & Chemical Corporation,20121115,TEXT-S&P summary: China Petroleum & Chemical Corp. ,(The following statement was released by the rating agency),topStory
CYH,Community Health Systems Inc,20121115,TEXT-S&P: Community Health Service ratings unaffected by amendment ,Nov 15 - Standard & Poor's Ratings Services said today that its ratings on U.S. hospital operator Community Health Systems Inc. (B+/Stable/--) are unaffected by the company's proposed bank amendment that would revise its debt covenants. Most notably  the company is seeking to prevent the stepdown in its leverage covenant to 5x from 5.5x on Dec. 31  2013. The amendment would replace that stepdown with a stepdown to 5.25x on Jan. 1  2015  remaining at that level for the life of the facility. In ou,topStory
DE,Deere & Company,20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,topStory
DLPH,Delphi Automotive plc,20121115,Paulson cuts Hartford  Delphi Automotive stakes -filing ,BOSTON Billionaire hedge fund manager John Paulson cut his third and fourth biggest portfolio holdings and made a bigger bet on a gold mining firm  according to a regulatory filing released on Thursday.,topStory
DLPH,Delphi Automotive plc,20121115,UPDATE 1-Paulson cuts Hartford  Delphi Automotive stakes -filing ,BOSTON  Nov 15 Billionaire hedge fund manager John Paulson cut his third and fourth biggest portfolio holdings and made a bigger bet on a gold mining firm  according to a regulatory filing released on Thursday.,normal
DB,Deutsche Bank AG,20121115,UPDATE 1-U.S. Basel III delays create distrust -Deutsche co-CEO ,* Delaying Basel III rules in US hurting trans-Atlantic relations:Deutsche Bank,topStory
DB,Deutsche Bank AG,20121115,Deutsche Bank co-CEO says France needs belt-tightening reform ,FRANKFURT  Nov 15 Deutsche Bank co-chief executive Juergen Fitschen said Germany's neighbours such as France also needed to reform to lift the euro zone out of its current crisis.,normal
DB,Deutsche Bank AG,20121115,Sixteen banks back Deutsche Boerse rates clearing launch ,LONDON  Nov 15 Sixteen of the world's top banks are backing a new interest rate swap clearing service from Deutsche Boerse in an early show of support for a move by the German exchange to tap derivatives reform.,normal
DB,Deutsche Bank AG,20121115,New Eurex OTC platform backed by 10 banks at launch ,FRANKFURT  Nov 15 Deutsche Boerse  said 10 banks  more than previously announced  backed the launch of a new platform for over-the-counter (OTC) interest rate swaps clearing ahead of regulation of the $700 trillion derivatives industry.,normal
EIX,Edison International,20121115,Edison Mission Energy misses payment  faces likely bankruptcy ,NEW YORK Edison Mission Energy said on Thursday it missed a $97 million interest payment on its unsecured bonds and could file for bankruptcy as soon as next month.,topStory
EIX,Edison International,20121115,Edison Mission Energy misses payment  faces likely bankruptcy ,* Edison International unit misses $97 million interest payment,normal
ENB,Enbridge Inc,20121115,Canada crude - Prices slump as Enbridge rations pipeline space ,CALGARY  Alberta  Nov 15 Canadian cash crude prices weakened again on Thursday as Enbridge Inc  unexpectedly limited shipments on two of its major oil export lines to the United States.,topStory
ENB,Enbridge Inc,20121115,UPDATE 1-Enbridge sets more apportionment on oil lines ,CALGARY  Alberta  Nov 15 Enbridge Inc  said on Thursday it had rationed more oil pipeline capacity on its huge Canada-to-United States system  a rare mid-month move that sent prices for Canadian heavy crude tumbling.,normal
ENB,Enbridge Inc,20121115,Enbridge sets more apportionment on oil lines ,CALGARY  Alberta  Nov 15 Enbridge Inc  said on Thursday it has rationed more oil pipeline capacity on its huge Canada-to-United States system in a rare mid-month move it blamed on unplanned outages and maintenance.,normal
EXC,Exelon Corporation,20121115,Exelon agrees settle claim over Constellation merger-court filing ,Nov 14 Exelon Corp agreed to pay $400 000 to settle U.S. claims it violated a court order entered to receive government clearance of its acquisition of Constellation Energy Group Inc last year  prosecutors said in a court filing Wednesday.,topStory
GME,Gamestop Corporation,20121115,GameStop profit beats forecast; cautiously eyes holiday ,SAN FRANCISCO GameStop Corp  the world's largest retailer of videogame products  reported a stronger-than-expected profit on Thursday but lowered its sales forecast for this year due to uncertainty around the holiday shopping season as the video game market struggles.,topStory
GME,Gamestop Corporation,20121115,UPDATE 3-GameStop profit beats forecast; cautiously eyes holiday ,* Lowers 2012 sales forecast but maintains 2012 earnings outlook,normal
GME,Gamestop Corporation,20121115,CORRECTED-UPDATE 1-GameStop revenue falls in 3rd quarter ,(Corrects same-store sales in 2nd paragraph to down 7 percent from down 8 percent),normal
GME,Gamestop Corporation,20121115,GameStop revenue drops in 3rd quarter ,SAN FRANCISCO  Nov 15 GameStop Corp  the world's largest retailer of video game products  said its sales dropped in the third quarter due to flagging videogame hardware and software sales.,normal
GPS,Gap Inc (The),20121115,Gap raises full year profit view  quells slowdown fears ,Gap Inc  posted a bigger quarterly profit on Thursday and quelled fears of a possible slowdown ahead of the holiday season as the retailer raised its profit view for the year  sending its shares up 3 percent after the bell.,topStory
GPS,Gap Inc (The),20121115,RPT-UPDATE 2-Gap raises full year profit view  quells slowdown fears ,Nov 15 Gap Inc posted a bigger quarterly profit on Thursday and quelled fears of a possible slowdown ahead of the holiday season as the retailer raised its profit view for the year  sending its shares up 3 percent after the bell.,normal
GPS,Gap Inc (The),20121115,RPT-UPDATE 2-Gap raises full year profit view  quells slowdown fears ,Nov 15 Gap Inc posted a bigger quarterly profit on Thursday and quelled fears of a possible slowdown ahead of the holiday season as the retailer raised its profit view for the year  sending its shares up 3 percent after the bell.,normal
GPS,Gap Inc (The),20121115,Gap posts bigger quarterly profit  shares rise ,Nov 15 Gap Inc posted a bigger quarterly profit as its brightly colored clothes stayed popular with shoppers ahead of the holiday season  sending its shares up 6 percent after the bell.,normal
GDI,Gardner Denver Holdings Inc,20121115,Gardner Denver shortlists buyers after initial bids -sources ,* KKR  TPG-Onex consortium advance to second-round bidding,topStory
GEK,General Electric Capital Corporation,20121115,GE expects solution to U.S. "fiscal cliff " CFO says ,* GE refinanced debt early to avoid cliff-related disruptions,topStory
GEK,General Electric Capital Corporation,20121115,General Electric in the lead to acquire Italy's Avio: sources ,MILAN General Electric  has emerged as the front runner to acquire Avio  a privately held airplane parts supplier  and will present its plans to Italian government officials on Friday  people familiar with the situation on Thursday.,normal
GEK,General Electric Capital Corporation,20121115,General Electric in the lead to acquire Italy's Avio - sources ,MILAN  Nov 15 General Electric has emerged as the front runner to acquire Avio  a privately held airplane parts supplier  and will present its plans to Italian government officials on Friday  people familiar with the situation on Thursday.,normal
GE,General Electric Company,20121115,GE expects solution to U.S. "fiscal cliff " CFO says ,* GE refinanced debt early to avoid cliff-related disruptions,topStory
GE,General Electric Company,20121115,General Electric in the lead to acquire Italy's Avio: sources ,MILAN General Electric  has emerged as the front runner to acquire Avio  a privately held airplane parts supplier  and will present its plans to Italian government officials on Friday  people familiar with the situation on Thursday.,normal
GE,General Electric Company,20121115,General Electric in the lead to acquire Italy's Avio - sources ,MILAN  Nov 15 General Electric has emerged as the front runner to acquire Avio  a privately held airplane parts supplier  and will present its plans to Italian government officials on Friday  people familiar with the situation on Thursday.,normal
GM,General Motors Company,20121115,GM tells Opel staff it won't "cut and run" ,FRANKFURT General Motors  will not sell its loss-making European unit Opel or "simply close up shop and leave" it  the U.S. carmaker's Chief Executive told more than 5 000 staff in Germany.,topStory
GM,General Motors Company,20121115,UPDATE 2-GM tells Opel staff it won't 'cut and run' ,* GM wouldn't waste money if it planned Opel bankruptcy -CEO,normal
GM,General Motors Company,20121115,GM may exit one of its venture unit's investments soon ,SAN FRANCISCO General Motors Co  may soon exit one of its venture capital unit's investments  either through an initial public offering or the acquisition of that company by another  the U.S. automaker's chief technology officer said.,normal
GM,General Motors Company,20121115,CORRECTED-GM may exit one of its venture unit's investments soon ,(Corrects headline and first paragraph to show that GM may exit the investment instead of that it definitely will exit the investment),normal
GM,General Motors Company,20121115,CEO Akerson tells Opel staff GM won't "cut and run" ,FRANKFURT  Nov 15 General Motors will neither sell its loss-making European unit Opel nor "simply close up shop and leave"  Chief Executive Dan Akerson told more than 5 000 staff in the brand's headquarters in Ruesselsheim on Thursday.,normal
GM,General Motors Company,20121115,GM to exit one of its venture capital unit's investments soon ,SAN FRANCISCO General Motors Co  will soon exit one of its venture capital unit's investments  either through an initial public offering or the acquisition of that company by another  the U.S. automaker's chief technology officer said.,normal
GFI,Gold Fields Limited,20121115,TEXT-S&P cuts Gold Fields to 'BB+'; outlook stable ,-- We believe that South African gold miner Gold Fields Ltd. (GFI) faces  increased country risk in light of increasing social and political tensions.,topStory
GFI,Gold Fields Limited,20121115,TEXT-S&P ratings - Gold Fields Ltd. ,(The following statement was released by the rating agency),normal
GS,Goldman Sachs Group Inc (The),20121115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.    HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/12/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Alpec SA de CV    $650 mln  10-yr     Baa3/BBB-/NA   CITI/GS,topStory
GS,Goldman Sachs Group Inc (The),20121115,New Issue- Goldman Sachs sells $1.75 bln of notes in 2 parts ,Nov 15 The Goldman Sachs Group Inc on Thursday sold $1.75 billion of medium-term notes and floating-rate notes  respectively  said IFR  a Thomson Reuters service.      Goldman Sachs was the sole bookrunning manager for the sale.  BORROWER: GOLDMAN SACHS  TRANCHE 1 AMT $500 MLN    COUPON 3-MO-LIBOR  MATURITY    11/21/2014                + 100 BPS    TYPE NTS        ISS PRICE 100      FIRST PAY   02/21/2013  MOODY'S A3      YIELD N/A          SETTLEMENT  11/23/2012    S&P A-MINUS     S,normal
GS,Goldman Sachs Group Inc (The),20121115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.    HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/12/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Alpec SA de CV    $600 mln  10-yr     Baa3/BBB-/NA   CITI/GS,normal
GS,Goldman Sachs Group Inc (The),20121115,UPDATE 1-Goldman promotes 266 employees to managing director ,(Adds link to partner story  names of new managing directors)     Nov 15 Goldman Sachs Group Inc promoted 266 employees to the title of managing director on Thursday  five more than the previous year.     The announcement comes the day after the investment bank said that 70 employees would become partners  the smallest number since Goldman went public in 1999.      Partners earn significantly more than managing directors  with salaries of about $900 000 for partners vs about $500 000,normal
GS,Goldman Sachs Group Inc (The),20121115,CORRECTED-Goldman promotes 266 employees to managing director ,(Corrects first paragraph to show five more employees  not five fewer  were promoted to managing director),normal
GS,Goldman Sachs Group Inc (The),20121115,Forward Calendar - U.S. corporate bond new issues ,Nov 15 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources:   *Denotes 144a private placement debt offering.    HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/12/2012                            COMPANY           AMT       MAT/DEBT  RTGS           MGRS                 PRICED Alpec SA de CV    $600 mln  10-yr     Baa3/BBB-/NA   CITI/GS,normal
GS,Goldman Sachs Group Inc (The),20121115,Carlyle  Seven Group hire Goldman for possible sale of Coates Hire ,SYDNEY  Nov 15 The owners of Coates Hire have roped in Goldman Sachs for a possible sale of Australia's top equipment hire firm after failing to proceed with other options including an A$800 million ($831 million) initial public offer earlier this year.,normal
HCP,HCP Inc,20121115,TEXT - Fitch rates HCP Inc notes 'BBB+' ,Nov 15 - Fitch Ratings has assigned a 'BBB+' rating to the $800 million 2.625% senior notes due 2020 issued by HCP  Inc. (NYSE: HCP). The  notes were priced at 99.729% of par to yield 2.667%.   Net proceeds from the offering are expected to be used to repay amounts  outstanding on bank credit facility related to the previously announced $1.73  billion senior housing acquisition. Proceeds may also be used for general  corporate purposes including the repayment of 2013 debt maturities and future  ,topStory
HTZ,Hertz Global Holdings Inc,20121115,Hertz receives antitrust nod for Dollar Thrifty acquisition ,Hertz Global Holdings Inc  won approval from U.S. antitrust regulators for its $2.56 billion bid for smaller car rental rival Dollar Thrifty Automotive Group   bringing an end to a more than two-year long takeover saga.,topStory
HTZ,Hertz Global Holdings Inc,20121115,UPDATE 2-Hertz receives antitrust nod for Dollar Thrifty acquisition ,Nov 15 Hertz Global Holdings Inc won approval from U.S. antitrust regulators for its $2.56 billion bid for smaller car rental rival Dollar Thrifty Automotive Group   bringing an end to a more than two-year long takeover saga.,normal
HTZ,Hertz Global Holdings Inc,20121115,Hertz receives antitrust nod for Dollar Thrifty acquisition ,Nov 15 Hertz Global Holdings Inc said U.S. antitrust regulators approved its $2.56 billion bid to buy smaller rival Dollar Thrifty Automotive Group.,normal
HTZ,Hertz Global Holdings Inc,20121115,BRIEF-Hertz Global shares rise 1.8 percent after the bell ,NEW YORK  Nov 15 Hertz Global Holdings Inc :  * Shares rise 1.8 percent after the bell,normal
HON,Honeywell International Inc,20121115,REFILE-Honeywell  Rockwell Collins expected to win Boeing contract- WSJ ,Nov 15 Honeywell International Inc and Rockwell Collins Inc are expected to win major contracts to supply systems to Boeing Co for its updated 737 Max jetliner  the Wall Street Journal reported  citing two people familiar with the decisions.,topStory
HON,Honeywell International Inc,20121115,Honeywell  Rockwell Collins expected to win Boeing contract: WSJ ,Honeywell International Inc  and Rockwell Collins Inc  are expected to win major contracts to supply systems to Boeing Co  for its updated 737 Max jetliner  the Wall Street Journal reported  citing two people familiar with the decisions.,normal
HPQ,HP Inc,20121115,CME lowers gold  silver  copper  natgas margins ,Nov 15 The CME Group on Thursday lowered margins for natural gas  gold  silver  copper  lean hog and live cattle futures  effective after close of business on Tuesday  Nov. 20.     CME  the biggest operator of U.S. futures exchanges  cut initial margins on COMEX 100 Gold Futures 18.5 percent to $7 425 a contract from $9 113  but left maintenance margins for the yellow metal unchanged.     The exchange operator trimmed maintenance margins to trade silver to $11 000 per contract  from ,topStory
ICL,Israel Chemicals Shs,20121115,UPDATE 2-Potash Corp sees 2013 rebound in world potash shipments ,* Sees 57 mln-58 mln tonnes vs earlier 56 mln-60 mln tonnes,topStory
JPM,J P Morgan Chase & Co,20121115,TABLE-Delinquency rates at major U.S. banks for October ,Nov 15 October was a mixed bag for most major U.S. banks  with delinquency rates falling at JPMorgan Chase and Bank of America Corp and rising at Capital One Financial and Discover Financial.,topStory
JPM,J P Morgan Chase & Co,20121115,Regulators cut JPMorgan's ability to trade power ,NEW YORK U.S. federal regulators temporarily banned JPMorgan Chase & Co's energy trading arm from a segment of the domestic power market  the first time such a penalty has been imposed for making factual misrepresentations during an investigation into market manipulation.,normal
JPM,J P Morgan Chase & Co,20121115,UPDATE 2-U.S. regulators cut JPMorgan's ability to trade power ,* One Commissioner dissents  says FERC starts new precedent,normal
JNJ,Johnson & Johnson,20121115,J&J  Lilly  Merck plan clinical trial site database ,Johnson & Johnson  Merck & Co Inc and Eli Lilly & Co  plan to launch a one-stop database of global clinical trial sites aimed at streamlining paperwork and speeding the process for testing new drugs.,topStory
JNJ,Johnson & Johnson,20121115,CORRECTED-J&J  Lilly  Merck plan clinical trial site database ,(Corrects spelling of Lilly in headline and throughout story),normal
KBR,KBR Inc,20121115,U.S. drops case against KBR over Iraq private security costs ,The United States has dropped its case against the engineering and military contractor KBR Inc over the costs of KBR's private armed security in Iraq.,topStory
KBR,KBR Inc,20121115,U.S. drops case against KBR over Iraq private security costs ,Nov 15 The United States has dropped its case against the engineering and military contractor KBR Inc  over the costs of KBR's private armed security in Iraq.,normal
KR,Kroger Company (The),20121115,Kroger to buy specialty pharmacy services provider Axium ,LOS ANGELES Supermarket operator Kroger Co  said on Thursday it will buy Axium Pharmacy Holdings Inc  a pharmacy services provider specializing in complex and chronic medical conditions such as cancer  as part of its growth strategy.,topStory
KR,Kroger Company (The),20121115,Kroger to buy specialty pharmacy services provider Axium ,LOS ANGELES  Nov 15 Supermarket operator Kroger Co said on Thursday it will buy Axium Pharmacy Holdings Inc  a pharmacy services provider specializing in complex and chronic medical conditions such as cancer  as part of its growth strategy.,normal
LEE,Lee Enterprises Incorporated,20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,topStory
LMT,Lockheed Martin Corporation,20121115,TEXT - S&P rates Lockheed Martin exchange notes 'A-' ,Nov 15 - Standard & Poor's Ratings Services today assigned its 'A-' rating to Lockheed Martin Corp.'s proposed 4.07% senior unsecured notes due 2042. The company has offered to exchange the proposed notes plus cash for up to approximately $3.4 billion of certain existing debt maturing between 2023 and 2040. The company will issue the notes under SEC rule 144A with registration rights.   The ratings on Lockheed Martin reflect our expectations that the company will  be able to generate significant,topStory
LOW,Lowe&#39;s Companies Inc,20121115,RPT-UPDATE 5-Major Rona shareholder Invesco seeks to replace board ,(Repeats with no changes to story or headline  widens distribution),topStory
MFC,Manulife Financial Corp,20121115,UPDATE 2-Manulife promises stability  Asian growth ,TORONTO  Nov 15 Manulife Financial Corp  is increasing its dependence on Asia as a means to reach a C$4 billion core profit goal by 2016  and promises a departure from the volatile earnings that have plagued recent quarters.,topStory
MFC,Manulife Financial Corp,20121115,BRIEF-Manulife Financial says committed to U.S. market ,TORONTO  Nov 15 Manulife Financial Corp :  * Committed to U.S. market"  says president of Manulife's John Hancock unit,normal
MFC,Manulife Financial Corp,20121115,BRIEF-Manulife says Asia growth to lead less volatile earnings ,TORONTO  Nov 15 Manulife Financial Corp :  * CEO Guloien says expects less volatile earnings in future  * CEO says company's current MCCSR ratio would be higher if measured with same,normal
MFC,Manulife Financial Corp,20121115,Manulife pushes back earnings target  names Rooney COO ,TORONTO  Nov 15 Manulife Financial Corp  pushed back its earnings target by about a year on Thursday  citing economic volatility and hedging costs  and promoted Paul Rooney  currently the head of the Canadian division  to chief operating officer.,normal
MCD,McDonald&#39;s Corporation,20121115,McDonald's replaces U.S. chief after sales disappointment ,McDonald's Corp  is replacing the president of its U.S. business a week after it reported disappointing global restaurant sales amid a loss of customers to rival fast-food chains like Burger King and Taco Bell.,topStory
MCD,McDonald&#39;s Corporation,20121115,UPDATE 2-McDonald's replaces U.S. chief after sales disappointment ,* U.S. business president Jan Fields out after 35 years at company,normal
MCD,McDonald&#39;s Corporation,20121115,McDonald's replacing its US chief ,Nov 15 McDonald's Corp said on Thursday that Jan Fields  president of its U.S. business  will leave the company.,normal
MCO,Moody&#39;s Corporation,20121115,BRIEF-Moody's assigns A1 rating to City of Oak Park's (MI) $9.4 million 2012 Refunding Bonds (Unlimited Tax General Obligation); outlook revised to negative ,Nov 16 Moody's assigns A1 rating to City of Oak Park's (MI) $9.4 million 2012 Refunding Bonds (Unlimited Tax General Obligation); outlook revised to negative,topStory
MCO,Moody&#39;s Corporation,20121115,Exclusive: Dun & Bradstreet won't sell itself now - sources ,NEW YORK Dun & Bradstreet Corp  the owner of company database Hoover's  is not pursuing a sale for now  after talks to sell itself to a rival failed over price earlier this year  four people familiar with the matter said this week.,normal
MCO,Moody&#39;s Corporation,20121115,Moody's assigns definitive Ba1 rating to Philippine peso global bond ,Philippine government's global Philippine peso-denominated bond,normal
MCO,Moody&#39;s Corporation,20121115,Moody's downgrades mortgage covered bonds of Banco CEISS ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121115,Moody's assigns first-time B2 corporate family rating to Atlas Iron  Outlook Stable ,Atlas Iron Ltd    ,normal
MCO,Moody&#39;s Corporation,20121115,Moody's assigns Aa3 debt rating to WM Treasury Plc's proposed bond issuance; outlook negative , WM Treasury Plc   ,normal
MCO,Moody&#39;s Corporation,20121115,BRIEF-Moody's takes rating actions on 5 Irish RMBS transactions ,* Moody's has today downgraded 9 senior notes and placed on review for downgrade one senior note out of five Irish RMBS transactions  following the rating agency's revision of key collateral assumptions.,normal
MCO,Moody&#39;s Corporation,20121115,Moody's upgrades Atlas Copco to A2/Prime-1; outlook stable ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121115,BRIEF-Moody's reviews J-CORE 13 Trust and AGC Trust (CMBS) for downgrade ,* Moody's reviews J-CORE 13 Trust and AGC Trust (CMBS) for downgrade,normal
MCO,Moody&#39;s Corporation,20121115,BRIEF-Moody's reviews Cafes 1 (CMBS) for downgrade ,Nov 15 Cafes 1 * Moody's reviews Cafes 1 (CMBS) for downgrade ,normal
MS,Morgan Stanley,20121115,BTS taps Morgan Stanley  UBS  Phatra for record $1.1 billion Thai IPO: IFR ,HONG KONG Bangkok skytrain operator BTS Group Holdings Pcl  has appointed Morgan Stanley   Phatra Securities and UBS  as joint bookrunners for a planned 33.3 billion baht ($1.08 billion) IPO of an infrastructure fund it is setting up  IFR reported on Thursday  citing sources.,topStory
NGG,National Grid Transco PLC,20121115,National Grid understands anger after Superstorm Sandy blackouts ,Britain's National Grid Plc said it could understand the anger of thousands of U.S. customers still in the dark after Superstorm Sandy and was working to restore all its services on the east coast.,topStory
NGG,National Grid Transco PLC,20121115,UPDATE 2-National Grid understands anger after Superstorm Sandy blackouts ,* Restoration costs outside LIPA not to cross 100 mln stg,normal
NGG,National Grid Transco PLC,20121115,National Grid says Sandy impact outside LIPA below 100 mln stg ,Nov 15 Britain's biggest energy distributor National Grid Plc reported a 21 percent rise in first-half profit and said restoration costs outside The Long Island Power Authority service area are not expected to be more than 100 million pounds ($158.5 million).,normal
NGG,National Grid Transco PLC,20121115,NY utility executive promoted amid widening investigation ,NEW YORK The utility executive who oversaw the widely criticized efforts to restore power to millions of Long Island customers after Superstorm Sandy has been promoted  his company said on Wednesday.,normal
NGG,National Grid Transco PLC,20121115,NY utility executive promoted amid widening investigation ,NEW YORK  Nov 14 The utility executive who oversaw the widely criticized efforts to restore power to millions of Long Island customers after Superstorm Sandy has been promoted  his company said on Wednesday.,normal
NOV,National Oilwell Varco Inc,20121115,TEXT - S&P rates National Oilwell Varco ,Nov 15 - Standard & Poor's Ratings Services today assigned its 'A-' senior unsecured debt rating to National Oilwell Varco Inc.'s announced $3.0 billion senior unsecured note offering. The offering will comprise three maturities of five-  10-  and 30-years; however  the amounts allocated to each maturity have not been determined at this time. The notes are not guaranteed by the subsidiaries of National Oilwell Varco and will be structurally subordinated to all existing and future debts and other,topStory
NOV,National Oilwell Varco Inc,20121115,CORRECTED-BRIEF-Berkshire Hathaway takes share stake in Deere of 3.98 mln shares ,(Corrects headline and first bullet to say Berkshire Hathaway reported share stake in Deere of 3.98 million shares  not 3 978 767 million shares) Nov 14 Berkshire Hathaway Inc :  * Takes share stake in Deere & Co of 3.98 million shares  * Cuts share stake in Lee Enterprises Inc by 65 percent to 1.13 million shares  * Ups share stake in National Oilwell Varco Inc by 47.4 percent to 4.19 million shares  * Takes share stake in Precision Castparts Corp of 1.25 million shares  * Cuts shar,normal
NYT,New York Times Company (The),20121115,PRESS DIGEST-New York Times business news - Nov 15 ,Nov 15 The following are the top stories on the New York Times business pages on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NEE,NextEra Energy Inc,20121115,New Issue- NextEra Energy sells $500 mln in notes ,Nov 15 NextEra on Wednesday sold $500 million of junior subordinated debentures  said IFR  a Thomson Reuters service.      The size of the deal was increased from the originally planned $200 million.      Citigroup  Bank of America Merrill Lynch  Morgan Stanley  UBS and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: NEXTERA ENERGY  AMT $500 MLN    COUPON 5.125 PCT   MATURITY    11/15/2072    TYPE NTS        ISS PRICE 25       FIRST PAY   02/15/2013 MOODY'S B,topStory
