ACAD,ACADIA Pharmaceuticals Inc,20121127,UPDATE 1-Acadia antipsychotic for Parkinson's succeeds in trial ,* Achieves antipsychotic effect without loss of motor function,topStory
GS,Goldman Sachs Group Inc (The),20121127,New Issue-Volkswagen Financial prices 300 mln euro 2015 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 86.9bp,topStory
GS,Goldman Sachs Group Inc (The),20121127,Canada's Carney named as Bank of England chief ,LONDON/OTTAWA Britain named Canadian central bank chief Mark Carney on Monday to head the Bank of England  springing the surprise choice of a foreigner to push reform of its troubled financial system. | Video ,normal
GS,Goldman Sachs Group Inc (The),20121127,Goldman's vice chairman sells stock  options for $13.2 million ,The vice chairman of Goldman Sachs Group Inc   J. Michael Evans  sold shares and exercised stock options that fetched about $13.2 million  according to a regulatory filing on Monday.,normal
GS,Goldman Sachs Group Inc (The),20121127,Goldman's vice chairman sells stock  options for $13.2 million ,Nov 26 The vice chairman of Goldman Sachs Group Inc  J. Michael Evans  sold shares and exercised stock options that fetched about $13.2 million  according to a regulatory filing on Monday.,normal
GES,Guess? Inc,20121127,Daughter of Anna Nicole Smith  six  models for Guess ,LOS ANGELES The six-year-old daughter of dead Playboy model and reality television star Anna Nicole Smith has stepped in front of the camera like her mother to model for U.S. clothing brand Guess  the company said on Monday.,topStory
GES,Guess? Inc,20121127,Daughter of Anna Nicole Smith  6  models for Guess ,LOS ANGELES  Nov 26 The six-year-old daughter of dead Playboy model and reality television star Anna Nicole Smith has stepped in front of the camera like her mother to model for U.S. clothing brand Guess  the company said on Monday.,normal
HPQ,HP Inc,20121127,HP rebuffs ex-Autonomy CEO  warns of legal action ,SAN FRANCISCO Hewlett Packard Co rebuffed a request by former Autonomy Chief Executive Mike Lynch to detail accusations of accounting fraud leveled against the British software company and its former executives  and challenged Lynch to submit to questions under penalty of perjury.,topStory
HPQ,HP Inc,20121127,Former Autonomy CEO seeks details from HP board on accounting allegations ,SAN FRANCISCO Former Autonomy Chief Executive Mike Lynch asked Hewlett-Packard Co's board of directors for specific details about the accounting allegations which led the company to take an $8.8 billion write-down last week.,normal
HPQ,HP Inc,20121127,UPDATE 1-HP rebuffs ex-Autonomy CEO  warns of legal action ,* Lynch wants HP to outline accusations  provide documents,normal
HPQ,HP Inc,20121127,HP rebuffs ex-Autonomy CEO  warns of legal action ,SAN FRANCISCO Hewlett Packard Co rebuffed former Autonomy CEO Mike Lynch's request for details of its accusations against the British software firm and its former executives  saying the matter is now in the hands of U.S. and British authorities.,normal
HPQ,HP Inc,20121127,HP rebuffs ex-Autonomy CEO  warns of legal action ,SAN FRANCISCO  Nov 27 Hewlett Packard Co  rebuffed former Autonomy CEO Mike Lynch's request for details of its accusations against the British software firm and its former executives  saying the matter is now in the hands of U.S. and British authorities.,normal
HPQ,HP Inc,20121127,Autonomy's Lynch again rejects HP allegations ,LONDON Mike Lynch  the former head of software firm Autonomy  has written an open letter to Hewlett Packard renewing his rejection of a charge of accounting impropriety leveled at his management team by the U.S. company.,normal
HPQ,HP Inc,20121127,Autonomy's Lynch again rejects HP allegations ,LONDON  Nov 27 Mike Lynch  the former head of software firm Autonomy  has written an open letter to Hewlett Packard renewing his rejection of a charge of accounting impropriety levelled at his management team by the U.S. company.,normal
HPQ,HP Inc,20121127,Former Autonomy CEO seeks details from HP board on accounting allegations ,SAN FRANCISCO  Nov 27 Former Autonomy Chief Executive Mike Lynch asked Hewlett-Packard Co's board of directors for specific details about the accounting allegations which led the company to take an $8.8 billion write-down last week.,normal
IBM,International Business Machines Corporation,20121127,BRIEF-Cyber Monday online sales rose 30.3 percent over 2011: IBM ,Nov 27 IBM:  * Cyber Monday online sales rose 30.3 percent over 2011: IBM,topStory
ITUB,Itau Unibanco Banco Holding SA,20121127,Itau moves Europe investment bank HQ to London ,LONDON  Nov 27 Itau Unibanco  Brazil's biggest bank  is moving its European investment banking headquarters to London from Lisbon.,topStory
JPM,J P Morgan Chase & Co,20121127,New Issue- EFSF prices 7.0 bln euro 2013 bond ,Borrower                European Financial Stability Facility,topStory
JPM,J P Morgan Chase & Co,20121127,Schapiro stepping down at SEC  Walter to step in ,WASHINGTON The head of the U.S. Securities and Exchange Commission  Mary Schapiro  will step down next month after a tumultuous four years spent rehabilitating the agency's battered reputation  handing the reins temporarily to a close ally. | Video ,normal
KAR,KAR Auction Services Inc,20121127,TEXT-S&P: KAR Auction Services 'B+' rating unchanged ,Nov 27 - Standard & Poor's Ratings Services said today that its 'BB-' issue rating on KAR Auction Services Inc.'s senior secured credit facility and its 'B' rating on KAR's $150 million unsecured notes remain unchanged after the company's announcement that a proposed amended and restated credit agreement will relax certain financial covenants  revise the terms of the cash flow sweep  and increase its restricted-payments basket. Standard & Poor's also said that its 'B+' corporate credit rating an,topStory
LMT,Lockheed Martin Corporation,20121127,Lockheed Martin raises compensation of CEO-elect Hewson ,Defense contractor Lockheed Martin Corp  said Marillyn Hewson  set to become chief executive on January 1  would receive an annual base salary of $1.38 million and a target bonus percentage of 175 percent in 2013.,topStory
LMT,Lockheed Martin Corporation,20121127,Lockheed Martin raises compensation of CEO-elect Hewson ,Nov 27 Defense contractor Lockheed Martin Corp  said Marillyn Hewson  set to become chief executive on Jan. 1  would receive an annual base salary of $1.38 million and a target bonus percentage of 175 percent in 2013.,normal
LMT,Lockheed Martin Corporation,20121127,BAE shares rise on trader talk of Lockheed interest ,LONDON Shares in British aerospace group BAE Systems  rose sharply on Tuesday  with four traders citing market speculation of interest in the company from U.S. group Lockheed Martin .,normal
LMT,Lockheed Martin Corporation,20121127,BAE shares rise on trader talk of Lockheed interest ,LONDON  Nov 27 Shares in British aerospace group BAE Systems rose sharply on Tuesday  with four traders citing market speculation of interest in the company from U.S. group Lockheed Martin.,normal
MAC,Macerich Company (The),20121127,U.S. shopping malls cater to shifting demographics ,NEW YORK  Nov 27 Macerich Co isn't usually in the business of hosting religious processions in its mall parking lots.,topStory
M,Macy&#39;s Inc,20121127,Police probe how Romney security data became NYC parade confetti ,NEW YORK Police are investigating how shredded documents revealing confidential information  including details about Republican presidential candidate Mitt Romney's motorcade  wound up as confetti on a Manhattan sidewalk during the annual Macy's Thanksgiving Day Parade.,topStory
MGA,Magna International Inc,20121127,Austria says Magna got business from Eurofighter deal ,VIENNA  Nov 27 Industrialist turned politician Frank Stronach's Magna International did 350 million euros ($454 million) in business related to a controversial Eurofighter deal  Austria's economy minister said.,topStory
MFC,Manulife Financial Corp,20121127,Manulife promotes Hancock exec to head Canada unit ,TORONTO  Nov 27 Manulife Financial  one of North America's largest insurers  has promoted Marianne Harrison to the post of general manager of its Canadian division  giving her responsibility for one of the company's three key business units.,topStory
MRK,Merck & Company Inc,20121127,Novo Nordisk says new data show Victoza advantage ,COPENHAGEN  Nov 27 Denmark's Novo Nordisk  on Tuesday said new data showed an advantage for type two diabetes patients given its diabetes drug Victoza compared with rival drugs from Merck & Co and Amylin Pharmaceuticals Inc.,topStory
MCO,Moody&#39;s Corporation,20121127,New Issue- Credit Mutuel Arkea prices 750 mln euro 2014 FRN ,Notes                   Launched under issuer's EMTN programme,topStory
MCO,Moody&#39;s Corporation,20121127,Moody's downgrades Caja Laboral to Ba1; outlook negative ,For the full text of this story please click the following link:,normal
MCO,Moody&#39;s Corporation,20121127,Moody's assigns A1 rating to KLHC's HKD notes ,For the full text of this story please click the following link:,normal
MS,Morgan Stanley,20121127,New Issue- EFSF prices 7.0 bln euro 2013 bond ,Borrower                European Financial Stability Facility,topStory
MUR,Murphy Oil Corporation,20121127,TEXT - Fitch rates Murphy Oil Corp bond issuance 'BBB' ,Nov 27 - Fitch Ratings has assigned a 'BBB-' rating to Murphy Oil Corporation (NYSE: MUR)'s issuance of unsecured notes. The Rating  Outlook remains Stable.   Murphy Oil's ratings are as follows:  --Issuer Default Rating (IDR) 'BBB-'; --Senior unsecured notes 'BBB-';  --Senior unsecured revolver 'BBB-'.   The new notes will rank equally with existing unsecured senior debt. Net  proceeds from the offering will be used for a special dividend of $2.50 per  share (approximately $500 million) and to ,topStory
MUR,Murphy Oil Corporation,20121127,TEXT-S&P rates Murphy Oil Corp notes 'BBB' ,Nov 27 - Standard & Poor's Ratings Services today assigned its 'BBB' issue rating to Murphy Oil Corp.'s announced senior unsecured note offering.   The offering will consist of three maturities of five-  10-  and 30-years;  however  the amounts allocated to each maturity have not been determined at  this time. Murphy Oil's subsidiaries do not guarantee the notes and they will  be structurally subordinated to all existing and future debts and other  liabilities of those subsidiaries. We expect th,normal
NGG,National Grid Transco PLC,20121127,National Grid to invest $40 million in Clean Line Energy ,HOUSTON Power and natural gas distributor National Grid  will invest $40 million in Clean Line Energy Partners LLC  a Houston-based developer of high-voltage transmission lines designed to move large amounts of renewable power to U.S. markets  the companies said on Tuesday.,topStory
NGG,National Grid Transco PLC,20121127,National Grid to invest $40 million in Clean Line Energy ,HOUSTON  Nov 27 Power and natural gas distributor National Grid will invest $40 million in Clean Line Energy Partners LLC  a Houston-based developer of high-voltage transmission lines designed to move large amounts of renewable power to U.S. markets  the companies said on Tuesday.,normal
NYT,New York Times Company (The),20121127,PRESS DIGEST-New York Times business news - Nov 27 ,Nov 27 The following are the top stories on the New York Times business pages on Tuesday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NVO,Novo Nordisk A/S,20121127,Novo Nordisk says new data show Victoza advantage ,COPENHAGEN  Nov 27 Denmark's Novo Nordisk  on Tuesday said new data showed an advantage for type two diabetes patients given its diabetes drug Victoza compared with rival drugs from Merck & Co and Amylin Pharmaceuticals Inc.,topStory
IX,Orix Corp Ads,20121127,TEXT-S&P Affirms Ratings On ORIX APL-J Trust I ,-- The ORIX APL-J Trust I transaction is ultimately secured by a pool of apartment loans originated by ORIX Corp.,topStory
PSO,Pearson Plc,20121127,UPDATE 2-Head of Pearson's FT group to stand down ,LONDON  Nov 27 The head of the Financial Times Group is to stand down almost two months after losing out in the race for the top job at Pearson  the pink-paged newspaper's owner.,topStory
PSO,Pearson Plc,20121127,CEO of Pearson's FT group to stand down ,LONDON  Nov 27 Rona Fairhead  chief executive of Pearson's Financial Times Group  is to stand down from the pink-paged newspaper group next April  she announced on Tuesday.,normal
PJC,Piper Jaffray Companies,20121127,Schwab to expand muni business with Piper Jaffray ,SAN FRANCISCO Seeking to expand its bond business  brokerage Charles Schwab Corp  says it will give clients access to new issue municipal debt through Piper Jaffray Companies.,topStory
PJC,Piper Jaffray Companies,20121127,Schwab to expand muni business with Piper Jaffray ,SAN FRANCISCO  Nov 27 Seeking to expand its bond business  brokerage Charles Schwab Corp says it will give clients access to new issue municipal debt through Piper Jaffray Companies.,normal
PVH,PVH Corp,20121127,PVH expects to earn more this year as margins rise ,Clothing maker PVH Corp  posted a bigger quarterly profit on Tuesday despite a slight drop in sales as its higher margin Calvin Klein and Tommy Hilfiger businesses grew faster  and its shares gained one percent in after-hours trade.,topStory
PVH,PVH Corp,20121127,UPDATE 2-PVH expects to earn more this year as margins rise ,Nov 27 Clothing maker PVH Corp posted a bigger quarterly profit on Tuesday despite a slight drop in sales as its higher margin Calvin Klein and Tommy Hilfiger businesses grew faster  and its shares gained one percent in after-hours trade.,normal
PVH,PVH Corp,20121127,PVH posts bigger quarterly profit ,Nov 27 Clothing maker PVH Corp posted a bigger quarterly profit despite a slight drop in sales  as its higher margin Calvin Klein and Tommy Hilfiger businesses grew faster.,normal
RTN,Raytheon Company,20121127,New Issue - Raytheon sells $1.1 bln in notes ,Nov 27 Raytheon Co on Tuesday sold $1.1 billion of notes  said IFR  a Thomson Reuters service.      Credit Suisse and J.P. Morgan were the joint bookrunning managers for the sale.  BORROWER: RAYTHEON  AMT $1.1 BLN    COUPON 2.5 PCT     MATURITY    12/15/2022    TYPE NTS        ISS PRICE 99.691   FIRST PAY   06/15/2013 MOODY'S A3      YIELD 2.535 PCT    SETTLEMENT  12/04/2012    S&P A-MINUS     SPREAD 90 BPS      PAY FREQ    SEMI-ANNUAL FITCH A-MINUS    MORE THAN TREAS   MAKE-WHOLE CA,topStory
RTN,Raytheon Company,20121127,TEXT - Fitch rates Raytheon proposed snr unsecured notes 'A-' ,Nov 27 - Fitch Ratings has assigned an 'A-' rating to Raytheon Company's  (RTN) planned issuance of senior unsecured notes in the range of up to $1 billion maturing in 2022. Proceeds will be used to redeem a total of approximately $1 billion of senior unsecured notes maturing in 2014 and 2015 and for general corporate purposes. RTN's leverage is expected to remain virtually  unchanged because of the company's plans to redeem some of its outstanding  notes. The Rating Outlook is Stable. A full ra,normal
RTN,Raytheon Company,20121127,TEXT - S&P rates Raytheon proposed notes 'A-' ,Nov 27 - Standard & Poor's Ratings Services today assigned its 'A-' rating to Raytheon Co.'s  proposed issuance of unsecured notes. The company has not stated what amount of new notes it plans to issue  but it will use the proceeds to redeem its $575 million 1.4% notes due 2014 and $400 million 1.625% notes due 2015. Raytheon plans to issue the notes as a drawdown from its existing shelf registration.  Our ratings on Raytheon reflect our expectations that cash generation will  remain solid despi,normal
RBS,Royal Bank Scotland plc (The),20121127,New Issue-RBS sells $2.25 billion in notes ,Nov 27 The Royal Bank of Scotland Group plc  on Tuesday sold $2.25 billion of tier 2 subordinated notes  said IFR  a Thomson Reuters service.      RBS  Citigroup and Morgan Stanley were the joint bookrunning managers for the sale.  BORROWER: RBS  AMT $2.25 BLN   COUPON 6.125       MATURITY    12/15/2022    TYPE NTS        ISS PRICE 99.923   FIRST PAY   06/15/2013  MOODY'S N/A     YIELD 6.135 PCT    SETTLEMENT  12/04/2012    S&P BB-PLUS     SPREAD 450 BPS     PAY FREQ    SEMI-ANNUAL F,topStory
RBS,Royal Bank Scotland plc (The),20121127,New Issue-Vivendi prices 700 mln euro 2020 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 168.9bp,normal
RBS,Royal Bank Scotland plc (The),20121127,Banks lead UK shares higher after Greece debt deal ,LONDON  Nov 27 Britain's top shares rose on Tuesday  with banks leading a broad-based rally as a deal was finally struck between Greece's international lenders on reducing the country's debt burden.,normal
RBS,Royal Bank Scotland plc (The),20121127,UK's Nationwide interested in buying RBS branches ,LONDON Nationwide  Britain's biggest customer-owned financial services group  is interested in bidding for 316 branches being sold by Royal Bank of Scotland  to speed up its expansion into lending to small and medium-sized businesses.,normal
RBS,Royal Bank Scotland plc (The),20121127,UPDATE 3-UK's Nationwide interested in buying RBS branches ,LONDON  Nov 27 Nationwide  Britain's biggest customer-owned financial services group  is interested in bidding for 316 branches being sold by Royal Bank of Scotland  to speed up its expansion into lending to small and medium-sized businesses.,normal
RBS,Royal Bank Scotland plc (The),20121127,Nationwide interested in RBS 'Rainbow' branches-CEO ,LONDON  Nov 27 Nationwide  Britain's biggest customer-owned financial services group  would be interested in bidding for 316 branches put up for sale by RBS if complications around a deal can be overcome  its chief executive said.,normal
SNE,Sony Corp Ord,20121127,Exclusive: Banks offer to help Sony offload battery unit - sources ,TOKYO Sony Corp has been approached by at least three investment banks offering to sell its battery business as the struggling Japanese group looks to offload non-core assets and focus on reviving its consumer electronics business  banking sources said.,topStory
BID,Sotheby&#39;s,20121127,Piano from "Casablanca" could sell for $1 million at NY auction ,NEW YORK The piano from the Oscar-winning film "Casablanca" could fetch more than $1 million when it is sold at auction in New York next month on the 70th anniversary of the premiere of the classic movie  Sotheby's said on Tuesday.,topStory
STO,Statoil ASA,20121127,Statoil halts Faroe drilling as winter sets in ,OSLO  Nov 27 Oil and gas firm Statoil  suspended work on its Brugdan II well offshore the Faroe Islands due to worsening weather conditions as winter sets in  the company said on Tuesday.,topStory
SF,Stifel Financial Corporation,20121127,Analysis: Stifel CEO puts reputation on line with KBW buy ,NEW YORK Over the past seven years  Stifel Financial Corp  Chief Executive Ronald Kruszewski has impressed Wall Street with a series of acquisitions that quintupled the regional brokerage's revenue and rewarded shareholders with a nearly four-fold increase in returns over the last five years.,topStory
TI,Telecom Italia SPA,20121127,Telecom Italia shares fall after Sawiris outlines plans ,MILAN Shares in Telecom Italia  fell more than 3 percent after Egyptian tycoon Naguib Sawiris outlined a proposal to take a stake in the former telecoms monopoly through a 3-billion-euro ($3.9 billion) capital hike.,topStory
TI,Telecom Italia SPA,20121127,UPDATE 2-Telecom Italia shares fall after Sawiris outlines plans ,* Sawiris offer has no benefits for core investors - analyst,normal
TI,Telecom Italia SPA,20121127,Telecom Italia down after Sawiris proposed 3 bln euros cap hike ,MILAN  Nov 27 Shares in Telecom Italia  fall 1 percent in early trading after Egyptian tycoon Naguib Sawiris put on the table a 3-billion-euro ($3.89 billion) capital hike.,normal
TI,Telecom Italia SPA,20121127,Exclusive: Egyptian investor seeks to put stamp on Telecom Italia ,DUBAI Egyptian entrepreneur Naguib Sawiris aims to shake up debt-laden Telecom Italia and steer it towards expansion in Brazil if shareholders warm up to his proposal for a 3 billion euro ($3.9 billion) cash infusion.,normal
TI,Telecom Italia SPA,20121127,EXCLUSIVE-Egyptian investor seeks to put stamp on Telecom Italia ,* Sawiris's proposed capital increase open to other holders,normal
TEF,Telefonica SA,20121127,EXCLUSIVE-Egyptian investor seeks to put stamp on Telecom Italia ,* Sawiris's proposed capital increase open to other holders,topStory
SCHW,The Charles Schwab Corporation,20121127,Schwab to expand muni business with Piper Jaffray ,SAN FRANCISCO Seeking to expand its bond business  brokerage Charles Schwab Corp  says it will give clients access to new issue municipal debt through Piper Jaffray Companies.,topStory
SCHW,The Charles Schwab Corporation,20121127,Schwab to expand muni business with Piper Jaffray ,SAN FRANCISCO  Nov 27 Seeking to expand its bond business  brokerage Charles Schwab Corp says it will give clients access to new issue municipal debt through Piper Jaffray Companies.,normal
TRI,Thomson Reuters Corp,20121127,Analysis: Stifel CEO puts reputation on line with KBW buy ,NEW YORK Over the past seven years  Stifel Financial Corp  Chief Executive Ronald Kruszewski has impressed Wall Street with a series of acquisitions that quintupled the regional brokerage's revenue and rewarded shareholders with a nearly four-fold increase in returns over the last five years.,topStory
TM,Toyota Motor Corp Ltd Ord,20121127,Toyota sees November U.S. auto sales at 14.8-15.2 million annualized rate ,LOS ANGELES Toyota Motor Corp  U.S. executive Jim Lentz said consumers purchasing new vehicles to replace those lost during Superstorm Sandy will mean strong November U.S. auto sales.,topStory
TDG,Transdigm Group Incorporated,20121127,TEXT-Fitch affirms TransDigm Group IDR at 'B'  outlook is stable ,Nov 27 - Fitch Ratings has affirmed TransDigm Group Inc.'s (NYSE: TDG) and its indirect subsidiary TransDigm  Inc.'s (TDI) Issuer Default Ratings at 'B' with a Stable Outlook. In addition  Fitch also affirmed the 'BB/RR1' ratings for TDI's term A loan and senior secured credit facility and the 'B-/RR5' rating for TDI's senior subordinated notes. Approximately $4.3 billion of outstanding debt is covered by these ratings.  TDG's ratings are supported by the company's strong free cash flow (FCF; ca,topStory
UNH,UnitedHealth Group Incorporated,20121127,UnitedHealth expects to adds 3.5 million to 4 million members in 2013 ,UnitedHealth Group Inc   the nation's largest private insurer  said on Tuesday it would add 3.5 million to 4 million new members next year  indicating slower growth than expected from 2012 because of a decline in fully insured commercial customers.,topStory
UNH,UnitedHealth Group Incorporated,20121127,CORRECTED-UnitedHealth expects to adds 3.5 mln to 4 mln members in 2013 ,(Corrects first paragraph to show growth compared to 2012 not growth for 2012),normal
UNH,UnitedHealth Group Incorporated,20121127,BRIEF-UnitedHealth sees 2013 share repurchases of $2.5 billion to $3.0 billion - slides ,Nov 27 UnitedHealth Group Inc :  * Sees 2013 share repurchases of $2.5 billion to $3.0 billion versus 2012 of,normal
DIS,Walt Disney Company (The),20121127,TEXT-S&P rates Walt Disney Co proposed benchmark issuance 'A' ,Nov 27 - Standard & Poor's Ratings Services said today that it assigned Burbank  Calif.-based entertainment conglomerate The Walt Disney Co.'s  proposed benchmark issuance of three-  five-  10-  and 30-year debt its 'A' issue-level rating. The company will use the proceeds of the issuance for general corporate purposes  which could include the repayment of near-term debt maturities including commercial paper or to be able to finance the purchase of Lucasfilm. We estimate the impact of this issua,topStory
DIS,Walt Disney Company (The),20121127,TEXT-Fitch rates Disney's proposed offering 'A' ,Nov 27 - Fitch Ratings has assigned an 'A' rating to The Walt Disney Company's (Disney) proposed offering of benchmark 3-  5-  10-  and 30-year senior unsecured notes. The Rating Outlook is Stable. A full rating list is shown below.  The notes will be issued under Disney's existing indenture dated Sept. 24  2001  and will be pari passu with all existing debt. Similar to existing bonds  there are no financial covenants. Proceeds will be used for general corporate purposes. Fitch expects the compa,normal
