MDRX,Allscripts Healthcare Solutions Inc,20121008,Allscripts gets first offers from PE group: report ,Allscripts Healthcare Solutions Inc received offers from a private-equity consortium including Blackstone Group LP and Carlyle Group LP  Bloomberg reported  sending the healthcare company's shares up 6 percent in premarket trade.,topStory
HSBC,HSBC Holdings plc,20121008,New Issue-Air Liquide Finance prices 500 mln euro 2021 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 94.2bp,normal
HSBC,HSBC Holdings plc,20121008,HSBC China services PMI recovers to 54.3 after one-year low ,BEIJING China's services sector rebounded in September after its growth hit a one-year low in August  according to a private sector survey on Monday that follows last week's much more gloomy official assessment.,normal
HSBC,HSBC Holdings plc,20121008,HSBC China services PMI recovers to 54.3 after one-year low ,BEIJING  Oct 8 China's services sector rebounded in September after its growth hit a one-year low in August  according to a private sector survey on Monday that follows last week's much more gloomy official assessment.,normal
HSEA,HSBC Holdings plc,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,topStory
HSEA,HSBC Holdings plc,20121008,New Issue-Total Capital adds 600 mln NOK to 2017 bond ,Lead Manager(s)         RBC Capital  Vontobel  Daiwa  Deutsche Bank ,normal
HSEA,HSBC Holdings plc,20121008,New Issue-Air Liquide Finance prices 500 mln euro 2021 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 94.2bp,normal
HSEA,HSBC Holdings plc,20121008,HSBC China services PMI recovers to 54.3 after one-year low ,BEIJING China's services sector rebounded in September after its growth hit a one-year low in August  according to a private sector survey on Monday that follows last week's much more gloomy official assessment.,normal
HSEA,HSBC Holdings plc,20121008,HSBC China services PMI recovers to 54.3 after one-year low ,BEIJING  Oct 8 China's services sector rebounded in September after its growth hit a one-year low in August  according to a private sector survey on Monday that follows last week's much more gloomy official assessment.,normal
HSEB,HSBC Holdings plc,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,topStory
HSEB,HSBC Holdings plc,20121008,New Issue-Total Capital adds 600 mln NOK to 2017 bond ,Lead Manager(s)         RBC Capital  Vontobel  Daiwa  Deutsche Bank ,normal
HSEB,HSBC Holdings plc,20121008,New Issue-Air Liquide Finance prices 500 mln euro 2021 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 94.2bp,normal
HSEB,HSBC Holdings plc,20121008,HSBC China services PMI recovers to 54.3 after one-year low ,BEIJING China's services sector rebounded in September after its growth hit a one-year low in August  according to a private sector survey on Monday that follows last week's much more gloomy official assessment.,normal
HSEB,HSBC Holdings plc,20121008,HSBC China services PMI recovers to 54.3 after one-year low ,BEIJING  Oct 8 China's services sector rebounded in September after its growth hit a one-year low in August  according to a private sector survey on Monday that follows last week's much more gloomy official assessment.,normal
IVZ,Invesco Plc,20121008,BAE's largest shareholder opposes EADS deal ,LONDON The largest shareholder in BAE  issued a long list of objections to the group's proposed $45 billion merger with EADS  on Monday  including concerns over state interference  poor terms and a lack of strategic rationale.,topStory
IVZ,Invesco Plc,20121008,UPDATE 1-BAE's largest shareholder opposes EADS deal ,LONDON  Oct 8 The largest shareholder in BAE  issued a long list of objections to the group's proposed $45 billion merger with EADS on Monday  including concerns over state interference  poor terms and a lack of strategic rationale.,normal
IVZ,Invesco Plc,20121008,BAE's largest shareholder opposes EADS deal ,LONDON  Oct 8 The largest shareholder in BAE  issued a long list of objections to the group's proposed $45 billion merger with EADS on Monday  including concerns over state interference  poor terms and a lack of stategic rationale.,normal
JPM,J P Morgan Chase & Co,20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
LMT,Lockheed Martin Corporation,20121008,Lockheed to split electronic systems business in two ,WASHINGTON The largest U.S. weapons maker  Lockheed Martin Corp   said it plans to split its electronic systems business into two separate operations focused on missiles and training  a move it said would save $50 million and eliminate 200 jobs.,topStory
LMT,Lockheed Martin Corporation,20121008,UPDATE 1-Lockheed to split electronic systems business in two ,WASHINGTON  Oct 8 The largest U.S. weapons maker  Lockheed Martin Corp  said it plans to split its electronic systems business into two separate operations focused on missiles and training  a move it said would save $50 million and eliminate 200 jobs.,normal
MPC,Marathon Petroleum Corporation,20121008,Marathon to buy BP Texas City refinery for up to $2.5 billion ,HOUSTON Marathon Petroleum Corp  is buying BP Plc's  Texas City refinery  the site of a deadly industrial accident  in a $2.5 billion deal that will make it the No. 4 U.S. refiner with a bigger potential slice of lucrative exports.,topStory
MPC,Marathon Petroleum Corporation,20121008,UPDATE 4-Marathon to buy BP Texas City refinery for up to $2.5 bln ,HOUSTON  Oct 8 Marathon Petroleum Corp  is buying BP Plc's Texas City refinery  the site of a deadly industrial accident  in a $2.5 billion deal that will make it the No. 4 U.S. refiner with a bigger potential slice of lucrative exports.,normal
MPC,Marathon Petroleum Corporation,20121008,TEXT-S&P affirms Marathon Petroleum  Corp ratings ,Overview      -- Marathon Petroleum Corp. announced that it will acquire BP PLC's Texas  City refinery and related assets for $598 million  plus an additional $1.2  billion for inventories. The acquisition will be funded from Marathon's cash  balance.      -- We are affirming our ratings on Marathon.      -- The stable outlook reflects our expectation that the company will  maintain strong liquidity and that funded debt will not meaningfully increase  beyond current levels.  Rating Action On Oct,normal
MRK,Merck & Company Inc,20121008,UK says Sanofi  Merck recall some typhoid vaccine batches ,LONDON Sanofi Pasteur MSD  the vaccine joint venture of Sanofi and Merck & Co  has recalled some batches of its typhoid vaccine because of concerns about effectiveness  Britain's drug regulator said on Monday.,topStory
MRK,Merck & Company Inc,20121008,UK says Sanofi  Merck recall some typhoid vaccine batches ,LONDON  Oct 8 Sanofi Pasteur MSD  the vaccine joint venture of Sanofi and Merck & Co  has recalled some batches of its typhoid vaccine because of concerns about effectiveness  Britain's drug regulator said on Monday.,normal
MCO,Moody&#39;s Corporation,20121008,RPT-BRIEF-Moody's assigns B2 CFR to ABB Con-Cise ,* Moody's assigns b2 cfr to abb con-cise; b2 to proposed credit facilities,topStory
MCO,Moody&#39;s Corporation,20121008,BRIEF - Moody's may change Seneca Falls  NY A1 GO rating ,Oct 8 Moody's may change Seneca Falls  NY A1 GO rating,normal
MCO,Moody&#39;s Corporation,20121008,BRIEF - Moody's cuts Southwestern Public Service rating to Baa2 ,Oct 8 Moody's cuts Southwestern Public Service rating to Baa2 from Baa1,normal
MCO,Moody&#39;s Corporation,20121008,New Issue- Intesa Sanpaolo SPA prices 1.25 bln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 357.9bp,normal
MCO,Moody&#39;s Corporation,20121008,New Issue-Total Capital adds 600 mln NOK to 2017 bond ,Lead Manager(s)         RBC Capital  Vontobel  Daiwa  Deutsche Bank ,normal
MCO,Moody&#39;s Corporation,20121008,BRIEF-Moody's : Noble's sukuk issuance: a credit positive ,Oct 08 Noble Group Limited * Moody's : Noble's sukuk issuance: a credit positive ,normal
MCO,Moody&#39;s Corporation,20121008,BRIEF-Moody's: Global corporate default rate slightly up from the second quarter of 2012  to end the third at 3.0% ,Oct 8 Moody's: Global corporate default rate slightly up from the second quarter of 2012  to end the third at 3.0%,normal
MS,Morgan Stanley,20121008,ON THE MOVE-Morgan Stanley  Wells Fargo land Merrill Lynch teams ,Oct 8 Two veteran broker teams from Bank of America's Merrill Lynch have departed for rival firms Morgan Stanley Wealth Management and Wells Fargo Advisors  according to sources with knowledge of the moves.,topStory
MS,Morgan Stanley,20121008,MOVES-Morgan Stanley  AXA PE  BNY Mellon  Alliance Trust ,Oct 8 The following financial services industry appointments and departures were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
MS,Morgan Stanley,20121008,Reliance's key Indian gas fields may run out in 5 yrs-analysts ,NEW DELHI  Oct 8 Reliance Industries'  key gas producing fields off India's east coast could be exhausted in five years  Morgan Stanley analysts said in a report.,normal
MS,Morgan Stanley,20121008,BRIEF-Netflix shares up after Morgan Stanley upgrade ,NEW YORK  Oct 8 Netflix Inc :  * Shares up 6.1 percent in premarket trade after Morgan Stanley upgrade,normal
MS,Morgan Stanley,20121008,Goldman  Morgan Stanley lose top Qatar bankers to local firms: sources ,DUBAI Morgan Stanley  and Goldman Sachs Group Inc  have lost their two top Qatar executives to local firms  three sources said on Monday  as the gas-rich Gulf Arab state lures back high-profile citizens with better pay and prospects.,normal
MS,Morgan Stanley,20121008,UPDATE 1-Goldman  M.Stanley lose top Qatar bankers to local firms-sources ,DUBAI  Oct 8 Morgan Stanley and Goldman Sachs Group Inc have lost their two top Qatar executives to local firms  three sources said on Monday  as the gas-rich Gulf Arab state lures back high-profile citizens with better pay and prospects.,normal
NGG,National Grid Transco PLC,20121008,Greek National  Eurobank shares soar after buyout offer ,ATHENS  Oct 8 Shares in Greek lenders National Bank and Eurobank were surging in Athens on Monday after the first offered on Friday to buy out the latter in an all-share deal.,topStory
NAV,Navistar International Corporation,20121008,Navistar names new board members  avoids proxy fight ,Navistar International Corp  agreed to appoint three new members to its board  avoiding a proxy fight with activist investors Carl Icahn and Mark Rachesky  who have demanded changes at the U.S. truck and engine maker.,topStory
NAV,Navistar International Corporation,20121008,UPDATE 1-Navistar names new board members  avoids proxy fight ,* Investors agree not to stage proxy fight at 2013 meeting,normal
NAV,Navistar International Corporation,20121008,Navistar settles with Icahn  Rachesky ,Oct 8 Navistar International Corp agreed to appoint three new members to its board  preventing a proxy fight with activist investors Carl Icahn and Mark Rachesky.,normal
NYT,New York Times Company (The),20121008,PRESS DIGEST-New York Times business news - Oct 8 ,Oct 8 The following are the top stories on the New York Times business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NYT,New York Times Company (The),20121008,PRESS DIGEST - British business - Oct 8 ,Seven global electricity and nuclear technology companies are threatening on Monday to withdraw plans for hundreds of millions of pounds of future investment in Britain because of attempts by George Osborne to water down the government's green commitments.,normal
NMR,Nomura Holdings Inc ADR,20121008,REFILE-STOCKS NEWS SINGAPORE-Property stocks down after new measures ,Singapore's latest measures to cool its property market by capping the tenure of new home loans at 35 years  may result in lower transaction volumes for a few months before picking up again  Nomura said.,topStory
OXY,Occidental Petroleum Corporation,20121008,Ecuador sees appeal to $1.77 bln Oxy ruling lasting 1-2 years ,QUITO  Oct 8 Ecuador's upcoming appeal to overturn a ruling that awarded $1.77 billion to U.S.-based Occidental Petroleum could take one to two years  the Andean country's attorney general said on Monday.,topStory
OCN,Ocwen Financial Corporation,20121008,TEXT-Fitch places Ocwen on watch negative following announced Homeward acquisition ,Oct 08 - Fitch Ratings today placed Ocwen Financial Corporation's (Ocwen) 'B+' long-term Issuer Default Rating (IDR) on Rating Watch Negative  following the company's announcement on Oct. 3  2012 that it has entered into an agreement with private equity firm WL Ross & Co. LLC to acquire Homeward Residential Holdings  Inc. (Homeward) and its various mortgage loan  servicing and origination operating subsidiaries. At the same time  Fitch has  affirmed Ocwen's short-term IDR at 'B'.,topStory
PKX,POSCO,20121008,BRIEF-Moody's:SK Telecom's sale of POSCO's shares is credit positive ,* Moody's says that SK Telecom Co.  Ltd.'s (A3 negative) sale of a part of its stake in POSCO (A3 review for downgrade) is credit positive  but will not have any immediate impact on its issuer rating. The rating outlook remains negative.,topStory
PKX,POSCO,20121008,South Korean shares fall on growth worries  earnings pessimism ,SEOUL  Oct 8 South Korean shares fell on Monday on concerns about cooling Asian growth and deteriorating company earnings.,normal
PKX,POSCO,20121008,SK Telecom sells $396 mln stake in South Korea's POSCO ,SEOUL  Oct 8 SK Telecom Co Ltd  South Korea's top mobile operator  sold half of its 2.85 percent stake in steelmaker POSCO for 440 billion won ($395.91 million) before the stock market opened on Monday  an SK Telecom spokeswoman said.,normal
RIO,Rio Tinto Plc,20121008,Bolt eyes "three-peat" at 2016 Rio Olympics ,Olympic sprint champion Usain Bolt has set his sights on defending his three titles at the 2016 Games in Rio de Janeiro rather than switching to another event  the six-times gold medalist said on Monday.,topStory
RBS,Royal Bank Scotland plc (The),20121008,New Issue- Enel prices dual tranche deal ,Underlying govt bond    Over Mid-swaps  equivalent to 316.2bp,topStory
R,Ryder System Inc,20121008,McIlroy cool on Woods rivalry ahead of Turkey showdown ,BELEK  Turkey World number one Rory McIlroy has played down talk of rivalry between himself and 14-times major winner Tiger Woods at this week's inaugural eight-man World Golf Final in Turkey.,topStory
SNY,Sanofi,20121008,Sanofi to buy back Genzyme-linked CVRs for $70 million ,PARIS French drugmaker Sanofi said on Monday it will buy back certificates related to the success of Genzyme drugs for a total cost of about $70 million  representing $1.75 per contingent value right (CVR).,topStory
SNY,Sanofi,20121008,Sanofi to buy back Genzyme-linked CVRs for $70 mln ,PARIS  Oct 8 French drugmaker Sanofi  said on Monday it will buy back certificates related to the success of Genzyme drugs for a total cost of about $70 million  representing $1.75 per contingent value right (CVR).,normal
SNY,Sanofi,20121008,Sanofi says Zaltrap cancer drug study positive ,PARIS French drugmaker Sanofi said on Monday that the results of a late-stage study of its Zaltrap drug showed a "statistically significant improvement in overall survival" in patients with colon cancer.,normal
SKM,SK Telecom Co Ltd,20121008,BRIEF-Moody's:SK Telecom's sale of POSCO's shares is credit positive ,* Moody's says that SK Telecom Co.  Ltd.'s (A3 negative) sale of a part of its stake in POSCO (A3 review for downgrade) is credit positive  but will not have any immediate impact on its issuer rating. The rating outlook remains negative.,topStory
SKM,SK Telecom Co Ltd,20121008,South Korean shares fall on growth worries  earnings pessimism ,SEOUL  Oct 8 South Korean shares fell on Monday on concerns about cooling Asian growth and deteriorating company earnings.,normal
SKM,SK Telecom Co Ltd,20121008,SK Telecom sells $396 mln stake in South Korea's POSCO ,SEOUL  Oct 8 SK Telecom Co Ltd  South Korea's top mobile operator  sold half of its 2.85 percent stake in steelmaker POSCO for 440 billion won ($395.91 million) before the stock market opened on Monday  an SK Telecom spokeswoman said.,normal
S,Sprint Corporation,20121008,Sprint outages ground Alaska Airlines flights ,An outage that cut phone and data service to Sprint customers in parts of California  Oregon and Washington also grounded some Alaska Airlines passengers on Monday as it knocked the air carrier's reservations system off line.,topStory
S,Sprint Corporation,20121008,UPDATE 2-Sprint outages ground Alaska Airlines flights ,Oct 8 An outage that cut phone and data service to Sprint customers in parts of California  Oregon and Washington also grounded some Alaska Airlines passengers on Monday as it knocked the air carrier's reservations system off line.,normal
S,Sprint Corporation,20121008,Sprint outages ground Alaska Airlines flights ,Oct 8 An outage that cut phone and data service to Sprint customers in parts of California  Oregon and Washington also grounded some Alaska Airlines passengers on Monday as it knocked the air carrier's reservations system off line.,normal
STO,Statoil ASA,20121008,BRIEF-Statoil extends contract for DOF's Skandi Peregrino in Brazil ,OSLO  Oct 8 DOF :  * Says Statoil extends Skandi Peregrino and contract with Karoon for Skandi Ipanema  * Says Skandi Peregrino contract extended with three more years from December 2012 plus 2 x 1 year options  * Says Skandi Ipanema has been awarded a contract with Karoon Oil and Gas  and contract has duration of about 150 days  commencing October 2012 (Reporting by Oslo newsroom),topStory
SUN,Sunoco LP,20121008,TEXT-S&P takes rating actions on Energy Transfer Partners/Sunoco ,Overview      -- U.S. midstream energy master limited partnership Energy Transfer  Partners L.P.  (ETP) completed its agreement to purchase Sunoco Inc. (Sunoco) for $5.3 billion. In addition  ETP completed the formation of a new  ETP-controlled company called ETP HoldCo Corp. that will include Southern  Union Co. (SUG) and  Sunoco"https://www.globalcreditportal.com/ratingsdirect/entityPage.do?entityId= 102235&sid=977434&sind=A&"      -- We affirmed our 'BBB-' corporate credit ratings on ETP  SUG,topStory
GCI,TEGNA Inc,20121008,UPDATE 2-Gannett and Dish reach contract deal  avoid blackout ,Oct 8 Gannett Co Inc said it reached a deal with Charles Ergen's Dish Network Corp on Monday avoiding a blackout that would have prevented some Dish customers in the United States from seeing content broadcast by networks ABC  NBC and CBS.,topStory
GCI,TEGNA Inc,20121008,Gannett extends negotiation deadline with Dish ,Gannett Co Inc and Dish Network Corp have agreed to extend their negotiation deadline by several hours to reach a deal over fees that involve the satellite TV provider's controversial digital video recorder.,normal
GCI,TEGNA Inc,20121008,Gannett extends negotiation deadline with Dish ,Oct 8 Gannett Co Inc and Dish Network Corp have agreed to extend their negotiation deadline by several hours to reach a deal over fees that involve the satellite TV provider's controversial digital video recorder.,normal
TEF,Telefonica SA,20121008,Telefonica targets retailers with street smart data ,LONDON Telefonica is setting up a business to sell data it collects from millions of its mobile phone customers to retailers which could provide the company with a new source of income.,topStory
TEF,Telefonica SA,20121008,Telefonica targets retailers with street smart data ,LONDON  Oct 9 Telefonica is setting up a business to sell data it collects from millions of its mobile phone customers to retailers which could provide the company with a new source of income.,normal
BX,The Blackstone Group LP,20121008,UPDATE 1-Blackstone invests $100 mln in Indian tractor manufacturer ,MUMBAI  Oct 8 U.S. private equity firm Blackstone Group has paid $100 million for a 12.5 percent stake in India's International Tractors Ltd (ITL)  it said on Monday  in a bet on the modernisation of India's farms.,topStory
BX,The Blackstone Group LP,20121008,Blackstone invests $100 mln in Indian tractor manufacturer ,MUMBAI  Oct 8 The Blackstone Group has invested $100 million for a 12.5 percent stake in India's International Tractors Ltd (ITL)  the U.S. private equity company said in a statement on Monday.,normal
TRI,Thomson Reuters Corp,20121008,Goldman asset unit hires ex-SEC division head ,NEW YORK Goldman Sachs Group's asset management unit on Monday named a former head of the U.S. Security and Exchange Commission's investment management division as its deputy general counsel.,topStory
TRI,Thomson Reuters Corp,20121008,Goldman hires ex-SEC division of investment management head: memo ,NEW YORK Goldman Sachs Group Inc  unit Goldman Sachs Asset Management has hired Andrew "Buddy" Donohue  a former head of the division of investment management at the U.S. Securities and Exchange Commission  as deputy general counsel  according to an internal memo obtained by Reuters on Monday.,normal
TD,Toronto Dominion Bank (The),20121008,New Issue-KfW adds 1.0 bln Russian ruble to 2016 bond ,Full fees               1.625 pct (1.40 pct selling & 0.225 pct m&u),topStory
TOT,Total SA,20121008,Total  Exxon Mobil swap North Sea assets off Norway ,PARIS  Oct 8 France's Total and Exxon Mobil Corp have agreed to exchange interests in a range of assets on the Norwegian Continental Shelf  Total said in a statement on Monday.,topStory
TM,Toyota Motor Corp Ltd Ord,20121008,Japan carmakers to cut China production by half: Nikkei ,TOKYO Japan's Toyota Motor Corp   Nissan Motor Co  and Honda Motor Co  plan to slash production in China by roughly half  the Nikkei newspaper reported on Monday  as a territorial row between Asia's two largest economies cuts sales of Japanese cars in the world's biggest auto market.,topStory
TM,Toyota Motor Corp Ltd Ord,20121008,UPDATE 1-Japan carmakers to cut China production by half-Nikkei ,* Nissan to suspend night shifts in China car plants-Nikkei,normal
TM,Toyota Motor Corp Ltd Ord,20121008,Toyota  Nissan  Honda to cut China production to half-Nikkei ,TOKYO  Oct 8 Toyota Motor Corp  Nissan Motor Co and Honda Motor plan to roughly halve their production levels in China  the Nikkei reported on Monday  as a territorial row between the two countries cuts sales of Japanese cars in the world's biggest auto market.,normal
UAL,United Continental Holdings Inc,20121008,United Continental posts lower September traffic ,Oct 8 United Continental Holdings on Monday reported lower traffic for September as fewer passengers boarded its planes  and said a widely watched measure of revenue performance fell.,topStory
X,United States Steel Corporation,20121008,Serbia renews attempt to sell sole steel mill ,BELGRADE  Oct 8 Serbia invited bids for its sole steel mill on Monday in a renewed attempt to sell the loss-making company  almost a year since previous owner U.S. Steel abandoned it to cut losses.,topStory
UNH,UnitedHealth Group Incorporated,20121008,UnitedHealth to buy most of Brazil's Amil for $4.9 billion ,NEW YORK UnitedHealth Group Inc will buy control of Amil Participacoes SA  Brazil's largest health insurer and hospital operator  for $4.9 billion  making a bold move into a fast-growing market as challenges mount for its U.S. business.,topStory
UNH,UnitedHealth Group Incorporated,20121008,UPDATE 5-UnitedHealth to buy most of Brazil's Amil for $4.9 bln ,* UnitedHealth: Brazil healthcare market to grow twice as fast as US,normal
UNH,UnitedHealth Group Incorporated,20121008,RPT-Big Brazil insurance deal may be tough to replicate ,* Rivals hold less than half of Amil's 10 pct market share,normal
UNH,UnitedHealth Group Incorporated,20121008,Brazil's healthcare sector: promising  but tough to enter ,* Rivals hold less than half of Amil's 10 pct market share,normal
UNH,UnitedHealth Group Incorporated,20121008,TEXT-Fitch places Amil on rating watch positive ,Oct 8 - Fitch Ratings has placed the following ratings of Amil Participacoes S.A.'s (AMIL) on Rating Watch Positive:  --National Scale Rating 'AA(bra)'; --BRL900 million debentures issuance due 2015 at 'AA(bra)'; --BRL300 million debentures issuance due 2014 at 'AA(bra)'.  This rating action follows the recent announcement that AMIL and UnitedHealth Group Inc. (UnitedHealth)  the largest health benefits and services company in the United States  concluded an association agreement  upon the acqui,normal
UNH,UnitedHealth Group Incorporated,20121008,Factbox: UnitedHealth makes big bet on Brazil's healthcare market ,UnitedHealth Group Inc said on Monday it would buy control of Amil Participacoes SA  Brazil's largest health insurer and hospital operator  for $4.9 billion as it moves to capitalize on a fast-growing private healthcare market.,normal
UNH,UnitedHealth Group Incorporated,20121008,TEXT-S&P: UnitedHealth rating unaffected by Amil purchase ,Oct 8 - Standard & Poor's Ratings Services said today that UnitedHealth Group Inc.'s (A/Stable/A-1) definitive agreement to purchase Amil Participacoes SA does not result in any rating action. Amil  based in Sao Paulo  is the biggest private health insurance company in Latin America. Amil is the leading health insurer in a relatively fragmented market that is in the early stage of consolidation. We consider this transaction to be consistent with UnitedHealth's growth strategy  which is supported,normal
UNH,UnitedHealth Group Incorporated,20121008,US STOCKS-Futures fall after World Bank cuts East Asia forecast ,NEW YORK  Oct 8 U.S. stock index futures fell on Monday after the World Bank cut its growth forecasts for East Asia  highlighting concerns about the global economic climate and corporate profits ahead of the upcoming earnings season.,normal
UNH,UnitedHealth Group Incorporated,20121008,UnitedHealth buys 90 pct stake in Brazil's Amil for $4.9 bln ,Oct 8 Health insurer UnitedHealth Group  said it would buy a 90 percent stake in Amil Participacoes SA   Brazil's largest healthcare company  for about $4.9 billion in cash.,normal
WMT,Wal-Mart Stores Inc,20121008,Wal-Mart  Amex take on banks with low-priced debit card ,NEW YORK Wal-Mart Stores Inc and American Express Co are teaming up to offer a prepaid debit card called Bluebird to target lower-income shoppers who may not have bank accounts.,topStory
WMT,Wal-Mart Stores Inc,20121008,UPDATE 6-Wal-Mart  Amex take on banks with low-priced debit card ,* Bluebird card available next week at Walmart stores  online,normal
WMT,Wal-Mart Stores Inc,20121008,CORRECTED-UPDATE 5-Wal-Mart  Amex take on banks with low-priced debit card ,* Bluebird card available next week at Walmart stores  online,normal
WMT,Wal-Mart Stores Inc,20121008,Wal-Mart  Amex launch Bluebird bank account alternative ,Oct 8 Wal-Mart Stores Inc and American Express Co are teaming up to offer customers an alternative to debit and checking accounts  the companies said on Monday.,normal
WMB,Williams Companies Inc (The),20121008,Cardinals' Williams out for season with shoulder injury ,Arizona Cardinals running back Ryan Williams will miss the rest of the National Football League season with a shoulder injury that will require surgery  the team said on Monday.,topStory
