AMZN,Amazoncom Inc,20121019,Ecuador says companies join novel Amazon protection fund ,* About a dozen firms contributing to rainforest initiative,topStory
CEO,CNOOC Limited,20121019,UPDATE 1-Canada mum on Petronas bid for Progress as deadline approaches ,SAINT-HUBERT  Quebec  Oct 19 Canada declined to say on Friday whether it had approved Malaysian state oil company Petronas' C$5.2 billion ($5.3 billion) bid for gas producer Progress Energy Resources Corp  even as a midnight eastern (0400 GMT) deadline approached.,topStory
CEO,CNOOC Limited,20121019,Canada government stays mum on Petronas bid for Progress ,SAINT-HUBERT  Quebec  Oct 19 Canadian Industry Minister Christian Paradis declined to say on Friday whether he had approved Malaysian state oil company Petronas'  C$5.2 billion ($5.3 billion) bid for gas producer Progress Energy Resources Corp.,normal
CBD,Companhia Brasileira de Distribuicao,20121019,UPDATE 1-Brazil's Pão de Açúcar taps new vice chairman in statute overhaul ,BRASILIA  Oct 18 Shareholders of Grupo Pão de Açúcar on Thursday approved the creation of a vice chairman position  in a victory for Casino Guichard Perrachon SA  as it moves to reassert its control of Brazil's largest diversified retailer.,topStory
ETN,Eaton Corporation PLC,20121019,Cooper Industries profit beats estimates ,Cooper Industries Plc   the electrical products maker that agreed to a takeover by Eaton Corp  reported higher-than-expected quarterly profit and sales  helped by lighting demand in North America and growth in international energy projects.,topStory
ETN,Eaton Corporation PLC,20121019,UPDATE 1-Cooper Industries profit beats estimates ,Oct 19 Cooper Industries Plc  the electrical products maker that agreed to a takeover by Eaton Corp  reported higher-than-expected quarterly profit and sales  helped by lighting demand in North America and growth in international energy projects.,normal
EW,Edwards Lifesciences Corporation,20121019,UPDATE 2-Edwards Lifesciences' heart valve wins widened approval ,* Sapien valve gets wider approval after new clinical trial,topStory
EW,Edwards Lifesciences Corporation,20121019,Edwards third-quarter net rises; caps 2012 sales forecast ,Edwards Lifesciences Corp  posted higher third-quarter earnings on Friday but said sales for the full year would come in at the bottom of its projected range because of slower-than-expected growth in transcatheter heart valves.,normal
EW,Edwards Lifesciences Corporation,20121019,UPDATE 1-Edwards 3rd-qtr net rises; caps 2012 sales forecast ,Oct 19 Edwards Lifesciences Corp posted higher third-quarter earnings on Friday but said sales for the full year would come in at the bottom of its projected range because of slower-than-expected growth in transcatheter heart valves.,normal
EW,Edwards Lifesciences Corporation,20121019,Edwards Lifesciences Q3 net rises  2012 sales forecast capped ,Oct 19 Edwards Lifesciences Corp posted higher third-quarter earnings on Friday but said sales for the full year would come in at the bottom of its projected range due to slower-than-expected growth in transcatheter heart valve sales.,normal
EW,Edwards Lifesciences Corporation,20121019,FDA OKs expanded indication for Edwards Lifesciences heart valve ,Oct 19 Edwards Lifesciences Corporation  said U.S. health regulators approved the use of its artificial heart valve for additional indications.,normal
LLY,Eli Lilly and Company,20121019,EU agency backs Novo's new insulin  Lilly imaging agent ,LONDON  Oct 19 Novo Nordisk's ultra long-lasting insulin Tresiba has been recommended for approval for the European Medicines Agency in an important boost for the Danish drugmaker's key new product.,topStory
ENR,Energizer Holdings Inc,20121019,Energizer pulls several Banana Boat sun products for fire hazard ,Energizer Holdings Inc  on Friday said it is pulling 23 Banana Boat UltraMist sunscreen products from the market because of a potential risk that the products will ignite on a person's skin if they touch a flame or spark before the spray dries completely.,topStory
ENR,Energizer Holdings Inc,20121019,Energizer pulls several Banana Boat sun products for fire hazard ,Oct 19 Energizer Holdings Inc on Friday said it is pulling 23 Banana Boat UltraMist sunscreen products from the market because  of a potential risk that the products will ignite on a person's skin if they touch a flame or spark before the spray dries completely.,normal
ETR,Entergy Corporation,20121019,Texas regulators put conditions on Entergy's move to Midwest ISO ,* Texas wants Entergy out of generation pact with sister utilities,topStory
XOM,Exxon Mobil Corporation,20121019,Exxon fixing crude line after oil sheen in Louisiana ,ExxonMobil Pipeline Company said on Friday it had shut down a 12-inch pipeline carrying crude after finding an oil sheen in the water near Barataria Bay  Louisiana.,topStory
XOM,Exxon Mobil Corporation,20121019,UPDATE 2-Exxon fixing crude line after oil sheen in Louisiana ,* 12-inch pipeline seen resuming activity on Friday-Exxon     * Company says cleanup underway of "very small" sheen       Oct 19 ExxonMobil Pipeline Company said on F riday it had shut down a 12-inch pipeline carrying crude after finding an oil sheen in the water near Barataria Bay  Louisiana.     Exxon said it planned to resume its operations later o n F riday after repairs. The pipeline carries Heavy Louisiana Sweet crude from Empire in the state's southernmost Plaquemines Parish t,normal
XOM,Exxon Mobil Corporation,20121019,Exxon fixing crude line after oil sheen in Louisiana ,ExxonMobil Pipeline Company said on Friday that it had shut down a 12-inch pipeline carrying crude after finding an oil sheen in the water near Barataria Bay  Louisiana.,normal
XOM,Exxon Mobil Corporation,20121019,Exxon repairing HLS crude line following oil sheen in Louisiana ,Oct 19 ExxonMobil Pipeline Company said on Friday it shut down a 12-inch pipeline carrying crude after it found an oil sheen in the water near Barataria Bay  Louisiana.      Exxon said it shut down the pipeline for repair but plans to resume its operations later on Friday.      Exxon is working with regulators at the site of a "very light sheen which was limited to the immediate area " company spokeswoman Amber Gardner said in an email.      The Empire-to-Raceland pipeline carries He,normal
GEK,General Electric Capital Corporation,20121019,US STOCKS SNAPSHOT-Wall St slides on GE and McDonald's earnings ,NEW YORK  Oct 19 U.S. stocks slid on Friday  marking their worst day since late June after bellwethers General Electric and McDonald's extended a string of disappointing earnings.,topStory
GEK,General Electric Capital Corporation,20121019,GE cautious on 2013 after sales miss Wall Street target ,General Electric Co  reported weaker-than-expected third-quarter revenue  hurt by unfavorable exchange rates  and set a cautious tone for 2013  saying it expects the tough economic environment to continue. | Video ,normal
GEK,General Electric Capital Corporation,20121019,TEXT-S&P: General Electric earnings have no rating effect ,Oct 19 - Standard & Poor's Ratings Services said today that the announcement of third-quarter 2012 results by General Electric Co. (GE; AA+/Stable/A-1+) does not affect our ratings or outlook on the company.   Industrial revenues were up 6%  including adverse foreign exchange. Industrial  organic revenue growth in the quarter was 8%. The equipment backlog declined   while the service backlog reached a record high $153 billion. Order pricing  for energy and health care was down  but it was up sli,normal
GEK,General Electric Capital Corporation,20121019,UPDATE 5-GE cautious on 2013 after sales miss Wall Street target ,* Earnings of 36 cents a share meet analysts' estimates     * Net profit rises 8.3 percent; revenue up 2.8 percent     * Holds full-year profit outlook steady     * Sees no major economic improvement in 2013     * Shares down 2.5 percent       By Scott Malone     Oct 19 General Electric Co reported weaker-than-expected third-quarter revenue  hurt by unfavorable exchange rates  and set a cautious tone for 2013  saying it expects the tough economic environment to continue.     The larg,normal
GEK,General Electric Capital Corporation,20121019,GE aims to close MetLife deposit deal by year end: CFO ,BOSTON General Electric Co  aims to close its pending acquisition of $7 billion in bank deposits from MetLife inc  by the end of this year  GE's chief financial officer said on Friday.,normal
GEK,General Electric Capital Corporation,20121019,GE aims to close MetLife deposit deal by year end -CFO ,BOSTON  Oct 19 General Electric Co aims to close its pending acquisition of $7 billion in bank deposits from MetLife inc by the end of this year  GE's chief financial officer said on Friday.,normal
GEK,General Electric Capital Corporation,20121019,US STOCKS-Wall St hits session lows on renewed profit concerns ,* Dow off 1.1 pct  S&P 500 off 1.2 pct  Nasdaq off 1.8 pct,normal
GEK,General Electric Capital Corporation,20121019,US STOCKS-Wall Street retreats on earnings disappointment ,NEW YORK  Oct 19 U.S. stocks fell on Friday in the wake of disappointing results from Microsoft and Google a day earlier  with shares of General Electric dropping nearly 3 percent after reporting improved profit but falling short of revenue estimates.,normal
GEK,General Electric Capital Corporation,20121019,BRIEF-General Electric CEO Immelt says total GE revenue to be up 'about 3 percent' in 2012 ,BOSTON  Oct 19 General Electric Co :  * CEO Immelt says total GE revenue to be up 'about 3 percent' in 2012,normal
GEK,General Electric Capital Corporation,20121019,US STOCKS-Futures drop as earnings disappoint; GE revenue crimped ,NEW YORK  Oct 19 U.S. stock index futures dipped on Friday in the wake of disappointing results from Microsoft and Google a day earlier  and after General Electric reported improved profit but fell short of revenue estimates.,normal
GE,General Electric Company,20121019,US STOCKS SNAPSHOT-Wall St slides on GE and McDonald's earnings ,NEW YORK  Oct 19 U.S. stocks slid on Friday  marking their worst day since late June after bellwethers General Electric and McDonald's extended a string of disappointing earnings.,topStory
GE,General Electric Company,20121019,GE cautious on 2013 after sales miss Wall Street target ,General Electric Co  reported weaker-than-expected third-quarter revenue  hurt by unfavorable exchange rates  and set a cautious tone for 2013  saying it expects the tough economic environment to continue. | Video ,normal
GE,General Electric Company,20121019,TEXT-S&P: General Electric earnings have no rating effect ,Oct 19 - Standard & Poor's Ratings Services said today that the announcement of third-quarter 2012 results by General Electric Co. (GE; AA+/Stable/A-1+) does not affect our ratings or outlook on the company.   Industrial revenues were up 6%  including adverse foreign exchange. Industrial  organic revenue growth in the quarter was 8%. The equipment backlog declined   while the service backlog reached a record high $153 billion. Order pricing  for energy and health care was down  but it was up sli,normal
GE,General Electric Company,20121019,UPDATE 5-GE cautious on 2013 after sales miss Wall Street target ,* Earnings of 36 cents a share meet analysts' estimates     * Net profit rises 8.3 percent; revenue up 2.8 percent     * Holds full-year profit outlook steady     * Sees no major economic improvement in 2013     * Shares down 2.5 percent       By Scott Malone     Oct 19 General Electric Co reported weaker-than-expected third-quarter revenue  hurt by unfavorable exchange rates  and set a cautious tone for 2013  saying it expects the tough economic environment to continue.     The larg,normal
GE,General Electric Company,20121019,GE aims to close MetLife deposit deal by year end: CFO ,BOSTON General Electric Co  aims to close its pending acquisition of $7 billion in bank deposits from MetLife inc  by the end of this year  GE's chief financial officer said on Friday.,normal
GE,General Electric Company,20121019,GE aims to close MetLife deposit deal by year end -CFO ,BOSTON  Oct 19 General Electric Co aims to close its pending acquisition of $7 billion in bank deposits from MetLife inc by the end of this year  GE's chief financial officer said on Friday.,normal
GE,General Electric Company,20121019,US STOCKS-Wall St hits session lows on renewed profit concerns ,* Dow off 1.1 pct  S&P 500 off 1.2 pct  Nasdaq off 1.8 pct,normal
GE,General Electric Company,20121019,US STOCKS-Wall Street retreats on earnings disappointment ,NEW YORK  Oct 19 U.S. stocks fell on Friday in the wake of disappointing results from Microsoft and Google a day earlier  with shares of General Electric dropping nearly 3 percent after reporting improved profit but falling short of revenue estimates.,normal
GE,General Electric Company,20121019,BRIEF-General Electric CEO Immelt says total GE revenue to be up 'about 3 percent' in 2012 ,BOSTON  Oct 19 General Electric Co :  * CEO Immelt says total GE revenue to be up 'about 3 percent' in 2012,normal
GE,General Electric Company,20121019,US STOCKS-Futures drop as earnings disappoint; GE revenue crimped ,NEW YORK  Oct 19 U.S. stock index futures dipped on Friday in the wake of disappointing results from Microsoft and Google a day earlier  and after General Electric reported improved profit but fell short of revenue estimates.,normal
GM,General Motors Company,20121019,UPDATE 2-Weak battery car sales cloud LG-Renault plant talks ,SEOUL/PARIS Oct 19 LG Chem Ltd  maker of electric-car batteries for General Motors Co and Renault  said disappointing sales so far may affect plans to build a plant with the French automaker.,topStory
GSK,GlaxoSmithKline PLC,20121019,EU drugs agency has "no new concerns" about GSK's flu shot ,LONDON European drugs regulators said on Friday that evidence suggesting a link between GlaxoSmithKline's Pandemrix flu vaccine and a sleeping disorder called narcolepsy is "insufficient" and does not lead to any new concerns.,topStory
GSK,GlaxoSmithKline PLC,20121019,EU drugs agency has "no new concerns" about GSK's flu shot ,LONDON  Oct 19 European drugs regulators said on Friday that evidence suggesting a link between GlaxoSmithKline's  Pandemrix flu vaccine and a sleeping disorder called narcolepsy is "insufficient" and does not lead to any new concerns.,normal
GFI,Gold Fields Limited,20121019,UPDATE 3-Gold Fields mine strike ends in South Africa ,JOHANNESBURG  Oct 19 Miners ended a strike at South African bullion producer Gold Fields on Friday  while President Jacob Zuma pledged to speed up investment to ease grievances fuelling the worst labour unrest since apartheid.,topStory
GFI,Gold Fields Limited,20121019,Gold Fields issues ultimatum to KDC East workers ,JOHANNESBURG  Oct 19 Gold Fields has issued an ultimatum to striking workers at its KDC East operations to return to work early next week or face dismissal  the company said on Friday.,normal
GFI,Gold Fields Limited,20121019,Gold Fields strike ends  1 500 sacked as S.Africa trouble simmers ,JOHANNESBURG  Oct 19 South African workers officially ended a month-long strike at major bullion producer Gold Fields on Friday but there was still no end in sight for wildcat walkouts that have paralysed other gold and platinum producers.,normal
GFI,Gold Fields Limited,20121019,Gold Fields says strike over at S.African mine ,JOHANNESBURG  Oct 19 Gold Fields  the world's No 4 bullion producer  said on Friday that the striking workers at its KDC West mine in South Africa have returned to work  ending a month long strike at the operation.,normal
GS,Goldman Sachs Group Inc (The),20121019,Goldman loses bid to end lawsuit by hedge fund over CDO ,(Note: Language in paragraph 14 may be offensive to some readers),topStory
GS,Goldman Sachs Group Inc (The),20121019,Goldman loses bid to end lawsuit by hedge fund over CDO ,* Goldman accused of misleading hedge fund over Timberwolf CDO,normal
HR,Healthcare Realty Trust Incorporated,20121019,TEXT-Fitch affirms Healthcare Realty Trust ,Oct 19 - Fitch Ratings has affirmed the following credit ratings of Healthcare Realty Trust (Healthcare Realty; NYSE: HR):   --Issuer Default Rating (IDR) at 'BBB-'; --Unsecured revolving credit facility at 'BBB-'; --Senior unsecured notes at 'BBB-'.  The Rating Outlook is Stable.  The affirmation reflects the company's geographically diversified portfolio   positive medical office fundamentals  stable operating cash flows  solid  liquidity and manageable debt maturity schedule. The rating is ba,topStory
HON,Honeywell International Inc,20121019,WRAPUP 3-Firm dollar  weak Europe crimp U.S. industrials' sales ,* Honeywell  Ingersoll shares gain; others lower   (Adds GE  Honeywell executive comment  updates share prices),topStory
HON,Honeywell International Inc,20121019,WRAPUP 2-Firm dollar  weak Europe crimp U.S. industrials' sales ,NEW YORK  Oct 19 Four top U.S. manufacturers  including General Electric Co and Honeywell International Corp  reported weaker-than-expected sales on Friday  in a fresh warning to investors that demand around the world remains sluggish.,normal
HON,Honeywell International Inc,20121019,BRIEF-Honeywell CFO says expecting low-single digit percentage organic sales growth in 2013 amid weak economic environment ,BOSTON  Oct 19 Honeywell International Inc :  * CFO says expecting low-single digit percentage organic sales growth in 2013,normal
HON,Honeywell International Inc,20121019,Honeywell's profit rises 10 percent  tops Wall Street view ,Diversified U.S. manufacturer Honeywell International Inc reported a 10 percent rise in quarterly earnings as declining natural gas prices helped boost profits at its UOP chemical arm  offsetting weakness in Europe.,normal
HON,Honeywell International Inc,20121019,UPDATE 2-Honeywell's profit rises 10 percent  tops Wall St view ,* Tightens 2012 earnings-per-share forecast range to $4.45-$4.50,normal
HON,Honeywell International Inc,20121019,Honeywell's profit rises 10 percent ,Oct 19 Diversified U.S. manufacturer Honeywell International Inc reported a 10 percent rise in quarterly earnings as declining natural gas prices helped boost profits at its UOP chemical arm  offsetting weakness in Europe.,normal
HPQ,HP Inc,20121019,HP to end storage resale deal with Violin Memory : Bloomberg ,SAN FRANCISCO Hewlett-Packard plans to end its agreement selling solid-state storage devices made by Violin Memory  potentially complicating Violin Memory's plan for an initial public offering  Bloomberg reported.,topStory
HPQ,HP Inc,20121019,HP to end storage resale deal with Violin Memory - Bloomberg ,SAN FRANCISCO  Oct 19 Hewlett-Packard  plans to end its agreement selling solid-state storage devices made by Violin Memory  potentially complicating Violin Memory's plan for an initial public offering  Bloomberg reported.,normal
HRG,HRG Group Inc,20121019,TEXT-Fitch affirms Harbinger Group ratings with outlook stable ,Oct 19 - Fitch Ratings has affirmed the 'B' Issuer Default Rating (IDR) and 'B/RR4' debt ratings of Harbinger Group Inc. (HRG)  with a Stable Outlook.  The ratings consider HRG's relatively high leverage  adequate debt service capabilities  and acquisition-focused operating strategy. The company has two major business segments: consumer products through its 57.5% ownership in Spectrum Brands  Inc. (SPB; Fitch IDR of 'BB-')  and insurance through its wholly owned subsidiary Fidelity & Guaranty Li,topStory
HSBC,HSBC Holdings plc,20121019,TEXT-Fitch: Capital One's Q3 earnings remain somewhat noisy ,Capital One Financial's (COF) third quarter 2012 (3Q'12) earnings remained somewhat noisy in the wake of the company's acquisitions this year  which included the ING Direct purchase closing in the beginning of 2012 and the purchase of HSBC's domestic card business closing in mid-2012  according to Fitch Ratings. Nevertheless  due primarily to significantly less of an allowance build from the sequential quarter related to onboarding the HSBC deal  COF's return on assets expanded to a stated 1.60%,topStory
HSEA,HSBC Holdings plc,20121019,TEXT-Fitch: Capital One's Q3 earnings remain somewhat noisy ,Capital One Financial's (COF) third quarter 2012 (3Q'12) earnings remained somewhat noisy in the wake of the company's acquisitions this year  which included the ING Direct purchase closing in the beginning of 2012 and the purchase of HSBC's domestic card business closing in mid-2012  according to Fitch Ratings. Nevertheless  due primarily to significantly less of an allowance build from the sequential quarter related to onboarding the HSBC deal  COF's return on assets expanded to a stated 1.60%,topStory
HSEB,HSBC Holdings plc,20121019,TEXT-Fitch: Capital One's Q3 earnings remain somewhat noisy ,Capital One Financial's (COF) third quarter 2012 (3Q'12) earnings remained somewhat noisy in the wake of the company's acquisitions this year  which included the ING Direct purchase closing in the beginning of 2012 and the purchase of HSBC's domestic card business closing in mid-2012  according to Fitch Ratings. Nevertheless  due primarily to significantly less of an allowance build from the sequential quarter related to onboarding the HSBC deal  COF's return on assets expanded to a stated 1.60%,topStory
IR,Ingersoll-Rand plc (Ireland),20121019,WRAPUP 2-Firm dollar  weak Europe crimp U.S. industrials' sales ,NEW YORK  Oct 19 Four top U.S. manufacturers  including General Electric Co and Honeywell International Corp  reported weaker-than-expected sales on Friday  in a fresh warning to investors that demand around the world remains sluggish.,topStory
IR,Ingersoll-Rand plc (Ireland),20121019,Ingersoll profit beats estimates but outlook soft ,Ingersoll Rand Plc  reported higher-than-expected third-quarter earnings on Friday  but said European and Asian markets had weakened and it forecast fourth-quarter results below Wall Street estimates.,normal
IR,Ingersoll-Rand plc (Ireland),20121019,UPDATE 1-Ingersoll profit beats estimates but outlook soft ,Oct 19 Ingersoll Rand Plc reported higher-than-expected third-quarter earnings on Friday  but said European and Asian markets had weakened and it forecast fourth-quarter results below Wall Street estimates.,normal
IR,Ingersoll-Rand plc (Ireland),20121019,Ingersoll Rand quarterly profit rises ,Oct 19 Ingersoll Rand Plc reported sharply higher third-quarter earnings on Friday  but said European and Asian markets had weakened  and its fourth-quarter forecast was below Wall Street expectations.,normal
IBM,International Business Machines Corporation,20121019,PHILIPPINES PRESS-IBM puts up BPO facility in Philippines - Inquirer ,NOTE: Reuters has not verified this story and does not vouch for its accuracy.,topStory
JNPR,Juniper Networks Inc,20121019,Juniper shares up after sale talk; source says no offers ,Juniper Networks Inc  shares jumped 11 percent on Thursday after a news website said the network gear maker had hired JP Morgan to evaluate possible bids  but a source close to the matter said there was no substance to the report.,topStory
KSU,Kansas City Southern,20121019,Kansas City Southern maintains forecast on strong volumes ,Kansas City Southern's  quarterly profit was hit by a higher Mexican tax bill but the railroad company stood by its full-year outlook on the strength of its automotive and cross-border freight volumes.,topStory
KSU,Kansas City Southern,20121019,UPDATE 2-Kansas City Southern maintains forecast on strong volumes ,* Third-quarter profit/share $0.82 misses estimates of $0.84,normal
KSU,Kansas City Southern,20121019,Kansas City Southern profit misses estimates ,Oct 19 Railroad company Kansas City Southern  reported a lower-than-expected quarterly profit  hurt by higher tax expenses and a stronger Mexican peso.,normal
LEN,Lennar Corporation,20121019,New Issue- Lennar Corp sells $350 mln in notes ,Oct 19 Lennar Corp on Thursday sold $350 million of notes in the 144a private placement market  said IFR  a Thomson Reuters service.      Citigroup  UBS  J.P. Morgan  BMO  Deutsche Bank and Bank of America Merrill Lynch were the joint bookrunning managers for the sale.  BORROWER: LENNAR CORP  AMT $350 MLN    COUPON 4.75 PCT    MATURITY    11/15/2022    TYPE NTS        ISS PRICE 100      FIRST PAY   05/12/2013  MOODY'S B1      YIELD 4.75 PCT     SETTLEMENT  10/23/2012    S&P B-PLUS   ,topStory
LYG,Lloyds Banking Group Plc,20121019,Lloyds may face further $3.2 billion PPI hit -analysts ,* Lloyds Banking Group was biggest seller of PPI products,topStory
MGA,Magna International Inc,20121019,Nissan Infiniti says Magna not to build compact car ,FRANKFURT  Oct 19 A compact car which Japanese carmaker Nissan's premium brand Infiniti is planning for 2015 will not be built by Magna Steyr  a unit of Canadian auto parts group Magna International.,topStory
MAN,ManpowerGroup,20121019,Manpower dumps low-margin deals to beat hiring slump ,Manpower Inc  reported higher-than-expected quarterly earnings and forecast a fourth-quarter profit above Wall Street expectations  as the global staffing company grew margins by dropping less-profitable deals  even as it warned of lower demand from employers wary of hiring in a weak economy.,topStory
MAN,ManpowerGroup,20121019,UPDATE 2-Manpower dumps low-margin deals to beat hiring slump ,* Sees fourth-quarter earnings of $0.72-$0.80 per share vs est $0.70,normal
MAN,ManpowerGroup,20121019,Manpower Inc reports lower profit on weak demand in Europe ,Oct 19 Global staffing company Manpower Inc  reported a lower third-quarter profit due to a drop in demand for its services  especially in Europe  and a strong dollar.,normal
MCD,McDonald&#39;s Corporation,20121019,McDonald's sales growth cools  chilled by competition ,McDonald's Corp  posted its worst quarterly restaurant sales growth performance in nine years on Friday  lifting the curtain on the fast-food industry's ruthless fight for customers in a weak economy. | Video ,topStory
MCD,McDonald&#39;s Corporation,20121019,US STOCKS SNAPSHOT-Wall St slides on GE and McDonald's earnings ,NEW YORK  Oct 19 U.S. stocks slid on Friday  marking their worst day since late June after bellwethers General Electric and McDonald's extended a string of disappointing earnings.,normal
MCD,McDonald&#39;s Corporation,20121019,McDonald's quarterly profit slips ,Oct 19 McDonald's Corp reported a lower quarterly profit on Friday  as the weak global economy and the strong U.S. dollar weighed on results.,normal
MCD,McDonald&#39;s Corporation,20121019,BRIEF-McDonald's down in premarket after Q3 results ,NEW YORK  Oct 19 McDonald's Corp :  * Down 2 percent to $91 in premarket after Q3 results,normal
MET,MetLife Inc,20121019,GE aims to close MetLife deposit deal by year end: CFO ,BOSTON General Electric Co  aims to close its pending acquisition of $7 billion in bank deposits from MetLife inc  by the end of this year  GE's chief financial officer said on Friday.,topStory
MET,MetLife Inc,20121019,GE aims to close MetLife deposit deal by year end -CFO ,BOSTON  Oct 19 General Electric Co aims to close its pending acquisition of $7 billion in bank deposits from MetLife inc by the end of this year  GE's chief financial officer said on Friday.,normal
MET,MetLife Inc,20121019,PROFILE: Metlife builds out private placement business ,NEW YORK  Oct 19 (IFR) - One of the biggest players in the private placement market  MetLife  is launching a third-party asset management business that will build upon its expertise in private placement debt.,normal
MCO,Moody&#39;s Corporation,20121019,BRIEF - Moody's revises Kronos outlook to negative ,Oct 19 Moody's revises Kronos outlook to negative,topStory
MCO,Moody&#39;s Corporation,20121019,BRIEF - Moody's says AT&T ratings are not impacted by its pension funding plan ,Oct 19 Moody's says AT&T ratings are not impacted by its pension funding plan,normal
MCO,Moody&#39;s Corporation,20121019,New Issue- Xstrata sells $4.5 bln in 4-part notes ,Oct 19 Xtsrata Finance (Canada) Ltd Corp  on Thursday sold $4.5 billion of 4-part senior unsecured notes in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  J.P. Morgan  Mizuho and RBS were the joint active bookrunning managers for the sale.  BORROWER: XSTRATA      TRANHE 1 AMT $1.25 BLN   COUPON 1.8 PCT     MATURITY    10/23/2015    TYPE SR NTS     ISS PRICE 99.968   FIRST PAY   04/23/2013  MOODY'S Baa2    YIELD 1.811 PCT    SETTLEMENT  ,normal
MCO,Moody&#39;s Corporation,20121019,BRIEF - Moody's comments on BCE/Bell Canada ,Oct 19 Moody's says BCE/Bell Canada avoids re-regulation risks with CRTC denying the Astral acquisition,normal
MCO,Moody&#39;s Corporation,20121019,BRIEF-Moody's changes Hanger Orthopedic outlook to positive ,Oct 19 Hanger Orthopedic Group Inc.:  * Moody's changes hanger's outlook to positive  b1 cfr affirmed,normal
MCO,Moody&#39;s Corporation,20121019,BRIEF-Moody's annual report on the Northwest Territories ,Oct 19 Northwest Territories  Canada:  * Moody's releases annual report on the Northwest Territories,normal
MCO,Moody&#39;s Corporation,20121019,New Issue- BNY sells $1.5 mln in 3-part notes ,Oct 19 Bank of New York Mellon Corp on Thursday sold $1.5 billion of 3-part senior secured notes  said IFR  a Thomson Reuters service.      Bank of New York  Morgan Stanley  RBS and UBS were the joint bookrunning managers for the sale.  BORROWER: BNY  TRANCHE 1 AMT $600 MLN    COUPON 0.7 PCT     MATURITY    10/23/2015    TYPE SR NTS     ISS PRICE 99.897   FIRST PAY   04/26/2013  MOODY'S Aa3     YIELD 0.735 PCT    SETTLEMENT  10/25/2012    S&P A-PLUS      SPREAD 33 BPS      PAY FREQ  ,normal
MCO,Moody&#39;s Corporation,20121019,BRIEF-Moody's: Bank of Queensland's FY12 Results shows Stabilizing Loans Quality  but Profitability Challenges Remain ,Oct 19 Moody's: Bank of Queensland's FY12 Results shows Stabilizing Loans Quality  but Profitability Challenges Remain,normal
NSM,Nationstar Mortgage Holdings Inc,20121019,Nationstar  Ocwen and Walter fight over ResCap: sources ,Ocwen Financial Corp  and Walter Investment Management Corp  have teamed up to top Nationstar Mortgage Holdings Inc's  starting bid for Residential Capital LLC's mortgage business   ensuring a bankruptcy auction goes ahead next week  two sources familiar with the matter said on Friday.,topStory
NSM,Nationstar Mortgage Holdings Inc,20121019,UPDATE 2-Nationstar  Ocwen and Walter fight over ResCap-sources ,Oct 19 Ocwen Financial Corp and Walter Investment Management Corp have teamed up to top Nationstar Mortgage Holdings Inc's starting bid for Residential Capital LLC's mortgage business  ensuring a bankruptcy auction goes ahead next week  two sources familiar with the matter said on Friday.,normal
NSM,Nationstar Mortgage Holdings Inc,20121019,Nationstar  Ocwen  Walter expected to bid for ResCap-sources ,Oct 19 Nationstar Mortgage Holdings Inc  and a consortium of Ocwen Financial Corp and Walter Investment Management Corp are expected to make bids for Residential Capital LLC's mortgage business in a bankruptcy auction that begins next week  sources familiar with the situation said.,normal
NVO,Novo Nordisk A/S,20121019,Novo Nordisk wins EU agency backing for new insulin ,LONDON/COPENHAGEN Novo Nordisk's ultra long-acting insulin Tresiba has been recommended for approval by the European Medicines Agency in an important boost for the Danish drugmaker's key new product.,topStory
NVO,Novo Nordisk A/S,20121019,UPDATE 2-Novo Nordisk wins EU agency backing for new insulin ,* Novo aims to launch in several EU markets in early 2013,normal
NVO,Novo Nordisk A/S,20121019,Novo Nordisk says EMA advisory panel recommends Tresiba ,COPENHAGEN Denmark's Novo Nordisk  the world's biggest insulin producer  said on Friday the advisory panel to the European Medicines Agency (EMA) had recommended approving its long-acting insulin Tresiba.,normal
NVO,Novo Nordisk A/S,20121019,EU agency backs Novo's new insulin  Lilly imaging agent ,LONDON  Oct 19 Novo Nordisk's ultra long-lasting insulin Tresiba has been recommended for approval for the European Medicines Agency in an important boost for the Danish drugmaker's key new product.,normal
NVO,Novo Nordisk A/S,20121019,Novo Nordisk says EMA advisory panel recommends Tresiba ,COPENHAGEN  Oct 19 Denmark's Novo Nordisk   the world's biggest insulin producer  said on Friday the advisory panel to the European Medicines Agency (EMA) had recommended approving its long-acting insulin Tresiba.,normal
OCN,Ocwen Financial Corporation,20121019,Nationstar  Ocwen and Walter fight over ResCap: sources ,Ocwen Financial Corp  and Walter Investment Management Corp  have teamed up to top Nationstar Mortgage Holdings Inc's  starting bid for Residential Capital LLC's mortgage business   ensuring a bankruptcy auction goes ahead next week  two sources familiar with the matter said on Friday.,topStory
OCN,Ocwen Financial Corporation,20121019,UPDATE 2-Nationstar  Ocwen and Walter fight over ResCap-sources ,Oct 19 Ocwen Financial Corp and Walter Investment Management Corp have teamed up to top Nationstar Mortgage Holdings Inc's starting bid for Residential Capital LLC's mortgage business  ensuring a bankruptcy auction goes ahead next week  two sources familiar with the matter said on Friday.,normal
OCN,Ocwen Financial Corporation,20121019,Nationstar  Ocwen  Walter expected to bid for ResCap-sources ,Oct 19 Nationstar Mortgage Holdings Inc  and a consortium of Ocwen Financial Corp and Walter Investment Management Corp are expected to make bids for Residential Capital LLC's mortgage business in a bankruptcy auction that begins next week  sources familiar with the situation said.,normal
