FCCY,1st Constitution Bancorp (NJ),20180420,BRIEF-1St Constitution Bancorp Q1 Earnings Per Share $0.34 ,* REPORTS FIRST QUARTER 2018 RESULTS AND DECLARES QUARTERLY DIVIDEND OF $0.06 PER SHARE,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DFVS,iPath US Treasury 5-year Bear ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DFVS,iPath US Treasury 5-year Bear ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DFVL,iPath US Treasury 5-year Bull ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DFVL,iPath US Treasury 5-year Bull ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
FLAT,iPath US Treasury Flattener ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
FLAT,iPath US Treasury Flattener ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
FLAT,iPath US Treasury Flattener ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
FLAT,iPath US Treasury Flattener ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
STPP,iPath US Treasury Steepener ETN,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
STPP,iPath US Treasury Steepener ETN,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
STPP,iPath US Treasury Steepener ETN,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
STPP,iPath US Treasury Steepener ETN,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
JAGX,Jaguar Health Inc,20180420,BRIEF-Jaguar Health Files For Resale Of Up To 29.4 Mln Shares Common Stock By The Selling Shareholders ,* JAGUAR HEALTH INC FILES FOR RESALE OF UP TO 29.4 MILLION SHARES COMMON STOCK BY THE SELLING SHAREHOLDERS - SEC FILING Source : https://bit.ly/2qOl6Fa Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
MAT,Mattel Inc,20180420,BRIEF-Mattel Says As CEO  Ynon Kreiz To Get An Annual Base Salary Of $1.5 Mln ,* MATTEL INC SAYS IN CONNECTION WITH YNON KREIZ'S APPOINTMENT AS CEO  KREIZ TO GET AN ANNUAL BASE SALARY OF $1.5 MILLION - SEC FILING,topStory
MAT,Mattel Inc,20180420,Mexican artist Frida Kahlo's family says judge blocks improper use of brand ,MEXICO CITY  April 20 A Mexican judge has blocked a company associated with U.S. toymaker Mattel Inc from commercializing the image of artist Frida Kahlo  her family says  as it seeks to halt sales of a Barbie doll styled after the influential artist.,normal
MAT,Mattel Inc,20180420,No fun and games for new Mattel chief  shares sink ,Shares of U.S. toymaker Mattel Inc  sank 7 percent on Friday as the appointment of a fourth chief executive in three years left investors with little faith that the maker of Barbie and Hot Wheels was any nearer a recovery.,normal
MAT,Mattel Inc,20180420,No fun and games for new Mattel chief  shares sink ,April 20 Shares of U.S. toymaker Mattel Inc sank 7 percent on Friday as the appointment of a fourth chief executive in three years left investors with little faith that the maker of Barbie and Hot Wheels was any nearer a recovery.,normal
MINI,Mobile Mini Inc,20180420,BRIEF-Mobile Mini Reports Q1 Earnings Per Share $0.33 And Announces Quarterly Dividend ,* MOBILE MINI REPORTS Q1 2018 RESULTS AND ANNOUNCES QUARTERLY DIVIDEND,topStory
MNST,Monster Beverage Corporation,20180420,BRIEF-Monster Beverage CEO's Total 2017 Compensation Was $12.5 Mln ,* SAYS CHAIRMAN AND CEO RODNEY C. SACKS' TOTAL FY 2017 COMPENSATION WAS $12.5 MILLION VERSUS ABOUT $12 MILLION IN 2016,topStory
NFLX,Netflix Inc,20180420,Take Five: World markets themes for the week ahead ,LONDON Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them.,normal
NFLX,Netflix Inc,20180420,GRAPHIC-Take Five: World markets themes for the week ahead ,LONDON  April 20 Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them.,normal
NFLX,Netflix Inc,20180420,RPT-GRAPHIC-Next bubble to pop? Watch out for 'most crowded trade' ,LONDON  April 19 It's long been a financial market truism that if everyone already owns a particular stock  bond or security  there's no one left to buy and the only way for the price to go is down.,normal
NWFL,Norwood Financial Corp,20180420,BRIEF-Norwood Financial Corp. Q1 Earnings Per Share $0.50 ,* QTRLY NET INTEREST INCOME FTE WAS $9.1 MILLION WHICH IS $40 000 HIGHER THAN LAST YEAR Source text for Eikon: Further company coverage:,topStory
NVCR,NovoCure Limited,20180420,BRIEF-Novocure Says Executive Chairman William Doyle's FY 2017 Total Compensation Was $23.8 Mln ,* NOVOCURE LTD SAYS EXECUTIVE CHAIRMAN WILLIAM DOYLE'S FY 2017 TOTAL COMPENSATION WAS $23.8 MILLION - SEC FILING Source : https://bit.ly/2HiWTxC Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
OTTR,Otter Tail Corporation,20180420,BRIEF-Otter Tail Files Request With SDPUC To Increase Rates ,* FILED A REQUEST WITH SOUTH DAKOTA PUBLIC UTILITIES COMMISSION TO INCREASE ITS RATES Source text for Eikon: Further company coverage:,topStory
PWOD,Penns Woods Bancorp Inc,20180420,BRIEF-Penns Woods Bancorp Announces Extension Of Stock Repurchase Program ,* PENNS WOODS BANCORP  INC. ANNOUNCES EXTENSION OF STOCK REPURCHASE PROGRAM,topStory
PTC,PTC Inc,20180420,BRIEF-PTC Entered Accelerated Repurchase Agreement To Repurchase $100 Mln Common Stock ,* PTC - ENTERED ACCELERATED REPURCHASE AGREEMENT TO REPURCHASE $100 MILLION COMMON STOCK  WITH INITIAL DELIVERY OF 80% OF SHARES TO BE REPURCHASED,topStory
QRVO,Qorvo Inc,20180420,UPDATE 1-TSMC shares slide as revenue estimate cut; other Apple  chip stocks also fall ,* Analysts see warning as driven by concern about iPhone demand,normal
QCOM,QUALCOMM Incorporated,20180420,UPDATE 1-TSMC shares slide as revenue estimate cut; other Apple  chip stocks also fall ,* Analysts see warning as driven by concern about iPhone demand,normal
RP,RealPage Inc,20180420,BRIEF-Realpage To Acquire Clickpay For $218.5 Mln ,* REALPAGE INC - ACQUISITION PURCHASE PRICE COMPOSED OF $76.3 MILLION IN SHARES OF REALPAGE COMMON STOCK AND $142.2 MILLION IN CASH,topStory
RIGL,Rigel Pharmaceuticals Inc,20180420,BRIEF-Rigel Pharmaceuticals Says Expects To Report About $94.3 Mln Cash  Cash Equivalents  Short-Term Investments As Of March 31  2018 ,* RIGEL PHARMACEUTICALS SAYS EXPECTS TO REPORT IT HAD ABOUT $94.3 MILLION CASH  CASH EQUIVALENTS  SHORT-TERM INVESTMENTS AS OF MARCH 31  2018 - SEC FILING Source text: (https://bit.ly/2Jedbsn) Further company coverage:,topStory
RIGL,Rigel Pharmaceuticals Inc,20180420,BRIEF-Rigel Announces Pricing Of Public Offering Of Common Stock ,* PUBLIC OFFERING OF 16 000 000 SHARES OF ITS COMMON STOCK  OFFERED AT A PRICE OF $3.90 PER SHARE TO PUBLIC Source text for Eikon: Further company coverage:,normal
SHPG,Shire plc,20180420,Japan's Takeda sweetens $62 billion Shire offer ,TOKYO/LONDON Japan's Takeda Pharmaceutical nudged up its offer for Shire to 44.3 billion pounds ($62 billion) on Friday to try to persuade the rare-disease drugs specialist into talks after it rejected three previous proposals. | Video ,topStory
SHPG,Shire plc,20180420,UPDATE 4-Japan's Takeda sweetens $62 billion Shire offer ,* Takeda makes fourth cash and shares bid at 47-pounds-a-share,normal
SHPG,Shire plc,20180420,BRIEF-Shire Says Considering Position With Respect To Fourth Proposal From Takeda ,* SHIRE PLC - STATEMENT RE PROPOSAL FROM TAKEDA PHARMACEUTICAL COMPANY LIMITED ("TAKEDA"),normal
SHPG,Shire plc,20180420,UPDATE 1-FTSE 100 posts fourth straight week of gains while Reckitt  Shire fall ,* Shire falls after Allergan rules out bid (Adds closing prices),normal
SHPG,Shire plc,20180420,Takeda ups Shire offer to 47 pounds-a-share ,LONDON  April 20 Japan's Takeda Pharmaceutical Co Ltd increased its offer for Shire to 47 pounds a share on Friday after its three previous bids - the last at 46.50 pounds - were rejected by the rare disease drugs specialist.,normal
SHPG,Shire plc,20180420,Takeda weighs raising Shire bid to more than 47 stg/share: sources ,Japan's Takeda Pharmaceutical Co Ltd is considering raising its cash-and-stock bid for London-listed drug maker Shire Plc to approximately 47 pounds ($66) per share or more  people familiar with the matter said on Friday.,normal
SHPG,Shire plc,20180420,Takeda weighs raising Shire bid to more than 47 stg/share-sources ,April 20 Japan's Takeda Pharmaceutical Co Ltd is considering raising its cash-and-stock bid for London-listed drug maker Shire Plc to approximately 47 pounds ($66) per share or more  people familiar with the matter said on Friday.,normal
SHPG,Shire plc,20180420,FTSE 100 set for fourth straight week of gains while Reckitt  Shire tumble ,LONDON  April 20 Weaker sterling helped Britain's FTSE 100 outperform European markets on Friday  while consumer giant Reckitt Benckiser tumbled after disappointing results and Shire declined as Allergan pulled out of the running to acquire the company.,normal
SHPG,Shire plc,20180420,BRIEF-Allergan confirms does not intend to make Shire ,* ALLERGAN NOW CONFIRMS THAT IT DOES NOT INTEND TO MAKE AN OFFER FOR SHIRE Source text for Eikon: Further company coverage: (Reporting by Maiya Keidan),normal
SHPG,Shire plc,20180420,Shire rejects $63 billion Takeda bid as Allergan drops pursuit ,NEW YORK/LONDON Rare disease drug maker Shire Plc  said on Thursday it had rejected a $63 billion cash-and-stock acquisition offer by Japan's Takeda Pharmaceutical Co Ltd   while Allergan Plc  reversed course on pursuing a rival bid.,normal
SIGM,Sigma Designs Inc,20180420,BRIEF-Sigma Designs Inc Files For Non-Timely 10-K ,* SIGMA DESIGNS - UNABLE TO FILE FORM 10-K ANNUAL REPORT FOR FY ENDED FEB 3 WITHIN PRESCRIBED TIME DUE TO RECENT SALE OF ASSETS RELATED TO ITS Z-WAVE BUSINESS Source : https://bit.ly/2vtrNSx Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
SIGM,Sigma Designs Inc,20180420,BRIEF-Sigma Designs  Inc. Q4 Non-GAAP Loss Per Share $0.55 ,* SIGMA DESIGNS  INC. REPORTS FOURTH QUARTER AND FISCAL YEAR 2018 FINANCIAL RESULTS,normal
SBLK,Star Bulk Carriers Corp,20180420,BRIEF-Star Bulk Announces The Acquisition Of 16 Vessels From Augustea Atlantica & York Capital Management ,* STAR BULK ANNOUNCES THE ACQUISITION OF 16 VESSELS FROM AUGUSTEA ATLANTICA & YORK CAPITAL MANAGEMENT,topStory
AMTD,TD Ameritrade Holding Corporation,20180420,E*Trade  TD Ameritrade knock out Droplets patent case at Fed Circuit ,A federal appeals court on Thursday brought a likely end to Texas' software company's patent infringement case against brokerage services E*Trade Financial Corp and TD Ameritrade Holding Corp.,topStory
TSLA,Tesla Inc ,20180420,FAW Group to invest in Chinese-funded EV startup Byton - Byton CEO ,BEIJING  April 20 China's state-owned automaker FAW Group agreed to invest a "significant amount of money" in Chinese-funded electric vehicle startup Byton  the startup's co-founder and chief executive  Carsten Breitfeld  said on Friday.,normal
TSLA,Tesla Inc ,20180420,Trade tensions with U.S. testing resolve of Chinese consumers ,BEIJING Guo Qingshan delights in riding his 400 000 yuan ($63 839) Harley-Davidson  motorbike around Beijing's suburbs.,normal
TSLA,Tesla Inc ,20180420,REFILE-WIDER IMAGE-Trade tensions with U.S. testing resolve of Chinese consumers ,BEIJING  April 20 Guo Qingshan delights in riding his 400 000 yuan ($63 839) Harley-Davidson motorbike around Beijing's suburbs.,normal
TSLA,Tesla Inc ,20180420,PRESS DIGEST- British Business - April 20 ,April 20 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
CG,The Carlyle Group LP,20180420,BRIEF-Seacor Marine Announces $56.9 Million Private Placement Of Common Stock ,* SEACOR MARINE ANNOUNCES $56.9 MILLION PRIVATE PLACEMENT OF COMMON STOCK,topStory
CG,The Carlyle Group LP,20180420,EU mergers and takeovers (April 20) ,BRUSSELS  April 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
TCGP,The Carlyle Group LP,20180420,BRIEF-Seacor Marine Announces $56.9 Million Private Placement Of Common Stock ,* SEACOR MARINE ANNOUNCES $56.9 MILLION PRIVATE PLACEMENT OF COMMON STOCK,topStory
TCGP,The Carlyle Group LP,20180420,EU mergers and takeovers (April 20) ,BRUSSELS  April 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
CHEF,The Chefs&#39; Warehouse Inc,20180420,BRIEF-The Chefs' Warehouse  Inc. Announces Change To Board Of Directors ,* THE CHEFS' WAREHOUSE  INC. ANNOUNCES CHANGE TO BOARD OF DIRECTORS,topStory
MIDD,The Middleby Corporation,20180420,BRIEF-Middleby Acquires Josper S.A. ,* MIDDLEBY ACQUIRES JOSPER S.A. Source text for Eikon: Further company coverage:,topStory
TRPX,Therapix Biosciences Ltd,20180420,BRIEF-Therapix Biosciences - Co Terminated Research & License Agreement Between Co  Yissum Research Development Co ,* THERAPIX BIOSCIENCES - ON MARCH 18  2018 CO TERMINATED RESEARCH & LICENSE AGREEMENT BETWEEN CO  YISSUM RESEARCH DEVELOPMENT CO  DATED MARCH 30  2017 Source text: (https://bit.ly/2F372wh) Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
TRMB,Trimble Inc,20180420,BRIEF-Trimble Acquires Assets Of FabSuite ,* TRIMBLE ACQUIRES THE ASSETS OF FABSUITE TO EXPAND ITS STEEL FABRICATION SOFTWARE PORTFOLIO,topStory
TRIP,TripAdvisor Inc,20180420,BRIEF-Tripadvisor Acquires Bokun  Leading Software Provider  To Bring Experiences Sector Further Online ,* TRIPADVISOR ACQUIRES BOKUN  LEADING SOFTWARE PROVIDER  TO BRING EXPERIENCES SECTOR FURTHER ONLINE,topStory
UCBI,United Community Banks Inc,20180420,BRIEF-United Community Banks Inc Files For Potential Mixed Shelf Offering; Size Not Disclosed ,* UNITED COMMUNITY BANKS INC FILES FOR POTENTIAL MIXED SHELF OFFERING; SIZE NOT DISCLOSED- SEC FILING Source text - (https://bit.ly/2qPSFGy) Further company coverage:,topStory
VALU,Value Line Inc,20180420,BRIEF-Value Line Announces A 5.56% Increase In Its Qtrly Cash Dividend To $0.19/Common Share ,* VALUE LINE  INC. ANNOUNCES A 5.56% INCREASE IN ITS QUARTERLY CASH DIVIDEND TO $0.19 PER COMMON SHARE Source text for Eikon: Further company coverage:,topStory
WASH,Washington Trust Bancorp Inc,20180420,BRIEF-Washington Trust Reports Q1 Earnings Per Share Of $0.93 ,* Q1 EARNINGS PER SHARE VIEW $0.87 -- THOMSON REUTERS I/B/E/S,topStory
WEN,Wendy&#39;s Company (The),20180420,BRIEF-Wendys Co Says CEO Todd A. Penegor's Total Compensation For 2017 Was $5.5 Mln Vs $5.1 Mln Last Year ,* WENDYS CO SAYS CEO TODD A. PENEGOR'S TOTAL COMPENSATION FOR 2017 WAS $5.5 MILLION VERSUS $5.1 MILLION LAST YEAR - SEC FILING Source : https://bit.ly/2qNjuvU Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
WEN,Wendy&#39;s Company (The),20180420,BRIEF-Wendys Announced A 2020 Goal Of Opening More Than 600 New Restaurants ,* WENDYS CO - ANNOUNCED A 2020 GOAL OF OPENING MORE THAN 600 NEW RESTAURANTS Source text for Eikon: Further company coverage:,normal
WLB,Westmoreland Coal Company,20180420,BRIEF-Westmoreland Coal Says Co Received Notification Of Deficiency From Listing Qualifications Department Of Nasdaq Stock Market ,* WESTMORELAND COAL - ON APRIL 16  CO RECEIVED NOTIFICATION OF DEFICIENCY FROM LISTING QUALIFICATIONS DEPARTMENT OF NASDAQ STOCK MARKET,topStory
XNET,Xunlei Limited,20180420,BRIEF-Xunlei - Launched Thunderchain  A Blockchain Platform Which Can Concurrently Conduct Millions Of Transactions Per Second ,* XUNLEI - LAUNCHED THUNDERCHAIN  A BLOCKCHAIN PLATFORM WHICH CAN CONCURRENTLY CONDUCT MILLIONS OF TRANSACTIONS PER SECOND Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
ABBV,AbbVie Inc,20180420,FOCUS-Germany's Merck seeks partners for cancer and immune system drugs ,* Merck needs development funding just as profit seen slipping,normal
AAV,Advantage Oil & Gas Ltd,20180420,BRIEF-Advantage Announces Glacier Gas Plant Expansion Update ,* ADVANTAGE ANNOUNCES GLACIER GAS PLANT EXPANSION UPDATE  LOWERING NATURAL GAS PRODUCTION & INCREASING LIQUIDS RICH DRILLING,topStory
BABA,Alibaba Group Holding Limited,20180420,Alibaba buys Chinese chipmaker to aid IoT biz  help drive local chip sector ,SHANGHAI E-commerce titan Alibaba Group Holding Ltd  has bought a Chinese microchip maker to further its cloud-based "internet of things" (IoT) business  underscoring its commitment to the chip industry  an Alibaba spokeswoman said on Friday.,topStory
BABA,Alibaba Group Holding Limited,20180420,UPDATE 1-Alibaba buys Chinese chipmaker to aid IoT biz  help drive local chip sector ,* Deal comes as tech self-sufficiency becomes hot topic in China (Adds source comments  context),normal
BABA,Alibaba Group Holding Limited,20180420,Alibaba acquires Chinese chipmaker C-SKY Microsystems ,SHANGHAI  April 20 Chinese e-commerce firm Alibaba Group Holding Ltd has acquired Chinese chip maker Hangzhou C-SKY Microsystems to underpin its cloud-based "internet of things" (IoT) business  an Alibaba spokeswoman said on Friday.,normal
ALLE,Allegion plc,20180420,BRIEF-Allegion PLC Says CEO D. D. Petratis' 2017 Total Compensation Was $7.8 Mln Vs $7.1 Mln ,* ALLEGION PLC SAYS CEO D. D. PETRATIS' 2017 TOTAL COMPENSATION WAS $7.8 MILLION VERSUS $7.1 MILLION IN 2016 – SEC FILING Source text: (https://bit.ly/2vuMIop) Further company coverage:,topStory
AGN,Allergan plc,20180420,BRIEF-Allergan confirms does not intend to make Shire ,* ALLERGAN NOW CONFIRMS THAT IT DOES NOT INTEND TO MAKE AN OFFER FOR SHIRE Source text for Eikon: Further company coverage: (Reporting by Maiya Keidan),topStory
AGN,Allergan plc,20180420,UPDATE 4-Japan's Takeda sweetens $62 billion Shire offer ,* Takeda makes fourth cash and shares bid at 47-pounds-a-share,normal
AGN,Allergan plc,20180420,European shares mark fourth week of gains; Ericsson shines ,MILAN/LONDON European shares held steady on Friday at the end of a strong week as a rally in commodities softened  although strong earnings updates boosted shares in Ericsson  and Telia .,normal
AGN,Allergan plc,20180420,UPDATE 2-European shares mark fourth week of gains; Ericsson shines ,* Results lift Telia; Reckitt falls (Adds detail  updates prices at close),normal
AGN,Allergan plc,20180420,UPDATE 1-UK Stocks-Factors to watch on April 20 , (Adds company news items  futures)     April 20 Britain's FTSE 100 index is seen opening 21 points higher at 7 350 on Friday  according to financial bookmakers  with futures up 0.32 pct ahead of the cash market open.              * BARCLAYS: British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.     * ROYAL MAIL:,normal
AGN,Allergan plc,20180420,UK Stocks-Factors to watch on April 20 ,    April 20 Britain's FTSE 100 index is seen opening 21 points higher at 7 350 on Friday  according to financial bookmakers.              * SHIRE-TAKEDA PHARMA: Rare disease drugmaker Shire Plc said on Thursday it had rejected a $63 billion cash-and-stock acquisition offer by Japan's Takeda Pharmaceutical Co Ltd  while Allergan Plc reversed course on pursuing a rival bid.     * RANDGOLD RESOURCES: Work has resumed at two gold mines operated by Randgold Resources in Mali  after strik,normal
AGN,Allergan plc,20180420,Morning News Call - India  April 20 ,To access the newsletter  click on the link:    http://share.thomsonreuters.com/assets/newsletters/Indiamorning/MNC_IN_04202018.pdf           If you would like to receive this newsletter via email  please register at: https://forms.thomsonreuters.com/india-morning/               FACTORS TO WATCH     10:00 am: Vice President Venkaiah Naidu to inaugurate two-day Civil Services Day event in New Delhi.      11:00 am: KOMORI Chairman & CEO Yoshiharu Komori and President & COO Satoshi Mochida at inaug,normal
AGN,Allergan plc,20180420,Shire rejects $63 billion Takeda bid as Allergan drops pursuit ,NEW YORK/LONDON Rare disease drug maker Shire Plc  said on Thursday it had rejected a $63 billion cash-and-stock acquisition offer by Japan's Takeda Pharmaceutical Co Ltd   while Allergan Plc  reversed course on pursuing a rival bid.,normal
ADS,Alliance Data Systems Corporation,20180420,BRIEF-Alliance Data Systems Says CEO Edward Heffernan's FY 2017 Total Compensation Was $10.9 Million ,* ALLIANCE DATA SYSTEMS SAYS CEO EDWARD HEFFERNAN'S FY 2017 TOTAL COMPENSATION WAS $10.9 MILLION VERSUS $7.8 MILLION IN FY 2016 - SEC FILING Source : https://bit.ly/2qOCzxO Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
AIG,American International Group Inc,20180420,BRIEF-AIG To Redeem 8 Pct And 8.625 Pct Junior Subordinated Debentures Due 2038 ,* AIG TO REDEEM 8.000% AND 8.625% JUNIOR SUBORDINATED DEBENTURES DUE 2038 Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
AWK,American Water Works,20180420,BRIEF-American Water Increases Quarterly Dividend By 9.6% ,* AMERICAN WATER WORKS COMPANY INC - INCREASED ITS QUARTERLY CASH DIVIDEND PAYMENT FROM 41.5 CENTS TO 45.5 CENTS PER SHARE,topStory
AIY,Apollo Investment Corporation,20180420,Apollo  Blackstone are the only remaining bidders for Cirsa -sources ,MADRID/LONDON The private equity funds of Blackstone  and Apollo  are the only two bidders left in the sale of Spanish gaming hall operator Cirsa  raising doubts about whether the sale will go ahead  sources familiar with the matter said.,topStory
MT,ArcelorMittal,20180420,ArcelorMittal to gain EU approval for Ilva acquisition: sources ,BRUSSELS ArcelorMittal   the world's largest steelmaker  is on track to win EU antitrust clearance to acquire Italian peer Ilva after agreeing to sell a number of significant assets across Europe  two people familiar with the matter said on Friday.,topStory
MT,ArcelorMittal,20180420,UPDATE 2-ArcelorMittal to gain EU approval for Ilva acquisition -sources ,* EU regulators concerned about market power of combined companies,normal
MT,ArcelorMittal,20180420,BRIEF-Fortis Healthcare Says Received Unsolicited Non-Binding Expression Of Interest From Radiant Life Care ,* FORTIS HEALTHCARE - RECEIVED UNSOLICITED NON-BINDING EXPRESSION OF INTEREST FROM RADIANT LIFE CARE PRIVATE WITH PROPOSAL FOR MAKING INVESTMENT,normal
T,AT&T Inc,20180420,BRIEF-U.S. Said To Investigate AT&T And Verizon Over Wireless Collusion Claim - NYT ,* U.S. SAID TO INVESTIGATE AT&T AND VERIZON OVER WIRELESS COLLUSION CLAIM - NYT  CITING SOURCES Source text: https://nyti.ms/2HhCE3c Further company coverage:,topStory
AN,AutoNation Inc,20180420,BRIEF-Dr. Jacqueline A. Travisano Elected To AutoNation's Board Of Directors ,* DR. JACQUELINE A. TRAVISANO ELECTED TO AUTONATION'S BOARD OF DIRECTORS Source text for Eikon: Further company coverage:,topStory
BCS,Barclays PLC,20180420,Barclays chief Staley survives whistleblowing inquiry with fines ,LONDON Barclays  said Jes Staley will be fined by British regulators for attempting to unmask a whistleblower  but will be able to keep his job as the bank's chief executive.,topStory
BCS,Barclays PLC,20180420,UPDATE 3-Barclays chief Staley survives whistleblowing inquiry with fines ,* Board to continue to recommend Staley for re-election (Adds investor comment  link to Breakingviews column),normal
BCS,Barclays PLC,20180420,BRIEF-Barclays Says FCA  PRA Propose CEO Staley Pays Fine ,* FCA AND PRA CONCLUDE INVESTIGATIONS INTO JES STALEY AND BARCLAYS,normal
BCS,Barclays PLC,20180420,British regulators to fine Barclays CEO  monitor whistleblowing programme ,LONDON  April 20 British regulators have concluded efforts of Barclays chief executive Jes Staley to unmask a whistleblower at the bank represented a breach of individual conduct and proposed he pay an undisclosed fine  the bank said on Friday.,normal
BBX,BBX Capital Corporation,20180420,BRIEF-Bbx Capital Corporation Announces Final Results Of Tender Offer ,* BBX CAPITAL CORPORATION ANNOUNCES FINAL RESULTS OF TENDER OFFER Source text for Eikon: Further company coverage: (Reuters.Briefs@thomsonreuters.com),topStory
