AGIO,Agios Pharmaceuticals Inc,20170428,BRIEF-Agios announces closing of over-allotment option in public offering ,* Agios announces closing of over-allotment option in public offering,topStory
QCOM,QUALCOMM Incorporated,20170428,UPDATE 2-Qualcomm warns of profit hit as Apple battle intensifies ,* Apple says will stop paying royalties (Adds details  updates shares),normal
QCOM,QUALCOMM Incorporated,20170428,BRIEF-Apple comments on payment dispute with Qualcomm ,* Says "we’ve been trying to reach a licensing agreement with Qualcomm for more than five years but they have refused to negotiate fair terms",normal
QCOM,QUALCOMM Incorporated,20170428,Qualcomm says Apple to stop paying royalties  cuts profit forecast ,April 28 Qualcomm Inc said on Friday Apple Inc will not pay royalties to its contract manufacturers  that are owed to the chipmaker  for sales made in the first quarter of 2017.,normal
RDUS,Radius Health Inc,20170428,FDA approves Radius Health's osteoporosis drug Tymlos ,The U.S. Food and Drug Administration on Friday approved Radius Health Inc's drug to treat osteoporosis in postmenopausal women at high risk of fracture or those who have failed other therapies.,topStory
RDUS,Radius Health Inc,20170428,FDA approves Radius Health's osteoporosis drug Tymlos ,April 28 The U.S. Food and Drug Administration on Friday approved Radius Health Inc's drug to treat osteoporosis in postmenopausal women at high risk of fracture or those who have failed other therapies.,normal
REGN,Regeneron Pharmaceuticals Inc,20170428,BRIEF-Regeneron and Sanofi announce Kevzara license application resubmission for review by FDA ,* Regeneron and Sanofi announce Kevzara® (sarilumab) Biologics License Application resubmission accepted for review by U.S. FDA,topStory
RNST,Renasant Corporation,20170428,BRIEF-Renasant says Robinson Mcgraw to step down as CEO ,* Renasant - on April 25  co said E. Robinson Mcgraw to step down as chief executive officer of company and Renasant Bank  effective May 1  2018,topStory
SAIA,Saia Inc,20170428,BRIEF-SAIA Q1 EARNINGS PER SHARE $0.44 ,* Q1 EARNINGS PER SHARE VIEW $0.41  REVENUE VIEW $306.7 MILLION -- THOMSON REUTERS I/B/E/S,topStory
SAL,Salisbury Bancorp Inc,20170428,BRIEF-Salisbury Bancorp reports Q1 EPS of $0.58 ,* Salisbury Bancorp  Inc. reports results for first quarter 2017; Declares 28 cent dividend,topStory
SAFM,Sanderson Farms Inc,20170428,BRIEF-Sanderson Farms announces new credit agreement ,* Says approved an agreement  effective April 28  2017  for a new $900 million revolving credit facility through a consortium of banks,topStory
SAVE,Spirit Airlines Inc,20170428,BRIEF-Spirit Airlines sees Q2 available seat miles up 16.7 pct - SEC Filing ,* Sees Q2 total revenue per ASM year-over-year % change up 4.5% to 5.5%,topStory
SBPH,Spring Bank Pharmaceuticals Inc,20170428,BRIEF-Spring Bank Pharmaceuticals posts Q1 loss per share $0.69 ,* Spring Bank Pharmaceuticals provides corporate update and reports first quarter 2017 financial and operational results,topStory
SBBP,Strongbridge Biopharma plc,20170428,BRIEF-Strongbridge Biopharma files for mixed shelf offering of up to $150 mln ,* Strongbridge Biopharma Plc files for mixed shelf offering of up to $150 million - sec filing Source text: (http://bit.ly/2pdCALq) Further company coverage:,topStory
SYMC,Symantec Corporation,20170428,8th Circuit upholds $60M Symantec settlement over ‘download insurance’ ,A federal appeals court on Friday upheld last year’s $60 million settlement of a nationwide class action over computer security company Symantec’s marketing of “download insurance” for its popular Norton anti-virus software  rejecting claims by two objectors that attorneys will pocket too much of the total.,topStory
TERP,TerraForm Power Inc,20170428,BRIEF-Terraform power says Terraform Power Operating enters into amendment to credit and guaranty agreement ,* Terraform Power - on April 26  Terraform Power Operating  LLC entered eleventh amendment to its credit and guaranty agreement  dated as of Jan 28  2015,topStory
TSLA,Tesla Inc ,20170428,Tesla must complete brake fix to regain top safety rating: Consumer Reports ,DETROIT Tesla Inc needs to complete fixing its Model S sedan emergency braking system to regain Consumer Reports' top safety rating  the magazine said on Friday  noting that a recent update by the luxury electric car maker was not enough.,topStory
TSLA,Tesla Inc ,20170428,Tesla must complete brake fix to regain top safety rating -Consumer Reports ,DETROIT  April 28 Tesla Inc needs to complete fixing its Model S sedan emergency braking system to regain Consumer Reports' top safety rating  the magazine said on Friday  noting that a recent update by the luxury electric car maker was not enough.,normal
TSLA,Tesla Inc ,20170428,Tesla says it will stop selling solar door-to-door ,Tesla Inc  on Friday said that its subsidiary SolarCity will curtail door-to-door sales of rooftop solar installations over the next month as Tesla seeks to absorb the company into its high-end brand.,normal
TSLA,Tesla Inc ,20170428,Tesla says it will stop selling solar door-to-door ,April 28 Tesla Inc on Friday said that its subsidiary SolarCity will curtail door-to-door sales of rooftop solar installations over the next month as Tesla seeks to absorb the company into its high-end brand.,normal
TSLA,Tesla Inc ,20170428,Tesla recruiting engineers in Mexico for California plant ,SAN FRANCISCO Tesla Inc  is recruiting engineers from Mexico to work on robotics and other automated equipment at its California factory  according to LinkedIn postings viewed by Reuters  part of a hiring push to ready the plant for mass production of the upcoming Model 3.,normal
TSLA,Tesla Inc ,20170428,Tesla recruiting engineers in Mexico for California plant ,SAN FRANCISCO  April 28 Tesla Inc is recruiting engineers from Mexico to work on robotics and other automated equipment at its California factory  according to LinkedIn postings viewed by Reuters  part of a hiring push to ready the plant for mass production of the upcoming Model 3.,normal
TFSL,TFS Financial Corporation,20170428,BRIEF-TFS Financial qtrly earnings per share $0.08 ,* Qtrly net interest income was $70.3 million for three months ended March 31  2017 versus $67.8 million Source text for Eikon: Further company coverage:,topStory
GT,The Goodyear Tire & Rubber Company,20170428,Goodyear Tire profit beats estimates on price hikes ,Goodyear Tire & Rubber Co  reported quarterly profit that beat estimates  as the company sold tires at higher prices while keeping a lid on its costs.,topStory
GT,The Goodyear Tire & Rubber Company,20170428,UPDATE 2-Goodyear Tire profit beats estimates on price hikes ,April 28 Goodyear Tire & Rubber Co reported quarterly profit that beat estimates  as the company sold tires at higher prices while keeping a lid on its costs.,normal
GT,The Goodyear Tire & Rubber Company,20170428,Goodyear Tire profit falls 9.8 pct ,April 28 Goodyear Tire & Rubber Co  the largest U.S. tire maker  reported a 9.8 percent fall in quarterly profit  as raw material costs rose and the company shipped fewer tires.,normal
TPIC,TPI Composites Inc,20170428,BRIEF-TPI  Vestas sign wind blade supply agreement for Latin America ,* Tpi and vestas sign wind blade supply agreement for latin america,topStory
TRIP,TripAdvisor Inc,20170428,CORRECTED-UPDATE 2-Didi seeks $6 bln funding  to become China's second-most valuable private firm ,* Part of fund raising for international expansion  sources say,normal
USEG,US Energy Corp,20170428,Russia says hearing of tax dispute with Exxon delayed ,MOSCOW  April 28 The hearing of a tax dispute between Russia and U.S. oil and gas major ExxonMobil at the Stockholm arbitration court has been delayed while the two sides continue talks to try to reach a settlement  Russia's finance ministry said on Friday.,normal
UTHR,United Therapeutics Corporation,20170428,BRIEF-United Therapeutics announces $250 mln share repurchase program ,* United Therapeutics announces $250 million share repurchase program,topStory
UNTY,Unity Bancorp Inc,20170428,BRIEF-UNITY BANCORP DECLARES 20 PCT INCREASE IN CASH DIVIDEND ,* SETS CASH DIVIDEND OF $0.06 PER SHARE Source text for Eikon: Further company coverage: [cHST.N ],topStory
VRTS,Virtus Investment Partners Inc,20170428,BRIEF-Virtus Investment Partners Q1 earnings per share $1.62 ,* Virtus investment partners announces financial results for the first quarter 2017,topStory
VRTSP,Virtus Investment Partners Inc,20170428,BRIEF-Virtus Investment Partners Q1 earnings per share $1.62 ,* Virtus investment partners announces financial results for the first quarter 2017,topStory
VOD,Vodafone Group Plc,20170428,BRIEF-Sky Network Television says OIA consents granted for proposed merger of Sky and Vodafone ,* Oia consents granted for proposed merger of Sky and Vodafone Source text for Eikon: Further company coverage:,topStory
WSBF,Waterstone Financial Inc,20170428,BRIEF-Waterstone Financial quarterly earnings per share $0.24 ,* Waterstone financial inc qtrly net interest income $11.9 million versus $10 million Source text - (http://bit.ly/2qmY7ir) Further company coverage:,topStory
WDC,Western Digital Corporation,20170428,UPDATE 1-Westinghouse says will operate normally in Asia  Europe despite Chapter 11 ,* First AP1000 reactor to be put into operation by end-2017 (Updates with quotes  context),normal
WETF,WisdomTree Investments Inc,20170428,BRIEF-Wisdomtree posts Q1 earnings per share $0.05 ,* Q1 earnings per share view $0.04  revenue view $53.3 million -- Thomson Reuters I/B/E/S,topStory
WPPGY,WPP plc,20170428,WPP to cut Sorrell's pay in 2017 after investor backlash ,LONDON  April 28 WPP  the world's largest advertising agency  will cut the amount it pays its chief executive and founder Martin Sorrell to no more than 19 million pounds ($24.6 million) after an investor backlash sparked by previous record payouts.,topStory
ZEAL,Zealand Pharma A/S,20170428,BRIEF-Zealand Pharma Q1 royalty revenue DKK 8.0 million ,* ZEALAND REPORTS ROYALTY REVENUE OF DKK 8.0 MILLION IN Q1 2017,topStory
AAN,Aaron&#39;s  Inc,20170428,BRIEF-Aaron's Inc Q1 earnings per share $0.74 ,* Q1 earnings per share view $0.66  revenue view $834.2 million -- Thomson Reuters I/B/E/S,topStory
AER,Aercap Holdings NV,20170428,BRIEF-AERCAP SIGNS LEASE AGREEMENT WITH NEW AIRLINE CUSTOMER  GERMANIA ,* AERCAP SIGNS LEASE AGREEMENT WITH NEW AIRLINE CUSTOMER  GERMANIA,topStory
ADC,Agree Realty Corporation,20170428,BRIEF-Agree Realty enters into equity distribution agreement ,* Agree Realty -on April 28  co entered into equity distribution agreement  pursuant to which co may offer to sell upto $200 million of common stock -sec filing Source text: (http://bit.ly/2oQYOzf) Further company coverage:,topStory
AQN,Algonquin Power & Utilities Corp,20170428,BRIEF-Fujian Snowman and partners to acquire stake in Canada's Hydrogenics Corp ,* Says it and partners plan to acquire up to 17.6 percent stake in Canada's Hydrogenics Corp,topStory
AQN,Algonquin Power & Utilities Corp,20170428,BRIEF-Hydrogenics announces US$21 mln private placement ,* Hydrogenics Corp - entered into a subscription agreement with Fuzhou bonded zone Hejili equity investment limited partnership,normal
BABA,Alibaba Group Holding Limited,20170428,UPDATE 1-Hillhouse  CDH-led group offers to buy Belle International in $6.8 bln deal ,* Privatisation to free Belle from "short-term distractions-CEO (Adds Belle CEO comments  details on Hillhouse  Belle ownership after buyout),normal
AGN,Allergan plc,20170428,BRIEF-Allergan completes Zeltiq acquisition ,* Allergan successfully completes zeltiq® aesthetics acquisition Source text for Eikon: Further company coverage:,topStory
AAT,American Assets Trust Inc,20170428,BRIEF-American Assets Trust acquires Pacific Ridge Apartments for $232 mln ,* American Assets Trust Inc acquires the Pacific Ridge Apartments in San Diego  California,topStory
ANTM,Anthem Inc,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON A U.S. appeals court on Friday blocked health insurer Anthem Inc's  bid to merge with Cigna   upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,topStory
ANTM,Anthem Inc,20170428,UPDATE 3-U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
ANTM,Anthem Inc,20170428,CORRECTED-UPDATE 2-U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
ANTM,Anthem Inc,20170428,BRIEF-Anthem responds to U.S. Court of appeals decision on acquisition of Cigna ,* Anthem responds to U.S. Court of appeals decision on acquisition of Cigna,normal
ANTM,Anthem Inc,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
ANTM,Anthem Inc,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court dealt health insurer Anthem Inc's bid to merge with rival Cigna a likely death blow on Friday when it upheld a lower court's decision stopping the deal.,normal
ANTX,Anthem Inc,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON A U.S. appeals court on Friday blocked health insurer Anthem Inc's  bid to merge with Cigna   upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,topStory
ANTX,Anthem Inc,20170428,UPDATE 3-U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
ANTX,Anthem Inc,20170428,CORRECTED-UPDATE 2-U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
ANTX,Anthem Inc,20170428,BRIEF-Anthem responds to U.S. Court of appeals decision on acquisition of Cigna ,* Anthem responds to U.S. Court of appeals decision on acquisition of Cigna,normal
ANTX,Anthem Inc,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON A U.S. appeals court on Friday blocked health insurer Anthem Inc's bid to merge with Cigna  upholding a lower court's decision that the $54 billion deal should not be allowed because it would lead to higher prices for healthcare.,normal
ANTX,Anthem Inc,20170428,U.S. appeals court blocks Anthem bid to merge with rival Cigna ,WASHINGTON  April 28 A U.S. appeals court dealt health insurer Anthem Inc's bid to merge with rival Cigna a likely death blow on Friday when it upheld a lower court's decision stopping the deal.,normal
APO,Apollo Global Management LLC,20170428,Stock rally helps buyout firm Apollo Q1 earnings beat forecasts ,NEW YORK Asset manager Apollo Global Management LLC  reported better-than-expected first-quarter earnings on Friday as a rising stock market supported strong gains in private equity investments.,topStory
APO,Apollo Global Management LLC,20170428,BRIEF-Apollo Global Management posts qtrly income $0.75/Class A share ,* Apollo Global Management LLC - qtrly  total revenues $643.6 million versus $120.8 million - SEC filing,normal
APO,Apollo Global Management LLC,20170428,Kentucky's pension deal offers lessons on risks  cost cuts ,NEW YORK  April 28 When Kentucky's public pension put U.S. buyout firm KKR & Co LP in charge of its hedge fund investments in May 2015  its board expected the deal to save money and boost its returns.,normal
APO,Apollo Global Management LLC,20170428,Exclusive: Apollo Global in advanced talks to buy West Corp - sources ,Private equity firm Apollo Global Management LLC is in advanced negotiations to acquire U.S. telephone conferencing services provider West Corp  people familiar with the matter said on Thursday.,normal
ADM,Archer-Daniels-Midland Company,20170428,ADM hires chief risk officer from CHS in latest corporate shake-up ,LONDON/CHICAGO  April 28 Archer Daniels Midland Co has hired a chief risk officer from rival CHS Inc   the U.S. agribusiness confirmed on Friday  a further sign of an internal shake-up as a global grain glut pressures its profits.,topStory
AHP,Ashford Hospitality Prime Inc,20170428,BRIEF-Ashford Hospitality Prime names CEO Richard Stockton as president ,* Ashford Hospitality Prime Inc - on april 27  2017  Douglas A. Kessler resigned from his position as president of company,topStory
ATTO,Atento SA,20170428,BRIEF-Atento prepays $27 million in brazilian debentures ,* Atento announces prepayment of $27 million brazilian debentures,topStory
ALV,Autoliv Inc,20170428,Autoliv sees raw material cost rise of $38 mln in 2017 ,April 28 Autoliv   the world's biggest maker of airbags and seatbelts  is expecting higher raw material costs this year than previously forecast  Chief Executive Jan Carlson told Reuters after the firm posted earnings above expecations on Friday.,topStory
ALV,Autoliv Inc,20170428,Autoliv flags auto output uncertainty after profit tops forecast ,STOCKHOLM  April 28 Autoliv   the world's biggest maker of airbags and seatbelts  reported a bigger-than-expected rise in quarterly earnings but flagged uncertainty about global vehicle production ahead  sending its shares slightly lower.,normal
ALV,Autoliv Inc,20170428,BRIEF-Autoliv Q1 operating profit beats forecasts ,* Q1 operating profit $218 million (205) versus mean forecast $206 million in Reuters poll Source text for Eikon: Further company coverage: (Stockholm Newsroom),normal
ALV,Autoliv Inc,20170428,BRIEF-Autoliv sees organic sales growth  roughly flat margin in Q2 ,* Says for Q2 of 2017  company expects organic sales to increase by around 2% and an adjusted operating margin of around 8.5%,normal
AVX,AVX Corporation,20170428,BRIEF-Avx Corporation Q4 earnings per share $0.20 ,* Avx Corporation announces preliminary fourth quarter and fiscal year results,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20170428,Fitch Affirms BBVA at 'A-'; Outlook Stable ,(The following statement was released by the rating agency) BARCELONA/LONDON  April 28 (Fitch) Fitch Ratings has affirmed Spain-based Banco Bilbao Vizcaya Argentaria  S.A.'s (BBVA) Long-Term Issuer Default Rating (IDR) at 'A-' and its Viability Rating (VR) at 'a-'. The Outlook on the Long-Term IDR is Stable. A full list of rating actions is at the end of this rating action commentary. In addition  Fitch has assigned an 'A-(dcr)' Derivative Counterparty Ratings (DCR) to BBVA as part of its roll-o,topStory
BBD,Banco Bradesco Sa,20170428,Bradesco sees expense growth at bottom of guidance this year ,SAO PAULO  April 28 General and administrative expenses at Banco Bradesco SA will probably grow at the lowest end of a project range this year  as Brazil's No. 3 listed bank captures more cost savings stemming from the acquisition of HSBC Holding Plc's local unit  executives said on Friday.,topStory
BBDO,Banco Bradesco Sa,20170428,Bradesco sees expense growth at bottom of guidance this year ,SAO PAULO  April 28 General and administrative expenses at Banco Bradesco SA will probably grow at the lowest end of a project range this year  as Brazil's No. 3 listed bank captures more cost savings stemming from the acquisition of HSBC Holding Plc's local unit  executives said on Friday.,topStory
SAN,Banco Santander SA,20170428,Fitch Affirms Banco Santander at 'A-'; Outlook Stable ,(The following statement was released by the rating agency) BARCELONA/LONDON  April 28 (Fitch) Fitch Ratings has affirmed Spain-based Banco Santander  S.A.'s Long-Term Issuer Default Rating (IDR) at 'A-' and its Viability Rating (VR) at 'a-'. The Outlook on the Long-Term IDR is Stable. A full list of rating actions is at the end of this rating action commentary. In addition  Fitch has assigned an 'A-(dcr)' Derivative Counterparty Rating (DCR) to Banco Santander as part of its roll-out of DCRs to,topStory
BCS,Barclays PLC,20170428,UBS valuation lead over Barclays looks too wide ,LONDON (Reuters Breakingviews) - When it comes to being a bank chief executive  the received wisdom is that UBS boss Sergio Ermotti has a stronger hand than Jes Staley at Barclays. Even ignoring the UK bank chief executive’s recent disregard for whistleblowing rules  investors prefer his Swiss counterpart’s strategy of running a focused investment bank alongside a big wealth management business. That is reflected in valuations: UBS trades at 1.3 times tangible book value  almost twice Barclays’ ,topStory
BCS,Barclays PLC,20170428,Barclays misses debt trading surge  but DCM strong ,LONDON  April 28 (IFR) - Barclays failed to match the rebound in bond trading revenues shown by US rivals last quarter due to a weak performance in US rates trading  taking the shine off a strong performance in other areas of investment banking and across the group.,normal
BCS,Barclays PLC,20170428,BRIEF-Barclays CEO Jes Staley says did not offer resignation over whistleblower treatment ,* Barclays CEO Jes Staley says "I made a mistake" over treatment of whistleblower,normal
BCS,Barclays PLC,20170428,BRIEF-Barclays Q1 markets income falls 4 pct ,* Africa banking profit before tax  excluding impairment of Barclays' holding in BAGL  increased to 325 mln stg,normal
BCS,Barclays PLC,20170428,UK Stocks-Factors to watch on April 28 ,    April 28 Britain's FTSE 100 index is seen opening up 1 point at 7 238 on Friday  according to financial bookmakers.           * BARCLAYS: British bank Barclays Plc faces shareholder revolt over whistleblower inquiry after a corporate governance firm advised shareholders not to back his re-election to the board  The Times reported on Friday. (http://bit.ly/2qdvJ63)                  * BP: BP Plc was restoring production on Thursday afternoon at two crude distillation units at its 4,normal
B,Barnes Group Inc,20170428,BRIEF-Barnes Group Q1 adjusted EPS $0.71 ,* Barnes group inc. Reports first quarter 2017 financial results,topStory
BBL,BHP Billiton plc,20170428,UK Stocks-Factors to watch on April 28 ,    April 28 Britain's FTSE 100 index is seen opening up 1 point at 7 238 on Friday  according to financial bookmakers.           * BARCLAYS: British bank Barclays Plc faces shareholder revolt over whistleblower inquiry after a corporate governance firm advised shareholders not to back his re-election to the board  The Times reported on Friday. (http://bit.ly/2qdvJ63)                  * BP: BP Plc was restoring production on Thursday afternoon at two crude distillation units at its 4,normal
BLK,BlackRock Inc,20170428,U.S. economic growth slower than France  'terrible': BlackRock's Fink ,CHICAGO BlackRock Inc Chief Executive Officer Larry Fink on Friday sounded another warning on the U.S. economy after the government reported anemic growth in the first quarter.,topStory
BLK,BlackRock Inc,20170428,U.S. economic growth slower than France  'terrible' -BlackRock's Fink ,CHICAGO  April 28 BlackRock Inc Chief Executive Officer Larry Fink on Friday sounded another warning on the U.S. economy after the government reported anemic growth in the first quarter.,normal
BLK,BlackRock Inc,20170428,BlackRock's Fink a 'big believer' in Wells Fargo CEO ,CHICAGO BlackRock Inc Chief Executive Officer Larry Fink said on Friday he is a "big believer" in Wells Fargo & Co Chief Executive Tim Sloan and that the scandal-hit bank is now on a good path.,normal
BLK,BlackRock Inc,20170428,UPDATE 2-BlackRock's Fink a 'big believer' in Wells Fargo CEO ,CHICAGO  April 28 BlackRock Inc Chief Executive Officer Larry Fink said on Friday he is a "big believer" in Wells Fargo & Co Chief Executive Tim Sloan and that the scandal-hit bank is now on a good path.,normal
BLK,BlackRock Inc,20170428,BlackRock's Fink a 'big believer' in Wells Fargo CEO ,CHICAGO  April 28 BlackRock Inc Chief Executive Officer Larry Fink on Friday said he is a "big believer" in Wells Fargo & Co Chief Executive Tim Sloan  saying the scandal-hit bank bank is now on a good path.,normal
BA,Boeing Company (The),20170428,Boeing wins $541 million defense contract: Pentagon ,WASHINGTON Boeing Co  has been awarded a $541 million contract for CH-47F helicopters for the Netherlands  the Pentagon said on Friday.,topStory
BA,Boeing Company (The),20170428,Bombardier rejects Boeing trade claim  shares slide ,MONTREAL/NEW YORK Canada's Bombardier Inc  hit back on Friday at rival U.S. planemaker Boeing Co's  claim that it sold jets well below cost to win market share in the United States  the latest sign of increasing trade tensions between the two countries.,normal
BA,Boeing Company (The),20170428,Boeing wins $541 mln defense contract -Pentagon ,WASHINGTON  April 28 Boeing Co has been awarded a $541 million contract for CH-47F helicopters for the Netherlands  the Pentagon said on Friday.,normal
BA,Boeing Company (The),20170428,UPDATE 2-Bombardier rejects Boeing trade claim  shares slide ,MONTREAL/NEW YORK April 28 Canada's Bombardier Inc hit back on Friday at rival U.S. planemaker Boeing Co's claim that it sold jets well below cost to win market share in the United States  the latest sign of increasing trade tensions between the two countries.,normal
BA,Boeing Company (The),20170428,State Department OKS $1.46 billion aircraft sale to New Zealand: Pentagon ,WASHINGTON The U.S. State Department has approved a possible $1.46 billion sale to New Zealand of four P-8A maritime surveillance aircraft and associated support  a Pentagon agency said on Friday.,normal
BA,Boeing Company (The),20170428,State Dept OKS $1.46 bln aircraft sale to New Zealand -Pentagon ,WASHINGTON  April 28 The U.S. State Department has approved a possible $1.46 billion sale to New Zealand of four P-8A maritime surveillance aircraft and associated support  a Pentagon agency said on Friday.,normal
BA,Boeing Company (The),20170428,CANADA STOCKS-TSX rises as resource stocks lead bounce ,TORONTO  April 28 Canada's main stock index rose on Friday as natural resource stocks led a broad rally on a mix of higher commodity prices and positive corporate earnings.,normal
BA,Boeing Company (The),20170428,CANADA STOCKS-TSX ekes out gain as energy stocks gain; Bombardier falls ,TORONTO  April 28 Canada's main stock index edged higher in early trade on Friday  as energy stocks broadly gained with higher oil prices and Bombardier Inc shares weighed after Boeing asked the U.S. government to investigate pricing of the company's new jet.,normal
BA,Boeing Company (The),20170428,Boeing seeks U.S. anti-dumping probe against Bombardier jet ,WASHINGTON/NEW YORK Boeing Co on Thursday asked the U.S. Commerce Department to investigate alleged subsidies and unfair pricing for Canadian planemaker Bombardier's new CSeries airplane  adding to growing trade tensions between the United States and Canada.,normal
BCEI,Bonanza Creek Energy Inc,20170428,BRIEF-Bonanza Creek Energy emerges from Chapter 11 ,* Bonanza creek energy successfully completes  prepackaged financial restructuring; emerges from chapter 11; announces new board of directors,topStory
BXP,Boston Properties Inc,20170428,Fitch Rates Boston Properties' Delayed Draw Term Loan 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  April 28 (Fitch) Fitch Ratings has assigned a 'BBB+' rating to Boston Properties L.P.'s $500 million senior unsecured delayed draw term loan (DDTL) facility. The company amended its unsecured credit facility to add the DDTL facility  increased the capacity of its revolving facility to $1.5 billion from $1 billion and extended the maturity to April 24  2022. The term loan ranks pari passu with existing unsecured debt. A full li,topStory
BP,BP plc,20170428,Four employees injured in incident at BP's Whiting  Indiana refinery: company ,HOUSTON Four employees were injured on Friday in a power distribution center at BP Plc's 413 500 barrel per day (bpd) Whiting  Indiana  refinery  the company said in a statement.,topStory
BMY,Bristol-Myers Squibb Company,20170428,BRIEF-China FDA approves country's first all-oral regimen for chronic Hepatitis C ,* China FDA approves country's first all-oral regimen for chronic Hepatitis C  daklinza (daclatasvir) in combination with sunvepra (asunaprevir),topStory
COG,Cabot Oil & Gas Corporation,20170428,BRIEF-Cabot Oil & Gas Q1 earnings per share $0.23 ,* Cabot Oil & Gas Corporation announces first quarter 2017 results,topStory
CPN,Calpine Corporation,20170428,BRIEF-Calpine Q1 loss per share $0.16 ,* Calpine reports first quarter 2017 results  reaffirms 2017 guidance; announces cancellation of new Texas power plant  replaces with 10-year supply contract,topStory
CCJ,Cameco Corporation,20170428,UPDATE 2-Uranium miner Cameco posts surprisingly big loss  shares plunge ,April 28 Cameco Corp   the world's second-biggest uranium producer  posted a bigger-than-expected quarterly loss  partly hurt by the termination of a key sales contract  driving shares to a nearly five-month low.,topStory
CCJ,Cameco Corporation,20170428,BRIEF-Cameco Q1 adjusted loss per share $0.07 ,* Q1 earnings per share view c$-0.01 -- Thomson Reuters I/B/E/S,normal
CCJ,Cameco Corporation,20170428,Uranium producer Cameco posts loss vs year-ago profit ,April 28 Cameco Corp   the world's second-biggest uranium producer  posted a quarterly loss  partly hurt by weak prices and the termination of a contract by Tokyo Electric Power Co.,normal
CWH,Camping World Holdings Inc,20170428,Camping World-led group wins bankruptcy auction for Gander Mountain ,The largest U.S. recreational vehicle dealer  Camping World Holdings Inc   and a group of liquidators won a bankruptcy auction for sporting goods retailer Gander Mountain Co [GDMIN.UL] on Friday  according to a bankruptcy court filing.,topStory
CWH,Camping World Holdings Inc,20170428,UPDATE 1-Camping World-led group wins bankruptcy auction for Gander Mountain ,April 28 The largest U.S. recreational vehicle dealer  Camping World Holdings Inc  and a group of liquidators won a bankruptcy auction for sporting goods retailer Gander Mountain Co on Friday  according to a bankruptcy court filing.,normal
CWH,Camping World Holdings Inc,20170428,Camping World-led group wins bankruptcy auction for Gander Mountain ,Camping World Holdings Inc and a group of liquidators won a bankruptcy auction for Gander Mountain Co on Friday  according to bankruptcy court filing.,normal
CWH,Camping World Holdings Inc,20170428,Camping World-led group wins bankruptcy auction for Gander Mountain ,April 28 Camping World Holdings Inc and a group of liquidators won a bankruptcy auction for Gander Mountain Co on Friday  according to bankruptcy court filing.,normal
CRR,Carbo Ceramics Inc,20170428,BRIEF-Carbo Ceramics announces exploring options to monetize some of its international assets ,* Carbo Ceramics - On April 27  co announced exploring options to monetize some of company's international assets,topStory
KMX,CarMax Inc,20170428,UPDATE 2-Used-car retailer Carvana's shares skid in debut ,April 28 Shares of Carvana Co  which uses vending machine-like towers to sell used cars  plunged as much as 17 percent in their market debut on Friday.,normal
CTL,CenturyLink Inc,20170428,BRIEF-Centurylink announces combined company senior leadership team ,* Centurylink announces combined company senior leadership team Source text for Eikon: Further company coverage:,topStory
GIB,CGI Group Inc,20170428,BRIEF-CGI Group Inc buys two U.S.-based high-end consulting firms ,* CGI Group Inc says acquisition of two U.S.-based high-end consulting firms Source text for Eikon: Further company coverage:,topStory
CVX,Chevron Corporation,20170428,WRAPUP 3-Surging Chevron  Exxon profits signal oil industry turnaround ,HOUSTON  April 28 Rising crude prices helped Chevron Corp and Exxon Mobil Corp easily beat analysts' quarterly profit expectations on Friday  setting an upbeat tone as the two companies press ahead with shale oil expansions.,topStory
