AMZN,Amazoncom Inc,20111007,Customer-service leader Zappos trips up ,* Project WMS like open heart surgery on moving train-CEO,topStory
DRUA,Dominion Energy Inc,20111007,NRC not ready to allow restart of Virginia reactors ,NEW YORK  Oct 7 The U.S. Nuclear Regulatory Commission said Friday it will hold a meeting on Oct. 21 to discuss the restart readiness of U.S. power company Dominion's North Anna nuclear power plant in Virginia  which shut down safely following the Aug. 23 earthquake in Virginia.,topStory
LLY,Eli Lilly and Company,20111007,FDA OKs Eli Lilly's Cialis for enlarged prostate ,U.S. drug regulators approved Eli Lilly's Cialis drug to treat enlargement of the prostate on Thursday  expanding use of the blockbuster impotence medicine.,topStory
ENB,Enbridge Inc,20111007,Deals of the day -- mergers and acquisitions ,Oct 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Friday:,topStory
ENB,Enbridge Inc,20111007,Enbridge to buy Encana's stake in Cabin gas plant ,Enbridge Inc   said it would buy a majority stake in the Cabin gas plant in British Columbia's Horn River Basin from Encana Corp  and some other sellers for C$250 million  as it looks to strengthen its Canadian midstream business.,normal
ENB,Enbridge Inc,20111007,UPDATE 2-Enbridge to buy Encana's stake in Cabin gas plant ,Oct 7 Enbridge Inc  said it would buy a majority stake in the Cabin gas plant in British Columbia's Horn River Basin from Encana Corp and some other sellers for C$250 million  as it looks to strengthen its Canadian midstream business.,normal
ECA,Encana Corporation,20111007,Enbridge to buy Encana's stake in Cabin gas plant ,Enbridge Inc   said it would buy a majority stake in the Cabin gas plant in British Columbia's Horn River Basin from Encana Corp  and some other sellers for C$250 million  as it looks to strengthen its Canadian midstream business.,topStory
ECA,Encana Corporation,20111007,UPDATE 2-Enbridge to buy Encana's stake in Cabin gas plant ,Oct 7 Enbridge Inc  said it would buy a majority stake in the Cabin gas plant in British Columbia's Horn River Basin from Encana Corp and some other sellers for C$250 million  as it looks to strengthen its Canadian midstream business.,normal
F,Ford Motor Company,20111007,UPDATE 2-Rivals' UAW deals too rich for Chrysler  CEO says ,MONTREAL  Oct 7 Chrysler Group LLC intends to reach a four-year labor contract with the United Auto Workers without arbitration  but Chief Executive Sergio Marchionne warned that the union's deals with its crosstown rivals may be too costly for the smallest U.S. automaker.,topStory
F,Ford Motor Company,20111007,Text-S&P puts 8 Ford Motor-related ratings on pos watch ,NEW YORK (Standard & Poor's) Oct. 7  2011--Standard & Poor's Ratings Services today placed its 'BB-' ratings on eight Ford Motor Co.-related transactions on CreditWatch with positive implications (see list). All of the transactions are pass-through structures. The ratings on each of them are dependent on the ratings on one of the following underlying securities (see the ratings list for more detailed information): Ford Motor Co.'s 7.45% debentures due July 16  2031 ('BB-/Watch Pos'); Ford Motor ,normal
GEK,General Electric Capital Corporation,20111007,Cargolux  Boeing keep talking on 747 dispute ,BRUSSELS  Oct 7 Freight carrier Cargolux Airlines International said on Friday progress had been made to resolve a dispute that has delayed its acceptance of the first Boeing Co 747-8 freighter and that discussions would continue over the weekend.,topStory
GE,General Electric Company,20111007,Cargolux  Boeing keep talking on 747 dispute ,BRUSSELS  Oct 7 Freight carrier Cargolux Airlines International said on Friday progress had been made to resolve a dispute that has delayed its acceptance of the first Boeing Co 747-8 freighter and that discussions would continue over the weekend.,topStory
GM,General Motors Company,20111007,UPDATE 2-Rivals' UAW deals too rich for Chrysler  CEO says ,MONTREAL  Oct 7 Chrysler Group LLC intends to reach a four-year labor contract with the United Auto Workers without arbitration  but Chief Executive Sergio Marchionne warned that the union's deals with its crosstown rivals may be too costly for the smallest U.S. automaker.,topStory
GM,General Motors Company,20111007,GM agrees to pay half of vehicle gauge repairs ,DETROIT  Oct 7 General Motors Co has agreed to pay half the cost of repairing faulty fuel gauges in Chevrolet  Buick and GMC sport utility vehicles and Saab cars from model years 2005 through 2007.,normal
GS,Goldman Sachs Group Inc (The),20111007,UPDATE 1-Zeltiq Aesthetics sets IPO price range ,* Goldman Sachs  J.P.Morgan and others to underwrite the offering,topStory
HGH,Hartford Financial Services Group Inc (The),20111007,Hartford Financial sees lower Q3 credit loss ,Hartford Financial Services Group Inc  sees lower credit losses in the third quarter and said it has no direct exposure to sovereign European debt.,topStory
HGH,Hartford Financial Services Group Inc (The),20111007,UPDATE 1-Hartford Financial sees lower Q3 credit loss ,Oct 7 - Hartford Financial Services Group Inc sees lower credit losses in the third quarter and said it has no direct exposure to sovereign European debt.,normal
HIG,Hartford Financial Services Group Inc (The),20111007,Hartford Financial sees lower Q3 credit loss ,Hartford Financial Services Group Inc  sees lower credit losses in the third quarter and said it has no direct exposure to sovereign European debt.,topStory
HIG,Hartford Financial Services Group Inc (The),20111007,UPDATE 1-Hartford Financial sees lower Q3 credit loss ,Oct 7 - Hartford Financial Services Group Inc sees lower credit losses in the third quarter and said it has no direct exposure to sovereign European debt.,normal
INFY,Infosys Limited,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,topStory
JPM,J P Morgan Chase & Co,20111007,Insight: Americans seethe as banks hit them with new fees ,Smoking outside a Bank of America branch in Chicago  restaurant worker Mike Dysangco complained about the "totally ridiculous" new banking fees.,topStory
JPM,J P Morgan Chase & Co,20111007,INSIGHT-Americans seethe as banks hit them with new fees ,Oct 7 Smoking outside a Bank of America  branch in Chicago  restaurant worker Mike Dysangco complained about the "totally ridiculous" new banking fees.,normal
JPM,J P Morgan Chase & Co,20111007,Shock and awe needed for risk rally ,LONDON After a poor start to the fourth quarter  investors' mood may be just starting to stabilize after moves by European policymakers to help fragile banks and avert a financial meltdown. But it may take a lot grander plan to truly kick start a risk rally.,normal
JNJ,Johnson & Johnson,20111007,Zytiga creeps up on Provenge prostate-cancer drug ,NEW YORK  Oct 7 Interest in Dendreon Corp's Provenge vaccine to treat prostate cancer seems to be waning following recent approval of Johnson & Johnson's  more-convenient and faster-acting Zytiga treatment  according to some doctors and industry analysts.,topStory
JNJ,Johnson & Johnson,20111007,UPDATE 1-Chile Cencosud to buy control of Johnson's ,Oct 7 Chilean retailer Cencosud said on Friday it signed a preliminary deal to take control of department store rival Johnson's in a deal worth around $100 million.,normal
KW,Kennedy-Wilson Holdings Inc,20111007,Verlander and Wilson open Detroit-Texas series ,On paper  the Texas Rangers look to have some advantages in their American League Championship Series (ALCS) against the Detroit Tigers  but playoffs are won and lost on the field as the New York Yankees would attest.,topStory
KKR,KKR & Co LP,20111007,UPDATE 1-KKR  Olympus  Advantage may bid to buy Yayoi from MBK-sources ,* Deadline for initial round of bids set for Oct 10 - sources,topStory
KKR,KKR & Co LP,20111007,KKR  Olympus  Advantage may bid to buy Yayoi from MBK-sources ,TOKYO/HONG KONG  Oct 7 KKR & Co LP   Olympus Capital and Advantage Partners are among firms preparing bids to buy software maker Yayoi from MBK Partners  in what could be the largest private equity deal in Japan this year  sources with direct knowledge of the matter said.,normal
LYG,Lloyds Banking Group Plc,20111007,UPDATE 3-Moody's cuts UK banks as capital worries simmer ,* Moody's cuts RBS by 2 notches  Lloyds by one; small banks slashed,topStory
LYG,Lloyds Banking Group Plc,20111007,Moody's cuts credit ratings on UK banks RBS and Lloyds ,LONDON Credit rating agency Moody's downgraded Britain's part-nationalized banks Lloyds and Royal Bank of Scotland on Friday  although Britain's finance minister said UK banks were well-placed to cope with a European debt crisis. | Video ,normal
MMI,Marcus & Millichap Inc,20111007,Intellectual Ventures sues Motorola Mobility over patents ,Intellectual Ventures  a privately-held patent holding firm co-founded by former Microsoft Corp  chief technology officer Nathan Myhrvold  sued Motorola Mobility Holdings  in the U.S. District Court of Delaware for patent infringement.,topStory
MMI,Marcus & Millichap Inc,20111007,Intellectual Ventures sues Motorola Mobility over patents ,Oct 6 Intellectual Ventures  a privately-held patent holding firm co-founded by former Microsoft Corp  chief technology officer Nathan Myhrvold  sued Motorola Mobility Holdings in the U.S. District Court of Delaware for patent infringement.,normal
MRK,Merck & Company Inc,20111007,FDA approves Merck's new diabetes therapy combo ,U.S. health regulators approved a new combination therapy for type 2 diabetes from Merck & Co  the first to combine a diabetes drug with cholesterol-lowering medicine in one tablet.,topStory
MRK,Merck & Company Inc,20111007,UPDATE 2-US FDA approves Merck's new diabetes therapy combo ,Oct 7 U.S. health regulators approved a new combination therapy for type 2 diabetes from Merck & Co   the first to combine a diabetes drug with cholesterol-lowering medicine in one tablet.,normal
MCO,Moody&#39;s Corporation,20111007,Moody's warns Belgium it risks credit rating cut ,NEW YORK/BRUSSELS Moody's warned Belgium on Friday its credit rating could fall due to the burden of bailing out Dexia   the French-Belgian financial group  and the prospect of higher funding costs and weak economic growth.,topStory
MCO,Moody&#39;s Corporation,20111007,UPDATE 2-Italy's Berlusconi dismisses calls to resign ,ROME  Oct 7 Italian Prime Minister Silvio Berlusconi dismissed calls to resign on Friday as pressure on his struggling centre-right government mounted and his latest verbal gaffe stirred outrage and exasperation.,normal
MCO,Moody&#39;s Corporation,20111007,New Issue-Daimler prices 400 mln euro 2013 FRN ,Notes                   Launched under issuer's EMTN programme,normal
OSK,Oshkosh Corporation,20111007,Oshkosh  UAW reach tentative agreement on contract ,OSHKOSH  Wisconsin Defense contractor Oshkosh Corp and the United Auto Workers union reached tentative agreement on a new five-year contract late Thursday night after resolving issues related to hiring temporary workers  a local UAW official said.,topStory
OSK,Oshkosh Corporation,20111007,UPDATE 2-Oshkosh  UAW reach tentative agreement on contract ,OSHKOSH  Wis.  Oct 7 U.S. defense contractor Oshkosh Corp and the United Auto Workers union reached tentative agreement on a new five-year contract late Thursday night after resolving issues related to hiring temporary workers  a local UAW official said.,normal
PSO,Pearson Plc,20111007,Job action causes delays at Toronto's main airport ,Oct 7 A work-to-rule protest by security screeners at Toronto's Pearson International Airport on Friday was causing flight delays of up to two hours at Canada's biggest airport ahead of the Canadian Thanksgiving weekend.,topStory
PAG,Penske Automotive Group Inc,20111007,Rivals' UAW deals too rich for Chrysler  CEO says ,MONTREAL Chrysler Group LLC intends to reach a four-year labor contract with the United Auto Workers without arbitration  but Chief Executive Sergio Marchionne warned that the union's deals with its crosstown rivals may be too costly for the smallest U.S. automaker.,topStory
PAG,Penske Automotive Group Inc,20111007,UPDATE 2-Rivals' UAW deals too rich for Chrysler  CEO says ,MONTREAL  Oct 7 Chrysler Group LLC intends to reach a four-year labor contract with the United Auto Workers without arbitration  but Chief Executive Sergio Marchionne warned that the union's deals with its crosstown rivals may be too costly for the smallest U.S. automaker.,normal
PAG,Penske Automotive Group Inc,20111007,Oshkosh  UAW reach tentative agreement on contract ,OSHKOSH  Wisconsin Defense contractor Oshkosh Corp and the United Auto Workers union reached tentative agreement on a new five-year contract late Thursday night after resolving issues related to hiring temporary workers  a local UAW official said.,normal
PAG,Penske Automotive Group Inc,20111007,UPDATE 2-Oshkosh  UAW reach tentative agreement on contract ,OSHKOSH  Wis.  Oct 7 U.S. defense contractor Oshkosh Corp and the United Auto Workers union reached tentative agreement on a new five-year contract late Thursday night after resolving issues related to hiring temporary workers  a local UAW official said.,normal
RJF,Raymond James Financial Inc,20111007,On the Move: Raymond James team leaves to set up own RIA ,NEW YORK  Oct 7 A former Raymond James  adviser team has left the independent broker-dealer arm to start its own full-service registered investment advisory after more than a decade with the company.,topStory
RBS,Royal Bank Scotland plc (The),20111007,UPDATE 3-Moody's cuts UK banks as capital worries simmer ,* Moody's cuts RBS by 2 notches  Lloyds by one; small banks slashed,topStory
RBS,Royal Bank Scotland plc (The),20111007,Moody's cuts credit ratings on UK banks RBS and Lloyds ,LONDON Credit rating agency Moody's downgraded Britain's part-nationalized banks Lloyds and Royal Bank of Scotland on Friday  although Britain's finance minister said UK banks were well-placed to cope with a European debt crisis. | Video ,normal
RBS,Royal Bank Scotland plc (The),20111007,FTSE pushes higher supported by strong miners ,LONDON  Oct 7 Britain's top share index pushed higher on Friday  extending a three-session rally as strength in miners on firmer metal prices countered weakness in part-state owned banks after credit downgrades by Moody's.,normal
RBS,Royal Bank Scotland plc (The),20111007,Moody's cuts ratings on RBS and Lloyds ,LONDON  Oct 7 Credit agency Moody's cut its ratings on British banks Lloyds and Royal Bank of Scotland on Friday and said it expected the UK government would have to continue to support the country's systemically important financial institutions.,normal
RBS,Royal Bank Scotland plc (The),20111007,RBS says remains strongly capitalised bank ,LONDON  Oct 7 Royal Bank of Scotland  said on Friday that it remained one of Europe's most strongly capitalised banks  as it responded to a Financial Times article which said that there were fears in government circles that it might need more state aid.,normal
RBS,Royal Bank Scotland plc (The),20111007,PRESS DIGEST - Financial Times - Oct 7 ,Nervousness is growing in Whitehall that the government might have to inject further capital into Royal Bank of Scotland (RBS) as part of a European effort to recapitalise the continent's banking system.,normal
SNE,Sony Corp Ord,20111007,Sony picks up movie rights for Steve Jobs bio ,LOS ANGELES (TheWrap.com) - Sony has picked up the movie rights to Walter Isaacson's upcoming biography of Steve Jobs for Mark Gordon to produce  TheWrap has confirmed.,topStory
SNE,Sony Corp Ord,20111007,Deals of the day -- mergers and acquisitions ,Oct 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Friday:,normal
SNE,Sony Corp Ord,20111007,Sony in talks to buy Ericsson out of phone venture: source ,HELSINKI/TOKYO Sony Corp is in talks to buy out Ericsson's stake in their mobile phone joint venture  a source said  in a bid to catch up with rivals. | Video ,normal
SNE,Sony Corp Ord,20111007,Sony to be Sony Ericsson owner in six months: poll ,STOCKHOLM Analysts see a strong chance that Japanese consumer electronics giant Sony  will succeed in buying out its joint-venture partner in mobile phone handset maker Sony Ericsson in the next half-year for around 10.6 billion Swedish crowns ($1.5 billion).,normal
SNE,Sony Corp Ord,20111007,Nikkei closes up on Europe hopes but posts mild weekly loss ,TOKYO The Nikkei stock average climbed on Friday for a second day of gains  helping to cut its losses for the week to just over 1 percent as hedge funds showed signs of tip-toeing back into the market  betting that the short-term bounce would hold. | Video ,normal
SNE,Sony Corp Ord,20111007,Sony shares dip on report to buy Ericsson phone venture stake ,TOKYO Sony Corp  shares fell 1.8 percent in early trading after The Wall Street Journal reported on Thursday that the firm is nearing a deal to buy Telefon AB LM Ericsson's  half of their smartphone venture.,normal
SNE,Sony Corp Ord,20111007,Sony to close Japan plant  lay off 100 contract workers ,TOKYO Sony Corp will merge two of its wholly owned manufacturing subsidiaries  resulting in the closure of an equipment plant north of Tokyo and the eventual layoff of about 100 contract workers  the company said on Friday.,normal
SNE,Sony Corp Ord,20111007,Sony to close Japan plant  lay off 100 contract workers ,TOKYO  Oct 7 Sony Corp will merge two of its wholly owned manufacturing subsidiaries  resulting in the closure of an equipment plant north of Tokyo and the eventual layoff of about 100 contract workers  the company said on Friday.,normal
SNE,Sony Corp Ord,20111007,UPDATE 6-Sony in talks to buy Ericsson out of phone JV-source ,* Deal could be worth over $1.3 billion - JPMorgan analyst,normal
SNE,Sony Corp Ord,20111007,Nikkei ends up on Europe hopes  posts mild weekly loss ,* Sony bucks trend  falls on Ericsson JV stake purchase news,normal
BID,Sotheby&#39;s,20111007,Sotheby's Asia sales net $411 mln amid market turmoil ,HONG KONG Global auctioneers Sotheby's sold HK$3.2 billion worth of Asian and Chinese art  jewellery  wine and watches in its six day Asian sales in Hong Kong  its second highest tally for a sales series in the city despite volatile financial markets.,topStory
BID,Sotheby&#39;s,20111007,Sotheby's Asia sales net $411 million amid market turmoil ,HONG KONG Global auctioneers Sotheby's sold HK$3.2 billion worth of Asian and Chinese art  jewelry  wine and watches in its six day Asian sales in Hong Kong  its second highest tally for a sales series in the city despite volatile financial markets.,normal
BID,Sotheby&#39;s,20111007,CORRECTED-Sotheby's Asia sales net $411 mln amid market turmoil ,HONG KONG  Oct 6 Global auctioneers Sotheby's sold HK$3.2 billion worth of Asian and Chinese art  jewellery  wine and watches in its six day Asian sales in Hong Kong  its second highest tally for a sales series in the city despite volatile financial markets.,normal
S,Sprint Corporation,20111007,Sprint seeks to raise capital; investors flee ,NEW YORK Sprint Nextel Corp said it needs to raise more money and signaled it will burn through its cash reserves  raising concerns about the wireless provider's financial stability and business strategy.,topStory
S,Sprint Corporation,20111007,UPDATE 7-Sprint seeks to raise capital; investors flee ,NEW YORK  Oct 7 Sprint Nextel Corp said it needs to raise more money and signaled it will burn through its cash reserves  raising concerns about the wireless provider's financial stability and business strategy.,normal
STO,Statoil ASA,20111007,Statoil cuts Grane oil output for repairs ,OSLO  Oct 7 Norwegian oil and gas firm Statoil  said on Friday it would reduce production at the Grane oil field in the North Sea for three to six weeks due to a technical problem.,topStory
STO,Statoil ASA,20111007,Statoil says production reduced at Grane field ,OSLO  Oct 7 Norwegian oil and gas firm Statoil  said on Friday production at the Grane field in the North Sea would be reduced in the coming three to six weeks due to a technical problem.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20111007,UPDATE 1-TSMC  UMC post big declines in Sept revenues ,* Expect TSMC revenues to drop 10-20% q/q  hurt by orders cut-analyst,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20111007,TSMC says Sept sales down 10.3 pct on year ,TAIPEI  Oct 7 TSMC   the world's biggest contract chip maker  said on Friday that unconsolidated sales in September fell 10.3 percent from a year earlier.,normal
TEVA,Teva Pharmaceutical Industries Limited,20111007,Teva gets okay to buy Cephalon with conditions ,WASHINGTON Teva Pharmaceutical Industries  won U.S. antitrust approval to buy specialty drugmaker Cephalon  after agreeing to conditions aimed at preserving competition in the market for sleep disorder medicine Provigil and two other drugs.,topStory
TEVA,Teva Pharmaceutical Industries Limited,20111007,UPDATE 2-Teva gets US okay to buy Cephalon with conditions ,WASHINGTON  Oct 7 Teva Pharmaceutical Industries won U.S. antitrust approval to buy specialty drugmaker Cephalon after agreeing to conditions aimed at preserving competition in the market for sleep disorder medicine Provigil and two other drugs.,normal
TEVA,Teva Pharmaceutical Industries Limited,20111007,Teva wins US okay to buy Cephalon with conditions ,WASHINGTON  Oct 7 Teva Pharmaceutical Industries has won U.S. antitrust approval to buy the drugmaker Cephalon subject to several conditions  the Federal Trade Commission said on Friday.,normal
TM,Toyota Motor Corp Ltd Ord,20111007,Toyota says to export Etios from India from 2012 ,TOKYO  Oct 7 Toyota Motor Corp said it will begin exporting cars from India from March 2012  starting with the Etios sedan and hatchback to South Africa modified to fit local preferences and road conditions.,topStory
UMC,United Microelectronics Corporation,20111007,UPDATE 1-TSMC  UMC post big declines in Sept revenues ,* Expect TSMC revenues to drop 10-20% q/q  hurt by orders cut-analyst,topStory
UMC,United Microelectronics Corporation,20111007,Taiwan's UMC Sept sales fall 25 pct on year ,TAIPEI  Oct 7 Taiwan's UMC   the world's No.2 contract chipmaker  said on Friday its unconsolidated September sales fell 25.3 percent from a year earlier.,normal
VZ,Verizon Communications Inc,20111007,Instant view: Jobs growth better than expected in September ,NEW YORK Jobs growth was stronger than expected in September thanks to private-sector growth  easing fears the economy is slipping back into recession  but the unemployment rate was unchanged.,topStory
VZA,Verizon Communications Inc,20111007,Instant view: Jobs growth better than expected in September ,NEW YORK Jobs growth was stronger than expected in September thanks to private-sector growth  easing fears the economy is slipping back into recession  but the unemployment rate was unchanged.,topStory
WMT,Wal-Mart Stores Inc,20111007,PREVIEW-Wal-Mart must finally show a U.S. rebound ,* U.S. same-store sales down for nine consecutive quarters,topStory
DIS,Walt Disney Company (The),20111007,Disney's Iger to leave CEO post in 2015 ,LOS ANGELES Walt Disney Co Chief Executive Bob Iger will step down as CEO in March 2015 after nearly a decade at the helm  setting in motion a succession plan for the largest U.S. media and entertainment company.,topStory
DIS,Walt Disney Company (The),20111007,UPDATE 5-Disney's Iger to leave CEO post in 2015 ,LOS ANGELES  Oct 7 Walt Disney Co Chief Executive Bob Iger will step down as CEO in March 2015 after nearly a decade at the helm  setting in motion a succession plan for the largest U.S. media and entertainment company.,normal
DIS,Walt Disney Company (The),20111007,UPDATE 1-Iger to serve as Disney CEO through March 2015 ,Oct 7 Walt Disney Co extended the contract of chief executive Bob Iger for five years through June 2016  the company said on Friday.,normal
