FLWS,1-800 FLOWERSCOM Inc,20110803,UPDATE 4-Sears hires former FreshDirect exec as CMO-memo , * Names Monica Woo as VP and chief marketing officer: memo,topStory
LBTYA,Liberty Global plc,20110803,UPDATE 1-Watchdog may probe Liberty's KabelBW buy more closely , FRANKFURT  Aug 3 The German cartel office will likely scrutinize Liberty Global's  takeover of German cable group Kabel Baden-Wuerttemberg (Kabel BW) [KBWHL.UL] more closely  increasing uncertainty that the plan will get approved.,topStory
LINC,Lincoln Educational Services Corporation,20110803,UPDATE 1-Lincoln Educational cuts FY rev view as new enrollments fall , * Sees student starts falling 30-35 pct in 2011   (Follows alerts),topStory
MSFT,Microsoft Corporation,20110803,Google+  Apple's iCloud keep developers keen ,TORONTO Mobile developers more than ever want to devote their energies to writing apps for Apple's iOS and Google's Android platforms at the expense of their less popular rivals  a study released on Wednesday showed.,topStory
MSFT,Microsoft Corporation,20110803,Three firms drop EU antitrust complaints against IBM ,BRUSSELS Three small rivals have dropped their antitrust complaints against International Business Machines Corp that had triggered one of two investigations by EU regulators into IBM's business practices.,normal
MSFT,Microsoft Corporation,20110803,UPDATE 1-3 firms drop EU antitrust complaints against IBM , * EU Commission has two ongoing antitrust probes into IBM,normal
MSFT,Microsoft Corporation,20110803,Three firms drop EU antitrust complaints against IBM , BRUSSELS  Aug 3 T3 Technologies and Neon Enterprise Software have withdrawn their EU antitrust complaints against International Business Machines Corp   an IBM regulatory filing shows  while TurboHercules said on Wednesday it had dropped its complaint. Emulator software vendor T3 has withdrawn its complaint to the European Commission while Texas-based company Neon has agreed to scrap its claim.,normal
MSFT,Microsoft Corporation,20110803,Google+  Apple's iCloud keep developers interested , TORONTO  Aug 3 Mobile developers more than ever want to devote their energies to writing apps for Apple's iOS and Google's Android platforms at the expense of their less popular rivals  a study released on Wednesday showed.,normal
MTGE,MTGE Investment Corp,20110803,UPDATE 2-American Capital Mortgage slashes IPO size , * To trade on Nasdaq under symbol "MTGE"  (Adds details on planned investments  U.S. markets  Ellington Financial IPO),topStory
MTGE,MTGE Investment Corp,20110803,American Capital Mortgage IPO raises 54.3 pct less , NEW YORK  Aug. 3 American Capital Mortgage Investment Corp raised less than half of what it was planning to raise in its initial public offering  underwriters said.,normal
NDAQ,Nasdaq Inc,20110803,UPDATE 4-ICE profit jumps as another exchange beats Street , * Robust Brent  Gasoil trading helps 19 pct earnings rise,topStory
NDAQ,Nasdaq Inc,20110803,Five trading giants back EuroCCP in clearing battle ,LONDON Five of the world's largest investment banks have pledged to use clearing house EuroCCP for trading on two alternative platforms  in a sign that the largest trading houses are backing competition among Europe's top clearing firms.,normal
NDAQ,Nasdaq Inc,20110803,Five trading giants back EuroCCP in clearing battle , LONDON  Aug 3 Five of the world's largest investment banks have pledged to use clearing house EuroCCP for trading on two alternative platforms  in a sign that the largest trading houses are backing competition among Europe's top clearing firms.,normal
NFLX,Netflix Inc,20110803,Big media's profits defy gloomy outlook  for now ,NEW YORK Big media companies reported strong results but a bleak economic outlook has investors worried over whether they can deliver again in the face of high unemployment and slumping U.S. consumer spending.,topStory
NFLX,Netflix Inc,20110803,WRAPUP 2-Big media's profits defy gloomy outlook  for now , * Comcast: Concerned about economy  but advertising strong,normal
NFLX,Netflix Inc,20110803,Hulu follows Netflix down original content path ,NEW YORK Hulu  the popular TV show website  is trying its hand at commissioning its own shows at a time when its programing partners are starting to trim back the availability of content.,normal
NFLX,Netflix Inc,20110803,Hulu follows Netflix down original content path , * Hulu to run Morgan Spurlock six-part documentary series,normal
NFLX,Netflix Inc,20110803,REFILE-UPDATE 2-Comcast profit up on Web subscribers  ad sales , (Refiled to insert 'added' in first sentence of paragraph two),normal
NWSA,News Corporation,20110803,McCartney ex-wife: Mirror journalist hacked my phone ,LONDON Heather Mills was quoted on Wednesday as saying a journalist at British publisher Trinity Mirror  owner of the Daily Mirror tabloid newspaper  had hacked her phone before she was married to former Beatle Sir Paul McCartney.,topStory
NWSA,News Corporation,20110803,UPDATE 2-McCartney ex-wife: Mirror journalist hacked my phone , LONDON  Aug 3 Heather Mills was quoted on Wednesday as saying a journalist at British publisher Trinity Mirror   owner of the Daily Mirror tabloid newspaper  had hacked her phone before she was married to former Beatle Sir Paul McCartney.,normal
NWSA,News Corporation,20110803,Hulu follows Netflix down original content path ,NEW YORK Hulu  the popular TV show website  is trying its hand at commissioning its own shows at a time when its programing partners are starting to trim back the availability of content.,normal
NWSA,News Corporation,20110803,Hulu follows Netflix down original content path , * Hulu to run Morgan Spurlock six-part documentary series,normal
NWSA,News Corporation,20110803,U.S. seriously probing News Corp 9/11 hacking report ,WASHINGTON Attorney General Eric Holder will reassure families of September 11 victims when he meets them later this month that the Justice Department is seriously investigating allegations that News Corp reporters tried to hack victims' phones.,normal
NWSA,News Corporation,20110803,McCartney ex-wife: Mirror journalist hacked my phone ,LONDON Heather Mills was quoted on Wednesday as saying a journalist at British publisher Trinity Mirror  owner of the Daily Mirror tabloid newspaper  had hacked her phone before she was married to former Beatle Paul McCartney.,normal
NWSA,News Corporation,20110803,US seriously probing News Corp 9/11 hacking report , WASHINGTON  Aug 3 U.S. Attorney General Eric Holder will reassure families of Sept. 11 victims when he meets them later this month that the Justice Department is seriously investigating allegations that News Corp  reporters tried to hack victims' phones.,normal
NWSA,News Corporation,20110803,McCartney ex-wife: Mirror journalist hacked my phone , LONDON  Aug 3 Heather Mills was quoted on Wednesday as saying a journalist at British publisher Trinity Mirror   owner of the Daily Mirror tabloid newspaper  had hacked her phone before she was married to former Beatle Paul McCartney.,normal
QQQ,PowerShares QQQ Trust Series 1,20110803,UPDATE 1-Gold ETFs get $3.5 bln from investors in July , * State Street  Invesco take in top inflows  (Adds comments from State Street  Vanguard),topStory
QQQ,PowerShares QQQ Trust Series 1,20110803,Gold ETFs haul in $3.5 billion from investors in July ,BOSTON Investors who were nervous about the looming debt ceiling showdown poured $3.5 billion in July into exchange-traded funds that own gold  according to fund tracking website IndexUniverse.com.,normal
QQQ,PowerShares QQQ Trust Series 1,20110803,Gold ETFs haul in $3.5 bln from investors in July , BOSTON  Aug 3 Investors who were nervous about the looming debt ceiling showdown poured $3.5 billion in July into exchange-traded funds that own gold  according to fund tracking website IndexUniverse.com.,normal
QCOM,QUALCOMM Incorporated,20110803,UPDATE 3-RIM tilts at iPhone with new BlackBerry phones ,   * RIM says browser 40 percent faster than original Torch,topStory
QCOM,QUALCOMM Incorporated,20110803,RIM launches two new BlackBerry Torch phones ,TORONTO Research In Motion went on the offensive on Wednesday  unveiling two new and powerful versions of its touchscreen BlackBerry Torch  including an all-touch model  as it seeks to regain ground lost to Apple and Google.,normal
QCOM,QUALCOMM Incorporated,20110803,RIM launches two new BlackBerry Torch phones ,TORONTO Research In Motion  on Wednesday took the wraps off two more powerful versions of its touchscreen BlackBerry Torch  aiming to buy time until it can introduce a radically new software package in its smartphones.,normal
QCOM,QUALCOMM Incorporated,20110803,RIM unloads two new BlackBerry Torch phones , * RIM says browser 40 percent faster than original Torch   * Touchscreens for all; faster processors  better display   * RIM stock price  market share sunk since last phone launch,normal
RYAAY,Ryanair Holdings plc,20110803,Ryanair says July passenger numbers up 6 pct , DUBLIN  Aug 3 Europe's largest low-cost airline Ryanair  saw passenger numbers increase to 8.1 million in July  a six percent increase from a year ago  the company said on Wednesday.,topStory
SHLD,Sears Holdings Corporation,20110803,UPDATE 4-Sears hires former FreshDirect exec as CMO-memo , * Names Monica Woo as VP and chief marketing officer: memo,topStory
SBUX,Starbucks Corporation,20110803,Dunkin' Donuts  Baskin-Robbins eye price increases ,LOS ANGELES Dunkin' Brands Group Inc  said on Wednesday its franchisees are raising prices at Dunkin' Donuts and Baskin-Robbins stores to help cover the higher costs of key ingredients such as coffee and milk.,topStory
SBUX,Starbucks Corporation,20110803,UPDATE 3-Dunkin' Donuts  Baskin-Robbins eye price increases , * Shares down 4 percent in midday trading  (Rewrites throughout; adds company comment; changes dateline to LOS Angeles; updates share activity),normal
TSLA,Tesla Inc ,20110803,Tesla reports quarterly loss  research spending up ,DETROIT Electric car maker Tesla Motors Inc reported a deeper second-quarter loss on Wednesday as higher spending on research and hiring engineers to develop upcoming vehicles more than offset revenue gains.,topStory
TSLA,Tesla Inc ,20110803,UPDATE 2-Tesla reports quarterly loss  research spending up , * Tesla has yet to produce a profit  (Adds detail on capital raise  Toyota collaboration),normal
TTEK,Tetra Tech Inc,20110803,UPDATE 1-Engineering consultant Arcadis feels austerity pinch , 	  (Adds CEO interview  analyst comment  detail  shares),topStory
VOD,Vodafone Group Plc,20110803,All eyes on domestic front for D.Telekom  T.Italia , FRANKFURT  Aug 4 Domestic performance will be key for investors when Deutsche Telekom  reports quarterly results on Thursday amid economic uncertainty across Europe.,topStory
VOD,Vodafone Group Plc,20110803,India top court begins $2.5 bln Vodafone tax case hearing , NEW DELHI  Aug 3 India's Supreme Court on Wednesday began hearing Vodafone's appeal challenging a $2.5 billion tax bill over its acquisition of mobile assets in the country  a case keenly watched by foreign investors in Asia's third-largest economy.,normal
VOD,Vodafone Group Plc,20110803,BRIEF-Moody's upgrades Vodafone to A3; stable outlook (UK) , (The following statement was released by the ratings agency),normal
ZUMZ,Zumiez Inc,20110803,UPDATE 1-Zumiez posts weak July comp sales  shares fall , Aug 3 Teen retailer Zumiez Inc posted the rare monthly same-store sales numbers that missed market expectations  hurt by weaker sales of accessories and hard goods  sending its shares down 12 percent in trading after the bell.,topStory
AER,Aercap Holdings NV,20110803,Deals of the day -- mergers and acquisitions , (Adds Grupo Aeroportuario del Pacifico (GAP)  Thomson Reuters),topStory
AER,Aercap Holdings NV,20110803,UPDATE 2-ILFC to buy Aeroturbine for $228 million , * Aercap to use proceeds to pursue transactions  (Rewrites with comment from ILFC CEO  adds further background),normal
AGN,Allergan plc,20110803,Overactive bladder next Botox frontier ,NEW YORK Overactive bladders later this year could become the next big frontier for Botox  the anti-wrinkle drug  and significantly boost sales of the $1.5 billion-a-year product  according to Allergan Inc Chief Executive David Pyott.,topStory
AGN,Allergan plc,20110803,Overactive bladder next Botox frontier ,NEW YORK Overactive bladders later this year could become the next big frontier for Botox  the anti-wrinkle drug  and significantly boost sales of the $1.5 billion-a-year product  according to Allergan Inc Chief Executive David Pyott.,normal
AGN,Allergan plc,20110803,CORRECTED - (OFFICIAL)-UPDATE 5-Overactive bladder next Botox frontier , (Company corrects in paragraph 6 that Botox may work up to nine months (not a year) for overactive bladder  and corrects in paragraph 8 that the company hopes to sell the drug later to a broader group of OAB patients (but not for nocturia)),normal
AEP,American Electric Power Company Inc,20110803,U.S. South Central power usage breaks records again , NEW YORK  Aug 3 Power usage in the South Central United States reached record levels for a second day in a row on Tuesday as homes and businesses cranked up air conditioners to escape a brutal heatwave  said the Southwest Power Pool (SPP)  which operates the region's electric grid.,topStory
AXP,American Express Company,20110803,Exclusive: AmEx to keep ICBC stake after hedging deal ,HONG KONG American Express Co  has assured Industrial and Commercial Bank of China Ltd (ICBC)  it wants to keep its stake in the lender after entering into a contract to hedge fluctuations in the stock price  a source with direct knowledge of the matter told Reuters on Wednesday.,topStory
AIG,American International Group Inc,20110803,UPDATE 2-ILFC to buy Aeroturbine for $228 million , * Aercap to use proceeds to pursue transactions  (Rewrites with comment from ILFC CEO  adds further background),topStory
BUD,Anheuser-Busch Inbev SA,20110803,Budweiser beer gets new  redder design ,Anheuser-Busch-InBev is giving the Budweiser can a makeover as it tries to reignite growth in the key U.S. beer market  and the new can will have a lot more red than its predecessor.,topStory
BUD,Anheuser-Busch Inbev SA,20110803,Budweiser beer gets new  redder design , NEW YORK  Aug 3 The King of Beers is seeing red.,normal
AZN,Astrazeneca PLC,20110803,Pfizer interested in over-the-counter Lipitor: report ,NEW YORK Pfizer Inc is interested in selling a non-prescription version of its Lipitor cholesterol drug after it loses U.S. patent protection  but would likely face a battle with regulators because of safety concerns  the Wall Street Journal reported on Wednesday.,topStory
AZN,Astrazeneca PLC,20110803,Pfizer interested in over-the-counter Lipitor -WSJ , NEW YORK  Aug 3 Pfizer Inc  is interested in selling a non-prescription version of its Lipitor cholesterol drug after it loses U.S. patent protection  but would likely face a battle with regulators because of safety concerns  the Wall Street Journal reported on Wednesday.,normal
T,AT&T Inc,20110803,All eyes on domestic front for D.Telekom  T.Italia , FRANKFURT  Aug 4 Domestic performance will be key for investors when Deutsche Telekom  reports quarterly results on Thursday amid economic uncertainty across Europe.,topStory
T,AT&T Inc,20110803,UPDATE 3-RIM tilts at iPhone with new BlackBerry phones ,   * RIM says browser 40 percent faster than original Torch,normal
T,AT&T Inc,20110803,RIM launches two new BlackBerry Torch phones ,TORONTO Research In Motion went on the offensive on Wednesday  unveiling two new and powerful versions of its touchscreen BlackBerry Torch  including an all-touch model  as it seeks to regain ground lost to Apple and Google.,normal
BBD,Banco Bradesco Sa,20110803,UPDATE 2-Itau Unibanco to fine-tune lending to small firms , * Bank says boosted credit to small firms too much in 2010,topStory
BBDO,Banco Bradesco Sa,20110803,UPDATE 2-Itau Unibanco to fine-tune lending to small firms , * Bank says boosted credit to small firms too much in 2010,topStory
BAC,Bank of America Corporation,20110803,CORRECTED - BofA hires JPMorgan exec for global banking post , (Corrects paragraph two to show that Wolff and Van Dusen will oversee BofA's global corporate banking operations worldwide),topStory
BAC,Bank of America Corporation,20110803,Moody's sets negative outlook on BNY  JPMorgan ,BOSTON Moody's Investors Service said it may cut its ratings on Bank of New York Mellon Corp  and JPMorgan Chase & Co  over the next 18 months  saying the banks might get less U.S. government support in the future.,normal
BAC,Bank of America Corporation,20110803,UPDATE 1-Moody's sets negative outlook on BNY  JPMorgan , * Outlook negative on dimmer chances for federal support  (Adds details on ratings  other banks),normal
BAC,Bank of America Corporation,20110803,BofA hired former Citadel/GS banker Rabin , NEW YORK  Aug 3 Bank of America Merrill Lynch  has hired investment banker Andy Rabin to head up the bank's investment banking effort in the southwestern United States  according to two sources familiar with the matter.,normal
BAC,Bank of America Corporation,20110803,US STOCKS-Stocks set to bounce after selloff  ADP , * Futures up: Dow 41 pts  S&P 5.9 pts  Nasdaq 9 pts,normal
BAC,Bank of America Corporation,20110803,Five trading giants back EuroCCP in clearing battle , LONDON  Aug 3 Five of the world's largest investment banks have pledged to use clearing house EuroCCP for trading on two alternative platforms  in a sign that the largest trading houses are backing competition among Europe's top clearing firms.,normal
BAC,Bank of America Corporation,20110803,BofA in talks for home foreclosure settlement: report ,Bangalore Bank of America Corp  has told state and federal officials that it wants protection against future litigation relating to mortgage servicing and in exchange is willing to reduce the amount owed by some of its troubled borrowers  the Wall Street Journal said  citing people familiar with the talks.,normal
BAC,Bank of America Corporation,20110803,BofA in talks for home foreclosure settlement - WSJ , Aug 3 Bank of America Corp has told state and federal officials that it wants protection against future litigation relating to mortgage servicing and in exchange is willing to reduce the amount owed by some of its troubled borrowers  the Wall Street Journal said  citing people familiar with the talks.,normal
BK,Bank Of New York Mellon Corporation (The),20110803,Moody's sets negative outlook on BNY  JPMorgan ,BOSTON Moody's Investors Service said it may cut its ratings on Bank of New York Mellon Corp  and JPMorgan Chase & Co  over the next 18 months  saying the banks might get less U.S. government support in the future.,topStory
BK,Bank Of New York Mellon Corporation (The),20110803,UPDATE 1-Moody's sets negative outlook on BNY  JPMorgan , * Outlook negative on dimmer chances for federal support  (Adds details on ratings  other banks),normal
BK,Bank Of New York Mellon Corporation (The),20110803,Moody's sets negative outlook on BNY  JPMorgan , * Outlook negative on dimmer chances for federal support,normal
BNS,Bank of Nova Scotia (The),20110803,BRIEF-Moody's: Aaa rating to The Bank of Nova Scotia's Series 4 $USD-denominated covered bonds , * Moody's assigns Aaa rating to The Bank of Nova Scotia's Series 4 $USD-denominated covered bonds,topStory
BNS,Bank of Nova Scotia (The),20110803,Analysis: HSBC's China gold futures foray harbinger of change ,SHANGHAI China giving HSBC Holdings Plc   entry to its gold futures market  a first for a foreign bank  is likely a harbinger of a further opening to local and overseas institutions to trade the precious metal.,normal
BCS,Barclays PLC,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
BCS,Barclays PLC,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
BCS,Barclays PLC,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
BCS,Barclays PLC,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
BCS,Barclays PLC,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
BCS,Barclays PLC,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
BKS,Barnes & Noble Inc,20110803,Time Inc to make all titles available on tablets ,NEW YORK Time Inc plans to make all 21 of its magazines  including Real Simple and Entertainment Weekly  available on leading tablet computers by the end of the year  the publishing arm of Time Warner said on Wednesday.,topStory
BKS,Barnes & Noble Inc,20110803,Time Inc to make all titles available on tablets , NEW YORK  Aug 3 Time Inc plans to make all 21 of its magazines  including Real Simple and Entertainment Weekly  available on leading tablet computers by the end of the year  the publishing arm of Time Warner  said on Wednesday.,normal
ABX,Barrick Gold Corporation,20110803,WRAPUP 1-Yamana  New Gold profits lifted by surging bullion , * New Gold adj EPS $0.12 vs $0.04 a yr ago  (Wraps Yamana  New Gold results; in U.S. dollars),topStory
ABX,Barrick Gold Corporation,20110803,RPT-UPDATE 1-Ivanhoe sees itself worth at least double current value , (Repeats item first published Aug 3 with no change to text),normal
ABX,Barrick Gold Corporation,20110803,RPT-DEALTALK-Cashed-up miners could turn more hostile on deals , * Miners need to deploy cash piled up during commodity boom,normal
ABX,Barrick Gold Corporation,20110803,CANADA STOCKS-Golds  RIM help TSX recover from early plunge , * Seven of 10 index sectors end higher  (Adds details  quotes),normal
ABX,Barrick Gold Corporation,20110803,CANADA STOCKS-Golds  RIM help TSX fight back from early drop , * Hit lowest level since mid-November 2010 earlier in day,normal
ABX,Barrick Gold Corporation,20110803,Canada M&A activity hits $57 bln in second quarter , * Deal volume  values up 10 pct and 64 pct vs yr ago  (In U.S. dollars),normal
ABX,Barrick Gold Corporation,20110803,CANADA STOCKS-TSX hit by U.S. economic worries; golds rise ,   * TSX down 183.42 points  or 1.44 percent  at 12 568.90,normal
ABX,Barrick Gold Corporation,20110803,Dealtalk: Cashed-up miners could turn more hostile on deals ,KALGOORLIE  Australia Expect more hostile deals in resources as cashed-up miners turn desperate to snare targets  deal advisers say  following Peabody Energy  and ArcelorMittal's  change of tack this week on their $5.3 billion bid for Macarthur Coal .,normal
ABX,Barrick Gold Corporation,20110803,DEALTALK-Cashed-up miners could turn more hostile on deals , * Miners need to deploy cash piled up during commodity boom,normal
ABX,Barrick Gold Corporation,20110803,UPDATE 1-Ivanhoe sees itself worth at least double current value , * Mongolia copper mine on track to start producing in 2013,normal
BHP,BHP Billiton Limited,20110803,UPDATE 2-Strike deal elusive as Chile Escondida talks in limbo , * Bonus key hurdle to end 13-day stoppage  (Rewrites  adds union and industry leader comments),topStory
BHP,BHP Billiton Limited,20110803,RPT-DEALTALK-Cashed-up miners could turn more hostile on deals , * Miners need to deploy cash piled up during commodity boom,normal
BHP,BHP Billiton Limited,20110803,Analysis: Cash-rich shale drillers boost output  cap prices ,NEW YORK Until recently  the nascent U.S. shale gas industry faced a major constraint on its growth  one that was bigger than environmental risk  more vexing than technology  and more challenging than the scrum for new acreage: capital.,normal
BHP,BHP Billiton Limited,20110803,Indonesian union seeks hefty pay rise from Freeport , JAKARTA  Aug 3 The union representing workers at Freeport McMoran Copper & Gold's giant Indonesian mine is demanding a 20-fold pay rise and could strike again if its demands are not met  a union leader said on Wednesday.,normal
BHP,BHP Billiton Limited,20110803,DEALTALK-Cashed-up miners could turn more hostile on deals , * Miners need to deploy cash piled up during commodity boom,normal
BHP,BHP Billiton Limited,20110803,Strike deal elusive as Chile Escondida talks drag on , ANTOFAGASTA  Chile  Aug 3 Negotiations between workers and the world's top copper mine  Chile's Escondida  stretched into a second day on Wednesday as both sides seek an end to a nearly two-week strike that is fanning global supply fears.,normal
BHP,BHP Billiton Limited,20110803,UPDATE 1-Australia's Fortescue sees iron ore profit margin rising , * Fortescue says its new mine will lift profit margin on ore sales,normal
BBL,BHP Billiton plc,20110803,UPDATE 2-Strike deal elusive as Chile Escondida talks in limbo , * Bonus key hurdle to end 13-day stoppage  (Rewrites  adds union and industry leader comments),topStory
BBL,BHP Billiton plc,20110803,RPT-DEALTALK-Cashed-up miners could turn more hostile on deals , * Miners need to deploy cash piled up during commodity boom,normal
BBL,BHP Billiton plc,20110803,Analysis: Cash-rich shale drillers boost output  cap prices ,NEW YORK Until recently  the nascent U.S. shale gas industry faced a major constraint on its growth  one that was bigger than environmental risk  more vexing than technology  and more challenging than the scrum for new acreage: capital.,normal
BBL,BHP Billiton plc,20110803,Dealtalk: Cashed-up miners could turn more hostile on deals ,KALGOORLIE  Australia Expect more hostile deals in resources as cashed-up miners turn desperate to snare targets  deal advisers say  following Peabody Energy  and ArcelorMittal's  change of tack this week on their $5.3 billion bid for Macarthur Coal .,normal
BBL,BHP Billiton plc,20110803,Indonesian union seeks hefty pay rise from Freeport , JAKARTA  Aug 3 The union representing workers at Freeport McMoran Copper & Gold's giant Indonesian mine is demanding a 20-fold pay rise and could strike again if its demands are not met  a union leader said on Wednesday.,normal
BBL,BHP Billiton plc,20110803,DEALTALK-Cashed-up miners could turn more hostile on deals , * Miners need to deploy cash piled up during commodity boom,normal
BBL,BHP Billiton plc,20110803,Strike deal elusive as Chile Escondida talks drag on , ANTOFAGASTA  Chile  Aug 3 Negotiations between workers and the world's top copper mine  Chile's Escondida  stretched into a second day on Wednesday as both sides seek an end to a nearly two-week strike that is fanning global supply fears.,normal
BBL,BHP Billiton plc,20110803,UPDATE 1-Australia's Fortescue sees iron ore profit margin rising , * Fortescue says its new mine will lift profit margin on ore sales,normal
BLK,BlackRock Inc,20110803,UPDATE 1-Gold ETFs get $3.5 bln from investors in July , * State Street  Invesco take in top inflows  (Adds comments from State Street  Vanguard),topStory
BLK,BlackRock Inc,20110803,Gold ETFs haul in $3.5 billion from investors in July ,BOSTON Investors who were nervous about the looming debt ceiling showdown poured $3.5 billion in July into exchange-traded funds that own gold  according to fund tracking website IndexUniverse.com.,normal
BLK,BlackRock Inc,20110803,Gold ETFs haul in $3.5 bln from investors in July , BOSTON  Aug 3 Investors who were nervous about the looming debt ceiling showdown poured $3.5 billion in July into exchange-traded funds that own gold  according to fund tracking website IndexUniverse.com.,normal
BLK,BlackRock Inc,20110803,BlackRock's Thiel sees far less probability of US ratings downgrade , SINGAPORE  Aug 3 BlackRock Inc   the world's largest money manager with $3.6 trillion in assets  sees far less probability of a downgrade of U.S. credit ratings  a senior executive said on Wednesday.,normal
BA,Boeing Company (The),20110803,Hitachi  Mitsubishi Heavy start merger talks: Nikkei ,TOKYO Hitachi Ltd   Japan's biggest industrial electronics company and Mitsubishi Heavy Industries Ltd   the nation's leading heavy machinery maker  may merge to create one of the world's largest infrastructure firms with more than $150 billion in combined sales  media reported on Thursday.,topStory
BA,Boeing Company (The),20110803,UPDATE 4-Hitachi  Mitsubishi Heavy start merger talks -Nikkei , * Would create industrial giant with over $150 bln in sales,normal
BA,Boeing Company (The),20110803,US suspends F-35 ground  air tests after device failure , WASHINGTON  Aug 3 The U.S. Defense Department suspended fleetwide ground and flight test operations on Wednesday of Lockheed Martin Corp's  F-35 Joint Strike Fighter aircraft  its costliest arms purchase and largest international cooperative program. .,normal
BA,Boeing Company (The),20110803,Panetta warns against sweeping defense budget cuts ,WASHINGTON Defense Secretary Leon Panetta warned on Wednesday that any across-the-board cuts to defense spending as part of the next stage of deficit reduction efforts could do "real damage" to national security.,normal
BA,Boeing Company (The),20110803,UPDATE 3-Panetta warns against sweeping defense budget cuts , * Senior official says thousands could be furloughed  (Recasts  updates with Defense Department briefing),normal
BA,Boeing Company (The),20110803,Boeing 747-8 Freighter wraps certification flights , CHICAGO  Aug 3 Boeing Co   on Wednesday said its new elongated 747-8 Freighter has completed its certification flight test program  a key milestone that paves the way for first delivery.,normal
BA,Boeing Company (The),20110803,UPDATE 2-GKN says outlook rosy as profits rise , * Eyes 8-10 pct aero growth from 2012   (Adds CEO  analyst comment  shares  details),normal
BA,Boeing Company (The),20110803,UPDATE 2-GKN says outlook rosy as profits rise , * Eyes 8-10 pct aero growth from 2012   (Adds CEO  analyst comment  shares  details),normal
BP,BP plc,20110803,Shell faces first Nigerian oil spill claims in UK , * Shell to face case under British jurisdiction - lawyers,topStory
BP,BP plc,20110803,UPDATE 3-Devon profit beats Street; output at record high , * Shares flat  outperforming sector  (Adds byline  analyst comment  conference call details),normal
BP,BP plc,20110803,BP removes WW2 mine from Forties pipeline , LONDON  Aug 3 British oil major BP has removed an unexploded German  World War Two mine that was near the subsea Forties pipeline and will restart it as planned on Aug. 5 after maintenance  a spokesman said on Wednesday.,normal
BP,BP plc,20110803,Iraq's southern exports hit 6-month high , LONDON  Aug 3 Iraq's oil exports from its southern ports jumped last month to a six-month high  according to export data tracked by Reuters  reflecting efforts by foreign oil companies to boost production.,normal
BMY,Bristol-Myers Squibb Company,20110803,Pfizer interested in over-the-counter Lipitor: report ,NEW YORK Pfizer Inc is interested in selling a non-prescription version of its Lipitor cholesterol drug after it loses U.S. patent protection  but would likely face a battle with regulators because of safety concerns  the Wall Street Journal reported on Wednesday.,topStory
BMY,Bristol-Myers Squibb Company,20110803,Pfizer interested in over-the-counter Lipitor -WSJ , NEW YORK  Aug 3 Pfizer Inc  is interested in selling a non-prescription version of its Lipitor cholesterol drug after it loses U.S. patent protection  but would likely face a battle with regulators because of safety concerns  the Wall Street Journal reported on Wednesday.,normal
BTI,British American Tobacco plc,20110803,Colombia watchdog OKs BAT acquisition of Protabaco , BOGOTA  Aug 2 Colombia's anti-monopoly watchdog on Tuesday gave British American Tobacco PLC  the green light to buy Protabaco  the second largest cigarette company in the Andean country  in a deal worth $452 million.,topStory
BT,BT Group plc,20110803,UK shakes up copyright laws  scraps plan to block websites ,LONDON Britain said Wednesday it will introduce a digital exchange where licenses for copyright works may be bought and sold  as part of a revamp of its 300-year-old copyright laws.,topStory
BT,BT Group plc,20110803,UK shakes up copyright laws  scraps plan to block websites , LONDON  Aug 3 Britain said on Wednesday it will introduce a digital exchange where licences for copyright works may be bought and sold  as part of a revamp of its 300-year-old copyright laws.,normal
BVN,Buenaventura Mining Company Inc,20110803,Peru government to ration energy in north , LIMA  Aug 2 Peru will ration energy in the northern part of the country  the mines and energy ministry said on Tuesday  due to a lack of transmission capacity and hydroelectric power in an area where important mines operate.,topStory
CNQ,Canadian Natural Resources Limited,20110803,CANADA STOCKS-Golds  RIM help TSX recover from early plunge , * Seven of 10 index sectors end higher  (Adds details  quotes),topStory
CNQ,Canadian Natural Resources Limited,20110803,CANADA STOCKS-Golds  RIM help TSX fight back from early drop , * Hit lowest level since mid-November 2010 earlier in day,normal
CNQ,Canadian Natural Resources Limited,20110803,UPDATE 2-Syncrude output climbs  but outages lift price , * Output falls at Shell operations due to unplanned work,normal
CNQ,Canadian Natural Resources Limited,20110803,CANADA STOCKS-TSX hit by U.S. economic worries; golds rise ,   * TSX down 183.42 points  or 1.44 percent  at 12 568.90,normal
