ATSG,Air Transport Services Group Inc,20110722,CORRECTED-BRIEF-ATSG expects reduction in role as provider for DB Schenker , JULY 22 -     July 22 Air Transport Services Group Inc :  * Expect reduction in role as provider of main-deck freighter lift for DB Schenker in North America  * If all dc-8 727 aircraft for DB Schenker removed from service sees annual fall in maintenance costs of $10-$15 million  * ATSG statement concerning DB Schenker announcement  * ATSG - sees each of 8 dc-8 and 8 727 aircraft dedicated to DB Schenker generating about $0.01 per share in earnings after tax annually,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
FLAT,iPath US Treasury Flattener ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
FLAT,iPath US Treasury Flattener ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
FLAT,iPath US Treasury Flattener ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
FLAT,iPath US Treasury Flattener ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
FLAT,iPath US Treasury Flattener ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
FLAT,iPath US Treasury Flattener ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
FLAT,iPath US Treasury Flattener ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
FLAT,iPath US Treasury Flattener ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
STPP,iPath US Treasury Steepener ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
STPP,iPath US Treasury Steepener ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
STPP,iPath US Treasury Steepener ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
STPP,iPath US Treasury Steepener ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
STPP,iPath US Treasury Steepener ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
STPP,iPath US Treasury Steepener ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
STPP,iPath US Treasury Steepener ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
STPP,iPath US Treasury Steepener ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
LBTYA,Liberty Global plc,20110722,Murdoch suffers fresh blow in Australia pay-tv bid ,SYDNEY In a further blow to Rupert Murdoch  a $2 billion takeover bid by an Australian pay-TV business part-owned by his News Corp  is expected to be blocked by the country's competition watchdog.,topStory
LBTYA,Liberty Global plc,20110722,UPDATE 5-Murdoch suffers fresh blow in Australia pay-tv bid , * Competition agency's views latest blow for scandal-hit News Corp,normal
LBTYA,Liberty Global plc,20110722,News Corp phone hacking had no bearing on Foxtel views: ACCC ,SYDNEY  Jul Australia's competition chief says the News Corp  phone hacking scandal in the United Kingdom had no impact on the regulator's views on pay-tv firm Foxtel's $2 billion bid for rival Austar .,normal
LBTYA,Liberty Global plc,20110722,News Corp phone hacking had no bearing on Foxtel views - ACCC chair , SYDNEY  Jul 22 Australia's competition chief says the News Corp phone hacking scandal in the United Kingdom had no impact on the regulator's views on pay-tv firm Foxtel's $2 billion bid for rival Austar .,normal
LBTYA,Liberty Global plc,20110722,Australia watchdog has concerns about Foxtel's $2 bln Austar bid , MELBOURNE  July 22 Australia's competition regulator raised concern that the planned $2 billion takeover of pay TV operator Austar by rival Foxtel  part owned by Rupert Murdoch's News Corp   could hurt competition on three fronts.,normal
MSFT,Microsoft Corporation,20110722,Earnings  hope for debt deal brighten Wall Street ,NEW YORK Investors poured into tech shares on Friday as promising chipmaker earnings and optimism that a solution was on the horizon for the U.S. debt stalemate triggered a move into growth-oriented shares. | Video ,topStory
MSFT,Microsoft Corporation,20110722,US STOCKS-Earnings  hope for US debt deal brighten Wall St , * Dow off 0.3 pct  S&P up 0.09 pct  Nasdaq up 0.9 pct,normal
MSFT,Microsoft Corporation,20110722,Analysis: Aging PC giants see writing on the wall ,SAN FRANCISCO Silicon Valley's old guard is waking up to the fact that the era of consumer PC may be in its twilight  accelerating the need to invest and adapt to rapidly changing tastes.,normal
MSFT,Microsoft Corporation,20110722,US STOCKS-Chipmakers lift tech shares; Caterpillar hits Dow , * Dow off 0.2 pct  S&P up 0.1 pct  Nasdaq up 0.8 pct,normal
MSFT,Microsoft Corporation,20110722,US STOCKS-Dow drops as Caterpillar profit misses view , * Dow off 0.4 pct  S&P off 0.2 pct  Nasdaq up 0.2 pct,normal
MSFT,Microsoft Corporation,20110722,US STOCKS-Markets flat on mixed earnings  Caterpillar slumps , * Dow down 0.1 pct  S&P up 0.1 pct  Nasdaq up 0.4 pct,normal
MSFT,Microsoft Corporation,20110722,US STOCKS-Caterpillar  Microsoft seen leading market lower , * Futures down: Dow 34 pts  S&P 1.4 pt  Nasdaq 10.5 pts,normal
MSFT,Microsoft Corporation,20110722,Apple joins Hulu bid talks: report ,LOS ANGELES Apple Inc is in early talks to join the bidding for Hulu  the online video site that Walt Disney Co  News Corp and its other owners have put up for sale  Bloomberg cited two unidentified sources as saying.,normal
MSFT,Microsoft Corporation,20110722,US STOCKS-Futures flat as Caterpillar earns offset Greece , * Futures: Dow off 3 pts  S&P up 1.2 pts  Nasdaq off 3.5,normal
MSFT,Microsoft Corporation,20110722,US STOCKS-Futures up on Greece rescue deal  GE rises early , * Futures up: Dow 36 pts  S&P 2.9 pts  Nasdaq 0.5 pt,normal
NFLX,Netflix Inc,20110722,Spanish piracy law draws U.S. investments: minister ,MADRID Major U.S. and Spanish companies are preparing to invest in online music and movie services in Spain once a controversial new law to fight piracy takes effect next month  the country's culture minister said.,topStory
NWSA,News Corporation,20110722,Stan Lee reveals details of new comic "Seekers" ,SAN DIEGO Comic book legend Stan Lee on Friday revealed details of his new web-based  digital series "The Seekers " saying it is set in modern times on an Earth in danger of imminent destruction.,topStory
NWSA,News Corporation,20110722,Stan Lee reveals details of new comic "Seekers" , SAN DIEGO  July 22 Comic book legend Stan Lee on Friday revealed details of his new web-based  digital series "The Seekers " saying it is set in modern times on an Earth in danger of imminent destruction.,normal
NWSA,News Corporation,20110722,UK lawmaker asks police to investigate Murdoch ,LONDON News Corp executive James Murdoch could face a police investigation into claims he gave "mistaken" testimony to Britain's parliament this week  deepening the legal crisis that has engulfed the Murdoch family's media empire. | Video ,normal
NWSA,News Corporation,20110722,Exclusive: News Corp executive suspected of "orchestrating" leak ,LONDON A leading private investigations firm said it had strong reason to suspect that Will Lewis  a senior executive of Rupert Murdoch's News Corporation  was involved in "orchestrating" a leak of material from a competing news organization which helped Murdoch's business interests. | Video ,normal
NWSA,News Corporation,20110722,WRAPUP 2-UK lawmaker asks police to investigate Murdoch , * Opposition lawmaker wants police to investigate James Murdoch,normal
NWSA,News Corporation,20110722,Murdoch links set to overshadow Sky results ,LONDON BSkyB's complicated relationship with Rupert Murdoch's News Corp and whether son James should remain as chairman will likely dominate the firm's solid financial results due next week.,normal
NWSA,News Corporation,20110722,News Corp sells Russian  Romanian outdoor ads business ,MOSCOW  July 22 Embattled global media group News Corp  said on Friday it has sold its 79 percent stake in News Outdoor Russia and News Outdoor Romania to a group of investors led by Russian investment bank VTB Capital.,normal
NWSA,News Corporation,20110722,UPDATE 2-News Corp sells Russian  Romanian outdoor ads business , LONDON  Jul 22    * Says deal completes sale of outdoor advertising businesses,normal
NWSA,News Corporation,20110722,Apple joins Hulu bid talks: report ,LOS ANGELES Apple Inc is in early talks to join the bidding for Hulu  the online video site that Walt Disney Co  News Corp and its other owners have put up for sale  Bloomberg cited two unidentified sources as saying.,normal
NWSA,News Corporation,20110722,UK lawmaker to ask police to probe Murdoch claims , LONDON  July 22 British police should investigate claims that News Corp executive James Murdoch gave "mistaken" testimony to a parliamentary committee  opposition Labour lawmaker Tom Watson said on Friday.,normal
AMTD,TD Ameritrade Holding Corporation,20110722,Schwab shops modestly but sees E*Trade's potential ,TORONTO Charles Schwab Corp  is limiting itself to looking at modest acquisitions at the moment but does see the consolidation opportunity that would arise if discount broker E*Trade  were to put itself up for sale  Chief Executive Walt Bettinger said on Friday.,topStory
AMTD,TD Ameritrade Holding Corporation,20110722,UPDATE 1-Schwab shops modestly but sees E*Trade's potential , * Firm currently eyeing only "modest" acquisition targets,normal
AMTD,TD Ameritrade Holding Corporation,20110722,Schwab shops modestly but sees E*Trade's potential , * Firm currently eyeing only "modest" acquisition targets,normal
VOD,Vodafone Group Plc,20110722,Verizon iPhone sales dash hopes; shares fall ,NEW YORK Verizon Communications may have the iPhone  but the blockbuster smartphone has yet to pay off in its battle against AT&T Inc. | Video ,topStory
VOD,Vodafone Group Plc,20110722,UPDATE 6-Verizon iPhone sales dash hopes; shares fall , * Adds 1.3 mln net subscribers versus analyst view 930 000,normal
VOD,Vodafone Group Plc,20110722,RPT-UPDATE 3-India and Turkey offset weak Europe for Vodafone , * Shares up 1.5 percent   (Repeats to add Reuters to dateline),normal
YRCW,YRC Worldwide Inc,20110722,UPDATE 2-YRC completes restructuring  appoints new board , NEW YORK/BANGALORE  July 22 U.S. trucker YRC Worldwide Inc said on Friday it completed a financial restructuring and issued notes for $100 million in new capital.,topStory
APD,Air Products and Chemicals Inc,20110722,UPDATE 3-Air Products profit and outlook tepid; stock falls , * Forecasts fiscal Q4 profit in range mostly below Street,topStory
MO,Altria Group,20110722,UPDATE 2-Reynolds profit disappoints on weak market share , * Shares down 4.7 percent  (Adds analyst quote  market share  sales and profit forecast),topStory
MO,Altria Group,20110722,UPDATE 1-Reynolds earnings fall below expecations , CHICAGO  July 22 Reynolds American Inc  posted a lower-than-expected quarterly profit on Friday as its cigarette shipments fell more sharply than those of top competitor Altria Group Inc   and its shares fell nearly 4 percent.,normal
AIG,American International Group Inc,20110722,PRESS DIGEST - Wall Street Journal - July 22 , July 22 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
AIG,American International Group Inc,20110722,Sony insurer sues to deny data breach coverage ,NEW YORK/TOKYO One of Sony Corp's insurers has asked a court to declare that it does not have to pay to defend the media and electronics conglomerate from mounting legal claims related to a massive data breach earlier this year.,normal
AIG,American International Group Inc,20110722,UPDATE 2-Sony insurer sues to deny data breach coverage , (Changes dateline; adds Sony comment in paragraphs 5  12),normal
AIG,American International Group Inc,20110722,UPDATE 1-AIG picks BofA  Citi  JPM for ILFC IPO -source , * IPO could value air leasing unit at $8 bln to $10 bln,normal
AIG,American International Group Inc,20110722,AIG picks BofA  Citi  JPM for ILFC IPO -source , * IPO could value air leasing unit at $8 bln to $10 bln,normal
AEUA,Anadarko Petroleum Corporation,20110722,U.S. delays final report on BP oil spill probe ,WASHINGTON A U.S. team probing the causes of last year's massive BP oil spill has delayed the release of its final report in order to more fully weigh the evidence  investigators said on Friday.,topStory
AEUA,Anadarko Petroleum Corporation,20110722,UPDATE 1-U.S. delays final report on BP oil spill probe , * Investors watching for legal ramifications of report  (Adds comment from lawmaker  paragraphs 8-9),normal
AEUA,Anadarko Petroleum Corporation,20110722,UPDATE 1-U.S. delays final report on BP oil spill probe , * Investors watching for legal ramifications of report  (Adds comment from lawmaker  paragraphs 8-9),normal
APC,Anadarko Petroleum Corporation,20110722,U.S. delays final report on BP oil spill probe ,WASHINGTON A U.S. team probing the causes of last year's massive BP oil spill has delayed the release of its final report in order to more fully weigh the evidence  investigators said on Friday.,topStory
APC,Anadarko Petroleum Corporation,20110722,UPDATE 1-U.S. delays final report on BP oil spill probe , * Investors watching for legal ramifications of report  (Adds comment from lawmaker  paragraphs 8-9),normal
APC,Anadarko Petroleum Corporation,20110722,UPDATE 1-U.S. delays final report on BP oil spill probe , * Investors watching for legal ramifications of report  (Adds comment from lawmaker  paragraphs 8-9),normal
AU,AngloGold Ashanti Limited,20110722,UPDATE 2-AngloGold to buy First Uranium stake for $30 mln , * First Majestic shares up 50.7 pct at C$0.58 on TSX  (Adds details),topStory
APO,Apollo Global Management LLC,20110722,Blackstone  Stifel  others eye Morgan Keegan ,NEW YORK Blackstone Group LP   Carlyle Group and Stifel Financial Corp  are among the firms expected to submit initial bids on Monday for Morgan Keegan  the brokerage unit of Regions Financial Corp   sources familiar with the situation said.,topStory
APO,Apollo Global Management LLC,20110722,UPDATE 4-Blackstone  Stifel  others eye Morgan Keegan , * Morgan Keegan has book value of about $1.5 bln  (Adds analyst comment  Regions declining to comment),normal
APO,Apollo Global Management LLC,20110722,UPDATE 2-Blackstone  Stifel  others eye Morgan Keegan , * Morgan Keegan has book value of about $1.5 bln  (Adds details about auction  Raymond James declining comment),normal
APO,Apollo Global Management LLC,20110722,UPDATE 1-Apollo Residential prices IPO in expected range , July 21 Specialty finance company Apollo Residential Mortgage Inc  priced its initial public offering at $20 a share on Thursday  in-line with its expectations.,normal
T,AT&T Inc,20110722,Verizon iPhone sales dash hopes; shares fall ,NEW YORK Verizon Communications may have the iPhone  but the blockbuster smartphone has yet to pay off in its battle against AT&T Inc. | Video ,topStory
T,AT&T Inc,20110722,UPDATE 6-Verizon iPhone sales dash hopes; shares fall , * Adds 1.3 mln net subscribers versus analyst view 930 000,normal
T,AT&T Inc,20110722,Express Scripts takes $14 billion bridge loan ,NEW YORK Express Scripts  is syndicating a $14 billion bridge loan that will help finance its $29.1 billion acquisition of rival Medco Health Solutions   banking sources said on Friday.,normal
T,AT&T Inc,20110722,RLPC-UPDATE 1-Express Scripts takes $14 bln bridge loan , NEW YORK  July 22 Express Scripts  is syndicating a $14 billion bridge loan that will help finance its $29.1 billion acquisition of rival Medco Health Solutions   banking sources said on Friday.,normal
BBD,Banco Bradesco Sa,20110722,Los Grobo suspends Brazil IPO plans -source ,   * Los Grobo halts IPO as market conditions worsen -source,topStory
BBDO,Banco Bradesco Sa,20110722,Los Grobo suspends Brazil IPO plans -source ,   * Los Grobo halts IPO as market conditions worsen -source,topStory
SAN,Banco Santander SA,20110722,UPDATE 2-Spanish banks H1 hit by provisions  funding rates , * First half impacted by need for large bad debt provisions,topStory
BAC,Bank of America Corporation,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),topStory
BAC,Bank of America Corporation,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
BAC,Bank of America Corporation,20110722,Dealtalk: Spain's Bankia float defies odds in market storm ,LONDON/MADRID Bankia  knew it had to address the Greek issue head on as it tried to convince investors to buy billions of euros worth of shares in the midst of Europe's sovereign debt storm.,normal
BAC,Bank of America Corporation,20110722,DEALTALK-Spain's Bankia float defies odds in market storm , * Spanish savings bank defied tough markets to raise $4.5 bln,normal
BAC,Bank of America Corporation,20110722,RPT-BoAML reshuffles EMEA corporate DCM , LONDON  July 22 (IFR) - Bank of America Merrill Lynch  has reshuffled its EMEA debt capital markets (DCM) corporate business. Mike Turnbull  who previously ran the US bank's EMEA corporate DCM  has been appointed as head of EMEA infrastructure capital markets.,normal
BAC,Bank of America Corporation,20110722,Abril Educacao prices Brazil IPO below projected tag , SAO PAULO  July 22 Brazil's Abril Educacao  a company that provides college entrance exam preparation courses  and its shareholders raised 371 million reais ($239 million) in an initial public offering that was priced below the company's expectations.,normal
BAC,Bank of America Corporation,20110722,BoAML reshuffles EMEA corporate DCM , LONDON  July 22 (IFR) - Bank of America Merrill Lynch has reshuffled its EMEA debt capital markets (DCM) corporate business. Mike Turnbull  who previously ran the US bank's EMEA corporate DCM  has been appointed as head of EMEA infrastructure capital markets.,normal
BAC,Bank of America Corporation,20110722,DEALTALK-BoCom's planned brokerage buy could trigger wave of deals , ,normal
BAC,Bank of America Corporation,20110722,UPDATE 1-AIG picks BofA  Citi  JPM for ILFC IPO -source , * IPO could value air leasing unit at $8 bln to $10 bln,normal
BAC,Bank of America Corporation,20110722,AIG picks BofA  Citi  JPM for ILFC IPO -source , * IPO could value air leasing unit at $8 bln to $10 bln,normal
BMO,Bank Of Montreal,20110722,Dealtalk: Maple-TMX talks could lower regulatory hurdles ,TORONTO Talks between Toronto Stock Exchange operator TMX Group  and a consortium of Canadian financial heavyweights could result in the former adversaries reaching a friendly deal that would help overcome key competition hurdles.,topStory
BMO,Bank Of Montreal,20110722,DEALTALK-Maple-TMX talks could lower regulatory hurdles , TORONTO  July 22 Talks between Toronto Stock Exchange operator TMX Group  and a consortium of Canadian financial heavyweights could result in the former adversaries reaching a friendly deal that would help overcome key competition hurdles.,normal
BK,Bank Of New York Mellon Corporation (The),20110722,New Issue-Bank of New York sells $1.6 bln in 2 parts ,  July 22 The Bank of New York Mellon Corp  on Thursday sold $1.6 billion of senior notes in two parts  said IFR  a Thomson Reuters service.,topStory
BCS,Barclays PLC,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
BCS,Barclays PLC,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
BCS,Barclays PLC,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
BCS,Barclays PLC,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
BCS,Barclays PLC,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
BCS,Barclays PLC,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
BCS,Barclays PLC,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
BCS,Barclays PLC,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
ABX,Barrick Gold Corporation,20110722,CANADA STOCKS-TSX hits near 7-week high on commodity price jump , * Mining  energy drive gains as resource prices rally  (Adds further details),topStory
ABX,Barrick Gold Corporation,20110722,RPT-CANADA STOCKS-TSX near 7-wk high on commodity price jump , * Mining  energy drive gains as resource prices rally  (Adds analyst comment  details),normal
ABX,Barrick Gold Corporation,20110722,CANADA STOCKS-TSX hits near 7-week high on commodity price jump , * Mining  energy drive gains as resource prices rally  (Adds analyst comment  details),normal
BAS,Basic Energy Services Inc,20110722,UPDATE 1-Basic Energy to make small acquisitions , * Shares down 8 pct   (Adds conference call and analyst comments; updates shares),topStory
BAS,Basic Energy Services Inc,20110722,Basic Energy shares plunge on weak margin outlook , July 22 Shares of Basic Energy Services Inc  fell 11 percent after the oilfield services provider said it expects high labor and operating costs to weigh on its margins going forward.,normal
BBY,Best Buy Co Inc,20110722,Kesa attracts small field for Comet sale - sources , * Comet sale option likely to realise little cash-sources,topStory
BHP,BHP Billiton Limited,20110722,Escondida workers to extend strike indefinitely-union , SANTIAGO  July 22 Workers at the world's top copper mine  Chile's Escondida  voted on Friday to extend a 24-hour strike indefinitely to press for a hefty bonus  union leaders said  stoking a conflict that could lift prices of the metal.,topStory
BHP,BHP Billiton Limited,20110722,FACTBOX- Labor unrest in copper mines over the past year ,  July 22 Workers at the world's largest copper mine  Chile's Escondida  pressed ahead with a 24-hour strike on Friday in the latest wave of labor unrest to hit copper mines. [ID:nN1E76L0EP],normal
BHP,BHP Billiton Limited,20110722,Escondida workers poised to extend strike-union , SANTIAGO  July 22 Workers at the world's largest copper mine  Chile's Escondida  are likely to agree on an extension of a 24-hour strike due to end on Friday  union leaders told Reuters.,normal
BHP,BHP Billiton Limited,20110722,TIMELINE-Main disruptions at Chilean copper mines this year , July 22 Workers at the world's largest copper mine  Chile's Escondida  pressed ahead with a 24-hour strike on Friday to demand global miner BHP Billiton raise bonuses linked to lofty earnings.,normal
BHP,BHP Billiton Limited,20110722,TIMELINE-Chile's major mining strikes in past 20 years , July 22 Workers at the world's largest copper mine  Chile's Escondida  pressed ahead with a 24-hour strike on Friday to demand global miner BHP Billiton raise bonuses linked to lofty earnings.,normal
BHP,BHP Billiton Limited,20110722,UPDATE 4-Escondida mine workers start one-day strike: union , * Stoppage comes just days after Codelco general strike,normal
BBL,BHP Billiton plc,20110722,Escondida workers to extend strike indefinitely-union , SANTIAGO  July 22 Workers at the world's top copper mine  Chile's Escondida  voted on Friday to extend a 24-hour strike indefinitely to press for a hefty bonus  union leaders said  stoking a conflict that could lift prices of the metal.,topStory
BBL,BHP Billiton plc,20110722,FACTBOX- Labor unrest in copper mines over the past year ,  July 22 Workers at the world's largest copper mine  Chile's Escondida  pressed ahead with a 24-hour strike on Friday in the latest wave of labor unrest to hit copper mines. [ID:nN1E76L0EP],normal
BBL,BHP Billiton plc,20110722,Escondida workers poised to extend strike-union , SANTIAGO  July 22 Workers at the world's largest copper mine  Chile's Escondida  are likely to agree on an extension of a 24-hour strike due to end on Friday  union leaders told Reuters.,normal
BBL,BHP Billiton plc,20110722,TIMELINE-Main disruptions at Chilean copper mines this year , July 22 Workers at the world's largest copper mine  Chile's Escondida  pressed ahead with a 24-hour strike on Friday to demand global miner BHP Billiton raise bonuses linked to lofty earnings.,normal
BBL,BHP Billiton plc,20110722,TIMELINE-Chile's major mining strikes in past 20 years , July 22 Workers at the world's largest copper mine  Chile's Escondida  pressed ahead with a 24-hour strike on Friday to demand global miner BHP Billiton raise bonuses linked to lofty earnings.,normal
BBL,BHP Billiton plc,20110722,UPDATE 4-Escondida mine workers start one-day strike: union , * Stoppage comes just days after Codelco general strike,normal
