ACIW,ACI Worldwide Inc,20110916,UPDATE 1-S1 terminates Fundtech merger agreement , * Fundtech agrees to be bought by PE firm GTCR for $390 mln,topStory
T,AT&T Inc,20110916,Seven states join effort to stop AT&T/T-Mobile deal , WASHINGTON  Sept 16 Seven states have joined the U.S. Justice Department's lawsuit to stop AT&T's  proposed purchase of T-Mobile USA  the Justice Department said on Friday.,normal
BSAC,Banco Santander Chile,20110916,STXNEWS LATAM-Chile stocks off in thin trade , Chile stocks are slightly down in thin trade ahead of a national holiday.,topStory
SAN,Banco Santander SA,20110916,RPT-UPDATE 2-Santander to shelve UK listing until 2013-source , * Delayed by ICB report  market turmoil  RBS branch integration,topStory
SAN,Banco Santander SA,20110916,UPDATE 1-Santander to shelve UK listing until 2013 - FT , LONDON  Sept 16 The planned listing of Spanish bank Santander's UK operations on the London Stock Exchange is likely to be delayed until 2013 at the earliest  the Financial Times said on Friday.,normal
SAN,Banco Santander SA,20110916,Spanish stocks - Factors to watch on Friday , MADRID  Sept 16 The following Spanish stocks may be affected by newspaper reports and other factors on Friday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
SAN,Banco Santander SA,20110916,PRESS DIGEST - Financial Times - Sept 16 , Five of the world's central banks took bold concerted action to pre-empt a looming dollar funding crisis in Europe  sparking a rally in eurozone bank shares and the euro. http://www.ft.com/cms/s/0/11039e2c-dfa0-11e0-845a-00144feabdc0.html#axzz1Y4qK3ktJ,normal
BAC,Bank of America Corporation,20110916,BofA keeping Countrywide bankruptcy as option: report ,Countrywide Financial's lawsuit losses could compel parent Bank of America Corp (BofA)  to put up the unit on the bankruptcy block  Bloomberg reported citing four people with knowledge of the firm's strategy.,topStory
BAC,Bank of America Corporation,20110916,BofA keeping Countrywide bankruptcy as option - Bloomberg , Sept 16 Countrywide Financial's lawsuit losses could compel parent Bank of America Corp (BofA)  to put up the unit on the bankruptcy block  Bloomberg reported citing four people with knowledge of the firm's strategy.,normal
BAC,Bank of America Corporation,20110916,Citi introducing fees on low-balance bank accounts ,Citigroup Inc said it will start charging a monthly fee on accounts with low balances  joining a growing list of banks seeking to recoup revenue lost under new regulations.,normal
BAC,Bank of America Corporation,20110916,UPDATE 3-Citi introducing fees on low-balance bank accounts , * Debit card use  online billpay are free  (Adds comment from consumer advocate),normal
BAC,Bank of America Corporation,20110916,US bank trading revenues plummet in second quarter ,   * Bank holding company trading revs down 18 pct in Q2 vs Q1,normal
BAC,Bank of America Corporation,20110916,UPDATE 1-Asian demand to pull up UK gas prices , * LNG prices could reach 2008 levels   (Adds Deutsche Bank research note),normal
BAC,Bank of America Corporation,20110916,RPT-INSIGHT-BofA cuts foretell a downturn in branch banking , * BofA's acquisition spree creates layoff opportunities,normal
BAC,Bank of America Corporation,20110916,Italy derivatives ruling seen spurring litigation , * State Council published ground-breaking ruling this month,normal
BK,Bank Of New York Mellon Corporation (The),20110916,New Issue-Bank of New York Mellon sells $1 bln notes ,  Sept 16 The Bank of New York Mellon Corp  on Friday sold $1 billion of senior unsecured notes  said IFR  a Thomson Reuters service.,topStory
BCS,Barclays PLC,20110916,ADR REPORT-Receding euro zone concern helps ADRs ,   (Updates with closing levels  adds Moody's comments on Italy after U.S. market close),topStory
BCS,Barclays PLC,20110916,ADR REPORT-Receding euro zone concern helps banks , NEW YORK  Sept 16 U.S.-listed shares of overseas companies were little changed on Friday  with banks mostly higher as investors were increasingly optimistic that leaders are working to contain the euro zone debt crisis.,normal
BCS,Barclays PLC,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,normal
BCS,Barclays PLC,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
BCS,Barclays PLC,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
ABX,Barrick Gold Corporation,20110916,UPDATE 1-Peru miners wait for royalty reform small print , * Industry leaders say law should respect negotiations   (Adds fresh quotes from mining minister  industry group),topStory
ABX,Barrick Gold Corporation,20110916,CANADA STOCKS-RIM plunge drives TSX lower; gold gains offset , * Nine of 10 index sectors weaker; golds rise  (Recasts. Adds further analyst comment),normal
ABX,Barrick Gold Corporation,20110916,Peru miners wait for royalty reform small print , AREQUIPA  Peru  Sept 16 A drive by Peru's leftist president to raise mining royalties should not derail multibillion-dollar investments  industry executives said  but they added that the final law must reflect the spirit of negotiations with companies.,normal
ABX,Barrick Gold Corporation,20110916,CANADA STOCKS-TSX extends losses on RIM plunge  euro zone woes , * Eight of 10 index sectors weaker; golds rise  (Recasts. Adds further analyst comment),normal
ABX,Barrick Gold Corporation,20110916,CANADA STOCKS-RIM's plunge pulls TSX lower , *Five of 10 index sectors stronger as banks  golds rise,normal
BHP,BHP Billiton Limited,20110916,DealTalk: Cameco may go unchallenged in hostile Hathor bid ,Hathor Exploration  might have trouble finding a white knight to rescue it from the clutches of Cameco Corp  the uranium giant whose C$520 million ($530 million) hostile offer stands a much better chance of succeeding than any foreign bid.,topStory
BHP,BHP Billiton Limited,20110916,Copper premiums ease on caution over Europe debt , * Concentrate market tightens following strike-Aurubis,normal
BHP,BHP Billiton Limited,20110916,DEALTALK-Cameco may go unchallenged in hostile Hathor bid , Sept 16 Hathor Exploration  might have trouble finding a white knight to rescue it from the clutches of Cameco Corp  the uranium giant whose C$520 million ($530 million) hostile offer stands a much better chance of succeeding than any foreign bid.,normal
BBL,BHP Billiton plc,20110916,Copper premiums ease on caution over Europe debt , * Concentrate market tightens following strike-Aurubis,topStory
BLK,BlackRock Inc,20110916,Analysis: Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,topStory
BLK,BlackRock Inc,20110916,Analysis: Bond titan Gundlach on top even after court setbacks ,Even when the newly anointed "bond king" Jeffrey Gundlach suffers some setbacks in an ugly court spat  he manages to come out a winner.,normal
BA,Boeing Company (The),20110916,Boeing scrubs planned first delivery of 747-8F ,Boeing Co  said on Friday it would not make the planned first delivery of its 747-8 Freighter to Cargolux  on Monday  citing "unresolved issues" with the airline.,topStory
BA,Boeing Company (The),20110916,UPDATE 3-Boeing scrubs planned first delivery of 747-8F , * Expert believes dispute hinges on fuel consumption  (Adds background on Dreamliner),normal
BA,Boeing Company (The),20110916,Wall Street défit les pronostics et ouvre en hausse , NEW YORK  16 septembre Wall Street a ouvert en hausse vendredi  contrairement à ce que laissaient présager les futures  qui indiquaient d'abord une ouverture en baisse et ensuite sans grande variation.,normal
BA,Boeing Company (The),20110916,Air France-KLM orders Airbus  Boeing jets worth $12 billion ,PARIS Air France-KLM  has split a $12 billion order for long-range jets following a year-long competition  announcing plans to buy 25 Boeing  787 Dreamliners and 25 Airbus  A350s.,normal
BA,Boeing Company (The),20110916,Air France-KLM orders Airbus  Boeing jets worth $12 bln ,PARIS Air France-KLM  has split a $12 billion order for long-range jets following a year-long competition  announcing plans to buy 25 Boeing  787 Dreamliners and 25 Airbus  A350s.,normal
BA,Boeing Company (The),20110916,UPDATE 2-Air France-KLM orders Airbus  Boeing jets worth $12 bln , * Deal to include 50 firm orders and 60 options   (Adds share detail  background),normal
BA,Boeing Company (The),20110916,Air France-KLM to order Airbus  Boeing jets worth $12 billion ,PARIS Franco-Dutch airline Air France-KLM  said it plans to order 50 long-haul jetliners from Airbus  and Boeing  in a deal worth around $12 billion at list prices as it renews its fleet with more fuel-efficient aircraft.,normal
BA,Boeing Company (The),20110916,French and Benelux stocks-Factors to watch on Sept 16 , PARIS  Sept 16 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,normal
BA,Boeing Company (The),20110916,Air France-KLM to order Airbus  Boeing jets worth $12 bln , PARIS  Sept 16 Franco-Dutch airline Air France-KLM said it plans to order 50 long-haul jetliners from Airbus and Boeing in a deal worth around $12 billion at list prices as it renews its fleet with more fuel-efficient aircraft.,normal
BA,Boeing Company (The),20110916,Defense cuts could worsen unemployment: Pentagon ,ABOARD A U.S. MILITARY AIRCRAFT Defense Secretary Leon Panetta is warning members of Congress that threatened defense cuts in the order of $1 trillion over the next decade would add 1 percentage point to the U.S. unemployment rate  a senior defense official said on Thursday.,normal
BP,BP plc,20110916,BP executives get U.S. investor lawsuit dismissed ,Current and former BP  executives and directors won dismissal on Thursday of one of several U.S.-shareholder lawsuits filed over last year's Gulf of Mexico oil spill.,topStory
BP,BP plc,20110916,UPDATE 1-BP executives get U.S. investor lawsuit dismissed , Sept 16 Current and former BP  executives and directors won dismissal on Thursday of one of several U.S.-shareholder lawsuits filed over last year's Gulf of Mexico oil spill.,normal
BP,BP plc,20110916,BP to pay $20.5 million to resolve royalty dispute ,WASHINGTON BP will pay $20.5 million to settle claims that the company knowingly underpaid royalties on natural gas produced on federal and American Indian leases between 1986 and 2008  the U.S. Interior Department said on Friday.,normal
BP,BP plc,20110916,UPDATE 1-BP to pay U.S. $20.5 mln to resolve royalty dispute , WASHINGTON  Sept 16 BP  will pay $20.5 million to settle claims that the company knowingly underpaid royalties on natural gas produced on federal and American Indian leases between 1986 and 2008  the U.S. Interior Department said on Friday.,normal
BP,BP plc,20110916,BP to pay U.S. $20.5 mln to resolve royalty dispute , WASHINGTON  Sept 16 BP  will pay $20.5 million to settle claims that the company knowingly underpaid royalties on natural gas produced on federal and American Indian leases between 1986 and 2008  the U.S. Interior Department said on Friday.,normal
BP,BP plc,20110916,Analysis: BP oil spill report may prompt $30 billion pay-out ,LONDON Findings of the second major investigation by the U.S. government into the 2010 Gulf of Mexico oil spill  may press BP into putting over $30 billion on the table to quickly settle its outstanding legal headaches.,normal
BP,BP plc,20110916,Brazil's HRT closes deal with Russia's TNK-BP , * TNK-BP pursuing foreign exposure  including Venezuela,normal
BVN,Buenaventura Mining Company Inc,20110916,UPDATE 1-Peru miners wait for royalty reform small print , * Industry leaders say law should respect negotiations   (Adds fresh quotes from mining minister  industry group),topStory
BVN,Buenaventura Mining Company Inc,20110916,Peru miners wait for royalty reform small print , AREQUIPA  Peru  Sept 16 A drive by Peru's leftist president to raise mining royalties should not derail multibillion-dollar investments  industry executives said  but they added that the final law must reflect the spirit of negotiations with companies.,normal
COG,Cabot Oil & Gas Corporation,20110916,UPDATE 1-Cabot Oil reaffirms Q3 production outlook , * May meet lower end of Q4 output forecast if pipelines are delayed,topStory
CCJ,Cameco Corporation,20110916,DealTalk: Cameco may go unchallenged in hostile Hathor bid ,Hathor Exploration  might have trouble finding a white knight to rescue it from the clutches of Cameco Corp  the uranium giant whose C$520 million ($530 million) hostile offer stands a much better chance of succeeding than any foreign bid.,topStory
CCJ,Cameco Corporation,20110916,DEALTALK-Cameco may go unchallenged in hostile Hathor bid , Sept 16 Hathor Exploration  might have trouble finding a white knight to rescue it from the clutches of Cameco Corp  the uranium giant whose C$520 million ($530 million) hostile offer stands a much better chance of succeeding than any foreign bid.,normal
CAT,Caterpillar Inc,20110916,UPDATE 3-GE makes Russian push with energy  health ventures , * Part of push to boost GE's presence outside U.S.  (Adds interview with GE executive  details),topStory
CBS,CBS Corporation,20110916,Hollywood rolls out red carpet for Cowell's "X Factor" ,LOS ANGELES There aren't many reality TV shows that stage their own world premiere. | Video ,topStory
CVE,Cenovus Energy Inc,20110916,Encana chief seeks patience after prices sag ,CALGARY  Alberta Investors in Encana Corp should be patient while Canada's biggest natural gas producer unlocks richer reserves in its long-held producing lands and in newly acquired ones  its chief executive said on Thursday.,topStory
CVE,Cenovus Energy Inc,20110916,Analysis: Clock ticking for Canada's natural gas champion ,CALGARY  Alberta Encana Corp Chief Executive Randy Eresman did exactly what investors wanted when he created the quintessential pure play in North American natural gas. That's now his biggest problem.,normal
CHK,Chesapeake Energy Corporation,20110916,Analysis: Clock ticking for Canada's natural gas champion ,CALGARY  Alberta Encana Corp Chief Executive Randy Eresman did exactly what investors wanted when he created the quintessential pure play in North American natural gas. That's now his biggest problem.,topStory
CVX,Chevron Corporation,20110916,U.S. court hears appeal on halted Ecuadorean damages award ,NEW YORK A U.S. appeals court on Friday sharply questioned whether a New York federal judge had the legal authority to prevent enforcement of an $18 billion damages award against Chevron Corp in the company's long-running environmental battle with residents of the Ecuadorean rain forest.,topStory
CVX,Chevron Corporation,20110916,U.S. court hears appeal on halted Ecuadorean damages award , *Asks whether U.S. judge can block $18 bln damage award,normal
CVX,Chevron Corporation,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),normal
CVX,Chevron Corporation,20110916,UPDATE 1-Hurricane Maria nears Newfoundland  oil unaffected , Sept 16 Operations at oil rigs off Canada's Atlantic Coast are unlikely to be hurt by Hurricane Maria  which may tear down trees and cut power in the southeastern tip of Newfoundland later on Friday  officials said.,normal
CVX,Chevron Corporation,20110916,Canada's Hibernia oil field in path of Hurricane Maria , Sept 16 The Hibernia oil field off Canada's Atlantic Coast is in the path of Hurricane Maria  officials said on Friday  but said the six-meter waves were not likely to have a major impact on Hibernia's operations.,normal
CVX,Chevron Corporation,20110916,REFILE-TABLE-Indonesia gas output exceeds 2011 government target , JAKARTA  Sept 16 Indonesia has already exceeded its natural gas production target for the whole of 2011 by almost 9 percent  boosted by higher output by energy majors  Indonesian oil and gas watchdog BPMigas said.,normal
CVX,Chevron Corporation,20110916,UPDATE 1-Chevron signs LNG sales deal with Kyushu Electric , * Chevron a step closer to making FID by year end   (Adds details  background),normal
CVX,Chevron Corporation,20110916,Essar Energy eyeing oil  gas assets overseas - report , MUMBAI  Sept 16 Essar Energy is in talks with global oil majors including Exxon Mobil   Chevron   Shell  and ConocoPhilips to acquire oil and gas assets in Africa  Latin America and Australia  the Economic Times reported on Friday.,normal
CVX,Chevron Corporation,20110916,Chevron signs LNG sales deal with Kyushu Electric , PERTH  Sep 16 Chevron Corporation said Friday it has signed an agreement to supply Japan's Kyushu Electric with up to 0.7 million tonnes per annum of liquefied natural gas from its Wheatstone project in Australia.,normal
CHA,China Telecom Corp Ltd,20110916,PRESS DIGEST - Hong Kong - Sept 16 , HONG KONG  Sept 16 These are some of the leading stories in Hong Kong newspapers on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
C,Citigroup Inc,20110916,Citi introducing fees on low-balance bank accounts ,Citigroup Inc said it will start charging a monthly fee on accounts with low balances  joining a growing list of banks seeking to recoup revenue lost under new regulations.,topStory
C,Citigroup Inc,20110916,UPDATE 3-Citi introducing fees on low-balance bank accounts , * Debit card use  online billpay are free  (Adds comment from consumer advocate),normal
C,Citigroup Inc,20110916,CORRECTED-COLUMN-UBS scandal could kill its investment bank: Mullin , (Corrects reason for Moody's downgrade of Societe Generale in first paragraph),normal
CEO,CNOOC Limited,20110916,Oil leaks from ConocoPhillips China oilfield rises , SHANGHAI  Sept 16 The amount of oil leaked from ConocoPhillips' oilfield in northern China's Bohai Bay has risen  even though all operations have been shut down  state media Xinhua reported on Friday  citing the China's State Oceanic Administration.,topStory
CL,Colgate-Palmolive Company,20110916,HOW TO PLAY IT-Stocks that inspire consumer confidence , THE ISSUE: The Thomson Reuters/U of Michigan's Consumer Confidence index rose slightly more than expected but remained at nearly the lowest level in years at 57.8. In a healthy economy  it would be over 70 percent.,topStory
COP,ConocoPhillips,20110916,Conoco restarts Sweeny compressor after trip , (For refinery outages in the Reuters Oil Fundamentals Database see http://bond.views.session.rservices.com/CE/ or go to <OFD/INFO>),topStory
COP,ConocoPhillips,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),normal
COP,ConocoPhillips,20110916,Conoco may delay date for Trainer work -source , Sept 16 A major maintenance project may be delayed again at ConocoPhillips'  195 000 barrel per day (bpd) Trainer  Pennsylvania  refinery  according to a source familiar with operations.,normal
COP,ConocoPhillips,20110916,Oil leaks from ConocoPhillips China oilfield rises , SHANGHAI  Sept 16 The amount of oil leaked from ConocoPhillips' oilfield in northern China's Bohai Bay has risen  even though all operations have been shut down  state media Xinhua reported on Friday  citing the China's State Oceanic Administration.,normal
COP,ConocoPhillips,20110916,UPDATE 1-Norway Kollsnes plant power demand cut in Sept , OSLO  Sept 16 Power use at Norwegian gas plant Kollsnes will be cut to varying degrees during the planned outage at the Troll gas field  North Sea gas infrastructure operator Gassco said on Friday  giving some indication as to how much gas it will be able to export.,normal
COP,ConocoPhillips,20110916,Around $1bln invested in Statoil's Stjerne field -Norway , OSLO  Sept 16 Norway's Statoil and partners will invest some 5.3 billion Norwegian crowns ($948 million) in the development of a small oil and gas field in the North Sea  the Norwegian oil and energy ministry said on Friday.,normal
COP,ConocoPhillips,20110916,Essar Energy eyeing oil  gas assets overseas - report , MUMBAI  Sept 16 Essar Energy is in talks with global oil majors including Exxon Mobil   Chevron   Shell  and ConocoPhilips to acquire oil and gas assets in Africa  Latin America and Australia  the Economic Times reported on Friday.,normal
OFC,Corporate Office Properties Trust,20110916,UPDATE 1-Corporate Office CEO retires , Sept 16 Corporate Office Properties Trust  said its Chief Executive Randall Griffin will retire in March 2012.,topStory
OFC,Corporate Office Properties Trust,20110916,REFILE-BRIEF-Copt announces CEO succession and appoints new COO , SEPT 16 -     Sept 16 Corporate Office Properties Trust :  * Copt announces CEO succession and appoints new COO  * Says CEO Randall M. Griffin to retire  * Says roger a. waesche jr appointed CEO  * Says griffin will transition his responsibilities over the next six months to,normal
CS,Credit Suisse Group,20110916,ADR REPORT-Receding euro zone concern helps ADRs ,   (Updates with closing levels  adds Moody's comments on Italy after U.S. market close),topStory
CS,Credit Suisse Group,20110916,ADR REPORT-Receding euro zone concern helps banks , NEW YORK  Sept 16 U.S.-listed shares of overseas companies were little changed on Friday  with banks mostly higher as investors were increasingly optimistic that leaders are working to contain the euro zone debt crisis.,normal
DE,Deere & Company,20110916,UPDATE 1-U.S. consumer watchdog recalls Deere tractors ,  Sept 16 The U.S. Consumer Product Safety Commission said it had posted a voluntary recall of 36 500 Deere & Co  tractors to repair an engine cooling fan.,topStory
DB,Deutsche Bank AG,20110916,UBS investment bank crisis could be rivals' big break ,LONDON UBS' $2 billion trading loss may prove a boon for rival investment banks hoping to see rivals drop out of a bitter fight for a share of a shrinking fee pool.,topStory
DB,Deutsche Bank AG,20110916,UBS investment bank crisis could be rivals' big break , * Equities and M&A two key areas that could be preserved,normal
DB,Deutsche Bank AG,20110916,UPDATE 1-Asian demand to pull up UK gas prices , * LNG prices could reach 2008 levels   (Adds Deutsche Bank research note),normal
DBD,Diebold Nixdorf Incorporated,20110916,Factbox: Facts about United Tech's Louis Chenevert ,United Technologies Corp  named Louis Chenevert chairman on January 1  2010  concluding a four-year transition of power at the diversified U.S. manufacturer from prior boss George David.,topStory
DBD,Diebold Nixdorf Incorporated,20110916,FACTBOX-Facts about United Tech's Louis Chenevert , Sept 16 United Technologies Corp  named Louis Chenevert chairman on Jan. 1  2010  concluding a four-year transition of power at the diversified U.S. manufacturer from prior boss George David.,normal
LLY,Eli Lilly and Company,20110916,Obama signs patent bill  sees boost for innovators ,President Barack Obama signed into law a patent overhaul bill on Friday that backers say will curb frivolous lawsuits and help the U.S. Patent and Trademark Office do the hiring needed to clear a huge backlog of applications.,topStory
LLY,Eli Lilly and Company,20110916,Obama signs patent bill  sees boost for innovators , Sept 16 President Barack Obama signed into law a patent overhaul bill on Friday that backers say will curb frivolous lawsuits and help the U.S. Patent and Trademark Office do the hiring needed to clear a huge backlog of applications.,normal
ECA,Encana Corporation,20110916,Encana chief seeks patience after prices sag ,CALGARY  Alberta Investors in Encana Corp should be patient while Canada's biggest natural gas producer unlocks richer reserves in its long-held producing lands and in newly acquired ones  its chief executive said on Thursday.,topStory
ECA,Encana Corporation,20110916,Analysis: Clock ticking for Canada's natural gas champion ,CALGARY  Alberta Encana Corp Chief Executive Randy Eresman did exactly what investors wanted when he created the quintessential pure play in North American natural gas. That's now his biggest problem.,normal
E,ENI SpA,20110916,Margins  maintenance hit Europe refinery runs ,LONDON/AMSTERDAM European refiners are cutting runs or conducting maintenance work to cope with deteriorating margins  traders said on Friday  as high crude oil prices coupled with fears about economic growth have slashed profits in recent weeks.,topStory
E,ENI SpA,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),normal
E,ENI SpA,20110916,UPDATE 2-Low margins  maintenance hit Europe refinery runs , * Shell Pernis  Europe's largest  to run 20-25 pct below capacity,normal
E,ENI SpA,20110916,Factbox: Latest developments in the Libyan conflict ,Following are the latest political and military developments in the Libyan crisis.,normal
E,ENI SpA,20110916,UPDATE 1-Eni  Gazprom press ahead with Libya oilfield deal , * Gazprom option on field stake won't expire soon-source,normal
E,ENI SpA,20110916,Eni confirms Libyan oilfield deal with Gazprom , MILAN  Sept 16 Eni said on Friday it had signed an agreement with Russia's Gazprom  reaffirming accords signed in February to give the Russian group at a future date 50 percent of Eni's 33.3 percent stake in the consortium developing the Elephant oilfied in Libya.,normal
E,ENI SpA,20110916,South Stream pipeline secures shareholder deal , SOCHI  Russia  Sept 16 Gazprom and its partners in South Stream gas pipeline on Friday signed a shareholder agreement dividing up stakes in the project designed to bring Russian gas to Europe vie the Black Sea and circumnavigate transit countries such as Ukraine.,normal
E,ENI SpA,20110916,Eni  Gazprom to sign option agreement on Libya oil-source , MOSCOW  Sept 16 Eni and Gazprom  were expected to sign an agreement on Friday giving the Russian company the right to acquire half Italian group Eni's 33 percent stake in the Elephant oilfield in Libya  a source in Gazprom told Reuters.,normal
EOG,EOG Resources Inc,20110916,Analysis: For oil explorers  it pays to buy  not rent ,U.S. oil and natural gas producers are buying onshore drilling rigs and related equipment to keep their costs in check  rather than rent from oilfield services providers who have bumped up prices amid strong demand for work in shale fields.,topStory
EOG,EOG Resources Inc,20110916,Analysis: Clock ticking for Canada's natural gas champion ,CALGARY  Alberta Encana Corp Chief Executive Randy Eresman did exactly what investors wanted when he created the quintessential pure play in North American natural gas. That's now his biggest problem.,normal
XOM,Exxon Mobil Corporation,20110916,UPDATE 2-Exxon's Silvertip pipeline restart imminent , * Pipeline stress test performed on Friday  (adds company comment),topStory
XOM,Exxon Mobil Corporation,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),normal
XOM,Exxon Mobil Corporation,20110916,UPDATE 1-Exxon sees Russia Arctic tax terms "in short order" , * Russia overhauling oil taxes  some of world's highest,normal
XOM,Exxon Mobil Corporation,20110916,Exxon's Silvertip pipeline restart seen in days-MDEQ , Sept 16 ExxonMobil Corp.  is likely to get the go ahead from federal regulators to restart the 40 000 barrel per day Silvertip pipeline in Montana after repairing a leak  the head of the Montana Department of Environmental Quality said on Friday.,normal
XOM,Exxon Mobil Corporation,20110916,UPDATE 1-Hurricane Maria nears Newfoundland  oil unaffected , Sept 16 Operations at oil rigs off Canada's Atlantic Coast are unlikely to be hurt by Hurricane Maria  which may tear down trees and cut power in the southeastern tip of Newfoundland later on Friday  officials said.,normal
XOM,Exxon Mobil Corporation,20110916,Exxon sees Russia Arctic tax terms "in short order" , SOCHI  Russia  Sept 16 Russia's top oil producer Rosneft signed a major Arctic deal with ExxonMobil  without a clear tax regime for the potentially capital-intensive project  but the terms should be set shortly  a senior Exxon executive told Reuters on Friday.,normal
XOM,Exxon Mobil Corporation,20110916,Analysis: BP oil spill report may prompt $30 billion pay-out ,LONDON Findings of the second major investigation by the U.S. government into the 2010 Gulf of Mexico oil spill  may press BP into putting over $30 billion on the table to quickly settle its outstanding legal headaches.,normal
XOM,Exxon Mobil Corporation,20110916,Canada's Hibernia oil field in path of Hurricane Maria , Sept 16 The Hibernia oil field off Canada's Atlantic Coast is in the path of Hurricane Maria  officials said on Friday  but said the six-meter waves were not likely to have a major impact on Hibernia's operations.,normal
XOM,Exxon Mobil Corporation,20110916,Around $1bln invested in Statoil's Stjerne field -Norway , OSLO  Sept 16 Norway's Statoil and partners will invest some 5.3 billion Norwegian crowns ($948 million) in the development of a small oil and gas field in the North Sea  the Norwegian oil and energy ministry said on Friday.,normal
XOM,Exxon Mobil Corporation,20110916,REFILE-TABLE-Indonesia gas output exceeds 2011 government target , JAKARTA  Sept 16 Indonesia has already exceeded its natural gas production target for the whole of 2011 by almost 9 percent  boosted by higher output by energy majors  Indonesian oil and gas watchdog BPMigas said.,normal
F,Ford Motor Company,20110916,GM  UAW close in on labor deal ,DETROIT General Motors Co  and the United Auto Workers union were nearing a new contract for 49 000 production workers in talks in Detroit on Friday  people with direct knowledge of the negotiations said.,topStory
F,Ford Motor Company,20110916,UPDATE 4-GM  UAW close in on labor deal , * Tenn. officials met GM in bid to revive Saturn plant  (Adds detail on proposal regarding healthcare costs),normal
F,Ford Motor Company,20110916,UAW  automaker talks continue; GM makes progress ,DETROIT General Motors Co and the United Auto Workers union have made "good progress" toward an agreement  a person familiar with the talks said on Friday as negotiations resumed.,normal
F,Ford Motor Company,20110916,UAW  automaker talks continue; GM makes progress , DETROIT  Sept 16 General Motors Co  and the United Auto Workers union have made "good progress" toward an agreement  a person familiar with the talks said on Friday as negotiations resumed.,normal
F,Ford Motor Company,20110916,Great Wall Motor says will consider overseas acquisition ,SHANGHAI Chinese automaker Great Wall Motor  will consider buying a foreign car brand if it comes upon a suitable target  Chairman Wei Jianjun said on Friday.,normal
F,Ford Motor Company,20110916,Great Wall Motor says will consider overseas acquisition , SHANGHAI  Sept 16 Chinese automaker Great Wall Motor will consider buying a foreign car brand if it comes upon a suitable target  Chairman Wei Jianjun said on Friday.,normal
F,Ford Motor Company,20110916,UPDATE 1-European car sales rose 7.8 pct in August , * VW brand +19.5 pct  Audi +17 pct  BMW +31 pct  Mercedes +17 pct,normal
F,Ford Motor Company,20110916,European car market grows 7.8 pct in August -VDA , FRANKFURT  Sept 16 European new car registrations increased 7.8 percent in August to 787 500 vehicles as all major markets found themselves growing at the same time for the first month in over a year  data showed on Friday.,normal
F,Ford Motor Company,20110916,UPDATE 2-UAW takes Ford grievance to arbitration hearing , * UAW  GM talks wrap up Thursday  will continue Friday  (Adds that GM  UAW wrapped up talks Thursday  to resume Friday  paragraphs 7-8),normal
FCX,Freeport-McMoran Inc,20110916,METALS-Shanghai copper up 1.4 pct as fears ease on Europe debt , * Bank funding plans ally European debt crisis for the short-term,topStory
FCX,Freeport-McMoran Inc,20110916,UPDATE 2-Freeport Indonesia strike delays copper exports , * Govt is losing $6.7 mln a day in revenues from strike   (Adds govt comments  details),normal
FCX,Freeport-McMoran Inc,20110916,Freeport Indonesia strike delaying copper exports , TIMIKA  Indonesia  Sept 16 Shipments of around 133 000 tonnes of copper ore concentrate were delayed due to a workers strike at Freeport McMoran's Grasberg copper mine  two industry officials said on Friday.,normal
GME,Gamestop Corporation,20110916,Analysis: Wary retailers play safe with holiday hiring ,NEW YORK People looking for a temporary retail job this holiday season will have better luck at dollar stores and discounters than at department stores and middle market apparel chains  as the anemic U.S. economy keeps other retailers cautious.,topStory
GME,Gamestop Corporation,20110916,Shares of video game companies swing on reviews ,NEW YORK Want to know why video game stocks pop or drop? Check the reviews.,normal
GPS,Gap Inc (The),20110916,Esprit shares tumble 20 percent after dismal earnings ,HONG KONG Shares of Europe-focused fashion retailer Esprit Holdings Ltd  plunged for the second day in a row on Friday  falling more than 20 percent after the company reported a worse-than-expected fall in full-year profit.,topStory
