AKAM,Akamai Technologies Inc,20110824,UPDATE 1-Brightcove files for $50 mln public offering , NEW YORK  Aug 24 Digital media company Brightcove Inc filed with regulators for a public offering of up to $50 million as it seeks to expand its offering of online video and app services for business clients.,topStory
NVDA,NVIDIA Corporation,20110824,US STOCKS-Wall St slips as Fed uncertainty weighs , * Indexes down: Dow 0.3 pct  S&P 0.3 pct  Nasdaq 0.9 pct,normal
QCOM,QUALCOMM Incorporated,20110824,Talent agency CAA mulls Silicon Valley office ,NEW YORK Creative Artists Agency  the largest talent representation firm in Hollywood  is considering opening an office in Silicon Valley to expand ties with the technology community  according to two people familiar with the firm's plans.,topStory
RYAAY,Ryanair Holdings plc,20110824,PRESS DIGEST - Ireland - Aug 24 , DUBLIN  Aug 24 These are some of the leading stories in Ireland's newspapers on Wednesday. Reuters has not verified these stories and cannot vouch for their accuracy:,topStory
SIGM,Sigma Designs Inc,20110824,UPDATE 1-Sigma Designs swings to Q2 loss; shares fall , * Shares slump 10 pct in after-market trade   (Follows alerts),topStory
SIRI,Sirius XM Holdings Inc,20110824,Sirius XM subscriber overcharge settlement gets OK , * Sirius XM said to abuse monopoly power with extra fees,topStory
SBUX,Starbucks Corporation,20110824,Starbucks CEO:100+ leaders to stop political gifts ,CHICAGO Starbucks Corp  Chief Executive Howard Schultz on Wednesday said that more than 100 U.S. business leaders have signed on to his call to withhold political contributions from lawmakers until they strike a bipartisan debt deal.,topStory
SBUX,Starbucks Corporation,20110824,Starbucks CEO:100+ leaders to stop political gifts , CHICAGO  Aug 24 Starbucks Corp  Chief Executive Howard Schultz on Wednesday said that more than 100 U.S. business leaders have signed on to his call to withhold political contributions from lawmakers until they strike a bipartisan debt deal.,normal
TIVO,TiVo Corporation,20110824,TiVo results beat estimates  patents in focus ,NEW YORK TiVo Inc  a maker of digital video recorders  reported second-quarter results on Wednesday that beat expectations and said it is looking at ways to boost the value of its patents.,topStory
TIVO,TiVo Corporation,20110824,UPDATE 2-TiVo results beat estimates  patents in focus ,* Shares rise 9 pct after hours  (Adds outlook  byline  EPS estimate  details on Grande deal  byline),normal
UTHR,United Therapeutics Corporation,20110824,US SMALL/MIDCAPS-Early stocks' advance fades on growth concern , NEW YORK  Aug 24 Mid- and small-capitalization stocks edged higher on Wednesday as early gains evaporated on the heels of a two-day winning streak and uncertainty over Federal Reserve Chairman Ben Bernanke's speech on Friday.,topStory
UTHR,United Therapeutics Corporation,20110824,United Therapeutics oral lung drug fails trial  shares slide ,BANGALORE United Therapeutics Corp  said its experimental oral lung drug failed to meet the main goal of improving walking ability of patients with pulmonary arterial hypertension in a late-stage trial.,normal
VOD,Vodafone Group Plc,20110824,Sprint to start selling iPhone 5 mid-October: report ,NEW YORK Sprint Nextel will start selling the next version of the Apple iPhone in mid-October  according to a report in the Wall Street Journal that cited unnamed sources.,topStory
VOD,Vodafone Group Plc,20110824,Verizon Wireless customers lose in court ,NEW YORK Reversing its view from a year ago  a federal appeals court said Verizon Wireless customers must resolve disputes over alleged fraudulent cellphone charges individually through arbitration rather than as a class.,normal
VOD,Vodafone Group Plc,20110824,Verizon Wireless customers lose in court , * Plaintiffs said individual arbitrations unconscionable,normal
VOD,Vodafone Group Plc,20110824,RPT-US quake bolsters calls for public safety wireless network , * Quake rattles East Coast  disrupts cell phone service,normal
VOD,Vodafone Group Plc,20110824,Quake bolsters calls for public safety wireless network ,WASHINGTON Disruption of cell phone service by a rare East Coast earthquake on Tuesday prompted renewed calls for Congress and regulators to provide a dedicated wireless network for emergency workers.,normal
ZUMZ,Zumiez Inc,20110824,PacSun slides as back-to-school off to tough start ,Pacific Sunwear of California Inc's  shares fell nearly 18 percent in pre-market trading  a day after the retailer forecast a weak third quarter as it takes more discounts to drive sales in the crucial back-to-school season.,topStory
ZUMZ,Zumiez Inc,20110824,PacSun slides as back-to-school off to tough start , Aug 24 Pacific Sunwear of California Inc's  shares fell nearly 18 percent in pre-market trading  a day after the retailer forecast a weak third quarter as it takes more discounts to drive sales in the crucial back-to-school season.,normal
ANF,Abercrombie & Fitch Company,20110824,American Eagle profit misses  margin worries persist ,BANGALORE American Eagle Outfitters Inc  forecast disappointing third-quarter earnings as higher product costs and discounts eat into margins  joining a slew of apparel retailers that have raised concerns over consumer spending during the key back-to-school selling season.,topStory
ANF,Abercrombie & Fitch Company,20110824,UPDATE 3-American Eagle profit misses  margin worries persist , * Shares fall as much as 14 percent   (Adds conference call  analyst comments; updates share movement),normal
ANF,Abercrombie & Fitch Company,20110824,PacSun slides as back-to-school off to tough start ,Pacific Sunwear of California Inc's  shares fell nearly 18 percent in pre-market trading  a day after the retailer forecast a weak third quarter as it takes more discounts to drive sales in the crucial back-to-school season.,normal
ANF,Abercrombie & Fitch Company,20110824,PacSun slides as back-to-school off to tough start , Aug 24 Pacific Sunwear of California Inc's  shares fell nearly 18 percent in pre-market trading  a day after the retailer forecast a weak third quarter as it takes more discounts to drive sales in the crucial back-to-school season.,normal
AGN,Allergan plc,20110824,FDA approves Botox for loss of bladder control ,WASHINGTON/NEW YORK U.S. drug regulators approved Allergan's Botox for treating a specific kind of overactive bladder on Wednesday  setting the stage for wider use of the popular wrinkle treatment in those with bladder problems.,topStory
AGN,Allergan plc,20110824,UPDATE 3-US FDA approves Botox for loss of bladder control , * $40 million annual sales by 2017 for this label-analyst,normal
AGN,Allergan plc,20110824,US FDA approves Botox for loss of bladder control , WASHINGTON  Aug 24 U.S. drug regulators approved Botox from Allergan  for treating a specific type of urinary incontinence on Wednesday.,normal
ALL,Allstate Corporation (The),20110824,UPDATE 1-Virginia quake losses less than $100 mln -Eqecat , NEW YORK  Aug 23 The earthquake that struck Virginia and rattled the Eastern United States on Tuesday caused less than $100 million in insured losses  catastrophe modeling company Eqecat said.,topStory
AEO,American Eagle Outfitters Inc,20110824,US SMALL/MIDCAPS-Early stocks' advance fades on growth concern , NEW YORK  Aug 24 Mid- and small-capitalization stocks edged higher on Wednesday as early gains evaporated on the heels of a two-day winning streak and uncertainty over Federal Reserve Chairman Ben Bernanke's speech on Friday.,topStory
AEO,American Eagle Outfitters Inc,20110824,American Eagle profit misses  margin worries persist ,BANGALORE American Eagle Outfitters Inc  forecast disappointing third-quarter earnings as higher product costs and discounts eat into margins  joining a slew of apparel retailers that have raised concerns over consumer spending during the key back-to-school selling season.,normal
AEO,American Eagle Outfitters Inc,20110824,UPDATE 3-American Eagle profit misses  margin worries persist , * Shares fall as much as 14 percent   (Adds conference call  analyst comments; updates share movement),normal
AEP,American Electric Power Company Inc,20110824,U.S. inspecting Virginia nuclear reactor after quake ,HOUSTON Dominion Resources workers were inspecting the North Anna nuclear power plant in Mineral  Virginia on Wednesday  a day after an earthquake centered near plant knocked both reactors offline  the company said.,topStory
AEP,American Electric Power Company Inc,20110824,UPDATE 1-US inspecting Virginia nuclear reactor after quake , * NRC has not decided whether to hold special inspection,normal
AXP,American Express Company,20110824,Obama talks to CEOs of GE  Amex about jobs proposal ,VINEYARD HAVEN  Massachusetts President Barack Obama had a conference call with the chief executives of General Electric  and American Express  to discuss a jobs package he will propose next month  a White House spokesman said on Wednesday.,topStory
AXP,American Express Company,20110824,Obama talks to CEOs of GE  Amex about jobs proposal , VINEYARD HAVEN  Mass.  Aug 24 U.S. President Barack Obama had a conference call with the chief executives of General Electric  and American Express  to discuss a jobs package he will propose next month  a White House spokesman said on Wednesday.,normal
AIG,American International Group Inc,20110824,Threat of Irene exposes New York's vulnerability ,NEW YORK In the annals of natural disasters  it doesn't get much worse than a major hurricane directly striking New York City and Long Island.,topStory
AIG,American International Group Inc,20110824,Threat of Irene exposes New York's vulnerability , NEW YORK  Aug 24 In the annals of natural disasters  it doesn't get much worse than a major hurricane directly striking New York City and Long Island.,normal
AU,AngloGold Ashanti Limited,20110824,UPDATE 2-S.Africa mine chamber black ownership 28 pct , * Government wants to strengthen penalty provisions   (Recasts  writes through),topStory
BUD,Anheuser-Busch Inbev SA,20110824,UPDATE 5-Heineken sinks as damp summer  economy hit profits , * H1 oper profit 1.26 bln euros vs expected 1.32 bln euros,topStory
BUD,Anheuser-Busch Inbev SA,20110824,Heineken sinks as damp summer  economy hit profits ,BRUSSELS Heineken NV  sent a shiver through Europe's brewing industry on Wednesday with a warning that weak consumer sentiment and a damp summer would wipe out profit growth this year.,normal
ASH,Ashland Global Holdings Inc,20110824,BRIEF-Moody's confirms Ashland's CFR with stable outlook ,August 24 Ashland:	   * Moody's confirms Ashland's CFR with stable outlook 	  ,topStory
AZN,Astrazeneca PLC,20110824,Hypertension study prompts new diagnosis guidance ,LONDON Taking repeated blood pressure readings over a 24-hour period rather than a one-off measurement in the clinic is the most cost-effective way of deciding who should be prescribed drugs for hypertension  according to a study published Wednesday.,topStory
T,AT&T Inc,20110824,TiVo results beat estimates  patents in focus ,NEW YORK TiVo Inc  a maker of digital video recorders  reported second-quarter results on Wednesday that beat expectations and said it is looking at ways to boost the value of its patents.,topStory
T,AT&T Inc,20110824,UPDATE 2-TiVo results beat estimates  patents in focus ,* Shares rise 9 pct after hours  (Adds outlook  byline  EPS estimate  details on Grande deal  byline),normal
T,AT&T Inc,20110824,US cable cos challenge plan for broadband subsidies , WASHINGTON  Aug 24 U.S. cable companies are warning regulators about a plan that would give traditional phone companies a first bite at government subsidies to build out broadband in underserved areas.,normal
T,AT&T Inc,20110824,Talent agency CAA mulls Silicon Valley office ,NEW YORK Creative Artists Agency  the largest talent representation firm in Hollywood  is considering opening an office in Silicon Valley to expand ties with the technology community  according to two people familiar with the firm's plans.,normal
T,AT&T Inc,20110824,Sprint to start selling iPhone 5 mid-October: report ,NEW YORK Sprint Nextel will start selling the next version of the Apple iPhone in mid-October  according to a report in the Wall Street Journal that cited unnamed sources.,normal
T,AT&T Inc,20110824,Verizon Wireless customers lose in court ,NEW YORK Reversing its view from a year ago  a federal appeals court said Verizon Wireless customers must resolve disputes over alleged fraudulent cellphone charges individually through arbitration rather than as a class.,normal
T,AT&T Inc,20110824,Verizon Wireless customers lose in court , * Plaintiffs said individual arbitrations unconscionable,normal
T,AT&T Inc,20110824,PRESS DIGEST - Financial Times - Aug 24 , Deals in the technology and telecoms industry have returned to pre-recession levels this year  thanks to a number of big acquisitions such as AT&T's $39 billion purchase of T-Mobile. http://www.ft.com/cms/s/2/1a0a4948-cd90-11e0-b267-00144feabdc0.html#axzz1ViM8qAfg,normal
T,AT&T Inc,20110824,RPT-US quake bolsters calls for public safety wireless network , * Quake rattles East Coast  disrupts cell phone service,normal
T,AT&T Inc,20110824,Quake bolsters calls for public safety wireless network ,WASHINGTON Disruption of cell phone service by a rare East Coast earthquake on Tuesday prompted renewed calls for Congress and regulators to provide a dedicated wireless network for emergency workers.,normal
AUO,AU Optronics Corp,20110824,HP sues AU Optronics over alleged LCD panel price ,Hewlett-Packard Co has filed a case in a U.S. court against AU Optronics  saying the Taiwanese company conspired to fix the prices of thin film liquid crystal display (LCD) panels  court documents showed.,topStory
AUO,AU Optronics Corp,20110824,UPDATE 1-HP sues AU Optronics over alleged LCD panel price fixing , Aug 24 Hewlett-Packard Co has filed a case in a U.S. court against AU Optronics   saying the Taiwanese company conspired to fix the prices of thin film liquid crystal display (LCD) panels  court documents showed.,normal
AUO,AU Optronics Corp,20110824,HP sues AU Optronics over alleged LCD panel price fixing , Aug 24 U.S. tech giant Hewlett-Packard Co  has filed a case against AU Optronics   saying the Taiwanese company conspired to fix the prices of thin film liquid crystal display (LCD) panels  court documents showed.,normal
BBD,Banco Bradesco Sa,20110824,UPDATE 3-Brazil defaults hit 17-month high; loan growth slows , * Commercial banks grappling with eroding asset quality  (Adds analysts' comments  context on trend throughout),topStory
BBDO,Banco Bradesco Sa,20110824,UPDATE 3-Brazil defaults hit 17-month high; loan growth slows , * Commercial banks grappling with eroding asset quality  (Adds analysts' comments  context on trend throughout),topStory
SAN,Banco Santander SA,20110824,ADR Report-Japan weighs on foreign shares on ratings move , NEW YORK  Aug 24 U.S.-traded shares of overseas companies fell on Wednesday  weighed down by Asian stocks as local markets slipped.,topStory
SAN,Banco Santander SA,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,normal
SAN,Banco Santander SA,20110824,TEXT-S&P removes from watch neg rtgs in 4 Ibercaja deals , (The following statement was released by the ratings agency),normal
SAN,Banco Santander SA,20110824,Spanish stocks - Factors to watch on Wednesday , MADRID  Aug 24 The following Spanish stocks may be affected by newspaper reports and other factors on Wednesday. Reuters has not verified the newspaper reports  and cannot vouch for their accuracy:,normal
BAC,Bank of America Corporation,20110824,Wall Street rises as investors flee gold; Apple falls late ,NEW YORK U.S. stocks posted strong gains for a second day on Wednesday as investors jumped back into beaten-down financial shares and backed away from safer assets like gold in volatile trading. | Video ,topStory
BAC,Bank of America Corporation,20110824,US STOCKS-Wall St rises as investors flee gold;Apple falls late , * Dow up 1.3 pct  S&P up 1.3 pct  Nasdaq up 0.9 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates with Apple's stock falling following late news that co-founder Steve Jobs resigns as CEO and adjusts stock indexes' settlement figures),normal
BAC,Bank of America Corporation,20110824,US STOCKS-Wall St up as investors flee gold;Apple CEO quits , * Dow up 1.3 pct  S&P up 1.3 pct  Nasdaq up 0.9 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates with Apple shares halted after bell  co-founder Steve Jobs resigns as CEO),normal
BAC,Bank of America Corporation,20110824,US STOCKS-Wall St up as investors flee gold;Apple CEO quits , * Dow up 1.3 pct  S&P up 1.3 pct  Nasdaq up 0.9 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates with Apple shares halted after bell  co-founder Steve Jobs resigns as CEO),normal
BAC,Bank of America Corporation,20110824,BofA shares rise as capital debate continues ,CHARLOTTE  North Carolina Bank of America Corp  shares rebounded on Wednesday with their second-largest price increase this month after analysts said the bank's capital needs were not as dire as some had feared. | Video ,normal
BAC,Bank of America Corporation,20110824,UPDATE 3-BofA shares rise as capital debate continues , * Shares close at $6.99  (Updates with closing share price and volume  adds story link  background details),normal
BAC,Bank of America Corporation,20110824,Analysis: Mortgage probe split puts banks in tactical bind ,WASHINGTON Large U.S. banks defending themselves against a mass of state and federal mortgage probes face a difficult tactical decision following New York state's exit from settlement talks on Tuesday.,normal
BAC,Bank of America Corporation,20110824,US STOCKS-Wall Street gains at gold's expense , * Dow up 1.3 pct  S&P up 1.3 pct  Nasdaq up 0.9 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
BAC,Bank of America Corporation,20110824,US STOCKS-Wall St rises but investors wary about Fed , * Dow up 0.6 pct  S&P up 0.6 pct  Nasdaq up 0.2 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to late afternoon; changes byline),normal
BAC,Bank of America Corporation,20110824,US STOCKS-Dow  S&P rise  but uncertainty makes trading choppy , * Dow up 0.2 pct  S&P up 0.3 pct  Nasdaq down 0.2 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to early afternoon),normal
BMO,Bank Of Montreal,20110824,CANADA STOCKS-TSX ekes out gain despite gold selloff , * Banks up 1.5 percent  gold miners off 3 percent  (Updates to close  adds details  quotes),topStory
BMO,Bank Of Montreal,20110824,CANADA STOCKS-Sliding golds drag TSX lower , * Gold miners plunge nearly 4 percent  banks up 0.6 percent  (Updates to afternoon),normal
BMO,Bank Of Montreal,20110824,CANADA STOCKS-TSX flat as weak golds outweigh stronger banks , * Seven of the 10 main sectors firmer  golds weigh  (Updates with details  commentary),normal
BMO,Bank Of Montreal,20110824,CANADA STOCKS-TSX may open lower on broad economic concerns , Aug 24 Toronto's main stock index looked set to open lower on Wednesday after Moody's downgraded Japan's sovereign debt and concerns over the health of the global economy kept investors sensitive to risk.,normal
BCS,Barclays PLC,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
BCS,Barclays PLC,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
BCS,Barclays PLC,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
BCS,Barclays PLC,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
BKS,Barnes & Noble Inc,20110824,Nebraska Book chain can seek bankruptcy plan OK ,NEW YORK Nebraska Book Co  whose 280 locations make it one of the largest U.S. college bookstore operators  won court approval for a vote on a bankruptcy plan to give control of the 96-year-old company to bondholders.,topStory
BKS,Barnes & Noble Inc,20110824,Nebraska Book chain can seek bankruptcy plan OK , NEW YORK  Aug 24 Nebraska Book Co  whose 280 locations make it one of the largest U.S. college bookstore operators  won court approval for a vote on a bankruptcy plan to give control of the 96-year-old company to bondholders.,normal
ABX,Barrick Gold Corporation,20110824,CANADA STOCKS-TSX ekes out gain despite gold selloff , * Banks up 1.5 percent  gold miners off 3 percent  (Updates to close  adds details  quotes),topStory
ABX,Barrick Gold Corporation,20110824,CANADA STOCKS-Sliding golds drag TSX lower , * Gold miners plunge nearly 4 percent  banks up 0.6 percent  (Updates to afternoon),normal
ABX,Barrick Gold Corporation,20110824,CANADA STOCKS-TSX flat as weak golds outweigh stronger banks , * Seven of the 10 main sectors firmer  golds weigh  (Updates with details  commentary),normal
BCE,BCE Inc,20110824,Canadian wireless startup takes maverick approach ,TORONTO When the Canadian government auctioned off wireless airwaves in 2008  most carriers had no interest in bidding for the so-called G band - "orphan" frequencies used nowhere else in the world.,topStory
BCE,BCE Inc,20110824,Canadian wireless startup takes maverick approach , * Cheap airwaves enable low-cost wireless service model,normal
BHE,Benchmark Electronics Inc,20110824,US SMALL/MIDCAPS-Early stocks' advance fades on growth concern , NEW YORK  Aug 24 Mid- and small-capitalization stocks edged higher on Wednesday as early gains evaporated on the heels of a two-day winning streak and uncertainty over Federal Reserve Chairman Ben Bernanke's speech on Friday.,topStory
BBY,Best Buy Co Inc,20110824,Insight: Facebook  LinkedIn threaten to slay Monster.com ,NEW YORK/BANGALORE Monster Worldwide isn't looking so monstrous lately.,topStory
BBY,Best Buy Co Inc,20110824,Insight: Facebook  LinkedIn threaten to slay Monster.com ,NEW YORK/BANGALORE Monster Worldwide isn't looking so monstrous lately.,normal
BBY,Best Buy Co Inc,20110824,INSIGHT-Facebook  LinkedIn threaten to slay Monster.com , * Monster shares keep sinking  company worth below $1 bln,normal
BBY,Best Buy Co Inc,20110824,Exclusive: Privacy lawsuit targets comScore ,SAN FRANCISCO/BOSTON Online data tracking service comScore Inc siphons confidential information including passwords  credit card numbers and Social Security numbers from unsuspecting users  according to a lawsuit filed on Tuesday.,normal
BHP,BHP Billiton Limited,20110824,PRESS DIGEST-Australian Business News - Aug 25 , SYDNEY  Aug 25    Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BHP,BHP Billiton Limited,20110824,UPDATE 1-Chileans strike against Pinera  mining not impacted , * Isolated clashes between police  protesters  (Adds details  protester quotes  color),normal
BHP,BHP Billiton Limited,20110824,BHP warns on rising costs as profits break records ,MELBOURNE/LONDON BHP Billiton Ltd/Plc   delivered a record second-half profit on Wednesday  driven by soaring prices for iron ore  allowing it to award a dividend hike on top of its hefty expansion plans.,normal
BHP,BHP Billiton Limited,20110824,UPDATE 4-BHP warns on rising costs as profits break records , * Shares up 1.9 percent vs 2.3 percent sector rise   (Updates with quotes  details  shares),normal
BHP,BHP Billiton Limited,20110824,Chileans strike against Pinera  mining not impacted , SANTIAGO  Aug 24 Protesters barricaded roads and burned tires in parts of Chile's capital on Wednesday as a two-day national strike began against unpopular President Sebastian Pinera  but mining in the world's top copper producer was not disrupted.,normal
BHP,BHP Billiton Limited,20110824,BHP warns on costs as H2 profits break records ,MELBOURNE/LONDON BHP Billiton   delivered a record second-half profit on Wednesday  driven by soaring prices for iron ore  allowing it to award a dividend hike on top of its hefty expansion plans.,normal
BHP,BHP Billiton Limited,20110824,BHP H2 profit misses forecasts  dividend appeases ,MELBOURNE BHP Billiton  reported a record second-half profit driven largely by iron ore  but just missed market forecasts and sounded a warning over costs and longer-term demand.,normal
BHP,BHP Billiton Limited,20110824,BHP says sticks with long-term contracts on iron ore supply , SYDNEY  Aug 24 BHP Billiton    the world's no. 3 iron ore miner  said on Wednesday it was linking the majority of its sales to monthly average spot prices but continued to negotiate long-term contracts for supply volumes.,normal
BHP,BHP Billiton Limited,20110824,BHP: impact of labour unrest on Queensland coal output modest , SYDNEY  Aug 24 The impact of labour unrest on BHP Billiton's   Queensland coal operations has been modest  chief executive Marius Kloppers said on Wednesday.	 	 	  (Reporting by Jim Regan; Editing by Ed Davies),normal
BHP,BHP Billiton Limited,20110824,UPDATE 1-BHP H2 profit misses forecasts  dividend appeases , MELBOURNE  Aug 24 BHP Billiton    reported a record second-half profit driven largely by iron ore  but just missed market forecasts and sounded a warning over costs and longer-term demand.,normal
BBL,BHP Billiton plc,20110824,PRESS DIGEST-Australian Business News - Aug 25 , SYDNEY  Aug 25    Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
BBL,BHP Billiton plc,20110824,UPDATE 1-Chileans strike against Pinera  mining not impacted , * Isolated clashes between police  protesters  (Adds details  protester quotes  color),normal
BBL,BHP Billiton plc,20110824,BHP warns on rising costs as profits break records ,MELBOURNE/LONDON BHP Billiton Ltd/Plc   delivered a record second-half profit on Wednesday  driven by soaring prices for iron ore  allowing it to award a dividend hike on top of its hefty expansion plans.,normal
BBL,BHP Billiton plc,20110824,UPDATE 4-BHP warns on rising costs as profits break records , * Shares up 1.9 percent vs 2.3 percent sector rise   (Updates with quotes  details  shares),normal
BBL,BHP Billiton plc,20110824,Chileans strike against Pinera  mining not impacted , SANTIAGO  Aug 24 Protesters barricaded roads and burned tires in parts of Chile's capital on Wednesday as a two-day national strike began against unpopular President Sebastian Pinera  but mining in the world's top copper producer was not disrupted.,normal
BBL,BHP Billiton plc,20110824,BHP warns on costs as H2 profits break records ,MELBOURNE/LONDON BHP Billiton   delivered a record second-half profit on Wednesday  driven by soaring prices for iron ore  allowing it to award a dividend hike on top of its hefty expansion plans.,normal
BBL,BHP Billiton plc,20110824,BHP H2 profit misses forecasts  dividend appeases ,MELBOURNE BHP Billiton  reported a record second-half profit driven largely by iron ore  but just missed market forecasts and sounded a warning over costs and longer-term demand.,normal
BBL,BHP Billiton plc,20110824,BHP says sticks with long-term contracts on iron ore supply , SYDNEY  Aug 24 BHP Billiton    the world's no. 3 iron ore miner  said on Wednesday it was linking the majority of its sales to monthly average spot prices but continued to negotiate long-term contracts for supply volumes.,normal
BBL,BHP Billiton plc,20110824,BHP: impact of labour unrest on Queensland coal output modest , SYDNEY  Aug 24 The impact of labour unrest on BHP Billiton's   Queensland coal operations has been modest  chief executive Marius Kloppers said on Wednesday.	 	 	  (Reporting by Jim Regan; Editing by Ed Davies),normal
BBL,BHP Billiton plc,20110824,UPDATE 1-BHP H2 profit misses forecasts  dividend appeases , MELBOURNE  Aug 24 BHP Billiton    reported a record second-half profit driven largely by iron ore  but just missed market forecasts and sounded a warning over costs and longer-term demand.,normal
BH,Biglari Holdings Inc,20110824,Biglari seeks changes to Cracker Barrel reporting norms ,Cracker Barrel Old Country Store Inc's  largest shareholder called for management to publicly disclose operating information for both its businesses  after rejecting the company's offer to view this privately.,topStory
BH,Biglari Holdings Inc,20110824,UPDATE 2-Biglari seeks changes to Cracker Barrel reporting norms , * Investor seeks separate reporting info for both restaurants and retail,normal
BLK,BlackRock Inc,20110824,China grants QFII status to BlackRock  Amundi , SHANGHAI  Aug 24 BlackRock   the world's largest money manager  and Amundi  the asset management venture between Credit Agricole and Societe Generale    have been given the go-ahead by China's securities regulator to invest in China's capital markets through their subsidiaries.,topStory
BA,Boeing Company (The),20110824,Embraer:At least 12-month wait for Delta jet order , SAO PAULO  Aug 24 Brazilian aircraft maker Embraer  does not expect Delta Air Lines Inc  to make a decision about a regional jet order for at least 12 months  the company's news office said on Wednesday  citing Vice President Paulo Cesar de Souza e Silva.,topStory
BA,Boeing Company (The),20110824,Embraer:At least 12-month wait for Delta jet order , SAO PAULO  Aug 24 Brazilian aircraft maker Embraer  does not expect Delta Air Lines Inc  to make a decision about a regional jet order for at least 12 months  the company's news office said on Wednesday  citing Vice President Paulo Cesar de Souza e Silva.,normal
BA,Boeing Company (The),20110824,UPDATE 4-Bombardier executive's exit may set back C-Series , * Potential customer Delta seen prudent in soft US economy,normal
BA,Boeing Company (The),20110824,US STOCKS-Futures off after rally  durable goods on tap , * Bank of America off premarket after hitting 2-1/2-yr low,normal
BP,BP plc,20110824,US Cash Products-Midwest gasoline markets pare gains , HOUSTON  Aug 24 Midwest gasoline differentials slipped on  Wednesday  paring recent gains  as the September RBOB gasoline futures contract on the New York Mercantile Exchange (NYMEX) lost some of its premium against the October contract  traders said.,topStory
BP,BP plc,20110824,US Cash Products-Midwest gasoline markets pare gains , HOUSTON  Aug 24 Midwest gasoline differentials slipped Wednesday  paring recent gains  as the September RBOB gasoline futures contract on the New York Mercantile Exchange lost some of its premium against the October contract  traders said.,normal
BP,BP plc,20110824,UPDATE 1-UK deputy PM wants Lockerbie bomber jailed , * U.S. politicians want him extradited from Tripoli   (Adds comment from father of victim  Scottish council),normal
BP,BP plc,20110824,UK deputy PM wants Lockerbie bomber back in jail , LONDON  Aug 24 British Deputy Prime Minister Nick Clegg said on Wednesday he would like to see convicted Lockerbie bomber Abdel Basset al-Megrahi put back in jail after the overthow of Libyan leader Muammar Gaddafi.,normal
BP,BP plc,20110824,TNK-BP says to pay $1.9 bln in H1 2011 dividend , MOSCOW  Aug 24 The board of TNK-BP Holding   the traded entity of the Russian oil company half owned by BP   recommended a first-half 2011 dividend of 3.41 roubles per share  or around $1.9 billion in total.,normal
BTI,British American Tobacco plc,20110824,Big tobacco to take Australia packaging fight to higher court ,CANBERRA Cigarette giant British American Tobacco (BAT) plans to appeal an Australian court ruling that handed the tobacco industry a setback in its campaign against the world's first ban on branded cigarette packaging.,topStory
BTI,British American Tobacco plc,20110824,Big tobacco to take Australia packaging fight to higher court , CANBERRA  Aug 24 Cigarette giant British American Tobacco (BAT) plans to appeal an Australian court ruling that handed the tobacco industry a setback in its campaign against the world's first ban on branded cigarette packaging.,normal
BPL,Buckeye Partners LP,20110824,UPDATE 3-Irene shuts Bahamas oil storage  U.S. refiners prepare , * East Coast refiners initiating storm preparations  (Updates with Colonial pipeline),topStory
BPL,Buckeye Partners LP,20110824,Factbox:  East Coast energy facilities prepare for Irene ,Oil terminals and refineries from the Bahamas to New York were bracing for Hurricane Irene on Wednesday. | Video ,normal
BPL,Buckeye Partners LP,20110824,FACTBOX-U.S. East Coast energy facilities prepare for Irene , Aug 24 Oil terminals and refineries from the Bahamas to New York were bracing for Hurricane Irene on Wednesday.,normal
BPL,Buckeye Partners LP,20110824,UPDATE 2-Vopak sees strong demand for oil  chemical storage , * H1 adj EBIT 217.9 mln euros vs Rtrs poll of 220 mln euros,normal
CAE,CAE Inc,20110824,UPDATE 4-Bombardier executive's exit may set back C-Series , * Potential customer Delta seen prudent in soft US economy,topStory
