ARAY,Accuray Incorporated,20111116,UPDATE 1-Accuray to cut 5 pct jobs to reduce cost ,Nov 16 Medical device maker Accuray Inc  said it would cut about 5 percent of its workforce  or 51 jobs  to reduce cost following its acquisition of smaller rival TomoTherapy earlier this year.,topStory
C,Citigroup Inc,20111116,UPDATE 2-Woori Bank says to sue Citi  Merrill  RBS over derivatives losses ,* No timeframe given for suit; location could be New York,normal
CDE,Coeur Mining Inc,20111116,Silver price should rise: Coeur CEO ,The prices of silver and gold should continue rising as economic uncertainty persists  according to the chief executive of Coeur d'Alene Mines Corp   the biggest U.S. silver miner.,topStory
CFX,Colfax Corporation,20111116,UPDATE 1-Melrose sales rise on North American demand ,Nov 16 British manufacturing buyout firm Melrose Plc  which recently walked away from a bid for toolmaker Charter International  said its sales for the third quarter rose 12 percent on higher orders.,topStory
COP,ConocoPhillips,20111116,Deals of the day -- mergers and acquisitions ,Nov 16 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Wednesday:,topStory
DAL,Delta Air Lines Inc,20111116,Delta defeats ex-Northwest attendants' equal pay bid ,* Delta accused of paying more to legacy flight attendants,topStory
DAL,Delta Air Lines Inc,20111116,Delta Air alerts consumers to fraudulent emails ,* Delta says credit cards not charged  no data compromised,normal
DB,Deutsche Bank AG,20111116,New Issue-Statoil ASA sells $1.75 bln of notes in 3 parts ,Nov 16 Statoil ASA on Wednesday sold $1.75 billion of three-part senior unsecured notes  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  Deutsche Bank  and JP Morgan were the joint bookrunning managers for the sale. BORROWER: STATOIL ASA TRANCHE 1 AMT $650 MLN      COUPON 1.80 PCT      MATURITY  11/23/2016 TYPE SR NTS       ISS PRICE 99.838     FIRST PAY  5/23/2012 MOODY'S Aa2       YIELD 1.834 PCT      SETTLEMENT 11/23/2011 S&P AA-MINUS      SPREAD 95 BPS   ,topStory
RDY,Dr Reddy&#39;s Laboratories Ltd,20111116,UPDATE 1-Fujifilm  Kyowa Kirin say to tie-up on bio-meds ,* To focus on substances whose original patents have expired   (Recasts on company confirmation  share price),topStory
SSP,EW Scripps Company (The),20111116,ConnecTV strikes deal with 10 broadcast groups ,LOS ANGELES (TheWrap.com) - Start-up company ConnecTV  which will track television viewers' watching habits and connect them to other viewers via social media  has struck a deal with 10 TV station groups that collectively cover 76 million U.S. households.  the company announced Tuesday.,topStory
ENB,Enbridge Inc,20111116,Canada pipeline firms sprint to end U.S. oil glut ,HOUSTON/CALGARY Enbridge Inc and TransCanada Corp have raced forward with new pipeline plans in the fierce battle to unclog a year-long U.S. oil bottleneck  which could quickly end an unprecedented distortion in crude markets.,topStory
ENB,Enbridge Inc,20111116,UPDATE 1-Seaway's goal is to move crude from Cushing ,NEW YORK  Nov 16 The reversal of the Seaway pipeline to carry crude from the well-stocked U.S. Midwest to the Gulf Coast will add volumes that shippers had committed to another project  a spokesman for Enterprise Products said on Wednesday.,normal
ENB,Enbridge Inc,20111116,NYMEX-U.S. crude ends above $102 on pipeline plan ,* Enbridge to reverse Seaway crude pipeline in Q2 2012     * Brent/U.S. crude spread drops below $9/bbl intraday     * Coming up: EIA natgas data 10:30 a.m. EST Thursday     NEW YORK  Nov 16 U.S. crude futures jumped sharply on Wednesday on news of plans to reverse the Seaway crude oil pipeline next year  a move expected to help relieve an oil glut at the Cushing  Oklahoma hub.     Enbridge Inc and Enterprise Products Partners said they plan to reverse their 350 000-barrels-per-day S,normal
ENB,Enbridge Inc,20111116,WRAPUP 4-Canada pipeline firms sprint to end US oil glut ,* Enbridge buys Conoco stake for $1.15 billion     * Brent/WTI spread narrows $3 as traders bet glut to end     * Enbridge will not go forward with Wrangler pipeline      By Anna Driver and Scott Haggett     HOUSTON/CALGARY  Nov 16 Enbridge Inc  and TransCanada Corp have raced forward with new pipeline plans in the fierce battle to unclog a year-long U.S. oil bottleneck  which could quickly end an unprecedented distortion in crude markets.     After purchasing ConocoPhillips' stake i,normal
ENB,Enbridge Inc,20111116,Enterprise  Enbridge look to Port Arthur access ,NEW YORK  Nov 16 Enterprise Partners and Enbridge plan as part of the reversal of the Seaway pipeline project to build an 85-mile (135-km) pipeline from its ECHO terminal in Houston to refineries in Port Arthur  a spokesman for Enterprise said on Wednesday.     The pipeline's open season to garner shipper commitment will happen early in 2012.     "It will allow heavy Canadian crude access to Port Arthur refineries " said Rick Rainey  spokesman for Enterprise.,normal
ENB,Enbridge Inc,20111116,Seaway oil pipe to be reversed after Enbridge deal ,Enbridge Inc  surged past its competitors in the race to send large volumes of oil locked up in the U.S. midcontinent to the giant Gulf Coast refining hub after the $1.15 billion acquisition of ConocoPhillip's  Seaway pipeline.,normal
EPD,Enterprise Products Partners LP,20111116,Seaway can handle crude committed to Wrangler: Enterprise ,NEW YORK  Nov 16 The reversal of the Seaway pipeline to carry crude from the Midwest to the Gulf Coast will allow the line to handle volumes committed to the proposed Wrangler pipeline  a spokesman for Enterprise Products said on Wednesday.,topStory
XOM,Exxon Mobil Corporation,20111116,Deals of the day -- mergers and acquisitions ,Nov 16 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Wednesday:,topStory
XOM,Exxon Mobil Corporation,20111116,UPDATE 2-Exxon Mobil says HLS pipeline shut indefinitely ,HOUSTON  Nov 16 Exxon Mobil Pipeline Co has shut indefinitely its Southwest System Pipeline  a carrier of Heavy Louisiana Sweet crude oil  after the government refused to ease repair requirements  a spokeswoman said Wednesday.,normal
XOM,Exxon Mobil Corporation,20111116,Workers plan strike at Exxon's Belgium refinery ,BRUSSELS  Nov 16 ExxonMobil will have to start shutting down its Antwerp refinery in Belgium on Friday if it does not reach an agreement with workers over pay  a spokesman said on Wednesday.,normal
XOM,Exxon Mobil Corporation,20111116,Exxon looking at North American LNG exports -exec ,Nov 16 Exxon Mobil Corp is actively assessing options to export liquefied natural gas from North America  where it is a top producer of the fuel.,normal
XOM,Exxon Mobil Corporation,20111116,Azeri oil company buys Exxon Swiss unit ,BAKU  Nov 16 ExxonMobil  has agreed to sell its Swiss fuel supply business  Esso Schweiz  to Azeri national oil company SOCAR  giving the Caspian energy power access to end-users in Europe.,normal
XOM,Exxon Mobil Corporation,20111116,Exxon Mobil says HLS pipeline shut indefinitely ,HOUSTON  Nov 16 Exxon Mobil Pipeline Co has shut its Southwest System Pipeline  carrier of Heavy Louisiana Sweet crude oil  indefinitely  a spokeswoman said Wednesday.     Shutdown of the 12-inch line effective Oct. 31 came after the U.S. government refused a request to modify repair criteria for the segment from South Bend to Krotz Springs  Louisiana  a spokeswoman said by email.     Exxon Mobil made alternative arrangements available to shippers  the spokeswoman said.,normal
XOM,Exxon Mobil Corporation,20111116,UPDATE 2-Iraq says to act against Exxon over Kurd deal ,BAGHDAD  Nov 16 Iraq's government said it would move to end a major contract with Exxon Mobil  after the U.S. oil giant signed a deal with semi-autonomous Kurdistan to explore fields there  which Baghdad on Wednesday called a violation of the law.,normal
GEK,General Electric Capital Corporation,20111116,Newsmaker: "Italian Prussian" Monti sworn in as premier ,ROME Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,topStory
GEK,General Electric Capital Corporation,20111116,NEWSMAKER-"Italian Prussian" Monti sworn in as premier ,ROME  Nov 16 Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,normal
GEK,General Electric Capital Corporation,20111116,Israeli water tech firm plans dozen launches ,TEL AVIV  Nov 16 Israeli water technology incubator Kinrot Ventures is looking to use its partnership with General Electric to introduce a dozen innovations into the global market in the coming year  its CEO said on Wednesday.,normal
GE,General Electric Company,20111116,Newsmaker: "Italian Prussian" Monti sworn in as premier ,ROME Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,topStory
GE,General Electric Company,20111116,NEWSMAKER-"Italian Prussian" Monti sworn in as premier ,ROME  Nov 16 Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,normal
GE,General Electric Company,20111116,Israeli water tech firm plans dozen launches ,TEL AVIV  Nov 16 Israeli water technology incubator Kinrot Ventures is looking to use its partnership with General Electric to introduce a dozen innovations into the global market in the coming year  its CEO said on Wednesday.,normal
GS,Goldman Sachs Group Inc (The),20111116,Research in Motion shares climb on Goldman upgrade ,TORONTO Shares of Research in Motion rose 2.5 percent in trade before the morning bell on Wednesday  after brokerage firm Goldman Sachs raised its rating on the shares of the BlackBerry maker.,topStory
GS,Goldman Sachs Group Inc (The),20111116,UPDATE 1-Research in Motion shares climb on Goldman upgrade ,TORONTO  Nov 16 Shares of Research in Motion rose 2.5 percent in trade before the morning bell on Wednesday  after brokerage firm Goldman Sachs raised its rating on the shares of the BlackBerry maker.,normal
GS,Goldman Sachs Group Inc (The),20111116,CORRECTED-UPDATE 2-BofA sale highlights end of era for foreign  China banks ,BEIJING/HONG KONG  Nov 15 Bank of America's sale of most of its shares in China Construction Bank earned the U.S. lender a tidy profit  but also underlined that BofA  like other foreign financial groups  found scant strategic gain in the Chinese stake it built.,normal
HLF,Herbalife LTD,20111116,FUNDVIEW-Scout fund bets on US rebound  eyes cyclical stocks ,Nov 16 The U.S. economy will rebound despite recent hiccups and it is a good time to put money in discretionary stocks  but stay away from companies that largely rely on business from Europe  said the lead portfolio manager at Scout Mid Cap Fund.,topStory
HON,Honeywell International Inc,20111116,Newsmaker: "Italian Prussian" Monti sworn in as premier ,ROME Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,topStory
HON,Honeywell International Inc,20111116,NEWSMAKER-"Italian Prussian" Monti sworn in as premier ,ROME  Nov 16 Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,normal
HSBC,HSBC Holdings plc,20111116,Forward Calendar - U.S. corporate bond new issues ,Nov 16 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources: *Denotes 144a private placement debt offering. HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/14/2011                        COMPANY           AMT       MAT/DEBT  RTGS           MGRS               PRICED Amex Credit       $1.0 bln   5-yr     A2/BBB+/A+     CITI/GS/UBS       ,topStory
HSBC,HSBC Holdings plc,20111116,New Issue-IFC prices $3.0 bln 2016 bond ,Borrower                International Finance Corporation,normal
HSEA,HSBC Holdings plc,20111116,Forward Calendar - U.S. corporate bond new issues ,Nov 16 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources: *Denotes 144a private placement debt offering. HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/14/2011                        COMPANY           AMT       MAT/DEBT  RTGS           MGRS               PRICED Amex Credit       $1.0 bln   5-yr     A2/BBB+/A+     CITI/GS/UBS       ,topStory
HSEA,HSBC Holdings plc,20111116,New Issue-IFC prices $3.0 bln 2016 bond ,Borrower                International Finance Corporation,normal
HSEB,HSBC Holdings plc,20111116,Forward Calendar - U.S. corporate bond new issues ,Nov 16 The following are lists of upcoming high-grade and high-yield corporate bond offerings in the United States. The information was gathered from Thomson Reuters U.S. new issues team  and other market sources: *Denotes 144a private placement debt offering. HIGH-GRADE BOND SALES EXPECTED FOR WEEK OF 11/14/2011                        COMPANY           AMT       MAT/DEBT  RTGS           MGRS               PRICED Amex Credit       $1.0 bln   5-yr     A2/BBB+/A+     CITI/GS/UBS       ,topStory
HSEB,HSBC Holdings plc,20111116,New Issue-IFC prices $3.0 bln 2016 bond ,Borrower                International Finance Corporation,normal
JPM,J P Morgan Chase & Co,20111116,New Issue-Statoil ASA sells $1.75 bln of notes in 3 parts ,Nov 16 Statoil ASA on Wednesday sold $1.75 billion of three-part senior unsecured notes  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  Deutsche Bank  and JP Morgan were the joint bookrunning managers for the sale. BORROWER: STATOIL ASA TRANCHE 1 AMT $650 MLN      COUPON 1.80 PCT      MATURITY  11/23/2016 TYPE SR NTS       ISS PRICE 99.838     FIRST PAY  5/23/2012 MOODY'S Aa2       YIELD 1.834 PCT      SETTLEMENT 11/23/2011 S&P AA-MINUS      SPREAD 95 BPS   ,topStory
JPM,J P Morgan Chase & Co,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,normal
JPM,J P Morgan Chase & Co,20111116,New Issue-ADCB Islamic Finance prices $500 mln 2016 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 317.9 bp,normal
JPM,J P Morgan Chase & Co,20111116,New Issue-IFC prices $3.0 bln 2016 bond ,Borrower                International Finance Corporation,normal
JPM,J P Morgan Chase & Co,20111116,Gazprom plans dual-tranche dollar bond - source ,Nov 16 (IFR) - Gazprom  the Russian oil and gas firm  has issued guidance level for a planned dual-tranche US dollar deal  according to a source.,normal
JPM,J P Morgan Chase & Co,20111116,JPMorgan may issue mortgage securities backed by bad loans - WSJ ,Nov 16 JPMorgan Chase & Co plans next year to issue U.S. commercial mortgage securities backed by defaulted loans  the Wall Street Journal said  citing people familiar with the matter.,normal
JPM,J P Morgan Chase & Co,20111116,UPDATE 1-Clovis Oncology IPO prices at bottom of range ,* Sells 10 mln units vs 9.3 mln offered in Oct -underwriter,normal
JNJ,Johnson & Johnson,20111116,Quick review of Eliquis could lift Bristol  Pfizer ,* Analysts: good chance for speedy FDA review of clot drug,topStory
PHG,Koninklijke Philips NV,20111116,French and Benelux stocks-Factors to watch on Nov 16 ,PARIS  Nov 16 Below are company-related news and stories from French and Benelux media which could have an impact on the region's markets or individual stocks.,topStory
PHG,Koninklijke Philips NV,20111116,Philips TV sale to TPV can be cancelled-paper ,AMSTERDAM  Nov 16 Philips Electronics'  planned sale of its loss-making television business to a joint venture with Hong Kong-listed TPV Technology Ltd may be cancelled if the operations' performance "materially" worsens  a Dutch newspaper said on Wednesday.,normal
LAZ,Lazard Ltd,20111116,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  November 16  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	    ,topStory
LMT,Lockheed Martin Corporation,20111116,Canada worried by reports of F-35 fighter delays ,OTTAWA  Nov 16 Canada is worried by reports that delivery of Lockheed Martin Corp's F-35 fighter jets could be delayed and is talking to the manufacturer  Defence Minister Peter MacKay said on Wednesday.,topStory
MDP,Meredith Corporation,20111116,ConnecTV strikes deal with 10 broadcast groups ,LOS ANGELES (TheWrap.com) - Start-up company ConnecTV  which will track television viewers' watching habits and connect them to other viewers via social media  has struck a deal with 10 TV station groups that collectively cover 76 million U.S. households.  the company announced Tuesday.,topStory
MCO,Moody&#39;s Corporation,20111116,New Issue-ADCB Islamic Finance prices $500 mln 2016 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 317.9 bp,topStory
MCO,Moody&#39;s Corporation,20111116,New Issue-African Dev Bank adds $250 mln in notes ,Nov 16 African Development Bank on Wednesday added $250 million of global notes  said IFR  a Thomson Reuters service.     Credit Suisse was the sole bookrunning manager for the sale. BORROWER: AFRICAN DEVELOPMENT BANK TRANCHE 1 AMT $250 MLN      COUPON 1.25 PCT      MATURITY    9/2/2016 TYPE NTS          ISS PRICE 100.54     FIRST PAY   3/2/2012 MOODY'S Aaa       YIELD 1.134 PCT      SETTLEMENT 11/17/2011 S&P TRIPLE-A      SPREAD MS-11 BPS     PAY FREQ SEMI-ANNUAL FITCH TRIPLE-A     ,normal
MCO,Moody&#39;s Corporation,20111116,New Issue-IFC prices $3.0 bln 2016 bond ,Borrower                International Finance Corporation,normal
MCO,Moody&#39;s Corporation,20111116,New Issue-Canada Housing prices dual tranche deal-Leads ,Underlying govt bond    Over the 3.25 pct June 01  2021 CDOR,normal
MCO,Moody&#39;s Corporation,20111116,BRIEF-Moody's comments on Hynix pricing guidance and impact on SKT's ratings ,* Moody's comments on Hynix pricing guidance and impact on SKT's ratings,normal
MCO,Moody&#39;s Corporation,20111116,BRIEF-Moody's rates CFE's proposed local notes ,Nov 16 CFE: * Moody's rates CFE's proposed local notes ,normal
MCO,Moody&#39;s Corporation,20111116,BRIEF-Moody's assigns first-time Ba3 / A3.mx ratings to Financiera Bepensa ,* Moody's assigns first-time Ba3 / A3.mx ratings to Financiera Bepensa,normal
MS,Morgan Stanley,20111116,ON THE MOVE: Robert Baird hires advisers in western U.S. ,Nov 16 Robert W. Baird & Co said on Wednesday it hired seven new advisers to help expand its presence in states including Colorado and California.,topStory
MS,Morgan Stanley,20111116,UPDATE 3-Morgan Stanley paying $3.3 mln to settle fee case ,* SEC accused MS of arranging advice that was not provided,normal
MS,Morgan Stanley,20111116,Telefonica CFO says does not plan to cut dividend ,BARCELONA  Spain  Nov 16 Spanish mobile phone giant Telefonica is working to cut costs and stabilise the business in its domestic market in a bid to protect free cash flow and maintain its dividend  its finance director said on Wednesday.,normal
MS,Morgan Stanley,20111116,Peru Volcan shares up 9 pct on inclusion in index ,LIMA  Nov 16 Shares of Peruvian miner Volcan  rose more than 9 percent to 3.01 soles on Wednesday after Morgan Stanley decided to include the stock in its MSCI Peru index at the end of this month.   ($1 = 2.7 soles)   (Reporting by Ursula Scollot),normal
MS,Morgan Stanley,20111116,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  November 16  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	    ,normal
NMR,Nomura Holdings Inc ADR,20111116,Nomura starts European jobs cull -sources ,LONDON  Nov 16 Japan's Nomura Holdings  has started to axe bankers in Europe as part of its plan to save $1.2 billion in annual costs  which is expected to see 700 jobs go.,topStory
JWN,Nordstrom Inc,20111116,Hugo Boss confident about holidays  eyes U.S. stores ,NEW YORK German fashion house Hugo Boss AG  expects good business in the United States and Europe this holiday season  despite lingering U.S. economic uncertainty and a eurozone crisis that is sapping consumer confidence.,topStory
JWN,Nordstrom Inc,20111116,UPDATE 2-Hugo Boss confident about holidays  eyes US stores ,NEW YORK  Nov 16 German fashion house Hugo Boss AG expects good business in the United States and Europe this holiday season  despite lingering U.S. economic uncertainty and a eurozone crisis that is sapping consumer confidence.,normal
BTU,Peabody Energy Corporation,20111116,Deals of the day -- mergers and acquisitions ,Nov 16 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Wednesday:,topStory
BTU,Peabody Energy Corporation,20111116,Peabody to take full control of Australia's Macarthur Coal ,MELBOURNE Peabody Energy  has acquired 90 percent of its Australian takeover target  Macarthur Coal   allowing the U.S. coal miner to compulsorily buy the remaining shares and increase its offer to A$4.9 billion ($4.98 billion).,normal
BTU,Peabody Energy Corporation,20111116,UPDATE 1-Peabody to take full control of Australia's Macarthur Coal ,MELBOURNE  Nov 16 Peabody Energy  has acquired 90 percent of its Australian takeover target  Macarthur Coal  allowing the U.S. coal miner to compulsorily buy the remaining shares and increase its offer to A$4.9 billion ($4.98 billion).,normal
BTU,Peabody Energy Corporation,20111116,Peabody to take full control of Australia's Macarthur Coal ,MELBOURNE  Nov 16 Peabody Energy  has acquired 90 percent of its Australian takeover target  Macarthur Coal  clearing the way for the U.S. coal miner to compulsorily buy the remaining shares and increase its offer to A$4.9 billion ($4.98 billion).,normal
PFE,Pfizer Inc,20111116,FDA panel backs Pfizer vaccine for adults ,SILVER SPRING  Maryland Pfizer Inc won expert backing for using its blockbuster vaccine in adults to fight pneumonia  meningitis and other diseases caused by pneumococcus bacteria.,topStory
PFE,Pfizer Inc,20111116,UPDATE 2-U.S. FDA panel backs Pfizer's vaccine for adults ,SILVER SPRING  Md.  Nov 16 Pfizer Inc  won expert backing for using its blockbuster vaccine in adults to fight pneumonia  meningitis and other diseases caused by pneumococcus bacteria.,normal
PFE,Pfizer Inc,20111116,Quick review of Eliquis could lift Bristol  Pfizer ,* Analysts: good chance for speedy FDA review of clot drug,normal
PKX,POSCO,20111116,Peabody to take full control of Australia's Macarthur Coal ,MELBOURNE Peabody Energy  has acquired 90 percent of its Australian takeover target  Macarthur Coal   allowing the U.S. coal miner to compulsorily buy the remaining shares and increase its offer to A$4.9 billion ($4.98 billion).,topStory
PKX,POSCO,20111116,UPDATE 1-Peabody to take full control of Australia's Macarthur Coal ,MELBOURNE  Nov 16 Peabody Energy  has acquired 90 percent of its Australian takeover target  Macarthur Coal  allowing the U.S. coal miner to compulsorily buy the remaining shares and increase its offer to A$4.9 billion ($4.98 billion).,normal
RBS,Royal Bank Scotland plc (The),20111116,MF Global customers report offers for frozen cash ,CHICAGO  Nov 16 The bankruptcy of MF Global Holdings Ltd. has spawned a new market for companies looking to buy the claims of farmers and investors whose cash has been frozen at the commodities brokerage for more than two weeks.,topStory
RBS,Royal Bank Scotland plc (The),20111116,MOVES-Citigroup  Markel International ,Nov 16 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
RBS,Royal Bank Scotland plc (The),20111116,UPDATE 2-Woori Bank says to sue Citi  Merrill  RBS over derivatives losses ,* No timeframe given for suit; location could be New York,normal
RBS,Royal Bank Scotland plc (The),20111116,Woori Bank says preparing to sue Citi  Merrill  RBS over investment ,SEOUL  Nov 16 South Korea's Woori Bank is planning to lodge a lawsuit against Citigroup  Bank of America Merrill Lynch and Royal Bank of Scotland  related to over 1 trillion won ($888 million) in losses on its 2005 derivatives investments  a company spokesman said.,normal
SBH,Sally Beauty Holdings Inc,20111116,UPDATE 1-Sally Beauty Q4 beats estimates ,Nov 16 Sally Beauty Holdings Inc  posted a quarterly profit that beat Wall Street expectations for the seventh straight quarter  helped by improved gross margins and better sales at its Beauty Systems business.	     The company distributes professional beauty supplies to retail consumers and salon professionals under two segments -- Sally Beauty Supply and Beauty Systems.	 	  KEY POINTS:     Q4 2011      I/B/E/S         Q4 2010      Revenue     $837.2 mln   $826.5 mln      $747.8 mln,topStory
SEMG,Semgroup Corporation,20111116,Plains All American urges SemGroup to defer unit IPO ,Plains All American   which made an unsolicited $1 billion bid for rival SemGroup  last month  urged Semgroup to defer the IPO of a master limited partnership unit.,topStory
SEMG,Semgroup Corporation,20111116,UPDATE 2-Plains All American urges SemGroup to defer unit IPO ,* Says planned IPO may reduce SemGroup shareholders' value,normal
SKM,SK Telecom Co Ltd,20111116,BRIEF-Moody's comments on Hynix pricing guidance and impact on SKT's ratings ,* Moody's comments on Hynix pricing guidance and impact on SKT's ratings,topStory
SNE,Sony Corp Ord,20111116,Google to unveil online music download store: report ,Google Inc is expected to unveil on Wednesday an online music download store featuring songs from three major music companies  the Wall Street Journal reported  citing people familiar with the matter.,topStory
LUV,Southwest Airlines Company,20111116,TLC to launch reality show focused on Southwest Airlines ,LOS ANGELES (TheWrap.com) - Tossing off lesbian kissers  loose-trousered rock stars and corpulent movie directors from its jet planes recently  Southwest Airlines has hardly shied away from publicity.,topStory
STO,Statoil ASA,20111116,New Issue-Statoil ASA sells $1.75 bln of notes in 3 parts ,Nov 16 Statoil ASA on Wednesday sold $1.75 billion of three-part senior unsecured notes  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch  Deutsche Bank  and JP Morgan were the joint bookrunning managers for the sale. BORROWER: STATOIL ASA TRANCHE 1 AMT $650 MLN      COUPON 1.80 PCT      MATURITY  11/23/2016 TYPE SR NTS       ISS PRICE 99.838     FIRST PAY  5/23/2012 MOODY'S Aa2       YIELD 1.834 PCT      SETTLEMENT 11/23/2011 S&P AA-MINUS      SPREAD 95 BPS   ,topStory
STO,Statoil ASA,20111116,Statoil group to spend C$348 mln on Canada acreage ,CALGARY  Alberta  Nov 16 A trio of international oil companies led by Norway's Statoil ASA won bids for exploration rights off Canada's East Coast on Wednesday  pledging to spend a total of C$348 million ($341 million) on two offshore parcels.,normal
STO,Statoil ASA,20111116,Statoil wins exploration rights offshore Canada ,OSLO  Nov 16 Norwegian oil and gas firm Statoil has won exploration rights in two areas of the Flemish Pass Basin offshore Newfoundland and Labrador in Canada  the firm said on Wednesday.,normal
STI,SunTrust Banks Inc,20111116,UPDATE 1-SunTrust names new consumer bank chief ,Nov 16 SunTrust Banks Inc on Wednesday named Brad Dinsmore to oversee its consumer bank operations  replacing the current head who plans to retire early next year.,topStory
TGT,Target Corporation,20111116,Target blames Walmart layaway for toy sales slump ,Target Corp's  toy business took a big hit from Wal-Mart Stores Inc  early in the U.S. holiday shopping season  as Walmart's return to offering layaway seems to be gaining momentum even before Thanksgiving.,topStory
TGT,Target Corporation,20111116,UPDATE 5-Target blames Walmart layaway for toy sales slump ,Nov 16 Target Corp's toy business took a big hit from Wal-Mart Stores Inc early in the U.S. holiday shopping season  as Walmart's return to offering layaway seems to be gaining momentum even before Thanksgiving.,normal
TEF,Telefonica SA,20111116,Telefonica CFO says does not plan to cut dividend ,BARCELONA  Spain  Nov 16 Spanish mobile phone giant Telefonica is working to cut costs and stabilise the business in its domestic market in a bid to protect free cash flow and maintain its dividend  its finance director said on Wednesday.,topStory
TEF,Telefonica SA,20111116,KPN CEO says merger with O2 in Germany makes sense ,BARCELONA  Spain  Nov 16 Dutch telecoms firm KPN  struggling in its domestic market  said it would make sense to merge in Germany with Telefonica's  O2  in what could signal the start of a long-awaited wave of consolidation in mature markets.,normal
TX,Ternium SA,20111116,Ternium bids for stake in Brazil's Usiminas -report ,SAO PAULO  Nov 16 Ternium   the second largest Latin American steel group  offered to buy a 26 percent voting stake in former shareholder Usiminas  one of Brazil's biggest steelmakers  Exame magazine said on Wednesday  citing a source familiar with the deal.,topStory
BX,The Blackstone Group LP,20111116,Australia's Spotless rejects $709 million bid proposal ,SYDNEY Australian services firm Spotless Group  on Thursday rejected a second takeover offer since May  saying the A$698 million ($709 million) bid from buyout firm Pacific Equity Partners was too low.,topStory
BX,The Blackstone Group LP,20111116,UPDATE 1-Australia's Spotless rejects $709 mln bid proposal ,* Spotless directors intend to take no further action on proposal,normal
TOT,Total SA,20111116,Total Kenya nine-month profit tumbles 67 percent ,NAIROBI  Nov 16 Kenyan oil marketer Total  posted a 67 percent plunge in nine-month pretax profit on Wednesday after government price-capping squeezed margins  sales costs rose and volumes slipped in a tough environment.,topStory
