SHLM,A Schulman Inc,20110825,UPDATE 2-A. Schulman cuts profit target  to close plant , * Stock drops 3.5 percent  (Adds CEO comments  stock drop),topStory
MSFT,Microsoft Corporation,20110825,Analysis: Where does Jobs stand among America's iconic CEOs? ,NEW YORK The question is not whether Steve Jobs is an iconic CEO  but where Apple Inc's  co-founder ranks in the pantheon of business leaders who have carved out a place in history.,topStory
MSFT,Microsoft Corporation,20110825,Analysis: Little relief seen as U.S. finalizes patent reform ,WASHINGTON Congress is tantalizingly close to passing patent reform that President Barack Obama has hailed as an economic booster  but the legislation is expected to do little to divert money away from patent litigation and toward innovation.,normal
MSFT,Microsoft Corporation,20110825,UK government not seeking to close social media in riots ,LONDON The government said on Thursday it was not seeking special powers to shut down social networking sites during civil unrest after holding talks with the industry and police on how to stop people plotting violence online.,normal
MSFT,Microsoft Corporation,20110825,Newsmaker: Steve Jobs has a different operating system ,SAN FRANCISCO Hard to understand  difficult to work with and deemed irreplaceable by many Apple fans and investors  Steve Jobs has made a life defying conventions and expectations.,normal
MYGN,Myriad Genetics Inc,20110825,PRESS DIGEST - New York Times business news - Aug 25 , Aug 25 The following were the top stories in The New York Times business pages on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NDAQ,Nasdaq Inc,20110825,NYSE  Nasdaq expect normal ops Monday despite Irene , NEW YORK  Aug 25 NYSE Euronext  and Nasdaq OMX  said on Thursday they expect to normally operate their New York-based exchanges next Monday despite the potential impact of Hurricane Irene on New York City.,topStory
NWSA,News Corporation,20110825,UPDATE 1-RTL interested in Poland's TVN - source , * Process at early stage  no due diligence yet - source,topStory
NWSA,News Corporation,20110825,RTL interested in Poland's TVN - reports , FRANKFURT  Aug 25 RTL is one of several parties eyeing a move into central Europe's largest media market and is considering a bid for Polish broadcaster TVN   German media reported on Thursday.,normal
NWSA,News Corporation,20110825,SK Telecom says no plan to bid for Hulu , SEOUL  Aug 25 South Korea's top mobile carrier  SK Telecom   said on Thursday that it had no plans to bid for U.S. online video site Hulu.,normal
OSIS,OSI Systems Inc,20110825,UPDATE 1-OSI Systems Q4 profit tops est  sees strong 2012 , Aug 25 Electronic components maker OSI Systems Inc posted a market-beating quarterly profit  helped by strong sales at its healthcare unit  and forecast 2012 revenue above analysts' expectations on strong backlog growth.,topStory
QQQ,PowerShares QQQ Trust Series 1,20110825,Investors game Bernanke  bet market will settle ,NEW YORK Investors hoping Fed Chairman Ben Bernanke will make juicing the market a standing feature of his annual retreat in the mountains of Wyoming have awaken to reality.,topStory
QCOM,QUALCOMM Incorporated,20110825,Dealtalk: Zarlink looks enticing but white-knight bid elusive ,TORONTO Specialty chipmaker Zarlink Semiconductor  may have what it takes to tempt new takeover offers as it fights a hostile C$550 million bid from Microsemi Corp but would-be buyers have yet to show their cards.,topStory
QCOM,QUALCOMM Incorporated,20110825,DEALTALK-Zarlink looks enticing but white-knight bid elusive ,   *Zarlink seeks buyers to fend off hostile Microsemi bid,normal
SAFM,Sanderson Farms Inc,20110825,Sanderson posts loss on lower chicken prices ,NEW YORK Sanderson Farms Inc  reported a quarterly loss  hurt by lower market prices for poultry and rising feed costs  and the chicken producer said grain costs should be higher for the rest of 2011.,topStory
SAFM,Sanderson Farms Inc,20110825,UPDATE 1-Sanderson posts loss on lower chicken prices , NEW YORK  Aug 25 Sanderson Farms Inc  reported a quarterly loss  hurt by lower market prices for poultry and rising feed costs  and the chicken producer said grain costs should be higher for the rest of 2011.,normal
SHPG,Shire plc,20110825,UPDATE 1-US FDA approves Shire drug for rare disease , WASHINGTON  Aug 25 U.S. drug regulators gave the go ahead to Shire Plc's  drug for a rare genetic disease and also let patients self-inject the medication  giving the company a boost over rivals.,topStory
SIRI,Sirius XM Holdings Inc,20110825,Pandora Media revenue beats on strong ad sales ,NEW YORK Online radio service Pandora Media Inc reported results that beat expectations on strong advertising sales in its fiscal second quarter.,topStory
SIRI,Sirius XM Holdings Inc,20110825,UPDATE 3-Pandora Media revenue beats on strong ad sales , * Adj EPS 2 cents vs loss of 3 cents per share St. view,normal
ENSG,The Ensign Group Inc,20110825,BUY OR SELL-Skilled nursing: out of the sick-bay? , BANGALORE  Aug 25 Shares of U.S. skilled nursing service providers look undervalued given the long-term demand and a retiring baby-boom generation  but some investors are steering clear  fearing further cuts in government reimbursement rates.,topStory
TSEM,Tower Semiconductor Ltd,20110825,Israel Corp Q2 profit down on weak shipping unit , JERUSALEM  Aug 25 Israel Corp   one of Israel's largest holding companies  reported a 34 percent drop in quarterly earnings  hurt by its shipping unit which posted a large loss.,topStory
VOD,Vodafone Group Plc,20110825,RPT-Bharti adds 1.5m Indian mobile users in July -industry body , NEW DELHI  Aug 25 Bharti Airtel   India's top mobile phone carrier  signed up 1.51 million mobile subscribers in July  taking its total mobile users in the country to 170.7 million  data from an industry body showed on Thursday.,topStory
VOD,Vodafone Group Plc,20110825,Bharti adds 1.5m Indian mobile users in July -industry body , NEW DELHI  Aug 25 Bharti Airtel   India's top mobile phone carrier  signed up 1.51 million mobile subscribers in July  taking its total mobile users in the country to 170.7 million  data from an industry body showed on Thursday.,normal
ALL,Allstate Corporation (The),20110825,Irene losses start to mount as storm aims at NYC ,NEW YORK Hurricane Irene is likely to cause more insured losses in the Bahamas than 1999's devastating Hurricane Floyd  catastrophe modeler AIR Worldwide said on Thursday  even as the storm increasingly tracks toward a weekend landfall in the greater New York City area.,topStory
ALL,Allstate Corporation (The),20110825,Irene losses start to mount as storm aims at NYC ,NEW YORK Hurricane Irene is likely to cause more insured losses in the Bahamas than 1999's devastating Hurricane Floyd  catastrophe modeler AIR Worldwide said on Thursday  even as the storm increasingly tracks toward a weekend landfall in the greater New York City area.,normal
ALL,Allstate Corporation (The),20110825,Irene losses start to mount as storm aims at NYC , NEW YORK  Aug 25 Hurricane Irene is likely to cause more insured losses in the Bahamas than 1999's devastating Hurricane Floyd  catastrophe modeler AIR Worldwide said on Thursday  even as the storm increasingly tracks toward a weekend landfall in the greater New York City area.,normal
ACH,Aluminum Corporation of China Limited,20110825,China's Chalco to raise $1.2 bln via bond sale , SHANGHAI  Aug 25 China's Aluminium Corp of China (Chalco)  said on Thursday its Hong Kong subsidiary will issue up to $1.2 billion in bonds with maturity of up to 10 years at an appropriate time to support investments overseas.,topStory
AEP,American Electric Power Company Inc,20110825,Dominion sends seismic data for analysis ,HOUSTON Dominion Resources workers were inspecting the North Anna nuclear power plant in Mineral  Virginia on Wednesday  a day after the largest earthquake to hit the U.S. East Coast in six decades knocked both reactors offline  the company said.,topStory
AEP,American Electric Power Company Inc,20110825,UPDATE 2-Dominion sends seismic data for analysis , * NRC has not decided whether to hold special inspection  (Adds company comment  byline),normal
AXP,American Express Company,20110825,WRAPUP 2-ICBC  AgBank post record H1  dismiss local govt concerns , * AgBank first-half net 66.7 bln yuan vs 67 bln expected,topStory
AXP,American Express Company,20110825,ICBC H1 net profit rises 29.4 percent ,HONG KONG Industrial and Commercial Bank of China   the world's most valuable lender  said its first-half net profit rose 29.4 percent to a record  helped by improving net interest margin and higher fee income.,normal
AXP,American Express Company,20110825,ICBC H1 net profit rises 29.4 pct , HONG KONG  Aug 25 Industrial and Commercial Bank of China   the world's most valuable lender  said its first-half net profit rose 29.4 percent to a record  helped by improving net interest margin and higher fee income.,normal
AIG,American International Group Inc,20110825,Irene losses start to mount as storm aims at NYC ,NEW YORK Hurricane Irene is likely to cause more insured losses in the Bahamas than 1999's devastating Hurricane Floyd  catastrophe modeler AIR Worldwide said on Thursday  even as the storm increasingly tracks toward a weekend landfall in the greater New York City area.,topStory
AIG,American International Group Inc,20110825,Warren Buffett to invest $5 billion in Bank of America ,NEW YORK/CHARLOTTE  North Carolina Warren Buffett will invest $5 billion in Bank of America Corp  stepping in to shore up the largest U.S. bank in the same way he helped prop up Goldman Sachs and General Electric during the financial crisis. | Video ,normal
AIG,American International Group Inc,20110825,Irene losses start to mount as storm aims at NYC ,NEW YORK Hurricane Irene is likely to cause more insured losses in the Bahamas than 1999's devastating Hurricane Floyd  catastrophe modeler AIR Worldwide said on Thursday  even as the storm increasingly tracks toward a weekend landfall in the greater New York City area.,normal
AIG,American International Group Inc,20110825,Irene losses start to mount as storm aims at NYC , NEW YORK  Aug 25 Hurricane Irene is likely to cause more insured losses in the Bahamas than 1999's devastating Hurricane Floyd  catastrophe modeler AIR Worldwide said on Thursday  even as the storm increasingly tracks toward a weekend landfall in the greater New York City area.,normal
AIG,American International Group Inc,20110825,REFILE-UPDATE 6-Warren Buffett to invest $5 bln in BofA , * BofA shares rise but then give up most of their gains  (Adds details on BofA trading  capital position),normal
AIG,American International Group Inc,20110825,BRIEF-Moody's ups EUR346.5m CLO notes of Euro Galaxy CLO B.V. , * Moody's upgrades EUR346.5m CLO notes of Euro Galaxy CLO B.V.,normal
AU,AngloGold Ashanti Limited,20110825,Insight: Panners  big miners scramble in Australia's gold rush ,SYDNEY On his days off  Cordell Kent drives with his family about an hour into the eastern Australian countryside  lays out a picnic blanket and then joins hundreds of other families panning for gold in hopes of striking it rich.,topStory
AU,AngloGold Ashanti Limited,20110825,INSIGHT-Panners  big miners scramble to join Australia's gold rush , ,normal
ADM,Archer-Daniels-Midland Company,20110825,Paraguay wants 6 pct soy export tax; farmers balk , * Says farming is 36 pct of GDP  only 2.5 pct of tax-take,topStory
AZN,Astrazeneca PLC,20110825,UK warns on painkiller  anti-psychotic drug mix-up ,LONDON British regulators issued a safety alert on Thursday after discovering packs of the over-the-counter painkiller Nurofen Plus containing the anti-psychotic drug Seroquel XL.,topStory
T,AT&T Inc,20110825,Analysis: Network gear makers stumble  but growth still there ,As sales of smartphones soar and companies shift data to cloud computing  the outlook for the makers of the switches  routers and other gear to manage networks may not be as gloomy as recent share market performance suggests.,topStory
T,AT&T Inc,20110825,LPC-Express Scripts $5.5bn loan to allocate , NEW YORK  Aug 25 (LPC) - Express Scripts Inc's $5.5 billion pro rata tranche is expected to allocate today after the commitment deadline was extended from Friday  sources said.,normal
T,AT&T Inc,20110825,UPDATE 1-FCC asks AT&T for more info on T-Mobile bid , NEW YORK/BANGALORE  Aug 24 AT&T Inc said on Wednesday that the Federal Communications Commission has requested more information about its acquisition of T-Mobile in relation to its commitment to expand high-speed wireless services to 97 percent of all Americans.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110825,UPDATE 1-Spain extends financials short-sale ban to Sept 30 , * Can be lifted before deadline or renewed   (Adds quote  stocks affected),topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20110825,UPDATE 1-Spain extends financials short-sale ban to Sept 30 , * Can be lifted before deadline or renewed   (Adds quote  stocks affected),normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20110825,Dealtalk: No jackpot for Spanish lottery IPO advisers ,LONDON/MADRID The banks running the mega-listing of Spain's state lottery are set to receive around half the average fee paid for European privatizations over the last decade  under pressure from a lackluster deals market and the prestigious nature of the sale.,normal
BBD,Banco Bradesco Sa,20110825,UPDATE 2-TPG buys 30 pct of Saxo Bank  could lead to IPO , LISBON/LONDON  Aug 25 Private equity group TPG Capital LP bought 30 percent of Danish online brokerage Saxo Bank from owners including Portugal's Banco Espirito Santo  (BES)  a deal which Saxo said could pave the way for an eventual IPO.,topStory
BBD,Banco Bradesco Sa,20110825,UPDATE 1-BES sells down as TPG snaps up stake in broker Saxo , LISBON/LONDON  Aug 25 Private equity group TPG  snapped up 30 percent of online broker Saxo Bank from owners including Portugal's Banco Espirito Santo (BES)  ahead of a push by the bank into online wealth management.,normal
BBD,Banco Bradesco Sa,20110825,Portugal's BES  ESFG sell 7.4 pct stake in Saxo Bank , Aug 25     LISBON  Aug 25 Portugal's second-largest listed bank Banco Espirito Santo and holding company Espirito Santo Financial Group said on Thursday they have sold a combined 7.4 percent stake in Denmark's Saxo Bank for an undisclosed amount.,normal
BBDO,Banco Bradesco Sa,20110825,UPDATE 2-TPG buys 30 pct of Saxo Bank  could lead to IPO , LISBON/LONDON  Aug 25 Private equity group TPG Capital LP bought 30 percent of Danish online brokerage Saxo Bank from owners including Portugal's Banco Espirito Santo  (BES)  a deal which Saxo said could pave the way for an eventual IPO.,topStory
BBDO,Banco Bradesco Sa,20110825,UPDATE 1-BES sells down as TPG snaps up stake in broker Saxo , LISBON/LONDON  Aug 25 Private equity group TPG  snapped up 30 percent of online broker Saxo Bank from owners including Portugal's Banco Espirito Santo (BES)  ahead of a push by the bank into online wealth management.,normal
BBDO,Banco Bradesco Sa,20110825,Portugal's BES  ESFG sell 7.4 pct stake in Saxo Bank , Aug 25     LISBON  Aug 25 Portugal's second-largest listed bank Banco Espirito Santo and holding company Espirito Santo Financial Group said on Thursday they have sold a combined 7.4 percent stake in Denmark's Saxo Bank for an undisclosed amount.,normal
BSBR,Banco Santander Brasil SA,20110825,UPDATE 1-Santander Brasil stock soars after buyback plan , * Units have shed 36 percent this year  more than peers,topStory
BSBR,Banco Santander Brasil SA,20110825,Santander Brasil announces buyback to prop up shares , * Units have shed 36 percent this year  more than peers,normal
SAN,Banco Santander SA,20110825,UPDATE 1-Spain extends financials short-sale ban to Sept 30 , * Can be lifted before deadline or renewed   (Adds quote  stocks affected),topStory
SAN,Banco Santander SA,20110825,UPDATE 1-Spain extends financials short-sale ban to Sept 30 , * Can be lifted before deadline or renewed   (Adds quote  stocks affected),normal
SAN,Banco Santander SA,20110825,Dealtalk: No jackpot for Spanish lottery IPO advisers ,LONDON/MADRID The banks running the mega-listing of Spain's state lottery are set to receive around half the average fee paid for European privatizations over the last decade  under pressure from a lackluster deals market and the prestigious nature of the sale.,normal
BAC,Bank of America Corporation,20110825,RPT-DEALTALK-Bank of America's CCB stake faces tough sell , (Repeats story first filed Thursday with no change to text),topStory
BAC,Bank of America Corporation,20110825,Tense market falls ahead of Bernanke speech ,NEW YORK Stocks fell on Thursday as investors raised cash ahead of a critical speech from Fed Chairman Ben Bernanke  hoping he will give them a clearer picture of the Fed's plans for the struggling economy. | Video ,normal
BAC,Bank of America Corporation,20110825,Warren Buffett to invest $5 billion in Bank of America ,NEW YORK/CHARLOTTE  North Carolina Warren Buffett will invest $5 billion in Bank of America Corp  stepping in to shore up the largest U.S. bank in the same way he helped prop up Goldman Sachs and General Electric during the financial crisis. | Video ,normal
BAC,Bank of America Corporation,20110825,Bank of America gives Buffett a $3 billion gift ,NEW YORK When Bank of America Corp agreed to sell $5 billion of preferred shares to Warren Buffett  it gave the Oracle of Omaha a $3 billion gift with the deal.,normal
BAC,Bank of America Corporation,20110825,Investors who follow Buffett in BofA may be sorry ,BOSTON Following Warren Buffett is usually an easy way to make money  but in the case of the oracle's investment in Bank of America Corp investors may find it a lot tougher.,normal
BAC,Bank of America Corporation,20110825,UPDATE 1-Bank of America gives Buffett a $3 billion gift , * Warrants show how keen bank was for investment -analysts  (Recasts first sentence  adds analyst comment  background on deal),normal
BAC,Bank of America Corporation,20110825,Investors who follow Buffett in BofA may be sorry , BOSTON  Aug 25 Following Warren Buffett is usually an easy way to make money  but in the case of the oracle's investment in Bank of America Corp  investors may find it a lot tougher.,normal
BAC,Bank of America Corporation,20110825,Stocks drop 1.5 percent  dollar gains before Bernanke ,NEW YORK World stocks dropped and the U.S. dollar rose against the yen on Thursday as investors lowered their expectations that the Federal Reserve would signal a dramatic rescue for the economy this week. | Video ,normal
BAC,Bank of America Corporation,20110825,GLOBAL MARKETS-Stocks drop 1.5 pct  dollar gains before Bernanke , * Gold trades higher  bonds and oil end up  (Updates with U.S. market closes),normal
BAC,Bank of America Corporation,20110825,US STOCKS-Tense market falls ahead of Bernanke speech , * Dow down 1.5 pct  S&P off 1.6 pct  Nasdaq off 1.95 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close  changes comment  byline),normal
BMO,Bank Of Montreal,20110825,UPDATE 4-Canada's National Bank profit rises  shares fall , * Shares down 2.9 pct  (Adds CEO comments  details  updates shares),topStory
BMO,Bank Of Montreal,20110825,Profit up at National Bank of Canada's wealth unit , * Says  Wellington deal synergies on time and on target,normal
BNS,Bank of Nova Scotia (The),20110825,Canada clients less happy with investment advisers ,TORONTO Canadian full-service investment firms have a lot of room for improvement when it comes to communicating with their clients  who are  on average  less satisfied with their firms than they were a year ago  according to a study released on Thursday.,topStory
BNS,Bank of Nova Scotia (The),20110825,Canada clients less happy with investment advisers , * 65 pct of clients had no contact with firms in past year,normal
BCS,Barclays PLC,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
BCS,Barclays PLC,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
BCS,Barclays PLC,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
BCS,Barclays PLC,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
BCS,Barclays PLC,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
BCS,Barclays PLC,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
ABX,Barrick Gold Corporation,20110825,CANADA STOCKS-Uncertainty drags TSX lower  golds cushion slide ,   * TSX ends down 59.50 points  or 0.48 pct  at 12 284.31,topStory
BAX,Baxter International Inc,20110825,Deals of the day -- mergers and acquisitions , (Adds PharMerica  Bloomberg  Verizon  Humana and others),topStory
BAX,Baxter International Inc,20110825,UPDATE 1-Baxter buying drug delivery company for $380 mln , CHICAGO  Aug 25 Baxter International Inc  said it struck a deal to buy privately held Baxa Corp  a drug delivery company  for $380 million in cash.,normal
BHP,BHP Billiton Limited,20110825,BHP Billiton Petroleum sees annual volume growth of 10 pct , SYDNEY  Aug 26 Global miner BHP Billiton's   petroleum business is on track to deliver compound annual growth in production volumes of 10 percent for the rest of the decade  the company said Friday.,topStory
BHP,BHP Billiton Limited,20110825,Looting  clashes as Chileans strike against Pinera ,SANTIAGO Protesters battled police in Chile's capital on Thursday  the second day of a two-day strike against unpopular President Sebastian Pinera that was marked by sporadic looting but had no impact on the vital mining sector. | Video ,normal
BHP,BHP Billiton Limited,20110825,UPDATE 2-Looting  clashes as Chileans strike against Pinera , * Chile economy seen growing 6.6 pct in 2011  (Adds protest leader quotes  crowd estimates),normal
BHP,BHP Billiton Limited,20110825,UPDATE 1-Glencore  S. Africa partner eye Optimum Coal , LONDON  Aug 25 Commodities trading giant Glencore  and South African partner Cyril Ramaphosa are interested in buying miner Optimum Coal Holdings  and are preparing a formal announcement  sources close to the deal said on Thursday.,normal
BHP,BHP Billiton Limited,20110825,FACTBOX-Peru mining firms' profits and royalty payments , LIMA  Aug 25 Peru has reached an agreement with mining companies to increase their contributions toward the state to 3 billion soles (about $1 billion) a year  fulfilling a key campaign promise by leftist President Ollanta Humala. [ID:nN1E77O0WQ],normal
BHP,BHP Billiton Limited,20110825,Looting  unrest as Chileans strike against Pinera , SANTIAGO  Aug 25 Protesters scuffled with police in the Chilean capital on Thursday  the second of a two-day strike against unpopular President Sebastian Pinera marked by sporadic looting  though the linchpin mining sector was not affected.,normal
BHP,BHP Billiton Limited,20110825,PRESS DIGEST - Financial Times - Aug 25 , Google has reached a $500 million settlement with U.S. prosecutors to resolve a criminal investigation into its accepting advertisements from companies selling unlicensed pharmaceuticals. http://www.ft.com/cms/s/0/513e081e-ce2b-11e0-99ec-00144feabdc0.html#axzz1ViM8qAfg,normal
BHP,BHP Billiton Limited,20110825,S&PBULLETIN: BHP Billiton's Results Help Mitigate Growth Risks , MELBOURNE (Standard & Poor's) Aug. 25  2011--Standard & Poor's Ratings Services said today that BHP Billiton Ltd.'s (A+/Stable/A-1) record financial results for the year ended June 30  2011 will help mitigate the risks 	 associated with the group's recent partly debt-funded acquisitions. In March 2011  BHP Billiton acquired Chesapeake Energy Corp.'s interests in the Fayetteville shale (USA) for US$4.75 billion. On July 14  2011  BHP Billiton proposed to acquire Petrohawk Energy Corp. fo,normal
BBL,BHP Billiton plc,20110825,BHP Billiton Petroleum sees annual volume growth of 10 pct , SYDNEY  Aug 26 Global miner BHP Billiton's   petroleum business is on track to deliver compound annual growth in production volumes of 10 percent for the rest of the decade  the company said Friday.,topStory
BBL,BHP Billiton plc,20110825,Looting  clashes as Chileans strike against Pinera ,SANTIAGO Protesters battled police in Chile's capital on Thursday  the second day of a two-day strike against unpopular President Sebastian Pinera that was marked by sporadic looting but had no impact on the vital mining sector. | Video ,normal
BBL,BHP Billiton plc,20110825,UPDATE 2-Looting  clashes as Chileans strike against Pinera , * Chile economy seen growing 6.6 pct in 2011  (Adds protest leader quotes  crowd estimates),normal
BBL,BHP Billiton plc,20110825,UPDATE 1-Glencore  S. Africa partner eye Optimum Coal , LONDON  Aug 25 Commodities trading giant Glencore  and South African partner Cyril Ramaphosa are interested in buying miner Optimum Coal Holdings  and are preparing a formal announcement  sources close to the deal said on Thursday.,normal
BBL,BHP Billiton plc,20110825,Glencore S.Africa partner aims to buy Optimum Coal , LONDON  Aug 25 Glencore's South African Black Economic Empowerment partner Shanduka Coal is interested in buying Optimum Coal Holdings (OCH) and a formal announcement will be made  sources close to the deal said on Thursday.,normal
BBL,BHP Billiton plc,20110825,FACTBOX-Peru mining firms' profits and royalty payments , LIMA  Aug 25 Peru has reached an agreement with mining companies to increase their contributions toward the state to 3 billion soles (about $1 billion) a year  fulfilling a key campaign promise by leftist President Ollanta Humala. [ID:nN1E77O0WQ],normal
BBL,BHP Billiton plc,20110825,Looting  unrest as Chileans strike against Pinera , SANTIAGO  Aug 25 Protesters scuffled with police in the Chilean capital on Thursday  the second of a two-day strike against unpopular President Sebastian Pinera marked by sporadic looting  though the linchpin mining sector was not affected.,normal
BBL,BHP Billiton plc,20110825,S&PBULLETIN: BHP Billiton's Results Help Mitigate Growth Risks , MELBOURNE (Standard & Poor's) Aug. 25  2011--Standard & Poor's Ratings Services said today that BHP Billiton Ltd.'s (A+/Stable/A-1) record financial results for the year ended June 30  2011 will help mitigate the risks 	 associated with the group's recent partly debt-funded acquisitions. In March 2011  BHP Billiton acquired Chesapeake Energy Corp.'s interests in the Fayetteville shale (USA) for US$4.75 billion. On July 14  2011  BHP Billiton proposed to acquire Petrohawk Energy Corp. fo,normal
BIG,Big Lots Inc,20110825,US STOCKS-Futures point to flat open  Apple falls , * Futures: Dow up 11 pts  S&P off 0.4 pt  Nasdaq off 6.75,topStory
BIG,Big Lots Inc,20110825,US STOCKS-Futures flat ahead of jobless claims  Apple down , * Futures: Dow up 22 pts  S&P up 2.6 pts  Nasdaq off 6 pts,normal
BIG,Big Lots Inc,20110825,US STOCKS-Futures flat ahead of data  Apple weighs on Nasdaq ,* Futures: Dow up 22 pts  S&P up 2.2 pts  Nasdaq off 7.25,normal
BIG,Big Lots Inc,20110825,Big Lots Q2 beats Street  raises FY outlook ,Big Lots Inc's  quarterly profit beat Wall Street expectations on strong demand for its discounted products  encouraging the close-out retailer to raise its full-year earnings forecast.,normal
BIG,Big Lots Inc,20110825,UPDATE 1-Big Lots Q2 beats Street  raises FY outlook , Aug 25 Big Lots Inc's quarterly profit beat Wall Street expectations on strong demand for its discounted products  encouraging the close-out retailer to raise its full-year earnings forecast.,normal
BA,Boeing Company (The),20110825,Boeing's novel Dreamliner set to gain US safety OK , * Boeing reworked fuselage  received six safety exemptions,topStory
BA,Boeing Company (The),20110825,Delta unveils order for 100 Boeing narrowbodies ,ATLANTA/CHICAGO Delta Air Lines Inc  said on Thursday it ordered 100 Boeing Co  Next-Generation 737-900ER airplanes valued at $8.5 billion as it looks to replace older aircraft with fuel-efficient models.,normal
BA,Boeing Company (The),20110825,UPDATE 3-Delta unveils order for 100 Boeing narrowbodies , * Order valued at $8.5 billion  (Adds analyst comment  Boeing orders),normal
BA,Boeing Company (The),20110825,Delta unveils order for 100 Boeing narrowbodies ,CHICAGO Delta Air Lines Inc  said on Thursday it ordered 100 Boeing Co  Next-Generation 737-900ER airplanes valued at $8.5 billion as part of the carrier's plan to replace its less-efficient domestic planes.,normal
BA,Boeing Company (The),20110825,How can Air Berlin achieve a soft landing? ,FRANKFURT Shares in Air Berlin  jumped last week after founder and CEO Joachim Hunold said he was stepping down  prompting optimism that a fresh pair of hands will be able to lead the loss-making company through a restructuring.,normal
BA,Boeing Company (The),20110825,Philippine Air eyes refleeting  outsourcing to survive ,MANILA Flag carrier Philippine Airlines   said on Thursday it needs to upgrade its fleet to expand operations and spin-off its ground handling  catering  and call centre services to remain competitive in the booming Asian markets.,normal
BA,Boeing Company (The),20110825,Philippine Air eyes refleeting  outsourcing to survive , MANILA  Aug 25 Flag carrier Philippine Airlines (PAL) said on Thursday it needs to upgrade its fleet to expand operations and spin-off its ground handling  catering  and call center services to remain competitive in the booming Asian markets.,normal
BP,BP plc,20110825,US Cash Products-Harbor gasoline up as Irene approaches , HOUSTON  Aug 25 - New York Harbor gasoline markets jumped by nearly a penny per gallon or more on Thursday on higher prompt and forward buying interest as Hurricane Irene approached the U.S. East Coast.,topStory
BP,BP plc,20110825,UPDATE 1-Three Texas City refineries hit by power blip , (Wraps together earlier stories on power interruption  adds company comments  details  background),normal
BP,BP plc,20110825,ADR Report-Foreign shares slide on German jitters , NEW YORK  Aug 25 U.S.-traded shares of overseas companies fell across the board on Thursday as talk of an imminent ban on short-selling in Germany  later denied  rattled equity investors.,normal
BP,BP plc,20110825,US Cash Products-Harbor gasoline up as Irene approaches , HOUSTON  Aug 25 New York Harbor F4 RBOB differentials for second-half September and later delivery climbed a penny per gallon on Thursday as Hurricane Irene approached the U.S. East Coast.,normal
BP,BP plc,20110825,BP Texas City ops unaffected by power glitch-sources , HOUSTON  Aug 25 Operations at BP Plc's   406 570 barrel per day (bpd) Texas City  Texas  refinery were unaffected by a brief Thursday morning power spike  according to sources familiar with refinery operations.,normal
BP,BP plc,20110825,Vallares moves closer to Genel Enerji deal -source , LONDON/ISTANBUL  Aug 25     Vallares  has moved closer to a multi-billion pound takeover of Turkish oil explorer Genel Enerji  a source close to the situation said  raising the prospect of a big pay day for former BP boss Tony Hayward and financier Nat Rothschild.,normal
BP,BP plc,20110825,BP  Valero Texas City refineries flare on power blip , HOUSTON  Aug 25 A power blip on Thursday caused flaring at BP Plc's   and Valero Energy Corp's  refineries in Texas City  Texas  the city's emergency management director said.,normal
BP,BP plc,20110825,CORRECTED-UPDATE 1-Germany's SMA Solar eyes 1.4GW of business from India , (Corrects figure in headline to 1.4GW from 3.5GW  and in first paragraph to 40 percent of 3 500MW  not 3 500MW)	  (Adds details  background  quotes),normal
BPL,Buckeye Partners LP,20110825,UPDATE 1-U.S. energy sector braces for direct hit from Irene , NEW YORK  Aug 25 From nuclear plants to pipelines and refineries  energy companies braced on Thursday for a potentially devastating Hurricane Irene that is barreling toward the most populated part of the United States.,topStory
BPL,Buckeye Partners LP,20110825,U.S. East Coast energy firms brace for Irene impact , NEW YORK  Aug 25 From nuclear plants to pipelines and refineries  energy firms on the U.S. East Coast braced on Thursday for a potentially devastating Hurricane Irene that could make landfall this weekend in North Carolina.,normal
BPL,Buckeye Partners LP,20110825,Buckeye says no damage by Irene to Borco storage , NEW YORK  Aug 25 Buckeye Partners  said on Thursday there was no damage to its Borco oil storage terminal in the Bahamas after Hurricane Irene battered the islands.,normal
